title,author,datelisted,rating,ratingnum,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,source,link,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29
Copycat Starbucks Cranberry Bliss Bar Recipe,Katie Rosenhouse,NA,5,42,NA,"Prep Time
1.83
hours","Cook Time
23
minutes",NA,"Total time: 2 hours, 13 minutes","servings
16
Servings",18,"Preheat the oven to 350 F.
Line a 13x9-inch baking pan with parchment paper and set aside.
In a medium bowl, whisk to combine the butter and brown sugar.
Add the eggs, vanilla extract, and orange zest and whisk until smooth.
Add flour, baking powder, salt, and ginger or cinnamon. Stir until combined.
Fold in white chocolate chips and cranberries.
Pour evenly into prepared pan.
Bake for 22 to 24 minutes until golden brown; transfer to a rack to cool completely, about 1 hour.
Beat cream cheese and butter until smooth.
Add confectioners' sugar, orange zest, and salt; beat on low to medium speed until smooth and creamy, 1 to 2 minutes.
Spoon topping over cooled bars and spread it out evenly to coat.
Sprinkle with chopped cranberries.
Melt white chocolate and oil in a small bowl over a double boiler or in the microwave until smooth.
Use a piping bag or spoon to drizzle swirls of white chocolate over bars. Chill until firm, at least 30 minutes.
Transfer bars to a cutting board and trim off edges.
Cut in half horizontally and vertically for four even sections. Cut each section in half.
Cut each half diagonally into triangles.
Serve at room temperature or chilled.",21,For the blondies,"¾ cup unsalted butter, melted",1 ¾ cups packed light brown sugar,2 large eggs,1 teaspoon vanilla extract,½ teaspoon orange zest,2 cups all-purpose flour,1 teaspoon baking powder,½ teaspoon kosher salt,¼ teaspoon ground ginger or cinnamon,¾ cup white chocolate chips,"⅓ cup dried cranberries, roughly chopped",Tasting Table,https://www.tastingtable.com/1463030/copycat-starbucks-cranberry-bliss-bar-recipe/,For the topping,"1 (8-ounce) package cream cheese, softened","¼ cup unsalted butter, at room temperature",1 ½ cups confectioners' sugar,1 teaspoon orange zest,½ teaspoon kosher salt,"⅓ cup dried cranberries, roughly chopped",¼ cup white chocolate chips,1 teaspoon neutral oil,NA,NA,NA,NA,NA,NA,NA,NA
Vegan Chocolate Chip Cookies Recipe,Miriam Hahn,Cookie Recipes,4.9,18,NA,"Prep Time
25
minutes","Cook Time
10
minutes",NA,Total time: 35 minutes,"servings
12
Servings",8,"Preheat the oven to 350 F.
In a small bowl combine the ground flax with 3 tablespoons of water
In a large bowl combine the butter and sugar with a hand mixer.
Add the flour, cornstarch, baking soda, cinnamon, salt, flax mixture, and 2 tablespoons of water. Mix with the hand mixer until combined. If the batter is too dry add 1 more tablespoon of water or non-dairy milk.
Stir in the chocolate chips.
Using about 1 ½ tablespoons of the cookie batter, form dough into 24 balls and place on 2 cookie sheets lined with parchment paper.
Bake the cookies for 10 minutes then let them cool for 10 minutes on the sheet pan.
Transfer to a cooling rack and cool for 5 minutes. The cookies are ready to serve.",9,1 tablespoon ground flax seed,"½ cup vegan butter, softened",1 cup coconut sugar,1 ½ cups all-purpose flour,2 teaspoons cornstarch,1 teaspoon baking soda,½ teaspoon cinnamon,¼ teaspoon salt,1 ¼ cups vegan chocolate chips,NA,NA,NA,Tasting Table,https://www.tastingtable.com/1458033/vegan-chocolate-chip-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Caramel Ginger Thumbprint Cookies Recipe,Jessica Morone,Cookie Recipes,4.9,73,NA,"Prep Time
50
minutes","Cook Time
15
minutes",NA,"Total time: 1 hour, 5 minutes","servings
36
Cookies",13,"In a large bowl whisk together the flour, baking soda, ginger, cinnamon and nutmeg. Set aside.
In a large bowl use an electric mixer or stand mixer to beat the butter and brown sugar until fluffy.
Add the egg, heavy cream and molasses to the bowl and beat together until smooth.
Add the dry ingredients into the bowl with the wet ingredients and beat until well combined. Place the dough in the refrigerator for at least 30 minutes.
Preheat the oven to 350 F and line cookie sheets with parchment paper.
Use a small cookie scoop to create 1 tablespoon-sized balls and roll each in the granulated sugar in a small bowl.
Place at least 2-inches apart on the prepared cookie sheet. Repeat until all the cookie dough has been used. Bake in the preheated oven for 13-15 minutes, until the edges are set.
Carefully remove cookies from the oven and immediately use a teaspoon measuring spoon to press an indent into the center of the baked cookies. Let cool.
To make the caramel, heat the granulated sugar and brown sugar in a large heavy-bottomed saucepan on medium-low heat, mixing often, until the sugar melts completely.
Once sugar is melted, remove the pan from the heat and stir the butter into the caramel until it is integrated. The mixture will bubble up as you do this.
Add the vanilla extract, heavy cream and white chocolate chips to the pan and stir until the chocolate melts and everything is combined.
Immediately spoon the caramel into each of the indents in the cookies, filling each to almost the top.
Let caramel set (about 10 minutes) then serve the cookies.",19,For the cookies,4 cups all-purpose flour,1 teaspoon baking soda,3 teaspoons ground ginger,2 teaspoons ground cinnamon,½ teaspoon ground nutmeg,"1 cup salted butter, room temperature",1 cup brown sugar,1 egg,½ cup heavy cream,¾ cup molasses,"½ cup granulated sugar, for rolling",Tasting Table,https://www.tastingtable.com/1444490/salted-caramel-ginger-thumbprint-cookies-recipe/,For the caramel,1 cup granulated sugar,2 tablespoon brown sugar,¼ cup salted butter,1 teaspoon vanilla extract,¼ cup heavy cream,1 cup white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honey Rosemary Hazelnut Shortbread Recipe,Jennine Rye,Cookie Recipes,5,30,NA,"Prep Time
2.33
hours","Cook Time
12
minutes",NA,"Total time: 2 hours, 32 minutes","servings
12
cookies",13,"Preheat the oven to 350 F.
Toast the hazelnuts in a medium-sized oven tray for 8–10 minutes.
Allow the hazelnuts to cool, and then roughly chop them.
In a stand mixer, beat together the butter, honey, chopped rosemary, and sugar for 2–3 minutes, until creamed.
In a medium-sized bowl, mix together the flour, cornstarch, and sea salt.
Fold the toasted, chopped hazelnuts into the butter and honey mixture.
Add the flour to the butter and honey mixture and fold it in to form a stiff dough.
Roll the shortbread dough into a sausage shape and wrap well with cling film.
Transfer the dough to the fridge and chill for at least 2 hours.
Slice the chilled shortbread dough into roughly ¼-inch thick rounds.
Place the rounds onto a baking tray covered with parchment paper.
Bake the shortbread for 12–14 minutes at 350 F, until they turn golden around the edges.
Remove from the oven and cool completely before serving or storing.",8,⅓ cup hazelnuts,"6 tablespoons butter, room temperature",3 tablespoons organic honey,1 teaspoon finely chopped fresh rosemary,2 tablespoons granulated sugar,1 cup all purpose flour,1 tablespoon cornstarch,Pinch of sea salt,NA,NA,NA,NA,Tasting Table,https://www.tastingtable.com/1440423/honey-rosemary-hazelnut-shortbread-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sea Salt Brownie Brittle,Taylor Murray,Candy and Treat Recipes,5,34,NA,"Prep Time
10
minutes","Cook Time
10
minutes",NA,Total time: 20 minutes,"servings
14
Cookies",9,"Preheat oven to 325 F. Line a rimmed baking sheet with parchment paper or a silicone baking mat. Set aside.
In a medium saucepan (or in the microwave), melt the butter over low heat. Once the butter is fully melted, add the chocolate chips to the saucepan. Stir continuously until the chocolate chips have fully melted and the mixture is smooth.
Remove the saucepan from the heat. Stir in the cocoa powder until fully incorporated into the melted chocolate mixture.
In a separate mixing bowl, whip the egg whites using an electric mixer or whisk until they become frothy. Add the vanilla extract and granulated sugar, and continue to whip for an additional minute.
Slowly pour the melted chocolate mixture into the bowl with the egg whites. Mix on a low setting for about 30 seconds, ensuring the mixture is well combined.
Gently fold in the all-purpose flour, baking soda, and pinch of salt until just combined. Do not overmix.
Using a spatula or the back of a spoon, spread the batter onto the prepared baking sheet. Aim for a uniform thinness of no more than 1/4 inch. Evenly sprinkle the flaky sea salt over the top of the batter.
Place the baking sheet in the preheated oven and bake for approximately 15 minutes. Keep an eye on them, as thinner parts might cook faster.
Turn off the oven and let brittle cool in oven. Once cooled, break into pieces or cut into desired shapes and enjoy!",10,4 tablespoons butter,1 ounce semisweet chocolate chips,1/4 cup cocoa powder,2 large egg whites,1 teaspoon vanilla extract,3/4 cup granulated sugar,1/2 cup all-purpose flour,1/4 teaspoon baking soda,Pinch of salt,1 teaspoon flaky sea salt,NA,NA,Tasting Table,https://www.tastingtable.com/1428927/sea-salt-brownie-brittle-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Simple Cranberry Pistachio Cookies,Taylor Murray,Cookie Recipes,5,84,NA,"Prep Time
15
minutes","Cook Time
15
minutes",NA,Total time: 30 minutes,"servings
24
Cookies",10,"Preheat your oven to 350 F. Line two baking sheets with parchment paper or silicone baking mats.
In a medium-sized bowl, whisk together the all-purpose flour, baking powder, and salt. Set aside.
In a large mixing bowl, cream the softened butter and sugar together until the mixture is light and fluffy, about 2 minutes.
Add in the egg and vanilla extract to the butter mixture and continue to mix until it's well combined.
Gradually add the dry ingredients to the wet mixture, mixing until just combined.
Gently fold in the toasted pistachios and dried cranberries until they are evenly distributed in the dough.
Turn the dough out onto a sheet or plastic wrap. Wrap tightly into a log about 1 1/2 inches thick. Chill until firm, about 20 minutes.
When ready to bake, remove the dough from the refrigerator and slice dough 1/4-inch thick. Place each cookie onto the prepared trays, leaving about 2 inches space between each.
Place the cookies in the oven and bake for 10-12 minutes or until the edges are lightly golden. Be careful not to overbake them.
Once baked, remove the cookies from the oven and allow them to cool on the baking sheet for about 5 minutes. Then, transfer them to a wire rack to cool completely.",9,2 3/4 cups all-purpose flour,1/2 teaspoon baking powder,1/4 teaspoon salt,"1 cup butter, softened",3/4 cup plus 1 tablespoon granulated sugar,1 egg,1 tablespoon vanilla extract,1/2 cup chopped toasted pistachios,1/3 cup chopped dried cranberries,NA,NA,NA,Tasting Table,https://www.tastingtable.com/1427543/simple-cranberry-pistachio-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cannoli Thumbprint Cookies Recipe,Jessica Morone,Cookie Recipes,5,72,NA,"Prep Time
35
minutes","Cook Time
15
minutes",NA,Total time: 50 minutes,"servings
18
cookies",12,"Cream together the butter, granulated sugar, and brown sugar with a hand mixer or stand mixer until smooth.
Add the eggs and vanilla extract and continue mixing until combined.
In a separate large bowl, whisk together the flour, baking powder, and salt until combined.
Slowly add the dry ingredients to the butter mixture, about ⅓ at a time, and mix until well combined and no dry streaks remain.
Scoop the cookie dough into tablespoon-sized balls and place them on a parchment-lined cookie sheet. Use your thumb, the back of a teaspoon, or the bottom of a wooden spoon to press an indentation in the center of each ball.
Transfer the cookie dough to the freezer and chill for 15 minutes.
Preheat the oven to 350 F.
Bake the chilled cookies in the preheated oven for 12-15 minutes until the edges start to turn golden brown. (Check on them halfway through. If the cookies have puffed up in the center, use the back of a teaspoon to press the centers back down, and continue baking until done.)
Let the cookies cool completely.
Use a hand mixer or stand mixer to combine the ricotta, cream cheese, and powdered sugar until fluffy.
Mix in the lemon zest and cinnamon, then fold in the chocolate chips.
Transfer the filling into a piping bag, then pipe the filling into the center of each cooled cookie. Top with additional mini chocolate chips, if desired, and serve.",14,"¾ cup unsalted butter, softened",½ cup granulated sugar,¼ cup brown sugar,2 eggs,1 teaspoon vanilla,2 ½ cups flour,¼ teaspoon baking powder,¼ teaspoon salt,1 cup ricotta cheese,"6 ounces cream cheese, softened",½ cup powdered sugar,1 teaspoon lemon zest,Tasting Table,https://www.tastingtable.com/1379226/cannoli-thumbprint-cookies-recipe/,¼ teaspoon cinnamon,"¼ cup mini chocolate chips, plus more for topping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Speculoos Cookie Butter Recipe,Jennine Rye,Dessert Recipes,4.9,13,NA,"Prep Time
4.67
hours","Cook Time
15
minutes",NA,"Total time: 4 hours, 55 minutes","servings
6
Servings",10,"In a bowl, whisk together the flour, 4 teaspoons of ground cinnamon, ground cardamom, ground ginger, ground cloves, ground nutmeg, and baking powder, then set aside.
Using a stand mixer or an electric whisk, beat the brown sugar and butter together for 3-4 minutes until it is creamed and lightened in color. Then, beat in the egg.
Gradually mix together the dry ingredients with the wet ingredients until a soft dough has formed. Cover the dough and allow it to rest for at least 4 hours, ideally overnight.
After the cookie dough has rested, preheat oven to 375 F and line a baking tray with parchment paper.
Sprinkle some flour on a clean, flat surface, then roll out the dough. Using a cookie cutter (it doesn't really matter what size or shape, as you will end up crushing the cookies to crumbs) cut out cookies and place them onto the prepared baking tray. Bake the cookies for 12 minutes until they are browned. Remove from the oven and allow them to cool completely.
Once the cookies are cool, create cookie crumbs by adding them to a food processor. You will want 1 ½ cups of cookie crumbs in total; keep adding cookies until you reach this amount.
Add the cookie crumbs to a small saucepan, along with the remaining ½ teaspoon of ground cinnamon, the maple syrup, condensed milk, and ½ cup of water.
Heat up the mixture over a low heat, mixing constantly, until the cookie crumbs have fully dissolved and the mixture becomes glossy. This should take about 5 minutes.
Remove the cookie mixture from the heat and allow it to cool for 10 minutes, before adding it to a food processor along with the coconut oil. Blend everything until smooth — this final step will help to create super creamy and smooth cookie butter.
Transfer the cookie butter to a sealable jar and place it into the fridge for a few hours before using. This cookie butter can be stored in the fridge or at room temperature.",14,1 ¾ cups plain flour,"4 ½ teaspoons ground cinnamon, divided",½ teaspoon ground cardamom,½ teaspoon ground ginger,¼ teaspoon ground cloves,⅛ teaspoon ground nutmeg,½ teaspoon baking powder,¾ cup soft brown sugar,"½ cup butter, room temperature","1 large egg, at room temperature",3 tablespoons maple syrup,2 tablespoons sweetened condensed milk,Tasting Table,https://www.tastingtable.com/1253187/homemade-speculoos-cookie-butter-recipe/,½ cup water,"⅓ cup coconut oil, solid room temperature",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ricciarelli (Tuscan Almond Cookies) Recipe,Jennine Rye,Cookie Recipes,5,85,NA,"Prep Time
25
minutes","Cook Time
12
minutes",NA,Total time: 37 minutes,"servings
14
Ricciarelli",6,"In a large bowl, combine the almond flour with 1 ⅓ cups of sifted confectioner's sugar, the plain flour, the orange zest, and the almond flavoring.
Using a stand mixer or an electric whisk, beat the egg whites until they form stiff peaks. Gently fold the egg whites into the almond flour mixture, until a dough has formed. Cover the dough and leave it for at least 2 hours, ideally overnight.
Preheat the oven to 325 F and prepare a large baking tray with a non-stick mat or baking paper, and add the remaining ⅓ cup confectioner's sugar in a bowl.
Lightly dust a clean surface with confectioner's sugar and then, using your hands, roll the dough out into a log. Using a sharp knife, gently cut cookies from the log, roughly ⅓ to ½ inch thick.
If you would like, shape the cookies into a rough oval shape (the classic shape of the ricciarello), and then coat them well on both sides with the confectioner's sugar in the bowl.
Place the finished cookies on the prepared baking sheet, and then bake them for 12 minutes until the surfaces are cracked. Leave the cookies to cool completely before serving.",6,2 ½ cups almond flour,"1 ⅔ cups confectioner's sugar, divided, plus extra for dusting",1 tablespoon flour,1 tablespoon orange zest,½ teaspoon almond flavoring,"2 egg whites, room temperature",NA,NA,NA,NA,NA,NA,Tasting Table,https://www.tastingtable.com/1245022/ricciarelli-tuscan-almond-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Dunkaroos,NA,Snack Recipes,5,177,NA,"Prep Time
20
minutes","Cook Time
5
minutes",NA,Total time: 25 minutes,"servings
75
small cookies",8,"Make the cookies: In a medium bowl, combine the flour, baking powder, baking soda, cinnamon and salt. Set aside.
In the bowl of a stand mixer, cream the butter and sugar on medium-high speed until pale and fluffy, about 3 minutes. Add the egg and vanilla and mix until combined.
Reduce the mixer speed to low and add the flour mixture until just combined. Shape the dough into a disk and wrap it tightly in plastic wrap. Refrigerate for at least 2 hours, or up to 2 days.
While the cookies are chilling, make the icing: In a stand mixer, beat the butter and confectioners' sugar until light and fluffy, 2 minutes. Add the salt, vanilla and 1 tablespoon of milk, and beat until smooth. Continue adding milk until the frosting is fluffy, then gently stir in the sprinkles.
Preheat the oven to 350°. Line a cookie sheet with parchment paper and set aside.
Lightly flour a kitchen surface, then place the dough on top and lightly flour the dough. Using a rolling pin, roll the dough to a ⅛-inch thickness. Use a small cookie cutter to punch out shapes and transfer them to the prepared baking sheet.
Bake until the bottoms and edges of the cookies turn golden brown, 5 to 7 minutes.
Remove the cookies from the oven and transfer them to a cooling rack. When they're completely cool, dip in the frosting and serve.",17,For the Cookies,1¼ cups flour,1 teaspoon baking powder,1 teaspoon baking soda,½ teaspoon cinnamon,¼ teaspoon salt,¼ cup butter,⅓ cup light brown sugar,1 large egg,½ teaspoon vanilla,For the Frosting,½ cup room-temperature unsalted butter,Tasting Table,https://www.tastingtable.com/686669/homemade-dunkaroos-recipe-easy-dunkaroo-dip-cookie-recipes/,2 cups confectioners' sugar,½ teaspoon salt,¼ teaspoon vanilla extract,1 to 2 tablespoons whole milk,½ cup rainbow sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vegan Gluten-Free Almond Crinkle Cookies Recipe,Miriam Hahn,Cookie Recipes,5,43,NA,"Prep Time
40
minutes","Cook Time
12
minutes",NA,Total time: 52 minutes,"servings
12
cookies",9,"Combine the almond butter, maple syrup, and vanilla in a large bowl.
Combine the cacao powder, almond flour, baking soda, cinnamon, and salt in a medium bowl. Use a whisk to break down any clumps.
Add the dry ingredients to the almond butter mixture and stir well.
Transfer the mixture to the fridge for 30 minutes to firm up so it is easier to handle.
Preheat the oven to 350 F.
Scoop out 2 tablespoons of dough and form it into a ball.
Roll it in the powdered sugar, place it on a parchment-lined baking sheet, and flatten it out. Repeat the process for 11 more cookies.
Bake the cookies in the oven for 12 minutes.
Let them cool on the baking sheet for 10 minutes, then transfer them to a cooling rack for about 10 more minutes before serving.",9,1 cup smooth almond butter,½ cup pure maple syrup,1 teaspoon vanilla,¼ cup + 2 tablespoons unsweetened cacao powder,⅔ cup almond flour,1 teaspoon baking soda,½ teaspoon cinnamon,¼ teaspoon salt,1 tablespoon powdered sugar,NA,NA,NA,Tasting Table,https://www.tastingtable.com/1227846/vegan-gluten-free-almond-crinkle-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookie Lasagna Recipe,Jennine Rye,Dessert Recipes,4.9,71,NA,"Prep Time
1
hour","Cook Time
0
minutes",NA,Total time: 1 hour,"servings
10
Servings",8,"In a bowl, combine together all but 1 tablespoon of the Oreo cookie crumbs and the melted butter, and mix these together thoroughly, and then press mixture into the base of a rectangular lasagna dish.
Chill the dish in the fridge to set for 10 minutes, reserving the remaining tablespoon of Oreo cookie crumbs for decorating the top of the cookie lasagna.
Meanwhile, in a clean bowl or stand mixer, beat together the cream cheese, the sugar, the vanilla extract, and ½ cup of the whipping cream.
Gently fold in ⅓ cup of chocolate chips, then layer this cheesecake mixture on top of the set Oreo cookie base, smoothing it down to make it level, and then put the dish back into the fridge to chill while preparing the next step.
In a clean bowl, add the whole milk and the chocolate pudding mix, whisking for 2 minutes until the mixture has thickened.
Take the lasagna dish out of the fridge, pour the chocolate pudding layer on top of the cheesecake layer, and smooth it out, then refrigerate for 10 minutes to allow the layer to set.
Whip up the remaining 1 cup of cream until it is thick and holds its shape, then dollop this on top of the set chocolate pudding and swirl it about until it covers the surface of the cookie lasagna.
Sprinkle the reserved Oreo crumbs and the remaining ¼ cup of chocolate chips on top, then chill for another 10 minutes before serving.",9,"1 cup Oreo cookie crumbs, divided","4 tablespoons butter, melted",14 ounces cream cheese,1 cup sugar,1 tablespoon vanilla extract,"1 ½ cups whipping cream, divided","⅓ + ¼ cups chocolate chips or chopped chocolate, divided",1 cup whole milk,1 packet instant chocolate pudding mix,NA,NA,NA,Tasting Table,https://www.tastingtable.com/792052/cookie-lasagna-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coconut Chocolate Chip Cookies Recipe,Jennine Rye,Cookie Recipes,5,31,NA,"Prep Time
15
minutes","Cook Time
12
minutes",NA,Total time: 27 minutes,"servings
30
cookies",8,"In a mixing bowl, beat together the butter, brown sugar, and white sugar for 1-2 minutes. Then, add the desiccated coconut and continue to beat the ingredients for 2-3 minutes, until the mixture is creamy.
Add the eggs one at a time, and beat well after each addition.
In a separate bowl, combine the flour, baking powder, and sea salt, then add it to the first mixing bowl. Do this in two steps, mixing in between until the flour is just incorporated. Try not to overmix the batter.
Fold in the chocolate chips.
Chill the cookie dough for at least 1 hour, or overnight.
Preheat the oven to 350 F and line a baking tray with parchment paper.
Separate out a tablespoon of cookie dough and roll the dough into a ball before placing it on the prepared baking tray. Make sure to place the cookie dough balls 2 inches apart to allow for spreading.
Bake the cookies for 12 minutes, then take them out and allow them to cool before transferring them to a cooling rack.",10,"¾ cup butter, room temperature",¾ cup granulated sugar,1 cup light brown sugar,1 cup desiccated coconut,2 cups flour,1 ½ teaspoons baking powder,½ teaspoon sea salt,"2 large eggs, room temperature",1 ½ teaspoons vanilla extract,1 cup dark chocolate chips,NA,NA,Tasting Table,https://www.tastingtable.com/768069/coconut-chocolate-chip-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Purim-Ready Hamantaschen Recipe,Miriam Hahn,Cookie Recipes,5,31,NA,"Prep Time
1.5
hours","Cook Time
10
minutes",NA,"Total time: 1 hour, 40 minutes","servings
16
Servings",6,"Add the flour, sugar, baking powder, salt, and egg to a food processor. Blend to combine the ingredients. Then, add the butter, orange zest, and orange juice, and pulse for a few minutes until a soft dough ball has formed.
Lay the dough on a cutting board, and divide it into 2 sections. Roll each section into a ball, wrap in plastic wrap, and place in the fridge for 1 hour.
Preheat the oven to 350 F. Take the dough balls out of the fridge, unwrap them, and let thaw for 10 minutes to soften. Roll each dough half out into a ¼-inch thick circle or rectangle.
Using a 3- to 4-inch round cookie cutter, glass, or lid, cut out 8 dough circles from each rolled-out dough half. Place them on 2 baking sheets that have been lined with parchment paper. Add 1 teaspoon of your choice of filling(s) to the center of each dough circle.
To shape the dough into triangles, bring the left side of the circle up to partially cover the filling, angling the dough to create a point at the top. Then, bring the right side over the meet the left, and press the dough together at the top to make a point. Fold the bottom flap up, position it under the right and left flaps, and pinch the corners to secure the bottom points of the triangle.
Bake for 10 to 12 minutes, or until the dough is golden brown. Let the cookies cool for 5 minutes on the baking tray, then for 10 minutes on a cooling rack before serving.",9,2 cups all-purpose flour,¾ cup granulated sugar,2 teaspoons baking powder,½ teaspoon salt,1 egg,"½ cup butter, cubed",Zest of 1 orange,2 tablespoons orange juice,"½ cup jam for filling, such as orange marmalade, strawberry, or chocolate",NA,NA,NA,Tasting Table,https://www.tastingtable.com/1204924/purim-ready-hamantaschen-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Old-Fashioned Chocolate Whoopie Pies Recipe,Miriam Hahn,Cookie Recipes,5,28,NA,"Prep Time
30
minutes","Cook Time
10
minutes",NA,Total time: 40 minutes,"servings
12
Servings",5,"Preheat the oven to 375 F. In a medium bowl, combine the flour, cocoa powder, baking powder, baking soda, and salt. In a large bowl, beat ½ cup of butter with the granulated sugar using a mixer. Then, add the egg, milk, and 1 ½ teaspoons of the vanilla, and beat for 2 minutes. Fold the dry ingredients in with the wet ingredients, until well-combined.
Line 2 baking sheets with parchment paper. Scoop 2 tablespoons of the batter, and place them on the baking sheets, leaving at least 2 inches between each ball of batter. You should be able to form 24 balls.
Dip your fingers in some water, and smooth the tops of each ball, flattening them slightly. Bake in the oven for 10 minutes. Cool on the baking sheet for 2 minutes, then transfer to a cooling rack, and let them cool for 15 minutes.
Prepare the filling by beating together the remaining butter, powdered sugar, the remaining vanilla, and marshmallow cream.
Spread 1 to 2 tablespoons of this mixture on the inside of a cake piece, then top with another cake piece. Repeat the process until all the whoopie pies are assembled, then serve.",12,2 cups all-purpose flour,½ cup unsweetened cocoa powder,½ teaspoon baking powder,½ teaspoon baking soda,½ teaspoon salt,"½ cup, plus ⅓ cup butter, softened, divided",¾ cup granulated sugar,1 egg,1 cup milk,"3 teaspoons vanilla, divided",1 cup powdered sugar,7 ounces marshmallow cream,Tasting Table,https://www.tastingtable.com/1199467/old-fashioned-chocolate-whoopie-pies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Traybake Brookies Recipe,Jennine Rye,Dessert Recipes,5,23,NA,"Prep Time
2
hours","Cook Time
50
minutes",NA,"Total time: 2 hours, 50 minutes","servings
16
servings",11,"Line a 9-x9-inch baking pan with baking paper, and set it to the side. In a microwave-proof bowl, melt ¾ cup of butter.
Once it is melted, add it to a large mixing bowl, along with ¾ cup of packed brown sugar, and all the white sugar. Mix everything together.
Whisk 1 egg into the butter and sugar mixture, then add 1 tablespoon of vanilla extract, and mix.
In a separate bowl, combine 1 ⅔ cups of all-purpose flour, the cornstarch, baking powder, and ¾ teaspoon of salt.
Fold the flour mixture into the large mixing bowl with the wet ingredients until a thick cookie dough forms. Mix in semisweet chocolate chips.
Press the cookie dough mixture into the base of the lined baking pan, and refrigerate for at least 1 hour. After a minimum of 1 hour, preheat the oven to 350 F.
In a microwave-proof bowl, melt 1 ¼ cups of butter. Then, mix in the remaining 2 ½ cups of brown sugar, 4 eggs, and 2 teaspoons of vanilla extract.
Fold in the cocoa powder, the remaining ¾ cup of all-purpose flour, and remaining ¾ teaspoon of salt. Finally, fold in the white chocolate chips.
Remove the baking pan with the cookie dough base from the fridge, and add the brownie batter on top, spreading it out evenly to fully cover the cookie base.
Place the brookies into the oven to bake for 45 minutes. When a skewer inserted comes out covered in sticky crumbs, remove the pan from the oven.
Allow it to cool completely, ideally overnight but at least 30 minutes, before slicing it into 16 squares. Store the brookies at room temperature in an airtight container, and consume them within 3 days.",12,"2 cups butter, divided","3 ¼ cups brown sugar, divided",½ cup white sugar,"5 eggs, room temperature, divided","1 tablespoon, plus 2 teaspoons vanilla extract, divided","1 ⅔ cups, plus ¾ cup all-purpose flour, divided",1 tablespoon cornstarch,1 teaspoon baking powder,"1 ½ teaspoons salt, divided",1 ½ cups semisweet chocolate chips or chunks,1 ¼ cups cocoa powder,1 cup white chocolate chips or chunks,Tasting Table,https://www.tastingtable.com/1190288/traybake-brookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
