title,author,rating,cuisine,ratingnum,preptime,cooktime,totaltime,servings,numberofsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,source,link,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Blueberry Cookies,Carrie Barnard,5,American, 1 ,NA,NA,NA,NA,13,15,▢ 2 ½ cups All Purpose Flour,▢ 1 ½ teaspoons Baking Powder,▢ 1 teaspoon Cornstarch,▢ ¼ teaspoon Salt,Desserts on a Dime,https://dessertsonadime.com/blueberry-cookies/,▢ 1 cup Granulated Sugar,▢ ¾ cup Unsalted Butter softened at room temperature,▢ 2 large Eggs room temperature,▢ 1 teaspoon Vanilla Extract,"▢ 1 Lemon zested, approximately 1 tablespoon zest",▢ 2 Tablespoons Fresh Lemon Juice,▢ ¼ cup Milk,▢ 1 cup Blueberries fresh or frozen,▢ 1 1/2 cup powdered sugar,▢ 2 Tablespoons Fresh Lemon Juice,▢ 1-2 Tablespoons Milk,NA,NA,NA,NA,NA,NA,NA,NA
Cottage Cheese Cookies,Carrie Barnard,5,American, 1 ,10 minutes,15 minutes,30 minutes,NA,7,6,▢ 1 Cup Cottage Cheese,▢ 1 Large Egg,▢ 1/3 Cup Monk Fruit Sweetener,▢ 1 Cup Almond Flour,Desserts on a Dime,https://dessertsonadime.com/cottage-cheese-cookies/,▢ 1/4 Cup Vanilla Protein Powder,▢ 1/4 Cup Sugar Free Chocolate Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pineapple Cookies,Carrie Barnard,5,American, 2 ,45 minutes,15 minutes,35 minutes,NA,14,12,▢ 2 cups all-purpose flour,▢ 1 teaspoon baking powder,▢ ½ teaspoon salt,▢ 4 ounces cream cheese softened to room temperature,Desserts on a Dime,https://dessertsonadime.com/pineapple-cookies/,▢ ½ cup salted butter softened,▢ 1 cup granulated sugar,▢ 1 large egg room temperature,▢ 1 teaspoon vanilla extract,▢ 1 Tablespoon Pineapple Juice,▢ 1/2 cup crushed pineapple drained,▢ 1 1/2 cup powdered sugar,▢ 2-3 tablespoons pineapple juice from the can of crushed pineapple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sour Cream Sugar Cookies,Carrie Barnard,5,American, 1 ,15 minutes,12 minutes,32 minutes,NA,11,14,▢ 2 1/4 Cups All Purpose Flour,▢ 2 teaspoon baking powder,▢ 1/2 teaspoon salt,▢ 3/4 cup Butter room temperature,Desserts on a Dime,https://dessertsonadime.com/sour-cream-sugar-cookies/,▢ 1 cup granulated sugar,▢ 2 egg yolks,▢ 1 teaspoon vanilla extract,▢ 1/2 cup sour cream,▢ 2 tablespoons heavy cream,▢ 1/2 cup butter,▢ 2 1/2 cups powdered sugar,▢ 1 teaspoon vanilla,▢ 2 Tablespoons heavy cream,▢ food coloring optional,NA,NA,NA,NA,NA,NA,NA,NA,NA
Churro Cookies,Carrie Barnard,5,American, 1 ,10 minutes,10 minutes,30 minutes,NA,13,18,▢ 1/2 cup granulated sugar,▢ 1 teaspoon ground cinnamon,▢ 1 cup butter unsalted (softened),▢ 3/4 cup granulated sugar,Desserts on a Dime,https://dessertsonadime.com/churro-cookies/,▢ 3/4 cup light brown sugar,▢ 2 eggs,▢ 2 teaspoon vanilla extract,▢ 1/4 teaspoon lemon juice,▢ 3 cups all purpose flour,▢ 1 Tablespoon cornstarch,▢ 1 teaspoon baking powder,▢ 1/2 teaspoon baking soda,▢ 1/4 teaspoon salt,▢ 1 teaspoon ground cinnamon,▢ 2 1/2 cups butter,▢ 2 teaspoon ground cinnamon,▢ 4 cups powdered sugar,▢ 1/2 cup + 2 Tablespoon heavy cream,NA,NA,NA,NA,NA
Butterfinger Cookies,Carrie Barnard,5,American, 1 ,30 minutes,10 minutes,45 minutes,NA,8,10,▢ 1 3/4 All Purpose Flour,▢ 1/2 cup Brown Sugar,▢ 1/4 cup Granulated Sugar,▢ 1 Large Egg,Desserts on a Dime,https://dessertsonadime.com/butterfinger-cookies/,▢ 1 teaspoon vanilla Extract,▢ 1/2 cup Salted Butter softened,▢ 1 teaspoon Baking Soda,▢ 1/2 teaspoon Baking Powder,▢ 1/4 teaspoon Salt,▢ 1 cup Chopped Butterfingers approximately 8 fun size Butterfingers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marshmallow Cookies,Carrie Barnard,5,American, 1 ,15 minutes,12 minutes,32 minutes,NA,11,8,▢ 1 3/4 cup All Purpose Flour,▢ 1/2 teaspoon Baking Soda,▢ ¼ tsp salt,▢ 1/2 cup Butter softened,Desserts on a Dime,https://dessertsonadime.com/marshmallow-cookies/,▢ 1 cup brown sugar,▢ 2 teaspoons vanilla Extract,▢ 1 Large Egg,▢ 1 cup Mini Marshmallows,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shortbread Christmas Cookies,Carrie Barnard,5,American, 1 ,45 minutes,15 minutes,20 minutes,NA,10,6,▢ 2 1/4 cups all purpose flour,▢ ¼ teaspoon salt,▢ 3/4 cup Powdered Sugar,▢ 1 1/2 cup unsalted butter softened,Desserts on a Dime,https://dessertsonadime.com/shortbread-christmas-cookies/,▢ 1 teaspoon vanilla extract,▢ 1/2 cup Christmas Sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreo Turkey Cookies,Carrie Barnard,4.84,American, 37 ,15 minutes,NA,15 minutes,NA,5,5,▢ 12 Oreo Cookies,▢ 48 pieces Candy Corn,▢ 24 Candy Eyes,▢ 12 Peanut Butter Chips,Desserts on a Dime,https://dessertsonadime.com/oreo-cookie-turkeys/,▢ 4 oz White Icing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Whip Cake Mix Cookies,Carrie Barnard,5,American, 1 ,10 minutes,10 minutes,25 minutes,NA,6,4,"▢ 1 box cake mix 15.25 ounces, any flavor",▢ 8 ounces Cool Whip thawed,▢ 1 large Egg,▢ 1 cup Powdered Sugar,Desserts on a Dime,https://dessertsonadime.com/cool-whip-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Sugar Cookies,Carrie Barnard,5,American, 14 ,10 minutes,10 minutes,25 minutes,NA,7,10,▢ 1 cup butter softened at room temperature,▢ 1½ cups light brown sugar,▢ 2 eggs,▢ 2 3/4 cups all-purpose flour,Desserts on a Dime,https://dessertsonadime.com/brown-sugar-cookies-recipe/,▢ 1 teaspoon baking soda,▢ 1 Tbsp Corn Starch,▢ ½ teaspoon salt,▢ 1/2 tsp ground cinnamon,▢ 2 tsp Vanilla Extract,▢ 1/4 cup Granulated Sugar for topping,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Wafer Cookies,Carrie Barnard,5,American, 1 ,15 minutes,10 minutes,30 minutes,NA,9,9,▢ 1 1/2 cups All Purpose Flour,▢ 1/2 cup Dutch Processed Cocoa Powder,▢ 3/4 teaspoons Baking Powder,▢ 1 Large Egg room temperature,Desserts on a Dime,https://dessertsonadime.com/chocolate-wafer-cookies/,▢ 1 cup Granulated Sugar,▢ 1 teaspoon Vanilla Extract,▢ 1/4 teaspoon Salt,▢ 1/2 cup Unsalted Butter softened,▢ 3 Tablespoons Milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Caramel Chocolate Chip Cookie Recipe,Carrie Barnard,4.58,American, 14 ,10 minutes,10 minutes,20 minutes,NA,13,11,▢ 1 cup butter softened,▢ 1/2 cup Sugar,▢ 3/4 cup Brown Sugar,▢ 2 tsp Vanilla Extract,Desserts on a Dime,https://dessertsonadime.com/salted-caramel-chocolate-chip-cookies-recipe/,▢ 2 eggs,▢ 2 1/4 cups of Flour,▢ 2 tsp cornstarch,▢ 1 tsp Baking Soda,▢ 1 cup semi-sweet chocolate chips,▢ 24 Soft Caramels Werther’s Original has a good option,▢ 1/2 tsp Sea Salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cream Cheese Cookies Recipe,Carrie Barnard,4.77,American, 30 ,20 minutes,10 minutes,30 minutes,NA,11,9,▢ 8 oz cream cheese room temperature,▢ 1/2 cup butter softened,▢ 1 1/4 cup granulated sugar,▢ 2 eggs,Desserts on a Dime,https://dessertsonadime.com/cream-cheese-cookies-recipe/,▢ 1 teaspoon vanilla extract,▢ 2 1/2 cups all-purpose flour,▢ 2 teaspoons baking powder,▢ 1/2 teaspoon salt,▢ Powdered Sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butter Cookies,Carrie Barnard,4.80,American, 10 ,15 minutes,12 minutes,32 minutes,NA,8,7,▢ 1 cup unsalted butter softened,▢ 2/3 cup granulated sugar,▢ 1/4 tsp salt,▢ 2 large egg yolks,Desserts on a Dime,https://dessertsonadime.com/butter-cookies-recipe/,▢ 1 tsp vanilla extract,▢ 2 cups all-purpose flour,▢ 2 tsp milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Ingredient Sugar Cookie Recipe,Carrie Barnard,4.65,American, 106 ,10 minutes,15 minutes,25 minutes,12,4,4,▢ 1 stick plus 2 tbsp salted butter softened at room temperature,▢ 1/3 cup sugar,▢ 1 cup all purpose flour,▢ sprinkles are optional,Desserts on a Dime,https://dessertsonadime.com/3-ingredient-sugar-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deep Fried Oreos,Carrie Barnard,4.84,American, 54 ,5 minutes,4 minutes,9 minutes,NA,4,6,▢ 20 Oreo cookies,▢ 1.5 cups pancake mix any kind will work – or our homemade pancake mix,▢ 1 egg,▢ 1 cup milk,Desserts on a Dime,https://dessertsonadime.com/deep-fried-oreos-recipe/,▢ 2 teaspoons vegetable oil plus more for frying,▢ 1/4 cup powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacon Chocolate Chip Cookies Recipe,Carrie Barnard,4.75,American, 242 ,15 minutes,10 minutes,30 minutes,NA,9,12,▢ 1 1/8 cup Butter (softened at room temperature),▢ 4 Tbsp Bacon Grease (cooled and solidify),▢ 1/2 cup Granulated Sugar,▢ 3/4 cup Brown Sugar,Desserts on a Dime,https://dessertsonadime.com/bacon-chocolate-chip-cookies-recipe/,▢ 2 Large Eggs,▢ 2 tsp Vanilla Extract,▢ 2 1/4 cups All Purpose Flour,▢ 2 tsp Cornstarch,▢ 1 tsp Baking Soda,▢ 1/2 tsp Salt,▢ 7 slices Bacon (cooked crisp and roughly chopped),▢ 2 cups Semi-Sweet Chocolate Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coffee Cake Cookies,Carrie Barnard,5,American, 1 ,NA,NA,NA,NA,13,19,▢ 1/2 cup All Purpose Flour,▢ 1/2 cup butter softened,▢ 1/4 cup brown sugar,▢ 1 tsp cinnamon,Desserts on a Dime,https://dessertsonadime.com/coffee-cake-cookies/,▢ pinch of salt,▢ 1/2 cup Butter softened,▢ 1/2 cup Light Brown Sugar,▢ 1/4 cup Granulated Sugar,▢ 1 Large Egg,▢ 2 teaspoons Ground Cinnamon,▢ 1/4 teaspoon Vanilla Extract,▢ 2 cups All Purpose Flour,▢ 1 Tablespoon Cornstarch,▢ 1/2 teaspoon Baking Powder,▢ 1/2 teaspoon Baking Soda,▢ 1/2 teaspoon Salt,▢ 1/2 cup Powdered Sugar,▢ 1 Tablespoon Milk,▢ 1/4 teaspoon Vanilla Extract,NA,NA,NA,NA
Apple Pie Cookies,Carrie Barnard,4.86,American, 7 ,20 minutes,25 minutes,50 minutes,NA,9,6,▢ 1 can Apple Pie Filling 21 oz,"▢ 1 pkg Refrigerated Pie Crust 2 crusts in the package, defrosted",▢ 1/2 cup Salted Caramel Sauce,▢ 1 Egg Lightly Beaten,Desserts on a Dime,https://dessertsonadime.com/apple-pie-cookies-recipe/,▢ 1 tsp Cinnamon,▢ 1/4 cup Granulated Sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Fryer Chocolate Chip Cookies,Carrie Barnard,5,American, 6 ,10 minutes,8 minutes,18 minutes,NA,8,10,▢ 1/2 cup Butter softened at room temperature,▢ 1/2 cup Granulated Sugar,▢ 1/2 cup Brown Sugar,▢ 1 Large Eggs,Desserts on a Dime,https://dessertsonadime.com/air-fryer-chocolate-chip-cookies/,▢ 1 tsp Vanilla Extract,▢ 1/2 cups All Purpose Flour,▢ 1 tsp Cornstarch,▢ 1/2 tsp Baking Soda,▢ 1/4 tsp Salt,▢ 1 cup Semi-Sweet Chocolate Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brownie Mix Cookies Recipe,Carrie Barnard,4.71,American, 17 ,10 minutes,10 minutes,25 minutes,NA,7,5,▢ 1 Brownie Mix 18.4 oz box,▢ 1 cup All Purpose Flour,▢ 3 Large Eggs,▢ 1/3 cup Vegetable Oil,Desserts on a Dime,https://dessertsonadime.com/brownie-mix-cookies-recipe/,▢ 1/2 cup Powdered Sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Fryer Peanut Butter Cookies,Carrie Barnard,4.78,American, 162 ,5 minutes,4 minutes,12 minutes,NA,6,3,▢ 1 cup Creamy Peanut Butter,▢ 1 cup Granulated Sugar,▢ 1 Large Egg,NA,Desserts on a Dime,https://dessertsonadime.com/air-fryer-peanut-butter-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gluten Free Monster Cookies,Carrie Barnard,5,American, 1 ,15 minutes,15 minutes,40 minutes,NA,9,10,▢ 1/2 cup Butter softened at room temperature,▢ 1 1/2 cups Creamy Peanut Butter,▢ 1 1/2 cup packed brown sugar,▢ 1/2 cup Granulated Sugar,Desserts on a Dime,https://dessertsonadime.com/gluten-free-monster-cookies/,▢ 3 large eggs,▢ 1 teaspoons pure vanilla extract,▢ 2 teaspoons baking soda,▢ 4 1/2 cups Old Fashioned Rolled Oats,▢ 1 cup semi-sweet chocolate chips,▢ 1 cup M&M’s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chex Scotcheroos,Carrie Barnard,5,American, 1 ,10 minutes,10 minutes,20 minutes,NA,9,7,▢ 6 cups Chex cereal (Rice or Corn),▢ 1 cup light corn syrup,▢ 1/2 cup Granulated Sugar,▢ 1 cup creamy peanut butter,Desserts on a Dime,https://dessertsonadime.com/chex-scotcheroos/,▢ 1 cups semi sweet chocolate chips,▢ 1 cups butterscotch chips,▢ 1 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cake Mix Snickerdoodle Cookies,Carrie Barnard,5,American, 1 ,15 minutes,10 minutes,30 minutes,NA,9,5,▢ 1 Yellow Cake Mix,▢ 2 Large Eggs,▢ 1/3 cup Vegetable Oil,▢ 2 Tablespoons Granulated Sugar,Desserts on a Dime,https://dessertsonadime.com/cake-mix-snickerdoodle-cookies/,▢ 1 teaspoon Cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nutella No Bake Cookies,Carrie Barnard,5,American, 1 ,5 minutes,10 minutes,35 minutes,NA,8,7,▢ 1/2 cup salted butter,▢ 1 3/4 cups granulated sugar,▢ 4 Tablespoons unsweetened cocoa powder,▢ 1/2 cup milk,Desserts on a Dime,https://dessertsonadime.com/nutella-no-bake-cookies/,▢ 1 tsp vanilla extract,▢ 1/2 cup Nutella,▢ 3 cups quick oats don’t use old fashioned oats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4th of July Sugar Cookies,Carrie Barnard,5,American, 3 ,30 minutes,10 minutes,50 minutes,NA,23,13,▢ Cookie Ingredients:,▢ 5 cups flour,▢ 2 tsp baking powder,▢ 1 tsp salt,Desserts on a Dime,https://dessertsonadime.com/4th-of-july-sugar-cookies/,▢ 1 1/2 cup unsalted butter softened at room temperature,▢ 2 cups granulated sugar,▢ 4 Eggs,▢ 2 tsp Vanilla Extract,▢ Icing Ingredients:,▢ 2 egg whites,▢ 1 cup powdered sugar,▢ 1/2 tsp cream of tartar,▢ Gel Food Coloring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banana Pudding Cookies,Carrie Barnard,4.50,American, 4 ,15 minutes,10 minutes,30 minutes,NA,8,11,▢ 1 cup Unsalted Butter softened,▢ ¾ cup Brown Sugar,▢ ¼ cup Granulated Sugar,▢ 2 large Eggs,Desserts on a Dime,https://dessertsonadime.com/banana-pudding-cookies-recipe/,▢ 1 Package of Banana Cream Instant Pudding Mix 3.4 oz box (just the mix do not prepare based on the box instructions),▢ 1 tsp Vanilla Extract,▢ 2 ¼ cups Flour,▢ 1 tsp Baking Soda,▢ ½ tsp Salt,▢ 1 cup White Chocolate Chips plus more for decorating,▢ 1 cup Broken Up Nilla Wafers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nutella Cookies,Carrie Barnard,5,American, 1 ,15 minutes,10 minutes,55 minutes,NA,11,13,▢ 1 1/4 cups All Purpose Flour,▢ 1/4 cup Unsweetened Cocoa Powder,▢ 1 Tablespoons Cornstarch,▢ 1 teaspoon Baking Powder,Desserts on a Dime,https://dessertsonadime.com/nutella-cookies/,▢ 1/2 teaspoon Baking Soda,▢ 1/2 teaspoon Salt,▢ 1/2 cup Unsalted Butter softened to room temperature,▢ 1/2 cup Brown Sugar,▢ 1/2 cup Granulated Sugar,▢ 1/3 cup Nutella Spread,▢ 1 teaspoon Vanilla Extract,▢ 1 large Egg room temperature,▢ 1 cup Chocolate Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Cake Mix Cookies,Carrie Barnard,4.72,American, 21 ,10 minutes,8 minutes,13 minutes,NA,5,4,▢ 1 Lemon Cake Mix,▢ 1 Cool Whip 8 ounce,▢ 1 Egg,▢ 1/2-1 Cup Powdered Sugar,Desserts on a Dime,https://dessertsonadime.com/lemon-cake-mix-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Chocolate Chip Cookies,Carrie Barnard,4.82,American, 27 ,15 minutes,10 minutes,NA,NA,12,10,▢ 1 cup Butter softened at room temperature,▢ 1 cup Granulated Sugar,▢ 1 cup Brown Sugar,▢ 2 Large Eggs,Desserts on a Dime,https://dessertsonadime.com/the-best-chocolate-chip-cookies/,▢ 2 tsp Vanilla Extract,▢ 3 cups All Purpose Flour,▢ 2 tsp Cornstarch,▢ 1 tsp Baking Soda,▢ 1/2 tsp Salt,▢ 1 cup Semi-Sweet Chocolate Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keto Chocolate Chip Cookies,Carrie Barnard,5,American, 3 ,10 minutes,12 minutes,32 minutes,NA,5,8,▢ 1 cup finely ground almond flour,▢ 2-4 tbsp sugar free chocolate chips,▢ 2 tbsp keto friendly powdered sugar substitute,▢ 1/4 tsp salt,Desserts on a Dime,https://dessertsonadime.com/keto-chocolate-chip-cookie-recipe/,▢ 1/8 tsp baking soda,▢ 2 tbsp coconut oil,▢ 1 tsp pure vanilla extract,▢ 2-3 tsp milk of choice as needed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Cake Mix Cookies,Carrie Barnard,4.70,American, 13 ,10 minutes,10 minutes,20 minutes,NA,7,5,▢ 1 yellow cake mix,▢ 2 eggs,▢ 1/3 cup oil,▢ 1 cup Peanut Butter,Desserts on a Dime,https://dessertsonadime.com/peanut-butter-cake-mix-cookies/,▢ 1/3 cup granulated sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S’mores Bars,Carrie Barnard,5,American, 3 ,15 minutes,10 minutes,25 minutes,NA,12,5,▢ 2 Cups graham cracker crumbs,▢ 1/2 cup butter or 1 stick (melted),▢ 1/3 Cup brown sugar,▢ 4 Hershey Chocolate Bar use 4.4 ounce bars,Desserts on a Dime,https://dessertsonadime.com/smores-bars-recipe/,▢ 1 package mini marshmallows,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Cookies,Carrie Barnard,4.84,American, 6 ,15 minutes,12 minutes,27 minutes,NA,8,11,▢ 2 1/2 cup All-Purpose Flour,▢ 1 1/4 cup sugar,▢ 1 cup brown sugar,▢ 1 cup butter softened,Desserts on a Dime,https://dessertsonadime.com/peanut-butter-cookies-recipe/,▢ 1 cup Peanut Butter,▢ 1 tsp baking powder,▢ 1 tsp baking soda,▢ 1 tsp cornstarch,▢ 1 tsp salt,▢ 1 tsp Vanilla Extract,▢ 2 Eggs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter Cake Mix Cookies,Carrie Barnard,4.30,American, 17 ,10 minutes,10 minutes,20 minutes,NA,6,4,▢ 1 yellow cake mix,▢ 2 eggs,▢ 1/3 cup oil,▢ 1/2 cup Pastel M&Ms,Desserts on a Dime,https://dessertsonadime.com/easter-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter Chocolate Covered Oreos,Carrie Barnard,5,American, 7 ,5 minutes,NA,20 minutes,NA,9,7,▢ 16 Oreo Cookies,▢ 6 ounces White Chocolate Chips ,▢ 6 ounces Pink Candy Melts,▢ 6 ounces Light Blue Candy Melts ,Desserts on a Dime,https://dessertsonadime.com/easter-chocolate-covered-oreos/,▢ 6 ounces Yellow Candy Melts ,▢ 2 teaspoons Vegetable Oil (divided),▢ Spring Pastel Sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter Egg Sugar Cookies,Carrie Barnard,4.75,American, 4 ,15 minutes,10 minutes,25 minutes,NA,16,12,▢ 5 cups flour,▢ 2 tsp baking powder,▢ 1 tsp salt,▢ 1 1/2 cup unsalted butter softened at room temperature,Desserts on a Dime,https://dessertsonadime.com/easter-egg-sugar-cookies-recipe/,▢ 2 cups granulated sugar,▢ 4 Eggs,▢ 2 tsp Vanilla Extract,▢ Icing Ingredients:,▢ 2 egg whites,▢ 1 cup powdered sugar,▢ 1/2 tsp cream of tartar,▢ Gel Food Coloring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shamrock Cookies,Carrie Barnard,5,American, 1 ,20 minutes,10 minutes,30 minutes,NA,18,13,▢ 2 3/4 cups All Purpose Flour,▢ 1 cup Salted Butter softened,▢ 1 cup Granulated Sugar,▢ 2 teaspoon Vanilla Extract,Desserts on a Dime,https://dessertsonadime.com/shamrock-cookies/,▢ 2 Large Eggs,▢ 1 teaspoon Baking Powder,▢ 1/2 teaspoon Salt,▢ 3 cups Powdered Sugar sifted,▢ 3-4 Tablespoons Milk,▢ 2 Tablespoons Light Corn Syrup,▢ 1/2 teaspoon Vanilla Extract,▢ Green Gel Food Coloring,▢ Green Sugar Sprinkles optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mint Chocolate Chip Cookies,Carrie Barnard,5,American, 4 ,10 minutes,10 minutes,25 minutes,NA,10,11,▢ 1 cup unsalted butter softened at room temperature,▢ 1/2 cup granulated sugar,▢ 1/2 cup brown sugar,▢ 2 Large Egg room temperature,Desserts on a Dime,https://dessertsonadime.com/mint-chocolate-chip-cookies-recipe/,▢ 1/2 teaspoon Peppermint Extract,▢ 2 1/4 cups All Purpose Flour,▢ 2 teaspoons baking powder,▢ 1/2 teaspoon Baking Soda,▢ 1/2 teaspoon Salt,▢ Gel Green Food Coloring,▢ 12 ounces Semi-Sweet Chocolate Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pistachio Cookies,Carrie Barnard,5,American, 1 ,15 minutes,10 minutes,30 minutes,NA,9,12,▢ 1 cup Unsalted Butter softened,▢ ¾ cup Brown Sugar,▢ ¼ cup Granulated Sugar,▢ 2 large Eggs,Desserts on a Dime,https://dessertsonadime.com/pistachio-cookies/,"▢ 1 pkg Instant Pistachio Pudding Mix 3.4 ounces, dry, not prepared",▢ 1 tsp Vanilla extract,▢ 2 cups All Purpose Flour,▢ 1 tsp Baking Soda,▢ ½ tsp Salt,▢ Green Food Coloring optional,▢ 1 cup White Chocolate Chips,▢ 1/2 cup Crushed Pistachios,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keto Edible Cookie Dough Recipe ,Carrie Barnard,5,American, 4 ,10 minutes,NA,10 minutes,NA,5,7,▢ 3/4 cup Almond Flour,▢ 2 Tbsp Swerve Powdered Sweetened,▢ 1 Tbsp Unsalted Butter softened at room temperature,▢ 2 Tbsp Heavy Whipping Cream,Desserts on a Dime,https://dessertsonadime.com/keto-edible-cookie-dough-recipe/,▢ 1/2 tsp Vanilla Extract,▢ 1/8 tsp Salt,▢ 1/2 cup Sugar Free Chocolate Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nutter Butter Cookies,Carrie Barnard,4.50,American, 2 ,20 minutes,10 minutes,35 minutes,NA,13,13,▢ 1 1/2 cups All Purpose Flour,▢ 1 tsp Baking Soda,▢ 1/2 tsp Salt,▢ 1/2 cup Unsalted Butter softened,Desserts on a Dime,https://dessertsonadime.com/homemade-nutter-butter-cookie-recipe/,▢ 1 cup Brown Sugar,▢ 1 cup Creamy Peanut Butter,▢ 1 Large Egg,▢ 1/2 tsp Vanilla Extract,▢ 1/2 cup Granulated Sugar for rolling the cookies,▢ 1/4 cup unsalted butter softened,▢ 1/2 cup creamy peanut butter,▢ 2 tablespoons milk,▢ 1 1/2 cups Powdered Sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S’mores Cookies Recipe,Carrie Barnard,4.86,American, 7 ,10 minutes,10 minutes,20 minutes,NA,8,12,▢ 1 ½ cup flour,▢ 1 ½ cup coarsely crushed graham crackers,▢ ¼ tsp baking powder,▢ ¼ tsp salt,Desserts on a Dime,https://dessertsonadime.com/smores-cookies-recipe/,▢ ½ lb butter,▢ ¾ cup brown sugar,▢ ¾ cup white sugar,▢ 1 tsp vanilla,▢ 2 eggs,▢ 1 cup chocolate chips,▢ 64 mini marshallows,▢ 2 Hershey chocolate bars chopped into chunks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cream Cheese Cake Mix Cookies,Carrie Barnard,4.80,American, 20 ,10 minutes,10 minutes,20 minutes,NA,8,6,▢ (1)15.25 oz. box white cake mix,▢ (1) 8 oz. brick cream cheese {softened},▢ 1/2 cup butter {softened},▢ 1 egg,Desserts on a Dime,https://dessertsonadime.com/cream-cheese-cake-mix-cookies/,▢ 1 tsp vanilla extract,▢ 1/4 cup powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
