title,author,date,update,rating,ratingnum,category1,category2,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,source,link,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24
Red Velvet Cheesecake Thumbprints,Diana,"January 3, 2023",NA,5,4,Valentine's,Red Velvet Thumbprints,20 minutes,20 minutes,NA,10 minutes,36 cookies,11,"Preheat the oven to 300°F/150°C, and line a baking sheet with parchment paper or a Silpat silicone mat. Set aside.
In a medium size bowl with a hand mixer, beat the cream cheese and sugar until well blended. Add in salt, vanilla extract, egg yolk and sour cream, mix until smooth and creamy.
Cover the bowl with plastic wrap, and chill the filling in the fridge as you make the cookie dough for at least 30 minutes.
In a medium bowl combine flour, cocoa powder and salt.
In the bowl of a stand mixer fitted with a paddle attachment cream together butter and sugar until creamy (2-3 minutes). Add in an egg yolk and vanilla extract and mix again until well combined.
Add in the dry ingredients to the butter mixture, and mix until just combined. To add a red color, add in enough food coloring to reach the desired color.
Place red sanding sugar in a shallow dish, then using a small cookie scoop (1 tablespoon size) scoop out dough and roll into balls then roll in the sanding sugar to evenly coat them.
Place the balls on the parchment, and press the center of the cookie down with the backside of a tablespoon or your thumb. Repeat with all of the cookies.
Bake the cookies in the preheated oven for 10 minutes. Remove from the oven, gently press in the center of each cookie again and fill with the cream cheese filling.
Place back in the oven and bake 10-12 minutes or until the filling is set.
Allow to cool on the baking sheet for 2-3 minutes then transfer to a wire rack to cool completely.",15,▢ 1 cup unsalted butter softened,▢ ½ cup brown sugar,▢ 1 egg yolk,▢ 1 teaspoon vanilla extract,▢ 2 cups all purpose flour,▢ 2 teaspoons cocoa powder,▢ ¼ teaspoon salt,▢ Red Gel Food Coloring,▢ Red Sanding Sugar,▢ 4 ounces cream cheese softened,▢ ¼ cup granulated sugar,▢ ⅛ teaspoon salt,Fun Cookie Recipes,https://funcookierecipes.com/red-velvet-thumbprints/,▢ 1 egg yolk,▢ 2 teaspoons sour cream,▢ ¼ teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter Peep Rice Krispie Treats,Diana,"December 29, 2022",NA,5,5,Easter,Peeps Rice Krispie Treats,5 minutes,5 minutes,NA,25 minutes,16 servings,13,"Line a 9×13 inch pan with parchment paper and set aside.
Use a small piece of room-temperature butter and grease a large mixing bowl and rubber spatula, including a portion of the handle. Add rice Krispie cereal to the mixing bowl and set aside.
In a large non-stick saucepan, melt butter over low heat.
Add in half the marshmallows and stir to coat them with the butter. As the marshmallows begin to soften and get melty, add the other half of the marshmallows.
Continue heating over low heat, stirring frequently, until the marshmallows are almost completely melted.
Remove from heat and pour the marshmallow mixture over the rice krispie cereal.
Fold in with the buttered spatula just until all the cereal has been coated. Don’t overmix.
Pour the cereal mixture into the prepared pan.
Using buttered fingertips, lightly press the cereal mixture into an even layer, making sure that the mixture goes all the way into the corners.
Let the bars set up for at least 30 minutes.
Lift the krispie treats out of the pan by using the parchment paper.
Using a marshmallow peep as a guide, cut squares to desired size.
Separate slightly to allow room to drizzle with melted chocolate and festive sprinkles. While the chocolate is still soft, place a peep on the tops of each of the rice krispie treats. As the chocolate sets, it will adhere to the rice krispie treat.",6,▢ 6 tablespoons salted butter,▢ 1 x 16-ounce bag mini marshmallows,▢ 7 cups rice krispie cereal,▢ Candy melting wafers in desired colors,▢ Easter sprinkles,▢ 16 peeps,NA,NA,NA,NA,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/peeps-rice-krispie-treats/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Kiss Cookies,Diana,"December 16, 2022",NA,4.91,11,Christmas,Gingerbread Kiss Cookies,20 minutes,8 minutes,NA,28 minutes,60 cookies,7,"Preheat the oven to 350°F/180°C, and line 2 cookie sheets with parchment paper or Silpat silicone mats.
In a large mixing bowl, combine the flour with baking soda, salt, ground ginger, cinnamon, cloves, and nutmeg. Set aside.
In the mixing bowl of a stand mixer fitted with the paddle attachment, add butter, brown sugar, egg, and and beat until smooth and creamy. Add half a cup of unsulphured molasses, and beat again until well combined.
Add the flour mixture to the bowl, and mix on low speed until combined. The cookie dough will be quite dry, but don’t worry that’s how it should be.
Using a small 1-inch cookie scoop, scoop out dough and roll into balls. Roll each cookie dough ball in a bowl with white granulated sugar, and place on a cookie sheet about an inch apart.
Bake in the preheated oven for 8 minutes or until the cookies are puffed. They will be soft but will set as they cool down. Also note that these cookies will not spread much. As the cookies are being baked, unwrap the Hershey’s hugs.
While the cookies are still warm out of the oven, work quickly and press a Hershey’s kiss on top of each cookie gently pushing it down a little. Allow to cool then store.",14,▢ 3 cups (385g) all purpose flour,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,▢ 2 teaspoons ground ginger,▢ 1½ teaspoons ground cinnamon,▢ ½ teaspoon ground cloves,▢ ½ teaspoon ground nutmeg,"▢ ¾ cup (170g) unsalted butter at room temperature, 1 ½ sticks in total",▢ 1 large egg at room temperature,▢ ¾ cup light brown sugar,▢ 1 teaspoon vanilla extract,▢ ½ cup unsulphured molasses,Fun Cookie Recipes,https://funcookierecipes.com/gingerbread-kiss-cookies/,▢ ½ cup granulated sugar to roll the cookies,▢ 60 Hershey's hugs chocolates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snowman Sugar Cookies,Diana,"December 15, 2022",NA,5,4,Christmas,Snowman Sugar Cookies,40 minutes,12 minutes,NA,52 minutes,36 cookies,13,"Preheat the oven to 350°F/180°C or 160°C fan oven, and line 2 cookie sheets with Silpat silicone mats or parchment paper.
In a bowl of a stand mixer fitted with the paddle attachment, cream the butter with the sugar until smooth, light in color and creamy (2-3 minutes).
Add vanilla and egg and mix again until the egg is incorporated but don’t over whip (the longer you whip the egg, it can souffle up and the cookies will rise and you don’t want that).
Add in the flour, baking powder, and salt and mix again until just combined. Scrape the sides with a spatula so no dry flour is left. The cookie should pull away from the sides of the bowl (if it doesn’t add ½ cup of flour).
Divide the dough into 4 portions, and roll out each using a rolling pin into ¼ inch thickness. Cut out using a cookie cutter and with the help of an offset spatula transfer to the cookie sheet.
Bake for 8-9 minutes rotating at 6 minutes for even browning (one sheet at a time). Allow to cool on the cookie sheet for 5 minutes, then transfer to a wire rack. Cool completely before icing the cookies.
In a bowl combine the powdered sugar with meringue powder and water (add the water gradually, start with 6 tablespoons and then add more as needed). Whisk until combined but do not overmix .
Divide the royal icing among bowls, depending on how many colors you plan to make. Add gel food coloring with a toothpick, and stir to get an evenly colored frosting. Add more food coloring as needed.
Place the icings into separate disposable piping bags, and secure the open ends of the bags with small rubber bands. If you’re using piping tips, insert a coupler into the bag before adding the icing. This keeps the tip from being pushed inside, and lets you swap out different tips as needed. You can also simply cut a small bit off of the end of the bag.
Place each color of icing in a pastry bag and set aside.
Divide your baked cookies in half, so you decorate a batch of snowmen and a batch of snowflake.
For the snowmen cookies, begin by piping the white Icing around the outside of the cookies, and then fill in the center. Allow to dry and then start filling the aqua cookies, aqua around the edge and fill the center, let dry for 20 minutes. Next, take your black icing and draw two eyes and a smile for the snowman’s face.
Next, take the orange icing and draw on his nose, repeat until all of the snowmen's faces are finished. Then, take the white icing and draw an ""X"" on top of the aqua cookie and then draw another ""X"" to make the snowflake lines and then draw smaller lines to make the intricate part of the snowman.",15,▢ 1 cup (225g) unsalted butter softened,▢ 1 cup (200g) granulated sugar,▢ 1 large egg at room temperature,▢ 1 teaspoon vanilla extract,▢ 3½ cups all purpose flour,▢ 1½ teaspoon baking powder,▢ ½ teaspoon salt,▢ 3 cups (360g) powdered sugar,▢ 2 tablespoons meringue powder,▢ 6-7 tablespoons water,▢ ½ teaspoon pure vanilla extract,▢ Food coloring,Fun Cookie Recipes,https://funcookierecipes.com/snowman-sugar-cookies/,▢ Black,▢ Orange,▢ Aqua,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monster Cookie Bars,Diana,"December 14, 2022",NA,5,5,Brownies & Cookie Bars,Monster Cookie Bars,10 minutes,15 minutes,NA,25 minutes,16 bars,7,"Preheat the oven at 375°F/190°C. Line a 9×9 inch pan with parchment paper or spray it generously with baking spray.
In a bowl, combine the dry ingredients (flour, oats, baking soda, and salt). Set aside.
In a separate bowl, cream butter with the sugars until creamy. That will take about one minute on medium speed using a hand mixer. Add the egg, vanilla extract, and peanut butter and beat again until creamy (1 more minute).
Add the dry ingredients to the wet ingredients, and at the lowest speed possible whip until just combined. Don't overmix as we don't want to develop any gluten here.
Fold in the chocolate chips and M&M's, then spread the cookie dough in the pan with a spatula. Smoothen the top with a spatula or greased hands, then sprinkle a few more M&M candies and mini chocolate chips.
Bake in the oven for 15 minutes, or until the top of the cookie bar is no longer shiny.
Cool completely on a wire rack in the pan. Then slice and serve.",12,▢ ½ cup unsalted butter at room temperature,▢ ½ cup light brown sugar lightly packed,▢ ¼ cup granulated sugar,▢ 1 large egg at room temperature,▢ ⅔ cup creamy peanut butter not natural-style,▢ 1 teaspoon pure vanilla extract,▢ 1¼ cups all-purpose flour,▢ ½ teaspoon baking soda,▢ ¾ cup old-fashioned rolled oats,▢ ½ cup mini M&Ms plus extra for the top,▢ ½ cup semi-sweet chocolate chips,▢ 2 tablespoons mini semi-sweet chocolate chips for the top,Fun Cookie Recipes,https://funcookierecipes.com/monster-cookie-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotcheroos,Diana,"December 12, 2022",NA,5,14,Brownies & Cookie Bars,Scotcheroos,15 minutes,5 minutes,NA,50 minutes,12 bars,6,"Prepare a 9×13-inch pan by spraying it with cooking spray.
In a large saucepan, combine granulated sugar with corn syrup. Place it over medium-high heat and cook until the sugar is fully dissolved, stirring continuously.
Remove from the heat, and stir in peanut butter. Gently fold in the Rice Krispies cereal. Transfer the mixture to the prepared pan and gently press it down with your hands into an even layer. Set aside.
Combine the semi-sweet chocolate chips and butterscotch chips in a medium heat-safe bowl. Microwave for 30 seconds, then stir. Repeat the process, microwaving at 30-second increments until all the chips have melted.
Pour the chocolate butterscotch mixture over the Rice Krispies mixture, and spread it evenly with a spatula.
Place the pan of scotcheroos in the refrigerator for 30 minutes, or until the chocolate has hardened. Cut into squares to serve.",6,▢ 1 cup granulated sugar,▢ 1 cup light corn syrup,▢ 1 cup creamy peanut butter,▢ 6 cups Rice Krispies cereal,▢ 1 ½ cups semi-sweet chocolate chips,▢ 1 cup butterscotch chips,NA,NA,NA,NA,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/scotcheroos/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S’Mores Cookie Bars,Diana,"December 10, 2022",NA,5,6,Brownies & Cookie Bars,S’Mores Cookie Bars,15 minutes,40 minutes,NA,55 minutes,12 bars,11,"Preheat oven to 350°F/180°C and line a 9×13 baking pan with parchment paper. Lightly grease it with cooking spray and set aside.
In a large mixing bowl, mix together the flour, graham cracker crumbs, baking soda, baking powder, and salt. Set aside.
In the bowl of a stand mixer, cream the butter and both sugars until smooth and fully combined. Then add the eggs and vanilla extract and continue to beat until just incorporated.
Gradually add the dry ingredients and beat on medium speed until there are only minimal streaks of flour in the dough.
Fold in 1 cup of chocolate chips until evenly mixed in.
Using your fingers, press about ¾ of the cookie dough into the bottom of the parchment lined baking pan. Break apart half the amount of Hershey’s bars and evenly layer it on top.
Spread the marshmallow creme on top and then sprinkle with the remaining chocolate chips.
Take pieces of the remaining cookie dough and flatten it out with your hands then place the pieces in a single layer on top of the chocolate chips, leaving small gaps for the marshmallows to pop out.
Bake for 25 minutes. Remove from the oven and top with the remaining pieces of Hershey’s bars, mini marshmallows, and chocolate chips. Then bake for an additional 10-15 minutes or until the edges are lightly browned and the top part of the cookie looks set.
Allow the bars to cool in the baking pan on a wire rack at room temperature for 30 minutes to an hour.
Once cooled, cut into square bars and serve.",14,▢ 2 ¾ cups all-purpose flour,▢ 1 cup graham cracker crumbs,▢ 1 teaspoon baking soda,▢ ½ teaspoon baking powder,▢ ½ teaspoon salt,▢ 1 cup (2 sticks/225g) unsalted butter softened to room temperature,▢ ½ cup (115g) granulated sugar,▢ ½ cup light or dark brown sugar packed,▢ 2 large eggs at room temperature,▢ 1 ½ teaspoons pure vanilla extract,▢ 14 ounces (2 jars) marshmallow creme,"▢ 1 ½ cups milk chocolate chips divided, plus more for topping if desired",Fun Cookie Recipes,https://funcookierecipes.com/smores-cookie-bars/,"▢ 3 Hershey’s bars broken into pieces, divided","▢ ¼ cup mini marshmallows for topping, optional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Circus Animal Cookies,Diana,"December 5, 2022",NA,5,4,NA,Frosted Circus Animal Cookies,20 minutes,10 minutes,NA,NA,30 Cookies,10,"In a large mixing bowl, cream the butter and the sugar on high until there are no more lumps. Break apart any chunks of butter or sugar and scrape down the sides of the bowl with a rubber spatula.
Add the vanilla extract and the sour cream and mix on a low setting until combined. Then add in the eggs and mix on low until just incorporated. Do not overmix as it will add too much air.
Add in the baking soda, cornstarch, salt, and just one cup of the all purpose flour then mix again on low. Slowly add in the rest of the flour one cup at a time and continue mixing. After you add the last cup of flour, only mix until halfway incorporated with streaks of flour still in the batter. Then add in the nonpareil sprinkles and finish mixing by hand using a rubber spatula.
Cover the bowl in plastic wrap and place in the refrigerator to chill for at least 30 minutes. The dough will be very sticky but will be firmer and easier to work with after chilling. Once the dough has chilled, preheat the oven to 375 F and line two baking sheets with parchment paper or a silicone mat.
Use a medium 1 ½ tablespoon cookie scoop and drop each ball of dough about 4 inches apart. Lightly flatten them into thick discs with the bottom of a measuring cup or with your fingers. They will continue to spread and rise as they bake so make sure they have enough space between them.
Place them in the oven to bake at 375 F for 8-10 minutes. Check at 8 minutes to see doneness. They should still be a little soft when they come out and have lightly golden bottoms. Allow them to cool in the pan for 3 minutes before transferring them onto a wire rack to cool completely.
As it cools, prepare the frosting. In a microwave safe bowl, melt the premium baking chocolate by microwaving in 30 second increments on a defrost setting, stirring well each time until smooth. Set aside to cool for about 10 minutes. You don’t want it too warm that it will melt your butter.
In a mixing bowl using a hand mixer, beat the butter until smooth and creamy. Then add in the slightly cooled and melted chocolate and mix on low until well combined.
Gradually add the powdered sugar a little at a time and mix until fully incorporated. Add the heavy whipping cream, vanilla extract, and salt and whip until you have a smooth, spreadable frosting.
Use a small icing spatula and frost 1 ½ tablespoons of frosting onto the cookies. Top with sprinkles and an animal circus cookie.",18,"▢ 1 stick (1/2 cup, 57g) ½ cup unsalted butter cold",▢ 1 ¼ cup (282g) granulated sugar,▢ 2 teaspoons vanilla extract,▢ ½ cup (120ml) sour cream,▢ 2 large eggs,▢ 1 ½ teaspoon baking soda,▢ ½ teaspoon cornstarch,▢ ¼ teaspoon salt,▢ 3 ¼ cups (461g) all purpose flour,▢ ¼ cup rainbow nonpareil sprinkles,▢ 2 sticks (1 cup/225g) unsalted butter softened to room temperature,▢ 8 oz premium white chocolate baking bar,Fun Cookie Recipes,https://funcookierecipes.com/circus-animal-cookies/,▢ 2 cups (230g) powdered sugar,▢ 1 tablespoon heavy whipping cream,▢ 1 teaspoon pure vanilla extract,▢ ⅛ teaspoon salt optional to balance out sweetness,▢ 3 tablespoons rainbow nonpareil sprinkles,▢ 30 frosted circus animal cookies,NA,NA,NA,NA,NA,NA
Soft Snickerdoodle Recipe,Diana,"December 3, 2022",NA,5,15,NA,Soft Snickerdoodle Recipe,15 minutes,15 minutes,NA,30 minutes,12 large cookies,10,"Preheat the oven to 350°F/180°C. Line 2 sheet trays with parchment paper or a silicone baking mat, and set aside.
In a large bowl, stir together the flour, cream of tartar, baking soda, and salt, then set aside.
In the body of a stand mixer, using the paddle attachment, cream the butter with the sugar for 3 minutes until light and fluffy. This can also be done in a large mixing bowl with a hand mixer.
Add the eggs, one at a time, mixing each in fully before adding the next. Then mix in the vanilla extract.
Add ⅓ of the flour mixure, and mix to fully incorporate it. Repeat twice, until all of the flour is added. Scrape down the sides as needed.
Make the coating by stirring together the cinnamon and sugar in a medium bowl.
Portion the cookie dough into 12 even-sized portions to make these large cookies. Roll the dough into smooth balls, then roll each ball into the cinnamon sugar mixture. Place them on the sheet trays, 6 inches apart, they will spread quite a bit, so you will have to bake in batches.
Gently press down on the cookie dough balls to flatten them out into large flat circles.
Bake each tray of snickerdoodles for 14-15 minutes until lightly golden brown. When done they will be slightly puffed, appear dry in the center of the cookies.
Let the snickerdoodles cool completely on the cookie trays before transferring them to a wire rack.",10,▢ 4 ½ cups (639g) all-purpose flour,▢ 2 teaspoons cream of tartar,▢ 1 teaspoon baking soda,▢ 1 teaspoon fine sea salt,▢ 1 ½ cups (3 sticks/340g) unsalted butter softened,▢ 1 ½ cups (340g) granulated sugar,▢ 3 large eggs at room temperature,▢ 1 tablespoon vanilla extract,▢ ½ cup (115g) granulated sugar,▢ 2 ½ tablespoons ground cinnamon,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/soft-snickerdoodle-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caramel Bear Paw Cookies,Diana,"November 11, 2022",NA,4.84,6,Cake Mix Cookies,Caramel Bear Paw Cookies,15 minutes,10 minutes,NA,25 minutes,22 cookies,8,"Preheat the oven to 350℉/180°C and line two cookie sheets with parchment paper or silicone mats and set aside.
In a large bowl, combine cake mix with melted butter and eggs using a whisk or a mixer, then fold in the chopped walnuts.
To portion out the dough, scoop out 1 ½ tablespoon-sized balls onto the cookie sheets about 2 inches apart.
Bake in the preheated oven for 8-10 minutes, or until the tops are set.
Allow the cookies to cool for a few minutes, then transfer them to a wire rack to cool completely.
As the cookies are cooling, make the caramel. In a microwave-safe bowl, combine the unwrapped caramels with heavy cream and melt in the microwave in 30-second increments stirring in between.
Allow the caramel to cool, then drop a tablespoon of caramel into the center of each cookie.
Top each cookie with 3 semisweet chocolate chips, and one chocolate candy melt to make bear paws.",8,▢ 15.25oz box chocolate fudge cake mix I used Betty Crocker,▢ 2 large eggs at room temperature,▢ ⅓ cup unsalted butter melted,▢ ½ cup walnuts roughly chopped,▢ 10.8 ounce bag Werther’s Originals chewy caramels or Kraft caramels,▢ 3 tablespoons heavy whipping cream,▢ ½ cup milk chocolate candy melts 22 in total,▢ ½ cup semisweet chocolate chips 66 in total,NA,NA,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/caramel-bear-paw-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pie Crust Cookies,Diana,"November 7, 2022",NA,5,6,NA,Pie Crust Cookies,10 minutes,10 minutes,NA,20 minutes,60 small cookies,6,"Preheat the oven to 350°F/180°C, and line a cookie sheet with parchment paper or a Silpat silicone mat.
Roll out the pie crust into ¼ to ⅛ “ thickness on a lightly floured surface, and cut out shapes using cookie cutters. If the cookie cutters are not releasing the cookies easily then dip in flour.
Place the cut outs on the prepared sheet, then brush with egg wash.
To make the cinnamon sugar, combine sugar with cinnamon. Then sprinkle the mixture all over the cut outs.
Bake in the preheated oven for 10-12 minutes or until they are puffed and no longer wet/shiny.
Allow to cool down for 5 minutes on cookie sheets then transfer to a wire rack to cool completely. Enjoy them on their own, with a dessert dip, or decorate a pumpkin pie with them.",5,"▢ 1 unbaked pie crust homemade or store bought, or use scraps left from making pie, thawed if frozen","▢ 1 egg mixed with 1 teaspoon water, to make egg wash",▢ 2 tablespoons granulated sugar,▢ 1 teaspoon ground cinnamon,▢ flour for dusting,NA,NA,NA,NA,NA,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/pie-crust-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Classic Spritz Cookies,Diana,"November 5, 2022",NA,5,13,Christmas,Classic Spritz Cookies,10 minutes,8 minutes,NA,28 minutes,36 cookies,7,"Preheat the oven to 350°F/180°C. And line 3 half sheet size cookie sheets with ungreased parchment paper or silpat silicone mats (I prefer silicone mats).
In a bowl of a stand mixer, beat the butter with the sugar until creamy (1 minute).
Add the egg and vanilla extract, and beat for 30 seconds, then with a spatula scrape off the sides and the bottom of the bowl and beat for 30 more seconds.
Add in flour and salt, and mix on medium speed until just combined.
Divide the dough into 3, leave one plain and add different food colorings to the other 2 (I like to add food coloring with a toothpick), and mix again.
Start with the plain cookie dough, and to the cookie press add the dough, and press out shapes on the cookie sheet (if the sheet/silicone mats are greasy, the cookie won’t stick and won’t deattach from the press). Repeat with the remaining colored cookie dough. Decorate with sprinkles if using.
Bake for 8 minutes in the preheated oven, allow to cool for 5-10 minutes then cool completely on a wire rack if needed (these are small thin cookies, they cool quickly).",7,▢ 1 cup (225g) unsalted butter softened to room temperature,▢ ¾ cup (150g) granulated sugar,▢ 1 large egg at room temperature,▢ 1 teaspoon pure vanilla extract,▢ 2 ¼ cups (280g) all purpose flour,▢ ½ teaspoon salt,▢ Food Colorings gel food coloring is best,NA,NA,NA,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/classic-spritz-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Tree Cake Macarons,Diana,"November 3, 2022",NA,5,16,Macarons,Christmas Tree Cake Macarons,40 minutes,15 minutes,NA,10 minutes,20 macarons,17,"Measure the almond flour and powdered sugar (by weight, please!) and sift them into a bowl. Set aside.
In the bowl of a stand mixer, combine room temperature egg whites and cream of tartar and whisk until frothy (1-2 minutes). Gradually add in the granulated sugar (1 tablespoon at a time) and mix until stiff peaks form (7-9 minutes). The meringue should stick straight up when you remove the whisk.
Sift half of the almond flour and powdered sugar into the meringue and fold by going around the bowl and straight through the center of the meringue. Continue folding until there are no dry spots remaining. Sift in the remaining almond and powdered sugar mixture and fold until you get a “lava-like” consistency (about 60 folds, this is not accurate but a good starting point). You should be able to pick up your spatula and draw a figure 8 with the batter without it breaking off. The batter should also disappear back into the bulk after about 15-20 seconds. Be careful not to overmix the batter or you will lose air bubbles from the egg whites.
Prepare a piping bag with a large round tip. Use a large mug or glass to hold the piping bag while you fill with the macaron batter. Add a silicone mat or parchment paper to a baking sheet. Holding the piping bag straight up, pipe about 1 ½” circles of batter.
Next, tap the baking sheet 5 times against the counter to remove any air bubbles. Use a toothpick to pop any air bubbles that come to the surface.
This step is very important. Allow the shells to set for about 20-40 minutes or until a “skin” forms on the outside (it might take longer depending on your environment). You should be able to touch the top of the shells without batter coming off on your finger. The macaron shells are ready to bake, when they are no longer tacky.
Preheat the oven to 300°F/150°C while the macarons are drying. Bake for 15-17 minutes or until you can touch the top of the shell and it does not move around on the “feet”. You may need to rotate the pan midway if you know that your oven has cold spots. Otherwise, do not open the oven until 13 minutes have gone by. The macarons are done when they have puffed up and no longer stick to the silicone pan or parchment paper.
Remove the macaron shells from the oven and allow them to cool COMPLETELY before trying to remove them from the pan.
While the macarons are cooling, prepare the buttercream by adding the butter into the bowl of a stand mixer and cream until nice and smooth.
Add in powdered sugar one cup at a time and fully incorporate.
Pour in heavy whipping cream and slowly increase speed to high and whip for 2-3 minutes until you get a whipped consistency.
Add in the crumbled Christmas tree cakes last and mix on high speed until combined and smooth.
Add to a piping bag with a large round piping tip, I used Wilton #1A.
Flip over half of the shells and pipe a small amount of buttercream on each shell and top with the remaining shells.
Dip the top of one of the shells into white chocolate and sprinkle with green sprinkles. Repeat with half of the shells.
Use a small piping tip and pipe red lines of buttercream or royal icing on top of the white chocolate. Use a cake as a reference.
Place in an airtight container in the refrigerator for at least 24 hours to “mature” this will give you the best results. Bring the macarons to room temperature and serve.",12,▢ 70 grams almond flour,▢ 63 grams powdered sugar,▢ 55 grams egg whites at room temperature,▢ ¼ teaspoon cream of tartar optional,▢ 55 grams granulated sugar,▢ 1 stick unsalted butter softened to room temperature,▢ 2 cups powdered sugar,▢ 2 tablespoons heavy whipping cream,▢ 1½-2 Little Debbie Christmas Tree Cakes crumbled,▢ ½ cup white chocolate melted,▢ Green sprinkles,▢ Red buttercream frosting or Royal icing,Fun Cookie Recipes,https://funcookierecipes.com/christmas-tree-cake-macarons/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ginger Snaps,Diana,"October 31, 2022",NA,5,7,Christmas,Gingersnaps,15 minutes,15 minutes,NA,30 minutes,56 2½ inch cookies,6,"Preheat the oven to 350°F/180°C, and line 2 cookie sheets with parchment paper or Silpat silicone mats.
In a large mixing bowl, combine the flour with baking soda, salt, cloves, ginger, and cinnamon. Set aside.
In the mixing bowl of a stand mixer, add butter, margarine, sugar, eggs, and molasses, and mix until smooth and creamy.
Add the dry ingredients to the wet ingredients, and mix until a smooth dough has formed.
Using a small cookie scoop, scoop the dough and roll into balls then roll in sugar. Place on the prepared cookie sheets, and bake for 12-15 minutes or until the edges start to brown.
Remove from the oven, allow to cool on the cookie sheet for 5 minutes then transfer to a wire rack to cool completely.",11,▢ 2 cups all purpose flour,▢ 2 teaspoons baking soda,▢ ¼ teaspoon salt,▢ ½ teaspoon ground cloves,▢ 1 teaspoon ground ginger,▢ ½ teaspoon ground cinnamon,▢ 1 cup granulated sugar,"▢ ¾ cup unsalted butter softened, or shortening",▢ ¼ cup molasses,▢ 1 large egg at room temperature,▢ Coarse decorating sugars or granulated sugar or cinnamon sugar,NA,Fun Cookie Recipes,https://funcookierecipes.com/gingersnaps-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Meltaway Cookies,Diana,"October 29, 2022",NA,5,3,Christmas,Meltaway Cookies,20 minutes,8 minutes,NA,58 minutes,16 cookies,11,"Preheat the oven to 350°F/180°F (160°C fan oven), and line 2 cookie sheets with parchment paper or silpat silicone mats.
In a mixing bowl, combine flour with baking soda, baking powder, and salt. Set aside.
In a separate medium mixing bowl, using a hand mixer cream butter with sugar until smooth and creamy (3 minutes).
Add egg and vanilla, and beat again for 1 minute. Scrape down bowl as needed.
Add the dry ingredients to the wet ingredients, and mix until just combined.
Form cookie dough balls with a medium cookie scoop (1.5 tablespoon size), and place on the prepared cookie sheets.
Spray the bottom of a clean glass with baking spray, and press each cookie until it’s about 1⁄2-inch thick.
Bake in the preheated oven for 7-8 minutes or until the centers of the cookies are set. Allow to cool on the cookie sheets for 10 minutes, then transfer to a wire rack to cool completely.
In a bowl, whisk together the powdered sugar with milk, corn syrup if using, and vanilla extract. Add more milk or more powdered sugar if needed to reach the desired consistency.
Split the icing into two small bowls, and add food coloring to each.
Dip the top of each cookie into the prepared icing, and allow the excess to drip off, then place on a wire rack and sprinkle with crushed red mints and allow to set/dry.",15,▢ ½ cup 1 stick salted butter softened to room temperature,▢ ⅔ cup granulated sugar,▢ ½ teaspoon vanilla extract,▢ 1 large egg at room temperature,▢ 1 ½ cup all-purpose flour,▢ ½ teaspoon baking soda,▢ ½ teaspoon baking powder,▢ ½ teaspoon salt,▢ 1 cup powdered sugar,▢ 1 tablespoon milk,▢ ¼ teaspoon vanilla extract,▢ 2 teaspoons light corn syrup optional,Fun Cookie Recipes,https://funcookierecipes.com/meltaway-cookies/,▢ Red and green gel food coloring,▢ 6 round red mints crushed,▢ 6 round green mints crushed,NA,NA,NA,NA,NA,NA,NA,NA,NA
