title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,yield,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,source,link,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Soft Batch Chocolate Chip Cookies,Michelle Lettrich,4.58,7 ,Snack,American,10 minutes,12 minutes,NA,25 minutes mins,30 cookies,4,"Preheat oven to 375 degrees F. Line two baking sheets with parchment paper; set aside.
In a medium bowl, whisk together the flour, pudding mix, baking soda and salt; set aside.
With an electric mixer on medium speed, cream together the butter and both sugars until light and fluffy, scraping the sides of the bowl as necessary, about 3 minutes. Add the eggs and vanilla extract and mix until combined. Reduce the mixer speed to low and gradually add the dry ingredients, mixing only until a little flour remains. Using a rubber spatula, fold in the chocolate chips.
With a medium cookie scoop (or 2 tablespoons), form dough into balls and place on prepared baking sheets about 2 inches apart. Bake until the outside edges are just set and light golden brown, and the middles are still puffy, about 10 to 12 minutes. Remove from the oven and allow to cool on the baking sheet for 5 minutes, then remove to a wire rack to cool completely. Store at room temperature in an airtight container for up to 5 days.",11,▢ 2¼ cups (281.25 g) all-purpose flour,▢ ½ cup (72 g) homemade vanilla pudding mix,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,"▢ 1 cup (227 g) unsalted butter, at room temperature",Brown Eyed Baker,https://www.browneyedbaker.com/soft-batch-chocolate-chip-cookies/,▢ ¾ cup (165 g) light brown sugar,▢ ¼ cup (50 g) granulated sugar,▢ 1 eggs,▢ 1 egg yolk,▢ 1 teaspoon vanilla extract,▢ 1½ cups (270 g) semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italian Sesame Seed Cookies (Giuggiulena),Michelle Lettrich,4.47,15 ,Snack,"American, Italian",30 minutes,25 minutes,NA,1 hour hr,72 cookies,5,"Preheat oven to 350 degrees F. Line two baking sheets with parchment paper; set aside. Place the sesame seeds in a shallow bowl; set aside.
In a large bowl, whisk together the flour, baking powder and salt; set aside.
With an electric mixer, cream together the vegetable shortening and sugar until light and fluffy, about 2 minutes. Add the eggs, vanilla extract and anise oil, and beat until completely combined, scraping the sides of the bowl as necessary. Reduce the mixer speed to low and gradually add all of the flour mixture until it is thoroughly combined.
Turn the dough out onto a clean work surface and break off a handful-size piece of dough and knead 5 to 10 times, or until smooth. Using your hands, gently roll the dough into a log about 1-inch in diameter. Cut the log into 3-inch pieces, roll in the sesame seeds, pressing them to adhere, and place on the prepared baking sheet. Repeat until you have used up all of the dough.
Bake until the cookies are golden brown, 25 to 30 minutes. Allow the cookies to sit on the baking sheet for a couple of minutes, then transfer to a wire rack to cool completely. The cookies can be stored in an airtight container at room temperature for up to 2 weeks.",9,▢ 10 cups (1.25 kg) all-purpose flour,▢ 6 teaspoons baking powder,▢ ⅛ teaspoon (0.13 teaspoon) salt,"▢ 16 ounces (453.59 g) vegetable shortening, (about 2½ cups )",▢ 2½ cups (500 g) granulated sugar,Brown Eyed Baker,https://www.browneyedbaker.com/italian-sesame-seed-cookies-giuggiulena/,▢ 6 eggs,▢ 2 tablespoons vanilla extract,▢ ½ teaspoon (0.5 teaspoon) anise oil,▢ 16 ounces (453.59 g) sesame seeds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Classic Thumbprint Cookies,Michelle Lettrich,4.32,22 ,Snack,American,15 minutes,15 minutes,NA,35 minutes mins,48 cookies,4,"Preheat oven to 350 degrees F. Line two cookie sheets with parchment paper or a silicone baking mat; set aside.
Cream together the butter, shortening and brown sugar with an electric mixer at medium speed for 2 minutes or until fluffy. Scrape down sides of bowl. Add the egg yolks, milk, vanilla and salt, and beat until well combined. Reduce the mixture speed to low and gradually add the flour, mixing until well blended.
Measure about 2 teaspoons dough for each cookie and roll into balls. Place the granulated sugar in a small bowl and roll the balls of dough in the sugar to coat. Using the back of a teaspoon or your thumb, make a deep rounded indentation in the top of each cookie.
Bake for 10 minutes, then remove from oven. (At this point there was a little bit of melted butter underneath the cookies, but when they finished cooking it was all absorbed, and they were perfect!) It may be necessary to create the indentation once again with a spoon. Place about 1 teaspoon jam, jelly or preserves into the indentation of each cookie. Bake an additional 5 to 10 minutes, or until lightly browned. Remove from oven. Cool on the baking sheets for 5 minutes, then transfer to a wire rack to cool completely. The cookies can be stored at room temperature for up to 1 week, or frozen for up to 1 month.",10,"▢ ½ cup (113.5 g) unsalted butter, at room temperature",▢ ½ cup (102.5 g) vegetable shortening,▢ ½ cup (110 g) light brown sugar,▢ 3 egg yolks,▢ 2 tablespoons milk,Brown Eyed Baker,https://www.browneyedbaker.com/classic-thumbprint-cookies/,▢ 1½ teaspoons (1.5 teaspoons) vanilla extract,▢ ¼ teaspoon (0.25 teaspoon) salt,▢ 2 cups (250 g) all-purpose flour,"▢ 1 cup (340 g) your favorite jam, jelly or preserve","▢ Granulated sugar, for rolling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soft and Chewy Gingersnap Cookies,Michelle Lettrich,4.73,11 ,Snack,American,15 minutes,10 minutes,NA,30 minutes mins,36 cookies,4,"Preheat oven to 350 degrees F. Line two baking sheets with parchment paper; set aside.
In a medium bowl, whisk together the flour, baking soda, salt, cinnamon, cloves and ginger; set aside.
Using an electric mixer, cream together the butter and sugar on medium speed until light and fluffy, about 3 minutes. Add the molasses and continue to mix until completely combined, scraping the sides of the bowl as needed. Add the vegetable oil, eggs and vanilla extract, and mix to thoroughly combine. Scrape the sides of the bowl, reduce the mixer speed to low, and add the flour mixture. Mix until just combined, giving it a final stir with a rubber spatula.
Scoop about 1½ tablespoons of dough, roll into a ball, and place on prepared baking sheets about 2 inches apart. Bake for 10 to 12 minutes, or until edges are set, but centers are still soft. Allow the cookies to sit on the baking sheets for 5 minutes, then transfer to a wire rack to cool completely. The cookies can be kept in an airtight container at room temperature for up to 1 week. These cookies can also be frozen for up to 1 month.",12,▢ 3½ cups (437.5 g) all-purpose flour,▢ 2¼ teaspoons (2.25 teaspoons) baking soda,▢ 1 teaspoon salt,▢ 1¼ teaspoons (1.25 teaspoons) cinnamon,▢ 1¼ teaspoons (1.25 teaspoons) ground cloves,Brown Eyed Baker,https://www.browneyedbaker.com/soft-and-chewy-gingersnap-cookies/,▢ 1 teaspoon ground ginger,"▢ 1 cup (227 g) unsalted butter, at room temperature",▢ 1 cup (200 g) granulated sugar,▢ ½ cup (168.5 ml) molasses,▢ 2 tablespoons vegetable oil,▢ 2 eggs,▢ 1 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dark Chocolate Chunk Eggnog Cookies,Michelle Lettrich,4.80,5 ,Snack,American,15 minutes,25 minutes,NA,40 minutes mins,18 to 20 cookies,4,"Preheat oven to 300 degrees F. Line two baking sheets with parchment paper; set aside.
In a small bowl, whisk together the flour, baking powder and salt; set aside.
Using an electric mixer, beat the butter and sugar on medium speed until light and fluffy, about 3 minutes. Scrape the sides of the bowl and add the eggnog, egg yolk and vanilla extract; continue beating on medium speed until completely combined, about 2 minutes. Reduce the mixer speed to low, add the dry ingredients and beat until just combined. Using a rubber spatula, fold in the chocolate chunks.
Using a small or medium cookie scoop (1 or 2 tablespoons), drop dough onto the prepared baking sheets, spacing them 2 inches apart. Bake from 20 to 25 minutes (longer for larger cookies), or until the edges are set and the centers spring back when touched lightly. Remove from oven and, using a spatula, transfer the cookies to a wire rack to cool completely.",9,▢ 1 cup (125 g) + 2 tablespoons all-purpose flour,▢ ½ teaspoon (0.5 teaspoon) baking powder,▢ ¼ teaspoon (0.25 teaspoon) salt,"▢ 6 tablespoons unsalted butter, at room temperature",▢ ½ cup (100 g) + 2 tablespoons granulated sugar,Brown Eyed Baker,https://www.browneyedbaker.com/dark-chocolate-chunk-eggnog-cookies/,▢ ¼ cup (63.5 ml) Hood Golden EggNog,▢ 1 egg yolk,▢ ½ teaspoon (0.5 teaspoon) vanilla extract,▢ ½ cup (85 g) dark chocolate chunks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snickerdoodle Biscotti,Michelle Lettrich,4.64,11 ,Snack,"American, Italian",10 minutes,45 minutes,NA,1 hour hr,24 biscotti,5,"Preheat oven to 375 degrees F. Line a baking sheet with parchment paper; set aside.
In a medium bowl, whisk together the flour, cinnamon, baking powder and salt; set aside.
Cream together the sugar and butter on medium speed until light and fluffy, 3 to 5 minutes, scraping the sides of the bowl as needed. Add the eggs, one at a time, beating until each is thoroughly combined. Add the vanilla and mix to combine. Reduce the mixer speed to low and gradually add the dry ingredients, mixing just until a dough forms.
Turn the dough out onto a lightly floured work surface and rub your hands with a little flour. Divide the dough in two and form each half into a log about 4 inches wide by 10 inches long. Places the logs on the prepared baking sheet. In a small bowl, whisk together the egg white and water, and brush each log evenly. In a separate small bowl, stir together the ¼ cup granulated sugar and 1 teaspoon ground cinnamon. Sprinkle evenly over the brushed dough.
Bake on the prepared baking sheet until lightly browned and small cracks form on top, about 25 minutes. Remove from oven and cool slightly on the baking sheet, about 10 minutes (leave the oven on). Transfer the logs to a cutting board. Slice diagonally in generous ½-inch slices. Place them cut side up on the baking sheet and bake an additional 15-20 minutes or until slightly browned, turning over half way through. Cool completely on a wire rack. Biscotti can be stored in an airtight container at room temperature for two weeks.",12,▢ 2¾ cups (343.75 g) all-purpose flour,▢ 1½ teaspoons (1.5 teaspoons) ground cinnamon,▢ 1 teaspoon baking powder,▢ ½ teaspoon (0.5 teaspoon) salt,"▢ ½ cup (113.5 g) unsalted butter, at room temperature",Brown Eyed Baker,https://www.browneyedbaker.com/snickerdoodle-biscotti/,▢ 1 cup (200 g) granulated sugar,▢ 2 eggs,▢ 1 teaspoon vanilla extract,▢ 1 egg white,▢ 1 teaspoon water,▢ ¼ cup (50 g) granulated sugar,▢ 1 teaspoon ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honey-Peanut Butter Cookies,Michelle Lettrich,5,1 ,Snack,American,15 minutes,15 minutes,NA,30 minutes mins,24 cookies,5,"Preheat oven to 350 degrees F. Line two baking sheets with parchment paper; set aside.
In a medium bowl, whisk together the flour, sugar, baking soda, baking powder and salt; set aside.
In the bowl of an electric mixer, cream together the peanut butter, honey and shortening on medium speed until light and fluffy, about 3 minutes. Add the egg and vanilla and mix until combined. Reduce the mixer speed to low and gradually add the dry ingredients, mixing until just combined. Give the mixture a final stir with a rubber spatula to ensure all of the flour has been incorporated.
Use a medium cookie scoop (about 2 tablespoons of dough) to scoop out dough and roll into a ball between the palms of your hands. Roll in the sugar and place on the prepared baking sheets about two inches apart. Using fork tines, press a criss-cross pattern into the tops of the cookies, flattening them into disks.
Bake until lightly golden brown, about 10 to 12 minutes. Allow the cookies to cool on the baking sheet for 5 minutes, then use a spatula to remove them to a wire rack to cool completely. The cookies can be stored in an airtight container at room temperature for up to 5 days.",11,▢ 1½ cups (187.5 g) all-purpose flour,▢ ½ cup (100 g) granulated sugar,▢ ¾ teaspoon (0.75 teaspoon) baking soda,▢ ½ teaspoon (0.5 teaspoon) baking powder,▢ ¼ teaspoon (0.25 teaspoon) salt,Brown Eyed Baker,https://www.browneyedbaker.com/honey-peanut-butter-cookies/,▢ ½ cup (129 g) creamy peanut butter,▢ ½ cup (169.5 ml) honey,▢ ¼ cup (51.25 g) vegetable shortening,"▢ 1 egg, lightly beaten",▢ 1 teaspoon vanilla extract,"▢ ¼ cup (50 g) granulated sugar, in a small bowl, for rolling cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Marshmallow Cookies,Michelle Lettrich,NA,NA,Snack,American,30 minutes,12 minutes,NA,1 hour hr,34 cookies,5,"Make the Cookies: In a medium bowl, whisk together the flour, cocoa powder, baking powder and salt; set aside.
Using an electric mixer, cream together the butter, sugar and peanut butter on medium-high speed until light and fluffy, about 3 minutes. Add the egg and beat until combined. Add the vanilla, beat until combined, then scrape down the sides of the bowl. Reduce the speed to low and add the flour mixture in 3 additions, alternating with the milk in 2 additions, scraping down the sides of the bowl as needed. Refrigerate the dough until it is firm, about 1 hour.
Preheat oven to 350 degrees F. Adjust oven racks to upper-middle and lower-middle positions. Line two baking sheets with parchment paper. Scoop out 2 teaspoons dough at a time (I used a small cookie scoop), and place on the prepared baking sheets about 2 inches apart.
Bake until the edges appear dry, 8 to 10 minutes, rotating sheets halfway through the baking time. Remove the cookies from the oven and press a marshmallow half into the center of each cookie. Return to the oven for 2 more minutes. Let the cookies cool on the baking sheet for 5 minutes, then transfer to a wire rack to cool completely.
Make the Frosting: In a medium bowl, whisk together the powdered sugar, butter, cocoa powder, water and vanilla extract. Top each cookie with a heaping teaspoon of frosting, pushing it to the edges so the frosting falls down the sides of the cookie. Top with sprinkles and let sit for at least 30 minutes before serving. Cookies can be stored at room temperature in an airtight container for up to 2 days.",18,▢ 1 cup (125 g) all-purpose flour,▢ ¼ cup (21.5 g) unsweetened cocoa powder,▢ 1 teaspoon baking powder,▢ ¼ teaspoon (0.25 teaspoon) salt,"▢ 4 tablespoons unsalted butter, at room temperature",Brown Eyed Baker,https://www.browneyedbaker.com/chocolate-marshmallow-cookies/,▢ ½ cup (100 g) + 2 tablespoons granulated sugar,▢ ¼ cup (64.5 g) creamy peanut butter,▢ 1 egg,▢ ½ teaspoon (0.5 teaspoon) vanilla extract,▢ 2 tablespoons + 1 teaspoon milk,"▢ 17 large marshmallows, halved crosswise",▢ 2¼ cups (270 g) powdered sugar,"▢ 4½ tablespoons (4.5 tablespoons) unsalted butter, at room temperature",▢ ¼ cup (21.5 g) unsweetened cocoa powder,▢ ¼ cup (62.5 ml) hot water,▢ ¾ teaspoon (0.75 teaspoon) vanilla extract,▢ ,"▢ Sprinkles, for decorating",NA,NA,NA,NA,NA
Peanut Butter-Pretzel Chocolate Chip Cookies,Michelle Lettrich,4,5 ,Snack,American,20 minutes,8 minutes,NA,30 minutes mins,30 cookies,5,"Preheat oven to 375°. Line baking sheets with parchment or a silicone baking mat.
Whisk together the flour, crushed pretzels, baking soda and salt in a small bowl and set aside.
Combine the brown sugar, peanut butter, shortening, milk and vanilla in a mixing bowl. Beat at medium speed until well blended. Add the egg and beat just until blended. Reduce speed to low and add the flour mixture gradually, mixing just until combined. Using a rubber spatula, stir in the chocolate chips.
Use a medium cookie scoop (or 2 tablespoons) to scoop dough and roll into a ball between the palms of your hands. Place on the baking sheets, about 2 inches apart. Dip the tines of a fork into a cup of water and make a crisscross patern on the cookies, flattening them slightly. Repeat dipping the fork in water as necessary if it starts to stick to the dough (I did it every few cookies).
Bake for 8 minutes or until set and beginning to brown around the edges. Cool for 2 minutes on the baking sheet before removing to a cooling rack. Store in an airtight container at room temperature for up to a week.",11,▢ 1 cup (125 g) all-purpose flour,▢ ¾ cup (60 g) finely crushed pretzels,▢ ¾ teaspoon (0.75 teaspoon) baking soda,▢ ¾ teaspoon (0.75 teaspoon) salt,▢ 1¼ cups (275 g) light brown sugar,Brown Eyed Baker,https://www.browneyedbaker.com/peanut-butter-pretzel-chocolate-chip-cookies/,▢ ¾ cup (193.5 g) creamy peanut butter,▢ ½ cup (102.5 g) vegetable shortening,▢ 3 tablespoons milk,▢ 1 tablespoon vanilla,▢ 1 egg,▢ ⅓ cup (60 g) mini chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soft and Chewy Molasses Spice Cookies,Michelle Lettrich,4.84,6 ,Snack,American,10 minutes,22 minutes,NA,35 minutes mins,24 cookies,5,"Preheat oven to 375 degrees F. Line two baking sheets with parchment paper.
In a medium bowl, whisk together the flour, baking soda, cinnamon, ginger, cloves, allspice, pepper and salt; set aside.
Using an electric mixer, beat together the butter and both sugars on medium-high speed until light and fluffy, about 3 minutes. Reduce the speed to medium-low, add the egg yolk and vanilla extract, increase the speed to medium and beat until thoroughly combined, about 30 seconds. Again reduce the speed to medium-low and add the molasses, beating until fully incorporated, about 30 seconds, scraping the sides of the bowl halfway through. Reduce the speed to low and gradually add the dry ingredients, mixing until just incorporated, about 30 seconds. Use a rubber spatula to give it a final few mixes to ensure no flour remains.
Place the sugar for rolling in a small bowl. Using a tablespoon or small cookie scoop, scoop the dough and roll into a smooth ball, then toss in the sugar to coat and place on the prepared baking sheet. Repeat with the remaining dough. Bake the cookies, one sheet at a time, until the cookies are browned, still puffy and the edges have begun to set but the centers are still soft, about 11 minutes. Be sure not to overbake the cookies.
Allow the cookies to cool on the baking sheet for 5 minutes, then remove to a wire rack to cool completely. The cookies can be stored in an airtight container at room temperature for up to 5 days.",15,▢ 2¼ cups (281.25 g) all-purpose flour,▢ 1 teaspoon baking soda,▢ 1½ teaspoons (1.5 teaspoons) ground cinnamon,▢ 1½ teaspoons (1.5 teaspoons) ground ginger,▢ ½ teaspoon (0.5 teaspoon) ground cloves,Brown Eyed Baker,https://www.browneyedbaker.com/soft-and-chewy-molasses-spice-cookies/,▢ ¼ teaspoon (0.25 teaspoon) ground allspice,▢ ¼ teaspoon (0.25 teaspoon) ground black pepper,▢ ¼ teaspoon (0.25 teaspoon) salt,"▢ ¾ cup (170.25 g) unsalted butter, at room temperature",▢ ⅓ cup (66.67 g) granulated sugar,▢ ⅓ cup (73.33 g) dark brown sugar,▢ 1 egg yolk,▢ 1 teaspoon vanilla extract,▢ ½ cup (168.5 ml) molasses,▢ ½ cup (100 g) granulated sugar,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Truffle Cookies,Michelle Lettrich,4.50,6 ,Snack,American,30 minutes,13 minutes,NA,10 minutes mins,30 cookies,7,"Preheat oven to 350 degrees F. Line 2 or 3 baking sheets with parchment paper; set aside.
In a medium bowl, sift together the flour, cocoa powder and baking powder. Whisk in the salt and set aside.
Melt the chocolate by microwaving on 50% power, stirring every 30 seconds, until completely melted and smooth. Allow the chocolate to cool for 10 minutes.
Meanwhile, combine the butter and sugar in the bowl of an electric mixer and cream on medium speed until pale and fluffy, about 3 minutes. Add the eggs, one at a time, mixing well after each addition. Increase the speed to high and beat for 3 minutes, until the mixture is very light, creamy, and pale in color, scraping the bowl down as needed (the mixture will resemble a custard). Reduce the mixer speed to low and add the melted chocolate and vanilla extract, mixing just until combined. Use a rubber spatula to fold in the dry ingredients, then fold in the chocolate chips.
Scoop the cookies into 1½-ounce mounds (or a scant ¼ cup) about 2 inches apart on the prepared baking sheets. Flatten each mound of dough slightly with your hand (if the dough is still sticky dampen your hand to make it easier).
Bake the cookies until they are evenly cracked all over the tops and softly set, 14 to 16 minutes, rotating the pan halfway through the baking time.
Allow the cookies to cool completely before removing them from the baking sheets with a metal spatula. The cookies can be stored in an airtight container at room temperature for up to 5 days.",10,▢ 1¼ cups (156.25 g) all-purpose flour,▢ 3 tablespoons + 1 teaspoon unsweetened cocoa powder,▢ ½ teaspoon (0.5 teaspoon) baking powder,▢ ½ teaspoon (0.5 teaspoon) salt,"▢ 20 ounces (566.99 g) bittersweet chocolate, finely chopped",Brown Eyed Baker,https://www.browneyedbaker.com/chocolate-truffle-cookies/,"▢ 10 tablespoons unsalted butter, at room temperature",▢ 2¼ cups (450 g) granulated sugar,"▢ 6 eggs, at room temperature",▢ 1 tablespoon vanilla extract,▢ 2 cups (360 g) semisweet or bittersweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Sugar Cookies,Michelle Lettrich,4.17,18 ,Snack,American,30 minutes,15 minutes,NA,1 hour hr,36 large cookies,8,"In a large bowl, whisk together the flour, cocoa powder and salt; set aside.
Using an electric mixer, beat together the butter and both sugars on medium speed until light and fluffy, about 5 minutes. Add the eggs and mix to combine, scraping the sides of the bowl as needed. Add the vanilla extract and again beat to combine. Reduce the speed to low, add the flour mixture, and beat until just combined, giving it a final mix by hand with a rubber spatula.
Divide the dough in two and shape each half into a round disk about 2 inches high. Wrap both in plastic wrap and refrigerate for at least 45 minutes (or up to 1 day).
Working with one piece of dough at a time, roll it out between two pieces of parchment paper (it's non-stick and eliminates the need for extra flour) to a ¼-inch thickness. Transfer the parchment and dough onto a cutting board or baking sheet and refrigerate for 15 minutes.
Meanwhile, preheat oven to 325 degrees F. Line baking sheets with parchment paper or silicone baking mats.
Remove the dough from the refrigerate and cut out your shapes and place on the parchment-lined baking sheets, leaving about 2 inches of space between them. Gather up any excess dough, re-roll and repeat process until all of the dough has been used.
Place the baking sheets with the cut-out cookies into the freezer for 15 minutes before baking.
Bake until the cookie edges are set, about 15 to 17 minutes. Remove from the oven and place the baking sheet on a cooling rack for 10 minutes, then use a spatula to transfer the cookies to the rack to cool completely. Allow cookies to cool completely before decorating. Cookies can be stored in an airtight container at room temperature for up to 2 weeks. Cookies can also be frozen - I wrapped them in plastic wrap and placed in a ziploc bag.",8,▢ 6 cups (750 g) all-purpose flour,▢ 1¼ cups (107.5 g) Dutch-process cocoa powder,▢ 1 teaspoon salt,"▢ 2 cups (454 g) unsalted butter, at room temperature",▢ 2 cups (400 g) granulated sugar,Brown Eyed Baker,https://www.browneyedbaker.com/chocolate-sugar-cookies-recipe/,▢ 1 cup (220 g) light brown sugar,"▢ 3 eggs, cold",▢ 2 teaspoons pure vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pink Grapefruit Sandwich Cookies,Michelle Lettrich,NA,NA,Snack,American,40 minutes,12 minutes,NA,30 minutes mins,18 sandwich cookies,7,"Make the Cookies: Whisk together both flours, the baking powder and salt in a medium bowl; set aside.
In the bowl of your mixer, rub together the sugar and grapefruit zest with your fingertips until the zest is evenly distributed and all of the sugar has been moistened. Add the butter to the bowl and beat on medium speed until the mixture is light and fluffy, about 3 minutes. Add the egg yolks and beat until combined, scraping down the bowl as necessary. Reduce the speed to low and add the flour in three batches, alternating with the grapefruit juice, beginning and ending with the flour. Mix just until the dough comes together. Transfer the dough to a piece of plastic wrap, pat it into a 1-inch disk, wrap in the plastic wrap and refrigerate for at least 30 minutes, or until firm.
Preheat oven to 350 degrees F. Line two baking sheets with parchment paper or a silicone baking mat.
Roll out the dough on a lightly floured surface to about ⅛-inch thick. Use a 2-inch round cutter to cut out as many cookies as possible and transfer them to the prepared baking sheets, spacing them 1-inch apart. Gather together the dough scraps and repeat to get as many rounds as possible. Refrigerate the baking sheets (with the cookies on them) for 15 minutes.
Bake the cookies until just barely golden brown around the edges and still very light in color in the middle, about 12 minutes. Immediately remove the cookies to a wire rack and cool completely before assembling.
Make the Filling: Beat together the butter, powdered sugar and grapefruit zest on medium speed until light and fluffy, about 5 minutes. Add the grapefruit juice and food coloring (if using), increase the speed to medium-high and beat until creamy and fluffy, about 2 minutes.
Assemble the Cookies: Match up the cookies by size, then spread or pipe on about 1 tablespoon of filling onto the flat side of half the cookies. Top with the matching cookie and press down slightly so the filling is pushed to the edges. The cookies can be stored in an airtight container at room temperature for up to 5 days.",14,▢ 1½ cups (187.5 g) all-purpose flour,▢ ¾ cup (93.75 g) cake flour,▢ 1 teaspoon baking powder,▢ ½ teaspoon (0.5 teaspoon) salt,▢ 1 cup (200 g) granulated sugar,Brown Eyed Baker,https://www.browneyedbaker.com/pink-grapefruit-sandwich-cookies/,▢ Zest of 1 pink grapefruit,"▢ ½ cup (113.5 g) unsalted butter, at room temperature",▢ 2 egg yolks,"▢ ¼ cup (59 ml) pink grapefruit juice, freshly squeezed","▢ ½ cup (113.5 g) unsalted butter, at room temperature",▢ 2¾ cups (330 g) powdered sugar,▢ 2 teaspoons pink grapefruit zest,"▢ 3 tablespoons pink grapefruit juice, freshly squeezed","▢ 1 small drop red food coloring, optional",NA,NA,NA,NA,NA,NA,NA,NA,NA
Almond Lace Cookies,Michelle Lettrich,4.34,27 ,Snack,American,15 minutes,40 minutes,NA,1 hour hr,72 cookies,4,"Preheat oven to 375 degrees F; adjust oven rack to the upper third of the oven. Line baking sheet with parchment paper; set aside.
Bring the butter to a boil in a medium saucepan over medium heat. Reduce the heat so the butter slows to a gentle boil, stirring occasionally, for 3 to 4 minutes, or until the solids on the bottom of the pan turn light brown. Remove from heat.
Add the brown sugar, corn syrup, milk and salt to the butter and stir to blend well. Stir in the oats, flour and vanilla, then fold in the almonds.
Drop teaspoons of the batter onto the baking sheets, spaced about 3 inches apart. Bake for 6 to 8 minutes, or until the cookies are golden brown all over and slightly darker at the edges. Transfer the baking sheets to a cooling rack and let sit until the cookies firm up, about 5 minutes. Using a spatula, gently transfer the cookies to wire racks until cool. Store the cookies in an airtight container at room temperature for 2 weeks, or freeze for up to 2 months.",9,▢ ⅔ cup (151.33 g) unsalted butter,▢ 1 cup (220 g) light brown sugar,▢ ¼ cup (85.25 ml) light corn syrup,▢ 1 tablespoon whole milk,▢ ¼ teaspoon (0.25 teaspoon) salt,Brown Eyed Baker,https://www.browneyedbaker.com/almond-lace-cookies/,▢ 1½ cups (121.5 g) old-fashioned rolled oats,▢ 2 tablespoons all-purpose flour,▢ 2 teaspoons vanilla extract,"▢ ½ cup (118.29 g) toasted, finely chopped almonds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The New York Times Chocolate Chip Cookies,Michelle Lettrich,4.49,70 ,Snack,American,20 minutes,20 minutes,NA,1 day d,18 cookies,5,"Sift together the cake flour, bread flour, baking soda, baking powder and salt into a large bowl and set aside.
Cream together the butter and sugars on medium speed until very light, about 5 minutes. Add the eggs one at a time, mixing well after each addition, then add the vanilla. Reduce the mixer speed to low, gradually add the dry ingredients and mix until just combined, 5 to 10 seconds. Using a rubber spatula, fold in the chocolate chips.
Press plastic wrap against the dough and refrigerate for at least 24 hours, up to 72 hours.
When ready to bake, preheat oven to 350 degrees F. Line a baking sheet with parchment paper or a nonstick baking mat.
Scoop 3 1/2-ounces of dough, roll into a rough ball (it should be the size of a large golf ball) and place on the baking sheet. Repeat until you have six mounds of dough on the cookie sheet. Sprinkle lightly with sea salt and bake until golden brown but still soft, 18 to 20 minutes. Transfer the parchment or silicone sheet to a wire rack for 10 minutes, then transfer the cookies onto another cooling rack to cool a bit more, until just warm or at room temperature. Repeat with remaining dough (or keep some of the dough refrigerated for up to 3 days, and bake cookies at a later time). Store leftover cookies in an airtight container at room temperature for up to 3 days.",12,"▢ 2 cups (250 g) minus 2 tablespoons cake flour, (8½ ounces)","▢ 1 ⅔ cups (208.33 g) bread flour, (8½ ounces)",▢ 1¼ teaspoons (1.25 teaspoons) baking soda,▢ 1½ teaspoons (1.5 teaspoons) baking powder,▢ 1½ teaspoons (1.5 teaspoons) kosher salt,Brown Eyed Baker,https://www.browneyedbaker.com/the-new-york-times-chocolate-chip-cookies/,"▢ 1¼ cups (283.75 g) unsalted butter, at room temperature, (10 ounces )","▢ 1¼ cups (275 g) light brown sugar, (10 ounces )","▢ 1 cup (200 g) plus 2 tablespoons granulated sugar, (8 ounces)",▢ 2 eggs,▢ 2 teaspoons vanilla extract,"▢ 3 ⅓ cups (600 g) dark chocolate chips, at least 60% cacao content, (20 ounces)","▢ Sea salt, for sprinkling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
