title,author,rating,ratingnum,cuisine,category1,category2,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,source,link,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22
Edible Cookie Dough,Angela Latimer,4.95,18,American,No Bake,NA,5 minutes,0 minutes,NA,5 minutes,15 servings,3,"In a large mixing bowl or the bowl of your stand mixer, cream together the softened butter, light brown sugar, and granulated white sugar until creamy, pale, and fluffy.
Add salt, milk, and vanilla extract then mix until evenly distributed and creamy again then add the heat-treated all-purpose flour (to prevent bacteria) and mix until just combined.
Fold in the mini chocolate chips and serve. Refrigerate your edible cookie dough if serving or using later (you may opt to warm at room temperature for a few minutes to soften again).",8,"▢ 1 cup butter (softened, at room temperature)",▢ 1 cup light brown sugar (packed),▢ 6 tablespoon sugar,▢ ½ teaspoon salt,▢ 3 tablespoon milk,▢ 2 teaspoon vanilla extract,"▢ 2 cups all-purpose flour (or heat treated flour, *see notes)","▢ 1 cup mini chocolate chips (use milk chocolate, semi-sweet chocolate, or dark chocolate chips)",NA,NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/edible-cookie-dough/,NA,NA,NA,NA,NA,NA,NA
Snickerdoodles Without Cream Of Tartar,Angela Latimer,5,23,American,Cookies & Bars,NA,10 minutes,8 minutes,10 minutes,28 minutes,36 cookies,7,"To begin, preheat your oven to 400°F (205°C/Gas Mark 6). Line a baking sheet with parchment paper.
In a large mixing bowl, cream together your 1 cup butter and 1½ cup sugar. Afterward, add the 2 large eggs, one at a time, and mix to combine in between each addition.
Next, stir in the 2 teaspoon baking powder and ¼ teaspoon salt. Slowly mix in the 2¾ cups all-purpose flour until a dough is formed.
In a small mixing bowl, gently stir together the ¼ cup sugar and 2 teaspoon ground cinnamon. Set it aside.
Scoop out some of the dough and then roll it into 1¼-inch balls. After each ball is formed, roll them into the cinnamon sugar and then place them onto your prepared cookie sheet.
Bake in the center of the middle rack of your preheated oven at 400°F (205°C/Gas Mark 6) for 8-10 minutes. The bottoms of the cookies should be a light golden color when done.
Once baked, remove the snickerdoodles from the oven. Allow the cookies to cool for 5 minutes on the baking sheet before transferring them to a wire rack to finish cooling.",8,"▢ 1 cup butter (salted, softened, at room temperature)",▢ 1½ cup sugar,▢ 2 large eggs,▢ ¼ teaspoon salt,▢ 2 teaspoon baking powder,▢ 2¾ cups all-purpose flour (spooned and leveled),▢ ¼ cup sugar,▢ 2 teaspoon ground cinnamon,NA,NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/snickerdoodles-without-cream-of-tartar/,NA,NA,NA,NA,NA,NA,NA
3 Ingredient Fork Biscuits,Angela Latimer,4.90,19,English,Cookies & Bars,NA,5 minutes,15 minutes,NA,20 minutes,16 biscuits,8,"Preheat your oven to 350℉ (175℃) and line a baking sheet with parchment paper or a silicone baking mat.
In a medium to a large mixing bowl, beat the softened 7 tablespoons of butter until smooth and creamy.
Add the sugar and beat into the softened butter until well combined (creamed).
Add ¾ cup of the self-rising flour and combine using a spatula. Your dough will be pretty firm at this point, so gradually work in the remaining flour a bit at a time. *I used an amount that was just shy of the 1 cup of flour.
Portion out the dough into small walnut-sized balls and roll them until smooth and round. Place the dough onto your prepared baking sheet with 2 inches of spacing between each ball of dough.
Use a wet fork and make one imprint across the top of the balls to press them down about halfway. Repeat with each ball of dough.
Bake at 350℉ (175℃) for 15-18 minutes or until the cookies are a very pale golden color with a light brown footing. 
Remove the cookies when done and allow them to cool on the baking sheet for 2-3 minutes, then transfer them to a wire cooling rack to cool completely.",3,"▢ 7 tablespoon butter (softened, at room temperature)",▢ ¼ cup sugar,▢ 1 cup self-rising flour (or use 1 cup all-purpose flour + 1 ½ teaspoons baking powder - see notes),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/fork-biscuits/,NA,NA,NA,NA,NA,NA,NA
2 Ingredient Lemon Bars,Angela Latimer,5,136,American,Cookies & Bars,NA,5 minutes,30 minutes,NA,35 minutes,16 servings,4,"Preheat your oven to 350℉ (175℃) and thoroughly oil or spray your 9 x 13 baking dish with non-stick cooking spray.
In a large mixing bowl, combine the 16 oz angel food cake with the 21 oz lemon creme filling. Mix just until the cake mix is incorporated into the lemon creme (or lemon curd), as you don't want to over-mix the batter.
Transfer the lemon batter to your prepared baking dish, and use a spatula to smooth the top. Bake at 350℉ (175℃) for 30-35 minutes, or until the top is lightly golden browned and an inserted toothpick comes out with minimal crumb (but no batter clinging to the toothpick).
Remove the lemon bars from the oven when done and place on a wire cooling rack to cool completely before slicing and serving. Dust with confectioner sugar, if desired.",2,▢ 16 oz angel food cake (1 box of Angel food cake boxed cake mix),▢ 21 oz lemon creme filling (lemon pie filling or homemade lemon curd),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/2-ingredient-lemon-bars/,NA,NA,NA,NA,NA,NA,NA
Nestle Toll House Chocolate Chip Cookies,Angela Latimer,5,9,American,Cookies & Bars,NA,10 minutes,9 minutes,10 minutes,29 minutes,60 cookies,5,"Preheat oven to 375 degrees F (190 degrees C) and line baking sheet(s) with parchment paper, if desired.
In a large mixing bowl, or the bowl of your stand mixer, cream together the butter, sugar, brown sugar, vanilla extract, baking soda and salt until smooth and creamy.
Add the eggs, one at a time and mixing each until the dough is smooth again. Gradually add the flour until all of the flour is incorporated. Stir in the milk chocolate or semi-sweet chocolate chips.
Portion out the cookie dough by using a rounded tablespoon portion (or a cookie scoop) and place onto the prepared baking sheet(s). Leave about 2 inch spacing between each cookie.
Bake the cookies for 9-11 minutes, or until the edges are beginning to turn golden brown. Remove from the oven and allow cookies to set on your baking sheet(s) for 2-3 minutes before transferring to a cooling rack to cool completely.",9,"▢ 1 cup butter (salted, 2 sticks - softened at room temperature)",▢ ¾ cup sugar,▢ ¾ cup light brown sugar (packed),▢ 1 teaspoon vanilla extract,▢ 1 teaspoon baking soda,▢ 1 teaspoon salt,▢ 2 large eggs (room temperature),▢ 2 ¼ cups all-purpose flour,▢ 2 cups milk chocolate chips (12 oz / or use semi-sweet chocolate chips),NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/nestle-toll-house-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA
Oatmeal Craisin Cookies,Angela Latimer,5,82,American,Cookies & Bars,NA,10 minutes,10 minutes,30 minutes,50 minutes,36 cookies,10,"In a large bowl or the bowl of your stand mixer cream together the cup of softened butter with 1 cup packed light brown sugar and ¼ cup sugar until smooth.
Add the 2 large eggs, 2 tablespoons molasses, and 1 tablespoon vanilla extract then mix into the creamed butter and sugar (use 1 tablespoon of your all-purpose flour if desired to keep the wet mixture from looking curdled).
Stir in the 1 teaspoon baking soda, 1 teaspoon cinnamon, 1 teaspoon dried orange peel, and ½ teaspoon of salt.
Mix in the 1 ⅔ cups all-purpose flour until all of the flour has been incorporated into the wet ingredients.
Fold in the 3 cups of old-fashioned rolled oats and 1 ½ cups of craisins or dried cranberries. Your dough will still be sticky once everything is combined.
Chill the dough for at least 30 minutes before baking, an hour is optimal.
Preheat your oven to 350℉ (175℃) and line a baking sheet(s) with parchment paper or a silicone baking mat.
Portion out roughly ½ tablespoon bits of the dough and roll them into 1-inch balls (use more dough to get the right size dough balls as needed). Place the dough onto your prepared baking sheets leaving about 2 inches of spacing for the cookies to spread.
Bake at 350℉ (175℃) with the baking sheet in the center of the middle oven rack. My smaller cookies baked for 10 minutes, larger will take 12-15 minutes. Remove from the oven when the edges are slightly golden and the center of the cookie still looks under-cooked.
Allow the baked cookies to cool for 5 minutes on the baking sheet before transferring them to a wire cooling rack to cool completely.",13,"▢ 1 cup butter (softened, at room temperature)",▢ 1 cup light brown sugar (packed - or dark brown sugar),▢ ¼ cup sugar,▢ 2 large eggs (at room temperature),▢ 2 tablespoon molasses,▢ 1 tablespoon vanilla extract,▢ 1 teaspoon baking soda,▢ 1 teaspoon ground cinnamon,▢ 1 teaspoon dried orange peel,▢ ½ teaspoon salt,▢ 1 ⅔ cups all-purpose flour,▢ 3 cups old-fashioned rolled oats,▢ 1 ½ cups craisins (or dried cranberries),NA,NA,Bake It With Love,https://bakeitwithlove.com/oatmeal-craisin-cookies/,NA,NA,NA,NA,NA,NA,NA
Sprinkle Cookies,Angela Latimer,5,11,American,Cookies & Bars,NA,5 minutes,10 minutes,NA,15 minutes,18 cookies,7,"Preheat your oven to 350°F (175°C) and line your baking sheet(s) with parchment paper. 
Using your hand mixer or a stand mixer, cream ½ cup butter until smooth (about 2 minutes at medium speed). Gradually pour in ¾ cup sugar while continuing to mix until the mixture is light and fluffy. 
Add 1 large egg, 1½ teaspoon vanilla extract, 1½ teaspoon baking powder, and ¼ teaspoon salt and mix until well combined, scraping down the bowl as needed. 
Add 1½ cups all-purpose flour and mix only until the flour has just been incorporated. 
Pour ½ cup sprinkles into a shallow dish. Use a 2-tablespoon cookie scoop to scoop the dough and then roll it into a ball in your hand. Roll the dough ball in the sprinkles until they are completely coated and then place them onto the prepared baking sheet, leaving 2 inches in between each cookie. 
Bake in the preheated oven at 350°F (175°C) for 8-10 minutes. Your cookies are done when the edges are set, but the center is still soft and looks slightly under-cooked. 
Remove the baked cookies from the oven and let them cool on the baking sheet for 5 minutes before moving them to a wire rack. ",8,▢ ½ cup butter (room temperature),▢ ¾ cup sugar,▢ 1 large egg,▢ 1½ teaspoon vanilla extract,▢ 1½ teaspoon baking powder,▢ ¼ teaspoon salt,▢ 1½ cups all-purpose flour (spooned and leveled),▢ ½ cup sprinkles,NA,NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/sprinkle-cookies/,NA,NA,NA,NA,NA,NA,NA
How To Prevent Cookies From Spreading,Angela Latimer,5,3,American,How To,NA,10 minutes,6 minutes,NA,16 minutes,24 cookies (2 dozen),7,"Preheat your oven to 350 degrees F (175 degrees C) and line a baking sheet(s) with parchment paper.
In a large bowl, or the bowl of your stand mixer, cream together the butter and sugar. *The butter should be (preferably) at room temperature, but still firm. If your working with cold butter, it will take longer to cream together but can be cut in to the sugar using a pastry cutter to help your dough stay chilled during the mixing process.
Once the butter and sugar are combined, add the extracts and egg, baking powder and pinch of salt. Combine thoroughly.
Add the flour, starting with 2 cups. Work the flour into the dough, even with only ⅔ of the flour mixed in the dough may seem crumbly but it will all come together when turned out and kneaded (like bread) before rolling out to cut shapes.
Once the first 2 cups of flour has been incorporated, turn the dough out onto a well floured surface or pastry mat and work the remaining flour into the dough until you have a firm cookie dough for rolling. *Typically, I use 2 ¾ cups of the flour at this point and save the remaining ¼ cup of flour for working with the dough while rolling.
Roll out sugar cookie dough to your desired thickness (usually ¼ - ½ inch depending on your preference) and cut into shapes. Transfer to baking sheet(s) and bake for 6-9 minutes at 350 degrees F (175 degrees C). Remove from the oven before any browning starts on the bottom edges of your cut out sugar cookies.
Allow your cookies to remain on the baking sheet for 5-6 minutes as they will continue to bake on the baking sheet. Transfer to a wire cooling rack to cool completely before storing or decorating. *I recommend allowing your cookies to sit for several hours (and preferably overnight) before decorating with icing, as they can absorb the icing and become too soft.",8,"▢ 1 cup butter (2 sticks, at room temperature but not softened)",▢ 1 cup sugar,▢ 1 teaspoon vanilla extract,▢ ½ teaspoon almond extract,▢ 1 large egg,▢ 2 teaspoon baking powder,▢ 3 cups all-purpose flour,"▢ 1 pinch salt (optional, use ½ teaspoon of salt if using unsalted butter)",NA,NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/how-to-prevent-cookies-from-spreading/,NA,NA,NA,NA,NA,NA,NA
Nectarine Crumble Bars,Angela Latimer,5,1,American,Cookies & Bars,NA,20 minutes,35 minutes,NA,55 minutes,12 servings,8,"Preheat your oven to 350°F (175°C/Gas Mark 4) and lightly grease an 8x8 baking dish, then line it with some overhanging parchment paper for easy bar removal.
In a medium-sized bowl, gently mix 2 cups nectarines, 2 tablespoon sugar, 1 teaspoon lemon juice, and 1 teaspoon vanilla extract. Once fully coated, add the 2 teaspoon cornstarch and mix well. Set aside.
In a separate medium-sized mixing bowl, combine the 1 cup all-purpose flour, ¾ cup sugar, 1⅓ cup old-fashioned rolled oats, 1 teaspoon cinnamon, and optional ¼ teaspoon salt and/or ¼ teaspoon nutmeg. 
Drizzle in the melted ⅔ cup butter and stir to combine. Use a fork to break the crumble into smaller chunks.
Use a spatula to evenly spread ⅔ of the oat mixture into your baking dish, making sure to cover the entire bottom. Then, spoon the nectarine mixture over top of the oats (but leaving any extra liquid in the bowl). 
Crumble and sprinkle the remaining oat mixture over the top, gently pressing it into the nectarines using your fingers.
Bake in the oven at 350°F (175°C/Gas Mark 4) for 30-35 minutes, or until the oat topping is golden brown.
Remove the bars from the oven and let it cool completely to room temperature. For neat and clean cuts, chill it in the fridge before slicing.",12,▢ 2 cups nectarines chopped into small pieces,▢ 1 teaspoon lemon juice,"▢ 1 teaspoon vanilla extract or almond extract, or brandy",▢ 2 teaspoon cornstarch,▢ 2 tablespoon sugar or maple syrup,▢ 1 cup all-purpose flour,▢ ¾ cup sugar or light brown sugar,▢ 1⅓ cup old-fashioned rolled oats,▢ 1 teaspoon cinnamon,▢ ¼ teaspoon salt optional,"▢ ¼ teaspoon nutmeg optional - ginger, cardamom, mace, or allspice are also great baking spices to use",▢ ⅔ cup butter melted and cooled,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/nectarine-crumble-bars/,NA,NA,NA,NA,NA,NA,NA
Cherry Pie Bars,Angela Latimer,5,52,American,Cookies & Bars,NA,15 minutes,30 minutes,NA,45 minutes,18 servings,8,"Preheat your oven to 350°F (175°C) and lightly grease a 9x13 baking pan using non-stick cooking spray, baking spray, or butter.
Add the ¾ cup butter, 1½ cups sugar, and ½ teaspoon salt to the mixer bowl and cream the ingredients together.
Pour the 1½ teaspoon vanilla extract into your mixer bowl. Then add the 3 large eggs one at a time, mixing between each one (*see note). *If the mixture begins to curdle, mix in a tablespoon or two of all-purpose flour. 
Gently mix in the 2¼ cups all-purpose flour, just until the dough is combined (try not to overmix). Reserve 1 cup of the dough for later and set it aside.
Spread the dough evenly across the bottom of your prepared baking pan. Then top it with the 21 oz cherry pie filling. Drop the reserved 1 cup of dough in rounded spoonfuls over the top of the cherry pie filling layer.
Bake at 350°F (175°C) until golden brown and the topping is no longer soft, about 30-35 minutes. Then, transfer the pan to a wire cooling rack to cool completely before drizzling the vanilla icing over the top. 
Combine the ½ cup confectioners' sugar, 1 tablespoon heavy cream, and ½ teaspoon vanilla extract in a small bowl. If needed, add more cream or sugar until you reach a good consistency for drizzling.
After the bars have cooled completely, drizzle the vanilla glaze over them. You may cut and serve right away, or allow the glaze to set before serving.",10,"▢ ¾ cup butter (softened - 12 tablespoons, or 1½ sticks butter)",▢ 1½ cups sugar,▢ ½ teaspoon salt,▢ 1½ teaspoon vanilla extract,▢ 3 large eggs (at room temperature),▢ 2¼ cups all-purpose flour,▢ 21 oz cherry pie filling (1 21-ounce can or see my recipe),▢ ½ cup confectioners' sugar,"▢ 1 tablespoon heavy cream (or whole milk, or half & half)",▢ ½ teaspoon vanilla extract,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/cherry-pie-bars/,NA,NA,NA,NA,NA,NA,NA
Green Tea Matcha Cookies,Angela Latimer,5,44,American,Cookies & Bars,NA,5 minutes,8 minutes,NA,13 minutes,36 cookies,6,"Preheat your oven to 375°F (190°C) and line your baking sheets with parchment paper or silicone baking mats.
In a large mixing bowl cream together the butter and sugars until smooth and fluffy. Mix in the egg and vanilla extract until smooth again.
Add the baking soda, baking powder, and matcha green tea powder and combine. Stir in the flour until thoroughly incorporated into the cookie dough. Fold in optional baking chips if desired.
Portion the dough out using a tablespoon or melon ball scooper and roll it into a ball. Place onto your prepared baking sheets with 2 inches of spacing between each round of dough, then flatten slightly before baking.
Bake at 375°F (190°C) for 8-10 minutes, or until the tops of the cookies no longer look raw. *I don't like the bottoms to brown on these matcha cookies, so I remove them at the 8-minute mark before they turn color on the foot of the cookie.
Remove from the oven and allow the cookies to set on the baking trays for 5 minutes before transferring to a wire cooling rack to cool completely.",10,"▢ 1 cup butter (softened, at room temperature)",▢ 1 ¼ cups sugar,▢ ¼ cup light brown sugar (packed),▢ 1 teaspoon vanilla extract,▢ 1 large egg (at room temperature),▢ 1 tablespoon matcha green tea powder,▢ 1 teaspoon baking soda,▢ ½ teaspoon baking powder,▢ 2 ¾ cups all-purpose flour,"▢ chocolate chips (optional - white chocolate chips, milk chocolate, semi-sweet, or dark chocolate chips)",NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/matcha-cookies/,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Cookie Pie,Angela Latimer,5,5,American,Pies & Tarts,NA,5 minutes,35 minutes,NA,40 minutes,8 servings,9,"Preheat your oven to 425°F (220°C/Gas Mark 7). 
In a large bowl, mix together ½ cup butter, ⅓ cup sugar, and ½ cup light brown sugar until smooth. 
Stir in the 1 large egg, 2 teaspoon vanilla extract, ½ teaspoon baking soda, and ¼ teaspoon salt. Then, add 1½ cups all-purpose flour and mix until just combined. 
Add 1½ cups milk chocolate chips and stir until they are distributed throughout the dough. 
(optional) Roll your 1 butter pie crust into a 9-inch pie pan and trim and crimp the edges as desired. Note: Lightly grease the pie pan if not using the pie crust.
Transfer the cookie dough to the pie pan and gently press it down so that it is in an even layer. Sprinkle some more chocolate chips on top of the pie.
Cover the crust of your pie with either a pie shield or a piece of aluminum foil. 
Bake for 10 minutes at 425°F (220°C/Gas Mark 7), then reduce the temperature to 350°F (175°C/Gas Mark 4) and continue to bake for another 25 minutes or until the cookie is no longer shiny and golden in color. 
Remove the cookie pie from your oven and enjoy it while still nice and warm or let it cool to room temperature for clean slices. ",10,▢ ½ cup butter (melted and cooled slightly),▢ ⅓ cup sugar,▢ ½ cup light brown sugar (packed),▢ 1 large egg (at room temperature),▢ 2 teaspoon vanilla extract,▢ ½ teaspoon baking soda,▢ ¼ teaspoon salt,▢ 1½ cups all-purpose flour (spooned and leveled),▢ 1½ cups milk chocolate chips (plus more for topping),"▢ 1 butter pie crust (or store-bought crust, optional to use crust)",NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/chocolate-chip-cookie-pie/,NA,NA,NA,NA,NA,NA,NA
Soft Sugar Cookies (Multi-Colored),Angela Latimer,5,4,American,Cookies & Bars,NA,15 minutes,10 minutes,NA,25 minutes,60 cookies,8,"In a large bowl or the bowl of your stand mixer, combine softened butter and both sugars (confectioners and granulated). Beat sugars and butter until light and fluffy.
Add the eggs and beat into the creamed butter and sugar until creamy. Add vegetable oil and vanilla, combine thoroughly until smooth (will resemble a very wet batter).
Add the dry ingredients (salt, baking soda, cream of tartar, and flour). Combine until all flour is absorbed. The dough will be very smooth and soft. 
Refrigerate and chill the dough for at least one hour before baking.
Preheat oven to 350 degrees F (175 degrees C). Place rounded cookie dough balls on your baking sheet, then press them down slightly by hand or with the floured bottom of a cup. 
Make a test batch of 2-3 cookies, add more flour 1 tablespoon at a time to thicken the cookie dough (if needed).
Bake for 10-12 minutes, or until the bottom edges are just starting to get golden colored. Start checking at 8 minutes to ensure that your cookies do not over-bake. 
Remove from the oven and allow the cookies to cool for 5 minutes, then transfer to a wire cooling rack to cool completely.",10,"▢ 1 cup butter (2 sticks, softened, at room temperature)",▢ 2 large eggs,▢ 1 cup sugar,▢ 1 cup confectioners sugar,▢ 1 cup vegetable oil,▢ 2 teaspoon vanilla extract,▢ 1 teaspoon salt,▢ 1 teaspoon baking soda,▢ 1 teaspoon cream of tartar,▢ 4 cups all-purpose flour,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/double-sugar-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA
No Bake Butterscotch Cookies,Angela Latimer,5,39,American,Cookies & Bars,NA,5 minutes,5 minutes,15 minutes,25 minutes,30 no-bake cookies,6,"Add ½ cup butter, 2 cups sugar, and ½ cup milk to your saucepan. Heat over medium-high until it reaches a good, solid rolling boil.
Remove from heat after one full minute at a rolling boil.
Add the 1  teaspoon vanilla extract then the 1 cup butterscotch chips. Stir until melted.
Stir the 3  cups quick oats oatmeal into the candied sauce mixture.
Make sure that the oats are thoroughly coated with the butterscotch sauce.
Portion out the no-bake cookies in heaping tablespoon amounts onto a prepared work surface or parchment paper-lined baking sheets. Allow the cookies to cool and set for 15-30 minutes.",6,"▢ ½ cup butter (salted butter, if using unsalted butter add a pinch of salt)",▢ 2 cups sugar,▢ ½ cup milk,▢ 1 teaspoon vanilla extract,▢ 1 cup butterscotch chips,▢ 3 cups quick oats (do not use old fashioned or instant oatmeal ***see notes),NA,NA,NA,NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/no-bake-butterscotch-cookies/,NA,NA,NA,NA,NA,NA,NA
Oatmeal Molasses Raisin Cookies (World War II Cookies),Angela Latimer,4.97,80,American,Cookies & Bars,NA,5 minutes,12 minutes,15 minutes,32 minutes,24 cookies,7,"Preheat oven to 350℉ (175℃) and line your baking sheet(s) with parchment paper.
In a large mixing bowl, or the bowl of your stand mixer, cream the ½ cup butter, salted, and 1 ¼ cups sugar together until smooth.
Add the wet ingredients: 2 large eggs beaten at room temperature and 6 tablespoon molasses. Stir, then add ½ teaspoon salt, 1 teaspoon baking soda, 1 teaspoon baking powder, and ½ teaspoon cinnamon. Combine thoroughly.
Add 1 ¾ cups all-purpose flour and stir gently to create a wet mixture. Add 2 ½ cups old fashioned oats and 1 cup raisins, then stir until all ingredients are combined into a sticky cookie dough.
Using a tablespoon, portion out the dough into 1-1 ½-inch dough balls and place them onto a baking sheet approximately 2 inches apart to allow them room to spread during baking.
Bake cookies at 350℉ (175℃) for 12-15 minutes, or until cookies are browned on the edges (the baked cookies are lighter brown in appearance than the dough).
Remove cookies from the oven and allow them to set up on the cookie sheet for 5 minutes before transferring to a cooling rack. Cool for an additional 10 minutes before serving.",11,"▢ ½ cup butter, salted (softened, at room temperature)",▢ 1 ¼ cups sugar,"▢ 2 large eggs (beaten, at room temperature)","▢ 6 tablespoon molasses (or more, be generous for chewier cookies)",▢ 1 teaspoon baking soda,▢ 1 teaspoon baking powder,▢ ½ teaspoon salt,▢ ½ teaspoon cinnamon,▢ 1 ¾ cups all-purpose flour,▢ 2 ½ cups old fashioned oats,"▢ 1 cup raisins (substitute dried cranberries or cherries, if desired - you can also add chopped walnuts or chocolate chips)",NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/oatmeal-molasses-raisin-cookies-world-war-ii-cookies/,NA,NA,NA,NA,NA,NA,NA
Strawberry Shortcake Cookie Cups,Angela Latimer,5,2,American,Cookies & Bars,NA,20 minutes,10 minutes,10 minutes,40 minutes,20 cookie cups,7,"Preheat your oven to 350 degrees F (175 degrees C) and butter your mini muffin pan.
Cream together the butter and sugar until smooth and creamy. Add the egg, almond extract, and vanilla extract and beat until creamy and well combined. Add baking powder and salt to the wet mixture and combine, then add flour and mix until smooth cookie dough is formed.
Scoop out the dough with a spoon and roll into a 1 - 1 ¼ inch size ball, place the ball into the mini muffin pan cups (don't overfill them) and use your thumb or finger to make an indent in the top center. 
Bake at 350 degrees F (175 degrees C) for 10-12 minutes or until a light golden brown. Remove from the oven, use a spoon to press the indents in the center of the cookie cups back down, and allow the cookie cups to cool completely in the mini muffin pan on a wire cooling rack.
(If you are not using store bought whipped cream) Beat the heavy cream on low speed until bubbles form, then increase to a medium speed until soft peaks are formed. 
Add vanilla extract and slowly start adding the confectioners sugar, beating at medium speed until all of the confectioners sugar has been incorporated and stiff peaks are formed.
Place whipped cream in the indents of each of the cookie cups and top with halved or chopped strawberries.",12,"▢ ½ cup butter (1 stick, softened at room temperature)",▢ ½ cup sugar,▢ 1 large egg,▢ 1 teaspoon almond extract,▢ ½ teaspoon vanilla extract,▢ ½ teaspoon baking powder,▢ ½ teaspoon salt,▢ 1 ⅔ cups all-purpose flour,▢ ½ cup heavy whipping cream,▢ ¼ cup confectioners sugar,▢ ½ teaspoon vanilla extract,"▢ 1 cup strawberries (fresh, halved or chopped)",NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/strawberry-shortcake-cookie-bites-recipe/,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Cookies,Angela Latimer,5,11,American,Cookies & Bars,NA,10 minutes,10 minutes,NA,20 minutes,30 cookies,8,"Preheat your oven to 350°F (175°C) and line your baking sheet(s) with parchment paper.
In a large mixing bowl, or the bowl of your stand mixer, cream together the 1 cup butter, 1 ½ cups peanut butter, 1 cup sugar, and 1 cup light brown sugar until creamy.
Add the 2 large eggs, 1 teaspoon vanilla extract, 1 ½ teaspoon baking soda, 1 teaspoon baking powder, and ¼ teaspoon salt, then mix until smooth. *Add 1 tablespoon of your flour if the wet ingredients start to 'curdle' with the addition of the eggs.
Stir in the 2 ¾ cups all-purpose flour until it has been completely incorporated into the dough.
Shape the dough into 1 inch round balls, roll them in sugar if desired. Place onto parchment paper-lined baking sheets with approximately 2 inches of spacing between each cookie.
Use a fork to press the cookies down to about half the height. Crisscross the tine marks to make the usual checkered pattern of peanut butter cookies.
Bake at 350°F (175°C) for 8-10 minutes, or until the cookie edges begin to brown slightly.
Remove cookies from the oven and allow them to cool on the baking sheet for 5 minutes before transferring the cookies to a wire cooling rack to cool completely.",10,▢ 1 cup butter (at room temperature),▢ 1 ½ cups peanut butter (creamy or chunky),▢ 1 cup sugar,▢ 1 cup light brown sugar (packed),▢ 2 large eggs (at room temperature),▢ 1 teaspoon vanilla extract,▢ 1 ½ teaspoon baking soda,▢ 1 teaspoon baking powder,▢ ¼ teaspoon salt,▢ 2 ¾ cups all-purpose flour,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA
