title,author,rating,ratingnum,categories,INFOCARD,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,source,link,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31
Black sesame chocolate cookies,Chelsie Collins,4.3,5,NA,"makes 20
More effort
Prep: 20 mins
Cook: 8 mins",11,50g salted butter softened,125g light brown muscovado sugar,125g golden caster sugar,1 egg beaten,200g self-raising flour,2 tbsp cocoa powder,200g milk chocolate broken into chunks,"100g white chocolate melted, for drizzling",100g black sesame seeds plus extra for decorating,BBC Good Food,https://www.bbcgoodfood.com/recipes/black-tahini-chocolate-cookies,100g flavourless oil,30g maple syrup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate & hazelnut thumbprint cookies,Edd Kimber,4,5,"Freezable (without chocolate filling)
Vegetarian","Makes 25
Easy
Prep: 20 mins
Cook: 20 mins
plus chilling",7,180g hazelnuts toasted,100g plain flour,90g buckwheat flour,60g golden caster sugar,180g unsalted butter,100g dark chocolate roughly chopped,1 tsp coconut oil (or use any flavourless oil),NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/chocolate-hazelnut-thumbprint-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate & caramel cookies,Miriam Nice,3.9,5,Vegetarian,"makes 12
More effort
Prep: 20 mins
Cook: 12 mins - 15 mins",8,100g butter at room temperature,120g light brown soft sugar,1 egg,100g self-raising flour,50g rolled oats,100g milk chocolate chips,1 tbsp mini fudge pieces,4 x 25g packs chocolate caramel biscuit bars chopped,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/chocolate-caramel-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saffron, pistachio & white chocolate cookies",Good Food team,4.8,5,"Freezable
Vegetarian","Makes 12-15 cookies
Easy
Prep: 15 mins
Cook: 20 mins
Plus chilling",10,30ml milk,big pinch saffron,220g butter melted,1 large egg,100g golden caster sugar,100g light brown soft sugar,300g plain flour,1⁄2 tsp baking powder,200g white chocolate,BBC Good Food,https://www.bbcgoodfood.com/recipes/saffron-pistachio-white-chocolate-cookies,100g pistachios roughly chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Broken biscuit squares,Nadiya Hussain,3.8,5,Vegetarian,"Makes 12 squares
Easy
Prep: 30 mins
Cook: 30 mins
plus cooling",15,"250g unsalted butter softened, plus extra for the tin",100g caster sugar,150g light soft brown sugar,2 tsp vanilla extract,1 tsp almond extract,1 orange zested,4 eggs,250g plain flour,2 tsp baking powder,BBC Good Food,https://www.bbcgoodfood.com/recipes/broken-biscuit-squares,2 tbsp milk,300g white chocolate finely chopped,150ml double cream,30g jammy ring biscuits,30g chocolate sandwich biscuits,30g custard sandwich biscuits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonfire Night cookies,Liberty Mendez,3.8,5,NA,"Makes 20-22
Easy
Prep: 35 mins
Cook: 10 mins",12,75g unsalted butter softened,100g caster sugar,1 large egg,250g plain flour,2 tbsp cocoa powder sifted,1 tsp ground cinnamon,1 tsp ground ginger,1 large egg white,250g icing sugar sifted,BBC Good Food,https://www.bbcgoodfood.com/recipes/bonfire-night-cookies,½ tsp lemon juice,"gel food colourings (we used blue, yellow and red)",star sprinkles (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut butter double chocolate chip cookies,Angela Nilsen,4.3,5,NA,"Makes 12 big cookies
Easy
Total time : 50 mins
Takes 40-50 minutes",9,300g plain chocolate (about 55% cocoa solids),100g bar milk chocolate,100g light muscovado sugar,85g butter at room temperature,100g peanut butter crunchy is best,1 medium egg,½ tsp vanilla extract,100g self-raising flour,100g large salted roasted peanuts,BBC Good Food,https://www.bbcgoodfood.com/recipes/all-american-chocolate-chunk-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malty choc chip cookies,Katy Gilhooly,3.8,5,Freezable (uncooked dough only),"Makes 20
Easy
Prep: 15 mins
Cook: 10 mins",8,140g butter softened,50g golden caster sugar,100g soft light brown sugar,2 medium eggs,200g plain flour,175g malted milk drink powder (we used Horlicks),½ tsp baking powder,100g bar dark chocolate chopped,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/malty-choc-chip-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted caramel biscuit bars,Jessica Gooch,3.8,5,"Dairy-free
Vegan
Vegetarian","makes 18
More effort
Prep: 45 mins
Cook: 15 mins
plus setting",10,80g porridge oats,20g ground almonds,50ml maple syrup,3 tbsp coconut oil melted,125g medjool dates pitted,1 ½ tbsp smooth peanut butter or almond butter,2 tbsp coconut oil melted,½ tbsp almond milk,generous pinch of salt,BBC Good Food,https://www.bbcgoodfood.com/recipes/salted-caramel-biscuit-bars,150g dairy-free dark chocolate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toffee apple cookies,Silvana Franco,4,5,Freezable,"Makes 24 cookies
Easy
Prep: 10 mins - 15 mins
Cook: 12 mins
Plus cooling time",8,175g unsalted butter at room temperature,140g golden caster sugar,2 egg yolks,50g ground almond,85g chewy toffees roughly chopped,"85g/3oz ready-to-eat dried apple chunks, roughly chopped",225g self-raising flour,2 tbsp milk,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/toffee-apple-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M&M'S® Minis & M&M'S® Choco Eggs double chocolate cookies,Good Food team,5,5,Vegetarian,"Serves 22
Easy
Prep: 15 mins
Cook: 15 mins
plus chilling",12,125g dark chocolate chopped,175g unsalted butter softened,175g light brown soft sugar,75g caster sugar,2 large eggs beaten,1 tsp vanilla extract,200g plain flour,40g cocoa powder,1 tsp bicarbonate of soda,BBC Good Food,https://www.bbcgoodfood.com/premium/mms-minis-mms-choco-eggs-double-chocolate-cookies,½ tsp  baking powder,100g M&M'S® Minis,125g M&M'S® Choco Eggs roughly chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter crinkle cookies,NA,3.6,5,Vegetarian,"makes 15
Easy
Prep: 20 mins
Cook: 10 mins
plus 1 hr chilling and cooling",8,30g cocoa powder sieved,100g caster sugar,2 tbsp vegetable oil,1 egg,90g plain flour,½ tsp baking powder,25g icing sugar,15 Easter chocolates a mixture of white and milk chocolate,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/easter-crinkle-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caption cookies,Jane Hornby,4.8,5,Freezable (uncooked dough only),"Makes about 24
More effort
Prep: 10 mins
Cook: 12 mins
plus chilling and decorating, cooking time is per batch",11,175g soft butter plus extra for greasing,100g golden caster sugar,1 large egg yolk,½ tsp vanilla extract,zest 1 lemon,250g plain flour plus extra for rolling,½ tsp salt,cake pop sticks,200g icing sugar sifted,BBC Good Food,https://www.bbcgoodfood.com/recipes/caption-cookies,1 large egg white,"food colouring of your choice, we used orange and pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candy cane cookies,Liberty Mendez,3.5,5,Vegetarian,"Makes 12 large cookies
Easy
Prep: 30 mins
Cook: 14 mins",6,170g unsalted butter,115g caster sugar,300g plain flour,1 tbsp milk,1 tsp vanilla bean paste,green and red gel food colourings,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/candy-cane-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rye Christmas pudding cookies,Rosie Birkett,5,5,Freezable (unbaked),"Makes 16
Easy
Prep: 20 mins
Cook: 14 mins
plus 1 hr chilling",10,180g butter softened,160g dark muscovado sugar,40g golden caster sugar,1 large egg,2 tbsp brandy or  cognac,200g self-raising flour,80g dark rye flour,160g leftover Christmas pudding torn into bite-sized chunks,30g  flaked almonds,BBC Good Food,https://www.bbcgoodfood.com/recipes/rye-christmas-pudding-cookies,"clotted cream or vanilla ice cream, to serve (optional)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oaty energy cookies,Good Food team,4.1,5,NA,"Makes 6
Easy
Prep: 10 mins
Cook: 30 mins",6,50g ready-to-eat dried apricot,50g soft butter,50g light brown sugar,2 tbsp condensed milk (look for it in tubes),50g rolled oats,85g self-raising flour,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/oaty-energy-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Nose Day raspberry cookies,Good Food team,4.5,5,"Easily doubled
Easily halved
Freezable (un-iced)
Vegetarian","Makes 14
Easy
Prep: 30 mins",5,1 quantity basic biscuit dough - link in recipe,1 tsp cinnamon,6 tbsp raspberry jam,6 tbsp icing sugar sifted,icing to decorate,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/red-nose-day-raspberry-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apple pie cookie kit,Sarah Cook,4.2,5,Freezable (after baking),"Makes 1 kit (about 10 cookies)
Easy
Prep: 20 mins
No cook",14,175g plain flour,1 tsp mixed spice,1 tsp ground cinnamon,½ tsp bicarbonate of soda,100g light brown soft sugar,50g rolled oat,85g raisins or sultanas,50g malted milk biscuits broken into small chunks,"1 shiny, perfect apple",BBC Good Food,https://www.bbcgoodfood.com/recipes/apple-pie-cookie-kit,1 big jam jar or small Kilner jar (about 750ml capacity),1 long colourful ribbon,1 sticky label for the jar (or tag to tie to the top) and a pen,weighing scales,measuring spoons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hazelnut & chocolate cookie sandwiches,Esther Clark,4,5,"Freezable (cookie dough only)
Vegetarian","Makes 12
Easy
Prep: 20 mins
Cook: 12 mins
plus cooling",11,120g unsalted butter softened,100g light brown soft sugar,75g golden caster sugar,½ tsp  fine sea salt,1 medium egg lightly beaten,1 tsp vanilla extract,200g plain flour,¼ tsp bicarbonate of soda,100g milk chocolate roughly chopped,BBC Good Food,https://www.bbcgoodfood.com/recipes/hazelnut-chocolate-cookie-sandwiches,70g skinless hazelnuts roughly chopped and toasted,120g chocolate hazelnut spread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower sugar cookies,Einfach Backen Team,4,5,NA,"Makes 36
Easy
Prep: 15 mins
Cook: 10 mins
plus cooling",5,150g plain flour,80g butter,3 tbsp agave syrup,2 egg yolks,1 vanilla pod,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/lower-sugar-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheesecake biscuit beach,Frances Quinn,4.3,5,NA,"Serves 18 - 20
More effort
Prep: 1 hr and 30 mins - 3 hrs and 30 mins
Cook: 35 mins
Includes 2 hrs chilling and cooling",19,,375g slightly salted butter,"750g salted butter of assorted biscuits, plus extra for the surrounding sand (we used digestive, malted milk, shortbread and ginger biscuits)",oil for greasing,500g full-fat cream cheese,1 tbsp vanilla extract,200g icing sugar,300ml pot double cream,"10 waffle cones (we used Carousel cornets, available from Sainsbury’s)",BBC Good Food,https://www.bbcgoodfood.com/recipes/cheesecake-biscuit-beach,100g slightly salted butter softened,100g golden caster sugar,100g self raising flour,1 tsp vanilla extract,2 eggs beaten,4 chocolate Flakes,150g punnet raspberries,hundreds and thousands to decorate,500g assorted biscuits,ice cream to serve (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate spider cookies,Good Food team,4.8,5,NA,"Makes 14
Easy
Prep: 30 mins
Cook: 5 mins",4,200g dark or milk chocolate broken into chunks,113g pack liquorice Catherine wheels (we used Barratts),2 x 154g packs Oreo cookies,white and black icing pens,NA,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/chocolate-spider-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Festive cookies for the freezer,Katy Gilhooly,4,5,"Freezable
Vegetarian","Makes 30 biscuits
Easy
Prep: 15 mins
Cook: 12 mins
plus 24 hrs freezing",9,225g butter softened,75g caster sugar,175g condensed milk,1 tsp vanilla extract,350g plain flour,2 tsp baking powder,2 tsp ground cinnamon,75g dried cranberries,100g white chocolate chopped into chunks,BBC Good Food,https://www.bbcgoodfood.com/recipes/festive-cookies-for-the-freezer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blueberry & pretzel cookies,Cassie Best,4.2,5,Freezable (uncooked dough only),"Makes 20
Easy
Prep: 20 mins
Cook: 18 mins",10,175g butter softened,200g light soft brown sugar,100g golden caster sugar,1 tbsp vanilla extract,1 large egg,250g plain flour,½ tsp bicarbonate of soda,200g blueberry,50g small salted pretzel broken into chunky pieces,BBC Good Food,https://www.bbcgoodfood.com/recipes/blueberry-pretzel-cookies,100g white chocolate chunks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate biscuit truffles,Lesley Waters,5,5,"Easily doubled
Easily halved","Makes about 30
Easy
Prep: 20 mins
Cook: 3 mins
Plus cooling",9,142ml pot double cream,150g white chocolate broken into cubes,150g dark chocolate broken into cubes,50g unsalted butter,"4 shortbreads fingers, or biscuits, crumbled roughly",85g dried fruit (chopped apricots and cranberries are good),zest 1 orange,icing sugar for rolling,cocoa powder for rolling,BBC Good Food,https://www.bbcgoodfood.com/recipes/chocolate-biscuit-truffles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate orange cookies,Lulu Grimes,2.9,5,Vegetarian,"MAKES 25
Easy
Prep: 15 mins
Cook: 15 mins
plus 2 hrs chilling",9,225g butter softened,80g icing sugar,1 orange zested and 1/2 juiced,300g self-raising flour,40g cocoa powder,175g dark milk or milk chocolate chopped,40g chopped candied orange peel,5 strips sugared candied orange peel each cut into 5 pieces,1-2 tbsp milk,BBC Good Food,https://www.bbcgoodfood.com/recipes/chocolate-orange-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vegan peanut butter cookies,Liberty Mendez,3.5,5,"Dairy-free
Egg-free
Vegan
Vegetarian","Makes 10
Easy
Prep: 20 mins
Cook: 12 mins - 15 mins
plus chilling",6,100g  dairy-free margarine,100g  caster sugar,2 tbsp  vanilla paste,100g  crunchy peanut butter,225g  plain flour,3 tbsp  roasted peanuts split in half,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/vegan-peanut-butter-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vanilla, apple & ginger biscuit fool",Claire Thomson,3.6,5,Vegetarian,"Serves 4
Easy
Prep: 10 mins
No cook",4,150ml double cream,300g vanilla-flavoured  yogurt,150g jar chunky  apple sauce (or use your favourite fruit compote),"100g  ginger biscuits lightly crushed, plus extra to decorate (optional)",NA,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/vanilla-apple-ginger-biscuit-fool,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sugar-dusted wedding cookies,Sarah Cook,5,5,Freezable (Unbaked dough can be frozen),"Makes about 60-70 - easily increased
Easy
Prep: 30 mins
Cook: 20 mins",7,250g salted butter softened,140g caster sugar,"1 egg separated, plus 2 egg yolks",2 tsp vanilla extract,100g ground rice,300g plain flour,140g preserving sugar (or demerara sugar),NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/sugar-dusted-wedding-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate sandwich cookie ice cream cupcakes,Jane Dunn,3.6,5,"Freezable
Vegetarian","Makes 8
Easy
Prep: 20 mins
plus at least 2 hrs freezing",6,280g crème-filled chocolate sandwich cookies plus 8 whole cookies for decorating,60g unsalted butter melted,300ml double cream,200g condensed milk,100ml double cream,1 tbsp icing sugar,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/chocolate-sandwich-cookie-ice-cream-cupcakes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate-chip cookie ice-cream sandwiches,Donal Skehan,4.2,5,Freezable,"Makes 12 sandwiches or 24 cookies
Easy
Prep: 20 mins
Cook: 20 mins
Plus overnight chilling",9,280g light soft brown sugar,225g granulated sugar,250g butter,2 large eggs,1 tbsp vanilla extract,450g plain flour,2 tsp baking powder,300g good-quality milk chocolate roughly chopped into chunks,vanilla ice cream to serve,BBC Good Food,https://www.bbcgoodfood.com/recipes/chocolate-chip-cookie-ice-cream-sandwiches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookie-dough crumble,Good Food team,4.5,5,NA,"Serves 4
Easy
Cook: 20 mins",2,500g bag frozen fruits of the forest or fruit of your choice,350g fresh  cookie dough (we loved Saxby’s Choc Chip Fresh Cookie dough),NA,NA,NA,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/cookie-dough-crumble,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White chocolate candy cane cookies,Esther Clark,3.6,5,"Easily doubled
Easily halved","Serves 12
Easy
Prep: 15 mins
Cook: 10 mins
plus 30 mins freezing",9,120g unsalted butter softened,85g light brown soft sugar,65g  golden caster sugar,1 medium egg,1 tsp vanilla bean paste,180 plain flour,½ tsp bicarbonate soda,180g white chocolate broken into chunks,3 peppermint candy canes lightly crushed in a sealed food bag,BBC Good Food,https://www.bbcgoodfood.com/premium/white-chocolate-candy-cane-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Little almond cookies,Thomasina Miers,4,5,Freezable,"Makes 40 small cookies
Easy
Prep: 35 mins
Cook: 30 mins
Plus chilling and cooling",6,50g whole almond,100g soft butter,2 tbsp caster sugar,1 tbsp dark rum,140g-175g plain flour plus extra for rolling out,icing sugar to serve (about 100g),NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/little-almond-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ginger biscuit snowflakes,Ailsa Burt,3,5,Vegetarian,"Makes 20-25
Easy
Prep: 40 mins
Cook: 25 mins
plus chilling and cooling",6,½ batch of  universal dough (see below),1 tsp ground cinnamon,1 tsp ground ginger,1 tsp mixed spice,plain flour to dust,125g icing sugar,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/ginger-biscuit-snowflakes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White chocolate fortune cookies,Lulu Grimes,4,5,Vegetarian,"Serves 4-6
More effort
Prep: 15 mins
Cook: 8 mins
cooking time per batch, plus 1 hr chilling",8,2 egg whites,1 tsp vanilla extract,3 tbsp grapeseed oil,100g plain flour,2 tsp cornflour,100g golden caster sugar,150g white chocolate chopped,sprinkles to decorate,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/white-chocolate-fortune-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malt chocolate ice cream with Oreo cookie crunch,Paul Merrett,4.8,5,Freezable,"Serves 8
More effort
Prep: 15 mins
Cook: 20 mins
Plus churning",8,750ml milk,250ml double cream,6 egg yolks,140g sugar,85g milk chocolate chopped,25g plain chocolate chopped,140g malt powder,154g pack filled chocolate biscuits broken into chunks about the size of a large pea,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/malt-chocolate-ice-cream-oreo-cookie-crunch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange pumpkin face cookies,Angela Nilsen,4.5,5,Freezable (Freeze without the filling),"Makes 12
More effort
Total time : 55 mins
Takes 45-55 minutes, plus 1 hour chilling",9,140g butter softened,175g plain flour,50g icing sugar,finely grated zest 1 medium orange,100g mascarpone,1 tsp icing sugar,"25g plain chocolate (55% cocoa solids is fine), melted",50g icing sugar,about 1 tbsp orange juice,BBC Good Food,https://www.bbcgoodfood.com/recipes/orange-pumpkin-face-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Funny face cookies,Jane Hornby,5,5,Freezable (un-iced),"Makes about 20
More effort
Prep: 10 mins
Cook: 12 mins
plus chilling and decorating, cooking time is per batch",12,175g soft butter plus extra for greasing,100g golden caster sugar,1large egg yolk,½ tsp vanilla extract,zest 1 lemon,250g plain flour plus extra for dusting,½ tsp salt,cake pops or lolly sticks,200g icing sugar,BBC Good Food,https://www.bbcgoodfood.com/recipes/funny-face-cookies,1 large egg white,pink and brown food colouring pastes,pink and gold edible glitter (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italian cookies & ice cream,Good Food team,4.1,5,Freezable,"Easy
Prep: 15 mins",2,soft amaretti biscuits,vanilla or coffee ice cream,NA,NA,NA,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/italian-cookies-ice-cream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black and white pinwheel cookies,Einfach Backen Team,3,5,NA,"Makes 36 biscuits
Easy
Prep: 25 mins
Cook: 12 mins
plus cooling",7,300g plain flour,100g icing sugar,"8g vanilla sugar or 8g caster sugar, plus 1 tsp vanilla extract",1 egg plus 1 egg white for glazing,125g butter softened,1 tbsp cocoa,1 tbsp milk,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/black-and-white-pinwheel-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vanilla chick biscuit pops,Angela Boggiano,5,5,NA,"Makes 15-18 biscuits
Easy
Prep: 15 mins
Cook: 6 mins - 7 mins
plus chilling and cooling",13,200g unsalted butter at room temperature,100g golden caster sugar,1 medium egg beaten,1 tsp vanilla extract,200g plain flour plus extra for dusting,200g icing sugar,2 tbsp milk,few drops yellow food colouring,75g unsweetened desiccated coconut,BBC Good Food,https://www.bbcgoodfood.com/recipes/vanilla-chick-biscuit-pops,50g small chocolate chips,25g orange or white fondant icing plus a few drops orange food colouring,15-18 lolly sticks (see tip),ribbon to decorate (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Go Jetters biscuit faces,Frances Quinn,4,5,NA,"makes 48 biscuits (12 of each character)
Easy
Prep: 1 hr - 2 hrs
Cook: 40 mins - 45 mins
plus chilling and setting",31,125g slightly salted butter softened,125g caster sugar,1 medium egg lightly beaten,1 tsp vanilla extract,1 tsp ground ginger,250g plain flour,dark blue fondant icing,clear runny honey,melted chocolate for sticking and face details,BBC Good Food,https://www.bbcgoodfood.com/recipes/go-jetters-biscuit-faces,dark chocolate chips,125g slightly salted butter softened,125g soft light brown sugar,1 medium egg lightly beaten,1 tsp vanilla extract,1 tsp ground cinnamon,250g plain flour,"white, dark purple, pale blue and yellow fondant icing",clear runny honey,melted chocolate for sticking and face details,dark chocolate chips,125g slightly salted butter softened,125g dark brown soft sugar,1 medium egg lightly beaten,1 tsp vanilla extract,1 tsp mixed spice,250g plain flour,white fondant icing,clear runny honey,melted chocolate for sticking and face details,dark chocolate chips,"6mm cutter or oval template, cut out of card"
Malted cookies & cream vegan freakshake,Juliet Sear,3.6,5,"Dairy-free
Egg-free
Vegan
Vegetarian","Serves 4
Easy
Prep: 10 mins",5,"200g dairy free dark chocolate plus a few squares melted, to serve",450ml dairy free milk (we used oat milk),800ml dairy free vanilla ice cream,4 tsp malt extract,"vegan biscuits soya whipped cream, vegan brownies",NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/malted-cookies-cream-vegan-freakshake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Giant hot cookie pie,Chelsie Collins,2.9,5,Vegetarian,"Serves 24
More effort
Prep: 30 mins
Cook: 1 hr and 30 mins",14,450g light brown soft sugar,250g salted butter softened,3 tbsp vanilla paste,450g self-raising flour,150g dark chocolate chips,3 tbsp milk,"450g good quality dark chocolate (70%), chopped into chunks",330g salted butter softened,6 large eggs,BBC Good Food,https://www.bbcgoodfood.com/recipes/giant-hot-cookie-pie,500g golden caster sugar,225g plain flour,1l vanilla ice cream to serve,1 tsp cocoa powder to serve,30x40x4cm baking dish or pan greased if not non stick ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter biscuit lollies,Sarah Cook,5,5,NA,"Makes 15 biscuits
Easy
Prep: 1 hr
Cook: 20 mins
Plus chilling",11,140g butter,100g light soft brown sugar,3 tbsp golden syrup,½ tsp vanilla extract,350g plain flour plus extra for dusting,1 tsp bicarbonate of soda,1 large egg,food colouring,1kg pack  ready-to-roll icing,BBC Good Food,https://www.bbcgoodfood.com/recipes/easter-biscuit-lollies,icing sugar for dusting,icing writing pens (we used white),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
