title,author,recipesubmitter,tester,rating,ratingnum,description,category,times1,timesyield,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,source,link,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25
No-Bake Cereal Cookie Bars,By Taste Of Home Editorial Team,Recipe by Connie Craig,Tested by Taste of Home Test Kitchen,5,1,"We pull out all the goodies for these chewy bars, like raisins and coconut. For more color, sprinkle on the M&M's once the bars are in the pan. Then press them in. —Connie Craig, Lakewood, Washington",Bars,Total Time:Prep: 10 min. Cook: 15 min. + cooling,"Yield:3 dozen
Prep:10 min
Cook:15 min",3,"Grease a 15x10x1-in. pan. In a large bowl, combine first 4 ingredients.
   In a large saucepan, melt butter over low heat. Add marshmallows; stir until completely melted. Stir in honey until blended. Pour over cereal mixture; stir until evenly coated. Cool 5 minutes.
   Stir in M&M's and raisins; press into prepared pan using a greased spatula. Let stand 30 minutes before cutting. Store between layers of waxed paper in an airtight container.",9,4-1/2 cups Rice Krispies,3-1/4 cups quick-cooking oats,1/2 cup cornflakes,1/2 cup sweetened shredded coconut,"1/2 cup butter, cubed",1 package (16 ounces) miniature marshmallows,1/4 cup honey,1/2 cup M&M's minis,1/4 cup raisins,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/no-bake-cereal-cookie-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Buddies,By Taste Of Home Editorial Team,"Recipe by Shelly Rynearson, Oconomowoc, Wisconsin",Tested by Taste of Home Test Kitchen,5,2,"These cookies were ideal for a winter get-together I hosted. I like to share these crunchy treats on the way home from cutting our fresh Christmas tree.—Shelly Rynearson, Oconomowoc, Wisconsin",Cookies,Total Time:Prep: 30 min. + chilling Bake: 15 min./batch + cooling,"Yield:3-1/2 dozen
Prep:40 min
Cook:15 min",4,"In a large bowl, cream butter and sugar until light and fluffy, 5-7 minutes. Beat in molasses and water. In another bowl, whisk together flour, ginger, baking soda, cinnamon, allspice and salt; gradually beat into creamed mixture. Divide dough in half. Shape each into a disk; wrap in plastic. Refrigerate 1 hour or until firm enough to roll.
   Preheat oven to 350°. On a lightly floured surface, roll each portion of dough to 1/4-in. thickness. Cut with a 3-1/2-in. gingerbread man cookie cutter. Place 2 in. apart on ungreased baking sheets. Place a bear-shaped cracker, Cinnamon Chex piece or mini shredded wheat piece in center of each cookie. Gently fold cookie arms toward cracker or cereal piece; press lightly to adhere to bear.
   Bake 12-14 minutes or until edges are firm. Cool on pans 2 minutes. Remove to wire racks to cool completely.
   In a small bowl, beat confectioners' sugar, water, corn syrup and vanilla until smooth. Tint frosting as desired with paste food coloring. Transfer frosting to a resealable plastic bag; cut a very small hole in a corner of bag. Pipe frosting onto cookies. Decorate as desired with candies.",20,"1 cup butter, softened",1 cup sugar,1 cup molasses,1/4 cup water,5 cups all-purpose flour,2-1/2 teaspoons ground ginger,1-1/2 teaspoons baking soda,1-1/2 teaspoons ground cinnamon,1/2 teaspoon ground allspice,1/4 teaspoon salt,Cinnamon bear-shaped crackers,Cinnamon Chex,Frosted bite-sized shredded wheat cereal,Taste of Home,https://www.tasteofhome.com/recipes/gingerbread-buddies/,frosting:,1-1/4 cups confectioners' sugar,5 teaspoons water,1 teaspoon light corn syrup,1/4 teaspoon vanilla extract,Paste food coloring,Assorted candies,NA,NA,NA,NA,NA
Cherry Cookies,By Kiersten Hickman,"Recipe by Judy Clark, Elkhart, Indiana",Tested by Taste of Home Test Kitchen,4.7,21,This quick recipe for soft maraschino cherry cookies is just the thing when you're craving something sweet but don't have a ton of time to bake.,Cookies,Total Time:Prep: 10 min. Bake: 10 min./batch,"Yield:4 dozen
Prep:10 min
Cook:10 min",2,"In a large bowl, cream brown sugar and butter until light and fluffy, 5-7 minutes. Beat in the egg, milk and vanilla. In another bowl, mix the flour, salt and baking soda; gradually beat into creamed mixture. Stir in the cherries, coconut and pecans. 
   Drop by tablespoonfuls onto ungreased baking sheets. Bake at 375° for 10-12 minutes or until golden brown. Remove from pans to wire racks to cool.",11,1 cup packed brown sugar,"3/4 cup butter, softened","1 large egg, room temperature",2 tablespoons 2% milk,1 teaspoon vanilla extract,2 cups all-purpose flour,1/2 teaspoon salt,1/2 teaspoon baking soda,"1/2 cup maraschino cherries, well drained, chopped",1/2 cup sweetened shredded coconut,1/2 cup chopped pecans,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/cheery-cherry-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crisp Sunflower Cookies,By Taste Of Home Editorial Team,"Recipe by Karen Ann Bland, Gove, Kansas",Tested by Taste of Home Test Kitchen,5,4,"These crisp sunflower cookies are a delicious sweet and salty blend of wholesome ingredients. —Karen Ann Bland, Gove, Kansas.",Cookies,Total Time:Prep: 10 min. Bake: 15 min./batch,"Yield:5 dozen
Prep:10 min
Cook:15 min",2,"Preheat oven to 350°. In a bowl, cream shortening, sugars and vanilla until light and fluffy, 5-7 minutes. Add eggs, 1 at a time, mixing well between each addition. Whisk together the flour, baking soda, baking powder and salt; add to creamed mixture, mixing just until flour is incorporated. Stir in oats, coconut and sunflower kernels.
   Drop by teaspoonfuls onto greased baking sheets. Bake until golden brown, 12-15 minutes. Cool on wire racks.",12,3/4 cup shortening,1 cup sugar,1 cup packed brown sugar,"2 large eggs, room temperature",1 teaspoon vanilla extract,2 cups all-purpose flour,1 teaspoon baking soda,1/2 teaspoon baking powder,1/2 teaspoon salt,2 cups quick-cooking oats,1 cup sweetened shredded coconut,1 cup salted sunflower kernels,NA,Taste of Home,https://www.tasteofhome.com/recipes/crisp-sunflower-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Date Pinwheel Cookies,By Kim Wehby,"Recipe by Donna Grace, Clancy, Montana",Tested by Taste of Home Test Kitchen,4.7,9,"A delightful nut-and-date filling swirls through these sweet, buttery date pinwheel cookies. Enjoy them during the holidays or as a treat with coffee.",Cookies,Total Time:Prep: 30 min. + chilling Bake: 10 min./batch,"Yield:4 dozen
Prep:30 min
Cook:10 min",4,"In a saucepan, combine filling ingredients. Cook over medium-low heat, stirring constantly, until mixture becomes stiff, 15-20 minutes. Refrigerate. 
   For dough, cream butter and sugars in a bowl. Add eggs, 1 at a time, beating well after each addition. Add extract. Combine flour, salt and baking soda; gradually add to creamed mixture and mix well. Refrigerate for at least 1 hour. 
   On a lightly floured surface, roll out half of the dough to a 12x9-in. rectangle, about 1/4 in. thick. Spread with half of the filling. Roll up, starting with the long end. Repeat with remaining dough and filling. Wrap securely in waxed paper; refrigerate overnight. 
   Cut rolls into 1/4-in. slices. Place 2 in. apart on greased baking sheets. Bake at 375° for 8-10 minutes or until lightly browned. Cool on wire racks.",15,filling:,2 cups chopped dates,1 cup water,1 cup sugar,1 cup chopped nuts,2 teaspoons lemon juice,dough:,"1 cup butter, softened",1 cup packed brown sugar,1 cup sugar,"3 large eggs, room temperature",1 teaspoon lemon extract,4 cups all-purpose flour,Taste of Home,https://www.tasteofhome.com/recipes/date-swirl-cookies/,1 teaspoon salt,3/4 teaspoon baking soda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frosted Pineapple Cookies,By Taste Of Home Editorial Team,"Recipe by Mary DeVoe, Bradenton, Florida",Tested by Taste of Home Test Kitchen,4.2,12,"These are the best pineapple cookies—sweet and moist with real tropical flavor. Because they are unique and look so pretty, these cookies are a hit whenever I serve them. People can't seem to eat just one! —Mary DeVoe, Bradenton, Florida",Cookies,Total Time:Prep: 15 min. Bake: 20 min./batch + cooling,"Yield:3 dozen
Prep:15 min
Cook:20 min",3,"Drain pineapple, reserving 3 tablespoons juice. Set pineapple aside; set juice aside for frosting. In a large bowl, cream shortening and brown sugar until light and fluffy. Beat in egg. Add pineapple and vanilla; mix well. Combine the flour, baking powder, baking soda and salt; stir into the creamed mixture. 
   Drop by tablespoonfuls 2 in. apart onto greased baking sheets. Bake at 325° for 17-20 minutes or until golden brown. Remove to wire racks to cool.
   For frosting, in a small bowl, combine confectioners' sugar with enough of the reserved pineapple juice to achieve a smooth spreading consistency. Frost cooled cookies.",10,1 can (8 ounces) crushed pineapple,1/2 cup shortening,1 cup packed brown sugar,1 egg,1 teaspoon vanilla extract,2 cups all-purpose flour,1-1/2 teaspoons baking powder,1/4 teaspoon baking soda,1/4 teaspoon salt,1-1/2 cups confectioners' sugar,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/frosted-pineapple-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honey Peanut Butter Cookies,By Joy Manning,"Recipe by Lucile Proctor, Panguitch, Utah",Tested by Taste of Home Test Kitchen,4.3,35,These honey peanut butter cookies are made with pantry staples and get their rich flavor and chewy texture from a full cup of honey.,Dishes & Beverages,Total Time:Prep: 15 min. Bake: 10 min./batch,"Yield:5 dozen
Prep:15 min
Cook:10 min",2,"Preheat oven to 350°. In a bowl, mix shortening, peanut butter and honey. Add eggs; mix well. Combine flour, sugar, baking soda, baking powder and salt; add to peanut butter mixture and mix well. 
   Roll into 1-11/2-in. balls and place on ungreased baking sheets. Flatten with a fork dipped in flour. Bake until set, 8-10 minutes. Remove to wire racks to cool.",9,1/2 cup shortening,1 cup creamy peanut butter,1 cup honey,"2 large eggs, room temperature, lightly beaten",3 cups all-purpose flour,1 cup sugar,1-1/2 teaspoons baking soda,1 teaspoon baking powder,1/2 teaspoon salt,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/honey-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Old-Fashioned Oatmeal Cookies,By Taste Of Home Editorial Team,"Recipe by Michelle Wise, Spring Mills, Pennsylvania",Tested by Taste of Home Test Kitchen,4.3,3,"Old-Fashioned Oatmeal Cookies are from Michelle Wise of Spring Mills, Pennsylvania. ""They're my favorite cookies to take on a trip my favorite cookies to take on a trip because they stay moist and aren't too sweet,"" Michelle informs. ""My mother passes the recipe on to me.""",Cookies,Total Time:Prep: 30 min. Bake: 10 min.,"Yield:5 dozen
Prep:30 min
Cook:10 min",2,"In a saucepan, cook raisins in water over medium heat until plump, about 15 minutes. Drain, reserving liquid. Add enough water to liquid to measure 1/2 cup. In a bowl, cream shortening, sugar, eggs and vanilla. Stir in raisin liquid. Blend in dry ingredients. Stir in raisins and oats. Add nuts if desired. 
   Drop by teaspoonfuls about 2 in. apart onto ungreased baking sheets. Bake at 375° for 10 to 12 minutes or until light brown.",14,1 cup raisins,1 cup water,3/4 cup shortening,1-1/2 cups sugar,2 large eggs,1 teaspoon vanilla extract,2-1/2 cups all-purpose flour,1 teaspoon baking soda,1 teaspoon salt,1 teaspoon ground cinnamon,1/2 teaspoon baking powder,1/4 teaspoon ground cloves,2 cups quick-cooking oats,Taste of Home,https://www.tasteofhome.com/recipes/old-fashioned-oatmeal-cookies/,"1/2 cup chopped walnuts, optional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prune-Pecan Cookies,By Taste Of Home Editorial Team,"Recipe by Lucille Dent, Galesburg, Michigan",Tested by Taste of Home Test Kitchen,3.3,3,"The prunes in this recipe are finely chopped so no one will need to know they appear in these crisp, lightly sweet cookies.—Lucille Dent, Galesburg, Michigan",Cookies,Total Time:Prep: 10 min. Bake: 15 min./batch,"Yield:2 dozen
Prep:10 min
Cook:15 min",2,"In a blender, puree eggs and plums until finely chopped. Pour into a bowl. Add sugar. Combine the flour, baking soda and salt; add to plum mixture and mix well. 
   Drop by rounded teaspoonfuls onto greased baking sheets. Top each cookie with a pecan half. Bake at 350° for 13-15 minutes or until golden brown. Remove to wire racks to cool.",7,1 egg,7 pitted dried plums (prunes),1/2 cup sugar,1 cup all-purpose flour,1/2 teaspoon baking soda,Pinch salt,24 pecan halves,NA,NA,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/prune-pecan-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valentine Sugar Cookies,By Taste Of Home Editorial Team,Recipe by Renee Schwebach,Tested by Taste of Home Test Kitchen,0,0,"""The almond flavor makes these delicious sugar cookies quite unique,"" says Renee Schwebach, Dumont, Minnesota.",Cookies,Total Time:Prep: 10 min. + chilling Bake: 10 min./batch,"Yield:3-1/2 dozen
Prep:10 min
Cook:10 min",1,"In a bowl, cream butter and sugar. Add egg and extracts. Stir in flour; mix well. Chill several hours. On a lightly floured surface, roll dough to 1/4-in. thickness; cut with a 2-1/2- or 3-in. heart-shaped cookie cutter. Place on ungreased baking sheets; sprinkle with sugar if desired. Bake at 375° for 8-10 minutes or until lightly browned.",7,"1 cup butter, softened",1-1/2 cups confectioners' sugar,"1 egg, lightly beaten",1 teaspoon vanilla extract,1 teaspoon almond extract,2-1/2 cups all-purpose flour,"Red decorator's sugar, optional",NA,NA,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/valentine-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banana Spice Cookies,By Taste Of Home Editorial Team,"Recipe by Peggy Burdick, Burlington, Michigan",Tested by Taste of Home Test Kitchen,4.5,2,"Peggy Burdick shares her recipe for Banana Spice Cookies. Reports this Burlington, Michigan cook, ""My grandkids love these tasty soft cookies.""",Cookies,Total Time:Prep: 15 min. + chilling Bake: 10 min.,"Yield:3 dozen
Prep:15 min
Cook:10 min",3,"In a large bowl, cream shortening and brown sugar. Add eggs and bananas; mix well. 
   Combine the flour, baking powder, cinnamon, baking soda, salt and cloves; add to creamed mixture and mix well. Stir in nuts and raisins. Cover and refrigerate until dough is easier to handle (dough will be very soft). 
   Drop by rounded teaspoonfuls 2 in. apart onto greased baking sheets. Bake at 350° for 8-10 minutes or until lightly browned. Remove to wire racks to cool.",12,1/2 cup shortening,1 cup packed brown sugar,2 eggs,1 cup mashed ripe bananas (2 to 3 medium),2 cups all-purpose flour,2 teaspoons baking powder,1/2 teaspoon ground cinnamon,1/4 teaspoon baking soda,1/4 teaspoon salt,1/4 teaspoon ground cloves,1/2 cup chopped walnuts,1/2 cup raisins,NA,Taste of Home,https://www.tasteofhome.com/recipes/banana-spice-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Icebox Cookies,By Kelli Acciardo,"Recipe by Chris Paulsen, Glendale, Arizona",Tested by Taste of Home Test Kitchen,3.7,7,"This cookie recipe from my 91-year-old grandmother was my grandfather's favorite. She still makes them and sends us home with the dough so that we can make more whenever we want, I love to make a fresh batch when company drops in. —Chris Paulsen, Glendale, Arizona",Dishes & Beverages,Total Time:Prep: 20 min. + freezing Bake: 10 min.,"Yield:7 dozen
Prep:20 min
Cook:10 min",3,"Preheat oven to 350°. In a bowl, cream the butter and brown sugar. Add egg and vanilla; beat well. Combine next 4 ingredients; add to creamed mixture. Stir in nuts if desired. 
   On a lightly floured surface, shape the dough into three 10x1-in. rolls. Tightly wrap each roll in waxed paper. Freeze for at least 12 hours. 
   Cut into 3/8-in. slices and place on greased baking sheets. Bake for 6-8 minutes. Remove to a wire rack to cool.",9,"1/2 cup butter, softened",1 cup packed brown sugar,"1 large egg, beaten, room temperature",1/2 teaspoon vanilla extract,2 cups all-purpose flour,1/2 teaspoon baking soda,1/2 teaspoon cream of tartar,1/2 teaspoon salt,"1 cup chopped walnuts, optional",NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/icebox-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Marshmallow Cookies,By Nicholas Marshall,"Recipe by June Formanek, Belle Plaine, Iowa",Tested by Taste of Home Test Kitchen,4.7,14,"These chocolate marshmallow cookies prove that the world of melted marshmallows contains more than just s’mores. They're rich, chocolaty and so easy to make that they'll perk up a chilly day in less than an hour.",Cookies,Total Time:Prep: 25 min. Bake: 10 min./batch + cooling,"Yield:3 dozen
Prep:25 min
Cook:10 min",3,"Preheat oven to 350°. In a large bowl, cream butter and sugar, about 5 minutes. Add egg, milk and vanilla; mix well. Combine the flour, cocoa, baking soda and salt; beat into creamed mixture. 
   Drop by tablespoonfuls onto ungreased baking sheets. Bake cookies for 8 minutes. Meanwhile, cut marshmallows in half. Press a marshmallow half, cut side down, onto each cookie. Return to the oven for 2 minutes. Cool completely on a wire rack.
   For icing, in a small saucepan, combine butter, cocoa and milk. Bring to a boil; boil for 1 minute, stirring constantly. Cool slightly and transfer to a small bowl. Beat in confectioners' sugar and vanilla until smooth. Spread over the cooled cookies. Top each with a pecan half.",17,"1/2 cup butter, softened",1 cup sugar,"1 large egg, room temperature",1/4 cup 2% milk,1 teaspoon vanilla extract,1-3/4 cups all-purpose flour,1/3 cup baking cocoa,1/2 teaspoon baking soda,1/2 teaspoon salt,18 large marshmallows,ICING:,"6 tablespoons butter, softened",2 tablespoons baking cocoa,Taste of Home,https://www.tasteofhome.com/recipes/chocolate-marshmallow-cookies/,1/4 cup 2% milk,1-3/4 cups confectioners' sugar,1/2 teaspoon vanilla extract,Pecan halves,NA,NA,NA,NA,NA,NA,NA,NA
Apple Cutout Sugar Cookies,By Taste Of Home Editorial Team,Recipe by Marlys Benning,Tested by Taste of Home Test Kitchen,5,4,"Not only are these pretty cookies fun to serve, but they bake up delicate and flaky and taste wonderful. Even the dough is a treat to work with - so easy to roll out and cut. -Marlys Benning, Ackley, Iowa",Cookies,Total Time:Prep: 20 min. + chilling Bake: 10 min./batch + standing,"Yield:4 dozen
Prep:20 min
Cook:10 min",3,"In a large bowl, combine the first seven ingredients in order given and mix well. Chill dough 2-3 hours or until easy to handle.  
   Roll out on a lightly floured surface to 1/4-in. thickness. Cut with an apple-shaped cookie cutter dipped in flour. Place on greased baking sheets. Bake at 375° for 7-8 minutes or until lightly browned. Cool on wire racks.  
   For frosting, combine sugar, corn syrup and water in a small bowl. Transfer three fourths of the frosting into another bowl; add red food coloring for apples. Add green food coloring to remaining frosting for stems. Frost cookies. Allow to sit overnight for frosting to harden.",12,1-1/2 cups confectioners' sugar,"1 cup butter, softened",1 egg,1-1/2 teaspoons vanilla extract,2-1/4 cups all-purpose flour,1 teaspoon baking soda,1 teaspoon cream of tartar,frosting:,2 cups confectioners' sugar,1/4 cup light corn syrup,2 tablespoons water,Red and green food coloring,NA,Taste of Home,https://www.tasteofhome.com/recipes/apple-cutout-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chewy Brownie Cookies,By Taste Of Home Editorial Team,"Recipe by Jonie Adams, Albion, Michigan",Tested by Taste of Home Test Kitchen,4.3,22,"Biting into these chocolaty cookies reveals they're like chewy brownies inside. —Jonie Adams, Albion, Michigan",Cookies,Total Time:Prep: 10 min. Bake: 10 min./batch,"Yield:3 dozen
Prep:10 min
Cook:10 min",2,"In a large bowl, cream shortening and sugar until light and fluffy. Beat in the eggs, water and vanilla. Combine the flour, cocoa, salt and baking soda; gradually add to creamed mixture and beat just until blended. Stir in chocolate chips and nuts if desired. 
   Drop by rounded teaspoonfuls 2 in. apart on ungreased baking sheets. Bake at 375° for 7-9 minutes; do not overbake. Cool 2 minutes before removing to wire racks to cool.",11,2/3 cup shortening,1-1/2 cups packed brown sugar,2 large eggs,1 tablespoon water,3 teaspoons vanilla extract,1-1/2 cups all-purpose flour,1/3 cup baking cocoa,1/2 teaspoon salt,1/4 teaspoon baking soda,2 cups semisweet chocolate chips,"1/2 cup chopped walnuts or pecans, optional",NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/chewy-brownie-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coconut Cookies,By Tana Baer,"Recipe by Tommie Sue Shaw, McAlester, Oklahoma",Tested by Taste of Home Test Kitchen,4.1,20,"This coconut cookie recipe delivers a mellow, lightly sweet-tasting cookie that's the perfect complement to a bowl of ice cream. And while we doubt you'll have any left over, they freeze well, meaning you'll always have a sweet treat on hand when the craving strikes.",Dishes & Beverages,Total Time:Prep: 25 min. + chilling Bake: 10 min./batch,"Yield:9 dozen
Prep:25 min
Cook:10 min",2,"In a large bowl, cream butter, shortening and sugar until light and fluffy. Beat in eggs. Gradually add water and vanilla; mix well. Combine the flour, baking powder, baking soda and salt; add to the creamed mixture and mix well. Fold in coconut. Cover and refrigerate for 2-4 hours. 
   Shape into 1-in. balls. Place 2 in. apart on greased baking sheets; flatten with fingers into 2-1/2-in. x 1-in. rectangles. Press lengthwise with a floured fork. Bake at 400° for 8-10 minutes or until lightly browned. Cool 2 minutes before removing to a wire rack to cool completely.",11,"1/2 cup butter, softened",1/2 cup shortening,2 cups packed brown sugar,2 eggs,1/4 cup water,1 teaspoon vanilla extract,4 cups all-purpose flour,1-1/2 teaspoons baking powder,1/2 teaspoon baking soda,1/4 teaspoon salt,1 cup sweetened shredded coconut,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/coconut-washboards/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hazelnut Shortbread,By Taste Of Home Editorial Team,"Recipe by Karen Morrell, Canby, Oregon",Tested by Taste of Home Test Kitchen,5,3,"We have several acres of hazelnut trees here in the Willamette Valley, where the climate is perfect for this crop. Harvesttime is a big family event with everyone pitching in to help. I try to incorporate this wonderful flavorful nut into our recipes, and this cookie is always a hit.  -Karen Morrell, Canby, Oregon",Cookies,Total Time:Prep: 15 min. + chilling Bake: 15 min./batch + cooling,"Yield:6 dozen
Prep:15 min
Cook:15 min",3,"In a large bowl, cream butter and sugar until light and fluffy. Add syrup and vanilla. Beat in flour just until combined; fold in nuts. Shape into two 1-1/2-in. rolls; wrap tightly in waxed paper. Chill for 2 hours or until firm. 
   Cut into 1/4-in. slices and place 2 in. apart on ungreased baking sheets. Bake at 325° for 14-16 minutes or until edges begin to brown. Remove to wire racks to cool. 
   In separate microwave-safe bowls, melt candy coating disks; stir until smooth. Drizzle over cookies. Let stand until set.",7,"1 cup butter, softened",1/2 cup sugar,2 tablespoons maple syrup or honey,2 teaspoons vanilla extract,2 cups all-purpose flour,1-1/4 cups finely chopped hazelnuts,"1/2 cup each white, red, green, yellow and dark chocolate candy coating disks",NA,NA,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/hazelnut-shortbread/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frosted Gingerbread Cookies,By Molly Allen,"Recipe by Jeanne Matteson, South Dayton, New York",Tested by Taste of Home Test Kitchen,4.8,18,"These frosted gingerbread cookies are soft, melt-in-your-mouth treats that feature bold flavor. A brown sugar frosting is the ideal complement to top them.",Cookies,Total Time:Prep: 20 min. Bake: 15 min./batch,"Yield:about 6 dozen
Prep:20 min
Cook:15 min",3,"In a large bowl, cream butter and sugars. Add the eggs, one at a time, beating well after each addition. Add molasses and vanilla; mix well. Combine dry ingredients; gradually add to creamed mixture. 
   Drop by tablespoonfuls 2 in. apart onto ungreased baking sheets. Bake at 325° for 12-15 minutes or until cookies spring back when touched lightly (do not overbake). Remove to wire racks. 
   For frosting, in a large saucepan, bring the brown sugar, milk and butter to a boil; cook and stir for 1 minute. Remove from the heat (mixture will look curdled at first). Cool for 3 minutes. Add confectioners' sugar, vanilla and salt; mix well. Frost warm cookies.",19,"1-1/2 cups butter, softened",1 cup sugar,1 cup packed brown sugar,2 large eggs,1/2 cup molasses,2 teaspoon vanilla extract,4-1/2 cups all-purpose flour,1 tablespoon ground ginger,2 teaspoons baking soda,2 teaspoons ground cinnamon,1/2 teaspoon salt,1/2 teaspoon ground cloves,frosting:,Taste of Home,https://www.tasteofhome.com/recipes/frosted-ginger-cookies/,1/3 cup packed brown sugar,1/4 cup milk,2 tablespoons butter,2 cups confectioners' sugar,1/2 teaspoon vanilla extract,Pinch salt,NA,NA,NA,NA,NA,NA
Chocolaty Double Crunchers,By Taste Of Home Editorial Team,Recipe by Cheryl Johnson,Tested by Taste of Home Test Kitchen,4.7,6,"I first tried these fun crispy cookies at a family picnic when I was a child. Packed with oats, cornflakes and coconut, they quickly became a ""regular"" at our house. Years later, I still make them for my own family. —Cheryl Johnson, Upper Marlboro, Maryland",Cookies,Total Time:Prep: 20 min. Bake: 10 min./batch + cooling,"Yield:2 dozen
Prep:20 min
Cook:10 min",3,"Preheat oven to 350°. In a large bowl, cream butter and sugars until light and fluffy, 5-7 minutes. Beat in egg and vanilla. Combine the flour, baking soda and salt;  gradually add to creamed mixture and mix well. Stir in the oats, cornflakes and coconut. 
   Shape dough into 1-in. balls and place 2 in. apart on greased baking sheets. Flatten with a glass dipped lightly in flour. Bake for 8-10 minutes or until lightly browned. Remove to wire racks to cool.  
   For filling, beat cream cheese and confectioners' sugar until smooth. Beat in chocolate. Spread about 1 tablespoon on half the cookies and top each with another cookie. Store in refrigerator.",15,"1/2 cup butter, softened",1/2 cup sugar,1/2 cup packed brown sugar,"1 large egg, room temperature",1/2 teaspoon vanilla extract,1 cup all-purpose flour,1/2 teaspoon baking soda,1/4 teaspoon salt,1 cup quick-cooking oats,1 cup crushed cornflakes,1/2 cup sweetened shredded coconut,filling:,"6 ounces cream cheese, softened",Taste of Home,https://www.tasteofhome.com/recipes/chocolaty-double-crunchers/,1-1/2 cups confectioners' sugar,"2 cups semisweet chocolate chips, melted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall Sugar Cookies,By Taste Of Home Editorial Team,Recipe by Lynn Burgess,Tested by Taste of Home Test Kitchen,5,4,"Rich buttery cookies like these never last long at a party or potluck. I got this recipe from a friend in Texas years ago and have used it many times since. I use pumpkin- and leaf-shaped cookie cutters to celebrate the season ""tastefully."" -Lynn Burgess, Rolla, Missouri",Cookies,Total Time:Prep: 15 min. Bake: 10 min./batch + cooling,"Yield:6 dozen (2-1/2-inch cookies)
Prep:15 min
Cook:10 min",3,"In a large bowl, cream butter and sugar until light and fluffy. beat in eggs and vanilla. Combine flour, baking powder and salt; gradually add to creamed mixture. Chill for 1 hour or until firm. 
   On a lightly floured surface, roll the dough to 1/4-in. thickness. Cut with lightly floured pumpkin or leaf cookie cutter or others of your choice. Using a floured spatula, place cookies on greased baking sheets. Sprinkle with sugar if desired (or frost baked cookies after they have cooled). 
   Bake at 375° for 8-10 minutes or until lightly browned. Cool on wire racks.",8,"3/4 cup butter, softened",1 cup sugar,2 eggs,1 teaspoon vanilla extract,2-3/4 cups all-purpose flour,1 teaspoon baking powder,1/2 teaspoon salt,"Frosting of your choice or additional sugar, optional",NA,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/harvest-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookies in a Jiffy,By Taste Of Home Editorial Team,Recipe by Clara Hielkema,Tested by Taste of Home Test Kitchen,4.2,6,"You'll be amazed and delighted with how quickly you can whip up a batch of these homemade cookies. —Clara Hielkema, Wyoming, Michigan",Cookies,Total Time:Prep/Total Time: 20 min.,"Yield:2 dozen
Prep:10 min
Cook:10 min",2,"In a large bowl, beat the first four ingredients until well blended. Stir in the M&M's or chips. 
   Drop by tablespoonfuls 2 in. apart onto ungreased baking sheets. Bake at 375° for 10-12 minutes or until lightly browned. Immediately remove to wire racks to cool.",5,1 package (9 ounces) yellow cake mix,2/3 cup quick-cooking oats,"1/2 cup butter, melted",1 large egg,1/2 cup milk chocolate M&M's or butterscotch chips,NA,NA,NA,NA,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/cookies-in-a-jiffy/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
