title,author,rating,ratingnum,card1,card2,card3,card4,yield,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,source,link,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31,ingredient32,ingredient33,ingredient34,ingredient35,ingredient36,ingredient37,ingredient38,ingredient39,ingredient40,ingredient41,ingredient42
Orange Chocolate Chip Ricotta Cookies,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 13 minutes mins,Chilling Time 1 hour hr,Total Time 1 hour hr 23 minutes mins,NA,14,"Cookies
"," 2 cups (250 g) all-purpose flour
"," 1 ½ teaspoons baking powder
"," ¼ teaspoon kosher salt
"," 1 cup (200 g) granulated sugar
"," ½ cup (1 stick / 113 g) unsalted butter, softened
"," 4 teaspoons orange zest, from 2 large oranges
"," 1 large egg, room temperature
"," 1 cup (246 g) whole milk ricotta cheese
",i am baker,https://iambaker.net/orange-chocolate-chip-ricotta-cookies/," 1 teaspoon vanilla extract
", 1 cup (173 g) mini semi-sweet chocolate chips," Glaze
"," 1 cup (125 g) confectioners' sugar
"," 2 tablespoons orange juice, freshly squeezed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marshmallow Chocolate Chip Cookies,Amanda Rettke,NA,NA,Prep Time 20 minutes mins,Cook Time 13 minutes mins,NA,Total Time 33 minutes mins,NA,12," 3 ⅓ cups (417 g) all purpose flour
"," 1 ½ teaspoons baking powder
"," 1 ¼ teaspoons baking soda
"," 1 teaspoon cornstarch
"," 1 teaspoon kosher salt
"," 1 ¼ cups (2 ½ sticks / 283.5 g) unsalted butter, room temperature
"," 1 ¼ cups (250 g) light brown sugar, packed
"," 1 cup (200 g) granulated sugar
"," 2 large eggs, room temperature
",i am baker,https://iambaker.net/marshmallow-chocolate-chip-cookies/," 2 teaspoons vanilla extract
"," 2 ½ cups (16 ounces / 455 g) semi-sweet chocolate chips
"," 1 jar (7 ounces) marshmallow fluff, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Hot Chocolate Cookies,Amanda Rettke,NA,NA,Prep Time 15 minutes mins,Cook Time 11 minutes mins,Chilling Time 1 hour hr,Total Time 1 hour hr 26 minutes mins,NA,14,"Cookies
"," 1 ½ cups (187.5 g) all-purpose flour
"," ½ cup (59 g) Dutch-processed cocoa powder
"," ½ teaspoon kosher salt
"," ½ teaspoon baking powder
"," ¾ cup (1 ½ sticks) unsalted butter, room temperature
"," ¾ cup (150 g) light brown sugar, packed
"," ¼ cup (50 g) granulated sugar
"," 2 large egg yolks, room temperature
",i am baker,https://iambaker.net/peppermint-hot-chocolate-cookies/, 1 teaspoon peppermint extract," Toppings
"," 13 regular marshmallows, halved
"," ½ cup (91 g) semi-sweet chocolate chips
"," crushed peppermint candies, for garnish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Raspberry Cookies,Amanda Rettke,5,3,Prep Time 10 minutes mins,Cook Time 12 minutes mins,Chilling Time 10 minutes mins,Total Time 32 minutes mins,NA,10," 1 cup (200 g) granulated sugar
"," ½ cup (1 stick / 113 g) unsalted butter, room temperature
"," 1 large egg, room temperature
"," 1 tablespoon lemon juice, freshly squeezed
"," 1 teaspoon vanilla extract
"," 1 ½ cups (187.5 g) all-purpose flour
"," 2 tablespoons lemon zest, about 1 large lemon
"," ½ teaspoon baking powder
"," ¼ teaspoon baking soda
",i am baker,https://iambaker.net/lemon-raspberry-cookies/," ⅔ cup (167 g) frozen raspberries, roughly chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Blueberry Cookies,Amanda Rettke,5,2,Prep Time 10 minutes mins,Cook Time 13 minutes mins,NA,Total Time 23 minutes mins,NA,11," ¾ cup (1 ½ sticks / 170 g) unsalted butter, room temperature
"," ¾ cup (150 g) granulated sugar
"," ½ cup (100 g) light brown sugar, packed
"," 2 tablespoons lemon zest, about 1 large lemon
"," 1 large egg, room temperature
"," 1 teaspoon vanilla extract
"," 2 ¼ cups (281 g) all-purpose flour
"," ½ teaspoon baking soda
"," ½ teaspoon cream of tartar
",i am baker,https://iambaker.net/lemon-blueberry-cookies/," ½ teaspoon kosher salt
", 1 cup (148 g) fresh blueberries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Covered Cherry Cookies,Amanda Rettke,5,NA,Prep Time 20 minutes mins,Cook Time 9 minutes mins,NA,Total Time 29 minutes mins,NA,12," 1 ½ cups (187.5 g) all-purpose flour
"," ½ cup (59 g) unsweetened cocoa powder
"," ½ cup (1 stick / 113 g) unsalted butter, room temperature
"," 1 cup (200 g) granulated sugar
"," ¼ teaspoon kosher salt
"," ¼ teaspoon baking powder
"," ¼ teaspoon baking soda
"," 1 large egg, room temperature
"," 1 teaspoon vanilla extract
",i am baker,https://iambaker.net/chocolate-covered-cherry-cookies/," 1 jar (10 ounces) maraschino cherries, (about 32 cherries), juice reserved
"," ½ cup (91 g) semisweet chocolate chips
", ¼ cup (77 g) sweetened condensed milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Orange Cookies,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 10 minutes mins,NA,Total Time 20 minutes mins,NA,11," 2 ¼ cups (281 g) all-purpose flour
"," 1 teaspoon baking soda
"," ½ teaspoon kosher salt
"," 1 cup (2 sticks / 227 g) unsalted butter, room temperature
"," 1 cup (200 g) light brown sugar, packed
"," ½ cup (100 g) granulated sugar
"," 1 tablespoon orange zest, about 1 medium orange
"," 2 tablespoons orange juice, freshly squeezed
"," 2 large eggs, room temperature
",i am baker,https://iambaker.net/white-chocolate-orange-cookies/," 2 cups (336 g) white chocolate chips
"," 1 cup (117 g) walnuts, finely chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Snickerdoodles,Amanda Rettke,NA,NA,Prep Time 15 minutes mins,Cook Time 7 minutes mins,NA,Total Time 22 minutes mins,NA,12," 1 ½ cups (300 g) granulated sugar
"," ½ cup (1 stick / 113 g) unsalted butter, softened, but not melted
"," ½ cup (129 g) creamy peanut butter
"," 2 large eggs, room temperature
"," 1 tablespoon vanilla extract
"," 2 ¾ cups (344 g) all-purpose flour
"," 1 teaspoon cream of tartar
"," 1 teaspoon baking soda
", ¼ teaspoon kosher salt,i am baker,https://iambaker.net/peanut-butter-snickerdoodles/," Cinnamon Sugar
"," 3 tablespoons granulated sugar
", 1 tablespoon ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butterscotch Toffee Cookies,Amanda Rettke,4.41,5,Prep Time 10 minutes mins,Cook Time 10 minutes mins,NA,Total Time 20 minutes mins,NA,10," 1 cup (2 sticks / 227 g) unsalted butter, softened
"," 1 cup (200 g) light brown sugar, packed
"," ½ cup (100 g) granulated sugar
"," 2 large eggs, room temperature
"," 1 teaspoon vanilla extract
"," 2 ½ cups (312.5 g) all-purpose flour
"," 1 ½ teaspoons kosher salt
"," 1 teaspoon baking soda
"," 1 ½ cups (255 g) butterscotch chips
",i am baker,https://iambaker.net/butterscotch-toffee-cookies/, 8 ounces toffee bits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ooey Gooey Browned Butter Cookies,Amanda Rettke,4,2,Prep Time 30 minutes mins,Cook Time 9 minutes mins,NA,Total Time 39 minutes mins,NA,9," ½ cup (1 stick / 113 g) unsalted butter
"," 1 ½ cups (300 g) granulated sugar
"," 2 ¼ cups (281 g) all-purpose flour
"," 1 cup (125 g) confectioners' sugar, divided
"," 1 tablespoon baking powder
"," ⅛ teaspoon kosher salt
"," 1 package (8 ounces) cream cheese, softened
"," 1 large egg, room temperature
", 1 teaspoon vanilla extract,i am baker,https://iambaker.net/ooey-gooey-browned-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maple Pecan Coffee Cake Cookies,Amanda Rettke,5,3,Prep Time 15 minutes mins,Cook Time 12 minutes mins,NA,Total Time 27 minutes mins,NA,22,"Cookies
"," 1 cup (2 sticks / 227 g) unsalted butter, room temperature
"," 1 cup (200 g) light brown sugar, packed
"," 1 large egg, room temperature
"," 1 teaspoon vanilla extract
"," 2 cups (250 g) all-purpose flour
"," ½ cup (64 g) cake flour
"," 2 ½ teaspoons ground cinnamon
"," ½ teaspoon baking soda
",i am baker,https://iambaker.net/maple-pecan-coffee-cake-cookies/," ½ teaspoon baking powder
", ½ teaspoon kosher salt," Streusel
"," ½ cup (62.5 g) all-purpose flour
"," ½ cup (100 g) granulated sugar
"," ¼ cup (½ stick / 57 g) unsalted butter, melted, cooled slightly
"," 3 tablespoons chopped pecans
"," 1 teaspoon maple syrup
", ½ teaspoon kosher salt," Glaze
"," 1 cup (125 g) confectioners' sugar
"," 3 tablespoons maple syrup
"," 1-2 tablespoons heavy cream or milk, or more until it reaches your desired consistency",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Whip Cookies,Amanda Rettke,4.34,3,Prep Time 10 minutes mins,Cook Time 10 minutes mins,Chilling Time 30 minutes mins,Total Time 50 minutes mins,NA,4," 1 container (8 ounces) Cool Whip, thawed
"," 2 large eggs
"," 1 box (15.25 ounces) chocolate cake mix
", ½ cup (62.5 g) confectioners' sugar,NA,NA,NA,NA,NA,i am baker,https://iambaker.net/cool-whip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Thumbprint Cookies,Amanda Rettke,NA,NA,Prep Time 20 minutes mins,Cook Time 8 minutes mins,NA,Total Time 28 minutes mins,NA,17,"Cookies
"," 3 cups (375 g) all-purpose flour
"," 1 tablespoon gingerbread spice mix*
"," 1 teaspoon baking soda
"," ½ teaspoon kosher salt
"," ¾ cup (1 ½ sticks / 170 g) unsalted butter, softened
"," ¾ cup (150 g) light brown sugar, packed
"," ½ cup (168.5 g) molasses
"," 1 large egg, room temperature
",i am baker,https://iambaker.net/gingerbread-thumbprint-cookies/," 1 teaspoon vanilla extract
"," ¼ cup (50 g) granulated sugar, for rolling the dough"," Cream Cheese Filling
"," ½ package (4 ounces) cream cheese, softened
"," ¼ cup (½ stick / 57 g) unsalted butter, softened
"," ½ teaspoon vanilla extract
"," 2 cups (250 g) confectioners’ sugar
", 1 tablespoon whole milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Cranberry Oatmeal Cookies,Amanda Rettke,5,NA,Prep Time 10 minutes mins,Cook Time 7 minutes mins,NA,Total Time 17 minutes mins,NA,14," 1 ½ cups (187.5 g) all-purpose flour
"," ½ teaspoon baking powder
"," ½ teaspoon baking soda
"," ½ teaspoon kosher salt
"," ½ teaspoon cinnamon
"," ¼ teaspoon nutmeg
"," 2 cups (180 g) old-fashioned oats
"," ½ cup (1 stick / 113 g) unsalted butter, room temperature
"," 1 cup (200 g) light brown sugar, packed
",i am baker,https://iambaker.net/white-chocolate-cranberry-oatmeal-cookies/," 2 large eggs, room temperature
"," 1 teaspoon vanilla extract
"," 1 tablespoon molasses
"," 1 ½ cups (195 g) dried cranberries, roughly chopped
"," 1 ½ cups (252 g) white chocolate chips, roughly chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Raspberry Cookies,Amanda Rettke,3,NA,Prep Time 10 minutes mins,Cook Time 12 minutes mins,NA,Total Time 22 minutes mins,NA,12," ½ cup (1 stick / 113 g) unsalted butter, room temperature
"," 2 ounces cream cheese, room temperature
"," ¾ cup (150 g) light brown sugar, packed
"," ¼ cup (31 g) confectioners' sugar
"," 1 large egg, room temperature
"," 1 tablespoon vanilla extract
"," 2 ¼ cups (281 g) all-purpose flour
"," 2 teaspoons cornstarch
"," 1 teaspoon baking soda
",i am baker,https://iambaker.net/white-chocolate-raspberry-cookies/," 1 teaspoon kosher salt
"," ¾ cup (126 g) white chocolate chips
"," 1 ¼ cups (312.5 g) frozen raspberries, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Scotchies,Amanda Rettke,5,5,Prep Time 10 minutes mins,Cook Time 7 minutes mins,NA,Total Time 17 minutes mins,NA,10," 1 ½ cups (187.5 g) all-purpose flour
"," ½ teaspoon baking powder
"," ½ teaspoon baking soda
"," ½ teaspoon kosher salt
"," 2 cups (180 g) old-fashioned oats
"," ½ cup (1 stick / 113 g) unsalted butter, room temperature
"," 1 cup (200 g) light brown sugar, packed
"," 2 large eggs, room temperature
"," 1 teaspoon vanilla extract
",i am baker,https://iambaker.net/oatmeal-scotchies/, 1 ½ cups (360 g) butterscotch chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Crinkle Cookies,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 10 minutes mins,Chilling Time 4 hours hrs,Total Time 4 hours hrs 20 minutes mins,NA,9," 2 cups (400 g) granulated sugar
"," 1 cup (118 g) unsweetened cocoa powder
"," ½ cup (109 g) vegetable oil
"," 4 large eggs, room temperature
"," 2 teaspoons vanilla extract
"," 2 cups (250 g) all-purpose flour
"," 2 teaspoons baking powder
"," ½ teaspoon kosher salt
", ½ cup (62.5 g) confectioners' sugar,i am baker,https://iambaker.net/chocolate-crinkle-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Cashew Cookies,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 8 minutes mins,NA,Total Time 18 minutes mins,NA,10," 2 ¼ cups (281 g) all-purpose flour
"," 1 teaspoon baking soda
"," ½ teaspoon kosher salt
"," 1 cup (2 sticks / 227 g) unsalted butter, room temperature
"," 1 cup (200 g) light brown sugar, packed
"," ½ cup (100 g) granulated sugar
"," 2 large eggs, room temperature
"," 2 teaspoons vanilla extract
"," 1 ¼ cups (212 g) white chocolate chips
",i am baker,https://iambaker.net/white-chocolate-cashew-cookies/," 1 cup (137 g) salted cashews, finely chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pfeffernüsse Cookies,Amanda Rettke,5,NA,Prep Time 10 minutes mins,Cook Time 12 minutes mins,NA,Total Time 22 minutes mins,NA,15," ½ cup (1 stick / 113 g) unsalted butter, room temperature
"," ¾ cup (150 g) light brown sugar, packed
"," ¼ cup (84 g) molasses
"," 1 large egg, room temperature
"," 1 teaspoon vanilla extract
"," 2 ¼ cups (281 g) all-purpose flour
"," 1 teaspoon ground cinnamon
"," ½ teaspoon ground allspice
"," ¼ teaspoon ground nutmeg
",i am baker,https://iambaker.net/pfeffernusse-cookies/," ¼ teaspoon ground black pepper
"," ¼ teaspoon ground cloves
"," ¼ teaspoon ground ginger
"," ¼ teaspoon baking soda
"," ¼ teaspoon kosher salt
", ½ cup (62.5 g) confectioners’ sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Haystacks,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,NA,Cooling Time 10 minutes mins,Total Time 20 minutes mins,NA,5," 1 cup (146 g) salted peanuts, roughly chopped
"," 3 cups (168 g) chow mein noodles
"," 2 cups (68 g) ripple potato chips
"," 1 package (24 ounces) chocolate almond bark*
"," sprinkles, optional",NA,NA,NA,NA,i am baker,https://iambaker.net/chocolate-haystacks/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cranberry Orange Shortbread Cookies,Amanda Rettke,5,10,Prep Time 10 minutes mins,Cook Time 12 minutes mins,Chilling Time 1 hour hr,Total Time 1 hour hr 22 minutes mins,NA,8," 1 cup (2 sticks / 227 g) unsalted butter, softened
"," ½ cup (62.5 g) confectioners' sugar
"," 1 teaspoon vanilla extract
"," 1 teaspoon orange zest
"," 1 ¾ cups (219 g) all-purpose flour
"," ½ cup (64 g) cornstarch
"," ¼ teaspoon kosher salt
"," 1 cup (65 g) dried cranberries, chopped",NA,i am baker,https://iambaker.net/cranberry-orange-shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italian Christmas Cookies,Amanda Rettke,5,4,Prep Time 15 minutes mins,Cook Time 8 minutes mins,Chilling Time 1 hour hr,Total Time 1 hour hr 23 minutes mins,NA,13,"Cookies
"," 2 cups (250 g) all-purpose flour
"," 2 teaspoons baking powder
"," ¼ teaspoon kosher salt
"," 6 tablespoons unsalted butter, softened
"," ½ cup (100 g) granulated sugar
"," 1 ½ teaspoons almond extract, or anise extract
"," 2 large eggs, room temperature"," Glaze
",i am baker,https://iambaker.net/italian-christmas-cookies/," 1 cup (125 g) confectioners' sugar
"," 2-3 tablespoons whole milk
"," ½ teaspoon almond extract, or anise extract
", ⅓ cup Christmas sprinkles (nonpareils),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coffee Cake Cookies,Amanda Rettke,5,6,Prep Time 15 minutes mins,Cook Time 12 minutes mins,NA,Total Time 27 minutes mins,NA,19,"Cookies
"," 1 cup (2 sticks / 227 g) unsalted butter, room temperature
"," 1 cup (200 g) light brown sugar, packed
"," 1 large egg, room temperature
"," 1 teaspoon vanilla extract
"," 2 cups (250 g) all-purpose flour
"," ½ cup cake flour
"," 2 ½ teaspoons ground cinnamon
"," ½ teaspoon baking soda
",i am baker,https://iambaker.net/coffee-cake-cookies/," ½ teaspoon baking powder
", ½ teaspoon kosher salt," Streusel
"," ½ cup (62.5 g) all-purpose flour
"," ½ cup (100 g) granulated sugar
"," ½ teaspoon kosher salt
"," ¼ cup (½ stick / 57 g) unsalted butter, melted and cooled slightly"," Glaze
"," 1 cup (125 g) confectioners' sugar
", 1-3 tablespoons whole milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cornbread Cookies {Crumbl Copycat},Amanda Rettke,5,2,Prep Time 10 minutes mins,Cook Time 12 minutes mins,NA,Total Time 22 minutes mins,NA,20,"Cookies
"," ½ cup (1 stick / 113 g) unsalted butter, room temperature
"," ½ cup (102.5 g) shortening
"," ½ cup (100 g) granulated sugar
"," ½ cup (100 g) brown sugar, packed
"," 3 large eggs, room temperature
"," 1 tablespoon honey
"," 1 teaspoon vanilla extract
"," 2 cups (250 g) all-purpose flour
",i am baker,https://iambaker.net/cornbread-cookies/," 1 cup (122 g) yellow cornmeal
"," 2 tablespoons cornstarch
"," 1 teaspoon kosher salt
"," ½ teaspoon baking powder
", ½ teaspoon baking soda," Frosting
"," ½ cup (1 stick / 113 g) unsalted butter, room temperature
"," 2 cups (250 g) confectioners' sugar
"," 2-3 tablespoons honey
"," 1 pinch kosher salt
"," honey, for drizzling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apple Snickerdoodles,Amanda Rettke,NA,NA,Prep Time 15 minutes mins,Cook Time 12 minutes mins,NA,Total Time 27 minutes mins,NA,17,"Apple Filling
"," 2 medium Granny Smith apples, peeled, cored, finely diced (about 2 cups)
"," ¼ cup (50 g) light brown sugar, packed
"," 1 teaspoon ground cinnamon
"," 1 tablespoon unsalted butter, melted"," Snickerdoodle Cookie Dough
"," 1 cup (2 sticks / 227 g) unsalted butter, softened
"," 1 cup (200 g) granulated sugar
"," 1 tablespoon vanilla extract
",i am baker,https://iambaker.net/apple-snickerdoodles/," 2 large eggs, room temperature
"," 2 ¾ cups (352 g) all-purpose flour
"," 1 teaspoon cream of tartar
"," 1 teaspoon baking soda
", ¼ teaspoon kosher salt," Cinnamon Sugar
"," 3 tablespoons granulated sugar
", 1 tablespoon ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Spice Sugar Cookies,Amanda Rettke,NA,NA,Prep Time 15 minutes mins,Cook Time 7 minutes mins,NA,Total Time 22 minutes mins,NA,15,"Cookie
"," 1 cup (2 sticks / 227 g) unsalted butter, room temperature
"," 1 ¼ cups (250 g) granulated sugar, plus extra for pressing cookies
"," ¾ cup (94 g) confectioners' sugar
"," ¾ cup vegetable oil
"," 3 large eggs, room temperature
"," 5 ½ cups (687.5 g) all-purpose flour
"," 1 tablespoon pumpkin pie spice
"," 1 teaspoon cream of tartar
",i am baker,https://iambaker.net/pumpkin-spice-sugar-cookie/, 1 teaspoon kosher salt," Cream Cheese Frosting
"," 1 package (8 ounces) cream cheese, room temperature
"," ½ cup (1 stick / 113 g) unsalted butter, room temperature
"," 1 teaspoon vanilla extract
", 4 cups (500 g) confectioners' sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marshmallow Stuffed Ginger Cookies,Amanda Rettke,NA,NA,Prep Time 15 minutes mins,Cook Time 10 minutes mins,NA,Total Time 25 minutes mins,NA,11," 2 ¼ cups (281 g) all-purpose flour
"," 1 teaspoon baking powder
"," 2 teaspoons ground ginger
"," 1 teaspoon ground cinnamon
"," ½ teaspoon ground cloves
"," ¼ teaspoon kosher salt
"," ¾ cup (1 ½ sticks / 170 g) unsalted butter, softened
"," 1 cup (200 g) light brown sugar, packed
"," 1 large egg, room temperature
",i am baker,https://iambaker.net/marshmallow-ginger-cookies/," ¼ cup (84 g) molasses
"," 1 cup marshmallow fluff, or marshmallow creme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Browned Butter Soft Batch Chocolate Chip Cookies,Amanda Rettke,NA,NA,Prep Time 15 minutes mins,Cook Time 10 minutes mins,Cooling Browned Butter 40 minutes mins,Total Time 1 hour hr 5 minutes mins,NA,12," ½ cup (1 stick / 113 g) unsalted butter
"," ¼ cup (2 ounces) cream cheese, room temperature
"," ¾ cup (150 g) light brown sugar, packed
"," ¼ cup (125 g) confectioners' sugar
"," 1 large egg, room temperature
"," 1 tablespoon vanilla extract
"," 2 ¼ cups (281 g) all-purpose flour
"," 2 teaspoons cornstarch
"," 1 teaspoon baking soda
",i am baker,https://iambaker.net/browned-butter-soft-batch-chocolate-chip-cookies/," 1 teaspoon kosher salt
"," 1 cup (182 g) semi-sweet chocolate chunks
", 1 cup (182 g) white chocolate morsels or chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Browned Butter Snickerdoodles,Amanda Rettke,5,2,Prep Time 10 minutes mins,Cook Time 8 minutes mins,Cooling Time 25 minutes mins,Total Time 43 minutes mins,NA,12,"Cookie
"," 1 cup (2 sticks / 227 g) unsalted butter
"," 1 ½ cups (300 g) granulated sugar
"," 2 ¾ cups (352 g) all-purpose flour
"," 1 teaspoon cream of tartar
"," 1 teaspoon baking soda
"," ¼ teaspoon kosher salt
"," 2 large eggs, room temperature
", 1 tablespoon vanilla extract,i am baker,https://iambaker.net/browned-butter-snickerdoodles/," Cinnamon Sugar
"," 3 tablespoons granulated sugar
", 1 tablespoon ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chewy Peanut Butter Cookies,Amanda Rettke,5,3,Prep Time 15 minutes mins,Cook Time 14 minutes mins,NA,Total Time 29 minutes mins,NA,12," ¼ cup (48 g) shortening
"," ¾ cup (1 ½ sticks / 170 g) unsalted butter, melted
"," 1 ½ cups (300 g) light brown sugar, packed
"," 1 tablespoon vanilla extract
"," 2 large eggs, cold
"," 1 cup (258 g) creamy peanut butter
"," 1 teaspoon baking soda
"," ¼ teaspoon baking powder
"," 1 teaspoon kosher salt
",i am baker,https://iambaker.net/chewy-peanut-butter-cookies/," 2 ⅓ cups (292 g) all-purpose flour
"," 1 cup (200 g) granulated sugar, for rolling
"," flaky sea salt, for sprinkling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Spice Butter Cookies,Amanda Rettke,5,NA,Prep Time 15 minutes mins,Cook Time 14 minutes mins,NA,Total Time 29 minutes mins,NA,12," 1 cup (2 sticks / 227 g) unsalted butter, softened
"," ⅔ cup (133 g) granulated sugar
"," 2 large egg yolks, room temperature
"," 1 teaspoon vanilla extract
"," 2 cups (250 g) all-purpose flour
"," 1 teaspoon pumpkin pie spice
"," ¼ teaspoon kosher salt
"," 2 tablespoons whole milk, room temperature"," Glaze
",i am baker,https://iambaker.net/pumpkin-spice-butter-cookies/," 1 cup (125 g) confectioners' sugar
"," 1 teaspoon pumpkin pie spice
", 1-2 tablespoons whole milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
