title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14
Chocolate dodgers,cookingwithmykids,NA,NA,Afternoon tea,British,25 minutes,15 minutes,NA,40 minutes,Servings: 24 biscuits (approx),12,"Preheat your oven to 180C / 170C Fan / 350F and line 2 or 3 baking trays with baking or parchment paper.
Measure out the sugar and butter and pop them in a large mixing bowl or free-standing mixer. If your butter isn’t soft, pop it in the microwave for a few seconds before adding to your bowl otherwise it will be too hard to mix well.
Use some wooden spoons, a hand held mixer or the k-paddle of your free-standing mixer, and beat the sugar and butter until they are well mixed together.
Measure the flour and add it to your mixing bowl.
Mix the flour in until it is thoroughly mixed and a dough starts to form. You could start using your spoons for this and finish off bringing it together with your hands.Tip your mixture out on to your work surface. Knead it together until it forms a ball. Then chill it in the fridge for 15 minutes.
Sprinkle your work-surface with a little bit of flour and roll your dough out so it is about 3-5mm thick.When you're rolling it out, rotate it 90 degrees after every few rolls so that it rolls out nice and evenly and doesn’t stick to your work surface.
Using a round (or any shape you have chosen) cutter, cut out biscuits and pop them on your prepared baking trays. Using a smaller cutter cut out the centre of half of your biscuits. Re-roll the scraps and cut out more biscuits until you’ve used all your dough. Put your trays of biscuits in the fridge to chill for 10 minutes or so.
Pop your biscuits in the oven for around 15 minutes. They’re done when they are turning golden brown. The biscuits with cut outs will bake a little bit faster so you might need to remove them from the oven a little sooner.
Remove the biscuits from the oven and leave them to cool on the trays for a few minutes before moving them to a wire rack to cool completely.
Spoon a little (about 2 tablespoons) of Nutella, into a dish or pan and either warm in the microwave or on the cooker until has softened a little. This will make it a lot easier to spread on to your biscuits.
Spread the chocolate on to the top of each ‘full’ biscuit with a teaspoon. Then make a sandwich by placing the 'cut out' biscuit on top.
Leave the biscuits to set. Serve and enjoy!",4,80 g (⅓ cup) caster sugar,"160 g (⅔ cup) unsalted butter, softened",240 g (2 cups) plain / all-purpose flour,2 tablespoons approx Nutella,NA,NA,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/chocolate-dodgers/,NA,NA,NA,NA,NA,NA,NA
Jammy dodger biscuits,cookingwithmykids,5,4,Snack,British,30 minutes,15 minutes,NA,45 minutes,Servings: 10,6,"Measure the sugar and butter and add them to a large mixing bowl. Using some wooden spoons, (or your mixer) give them a good mix until they are well combined. 
Add the flour to your bowl, then using your hands mix it up then bring it together until it forms a nice dough. Wrap it in cling film and pop it in the fridge for 15 minutes. 
Roll the dough out until it is around half a cm thick. Cut out biscuits using a round cutter. Then using a smaller heart shaped cutter, cut out the middle of half your biscuits. 
Re-roll your dough and repeat until you have used all the dough up. 
Pop your biscuits in the oven for 12-15 minutes. They're donw when they are starting to turn golden brown. Remove them from the oven and leave to cool.
Spoon a little jam on to each round biscuit and spread out, then sandwich it in by placing a a heart shaped biscuit on top. ",4,80 g caster sugar,160 g butter unsalted,240 g plain flour,Jam,NA,NA,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/jammy-heart-biscuits/,NA,NA,NA,NA,NA,NA,NA
Chocolate fork biscuits,cookingwithmykids,4.94,16,Snack,British,15 minutes,15 minutes,NA,NA,Servings: 12 biscuits,7,"Preheat your oven to 180C / 160C Fan / 350F and line a baking tray with baking or parchment paper.
Measure the butter and sugar and add them to a large mixing bowl. Beat the butter and sugar together with a wooden spoon until it's well mixed and soft. 
Weigh the flour and cocoa powder and add them to your mixing bowl. Keep using your spoons to mix it in, then you can use your hands to bring it all together in a soft ball of dough.
Take small pieces of dough and roll them into balls. You want them to all be roughly the same size (about the size of a walnut.)
Place the balls of dough on the prepared baking tray. Dip a fork in cold water and gently press down on each biscuit ball.
Bake the chocolate biscuits in the oven for 12-15 minutes until they are fully baked. They'll still be a little soft when they come out the oven but will harder a little when they cool.
Remove them from your oven, allow them to cool slightly  before leaving them to cool completely on a wire rack.",4,100 g (½ cup) butter softened,50 g (¼ cup) caster sugar,125 g (1 cup) Self raising flour,10 g (1 ½ tablespoons) cocoa powder,NA,NA,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/chocolate-fork-biscuits/,NA,NA,NA,NA,NA,NA,NA
Fork biscuits,NA,4.74,15,Snack,British,15 minutes,15 minutes,NA,30 minutes,Servings: 15,8,"Measure the butter and put it in a large mixing bowl.
Weigh the sugar and add it to the bowl.
Beat together with a wooden spoon until well combined.
Weigh the flour, then add to your mixing bowl. Carry on mixing then use your hands to bring it all together into a soft dough.
Roll small pieces of dough (the size of a walnut or teaspoon) into round balls. Place on your baking tray, leaving space between them for spreading.
Dip a fork in cold water and press down on each ball in turn to flatten each biscuit and make an imprint.
Bake in the oven for 12-15 minutes until they are golden brown.
Cool on a wire rack.",3,100 g butter softened,50 g caster sugar,150 g self raising flour,NA,NA,NA,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/fork-biscuits/,NA,NA,NA,NA,NA,NA,NA
Chocolate chip shortbread,cookingwithmykids,5,1,"Afternoon tea, Snack",scottish,20 minutes,15 minutes,NA,35 minutes,Servings: 18,8,"Pre-heat the oven to 170C / 150C Fan / 340 F and lightly grease 2 baking trays or line them with baking or parchment paper.
Measure out the butter and cut it into small pieces. If it's not soft pop it in the microwave for ten seconds or so. Just do it long enough to soften it, don't melt it.Measure the sugar out and add them both to a mixing bowl or free-standing mixer if you have one.
Using wooden spoons, a hand held mixer or the k-paddle of your free-standing mixer cream the butter and sugar together until they become light and creamy.
Measure out the flour and add it to your mixing bowl.Mix it in, with wooden spoons, until it's well combined.
Pour the chocolate chips into your mixing bowl. Again, mix these in with a wooden spoon at first, and then using your hands, knead the dough so it comes together in a nice ball of dough.It took us a little bit of kneading to make the dough come together and stop crumbling apart. You do want to stop as soon as you can though to ensure your shortbread is lovely and soft.
Lightly sprinkle some flour down on your work surface.Roll your dough out until it is around 5mm (1/4 inch) thick.
Using a 5cm fluted cutter, cut circles out and place them on your baking tray. Bring together any scraps, re-roll it and cut out some more shortbread cookies. Keep doing this until there's no dough left.
Bake the shortbread cookies for 15-20 minutes. They’re ready when they are starting to turn golden brown.  Remove the shortbread from the oven and leave it to cool on the baking tray for a few minutes, before popping them on a wire rack.",4,175 g (1 ¼ cups) plain/all-purpose flour,"100 g (½ cup) butter, softened",75 g (⅓ cup) caster sugar,80 g (½ cup) chocolate chips,NA,NA,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/chocolate-chip-shortbread/,NA,NA,NA,NA,NA,NA,NA
Mince pie cookies,cookingwithmykids,NA,NA,"Afternoon tea, Snack",British,20 minutes,15 minutes,NA,35 minutes,Servings: 15,9,"Measure the butter and sugar out, and add them to a mixing bowl or free-standing mixer. Cut your butter into little pieces to make it easier to mix.
Using the k-paddle of your free-standing mixer, a handheld whisk, or even wooden spoons cream the butter and sugar together until they are light and fluffy.
Crack the egg into a small bowl then add it to your mixing bowl.Measure the vanilla extract and pour it into your bowl then mix everything together.
Measure the flour out and add it to your mixing bowl along with the mixed spice. Make sure you use your finger to level the teaspoon so that you add just the right amount of spice.
Give everything one more mix until it all comes together in a nice stiff ball of cookie dough.
Finally, add a few spoons of mincemeat to your cookie dough and mix it in so it is well mixed through.
Spoon out dollops of cookie dough onto your prepared baking trays. Leave spaces between your cookies as they'll spread a little when they bake.Chill the cookies in the fridge for 15 or so before you bake them.
Bake the cookies in the oven for 10-12 minutes. They’re ready when they’ve started to turn golden brown. I like them, a little bit soft and chewy, but if you don’t you can keep them in the oven for another few minutes.
Remove them from the oven and leave them to cool on the trays for five minutes or so before putting them on a wire rack to cool completely.",7,100 g (½ cup) butter softened,125 g (½ cup) soft brown sugar,1 egg,½ teaspoon vanilla extract,200 g (1 ¼ cups) self raising flour,½ teaspoon mixed spice,4-5 tablespoons of mincemeat,Cooking With My Kids,https://www.cookingwithmykids.co.uk/mince-pie-cookies/,NA,NA,NA,NA,NA,NA,NA
Shortbread fingers,cookingwithmykids,NA,NA,"Afternoon tea, Snack",scottish,20 minutes,20 minutes,NA,40 minutes,Servings: 21 slices,9,"Measure the butter and sugar out and add them to a mixing bowl. Make sure your butter is soft, otherwise it will be hard to mix in. I
Mix the butter and sugar together with wooden spoons or a hand held mixer until they are well combined
Measure the flour out and add it to your mixing bowl. Mix it in, starting with wooden spoons until it comes together and there no lumps of flour showing.
You might need to use your hands towards the end to bring it together.
Tip the shortbread dough into your prepared baking tin, press it down. Make sure you press it firmly into the corners/edges.
Get a fork and neatly prick the unbaked shortbread in lines.
Bake the shortbread for 20-25 minutes. It's ready when the edges are starting to turn golden brown.
Remove the baking tin from the oven and cut the shortbread into fingers straight away. Don't wait for it to cool down before cutting it or the fingers will crack and break. Once you've cut them, leave the shortbread to cool in the tin.
Once cooled, carefully remove the shortbread fingers from the tin.",3,200 g (1 cup) butter softened,100 g (½ cup) caster sugar,300 g (1 + ¾ cups) plain / all-purpose flour,NA,NA,NA,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/shortbread-fingers/,NA,NA,NA,NA,NA,NA,NA
Ginger biscuits,NA,5,1,"Afternoon tea, Snack",British,30 minutes,15 minutes,NA,45 minutes,Servings: 16,8,"Preheat your oven to 180C / 160C Fan / 350F and line 2-3 baking trays with baking or parchment paper.
Measure out the flour, bicarbonate of soda, ground ginger and sugar and add them to a large mixing bowl.
Measure the butter and golden syrup out and add them to a small pan, or microwavable bowl. Heat them gently until they have both melted.
Pour the melted butter mixture into the dry ingredients. Crack the egg into a small bowl then add that to your mixing bowl as well. 
With wooden spoons or a spatula, mix everything together until it comes together into a dough. You might need to use your hands to bring it together.
Take small, walnut sized pieces of biscuit dough roll them into balls. Pop them onto your preparedThe mixture should make around 20 biscuits.
Bake the biscuits in the oven for 12-15 minutes. They're ready when they've turned a nice golden brown colour at the edges. They'll still feel a little bit soft as they come out of the oven but will harden as they cool.
Remove the cookies from the oven and leave them to cook on the baking trays for 10 minutes, before popping them on a wire rack to cool completely.",7,350 g (3 cups) plain / all-purpose flour,1 teaspoon bicarbonate of soda,2 teaspoons ground ginger,150 g (¾ cups) soft brown sugar,100 g butter,50 g (2 tablespoons) golden syrup,1 egg,Cooking With My Kids,https://www.cookingwithmykids.co.uk/ginger-biscuits/,NA,NA,NA,NA,NA,NA,NA
Shortbread recipe,cookingwithmykids,5,1,Snack,scottish,20 minutes,20 minutes,NA,40 minutes,Servings: 20,6,"Weigh the flour, sugar and butter and pop them all in a large mixing bowl. Using your finger tips rub everything together gently until you have a fine breadcrumb.
Knead the mixture gently to bring it all together in a ball of dough. We had to do this for a while to stop the mixture crumbling apart when we tried to roll it out.
Lightly sprinkle some flour down on your work surface
Roll your dough out until it is around 5mm (1/4 inch) thick. Using a 5cm fluted cutter, cut circles out and place them on your baking tray. 
Prick each biscuit with a fork and sprinkle them with a little Demerara sugar.
Pop the baking trays in the oven for 15-20 minutes. They’re ready when they are starting to turn golden brown.  Remove from the oven and leave to cool on a wire rack.",4,175 g plain/all-purpose flour,75 g caster sugar,100 g butter softened,Demerara sugar for sprinkling,NA,NA,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/scottish-shortbread/,NA,NA,NA,NA,NA,NA,NA
White chocolate chip cookies,cookingwithmykids,4.72,7,"Afternoon tea, Snack",American,20 minutes,10 minutes,NA,30 minutes,Servings: 12,11,"Preheat your oven to 180C / 170C Fan / 350F and line 2-3 baking trays with baking / greaseproof paper.
Get your kids to measure the sugars out and the butter, and put them in a mixing bowl or free-standing mixer.
Cut your butter into little pieces to make it easier to mix and if it's not soft (we always forget to take our butter out the fridge beforehand), pop it in the microwave for a few seconds.
Using the k-paddle of your free-standing mixer, wooden spoons or a handheld whisk, cream the butter and sugar together until they are light and fluffy.
Get your kids to crack the egg into a small bowl then add it to your mixing bowl.
Measure the vanilla extract and pour it into your bowl then mix everything together.
Measure the flour out and add it to your mixing bowl. Give everything one more mix until it all comes together.
Finally, pour the chocolate chips in and mix them in with a spatula or wooden spoons.
Spoon out dollops of cookie dough onto your prepared baking trays.
Bake the cookies in the oven for 8-10 minutes. They're ready when they've started to turn golden brown. I like them, a little bit soft and chewy, but if you don't you can keep them in the oven for another few minutes.
Serve and enjoy",7,100 g butter,100 g golden caster sugar,50 g soft brown sugar,1 egg,½ tsp vanilla extract,200 g self raising flour,100 g white chocolate chips,Cooking With My Kids,https://www.cookingwithmykids.co.uk/white-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA
Rock buns,cookingwithmykids,4,1,Snack,scottish,20 minutes,16 minutes,NA,36 minutes,Servings: 8,7,"Weigh the flour and add it to a large mixing bowl. Measure the butter and chop it into small pieces. Add the butter to the flour.
Using your finger tips, rub together the flour and butter until the mixture resembles breadcrumbs.
Weigh the sugar and raisins and add to your bowl. Add the mixed spice. Mix it in slightly with a spoon.
Crack the egg into a small bowl, then add to your mixing bowl and give it a good mix.
Using your hands mix everything together until you have formed a large ball of dough. Divide the mixture into 8 pieces, roll them into balls and pop them on to your baking tray.
Pop them in the oven for 16-18 minutes. They’re ready when they are starting to look golden brown. Remove from the oven, leave to cool on the tray for a few minutes then put them on a wire rack to cool completely.
Store in an air tight container. Best eaten within a day or so of baking.",6,150 g (1 cup) self raising flour,"75 g (1/4 cup) butter, softened",75 g (1/3 cup) caster sugar,50 g (1/4 cup) raisins/sultanas,Pinch mixed spice,1 egg,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/rock-buns/,NA,NA,NA,NA,NA,NA,NA
Double chocolate smartie cookies,cookingwithmykids,4.75,4,Snack,American,30 minutes,15 minutes,NA,45 minutes,Servings: 12,12,"Break 200g of the chocolate into small pieces. Pop it into a heatproof bowl over a saucepan of simmering water. Make sure you don’t let the bottom of the bowl touch the water.
Weigh out the butter and cut it into small pieces. Add it to your bowl. Allow it to melt slowly, stirring it occasionally.
Weigh the sugar into a small bowl. If you have a freestanding mixer, add your sugar or just put it in a large mixing bowl.
Break the eggs into a small bowl to check for shell, then add it to your sugar.  Add the vanilla extract. 
Using your paddle attachment, a hand held whisk or wooden spoons, mix everything together.
Add the melted chocolate and butter mixer. Continue mixing everything on a slow speed until it is thoroughly combined.
measure the flour into your small bowl. Add add the baking powder and salt. Add to your chocolate mixer a little at a time, mixing after each addition (we did it in 3 batches).
Roughly chop the remaining chocolate into small pieces and add to your mixture. Give it a final stir until it is evenly distributed.
Dollop 6 equal(ish) amounts of cookie mixture onto your baking trays. Make sure the cookies are spaced apart as they’ll spread a little in the oven.
Add some Smarties to the top of each cookie. 
Pop your baking trays in the oven for 10 – 15 minutes. Keep an eye on them after they’ve been in for 10 minutes. They’re ready when the tops start to crack and they look glossy.
Remove from the oven and leave to cool on the trays for a few minutes before putting them on a wire rack to cool completely.",9,50 g unsalted butter,300 g dark chocolate,2 eggs,170 g soft light brown sugar,½ tsp vanilla extract,150 g plain flour,½ tsp salt,Cooking With My Kids,https://www.cookingwithmykids.co.uk/double-chocolate-smarties-cookies/,½ tsp baking powder,1 pack Smarties,NA,NA,NA,NA,NA
Double chocolate chip cookies,cookingwithmykids,NA,NA,"Afternoon tea, Dessert",American,20 minutes,10 minutes,NA,30 minutes,Servings: 12,10,"Measure the butter and sugar and add them to a free-standing mixer or a large mixing bowl. Cream the butter and sugar together using the k-paddle attachment of your mixer or a hand held mixer (or even wooden spoons) until the sugar and butter are light and fluffy.
Break the egg into a small bowl, then add it to your mixing bowl. Add the vanilla extract. 
Mix the egg and vanilla in to your butter/sugar. Don't worry if your mixture looks a bit sloppy at this point.
Measure the flour and cocoa powder out then add them to your mixing bowl/free-standing mixer. Slowly mix it in until it all comes together in a nice cookie dough. If you need to, use a spatula to scrape the mixture down from the sides of the bowl so it is all well mixed in.
Finally,  add in the chocolate chips to your dough mixture then mix them in with a spatula or wooden spoon until they are well spread through your cookie dough. The mixture is quite stiff and this may be too hard for younger children, you you might need to help them make sure the chocolate chips are evenly distributed.
Using a spoon (or if you prefer, your hands) add (about 12) dollops of dough mixture to your baking trays. These cookies spread a lot while baking so leave as much space between each cookie as possible. Try to make your dollops of cookie dough roughly the same size so they bake evenly.
If you have more/less than 12 balls of cookie dough you might need to adjust the baking time.
Put your baking trays in the fridge to chill for 15 minutes.
Bake the cookies in the oven for 10-12 minutes. They’re ready when they have flattened down slightly, and the top looks a bit crispy and not wet.
Leave them on the baking trays to cool slightly, then move them to a wire rack to cool completely.",7,"100 g (¼ cup) butter, softened",150 g (¾ cup) brown sugar,1 egg,½ teaspoon vanilla extract,175 g (1 ½) cups self raising flour*,20 g (¼ cup) cocoa powder,100 g (½cup) chocolate chips (milk or white),Cooking With My Kids,https://www.cookingwithmykids.co.uk/double-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA
Banana and oat cookies,cookingwithmykids,NA,NA,Snack,"British, scottish",25 minutes,15 minutes,NA,40 minutes,Servings: 25,9,"Preheat your oven to 180C / 170C Fan / 350F and line 2 -3 baking trays with baking paper or greaseproof paper.
Measure the butter and chop it into small pieces (if it isn’t already soft, blast it in the microwave for a few seconds to make it easier to mix). Or if you're using a baking spread, simply add it straight into a large mixing bowl.Measure out the sugar and add it to your mixing bowl.Add the vanilla extract.
Mix the sugar and butter together with wooden spoons.
Peel and mash the bananas with a fork. When they are well mashed add them to your mixing bowl.Give everything a good mix.
Measure the flour and porridge oats out and add them to your mixing bowl.
Mix everything together with wooden spoons, until it is all thoroughly combined. It will be a fairly wet mixture.
Spoon tablespoons of cookie dough onto your baking sheet. Make sure they are spaced out nicely on your baking trays as they’ll spread a little bit when they bake.
Bake them for approximately 15 minutes. They’re ready when the edges start to go golden. They'll still be very soft when they come out of the oven, but will harden slightly as they cool.
Remove the cookies from the oven and leave them on the baking trays for a few minutes to cool slightly, before putting them on a wire rack to cool completely.",6,100 g (1/2 cup) butter or baking margarine/spread,100 g (1/2 cup) caster sugar,1/2 teaspoon vanilla extract,2 bananas,125 g (1 cup) self raising flour*,150 g (1 + 2/3 cups) porridge oats,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/banana-oat-cookies/,NA,NA,NA,NA,NA,NA,NA
Chocolate chip cookie bar,cookingwithmykids,NA,NA,"Afternoon tea, Dessert, Snack",American,20 minutes,25 minutes,NA,45 minutes,Servings: 20,5,"Weigh the butter and sugar and add to a large bowl or free standing mixer. Beat them together with an electric mixer or the paddle/k attachment of your mixer until they are light and fluffy.
Add both the eggs and vanilla extract to your mixing bowl and beat them together until everything is combined. .
Weigh the flour and it along with half the M&Ms (or chocolate chips) to your cookie batter. Mix everything together using a wooden spoon until it is full mixed. 
Pour the cookie batter into your prepared tin and press it down with the back of a spoon or knife. Decorate the top with the remaining M&Ms or chocolate chips. 
Bake the cookie bar in the oven for 25-30 minutes. It's ready when the cookie bar has started to turn golden brown and is still a little soft in the middle. Remove it from the oven and leave to cool before slicing it into pieces. ",6,200 g (1 cup) butter softened,300 g (1 + ⅔ cups) soft brown sugar,2 eggs,1 tsp vanilla extract,350 g (2 + ¾ cup) self raising flour,250g packet of M&Ms (or chocolate chips),NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/mm-cookie-bar/,NA,NA,NA,NA,NA,NA,NA
Easter Mini Egg cookies,cookingwithmykids,5,1,Afternoon tea,"American, British",20 minutes,10 minutes,Chilling time 30 minutes mins,NA,Servings: 15,8,"Beat the butter and sugar together using the paddle attachment of your mixer or a handheld mixer until they are light and fluffy. 
Add the egg and vanilla to your bowl and mix until it is well combined. 
Add the flour and mix it well together.
Bash half the mini egg to  break them up and make them a little smaller. Add the broken mini eggs and chocolate chips and mix them in with a wooden spoon. 
Spoon large dollops of cookie mix onto your prepared baking trays. Leave space between them as they'll spread in the oven. 
Put a few mini eggs on top of each cookie before they go in the oven.
Bake in the oven for 8-10 minutes. They're ready when they have flattened down a little and started to turn a little golden. 
Remove the cookies from your oven. Leave to cool on the baking tray for a few minutes then move them on to a wire rack to cool completely. ",7,100 g (¼ cup) butter softened,150 g (¾ cup) brown sugar,1 egg,1/2 tsp vanilla extract,200 g (1 ¼ cup) self-raising flour,50 g (¼ cup) chocolate chips,2x 90g packets of mini or micro eggs,Cooking With My Kids,https://www.cookingwithmykids.co.uk/easter-cookies/,NA,NA,NA,NA,NA,NA,NA
Biscoff stuffed cookies,cookingwithmykids,NA,NA,"Afternoon tea, Dessert, Snack",British,20 minutes,12 minutes,Chilling time 3 hours hrs 20 minutes mins,52 minutes,Servings: 12,10,"Using a tea spoon, spoon 12 dollops of Biscoff onto a baking tray.Freeze the Biscoff dollops until they are hard. It'll take at least a few hours, although I just did it the day before and left them in overnight.
Measure out the butter and sugar, then add them to a free-standing mixer or a large mixing bowl.Using the k-paddle of your free-standing, a hand held mixer or even wooden spoons, cream the butter and sugar together until the mixture is light and fluffy. It'll take a minute or two.
Crack the egg into a small bowl and add it to your butter/sugar. Add the vanilla extract.Mix everything together.
Measure out the flour, and add it to your mixing bowl. Mix it all together until it is well incorporated and you have a nice cookie dough.Finally, pour the white chocolate chips into your mixing bowl. Using a spatula or wooden spoon stir them in so they are well mixed through.
Line 2-3 baking trays with baking or parchment paper.
Scoop out a dollop of cookie mixture and flatten out the centre of it in your hand. Take a frozen piece of Biscoff and place it in the centre of your cookie dough. Shape the dough around it so it is fully contained. If you need to, take a little extra dough to fill in any gaps so that the Biscoff doesn't ooze out in the oven.Pop it on one of your prepared baking trays and repeat with the remaining dough and Biscoff  pieces, leaving room in between each cookie for them to spread a little while they bake.
Chill the cookies in the fridge for 15-20 minutes before you bake them to stop them spreading too much in the oven.
Preheat your oven to 180C / 170C Fan / 350F.
Bake the cookies for around 10-12 minutes. They're ready when they've turned a nice golden brown colour.
Remove the cookies from the oven and leave them to cool on the baking tray for a few minutes before putting them on a wire rack to cool completely.",7,12 teaspoons Biscoff spread,100 g (¼ cup) butter,150 g (¾ cup) caster sugar,1 egg,½ teaspoon baking powder,200 g (1 ¼ cup) self raising flour,100 g (½ cup) white chocolate chips,Cooking With My Kids,https://www.cookingwithmykids.co.uk/biscoff-cookies/,NA,NA,NA,NA,NA,NA,NA
Easy cookie recipe for kids,cookingwithmykids,4.82,11,Snack,American,30 minutes,10 minutes,NA,40 minutes,Servings: 16 cookies,7,"Add the butter and sugar to a freestanding mixer or bowl. Mix them together using the paddle attachment or a hand held mixer (or wooden spoons) until it's light and fluffy.
Break your egg into a small bowl then add it to your mixing bowl. Measure in the vanilla extract, then mix it all in. 
Measure the flour and add it into your mixing bowl.
Mix everything together until you have a smooth dough. If you need to, use a spatula to scrape the mixture down from the sides of the bowl. Add in the chocolate chips to your dough mixture. Give it one last mix so that everything is nicely combined.
Using a spoon add 6 spoons of dough mixture to each of your baking trays. These cookies spread a lot while baking so leave as much space between each cookie as possible.
Pop them in the oven for 10-12 minutes. They’re ready when the edges have turned golden brown and they’ve flattened down. They'll still feel a bit soft when you remove them from the oven.
Leave them on the baking trays to cool slightly, then move them to a wire rack to cool completely.",6,"100 g (¼ cup) unsalted butter, softened",150 g (¾ cups) soft light brown sugar,1 egg,½ tsp vanilla extract,200 g (1 ¼) cups self raising flour,100 g (½ cup) chocolate chips.,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA
Valentine's hidden heart biscuits,cookingwithmykids,NA,NA,Dessert,"American, British",30 minutes,20 minutes,NA,50 minutes,Servings: 12 biscuits,13,"Add the flour and butter to a large mixing bowl. Start using a knife to cut the butter in, then use your finger tips to rub the butter into the flour until the mixture resembles bread crumbs.
Add the sugar, vanilla extract & egg to your bowl. 
Mix everything together with your hands until it comes together into a ball.
The first step in making these hidden heart biscuits is to make the heart centre.
Take around a third of the dough and add some red food colouring to it. Knead it until the colour is fully mixed in. Wrap the remaining plain dough in cling film and set it aside for now.
Sprinkle a little flour down on your work surface and roll the red dough out. 
Cut out hearts (around 3-4cm across) and stack them up on top of each other, pressing them together gently. Repeat this until you've used all the red dough, then wrap it in cling film and pop it in the freezer for a few hours.
Once the heart centres are hard, roll the plain dough out into three sausages then length of the heart column using your hands. Add a plain biscuit sausage to each side of the heart column, patting it down until you cover the hearts entirely. Gently roll the dough into a round cylinder.
Wrap the dough in cling film and chill in the fridge for 2+ hours.
Preheat the oven to 180C/160C Fan/350F and line 2 baking trays with baking paper.
Using a sharp knife cut the dough into slices about 1 cm thick and place them on your baking trays.
Bake in the oven for around 18-20 minutes, until they are just about turning a nice light golden colour.
Remove from the oven and leave to cool on the trays for a few minutes before putting on a wire rack to cool completely.",6,300 g (1 ⅓ cup) plain/all-purpose flour,200 g (¾ cup) butter,120 g (½ cup) golden caster sugar or caster sugar,1 egg,2 tsp vanilla extract,red food colour,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/valentines-hidden-heart-biscuits/,NA,NA,NA,NA,NA,NA,NA
Gingerbread reindeer cookies,cookingwithmykids,NA,NA,"Afternoon tea, Dessert, Snack","American, British",30 minutes,10 minutes,NA,40 minutes,Servings: 30,12,"Pre-heat your oven to 190C / 170C Fan / 375F fan and line 3 baking sheets with baking or parchment paper.
Measure the flour and add it to a large mixing bowl. Next, measure the butter and cut it into small pieces.Using your fingertips, rub the butter into the flour until the mixture resembles breadcrumbs.
Measure the sugar then add it into the flour mixture. Add the ginger and bicarbonate of soda and mix it all in. Use your finger to level the teaspoon  so that you add just the right amount.Mix it all in with a wooden spoon.
Measure out the golden syrup and add that to your bowl.Crack the egg into a separate bowl before adding it to your mixing bowl just in case any shell goes in. 
Mix everything together until you have a smooth dough. We started with wooden spoons, then once it was less messy, brought it together with our hands. Squeeze it together so it stops crumbling apart, and makes a nice ball of gingerbread dough.
The recipe makes quite a lot of dough so you might find it easier to divide the dough in half. Set one half aside until later. Then, on a lightly floured work surface get your kids to roll the other half of dough out until it is about 5mm thick.Try to rotate your dough in between rolls – so roll it out in one direction, then pick it up, rotate it by 90 degrees before rolling it again. This should stop it sticking too badly. You can add a little more flour under the dough in between rolls.
Cut out your gingerbread reindeer using a man shaped or round cookie cutter. Place them on your baking tray. You can use a palette knife to help lift them on if you like.Gather up any scraps and roll out again. Repeat with the remaining dough.
Bake your cookies in the oven for about 10-12 minutes. They're ready when they become a slightly darker shade. Remove them from the oven and leave them to cool slightly on their baking trays then gently pop them on a wire rack to cool completely.
If you have icing writers you can use them to ice on the antlers, and add a little dot where the nose should go before sticking down the red Smartie/chocolate drop.
If you don't have icing writers, you can mix up a little of your own icing. Measure in the icing sugar, then add a teaspoon or so of water and mix it together. You want it to be runny enough to pipe but no so runny that it won't hold it's shape once you pipe it. If you need to keep adding a little more icing sugar or a little more water until it's just the right consistency.
Add the icing to a piping bag or small freezer bag, seal it and cut a tiny hole in the corner. Add a little dot of icing and use that to stick down the nose and eyes. You can also pipe on antlers. If your kids are little and find drawing the antlers too difficult, you could do that while they take charge of the eyes and red nose.
Leave the reindeer cookies to set. Serve and enjoy!",11,350 g (3 cups) plain / all-purpose flour,1 tsp bicarbonate of soda,2 tsp ground ginger,100 g (½ cup) butter,175 g (1 cup) light muscovado sugar,4 tbsp golden syrup,1 large egg,Cooking With My Kids,https://www.cookingwithmykids.co.uk/gingerbread-reindeer-cookies/,Icing writers,1/2 cup icing sugar,Red smarties/chocolate drops,Icing googly eyes,NA,NA,NA
