title,author,date,rating,ratingnum,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Chocolate Peppermint Meringues,Sofi | Broma Bakery,"Dec 3, 2021",5,2,Cookies,10 minutes,1 hour,NA,2 hours and 10 minutes,NA,6,"Heat the chocolate in a microwave-safe bowl for 30 seconds, then stir. If it’s not melted completely, microwave it for another 15 seconds. Allow to cool slightly while you make your meringue.
Preheat oven to 275°F. Line 2 cookie sheets with parchment paper. Set aside.
In a stand mixer fitted with the whisk attachment, whip the egg whites on high speed until light and foamy. Slowly add in sugar, cream of tartar, and salt, and continue to whip until stiff peaks form and the sugar granules absorb completely. Add the peppermint extract and mix well.
Remove meringue from mixer, and spoon melted chocolate on top of the meringue. Do not mix (it will naturally swirl as you spoon it!).
Use 2 large spoons to scoop the meringue onto the lined cookie sheet. Clean your spoons between each scoop. Top with a sprinkle of crushed up candy canes.
Bake the meringues for 1 hour, then turn off your oven, open it a crack, and allow your meringues to dry out in the oven for an additional hour. Once dry and hollow sounding when tapped on the bottom transfer to a cooling rack. Enjoy!",7,"4 egg whites, room temperature",1 cup granulated sugar,1/4 teaspoon cream of tartar,1/2 teaspoon salt,1/4 teaspoon peppermint extract,"3 oz dark chocolate, chopped","5 candy canes, crushed",Broma Bakery,https://bromabakery.com/chocolate-peppermint-meringues/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marshmallow Stuffed Molasses Cookies,Sofi | Broma Bakery,"Dec 21, 2021",5,7,Cookies,15 minutes,11 minutes,NA,30 minutes,NA,10,"Preheat the oven to 350°F and line two cookie sheets with parchment paper. Set aside.
In a stand mixer fit with the paddle attachment, beat the butter and sugar together until light and fluffy, about 2 minutes.
Add the molasses and vanilla extract and mix until combined.
Add the egg. Beat well.
In a separate bowl, stir together the flour, baking soda, baking powder, 2 teaspoons of the cinnamon, ginger, cloves, nutmeg and salt.
Add the dry ingredients to the wet and beat until combined and no streaks of flour remain.
In a small bowl combine the cane sugar and remaining 2 teaspoons of Stonemill Ground Cinnamon to make cinnamon sugar. Set aside.
Use a medium size cookie scoop to scoop out a cookie. The dough will be soft and slightly sticky. Flatten out the dough in your palm and place a marshmallow in the center. Fold the dough up around the edges to form it into a ball.
Roll the cookies in cinnamon sugar and place two inches apart onto the prepared cookie sheets.
Bake for 11 minutes, or until the cookies have puffed up and crinkled and are set on the edges but still gooey in the middle. Allow to cool completely before using a spatula to transfer to a wire rack. Enjoy!",15,"3/4 cup Countryside Creamery Unsalted Butter, softened",3/4 cup Simply Nature Organic Light Brown Sugar,1/3 cup Baker’s Corner Original Molasses,2 teaspoons vanilla extract,1 egg,2 1/3 cups Baker’s Corner All Purpose Flour,1/2 teaspoon baking soda,Broma Bakery,https://bromabakery.com/marshmallow-stuffed-molasses-cookies/,1/4 teaspoon baking powder,"4 teaspoons Stomemill Ground Cinnamon, separated",2 teaspoons Stonemill Ground Ginger,1/2 teaspoon Stonemill Ground Cloves,1/4 teaspoon Stonemill Ground Nuteg,1/2 teaspoon salt,3/4 cup Simply Nature Organic Cane Sugar,16 Baker’s Corner Marshmallows (regular size),NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Caramel Shortbread Bars,Sofi | Broma Bakery,"Dec 10, 2020",4.5,2,Bars,10 minutes,30 minutes,NA,40 minutes,NA,6,"Preheat the oven to 350°F and line a 9 x 13 inch pan with parchment on all sides. Set aside.
In a food processor combine the flour, sugar, salt, and Vermont Creamery Cultured Butter. Pulse until just combined and the mixture forms a dough ball.
Press the dough into the prepared pan, using your hands to spread the dough into an even layer.
Bake at 350°F for 30 minutes or until just light golden brown. Take out of the oven and allow the bars to cool completely.
While the bars cool make the homemade caramel according to directions. Allow the caramel to come to room temperature before using!
Once the bars are cool use a spoon to drizzle the bars with caramel and chocolate. Pop the bars in the freezer for a few minutes or the fridge for a half hour to set. Once set, use a large sharp knife to cut into desired size rectangles. Enjoy!",6,1 1/4 cup Vermont Creamery Unsalted Cultured Butter,2 1/2 cups all purpose flour,2/3 cup granulated sugar,1/2 teaspoon salt,1/2 recipe of the best caramel,"4 ounces dark chocolate, melted",NA,Broma Bakery,https://bromabakery.com/chocolate-caramel-shortbread-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soft Pumpkin Cookies with Salted Maple Icing,Sofi | Broma Bakery,"Oct 23, 2025",5,20,Cookies,15 minutes,10 minutes,NA,55 minutes,NA,7,"In a large mixing bowl combine the melted butter, dried pumpkin puree and brown sugar. Whisk to combine.
Add the egg yolk, vanilla extract and maple extract and mix well.
Add the flour, baking soda, baking powder, salt, and cinnamon. Mix until a soft dough forms and no streaks of flour remain.
Cover the bowl with plastic wrap and place in the fridge for 10 minutes while the oven preheats.
Preheat the oven to 350° F and line a cookie sheet with parchment paper. Use a 1.5 ounce cookie scoop to scoop out balls of dough, dropping them 2 inches apart onto the prepared cookie sheet. Bake the cookies for 9 to 11 minutes or until they have puffed up and are set on the edges but are still slightly under baked in the middle. Do not over bake. Allow to cool.
While the cookies cool, make the frosting. In a small bowl combine all ingredients for the frosting. Use a whisk to mix together until completely smooth and glossy.
Once the cookies have cooled completely, frost with the frosting and top with chopped nuts if desired. Enjoy!",15,"1/2 cup unsalted butter, melted","1/3 cup pumpkin puree, thoroughly dried (see notes!)",1 cup packed light brown sugar,1 large egg yolk,1 teaspoon vanilla extract,1/2 teaspoon maple extract,1 1/2 cups all-purpose flour,Broma Bakery,https://bromabakery.com/soft-pumpkin-cookies-with-salted-maple-icing/,1/2 teaspoon baking soda,1/4 teaspoon baking powder,1/2 teaspoon salt,1/2 teaspoon ground cinnamon,1 cup powdered sugar,2 tablespoons milk,1 1/2 teaspoons maple syrup,1/4 teaspoon salt,NA,NA,NA,NA,NA,NA,NA,NA
Soft and Chewy Pumpkin Chocolate Chip Cookies,Sofi | Broma Bakery,"Oct 23, 2025",5,21,Cookies,15 minutes,10 minutes,NA,55 minutes,NA,8,"First, dry out the pumpkin. Place the pumpkin puree onto a thick paper towel (or cheesecloth). Carefully wrap the paper towel around the pumpkin and squeeze it over a small bowl to remove excess moisture. You should have about 1/4 cup of dried pumpkin left!
In a large bowl, combine the melted butter, brown sugar, and dried pumpkin puree. Mix to combine.
Add the egg yolk and vanilla extract. Mix well.
Add the flour, baking soda, baking powder, salt, cinnamon, and nutmeg. Stir until just combined and no streaks of flour remain. Add the chocolate chips and use a rubber spatula to fold them into the batter.
Cover the bowl with plastic wrap and place in the fridge for 30 minutes to chill.
While the cookie dough chills, preheat the oven to 350°F and line a cookie sheet with parchment paper. Set aside.
Once the dough has chilled, use a 1 ½ ounce cookie scoop to portion out equal amounts of dough. Place the dough balls 2 inches apart on the prepared cookie sheet and bake for 9 to 10 minutes or until the edges are set and the cookies have puffed up, but the middles are still somewhat soft in the midle.
Allow to cool before eating!",12,"1/3 cup pumpkin, drained and squeezed (see recipe)","1/2 cup unsalted butter, melted",1 cup packed light brown sugar,1 large egg yolk,2 teaspoon vanilla extract,1 1/2 cups all-purpose flour,1/2 teaspoon baking soda,Broma Bakery,https://bromabakery.com/soft-and-chewy-pumpkin-chocolate-chip-cookies/,1/4 teaspoon baking powder,1/4 teaspoon salt,2 teaspoons cinnamon,1/4 teaspoon nutmeg,2/3 cup semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foolproof Macaron Recipe (Step by Step!),Sarah | Broma Bakery,"Jan 20, 2026",4.8,96,Cookies,30 minutes,15 minutes,NA,2 hours,NA,12,"Preheat the oven to 300°F. Line two baking sheets with parchment paper. Set aside.
Heat a small pot of water over medium-low heat until it steams. In the bowl of a stand mixer, combine egg whites and roughly 3 tablespoons of the granulated sugar. Place bowl over steaming pot, creating a double boiler.
Whisk egg whites and sugar continuously until sugar melts completely and egg whites become white and frothy, about 1 minute. Remove from heat and place the bowl back onto the stand mixer.
Fit stand mixer with whisk attachment and whisk on high speed while slowly adding in the remaining granulated sugar. Add the food coloring (if using). Continue to whisk for another 3-4 minutes, until stiff meringue peaks form. Congratulations, you just made a Swiss meringue!
Next, sift together the almond flour, powdered sugar, and salt twice, then gently shake the mixture into the meringue bowl.
Place the bowl back onto a stand mixer, still fitted with a whisk attachment. Turn the mixer to medium speed and whisk for 5 seconds (just enough to combine the almond flour mixture with the egg whites).
Stop the mixer and use a large spatula to hand-mix the batter for the remainder of your mixing. You’ll want to gently fold the mixture with your spatula, scooping up the batter from the outside of the bowl and gently twisting it into the center in a circle-like manner. You’ll know to stop mixing when you can make a figure-eight out of the dripping batter without the batter breaking. If you cannot yet make a figure-eight, repeat the process if necessary, and try the figure-eight again. The best way to describe the perfect consistency is like slow moving lava. It should give, but only slightly, like in slow-motion.
Once your batter is the correct consistency, scoop it into a large pastry bag fitted with a 1 inch tip. Pipe silver dollar-sized circles onto prepared baking sheets, keeping about 1.5 inches between each meringue. Bang baking sheet on counter two times to remove any air bubbles. Sprinkle tops with a little sea salt as a garnish.
Let the macarons air dry for 15 to 30 minutes or until dry to the touch. Just pop them into the prepared oven for 13 minutes, turning around halfway through, then allow to cool completely before removing from baking sheets.
While the macarons are cooling, make the filling. Combine all filling ingredients in a bowl and use an electric mixer to beat until fluffy and fully combined, about 2 minutes.
Scoop mixture into a piping bag fitted with a 1/2 inch tip and set aside until ready to assemble the macarons.
Once the macarons are completely cool to the touch, pipe the filling onto a macaron and sandwich with another macaron. Repeat with all macarons.",11,100g egg whites,100g granulated sugar,100g almond flour,100g powdered sugar,Pinch salt,Food coloring (optional),"6 tablespoons unsalted butter, room temperature",Broma Bakery,https://bromabakery.com/foolproof-macaron-recipe-step-by-step/,2 cups powdered sugar,1 tablespoon milk,1 teaspoon vanilla extract,pinch of salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samoa Macaroons,Sofi | Broma Bakery,"Jun 10, 2024",5,2,Cookies,30 minutes,11 minutes,NA,41 minutes,NA,8,"Fit a stand mixer with the whisk attachment. Make sure that bowl is clean and completely dry before placing the egg whites in. Beat on low speed, gradually increasing to high and beating until light and stiff peaks form.
In a separate, small bowl combine the caramel sauce, sweetened condensed milk, flour, and vanilla extract. Whisk until and completely combined and smooth.
Use a rubber spatula to fold the caramel and milk mixture into the egg whites. As you fold, scrape down the sides of the bowl, repeatedly folding the mixture over itself to evenly incorporate the caramel and milk into the egg whites without deflating them. Repeat until no streaks of unmixed egg whites remain.
Last, fold in the coconut.
Use a 2 ounce cookie scoop to scoop out the macaroons 2 inches apart onto a cookie sheet lined with parchment paper.
Bake the cookies at 325° for 12 minutes or until the macaroons are brown on the top flakes of coconut and sound hollow in the middle.
If dipping in chocolate, place the chopped chocolate and coconut oil in a small microwave safe bowl and microwave in 30 second increments, stirring in between each, until fully melted.
Dip the bottom of each macaroon in the chocolate and place on parchment paper or wax paper to set. Repeat with the remaining macaroons. Drizzle the tops with the leftover chocolate and allow to set completely before serving!",8,2 egg whites,1/2 cup caramel,1/2 cup sweetened condensed milk,2 teaspoons vanilla extract,14 ounces sweetened shredded coconut,2 Tablespoons flour,"6 ounces semisweet chocolate, finely chopped",Broma Bakery,https://bromabakery.com/samoa-macaroons/,1 teaspoon coconut oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreo Stuffed Funfetti Cookies,Sofi | Broma Bakery,"Aug 31, 2020",5,6,Cookies,15 min,13 min,NA,18 min,NA,6,"In a stand mixer fit with the whisk attachment, beat the room temperature butter, brown sugar and white sugar until light and fluffy, about 3 minutes.
Scrape down the bowl and add the vanilla extract, almond extract, egg and egg yolk. Beat until completely combined, about 1 minute.
Add the flour, baking soda, and salt and beat until just combined. Take the bowl off of the stand mixer, scrape down the sides, and add the rainbow sprinkles. Fold the dough to even distribute the sprinkles.
Use a 2 ounce cookie scoop to scoop out dough balls 2 inches aparet onto 2 cookie sheets lined with parchment paper. Take each ball and flatten it between your palms. Place one Oreo cookie in the middle and fold the dough around the Oreo. Roll the dough between your hands to create a round ball. Repeat with the remaining cookies.
Place the trays in the fridge to set for at least an hour or overnight. When ready to bake the cookies, preheat the oven to 350°F. Bake the cookies fro 11 to 13 minutes or until the edges are set but the centers are still gooey.
Allow the cookies to cool before eating!",11,"3/4 cup unsalted butter, room temperature",2/3 cup brown sugar,2/3 cup white sugar,1 teaspoon vanilla extract,1/2 teaspoon almond extract,"1 egg + 1 egg yolk, room temperature",2 1/4 cups all purpose flour,Broma Bakery,https://bromabakery.com/oreo-stuffed-funfetti-cookies/,3/4 teaspoon baking soda,1/2 teaspoon salt,1/2 cup rainbow sprinkles,12 Oreo cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ice Cream Cookie Sandwiches,Sofi | Broma Bakery,"Jul 13, 2021",5,1,Cookies,1 hour,12 minutes,NA,8 hours,NA,8,"Line a 9 x 13 pan with parchment paper on plastic wrap. Spoon the softened ice cream into the pan, smoothing it into an even layer. Place the pan in the freezer to freeze for at least 4 hours or until ready to assemble cookies.
In a large mixing bowl combine the melted butter, brown sugar, and white sugar. Beat until mixed together. Add in the egg, egg yolk, and vanilla extract. Mix well.
In separate bowl mix together the flour, salt and baking soda. Mix the dry ingredients into the wet until everything comes together. Last, fold in the chocolate chips. Do not over mix.
Refrigerate the cookie dough for at least a half hour, or overnight.
When you are ready to bake the cookies, preheat the oven to 350°F and line a cookie sheet with parchment paper. Use a 1 ounce cookie scoop to scoop the cookie dough out into balls, placing them 2 inches apart on the prepared sheet. Bake for 11 minutes, or until the edges are just golden brown and the centers have puffed up but are still under baked and gooey.
Place the cookies in the freezer to cool completely.
When ready to assemble the sandwiches, use a 3 inch round cookie cutter to cut out rounds of ice cream, sandwiching the ice cream in between two cookies. Press the sandwich together firmly to get the ice cream round to stick to the cookies. If desired, roll the edges of each cookie in more mini chocolate chips
Place back in the freezer to chill for at least 2 hours or overnight to set up. Allow the cookies sandwiches to thaw slightly before serving!",11,1/2 gallon vanilla ice cream,"3/4 cup unsalted butter, melted","1 cup brown sugar, packed",1/4 cup granulated sugar,"1 egg + 1 egg yolk, room temperature",1 tablespoon vanilla extract,2 cups all purpose flour,Broma Bakery,https://bromabakery.com/ice-cream-cookie-sandwiches/,3/4 teaspoon baking soda,1 teaspoon salt,1 cup semisweet chocolate chips,2/3 cup mini chocolate chips + more for rolling the sides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reese’s Cookies,Sofi | Broma Bakery,"Jul 15, 2021",4.6,5,Cookies,15 minutes,12 minutes,NA,1 hour,NA,6,"Unwrap the Reese’s cups and place in the freezer while you make the cookie dough. This will help them to hold their shape and not dissolve into the cookies!
In a large mixing bowl combine the melted butter, brown sugar, and white sugar. Beat until mixed together. Add in the egg, egg yolk, and vanilla extract. Mix well.
In a separate bowl mix together the flour, salt and baking soda. Mix the dry ingredients into the wet until everything comes together. Fold in the chocolate. Do not over mix.
Use a 2 ounce cookie scoop to scoop out balls of cookie dough. Flatten the ball out in your palm and place a whole Reese’s cup in the center. Fold the cookie dough up around the Reese’s to completely cover it, rolling it back into a round ball. Refrigerate the cookie dough balls for at least a half hour, or overnight if desired.
When you are ready to bake the cookies, preheat the oven to 350°F and line a cookie sheet with parchment paper. Place the cookies 2 inches apart on the prepared sheet. Bake for 12 minutes*, or until the edges are just golden brown and the centers have puffed up but are still gooey.
Allow to cool before eating!",10,"3/4 cup unsalted butter, melted","1 cup brown sugar, packed",1/4 cup granulated sugar,"1 egg + 1 egg yolk, room temperature",1 tablespoon vanilla extract,1 3/4 cup all purpose flour,3/4 teaspoon baking soda,Broma Bakery,https://bromabakery.com/reeses-chocolate-chip-cookies/,1 teaspoon sea salt + more for sprinkling,1 1/4 cup semi sweet chocolate chips,12 Reese's Peanut Butter Cups*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Marshmallow Cookies,Sofi | Broma Bakery,"May 13, 2025",4.7,16,Cookies,10 minutes,12 minutes,NA,22 minutes,NA,4,"Preheat your oven to 350°F. Line a baking sheet with parchment paper and set aside.
In a stand mixer fit with paddle attachment, cream the butter and sugars together until the mixture becomes light and airy, about 2 minutes. Scrape down the bowl and add in the egg and vanilla, beating until well combined.
In another bowl, sift together the flour, cocoa powder, espresso powder, baking soda, and salt. Next, add the dry ingredients into the butter mixture, stirring until just combined. Gently fold in the chocolate chips, being careful not to over mix the dough.
Spoon about 1/4 of the fluff into the batter and fold once or twice. You fluff will get marbled and incorporate into the dough when you scoop the cookies out, so you want to make sure not to over mix the fluff in. Use a large cookie scoop to scoop out about 1 inch cookie dough spheres around the areas of the dough that has fluff in it. Place the cookies on the prepared cookie sheet about 2 inches apart. Continue to add in the marshmallow fluff in increments every few cookies to make sure each cookie has a good amount of fluff without over incorporating the fluff. Bake for 10-12 minutes, being sure to keep an eye on the bake as every oven is different. The key is a soft center, but a firmer edge. Let cool on a rack for 10 minutes before serving.
Devour.",12,"1/2 cup unsalted butter, room temperature","1/3 cup light brown sugar, packed",1/3 cup granulated sugar,"1 large egg, room temperature",1 1/3 cups all-purpose flour,1/2 teaspoon espresso powder,1/3 cup Dutch processed cocoa powder,Broma Bakery,https://bromabakery.com/chocolate-marshmallow-cookies/,1/2 teaspoon baking soda,1 teaspoon vanilla,1/2 teaspoon salt,1 cup chocolate chips,1/2 cup marshmallow fluff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Icebox Cookies,Sofi | Broma Bakery,"Aug 3, 2021",5,1,Cookies,10 minutes,10 minutes,NA,20mins,NA,6,"In a stand mixer fit with the paddle attachment combine the butter, brown sugar, and granulated sugar, beating until light and fluffy, about 2 minutes. Scrape down the bowl.
Add the egg yolks and vanilla extract and beat until fully incorporated.
In a separate bowl, combine the flour, baking powder, and salt. Mix to combine.
Add the dry ingredients to the wet and beat until combined and no streaks of flour remain. Last, add in the chopped chocolate.
Divide the dough in half and roll each piece into a cylindrical log, about 1 ½ inches diameter. Wrap in plastic wrap and place in the freezer for at least an hour (or freeze for up to 3 months).
When ready to bake, preheat the oven to 350°F and line a baking sheet with parchment paper. Use a very sharp thin knife to slice off ¼ inch thick cookies. Slice off as many as you want for the moment and rewrap and place the remainder of the dough back in the freezer. Bake the cookies for about 10 minutes, or until the edges are set and light golden brown. Allow to cool before enjoying with a glass of milk.",9,1 3/4 cup all purpose flour,1/2 teaspoon baking powder,1/2 teaspoon salt,"3/4 cup unsalted butter, room temperature",1/2 cup brown sugar,1/4 cup granulated sugar,2 egg yolks,Broma Bakery,https://bromabakery.com/easy-icebox-cookies/,2 teaspoons vanilla extract,"1 cup bittersweet chocolate, finely chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Best Chewy Peanut Butter Cookies,Sofi | Broma Bakery,"Jan 16, 2024",4.9,34,Cookies,10 minutes,12 minutes,NA,22mins,NA,5,"Preheat the oven to 350°F and line a baking sheet with parchment paper. Set aside.
In a stand mixer fit with the paddle attachment, beat the softened butter, peanut butter, white sugar and brown sugar together until light and fluffy.
Scrape down the bowl and add the egg, egg yolk and vanilla extract. Mix well.
In a separate bowl sift together the flour, baking soda, and salt. Add the dry ingredients to the wet ingredients and mix until just combined.
Pour some extra granulated sugar into a small bowl. Using a cookie scoop, scoop the dough out into 1 inch balls, rolling them in the granulated sugar first before dropping them 2 inches apart on the prepared cookie sheet. Bake at 350°F for 12 minutes or until the cookies have puffed up and are set on the edges, but are still gooey in the middle. Allow to cool completley before eating!",9,"1/4 cup unsalted butter, room temperature",3/4 cup creamy natural peanut butter,1/4 cup white sugar + more for rolling,1 cup brown sugar,1 egg + 1 egg yolk,2 teaspoons vanilla extract,1 cup all purpose flour,Broma Bakery,https://bromabakery.com/chewy-peanut-butter-cookies/,3/4 teaspoon baking soda,1 teaspoon sea salt (plus more for sprinkling the tops),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Potato Chip Chocolate Chip Cookies,Sofi | Broma Bakery,"Jun 16, 2020",4.5,2,Cookies,20 minutes,12 minutes,NA,32mins,NA,6,"Brown the butter over medium heat, stirring constantly until the butter begins to foam and turns a golden brown, emitting a nutty aroma. Make sure you only brown the butter lightly. When butter browns the liquid evaporates off which can dry out your dough. As soon as the butter starts to turn brown and smell nutty, take it off the heat to prevent any more liquid from escaping. Take butter off the heat and allow to cool.
In a large mixing bowl combine the cooled brown butter, brown sugar, and white sugar. Beat until mixed together. Add in the egg, egg yolk, and vanilla extract. Mix well.
In separate bowl mix together the flour, salt and baking soda. Mix half the dry ingredients into the wet until everything comes together. Slowly add in the remaining flour a little bit at a time, stopping if the dough starts to get too dry.* Fold in the chocolate and the crushed potato chips. Do not over mix.
Use a 1 ounce cookie to scoop the cookie dough into balls. Refrigerate the cookie dough for at least a half hour, or overnight.
When you are ready to bake the cookies, preheat the oven to 350°F and line a cookie sheet with parchment paper. Place the chilled cookie dough balls 2 inches apart on the prepared sheet. Bake for 11 minutes*, or until the edges are just golden brown and the centers have puffed up but are still gooey.
Sprinkle with sea salt. Allow to cool before eating!",10,3/4 cup unsalted butter,"1 cup brown sugar, packed",1/4 cup granulated sugar,"1 egg + 1 egg yolk, room temperature",1 tablespoon vanilla extract,1 3/4 cup all purpose flour,3/4 teaspoon baking soda,Broma Bakery,https://bromabakery.com/potato-chip-chocolate-chip-cookies/,1 teaspoon sea salt + more for sprinkling,"1 1/2 cups semi sweet chocolate, chopped","1 cup potato chips, lightly crushed (we used Lay's)*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robin’s Egg Macarons,Sofi | Broma Bakery,"Jun 22, 2020",4.8,4,Cookies,20 minutes,10 minutes,NA,30 minutes,NA,11,"Preheat oven to 300°F. Line two baking sheets with parchment paper. Set aside.
Heat a small pot of water over medium heat until it steams. In the bowl of a stand mixer, combine egg whites and granulated sugar. Place bowl over steaming pot, creating a double boiler.
Whisk egg whites and sugar until sugar melts completely and egg whites become white and frothy, 1 to 1.5 minutes. Remove from heat and place bowl back onto standing mixer.
Fit stand mixer with whisk attachment and whisk on high speed for 2-3 minutes, until stiff peaks form. Congratulations, you just made a Swiss meringue!
Sift together almond flour and powdered sugar, then gently shake into meringue bowl. Add in the blue and pink food coloring.
Place bowl onto stand mixer fitted with a whisk attachment. Turn mixer to medium speed and whisk for 10 seconds. Adjust the food coloring as needed, but do not over mix the batter.Stop mixer and use a spatula to scoop up some of the batter. If you can make a figure-eight with the dripping batter without the batter breaking, you can stop. But most likely you will need another 3-5 seconds. So repeat process, and try the figure-eight again. The best way to describe the perfect consistency is like slow moving lava. It should give, but only slightly, like in slow-motion.
Once your batter is the correct consistency, scoop it into a large pastry bag fitted with a 1 inch tip. Pipe silver dollar-sized circles onto prepared baking sheets, keeping about 1.5 inches between each meringue. Bang baking sheet on counter 3 times to remove any air bubbles.
In a small bowl combine a few drops of brown food coloring with a little bit of water. Use a dry brush to splatter the macarons lightly to create the faux robin’s egg blue. No need to let the macarons dry, just pop them into the prepared oven for 13 minutes, turning around halfway through, then allow to cool completely before removing from baking sheets.
While the macarons are baking, make the buttercream. Cream the butter in a standing mixer fitted with a whisk attachment.
Add in the powdered sugar, cocoa powder, milk, vanilla extract, and salt. Beat for 60 seconds, until the frosting is nicely whipped. If the frosting is too dry, add in another teaspoon of milk.
Scoop mixture into a piping bag fitted with a ½ inch star tip. Once the macarons have cooled completely, pipe the buttercream around the bottom half of the macarons. Sandwich with another macaron. Repeat with all macarons.",12,100g egg whites,100g granulated sugar,100g almond flour,100g powdered sugar,1 drop blue food coloring,1/2 drop pink food coloring,5 drops brown food coloring + 1/2 teaspoon water,Broma Bakery,https://bromabakery.com/robins-egg-macarons/,"4 Tablespoons unsalted butter, room temperature",1/4 cup cocoa powder,1 cup powdered sugar,2-3 teaspoons milk,pinch salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soft Snickerdoodles,Sarah | Broma Bakery,"Jan 4, 2024",4.9,15,Cookies,10 minutes,12 minutes,NA,22mins,NA,5,"Preheat oven to 350°F. Prepare a baking sheet with either parchment paper or oil. Set aside.
In the bowl of stand mixer fitted with the whisk attachment, combine the softened butter, granulated sugar, and brown sugar and beat until light and fluffy, about 3 minutes. Add in the egg and egg yolk, whisking until the mixture turns slightly lighter in color. Add the greek yogurt and vanilla extract and mix until combined.
In a separate bowl combine the salt, baking soda, cream of tartar, and flour. Stir together the dry ingredients and then add to the wet ingredients. Mix until just combined. The mixture will be wet, but this is totally normal.
Combine sugar, cinnamon and salt in a small bowl. Roll 2 tablespoons of batter into a ball, then dip completely in cinnamon sugar. Place on prepared baking sheet, leaving at least 1.5 inches between each cookie. Repeat with remaining cookies.
Bake for 12-14 minutes, until the cookies have started to wrinkle but are still pale in color (NOT golden brown!). Remove from oven and let sit on baking sheet for 10 minutes (they will continue to cook as they cool). Enjoy with a glass of cold milk!",12,1/2 cup granulated sugar,4 teaspoons ground cinnamon,"1/2 cup (1 stick) unsalted butter, at room temperature",1/2 cup granulated sugar,1/3 cup packed light brown sugar,"1 large egg + 1 large egg yolk, at room temperature",1 tablespoon plain Greek yogurt (or sour cream),Broma Bakery,https://bromabakery.com/soft-snickerdoodles/,1 teaspoon vanilla extract,1 1/2 cups all-purpose flour,1 teaspoon cream of tartar,1/4 teaspoon baking soda,1/2 teaspoon salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Butter Toffee Chocolate Chip Cookies,Sofi | Broma Bakery,"Dec 12, 2023",4.9,23,Cookies,15 minutes,15 minutes,NA,30mins,NA,4,"In a heavy bottomed saucepan heat butter over medium heat to brown it, stirring constantly until the butter begins to foam and turns a golden brown, emitting a nutty aroma. Take butter off the heat and allow to cool completely before using
In a large mixing bowl, combine the cooled brown butter, brown sugar and white sugar, whisking until combined. Add the egg, egg yolk and vanilla. Mix well. Add the flour, baking soda and salt, folding until just combined . Carefully fold in the chocolate and toffee pieces.
Allow the dough to chill for at least an hour or overnight.
When you are ready to bake the cookies, preheat the oven to 350°F and line 2 cookie sheets with parchment paper. Scoop out the cookies using a 1 ounce cookie scoop and place the balls 2 inches apart on prepared cookie sheets. Bake for 12 to 14 minutes or until the edges are golden brown, but the center is still gooey. Allow to cool before devouring!",10,"3/4 cup unsalted butter, lightly browned and cooled","1 cup brown sugar, packed",1/3 cup granulated sugar,"1 egg and 1 egg yolk, room temperature",1 tablespoon vanilla extract,1 teaspoon sea salt,1 3/4 cup flour,Broma Bakery,https://bromabakery.com/brown-butter-toffee-chocolate-chip-cookies/,1/2 teaspoon baking soda,"8 ounce dark chocolate, chopped","1/2 cup toffee, roughly chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
