title,author,date,rating,ratingnum,cuisine,course,categories1,keyword,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,source,link,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25
Easy Apricot Cookie,Jessica & Nellie,"September 9, 2022",5,1,American,"Cookies, Dessert",Home_Cookies with Fruit,Keyword: Easy Apricot Cookie,10 minutes,10 minutes,NA,20 minutes,NA,6,"Prep: Start by preheating the oven to 375°F. Then, line a cookie sheet with parchment paper or a silicon mat and set aside.
Cookie dough: In large bowl, mix together the dry cookie mix, softened butter, orange extract and egg until soft dough forms. Next, stir in the dried apricots pieces until blended.
Proceed to drop cookie dough by rounded teaspoonfuls, 2 inches apart, on the parchment lined cookie sheet.
Bake: Place the cookies in the preheated oven and bake 8 to 10 minutes or until edges are light golden brown. Let the cookies cool for about 3 minutes, then remove them from the cookie sheet and move to a wire rack. Cool completely, for about 15 minutes.
Chocolate dip: After the cookies have cooled, in small microwavable bowl, heat the chocolate chips (uncovered) on high for 1 to 2 minutes, stirring every 30 seconds, until the chips are completely melted.
Then, dip each cookie halfway into the melted chocolate, letting excess drip off. Place them on parchment paper and let sit until chocolate is set, about 1-2 hours. Or you can set them in the refrigerator for about 15 minutes for a faster setting process. Serve and enjoy!",6,1 1 lb 1.5 oz Betty Crocker sugar cookie mix,½ cup butter or margarine softened,¼ teaspoon orange extract,1 egg,1 cup dried apricots chopped,Family Cookie Recipes,https://familycookierecipes.com/easy-apricot-cookies/,1 12 oz package dark chocolate chips (2 cups),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Pudding Cookies,Jessica & Nellie,"September 7, 2022",5,2,American,Cookies,Home_Pumpkin Cookies,Keyword: pumpkin pudding cookies,10 minutes,10 minutes,NA,20 minutes,NA,6,"Preheat oven to 375°F. Line a cookie sheet with parchment and set aside.
Cream together sugar and butter. Add egg, yogurt, milk and pudding mix.
Add flour, salt & baking soda, mixing until smooth.
Stir in white chocolate chips.
Drop by rounded tablespoonfuls onto greased cookie sheet.
Bake at 375 for 10 minutes. Transfer to a cooling rack and enjoy!",10,1 cup sugar,½ cup softened butter,1 egg,½ cup vanilla yogurt or milk,2 TBSP milk,Family Cookie Recipes,https://familycookierecipes.com/pumpkin-pudding-cookies/,3.4 oz pumpkin spice pudding mix,½ tsp. salt,½ tsp. baking soda,2 cups flour,12 oz white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biscoff Chocolate Chip Cookies,Jessica & Nellie,"September 2, 2022",NA,NA,American,Cookies,Home_Easy Cookie Recipes,Keyword: Biscoff Chocolate Chip Cookies,10 minutes,10 minutes,NA,NA,28 cookies,5,"Beat together the softened butter, brown sugar and granulated sugar until pale and creamy using a stand mixer with flat beater attachment or electric hand held beaters. Make sure to beat at least 2-3 minutes.
Add the Biscoff spread, egg and vanilla extract and beat until well combined, scraping the sides of the bowl as necessary.
Add the flour and baking soda and mix until just combined. Stir through the chocolate chips and chopped Biscoff cookies. Transfer to the fridge to chill for at least 30 minutes.
Once the dough has chilled, preheat oven to 325°F. Line 2 baking sheets with parchment paper.
Use a cookie scoop (1 tablespoon) to scoop spoonfuls of dough and place on the baking sheets. Bake for 10-12 minutes, or until lightly golden. Allow to cool on baking sheets completely before serving.",10,½ cup butter softened,½ cup brown sugar,½ cup granulated sugar,⅓ cup Biscoff spread,1 egg,Family Cookie Recipes,https://familycookierecipes.com/biscoff-chocolate-chip-cookies/,1 teaspoon vanilla extract,1 ½ cups all purpose flour,½ teaspoon baking soda,1 cup semi-sweet chocolate chips,8 Biscoff cookies roughly chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacon Wrapped Oreo,Jessica & Nellie,"September 2, 2022",NA,NA,American,"Appetizer, Dessert, Snack, treat",Home_Unique Cookies,Keyword: Bacon Wrapped Oreo,10 minutes,8 minutes,NA,18 minutes,NA,3,"Prep: In a small mixing bowl, combine the brown sugar, garlic powder, onion powder, paprika, fine salt, and ground black pepper. Make sure all the ingredients are well mixed.
Assemble: Then, take one Oreo cookie and wrap it with one piece of bacon. The bacon will stay wrapped in place if it is a whole strip. Next, place the bacon-wrapped Oreo in the bowl of seasoning mixture and press to cover all the bacon with the sugary seasoning mixture. Turn it over and press on all the bacon surfaces.
Place the bacon-wrapped Oreos inside the air fryer basket, make sure there is a space between the cookies. Proceed to cook at 300ºF for 8 minutes, remove when done and let cool for 5 minutes. Note: Depending on the size of your air fryer, you may need to work in batches. Serve warm and enjoy!",8,4 tbsp Brown sugar,¼ tsp Garlic powder,¼ tsp Onion powder,¼ tsp Paprika,¼ tsp Salt,Family Cookie Recipes,https://familycookierecipes.com/bacon-wrapped-oreos/,⅛ tsp Pepper,12 Oreo cookies,12 Bacon strips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Gingersnap Cookies,Jessica & Nellie,"September 1, 2022",5,2,American,"Cookies, Dessert",Home_Pumpkin Cookies,Keyword: Soft Pumpkin Gingersnap Cookies,15 minutes,10 minutes,NA,25 minutes,NA,6,"Cookie dough: In the bowl of a stand mixer or using an electric handheld mixer, beat the softened butter and sugar together until creamy and smooth. Then, add in the pure pumpkin, molasses, egg, and vanilla extract, mix until well combined.
After that, in a separate medium bowl, whisk together the flour, baking soda, cinnamon, ginger, ground cloves and salt. Proceed to add the dry ingredients to wet ingredients and mix until combined.
Chill: The dough will be fairly sticky, so be sure to REFRIGERATE the cookie dough for at least 1 hour. The dough can be chilled for 2-3 days. I personally think these cookies taste better after the dough has sat in the fridge for a day to allow the flavors to meld!
Bake: When you are ready to bake the cookies, preheat oven to 350 degrees F. Then, line a baking sheet with parchment paper or a silicon mat. Also, place some sugar in a small bowl.
Proceed to roll tablespoon-sized balls of dough and then roll them in the bowl of sugar until well coated, place them on the prepared baking sheet, about 2 inches apart. I like to use Turbinado sugar, it is coarse so the granules of the sugar stand out more. But regular sugar also works well too.
Place the cookie sheet in the preheated oven and bake for 10-12 minutes, or until cookies look cracked and set at the edges. The cookies will still be soft so let them cool on the baking sheet for 2-3 minutes after removing them from the oven, then transfer to a wire rack to cool completely. Serve and enjoy!",12,½ cup butter room temperature,1 cup granulated sugar plus more for rolling the cookies,½ cup pure pumpkin,¼ cup molasses,1 large egg,Family Cookie Recipes,https://familycookierecipes.com/pumpkin-gingersnap-cookies/,1 tsp vanilla,2 ⅓ cups all-purpose flour,2 tsp baking soda,2 tsp cinnamon,1 ½ tsp ground ginger,1 tsp ground cloves,½ tsp salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M&M Cookie Pizza Recipe,Jessica & Nellie,"August 26, 2022",NA,NA,American,Desserts,Home_Candy Cookies,Keyword: M&M Cookie Pizza,10 minutes,20 minutes,NA,NA,8 servings,10,"Preheat the oven to 350°. Prepare an 8 inch cast-iron skillet with parchment paper.
In a small bowl, whisk together the flour, baking powder, and salt.
In a mixing bowl, beat together the melted butter and sugars. Add the egg and vanilla, beating until well blended.
Add the flour to the sugar mixture and mix until combined.
To the batter, stir in ¾ cup of the candies.
Press the dough into the prepared skillet.
Bake the cookie for 15 to 20 minutes or until the edges are lightly golden brown and the top of the cookie is set. Place the skillet on a wire rack and let it cool for 10 minutes.
To melt the chocolate, place the milk chocolate morsels into a microwave-safe bowl. Heat on high for 30 seconds. Stir well and repeat for 15 seconds, stirring after each heating cycle, until the chocolate is melted.
Spread the melted chocolate over the cookie and press the remaining M&Ms into the chocolate.
Let the cookie pizza rest for 15 to 20 minutes or until the cookie is completely cooled and the chocolate is set.",10,1 cup all purpose flour,½ teaspoon baking powder,¼ teaspoon salt,¼ cup butter melted,¼ cup packed brown sugar,Family Cookie Recipes,https://familycookierecipes.com/mm-cookie-pizza/,2 tablespoons sugar,1 egg,1 teaspoon vanilla extract,1 cup M&M Milk Chocolate candies divided,¼ cup milk chocolate morsels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Sprinkle Cookies,Jessica & Nellie,"August 25, 2022",NA,NA,American,"chocolate, Cookies, Dessert",Home_Chocolate Cookies,Keyword: Chocolate Sprinkle Cookies,15 minutes,30 minutes,NA,45 minutes,12 cookies,7,"Prep: Preheat the oven to 350 degrees F and spray two baking sheets with nonstick cooking spray or use silicon mats. Set the prepared baking sheets aside until needed.
Make dough: In the bowl of a stand mixer, fitted with the paddle attachment, or in a large mixing bowl with an electric mixer, beat together the butter and both sugars until light and fluffy. This should take about 3-4 minutes. Add in the egg and the vanilla extract. Beat again for another minute until combined.
In a separate small bowl, whisk together the dry ingredients: flour, cocoa powder, baking soda, and salt. Add the flour mixture to the wet butter mixture and mix on low speed until just combined. Be careful to not overmix, stir until just combined and no white flour is showing.
Scoop & Sprinkle: Use a 1 tablespoon-sized cookie scoop or measuring spoon to scoop out the dough and then roll it into balls.
Pour the sprinkles into a small bowl, then roll the cookie doughballs into the sprinkles until well covered. Place the cookie dough onto your prepared baking sheet.
Bake: Bake the cookies in the preheated oven for 11-13 minutes or until the edges of the cookies look firm.
Remove the cookies from the oven and allow them to cool for 10 minutes. Transfer to a wire rack to finish cooling completely. Serve immediately and enjoy!",10,"½ cup unsalted butter 1 stick, room temperature",½ cup brown sugar loosely packed,½ cup granulated sugar,1 large egg,1 tsp vanilla extract,Family Cookie Recipes,https://familycookierecipes.com/chocolate-sprinkle-cookies/,1 cup all-purpose flour scoop and level method,½ cup cocoa powder,½ tsp baking soda,¼ tsp salt,½ cup sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICED GINGER MOLASSES COOKIES,Jessica & Nellie,"August 24, 2022",5,2,American,"Cookies, Dessert, treat",Home_Christmas Cookies_Gingerbread Cookies,Keyword: ICED GINGER MOLASSES COOKIES,15 minutes,10 minutes,NA,25 minutes,24 cookies,8,"Cookie dough: In a medium size bowl, mix together the flour, salt, baking soda, ginger, ground cloves, and ground cinnamon, whisk to combine and set aside.
In a separate bowl, using an electric handheld mixer or stand mixer, cream together the unsalted butter and light brown sugar. Add in the egg and molasses. Blend well to combine.
Add the dry mixture to the wet mixture and stir well to combine. Make sure to scrape down the sides of the bowl as needed.
Chill the dough in the fridge for 1 hour, this will help the amazing flavors develop and deepen.
Icing: While the dough is chilling, prepare the icing for the cookies. In a medium size bowl, combine the powder sugar, cinnamon, almond extract, and heavy cream, mix until smooth. If needed, add a little heavy cream, mixing until the desired consistency has been achieved. Let sit until you are ready to top the cookies.
Bake: Preheat the oven to 350 degrees F. Line two baking sheets with parchment paper. Remove the dough from the fridge and scoop into balls that are about 1 ½ inches – 2 inches. Place the dough balls onto the prepared cooking sheets at least 2 inches apart from each other.
Place the cookies in the preheated oven and bake for 8-10 minutes. The cookies will be slightly firm to the touch and look like they are beginning to crack when they are done.
Cool & Assemble: Allow your baked cookies to cool on a pan for a few minutes before transferring them to a cooling rack. Once the cookies have cooled, top each one with icing by using a butter knife. Allow the icing to sit on the cookies for 5 minutes to set before serving. Serve immediately and enjoy!",15,2 ½ cup all-purpose flour,¼ tsp salt,2 tsp baking soda,½ TBSP ground ginger,1 tsp ground cinnamon,Family Cookie Recipes,https://familycookierecipes.com/iced-ginger-molasses-cookies/,½ tsp ground cloves,¾ cup unsalted butter room temperature,1 cup light brown sugar,1 large egg,½ cup molasses,3 cup powder sugar,3 TBSP heavy whipping cream,1 TBSP ground cinnamon,⅛ tsp almond extract,Dash salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dirt Cake Cookies,Jessica & Nellie,"August 19, 2022",NA,NA,American,"chocolate, Cookies, Dessert",Home_Birthday Cookies,Keyword: Dirt Cake Cookies,25 minutes,15 minutes,NA,10 minutes,6 cookies,10,"Prep: Preheat your oven to 350 degrees F. Line a baking sheet with parchment paper or a silicon mat, set it aside.
Cookie Dough: In a large bowl, combine the cocoa powder, sugar, butter, and vegetable oil and stir until well mixed. Mix in the eggs and vanilla extract until well combined.
Stir in the flour, baking powder, and salt until a thick dough forms. Fold in the chocolate chunks until just combined.
Shape Dough: Divide the cookie dough into 6 equal sized portions and roll them into balls and place them onto the prepared baking sheet. Set the baking sheet in the fridge to chill for at least 30 minutes.
Bake: Bake in the oven for 12 minutes. The cookies should be just baked so that they are no longer glossy but are still soft. Let the cookies cool on a wire rack.
Prepare Frosting: In a large bowl, whip the butter until fluffy using an electric mixer.
Add in the powdered sugar and cocoa powder and mix on low speed until it blends together fully. Add the vanilla extract and milk and whip together until light and fluffy.
Assemble: Place the frosting in a piping bag with the corner snipped off. Pipe the frosting onto each cookie in a nice swirl pattern.
Crush the Oreo cookies in another baggie or food processor to create the ""dirt"" for the cookies. Sprinkle the cookie crumbs on top of the frosting.
Top each cookie with a gummy worm or two. Serve immediately and enjoy!",17,½ cup unsweetened cocoa powder,1 cup white granulated sugar,½ cup butter melted,3 TBSP vegetable oil,1 egg,Family Cookie Recipes,https://familycookierecipes.com/dirt-cake-cookies/,2 tsp vanilla extract,1 ⅓ cups flour,½ tsp baking powder,½ tsp salt,½ cup chocolate chunks,½ cup butter softened,4 cups powdered sugar,½ cup unsweetened cocoa powder,1 tsp vanilla extract,4 TBSP milk,6 Gummy worms,10 oreos,NA,NA,NA,NA,NA,NA,NA,NA
Orange Cardamom Cookies,Jessica & Nellie,"August 18, 2022",NA,NA,American,"Cookies, Cookies, Dessert, snack/dessert",Home_Cake Mix Cookies,Keyword: Orange Cardamom Cookies,10 minutes,11 minutes,NA,21 minutes,19 cookies,8,"Dough: Start by combining the dry cake mix, oil, eggs, vanilla extract, orange zest, and cardamom in a large mixing bowl and mix using an electric hand mixer.
Continue to mix on medium speed until the ingredients have been combined and no more streaks of dry cake mix remain. You can mix by hand with a wooden spoon or whisk if preferred.
Chill: Cover the bowl in plastic wrap and place it into the fridge to chill for 1 hour.
Prep: When the dough has chilled for 60 minutes, preheat the oven to 350°F. Line a baking sheet with some parchment paper or a silicone mat and set it aside.
Pour the powder sugar into a small bowl to roll the cookie dough in. Using a medium sized cookie dough scoop, scoop the dough into 1 ½ tablespoon sized balls.
Scoop dough: Next, roll each dough ball into the powdered sugar, covering it completely. Then place onto your prepared baking sheet at least 2 inches apart so there is room for the cookies to spread.
Bake: Bake the cookies for 10-12 minutes or until the edges look set and the tops are crinkled. We like to bake ours for exactly 11 minutes.
Let the cookies cool on the pan for 3-4 minutes before transferring them to a wire rack. Enjoy!",7,15.25 oz orange cake mix,⅓ cup vegetable oil or light olive oil,2 eggs,¼ tsp vanilla extract,1 tsp orange zest,Family Cookie Recipes,https://familycookierecipes.com/orange-cardamom-cookies/,1 tsp dry cardamom,½ cup powder sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APPLE CINNAMON OATMEAL COOKIES,Jessica & Nellie,"August 18, 2022",NA,NA,American,Cookies,Home_Cake Mix Cookies,Keyword: Apple Cinnamon Oatmeal Cookies,10 minutes,10 minutes,NA,NA,24 cookies,4,"Preheat oven to 350°.
In a large bowl, combine the cake mix, oats, brown sugar and cinnamon. In another bowl, combine the egg, applesauce and chopped apple.
Combine the two mixtures and mix well.
Drop by heaping teaspoonfuls onto a baking sheet and bake for 10-12 minutes or until slightly golden brown. Let cool on the cookie sheets for a few minutes before transferring to wire racks to cool completely.",7,1 box yellow cake mix,1 ½ cups quick oats,½ cup packed brown sugar,2 teaspoons ground cinnamon,1 egg,Family Cookie Recipes,https://familycookierecipes.com/apple-cinnamon-oatmeal-cookies/,¾ cup applesauce,1 cup finely chopped peeled apple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinnamon Toast Crunch Pumpkin Cookies,Jessica & Nellie,"August 12, 2022",5,1,American,Cookies,Home_Cookies Perfect for Fall,Keyword: Cinnamon Toast Crunch Pumpkin Cookies,5 minutes,10 minutes,NA,NA,12 cookies,6,"Preheat the oven to 350° F.
Mix cookie mix, egg, butter, and pumpkin in a medium-sized mixing bowl, and mix well until a dough is formed.
Line or spray the baking sheet, and place 1- inch balls of cookie dough evenly on the baking sheet.
Top each cookie with crushed Cinnamon Toast Crunch.
Bake for 10 minutes.
Remove cookies from the oven and let cookies cool completely before removing them from the baking sheet.",5,1 pouch 12.6 ounces Betty Crocker Cinnamon Toast Crunch Cookie Mix,⅓ cup butter softened to room temperature,1 egg,⅓ cup canned pumpkin,½ cup crushed Cinnamon Toast Crunch Cereal,Family Cookie Recipes,https://familycookierecipes.com/cinnamon-toast-crunch-pumpkin-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honey Bun Cookies,Jessica & Nellie,"August 11, 2022",5,1,American,"Cookies, Dessert, Dessert, treat",Home_Unique Cookies,Keyword: Honey Bun Cookies,20 minutes,15 minutes,NA,45 minutes,16 cookies,9,"Make dough: In a large mixing bowl, cream the butter, granulated sugar, and brown sugar. Add the eggs and vanilla extract and beat to combine.
In a separate small bowl, combine the flour, cornstarch, baking powder, baking soda, cinnamon, and salt with a whisk. Add the dry ingredients to the butter and sugar mixture and stir well to combine.
Scoop: Line a cookie sheet with parchment paper and spray it well with nonstick cooking spray.
Use a large sized cookie scoop to scoop out the dough and roll them into balls. Press the dough balls down into1/4 inch sized discs. Using a thick knife (like a butter knife) or a chopstick, make a spiral shape in the top of each cookie.
Chill and Bake: Place the sheet of cookies into the freezer for 10 minutes to chill. Start preheating the oven to 350 degrees F while the cookies are chilling.
Remove the cookies from the freezer and place them into the oven and bake for 13-15 minutes or until the cookies are still soft and are just baked.
Glaze: In a medium size bowl, mix together the butter, sugar, honey, and milk with a whisk until fully blended and smooth.
Let the cookies cool completely before glazing the tops. Once cooled, brush the icing over the entire tops and sides of each of the cookies.
Let the icing set and harden before eating the cookies. Serve and enjoy!",15,1 cup unsalted butter softened,¾ cup granulated sugar,½ cup brown sugar packed,2 large eggs room temp,1 TBSP vanilla extract,Family Cookie Recipes,https://familycookierecipes.com/honey-bun-cookies/,2 ¾ cups all purpose flour,2 tsp cornstarch,1 tsp baking powder,½ tsp baking soda,2 tsp ground cinnamon,½ tsp kosher salt,¼ cup unsalted butter softened,1 cup powdered sugar,2 TBSP honey,2 TBSP milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Craisin Cookies,Jessica & Nellie,"August 9, 2022",NA,NA,American,"Cookies, Dessert",Home_Uncategorized,Keyword: Oatmeal Craisin Cookies,10 minutes,11 minutes,NA,21 minutes,24 cookies,7,"Prep: Preheat oven to 350 degrees. Then, line baking sheets with parchment paper. Set aside.
Dough: Next, in a large bowl, cream together the softened butter, shortening, brown sugar, white sugar, eggs, and vanilla extract until smooth. After that, add in the dry pudding mix and then stir again to combine.
In a separate small bowl, combine the flour, baking soda, and salt. Then, stir the flour mixture into the sugar mixture until just incorporated.
Lastly, add in the oats and craisins until all is well blended.
Bake: Scoop the dough out by the rounded tablespoons and place onto your prepared cookie sheets.
Bake in the oven for 9-11 minutes. Be careful not to overbake, you want the cookies a light golden color.
When done baking, let cool for a few minutes. Serve slightly warm and enjoy!",12,½ cup butter softened,½ cup butter flavored shortening,1 cup light brown sugar packed,½ cup white sugar,2 eggs,Family Cookie Recipes,https://familycookierecipes.com/oatmeal-craisin-cookies/,1 tsp vanilla extract,3.4 oz instant vanilla pudding mix dry mix only,1 ½ cups all-purpose flour,1 tsp baking soda,½ tsp salt,3 cups rolled oats,1 ¾ cups Craisins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Macadamia Cookie Bars,Jessica & Nellie,"August 5, 2022",NA,NA,American,"Cookies, Dessert",Home_Cookie Bars,Keyword: White Chocolate Macadamia Cookie Bars,10 minutes,20 minutes,NA,NA,16 bars,6,"Preheat the oven to 350°F. Grease or line with parchment paper an 8 X 8 inch square tin. Set aside.
Add the flour and baking powder to a mixing bowl and mix until well combined. Set aside.
Add the brown sugar and melted butter to a large mixing bowl. Mix for at least 1-2 minutes, until well combined. Add the eggs and vanilla extract and mix for 2-3 minutes until all the ingredients are well combined.
Pour the flour mixture into the bowl with the wet ingredients. Stir until just combined. Fold through the white chocolate chips and chopped macadamia nuts.
Spoon the dough into the prepared baking pan and smooth the surface gently with the back of a spoon. Bake for 20 minutes, or until beginning to turn golden.
Allow to cool in pan completely before removing and slicing.",8,2 cups all purpose flour,1 teaspoon baking powder,1 cup brown sugar,½ cup melted butter,2 eggs,Family Cookie Recipes,https://familycookierecipes.com/white-chocolate-macadamia-cookie-bars/,1 teaspoon vanilla extract,1 cup white chocolate chips,½ cup macadamia nuts roughly chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cosmic Brownie Cookies,Jessica & Nellie,"August 4, 2022",NA,NA,American,"chocolate, Cookies, Dessert",Home_Chocolate Cookies,Keyword: Cosmic Brownie Cookies,30 minutes,10 minutes,NA,40 minutes,13 cookies,6,"Cookie dough: Begin by placing the butter into a small bowl and microwave in 30-second intervals until melted. Next, add in the cocoa powder and espresso powder, mix together until it is lump free. Let this mixture rest for a few minutes to cool.
In a separate bowl, microwave the chocolate in 30-second intervals until fully melted. Make sure to stir between each interval, mine took about 90 seconds to get completely melted. Then, in a large mixing bowl, using a handheld mixer, combine the eggs, brown sugar, and vanilla extract and beat together on high speed for 2-3 minutes or until pale and fluffy. Scrape down the sides of the bowl and the bottom of the bowl
After that, add the melted chocolate and melted butter to the egg mixture and mix on high speed until fully combined. Scrape down the sides and bottom of the bowl again. Now, fold in the dry ingredients, the flour and salt, until they are just combined. Be gentle so that you don't knock the air out of the cookie dough. Lastly, use a large cookie scoop to create 12-13 large balls of dough, put them on parchment lined baking pan and place it in the fridge for 1 hour to chill.
Bake: Preheat the oven to 350 degrees F and once the oven is preheated place the cookie sheet into the oven and bake for 10-12 minutes.
Chocolate Ganache: Place the chocolate pieces and butter into a medium-sized mixing bowl and microwave in 30-second intervals until fully melted. Make sure to stir well between each interval. Then, add in the heavy whipping cream and mix together until fully incorporated.
Assemble: Let the ganache chill in the fridge for 20 minutes while the cookies are cooling. Once the cookies have cooled and are at room temperature, spread your chocolate over the top of the cookies. Decorate the tops with chocolate rainbow sprinkles, serve and enjoy.",13,¾ cup unsalted butter,⅓ cup dutch processed cocoa powder,½ tsp espresso powder,8 oz milk chocolate chips (1 ½ cups),3 large eggs room temperature,Family Cookie Recipes,https://familycookierecipes.com/cosmic-brownie-cookies/,1 cup light brown sugar packed,1 tsp vanilla extract,2 ½ cups All purpose flour,¼ tsp salt,8 oz semi-sweet chocolate (1 ½ cups),½ cup unsalted butter,½ cup heavy whipping cream,Chocolate rainbow sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOCOLATE STRAWBERRY THUMBPRINT COOKIES,Jessica & Nellie,"August 2, 2022",NA,NA,American,"chocolate, Cookies, Dessert",Home_Thumbprint Cookies,Keyword: CHOCOLATE STRAWBERRY THUMBPRINT COOKIES,20 minutes,10 minutes,NA,30 minutes,24 cookies,12,"Prep: Preheat oven to 375 degrees F. Line a baking sheet with parchment paper or a silicon baking mat and set it aside.
Dough: In a large mixing bowl, cream together the butter and sugar using an electric mixer on medium-high speed. Continue for about 2-3 minutes until the butter mixture is light and fluffy.
Next, mix in the egg yolks and the vanilla extract.
Then, add in the flour and salt and mix until the dough comes together.
If desired you can chill the cookie dough for 30 minutes, but you can skip this step and head straight to baking them.
Scoop the dough into 1-inch-sized balls and roll them with your hands so that they are perfectly round. Arrange the dough balls onto the prepared cookie sheet.
Use a ½ teaspoon measuring spoon to create a circular crater in the center of the cookie dough balls.
Bake: Proceed to bake the cookies for 8-10 minutes.
Remove them from the oven and if the indents look shallow, press the measuring spoon to further define them again.
Fudge: Melt the chocolate chips, condensed milk, and almond extract in a small pot over low heat until melted. Continue stirring over low heat for 3-4 minutes or until the mixture has thickened.
Assemble: Spoon about 1 teaspoon of fudge onto each cookie. Let cool until set for about 5 minutes.
Take ½ teaspoon measuring spoon again and slightly press an indent into the chocolate. Then, fill the indent with strawberry jam. Serve & enjoy!",10,"1 cup butter 2 sticks, at room temperature",⅔ cup granulated sugar,2 egg yolks,1 tsp vanilla extract,2 cups all-purpose flour,Family Cookie Recipes,https://familycookierecipes.com/chocolate-strawberry-thumbprint-cookies/,½ tsp salt,1 cup semi-sweet chocolate chips,14 oz sweetened condensed milk,¼ tsp almond extract,strawberry jam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STRAWBERRY THUMBPRINT COOKIES,Jessica & Nellie,"July 29, 2022",NA,NA,American,"Cookies, Cookies, Dessert, treat",Home_Thumbprint Cookies,Keyword: Strawberry Thumbprint Cookies,15 minutes,10 minutes,NA,25 minutes,24 cookies,7,"Prep: Preheat oven to 375 degrees F. Line a cookie sheet with parchment paper.
In a large mixing bowl, cream together the butter and sugar on medium-high speed with an electric mixer until light and fluffy. This should take about 2-3 minutes. Then, add in and beat the egg yolks and the vanilla extract.
Add the flour and salt. Mix together until incorporated and the dough comes together into a ball. If desired, chill the dough in the refrigerator for 30 minutes (this is optional).
Shaping: Form the dough into1-inch-sized balls that are perfectly round and then place them onto the prepared baking sheet. Using the backside of a ½ teaspoon measuring spoon, press an indent into the center of the cookies to create a crater.
Bake & Filling: Place the cookie sheet into the preheated oven and bake for 8-10 minutes.
Remove the baking sheet from the oven and if the indents look shallow, press them in again. Then, fill each indentation with a spoon full of strawberry jam.
Continue to bake in the oven for an additional 3-4 minutes or until the jam has melted slightly and the edges of the cookies are lightly golden in color. Let the cookies cool on the baking sheet for 5 minutes, then transfer to a cooling rack to cool completely. Serve and enjoy!",7,"1 cup butter 2 sticks, at room temperature",⅔ cup granulated sugar,2 egg yolks,1 tsp vanilla extract,2 cups all-purpose flour,Family Cookie Recipes,https://familycookierecipes.com/strawberry-thumbprint-cookies/,½ tsp salt,⅓ cup strawberry jam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frosted Lemonade Cookies,Jessica & Nellie,"July 28, 2022",NA,NA,American,Cookies,Home_Cookies Perfect for Spring,Keyword: Frosted Lemonade Cookies,10 minutes,10 minutes,NA,NA,30 cookies,5,"Preheat oven to 400°. In a large bowl, combine sugar, butter and eggs and beat for 3-4 minutes. Add flour, lemonade and baking soda and mix for another 1-2 minutes.
Use a cookie scoop to scoop the dough onto cookie sheets lined with parchment paper or silicone baking sheets.
Bake for 9-12 minutes or until the edges begin to barely turn a light golden brown.
Cool completely and then frost.
To make the frosting, combine all of the ingredients except the milk. Beat together and then add milk to bring the frosting to the desired consistency. Frost cookies and sprinkle with colored sugar.",12,1 ¼ cups sugar,1 ¼ cups butter softened,2 eggs,3 cups all-purpose flour,6 ounce can frozen lemonade concentrate divided (remove 2 Tbsp for frosting),Family Cookie Recipes,https://familycookierecipes.com/frosted-lemonade-cookies/,1 tsp baking soda,3 cups powdered sugar,⅓ cup butter softened,2 Tbsp reserved frozen lemonade concentrate,1 tsp vanilla,1-2 Tbsp milk,Yellow sugar to sprinkle on top optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
