title,author,datelisted,rating,ratingnum,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,source,link,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22
Easy Witch Hat Cookies,Alyssa Rivers,10/08/22,NA,NA,Desserts,20 minutes,NA,NA,20 minutes,30 Cookies,4,"Attach Hershey kisses to the bottom of each cookie using a small amount of frosting piped around the center of the cookie.
Color buttercream desired colors, I used orange, purple, and green with yellow for the buckle, and pipe around the base of the kisses using a #3 piping tip. Dust buttercream with sanding sugar of the same color, if desired.
Pipe a square buckle on one side of the Hershey kiss using a #2 piping tip, if desired.
Keep stored in an airtight container until ready to serve. Avoid stacking the cookies if possible.",5,▢ 1 package 16 ounce fudge-striped cookies,▢ 32 Hershey kisses unwrapped,▢ 1 tub 4.25 ounce white buttercream frosting,▢ Food coloring,▢ Sanding sugar optional,NA,NA,NA,NA,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/witch-hat-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Chocolate Chip Cookies,Alyssa Rivers,08/25/22,5,5,Desserts,15 minutes,10 minutes,NA,55 minutes,18 cookies,7,"In a medium bowl, whisk together the flour, baking soda, baking powder, and salt. Set aside.
In a large bowl, beat the butter, brown sugar, and granulated sugar until light and fluffy, about 3-4 minutes. Add the egg and vanilla and beat until just combined.
Add the dry ingredients to the wet and mix until combined. Stir in the oats and chocolate chips by hand.
Cover the bowl and chill in the fridge for 30-45 minutes. About 15 minutes before removing the dough from the fridge preheat the oven to 350℉ and line two baking sheets with parchment paper.
Using a large cookie scoop (one that holds roughly three tablespoons of dough), scoop the dough onto the cookie sheets, leaving 2 inches between cookies.
Bake for 8-10 minutes, until the edges start to turn golden brown. The centers of the cookies will look underbaked, but this will result in soft, chewy cookies.
Let cookies cool for 2 minutes on the baking sheet before transferring them to a cooling rack to finish cooling.",11,▢ 1 cup all-purpose flour,▢ ½ teaspoon baking soda,▢ ¼ teaspoon baking powder,▢ ½ teaspoon salt,▢ ½ cup unsalted butter room temperature,▢ ½ cup dark or light brown sugar packed,▢ ⅓ cup granulated sugar,▢ 1 large egg room temperature,▢ 1 ½ teaspoons vanilla extract,▢ 1 ½ cup rolled oats,▢ 1 cup milk chocolate chips,NA,NA,The Recipe Critic,https://therecipecritic.com/oatmeal-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Cake Mix Cookies,Alyssa Rivers,08/15/22,NA,NA,Desserts,10 minutes,11 minutes,NA,21 minutes,18 Cookies,4,"Preheat the oven to 350℉ and line two baking sheets with parchment paper. Set aside.
In a large bowl, combine the cake mix, baking powder, vegetable oil, and eggs until a thick batter forms. Add the chocolate chips and mix until evenly dispersed throughout the batter.
Use a cookie scoop to scoop dough onto the baking sheets, leaving at least 2 inches between cookies.
Bake for 8-10 minutes, until the edges are set. If using a large cookie scoop, the cookies may need 19-11 minutes for the edges to set. The center of the cookies will look under baked, but they will continue to cook as they cool. Overbaking will result in crunchy cookies. Remove to a cooling rack and cool completely.",5,▢ 1 box chocolate cake mix,▢ 1 teaspoon baking powder,▢ ⅓ cup vegetable oil,▢ 2 large eggs room temperature,▢ 1 cup chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/chocolate-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Swig Sugar Cookies,Alyssa Rivers,08/08/22,5,1,Desserts,15 minutes,10 minutes,NA,25 minutes,24 Servings,8,"Preheat the oven to 350 degrees Fahrenheit. In a large bowl, cream together 1 cup unsalted butter, ¾ cup vegetable oil, 1 ¼ cups granulated sugar, ¾ cup powdered sugar, and 2 tablespoons water using an electric hand mixer. Add 2 large eggs and mix until combined.
In a medium-sized bowl, stir together 5 ½ cups all-purpose flour, ½ teaspoon baking soda, ½ teaspoon cream of tartar, and 1 teaspoon salt. Slowly add the flour mixture to the butter mixture and mix until combined.
Roll the dough into golf-sized balls. Then, roll each ball of dough in ½ cup granulated sugar before placing it onto a non-stick cookie sheet.
To give the cookies their signature edge, use the bottom of a glass to press into the dough ball to flatten the middle of the cookie. You still want the cookie to be thicker, so don't press them too thin!
Bake for 8-10 minutes or until the bottom is lightly brown. The centers should be just barely baked as they will continue to bake while they cool. Don't overbake, or your cookies won't be nice and soft!
In a large bowl, cream together ½ cup unsalted butter, 2 tablespoons sour cream, and 1 teaspoon salt using an electric hand mixer. Mix in 4 cups powdered sugar. Add 3-4 tablespoons milk to reach the desired consistency. Mix in a couple of drops of red or pink food coloring if you want to give the frosting its signature color!
Frost the cookies in the middle where the indentation of the glass is, leaving the edges exposed.
Swig cookies are known for being served COLD! Store them between pieces of parchment paper in the fridge or freezer until you're ready to serve. Store in an airtight container.",17,▢ 1 cup unsalted butter softened,▢ ¾ cup vegetable oil,▢ 1 ¼ cups granulated sugar,▢ ¾ cup powdered sugar,▢ 2 tablespoons water,▢ 2 large eggs,▢ 5 ½ cups all-purpose flour,▢ ½ teaspoon baking soda,▢ ½ teaspoon cream of tartar,▢ 1 teaspoon salt,▢ ½ cup granulated sugar for rolling,▢ ½ cup unsalted butter softened,▢ 2 tablespoons sour cream,The Recipe Critic,https://therecipecritic.com/swig-sugar-cookies/,▢ 4 cups powdered sugar,▢ 1 teaspoon salt,▢ 3-4 tablespoons milk,▢ red or pink food coloring,NA,NA,NA,NA,NA
Lemon Cake Mix Cookies,Alyssa Rivers,Updated 07/21/25,5,1,Desserts,15 minutes,10 minutes,NA,25 minutes,18 Cookies,4,"Preheat the oven to 350 degrees Fahrenheit and line two baking sheets with parchment paper. Set aside.
In a large bowl, combine 1 (15.25 ounce) box lemon cake mix, 1 teaspoon baking powder, ⅓ cup vegetable oil, 1 tablespoon lemon zest, and 2 large eggs until a thick batter forms.
Use a cookie scoop to scoop the dough onto the baking sheets, leaving at least 2 inches between cookies.
Bake for 8-10 minutes, until the edges are set. If using a large cookie scoop, the cookies may need 12-14 minutes for the edges to set. Remove to a cooling rack and cool completely. Dust with powdered sugar if desired.",6,▢ 1 (15.25 ounce) box lemon cake mix,▢ 1 teaspoon baking powder,▢ ⅓ cup vegetable oil,▢ 1 tablespoon lemon zest,▢ 2 large eggs room temperature,▢ powdered sugar optional for dusting,NA,NA,NA,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/lemon-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange Creamsicle Cookies,Alyssa Rivers,07/29/22,NA,NA,Desserts,10 minutes,8 minutes,NA,18 minutes,24 Cookies,5,"Preheat oven to 375 degrees. In a medium bowl whisk together flour, baking soda, and salt.
In a large bowl cream together butter and sugars until light and fluffy. Add egg, vanilla, and orange zest and mix well.
Add dry ingredients to wet ingredients and mix until all ingredients are incorporated. Stir in chocolate chips.
Dust hands with flour, then shape 2-3 tablespoons of cookie dough into a ball (doesn’t need to be a perfect ball, just shape it a bit) and place on baking a baking sheet. Repeat with remaining dough, placing dough balls about 2-3 inches apart on the sheet.
Bake for 8-10 minutes, then allow to cool on the baking sheet for 10-15 minutes before transferring to a cooling rack to cool completely. Store in airtight container at room temperature.",10,▢ 2 3/4 cups flour,▢ 3/4 teaspoon baking soda,▢ 1/2 teaspoon salt,▢ 1 cup butter softened,▢ 1/2 cup sugar,▢ 1/2 cup brown sugar,▢ 1 large egg,▢ 1 teaspoon vanilla extract,▢ 2 tablespoons orange zest 1-2 oranges,▢ 2 cups white chocolate chips,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/orange-creamsicle-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreo Cakesters,Alyssa Rivers,06/20/22,NA,NA,Desserts,20 minutes,12 minutes,NA,32 minutes,20 Cookies,5,"Preheat the oven to 350°F and line two baking sheets with parchment paper. Set aside.
Add the cake mix, oil and eggs to a large bowl. Use a hand mixer or a stand mixer to combine. If a darker cookie is desired for that Oreo look, add a few drops of black food coloring until the desired color is achieved.
Use a medium cookie scoop to scoop dough onto the prepared baking sheets, leaving 2 inches between them. Bake for 11-12 minutes, until the edges of the cookies are set. Let them cool for 2 minutes on the baking sheet before transferring to a cooling rack to cool completely.
In a medium bowl, beat the cream cheese and butter together until smooth. Add the powdered sugar, salt, and vanilla and beat again until fully combined.
Add the filling to a piping bag or a ziplock bag and snip off the end for a medium sized opening. Squeeze a dollop of frosting on the backside of one cookie and sandwich another on top. Repeat with the rest of the cookies.",9,▢ 1 Box Devil’s Food Cake Mix,▢ 1/3 Cup Vegetable Oil,▢ 2 Large Eggs,▢ Black Food Coloring Optional,▢ 4 Oz Cream Cheese Softened,▢ ¼ Cup Unsalted Butter Softened,▢ 2 Cups Powdered Sugar,▢ ¼ Teaspoon Salt,▢ ½ Teaspoon Vanilla,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/homemade-oreo-cakesters/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pecan Shortbread Cookies,Alyssa Rivers,Updated 10/24/24,3.50,2,Desserts,20 minutes,14 minutes,NA,44 minutes,12 Cookies,8,"Preheat the oven to 350°F and line a baking sheet with parchment paper. Set aside.
In a large bowl, beat together the butter and sugar until light and fluffy. Add in the extracts and beat until combined.
Add the flour and cornstarch and mix until combined. The mixture will be very crumbly. Add the chopped pecans to the bowl and stir to distribute. Use your hands to press the dough together and form a cylinder of dough about 8 inches long.
Cover and chill the dough for about 10 minutes.
Once the 10 minutes is up, remove the dough from the fridge. Add the coarse sugar to a shallow plate or pie pan and roll the cylinder of dough in the sugar until the outside is fully coated. Use your hands to gently press the sugar into the dough then brush off any loose sugar.
Using a sharp knife, slice the dough into circles that are slightly thicker than ¼ inch. Place the sliced dough on the prepared baking sheet, leaving 2 inches between the cookies.
Bake for 12-14 minutes, until the edges are golden brown.
Let cool for 4 minutes on the baking sheet before transferring to a cooling rack to finish cooling.",8,▢ ½ Cup Unsalted Butter Softened,▢ ¼ Cup Granulated Sugar,▢ ½ Teaspoon Vanilla Extract,▢ ¼ Teaspoon Almond Extract,▢ 1 Cup All-Purpose Flour,▢ 2 Tablespoons Cornstarch,▢ ½ Cup Chopped Pecans,▢ ¼ Cup Coarse Sugar,NA,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/pecan-shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Sheet Cake Cookies,Alyssa Rivers,06/10/22,5,2,Desserts,25 minutes,10 minutes,NA,35 minutes,12 Cookies,7,"Preheat the oven to 350°F and line two baking sheets with parchment paper. Set aside.
In a large bowl, combine the cake mix, oil, eggs, and baking powder until a thick batter forms.
Use a cookie scoop to scoop the dough onto the baking sheets. Leave at least 2 inches between cookies.
Bake for 8-10 minutes, until the edges are set. If using a large cookie scoop, the cookies may need 12-14 minutes to bake. Remove to a cooling rack to cool completely.
While the cookies are baking, prepare the icing by combining the butter, milk, and cocoa powder in a small saucepan. Heat over medium just until the mixture starts to boil.
Remove from the heat and whisk in the powdered sugar, vanilla, and salt. Let the icing cool and thicken before icing the cookies.
Once the icing has thickened and the cookies are cooled, scoop about 2 teaspoons of icing onto each cookie, letting it pool on top and run down the sides a bit. Sprinkle the chopped pecans over the top of the icing. Let the cookie sit while the icing sets, about an hour.",11,▢ 1 Box Chocolate Cake Mix Preferably Milk Chocolate,▢ 1/3 Cup Vegetable Oil,▢ 2 Large Eggs,▢ 1 Teaspoon Baking Powder,▢ ¾ Cup Unsalted Butter Softened,▢ ¼ Cup Milk,▢ 3 Tablespoons Unsweetened Cocoa Powder,▢ 1 ½ Cup Powdered Sugar,▢ ½ Teaspoon Vanilla Extract,▢ 1 Dash Salt,▢ ½ Cup Chopped Pecans Optional,NA,NA,The Recipe Critic,https://therecipecritic.com/texas-sheet-cake-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Cookie Dough Bars,Alyssa Rivers,05/20/22,5,3,Desserts,20 minutes,NA,NA,20 minutes,16 Bars,6,"Line an 8×8 inch pan with parchment paper or aluminum foil and set aside.
In a large mixing bowl, mix together butter and brown sugar until it is fluffy. This takes about 3 minutes. Add vanilla and bet until combined.
Turn the mixer to low and alternate the flour and the sweetened condensed milk until combined. Gently fold in chocolate chips.
Press the cookie dough into the bottom of the 8×8 pan. It will be sticky so lightly flour your hands if needed.
Cover your bars with plastic wrap and refrigerate for 3 hours or overnight until firm.
To make the topping, combine the peanut butter and 1/2 cup chocolate chips in a microwave safe bowl. Stir every 30 seconds until smooth. Pour and spread over the top of the chilled dough and chill at least for 1 hour until firm.",8,▢ 1/2 cup Unsalted Butter softened,▢ 3/4 cup Light Brown Sugar packed,▢ 1 tsp. Vanilla Extract,▢ 2 cup All-Purpose Flour,▢ 1 can Sweetened Condensed Milk 14 oz.,▢ 2 cups Mini Chocolate Chips,▢ 1/2 cup Creamy Peanut Butter,▢ 1/2 cup Milk Chocolate Chips,NA,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/chocolate-chip-cookie-dough-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blueberry Cookies,Alyssa Rivers,Updated 05/03/23,3,1,Fruit,10 minutes,8 minutes,NA,18 minutes,24 Cookies,5,"Preheat the oven to 350° and line two baking sheets with parchment paper. Set aside.
In a large bowl, cream together the butter and both sugars until light and fluffy, about 3 minutes. Add the eggs, vanilla, and lemon zest and beat until combined.
Add the flour, baking soda, baking powder, and salt and mix until combined. Stir in the blueberries and chocolate chips by hand.
Using a 1 inch cookie scoop, scoop out the dough and drop on the baking sheets leaving about 2 inches between each cookie. Bake for 7-8 minutes, until the edges are just slightly browning.
Remove from the oven and let cool for 2 minutes on the baking sheet before transferring to a cooling rack to finish cooling.",12,▢ 1 Cup Unsalted Butter Softened,▢ ¾ Cup Brown Sugar,▢ 1 Cup Granulated Sugar,▢ 2 Eggs,▢ 2 Teaspoons Vanilla Extract,▢ 2 Teaspoons Lemon Zest,▢ 3 ½ Cups Flour,▢ 1 Teaspoon Baking Soda,▢ ½ Teaspoon Baking Powder,▢ 1 Teaspoon Salt,▢ 1 ½ Cup Fresh Blueberries,▢ ¾ Cup White Chocolate Chips,NA,The Recipe Critic,https://therecipecritic.com/blueberry-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Ricotta Cookies with a Lemon Glaze,Alyssa Rivers,Updated 10/18/24,4.50,2,Desserts,20 minutes,15 minutes,NA,35 minutes,40 Cookies,7,"In a medium bowl, whisk together the flour, baking soda, baking powder, and salt.
In a large bowl, beat together the butter and sugar until fluffy, about 5 minutes. Add the eggs one at a time, mixing each time until combined. Add the ricotta, lemon juice, and lemon zest. Beat until combined.
Add the dry ingredients to the wet ingredients and mix until just barely combined. Cover the dough and refrigerate for at least 4 hours.
Preheat the oven to 375°. Line two baking sheets with parchment. Scoop about 1 ½ tablespoons of the chilled dough onto the baking sheets, leaving about 2 inches between the cookies.
Bake for 15 minutes, until the cookies are cooked through but aren’t browning. Leave the cookies on the baking sheets for an additional 15 minutes before transferring to a cooling rack.
In a small bowl combine the powdered sugar, lemon juice, and lemon zest until smooth.
Gently spoon about ½ teaspoon of glaze on each cookie. Let the glaze harden before serving.",13,▢ 2 ½ Cups All-Purpose Flour,▢ ½ Teaspoon Baking Soda,▢ 1 Teaspoon Baking Powder,▢ 1 Teaspoon Salt,▢ ½ Cup Unsalted Butter Softened,▢ 1 ¾ Cups Granulated Sugar,▢ 2 Eggs Room Temperature,▢ 15 Ounces Whole Milk Ricotta Cheese,▢ 3 Tablespoons Lemon Juice,▢ 2 Tablespoons Lemon Zest,▢ 1 ½ Cups Powdered Sugar,▢ 3 Tablespoons Lemon Juice,▢ 1 Tablespoon Lemon Zest,The Recipe Critic,https://therecipecritic.com/lemon-ricotta-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Circus Animal Cookies,Alyssa Rivers,04/09/22,5,1,Desserts,35 minutes,9 minutes,NA,44 minutes,48 Cookies,9,"In a medium bowl whisk together the flour, baking powder, and salt. Set aside.
In the bowl of a stand mixer use the paddle attachment or use a hand mixer to beat the butter and sugar together until fluffy and smooth, about 2 minutes. Add the lemon zest, egg, and vanilla and beat for another minute, until combined. Scrape down the sides and bottom of the bowl and mix until combined.
Add the flour mixture to the butter and sugar mixture and mix on low until combined. Divide the dough into two equal portions. Wrap with plastic wrap and chill for 2 hours.
Once chilled, preheat the oven to 350°.
Starting with half the dough, roll out on a lightly floured surface until it is ¼ inch thick. Cut until animal shapes using mini cooking cutters. If necessary, use a toothpick to poke the shapes out of the cookie cutters.
Gather the dough scraps and press them together into a ball. Wrap in plastic wrap and chill while you roll out the other half of the dough. Repeat until all the dough has been used.
Arrange the cookies on parchment-lined baking sheets, leaving at least 1 inch between them. Bake for 9-10 minutes, rotating halfway through. Let the cookies cool for 2-3 minutes on the baking sheet before transferring them to a cooling rack. Let the cookies cool completely before frosting.
In a medium microwave-safe bowl, add the chocolate wafers and shortening. Heat for 30 seconds, stir, and then 30 more seconds. Add the vanilla extract and whisk until smooth. Separate half into another bowl and set aside. Add one drop of pink food coloring to the first bowl and whisk until smooth.
Carefully dip the tops of the cookies in the chocolate and sprinkle with nonpareils. The cookies can chill at room temperature, or be refrigerated to set faster",13,▢ 2 ¼ Cup All-Purpose Flour,▢ ½ Teaspoon Baking Powder,▢ ¼ Teaspoon Salt,▢ ¾ Cup Unsalted Butter room temperature,▢ ¾ Cup Granulated Sugar,▢ 1 Teaspoon Lemon Zest,▢ 1 Large Egg room temperature,▢ 1 Teaspoon Vanilla Extract,▢ 10 Ounces White Chocolate Melting Wafers,▢ 1 Tablespoon Shortening,▢ ¼ Teaspoon Clear Vanilla Extract,▢ Pink Gel Food Coloring,▢ Rainbow Nonpareils,The Recipe Critic,https://therecipecritic.com/circus-animal-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter Egg Sugar Cookies,Alyssa Rivers,Updated 04/08/22,5,1,Desserts,NA,8 minutes,NA,8 minutes,18 Cookies,11,"Preheat the oven to 350 degrees Fahrenheit and line 2-3 baking sheets with parchment paper.
Whisk together 2 cups all-purpose flour, ½ teaspoon salt, and ½ teaspoon baking powder in a medium bowl. Set aside.
Use a hand mixer or stand mixer to beat ½ cup softened unsalted butter and ⅔ cup granulated sugar on medium-high speed for 2-3 minutes until light and fluffy. Add 2 egg yolks, 2 tablespoons sour cream, 1 ½ tablespoons vanilla extract, and 1 teaspoon lemon extract and mix until just combined, scraping down the sides and bottom of the bowl as needed.
Add the flour mixture to the butter mixture and mix until just combined and no streaks of flour remain.
Split the dough into 2-3 sections and roll them out at a time on a lightly floured surface until they are ¼ inch thick. Use Easter egg cookie cutters to cut out the cookies. Press the scraps together and set them aside to rest for about 5 minutes. Reroll the scraps and cut more cookies until all the dough has been used.
Place the cookies on the parchment-lined cookie sheets leaving 1 ½ inches between them. Bake for 6-8 minutes. The edges will be just set, and the cookies will be very light in color with very minimal coloring on the bottom.
Let the cookies cool on the pan for 2 minutes for the shape to set before transferring them to a cooling rack. Store the completely cooled cookies in an airtight container until you are ready to ice them.
Use a stand mixer with the whisk attachment or a hand mixer to mix 4 cups sifted powdered sugar and 3 tablespoons meringue powder on low speed in a large bowl.
Add 1 tablespoon light corn syrup and 8 tablespoons of the 9-12 tablespoons water to the powdered sugar mixture and mix on low until the powdered sugar is mostly moistened, then increase the speed and beat on high speed for 2-3 minutes. The icing should be pretty stiff. Add additional water 1 tablespoon at a time until the icing is about the consistency of soft-serve ice cream and forms soft peaks. Reserve 1 cup of frosting and cover tightly with plastic wrap.
With the remaining icing, add additional water 1-2 teaspoons at a time until the icing drips back into the bowl and the lines of icing take about 10 seconds to melt back into the icing when the whisk is lifted out of the bowl. This is the thin icing that will be used to fill, or flood, the cookies. Separate into small bowls and tint the icing with your chosen colors. Cover each bowl tightly with plastic wrap when not being used. This icing will dry and crust over very quickly, so keeping it covered is important.
Separate the reserved thicker icing into bowls and tint the bowls the colors you want to make your eggs. This will be the frosting that is piped around the outside of the cookie to hold the thin icing in the center. Be sure to cover the bowls until ready to use. When ready to ice the cookies, pipe the thicker outline and then flood the center with the thin icing and add the details with thin icing.",14,▢ 2 cups all-purpose flour,▢ ½ teaspoon salt,▢ ½ teaspoon baking powder,▢ ½ cup softened unsalted butter,▢ ⅔ cup granulated sugar,▢ 2 egg yolks,▢ 2 tablespoons sour cream,▢ 1 ½ tablespoons vanilla extract,▢ 1 teaspoon lemon extract optional,▢ 4 cups sifted powdered sugar,▢ 3 tablespoons meringue powder,▢ 1 tablespoon light corn syrup,▢ 9-12 tablespoons water room temperature,The Recipe Critic,https://therecipecritic.com/easter-egg-sugar-cookies/,▢ gel food coloring,NA,NA,NA,NA,NA,NA,NA,NA
Cheesecake Filled Chocolate Chip Cookies,Alyssa Rivers,03/24/22,NA,NA,Desserts,30 minutes,13 minutes,NA,43 minutes,30 Cookies,7,"Preheat the oven to 350° and line two baking sheets with parchment paper. Set aside.
In a medium bowl beat together the cream cheese, powdered sugar, and vanilla on medium speed until smooth. Be sure the scrape down the bowl to make sure it is all well combined. Transfer to a smaller bowl and reserve in the refrigerator while you make your cookie dough.
In a large bowl, cream together the butter, brown sugar, and granulated sugar for 1-2 minutes. Add the eggs and vanilla and beat until fluffy.
Add the flour, baking soda, baking powder and salt just until combined. Add the chocolate chips and mix in by hand.
Using a medium sized cookie scoop, which is just about 2 tablespoons, scoop the cookie dough onto the baking sheets and flatten out.
Scoop about 1 ½-2 teaspoons of the cheesecake filling in the center of the flattened cookie dough and form the cookie dough up around the filling. Make sure to pinch the edges so the dough seals the filling inside.
Place the stuffed cookie balls on the baking sheet leaving 2 inches between them. Bake for 11-13 minutes, until the edges of the cookies are set and the center is still soft. The cookies will still be light in color, they won’t brown very much. Remove from the oven and let cool for 2-3 minutes on the baking sheet before transferring them to a cooling rack.",13,▢ 8 Ounces Cream Cheese Chilled,▢ ½ Cup Powdered Sugar,▢ ¼ Teaspoon Vanilla,▢ 1 Cup Unsalted Butter Room Temperature,▢ ¾ Cup Brown Sugar Packed,▢ 1 Cup Granulated Sugar,▢ 2 Large Eggs,▢ 2 Teaspoons Vanilla,▢ 3 ½ Cup Flour,▢ 1 Teaspoon Baking Powder,▢ 1/2 Teaspoon Baking Soda,▢ 1 Teaspoon Salt,▢ 2 Cups Milk or Semi-Sweet Chocolate Chips,The Recipe Critic,https://therecipecritic.com/cheesecake-stuffed-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carrot Cake Cookies,Alyssa Rivers,03/18/22,NA,NA,Desserts,30 minutes,13 minutes,NA,43 minutes,15 Cookies,7,"Preheat the oven to 350° Fahrenheit. Line two baking sheets with parchment paper and set aside.
In a large bowl, beat the butter, brown sugar and granulated sugar together on medium-high for about 2 minutes, until light and fluffy. Scrape down the sides and bottom of the bowl and add the egg and vanilla. Mix again until combined.
In a medium bowl, whisk together the flour, baking soda, baking powder, cinnamon, nutmeg and salt. Add the flour to the butter mixture and mix until just barely combined.
Add the carrots and, if desired, nuts and mix until just combined. Cover the bowl and chill for 30 minutes.
Scoop the dough onto the baking sheet in 1 ¼ inch sized balls, leaving 2 inches between them. Bake for 11-12 minutes, until the edges are set but the center is still soft. Allow the cookies to sit on the baking sheet for 3-5 minutes before transferring them to a cooling rack to finish cooling.
While the cookies cool, make the glaze by beating together the cream cheese and butter. Add the powdered sugar, vanilla extract and salt. Beat until combined. Add the milk and mix until smooth and soft.
Once the cookies are cooled, add the glaze to a ziplock bag and use scissors to snip a small piece of the corner off. Use the bag to pipe the glaze over the cookies. These cookies are best served fresh.",19,▢ ½ Cup Unsalted Butter Room Temperature,▢ ½ Cup Brown Sugar Packed,▢ ½ Cup Granulated Sugar,▢ 1 Large Egg room temperature,▢ 1 Teaspoon Vanilla Extract,▢ 1 ½ Cup All-Purpose Flour,▢ ½ Teaspoon Baking Soda,▢ ½ Teaspoon Baking Powder,▢ 1 Teaspoon Cinnamon,▢ 1/2 Teaspoon Nutmeg,▢ ½ Teaspoon Salt,▢ 1 Cup Finely Grated Carrots,▢ ½ Cup Chopped Walnuts or Pecans Optional,The Recipe Critic,https://therecipecritic.com/carrot-cake-cookies/,▢ 4 Ounces Cream Cheese Room Temperature,▢ 4 Tablespoons Unsalted Butter Softened,▢ 1 ½ cups Powdered Sugar,▢ ¼ Teaspoon Vanilla Extract,▢ 1 Pinch Salt,▢ 2 tablespoons milk,NA,NA,NA
Easy White Chocolate Macadamia Nut Cookies,Alyssa Rivers,03/10/22,NA,NA,Desserts,5 minutes,12 minutes,NA,17 minutes,42 cookies,11,"Partially melt the butter. There should still be chunks, but about 75% melted. Add to a large bowl with the shortening.
Using hand mixers, beat in the brown sugar and the white sugar.
Beat in the egg, egg yolk, vanilla, and almond extract.
Add in the flour, salt, and baking soda and mix until just combined. Do not over-mix.
Gently stir in the white chocolate chips and macadamia nuts.
Cover the bowl tightly and chill for 1 to 8 hours.
Preheat the oven to 325 degrees Line a pan with parchment paper or use a nonstick liner.
Roll balls of dough into tall cylindrical balls. Place 6-8 cookie balls on a sheet to give the cookies plenty of room.
Bake for 8-12 minutes erring on the side of under-baking which keeps them soft and chewy!
Remove from the oven and press a few additional chocolate chips or macadamia nuts in the top if desired (makes them look pretty).
Allow to cool and enjoy!",13,▢ 1/2 cup unsalted butter,▢ 1/2 cup shortening,▢ 3/4 cup light brown sugar,▢ 1/2 cup white sugar,▢ 1 egg,▢ 1 egg yolk,▢ 1 teaspoon vanilla extract,▢ 1/8 teaspoon almond extract,▢ 2 1/2 cups white flour,▢ 1/2 teaspoon salt,▢ 1 teaspoon baking soda,▢ 1 1/2 cups white chocolate chips,▢ 1 cup macadamia nuts coarsely chopped,The Recipe Critic,https://therecipecritic.com/easy-white-chocolate-macadamia-nut-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
