title,author,genre,rating,ratingnum,preptime,cooktime,totaltime,additionaltime,cooltime,chilltime,baketime,standtime,servings,yield,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,additionaltime...47,preptime...48,source,link
Coconut Flour Cookies,Lynne Dunlap,Drop Cookie Recipes,NA,NA,20 mins,8 mins,1 hr 28 mins,1 hr,NA,NA,NA,NA,18 ,18 cookies,8,"½ cup coconut oil, melted and cooled",½ cup coconut sugar,2  eggs,¼ teaspoon vanilla extract,1 cup coconut flour,½ teaspoon salt,½ cup chopped pecans (Optional),"2 teaspoons coconut sugar, or to taste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/273209/coconut-flour-cookies/
Dark Chocolate Chip Cookies with Greek Yogurt,Kelsey Gibson,Chocolate Chip Cookie Recipes,NA,NA,15 mins,10 mins,30 mins,5 mins,NA,NA,NA,NA,30 ,30 cookies,13,¾ cup packed dark brown sugar,"½ cup unsalted butter, softened",¼ cup full-fat Greek yogurt,2 large eggs,2 teaspoons vanilla extract,1 teaspoon baking soda,2 teaspoons hot water,1 ¾ cups cake flour,1 ¼ cups whole wheat flour,1 teaspoon salt,1 cup dark chocolate chips,1 cup semisweet chocolate chips,½ cup chopped walnuts (Optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/280732/dark-chocolate-chip-cookies-with-greek-yogurt/
Nana's Spicy Pumpkin Chocolate Cookies,Culinary Envy,Pumpkin Cookie Recipes,NA,NA,20 mins,9 mins,1 hr 9 mins,40 mins,NA,NA,NA,NA,24 ,24 cookies,14,"1 cup white sugar, divided","½ cup unsalted butter, melted",¼ cup dark brown sugar,6 tablespoons pumpkin puree,1 teaspoon vanilla extract,1 ½ cups all-purpose flour,"2 ¼ teaspoons ground cinnamon, divided",1 teaspoon pumpkin pie spice,¼ teaspoon salt,¼ teaspoon baking soda,¼ teaspoon baking powder,¼ cup miniature semisweet chocolate chips,"½ teaspoon ground cayenne pepper, or to taste",½ cup white candy-coated milk chocolate pieces (such as M&M's®),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/261476/nanas-spicy-pumpkin-chocolate-cookies/
Gluten-Free Dense and Chewy Vegan Pumpkin Cookies,TessaDomesticDiva,Pumpkin Cookie Recipes,NA,NA,20 mins,32 mins,1 hr 32 mins,40 mins,NA,NA,NA,NA,12 ,12 cookies,18,1 cup pumpkin puree,½ cup brown sugar,½ cup shortening,½ cup white sugar,1 teaspoon vanilla extract,"½ cup dried cranberries, or to taste (Optional)","¼ cup pumpkin seeds, or to taste (Optional)","1 cup oat flour, or more as needed","¾ cup tapioca flour, or more as needed","½ cup brown rice flour, or more as needed",1 ½ teaspoons guar gum,1 teaspoon ground cinnamon,½ teaspoon salt,½ cup confectioners' sugar,",",½ cup confectioners' sugar,"1 tablespoon margarine, melted","1 teaspoon soy milk, or more as needed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/259750/gluten-free-dense-and-chewy-vegan-pumpkin-cookies/
Chocolate Mint Cake Mix Cookies,Rebecca Kovacs,Cake Mix Cookie Recipes,NA,NA,10 mins,10 mins,40 mins,20 mins,NA,NA,NA,NA,36 ,36 cookies,5,1 (15.25 ounce) package dark chocolate fudge cake mix,½ cup vegetable oil,2 large eggs,½ (10 ounce) package creme de menthe baking chips (such as Andes®),½ (10 ounce) bag white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/277578/chocolate-mint-cake-mix-cookies/
Fudgy Chocolate Crackle Cookies,Kristen Moreland,Chocolate Cookie Recipes,NA,NA,20 mins,20 mins,1 hr 40 mins,1 hr,NA,NA,NA,NA,25 ,25 cookies,11,1 cup white sugar,2 large eggs,3 tablespoons vegetable oil,1 teaspoon vanilla extract,"¼ cup margarine, melted",1 cup all-purpose flour,9 tablespoons unsweetened cocoa powder,1 teaspoon baking powder,¼ teaspoon salt,1 cup white chocolate chips,3 tablespoons white sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/284891/fudgy-chocolate-crackle-cookies/
Cookie Dough Cupcakes,lovestohost,Chocolate,4.5,1444,20 mins,20 mins,2 hrs 40 mins,2 hrs,NA,NA,NA,NA,24 ,2 dozen cupcakes,13,1 ½ cups all-purpose flour,¼ teaspoon baking soda,¼ teaspoon sea salt,"½ cup butter, softened",¼ cup white sugar,½ cup brown sugar,1  egg,2 teaspoons vanilla extract,1 cup miniature semisweet chocolate chips,1 (18.25 ounce) box yellow cake mix,1 ⅓ cups water,⅓ cup canola oil,3  eggs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/190739/chocolate-chip-cookie-dough-cupcake-the-best-cupcake-ever/
Cowboy Cookie Mix in a Jar,Phyllis,Oatmeal Cookie Recipes,4.5,364,25 mins,NA,25 mins,NA,NA,NA,NA,NA,18 ,3 dozen cookies,9,1 ⅓ cups rolled oats,½ cup packed brown sugar,½ cup white sugar,½ cup chopped pecans,1 cup semisweet chocolate chips,1 ⅓ cups all-purpose flour,1 teaspoon baking powder,1 teaspoon baking soda,¼ teaspoon salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/15161/cowboy-cookie-mix-in-a-jar/
Best Breakfast Cookie,LEIE,NA,4.7,129,25 mins,8 mins,45 mins,12 mins,NA,NA,NA,NA,30 ,30 cookies,15,2 cups brown sugar,2 ½ cups rolled oats,4 cups all-purpose flour,1 tablespoon baking soda,1 teaspoon baking powder,1 teaspoon salt,1 ½ teaspoons ground cinnamon,¼ cup canola oil,½ cup prune puree,2 tablespoons water,5  egg whites,1 ½ teaspoons vanilla extract,¾ cup raisins,¼ cup chopped walnuts,⅓ cup chopped dried apricots,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/26107/best-breakfast-cookie/
Pecan Sandies,m-ann,Pecan,4.7,501,15 mins,10 mins,25 mins,NA,NA,NA,NA,NA,96 ,8 dozen cookies,11,"1 1/2 cups white sugar, divided","1 cup butter, softened",1 cup vegetable oil,"1 cup confectioners' sugar, sifted",2 large eggs,1 teaspoon vanilla extract,4 cups all-purpose flour,1 teaspoon baking soda,1 teaspoon cream of tartar,1 teaspoon salt,2 cups chopped pecans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/26206/pecan-sandies/
Chocolate Cookie Buttercream Frosting,Nancy Dorman,Cookie Frosting,4.6,359,10 mins,NA,10 mins,NA,NA,NA,NA,NA,24 ,3 cups,5,¼ cup butter,2 cups confectioners' sugar,3 tablespoons cocoa powder,1 teaspoon vanilla extract,2 tablespoons milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/9994/chocolate-cookie-buttercream-frosting/
Danish Butter Cookies,TheOtherJuliaGulia,Scandinavian,NA,NA,40 mins,30 mins,2 hrs 35 mins,1 hr 25 mins,NA,NA,NA,NA,84 ,7 dozen cookies,8,4 cups all-purpose flour,¾ cup white sugar,1 teaspoon baking soda,"1 pound unsalted Danish butter (such as Lurpak® or Plugrá®), room temperature","1 large egg, beaten",1 cup turbinado sugar,"1 (8 ounce) package semisweet chocolate bar (such as Ghirardelli®), chopped",2 tablespoons flaky sea salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/277786/danish-butter-cookies/
Eloise's Ginger Cookies,Tri-Anne's Recipe,NA,NA,NA,20 mins,10 mins,30 mins,NA,NA,NA,NA,NA,12 ,12 servings,10,1 cup white sugar,¾ cup shortening,¼ cup molasses,"1  egg, beaten",2 cups all-purpose flour,2 teaspoons baking soda,1 teaspoon ground ginger,1 teaspoon ground cinnamon,¼ teaspoon salt,"½ cup white sugar, or as needed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/241024/eloises-ginger-cookies/
Zesty Cranberry-Bran Cookies,Wendy H,Cranberry,NA,NA,15 mins,15 mins,35 mins,5 mins,NA,NA,NA,NA,16 ,16 cookies,12,½ cup all-purpose flour,2 tablespoons all-purpose flour,¼ cup flaxseed meal,½ teaspoon baking powder,½ teaspoon baking soda,"¼ cup unsalted butter, softened",¼ cup white sugar,1 large egg white,½ teaspoon milk,⅝ cup sweetened dried cranberries,½ cup bran cereal (such as All-Bran® Bran Buds®),"1 teaspoon orange zest, or to taste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/285211/zesty-cranberry-bran-cookies/
Peppermint Chocolate Chip Cookies,Allrecipes Member,Chocolate Chip Cookie Recipes,NA,NA,15 mins,8 mins,1 hr 24 mins,1 hr 1 mins,NA,NA,NA,NA,36 ,3 dozen,12,1 ½ cups white sugar,"1 cup butter, softened",2  eggs,1  egg yolk,10 drops green food coloring,1 teaspoon peppermint extract,3 ¼ cups all-purpose flour,2 teaspoons baking powder,1 teaspoon baking soda,1 teaspoon cream of tartar,½ teaspoon kosher salt,1 (12 ounce) bag dark chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/261414/peppermint-chocolate-chip-cookies/
Real Neapolitan Cookies,nella marley,Italian,NA,NA,45 mins,11 mins,9 hrs 11 mins,8 hrs 15 mins,NA,NA,NA,NA,96 ,8 dozen 1-inch squares,11,8 ounces canned almond filling,"5  eggs, separated",1 cup margarine,1 cup white sugar,2 ¼ cups sifted all-purpose flour,½ teaspoon baking powder,"3 drops green food coloring, or to taste","3 drops red food coloring, or to taste",¼ cup apricot preserves,¼ cup seedless raspberry jam,6 (1 ounce) squares semisweet chocolate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/213063/real-neapolitan-cookies/
Gluten-Free Chewy Oatmeal-Chocolate Chip Cookies,Theresa Carroll,NA,NA,NA,15 mins,15 mins,40 mins,10 mins,NA,NA,NA,NA,20 ,20 cookies,11,½ cup gluten-free flour blend (such as Namaste®),2 tablespoons gluten-free flour blend (such as Namaste®),½ teaspoon salt,¼ teaspoon baking soda,½ cup vegan butter (such as Earth Balance®),½ cup packed light brown sugar,¼ cup white sugar,1 large egg,1 teaspoon vanilla extract,1 ½ cups gluten-free quick-cooking oats,½ cup vegan chocolate chips (such as Enjoy Life®),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/285885/gluten-free-chewy-oatmeal-chocolate-chip-cookies/
Matcha and White Chocolate Cookies,Naoki Matcha,Drop Cookie Recipes,NA,NA,20 mins,10 mins,40 mins,10 mins,NA,NA,NA,NA,24 ,24 cookies,12,⅔ cup superfine sugar,"½ cup unsalted butter, softened",½ cup packed brown sugar,1 ½ cups all-purpose flour,2 tablespoons all-purpose flour,10 tablespoons green tea powder (matcha),1 teaspoon baking soda,½ teaspoon baking powder,½ teaspoon salt,1 large egg,1 teaspoon vanilla extract,⅓ cup white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/286071/matcha-and-white-chocolate-cookies/
Pumpkin Oatmeal Cookies,Quaxo,Pumpkin Cookie Recipes,NA,NA,15 mins,15 mins,30 mins,NA,NA,NA,NA,NA,30 ,5 dozen,16,1 (15 ounce) can pumpkin puree,1 cup honey,¾ cup shortening,¼ cup water,1  egg,1 teaspoon vanilla extract,3 cups oats,1 ½ cups all-purpose flour,¼ cup brown sugar,2 teaspoons ground cinnamon,1 ½ teaspoons ground ginger,1 teaspoon baking soda,1 teaspoon baking powder,½ teaspoon salt,½ teaspoon ground nutmeg,⅛ teaspoon ground cloves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/240340/pumpkin-oatmeal-cookies/
Orange Spice Cookies,Bobbie Susan,Orange,NA,NA,30 mins,15 mins,45 mins,NA,NA,NA,NA,NA,30 ,30 cookies,17,1 ¼ cups dark brown sugar,½ cup white sugar,"½ cup unsalted butter, softened","2 tablespoons unsalted butter, softened",2 tablespoons cream cheese,1 large egg,1 tablespoon molasses,1 teaspoon vanilla extract,1 teaspoon orange extract,½ teaspoon maple extract (Optional),2 ½ cups all-purpose flour,"6 tablespoons grated orange zest, or to taste",2 tablespoons ground cinnamon,1 ½ teaspoons baking soda,1 ½ teaspoons salt,½ teaspoon ground cloves,½ teaspoon ground nutmeg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/286104/orange-spice-cookies/
Homestead Harvest Cookies,Rachel Greenfield,Apple Dessert Recipes,NA,NA,15 mins,20 mins,35 mins,NA,NA,NA,NA,NA,48 ,48 cookies,13,"1 ¾ cups raw sugar, divided",3 tablespoons raw honey,"1 cup unsalted butter, softened",2 large eggs,1 teaspoon vanilla extract,2 ¼ cups whole wheat pastry flour,1 teaspoon baking soda,1 teaspoon sea salt,½ teaspoon ground cinnamon,⅛ teaspoon ground cloves,1 cup dried apples,1 cup dried persimmons,1 cup chopped black walnuts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/279566/homestead-harvest-cookies/
Pumpkin-Molasses Cookies,AZ JAZZ,NA,NA,NA,15 mins,15 mins,1 hr 5 mins,35 mins,NA,NA,NA,NA,36 ,36 cookies,11,¾ cup butter-flavored shortening,¼ cup brown sugar,"¾ cup white sugar, divided",¼ cup molasses,"1 large egg, beaten",2 cups all-purpose flour,2 teaspoons baking soda,1 ½ teaspoons pumpkin pie spice,½ teaspoon ground cinnamon,½ teaspoon salt,1 tablespoon unsalted butter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/282182/pumpkin-molasses-cookies/
Amazing Vegan Oatmeal Cookies,Quentin Swindells,Oatmeal Cookie Recipes,NA,NA,20 mins,15 mins,35 mins,NA,NA,NA,NA,NA,40 ,40 cookies,14,1 cup non-dairy margarine,½ cup brown sugar,½ cup confectioners' sugar,½ cup lukewarm water,2 tablespoons ground flax seeds,1 teaspoon vanilla extract,2 cups all-purpose flour,2 teaspoons baking powder,2 cups rolled oats,¼ cup shredded coconut,2 ½ teaspoons ground cinnamon,½ teaspoon ground cloves,½ cup vegan chocolate chips (Optional),"½ cup dried apricots, quartered (Optional)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/263654/amazing-vegan-oatmeal-cookies/
Gluten-Free Egg-free Oatmeal Chocolate Chip and Raisin Cookies,hopeconnex,Chocolate Chip Cookie Recipes,NA,NA,20 mins,15 mins,36 mins,1 mins,NA,NA,NA,NA,24 ,24 cookies,14,cooking spray,"1 cup butter, melted",¾ cup brown sugar,¼ cup white sugar,1 (4 ounce) container applesauce,2 teaspoons vanilla extract,1 teaspoon baking soda,1 teaspoon baking powder,1 ½ cups gluten-free all-purpose baking flour (such as Hodgson Mill®),2 teaspoons ground cinnamon,1 teaspoon salt,2 cups quick-cooking oats,1 cup raisins,1 cup gluten-free chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/259747/gluten-free-egg-free-oatmeal-chocolate-chip-and-raisin-cookies/
Gluten-Free Oatmeal Cookies,Edible Times,NA,NA,NA,20 mins,10 mins,35 mins,5 mins,NA,NA,NA,NA,18 ,18 cookies,13,2 cups gluten-free oats,½ cup oat flour,3 tablespoons gluten-free brewer's yeast (Optional),2 tablespoons ground flaxseed meal,2 tablespoons psyllium husk powder,2 teaspoons ground cinnamon,1 cup coconut oil,¼ cup maple syrup,2 tablespoons unsulfured molasses,2 large eggs,1 teaspoon vanilla extract,1 teaspoon kosher salt,1 ½ cups dark chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/285883/gluten-free-oatmeal-cookies/
Classic Chocolate Ice Cream Sandwich,NA,NA,5,15,30 mins,10 mins,1 hr 10 mins,30 mins,NA,NA,NA,NA,6 ,6 ice cream sandwiches,12,vegetable oil cooking spray,½ cup all-purpose flour,1 tablespoon all-purpose flour,¼ teaspoon kosher salt,¼ teaspoon baking soda,⅓ cup sifted Dutch-process cocoa powder,"3 tablespoons unsalted butter, softened",¼ cup white sugar,2 tablespoons light brown sugar,½ teaspoon pure vanilla extract,"⅓ cup whole milk, at room temperature",6 scoops vanilla ice cream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/284548/classic-chocolate-ice-cream-sandwich/
Mailäenderli (Swiss Butter Cookies),Cindy Krafft,Swiss,4.6,12,50 mins,20 mins,2 hrs 10 mins,1 hr,NA,NA,NA,NA,50 ,50 cookies,8,4 large eggs,1 ¼ cups white sugar,"1 ⅛ cups unsalted butter, melted and cooled to lukewarm",1 pinch salt,4 cups all-purpose flour,1 ½ teaspoons grated lemon zest,"2 large egg yolks, beaten",seasonal colored sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/149270/mailaenderli/
Cookie Salad,JT jan,Dessert Salad Recipes,4.8,136,10 mins,NA,10 mins,NA,NA,NA,NA,NA,6 ,NA,6,2 (3.4 ounce) packages instant vanilla pudding mix,2 cups buttermilk,"12 ounces frozen whipped topping (such as Cool Whip), thawed","1 (20 ounce) can pineapple chunks, drained","2 (11 ounce) cans mandarin oranges, drained",½ (11.5 ounce) package fudge stripe cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/18486/cookie-salad-i/
Air Fryer Apple Cookies,Bren,Apple Dessert Recipes,NA,NA,10 mins,20 mins,30 mins,NA,NA,NA,NA,NA,4 ,4 cookies,10,"1  Red Delicious apple - peeled, cored, and grated",1 teaspoon ground cinnamon,3 tablespoons milk,1  egg,½ cup all-purpose flour,2 tablespoons white sugar,1 teaspoon baking powder,⅛ teaspoon salt,"1 tablespoon avocado oil, or as needed",½ teaspoon powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/278281/air-fryer-apple-cookies/
Oreo Cookie Cake,Pam,NA,4.7,362,30 mins,NA,1 hr,30 mins,NA,NA,NA,NA,24 ,1 9x13-inch cake,7,1 (20 ounce) package chocolate sandwich cookies,½ cup butter,"1 (16 ounce) container frozen whipped topping, thawed",2 (8 ounce) packages cream cheese,1 cup confectioners' sugar,2 cups milk,1 (3.5 ounce) package instant vanilla pudding mix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/7995/oreo-cookie-cake/
Oreo-Stuffed Chocolate Chip Cookies,Mara E Pava,Filled Cookie Recipes,NA,NA,20 mins,15 mins,55 mins,20 mins,NA,NA,NA,NA,18 ,18 cookies,10,"1 ½ sticks unsalted butter, at room temperature",1 cup brown sugar,¾ cup white sugar,2 large eggs,1 tablespoon vanilla extract,½ teaspoon ground cinnamon,3 cups all-purpose flour,1 teaspoon baking powder,½ cup chocolate chips,½ (14 ounce) package chocolate sandwich cookies (such as Oreo®),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/285882/oreo-stuffed-chocolate-chip-cookies/
Christmas Stars,kathy,Sandwich Cookie Recipes,4.4,100,30 mins,15 mins,4 hrs 45 mins,4 hrs,NA,NA,NA,NA,24 ,2 dozen,9,"¾ cup butter, softened",1 cup white sugar,2  egg,1 teaspoon vanilla extract,2 ½ cups all-purpose flour,1 teaspoon baking powder,¼ teaspoon salt,6 tablespoons strawberry jam,¼ cup green decorator sugar (Optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/11507/christmas-stars/
Chocolate Candy-Brownie Cookies,SweetArtistJenn,Drop Cookie Recipes,NA,NA,25 mins,10 mins,35 mins,NA,NA,NA,NA,NA,36 ,6 dozen cookies,12,2 cups all-purpose flour,1 ½ cups unsweetened cocoa powder,1 teaspoon baking soda,1 teaspoon salt,2 cups brown sugar,1 cup vegetable shortening,1 cup white sugar,⅓ cup butter,3  large eggs,2 teaspoons vanilla extract,2 tablespoons water,2 cups candy-coated milk chocolate pieces (such as M&M's®),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/266752/chocolate-candy-brownie-cookies/
Blueberry Cornmeal Cookies,Yoly,Drop Cookie Recipes,NA,NA,20 mins,20 mins,40 mins,NA,NA,NA,NA,NA,18 ,18 cookies,12,nonstick cooking spray,1 cup white masa harina (corn flour),1 cup all-purpose flour,½ cup cornmeal,1 teaspoon cream of tartar,1 teaspoon salt,1 cup brown sugar,"½ cup unsalted butter, at room temperature",1 large egg,2 tablespoons milk,1 cup dried blueberries,¼ cup white sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/286089/blueberry-cornmeal-cookies/
Becel® Anything Goes Cookie Dough,Becel,Cookies,5,1,10 mins,7 mins,19 mins,2 mins,NA,NA,NA,NA,60 ,60 cookies,8,2 ¼ cups all-purpose flour,1 teaspoon baking soda,½ teaspoon salt,1 cup Becel® Original margarine,1 cup firmly packed light brown sugar,¼ cup granulated sugar,2 large eggs,1 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/284207/becel-anything-goes-cookie-dough/
Heather's Healthy Oatmeal Surprises,Heather,Spice Cookie Recipes,4.6,110,15 mins,10 mins,25 mins,NA,NA,NA,NA,NA,36 ,3 dozen,14,"¾ cup butter, softened",½ cup white sugar,1 cup packed brown sugar,2  egg whites,1  egg,1 teaspoon vanilla extract,1 ½ cups whole wheat flour,1 teaspoon baking soda,1 teaspoon ground cinnamon,⅛ teaspoon ground nutmeg,½ teaspoon salt,3 cups quick-cooking oats,½ cup peanut butter chips,½ cup semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/17326/heathers-healthy-oatmeal-surprises/
Cream Cheese Cut-Outs II,PLINDLEY,Sugar Cookie Recipes,4.2,142,30 mins,7 mins,38 mins,1 mins,NA,NA,NA,NA,48 ,4 dozen,7,"½ cup butter, softened",1 (3 ounce) package cream cheese,1 cup white sugar,1  egg,½ teaspoon vanilla extract,2 cups all-purpose flour,½ teaspoon baking powder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/26133/cream-cheese-cut-outs-ii/
Bethmännchen (German Marzipan Christmas Cookies),nch,Germany,NA,NA,30 mins,15 mins,45 mins,NA,NA,NA,NA,NA,40 ,40 cookies,3,14 ounces marzipan,"1 ¼ cups blanched almonds, halved",1 large egg white,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/282436/bethmaennchen-german-marzipan-christmas-cookies/
Cookie Mix in a Jar III,Lisa,Drop Cookie Recipes,4.7,108,20 mins,NA,20 mins,NA,NA,NA,NA,NA,36 ,3 dozen,9,1 cup all-purpose flour,1 teaspoon ground cinnamon,½ teaspoon ground nutmeg,1 teaspoon baking soda,½ teaspoon salt,¾ cup raisins,2 cups rolled oats,¾ cup packed brown sugar,½ cup white sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10644/cookie-mix-in-a-jar-iii/
Cookie Press Shortbread,Heather,Spritz Cookie Recipes,4,178,25 mins,10 mins,35 mins,NA,NA,NA,NA,NA,24 ,2 dozen,5,1 cup butter,½ cup confectioners' sugar,¼ teaspoon vanilla extract,1 ½ cups all-purpose flour,½ cup cornstarch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10003/cookie-press-shortbread/
