title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,source,link,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31,ingredient32,ingredient33,ingredient34
Easter sugar cookies,Emily Leary,5, 1 ,"Cookies, Easter",British,Prep Time20 minutes mins,Cook Time8 minutes mins,NA,Total Time28 minutes mins,20 cookies,19,"Preheat the oven to 200C (180C fan assisted, 400F).
Put the butter, sugar, eggs and vanilla in a mixing bowl. Whisk until fluffy and pale.
Sift in the flour, baking powder, salt and bicarbonate of soda. Stir until fully combined and clumpy
Gather up the pieces and knead together only as much as it takes to get a smooth ball of dough.
Wrap and place in the fridge to rest and chill for 15 minutes.
While the cookie dough is chilling, clean down your surface and dust with cornflour.
Knead the white sugar paste to soften and divide into four pieces. Add a tiny bit of food colouring to each, leaving one white.
Knead to produce three pastel shades.
Break the balls of sugar paste into small pieces and drop onto the surface to form a mishmash of coloured pieces. Gather it all together knead and twist briefly to produce a marble effect. Don’t overwork as the colours will merge into one.
Roll the icing out to about half a centimetre (¼ inch) thick.
Cut out 20 egg shapes using your egg-shaped cookie cutter. Aim to cut them close together to reduce the need to gather and re-roll the sugar paste as the colours will merge.
Place the sugar paste eggs to one side on a board lightly dusted with cornflour so that they stay flat.
Clean your surface and dust with flour. Retrieve your chilled cookie dough and roll it out to approximately 7-8mm thick (approx ⅓ inch).
Cut as many cookies as you can with the same egg-shaped cookie cutter your used for the sugar paste. Again, aim to cut them close together to reduce the need to overwork the dough by gathering and re-rolling too many times. You should get 20 cookies .
Place the cookies on a lined baking sheets as you cut them out. They don't need to be spaced more than a centimetre of two (half inch) apart as they only spread a little bit.
Bake the cookies for 8 minutes or until pale golden at the edges.
In a small container, mix the icing sugar with a teaspoon of water until dissolved to make a 'glue'.
Brush the warm cookies with the 'glue', then place a sugar paste heart on top. Repeat until all the cookies are iced.
Transfer the cookies to cooling rack to cool and crisp up.",24,110 g (1 stick) salted butter cubed,100 g (½ cup + 1 tbsp) white caster sugar (superfine sugar),1 medium free range eggs,½ tsp vanilla extract,250 g (1⅔ cups) plain white flour (all purpose flour),¼ tsp bicarbonate of soda (baking soda),¼ tsp baking powder,¼ tsp salt,1 tsp cornflour (cornstarch) for dusting,"500 g (18 oz) white sugar paste vegetarian, if required","yellow, blue and pink food colouring to produce pastel shades",2 tbsp icing sugar (powdered sugar),110 g (1 stick) salted butter cubed,100 g (½ cup + 1 tbsp) white caster sugar (superfine sugar),1 medium free range eggs,½ tsp vanilla extract,250 g (1⅔ cups) plain white flour (all purpose flour),¼ tsp bicarbonate of soda (baking soda),A Mummy Too,https://www.amummytoo.co.uk/easter-sugar-cookies/,¼ tsp baking powder,¼ tsp salt,1 tsp cornflour (cornstarch) for dusting,"500 g (18 oz) white sugar paste vegetarian, if required","yellow, blue and pink food colouring to produce pastel shades",2 tbsp icing sugar (powdered sugar),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vegan Easter biscuits recipe (gluten free),Emily Leary,5, 1 ,"Cookies, Easter",American,Prep Time10 minutes mins,Cook Time15 minutes mins,NA,Total Time25 minutes mins,12 cookies,18,"Preheat the oven to 200C (180C fan assisted, 400F).
Line a baking sheet with greaseproof paper
Put the chia seeds in a bowl of water with 2 tbsp water.
Put the vegan butter and sugar in a large mixing bowl and whisk together until pale and fluffy.
Add the chia seeds and vanilla and stir together.
Sift in the gluten-free flour, baking powder, salt and bicarbonate of soda, then mix until fully combined.
Knead in the bowl only as much as it takes to get a smooth ball of dough.
Wrap and place in the refrigerator to firm up. This will take between 15 and 45 minutes depending on how warm your dough got during preparation.
Shape and bake the cookies
Divide the cookie dough into 12 equal pieces. Roll into balls and place, well-spaced, on two lined baking sheets.
Press your thumb into the centre of each cookie to create a little well.
Bake the cookies for 15-20 minutes until they feel fairly firm (they'll crisp up once they're out of the oven)
If the centres have puffed up, you can press them back down gently with the back of a spoon while they're still hot.
Cool on wire rack.
In a small container, mix the icing sugar with the plant milk and stir together to create a thick icing. Stir in a couple of drops of pink food colouring.
Drizzle the icing over the cookies in a back and forth pattern.
Squeeze a little more of the pink icing into the well in the centre of each cookie.
Place three mini eggs in each well to complete the little nests.",24,110 g (1 tbsp) plant-based butter,100 g (½ cup + 1 tbsp) white caster sugar (superfine sugar) superfine,1 tbsp chia seeds crushed,½ tsp vanilla extract,250 g (1⅔ cups) plain white flour (all purpose flour) plus extra for dusting,¼ tsp bicarbonate of soda (baking soda),¼ tsp baking powder,¼ tsp salt,100 g (¾ cups) icing sugar (powdered sugar) powdered sugar,1 tbsp plant milk,Pink food colouring,100 g (3.5 oz) chocolate mini eggs,110 g (1 tbsp) plant-based butter,100 g (½ cup + 1 tbsp) white caster sugar (superfine sugar) superfine,1 tbsp chia seeds crushed,½ tsp vanilla extract,250 g (1⅔ cups) plain white flour (all purpose flour) plus extra for dusting,¼ tsp bicarbonate of soda (baking soda),A Mummy Too,https://www.amummytoo.co.uk/vegan-easter-biscuits-recipe/,¼ tsp baking powder,¼ tsp salt,100 g (¾ cups) icing sugar (powdered sugar) powdered sugar,1 tbsp plant milk,Pink food colouring,100 g (3.5 oz) chocolate mini eggs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter cheesecake cookies,Emily Leary,5, 1 ,"Cookies, Easter",American,Prep Time15 minutes mins,Cook Time12 minutes mins,NA,Total Time27 minutes mins,16 cookies,17,"Preheat the oven to 180C (160C fan / 370F) and line two large baking sheets.
Melt the dark chocolate and set aside to cool.
Put the softened butter and cream cheese in a bowl and beat together until smooth and combined.
Add the sugar and whisk together until pale and fluffy.
Whisk the egg into the mixture.
Add the cooled melted chocolate and mix.
Sift in the flour, bicarbonate of soda, baking powder, salt and cocoa powder and fold together to produce a chocolate dough.
Add the white chocolate chunks and chopped mini eggs. Fold to evenly distribute throughout the dough.
Divide the mixture into 16 pieces, rolling into balls with your hands. Place the balls on lined baking sheets, making sure you allow plenty of room for them to spread.
Bake in the oven for 12 minutes.
Once out of the oven and while still warm, gently press a melon baller or the back of a spoon into the centre of each cookie to make a little well.
Melt white chocolate and allow to cool to room temp.
Place the cooled white chocolate in a bowl with the cream cheese. Whisk together to produce a smooth cheesecake mixture.
Place a teaspoon of the cheesecake mixture into the centre of each cookie.
Place three mini eggs onto each cookie.
Transfer to a wire rack to finish cooling.
Serve these Easter cheesecake cookies as part of your Easter celebrations.",28,75 g (⅓ cup) full fat cream cheese,50 g (½ stick) salted butter softened,150 g (⅓ + ½ cup) white caster sugar (superfine sugar),160 g (5.5 oz) dark chocolate (bittersweet) melted,1 medium free range eggs,225 g (1½ cups + 1 tbsp) plain white flour (all purpose flour),½ tsp bicarbonate of soda (baking soda),½ tsp baking powder,Pinch salt,30 g (¼ cup) cocoa powder (dutch processed),100 g (3.5 oz) Mini Cadbury Creme Eggs,100 g (⅓ cup + 2 tbsp) full fat cream cheese,100 g (3.5 oz) white chocolate melted,120 g (4 oz) Mini Cadbury Creme Eggs,75 g (⅓ cup) full fat cream cheese,50 g (½ stick) salted butter softened,150 g (⅓ + ½ cup) white caster sugar (superfine sugar),160 g (5.5 oz) dark chocolate (bittersweet) melted,A Mummy Too,https://www.amummytoo.co.uk/easter-cheesecake-cookies/,1 medium free range eggs,225 g (1½ cups + 1 tbsp) plain white flour (all purpose flour),½ tsp bicarbonate of soda (baking soda),½ tsp baking powder,Pinch salt,30 g (¼ cup) cocoa powder (dutch processed),100 g (3.5 oz) Mini Cadbury Creme Eggs,100 g (⅓ cup + 2 tbsp) full fat cream cheese,100 g (3.5 oz) white chocolate melted,120 g (4 oz) Mini Cadbury Creme Eggs,NA,NA,NA,NA,NA,NA
Lavender shortbread cookies,Emily Leary,4.9, 8 ,Cookies,Scottish,Prep Time10 minutes mins,Cook Time20 minutes mins,NA,Total Time30 minutes mins,24 cookies,10,"Put the flour, cold, cubed butter and 50g (¼ cup) of the sugar in a bowl.
Rub together until you have an even crumb.
Add the dried lavender and mix through.
Add 1 tbsp of cold water and cut through with a cutlery knife. Give a little bit of the mixture a squeeze. If it comes together, it’s ready. If it’s dry and sandy, cut in up to another 1 tbsp water.
Gather and knead the mixture just enough to bring it together as a smooth dough. Be careful not to overwork it.
Roll out the dough to about 1 cm (½ inch) thick and then cut out rounds using your 4-5cm (2 inch) cutter.
Transfer the rounds onto trays lined with baking paper. Put the trays in the fridge for at least 15 minutes until very firm.
While the biscuits chill, preheat the oven to 170C (150C fan / 340F).
Bake for 20-25 minutes until they've taken on just a very slight golden colour.
As soon as they’re out of the oven, sprinkle with the remaining sugar and allow to cool for 5 minutes. Transfer to a wire rack to cool completely.",8,250 g (1⅔ cups) plain white flour (all purpose flour) sifted,65 g (⅓ cup + 1 tsp) white caster sugar (superfine sugar),125 g (9 tbsp) salted butter cold and cubed,½ tsp dried lavender up to 1 tsp if you prefer a more pronounced flavour,250 g (1⅔ cups) plain white flour (all purpose flour) sifted,65 g (⅓ cup + 1 tsp) white caster sugar (superfine sugar),125 g (9 tbsp) salted butter cold and cubed,½ tsp dried lavender up to 1 tsp if you prefer a more pronounced flavour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/lavender-shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
How to make dinosaur cookies,Emily Leary,4.5, 6 ,cakes and bakes,American,Prep Time20 minutes mins,Cook Time8 minutes mins,NA,Total Time28 minutes mins,24 cookies,17,"Preheat the oven to 200C (180C fan assisted, 400F).
Put the butter and sugar in a bowl. Whisk together until fluffy.
Add the egg and vanilla. Whisk together.
Add the flour, baking powder, bicarbonate of soda and salt (if using). Mix until evenly combined and starting to clump.
Turn out onto an un-floured board and knead only as much as it takes to get a smooth ball of dough.
Divide the dough into four and roll each into flattened discs.
Add food colouring to each to give different shades I used the following for each ball of dough: 1) yellow 2) green 3) green and blue 4) green and red.
Knead each ball, folding until the colour is distributed - it's fine if it's a little streaky as this will add to the effect.
If the dough balls feels too soft (this can happen if your kitchen is warm) then wrap and pop them the fridge to rest and cool for 15 minutes.
Flour your surface lightly, then start to tear small pieces of dough off each colour and dot them around to create a sort of camouflage pattern. Gather the dough together into a slab.
Roll out to approximately 7-8mm thick (approx 1/3 inch).
Cut out the dinosaur shapes. Aim to cut them close together to reduce the need to reroll too many times.
Gather the offcuts and, just as you did before, gather into a slab, which you can then re-roll to cut further dinosaur shapes.
Place the cookies on baking sheets lined with greaseproof paper. They don't spread much at all, so can be place quite close together.
Bake the cookies for 8 minutes.
Transfer to a wire rack to cool completely.
To finish, use your writing pens to add eye and mouth details to your dinosaurs. You can make them as cute or as scary as you wish!",20,110 g (1 stick) margarine,100 g (½ cup + 1 tbsp) white caster sugar (superfine sugar),1 medium free range eggs,½ tsp vanilla extract,250 g (1¾ cups) plain white flour (all purpose flour) plus extra for dusting,¼ tsp bicarbonate of soda (baking soda),¼ tsp baking powder,¼ tsp salt leave out if using salted butter,"writing icing pens black, white and red","food colouring green, blue, red and yellow",110 g (1 stick) margarine,100 g (½ cup + 1 tbsp) white caster sugar (superfine sugar),1 medium free range eggs,½ tsp vanilla extract,250 g (1¾ cups) plain white flour (all purpose flour) plus extra for dusting,¼ tsp bicarbonate of soda (baking soda),¼ tsp baking powder,¼ tsp salt leave out if using salted butter,A Mummy Too,https://www.amummytoo.co.uk/dinosaur-cookies/,"writing icing pens black, white and red","food colouring green, blue, red and yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Easter cookies,Emily Leary,5, 1 ,Cookies,American,Prep Time15 minutes mins,Cook Time12 minutes mins,NA,Total Time27 minutes mins,16 cookies,11,"Preheat the oven to 180C (160C fan) and grease and line two large baking sheets.
Put the softened butter and golden granulated sugar in a mixing bowl. Whisk together until pale and fluffy.
Add the egg and whisk again.
Add the cooled melted chocolate and whisk to combine.⠀
Add the flour, bicarbonate of soda, baking powder, salt and cocoa powder.  Mix to produce a chocolate dough.⠀
Add most of the Mini Eggs (keep a handful back). Mix to evenly distribute throughout the dough.
Divide the mixture into 16 pieces, rolling into balls with your hands. Place the balls on lined baking sheets, making sure you allow plenty of room for them to spread.
Flatten the cookies about halfway, to give fat discs.⠀
Bake in the oven for 12 minutes.⠀
Once out of the oven and while still warm, gently press the remaining Mini Egg pieces on top of each cookie so that they melt a little and stick.⠀
Once they've firmed up, transfer to a wire rack to cool completely and enjoy!⠀",20,125 g (4.4 oz) salted butter softened,150 g (5.3 oz) golden granulated sugar (cane sugar),160 g (5.6 oz) dark chocolate (bittersweet) melted,1 medium free range eggs,225 g (7.9 oz) plain white flour (all purpose flour),1/2 tsp (0.5 tsp) bicarbonate of soda (baking soda),1/2 tsp (0.5 tsp) baking powder,Pinch salt,4 tbsp cocoa powder (dutch processed),200 g (7.1 oz) Mini Eggs roughly chopped,125 g (4.4 oz) salted butter softened,150 g (5.3 oz) golden granulated sugar (cane sugar),160 g (5.6 oz) dark chocolate (bittersweet) melted,1 medium free range eggs,225 g (7.9 oz) plain white flour (all purpose flour),1/2 tsp (0.5 tsp) bicarbonate of soda (baking soda),1/2 tsp (0.5 tsp) baking powder,Pinch salt,A Mummy Too,https://www.amummytoo.co.uk/chocolate-easter-cookies/,4 tbsp cocoa powder (dutch processed),200 g (7.1 oz) Mini Eggs roughly chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchmaker cookies,Emily Leary,5, 1 ,Cookies,American,Prep Time15 minutes mins,Cook Time10 minutes mins,NA,Total Time25 minutes mins,30 cookies,9,"Preheat the oven to 180C (160C fan-assisted, 350F).
In a large bowl, beat the margarine, golden syrup, sugar and food colouring until fluffy.
Add the egg. Beat until well combined.
Fold in the flour and the baking powder.
Add 100g of Matchmaker pieces. Stir through.
Place tablespoons of mixture at least 5cm (2 inches) apart on a baking sheet lined with baking paper.
Bake for 8-10 minutes until they just start to go golden at the very edges. Remove from the oven.
While the cookies are still hot, put extra Matchmaker pieces on top of the cookies.
Allow the cookies to cool for 5 minutes until firm enough to transfer to a wire rack to cool completely.",16,130 g (4.6 oz) margarine,60 g (2.1 oz) golden syrup,160 g (5.6 oz) white caster sugar (superfine sugar),1 tsp green food colouring,1 medium free range eggs,235 g (8.3 oz) plain white flour (all purpose flour),1 tsp baking powder,120 g (4.2 oz) Mint Matchmakers broken into quarters,130 g (4.6 oz) margarine,60 g (2.1 oz) golden syrup,160 g (5.6 oz) white caster sugar (superfine sugar),1 tsp green food colouring,1 medium free range eggs,235 g (8.3 oz) plain white flour (all purpose flour),1 tsp baking powder,120 g (4.2 oz) Mint Matchmakers broken into quarters,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/matchmaker-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apricot chocolate chip cookies,Emily Leary,5, 1 ,Desserts and sweet treats,American,Prep Time10 minutes mins,Cook Time10 minutes mins,NA,Total Time20 minutes mins,30 cookies,7,"Preheat oven to 180C/355F (160C/320F fan). Put the sugar and the margarine in a mixing bowl and beat together until pale and fluffy.
Add the egg and beat again.
Add the flour and baking powder. Fold through into a loose cookie dough.
Add in the chopped apricots and chocolate chips. Fold together.
Drop separate spoonfuls of the mixture, spaced well apart, onto a greased baking sheet, using more than one baking sheet if necessary. At about 50g per dollop, I got 15 cookies.
Bake in the oven for about 8-10 minutes until golden brown.
You'll need to give them a few minutes to firm up on the tray before transferring them to a cooling rack to finishing cooling.",14,250 g (8.8 oz) margarine or butter,250 g (8.8 oz) white caster sugar (superfine sugar),250 g (8.8 oz) plain white flour (all purpose flour),1 tsp baking powder,1 medium free range eggs,80 g (2.8 oz) dried apricots chopped,80 g (2.8 oz) milk chocolate chips,250 g (8.8 oz) margarine or butter,250 g (8.8 oz) white caster sugar (superfine sugar),250 g (8.8 oz) plain white flour (all purpose flour),1 tsp baking powder,1 medium free range eggs,80 g (2.8 oz) dried apricots chopped,80 g (2.8 oz) milk chocolate chips,NA,NA,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/apricot-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nutella sandwich cookies,Emily Leary,5, 1 ,Cookies,British,Prep Time30 minutes mins,Cook Time12 minutes mins,NA,Total Time42 minutes mins,12 cookies,15,"Preheat the oven to 180C (160C fan, 350F).
Put the flour, sugar and cocoa in a large bowl. Whisk together to combine well.
Rub the cubed butter and flour together until you get an even crumb with no big lumps of butter.
Add the vanilla extract and a tbsp of cold water. Cut it through the mix with a round knife.
Eventually, you should be able to work the mix into a soft dough. You can add a drop more water if necessary. If it’s a bit too squidgy to work with, wrap and chill it for 10 minutes
Place the dough between two sheets of baking paper that have been lightly dusted with icing sugar (this help avoid sticking) and roll out to about 0.5cm thick (1/5 inch).
Cut out your biscuits using a round 9cm (3.5 inch) cutter.
Cut a hole in the centre of half of the rounds with your 4cm (1.5 inch) cutter.
Gather up the offcuts and re-roll as necessary until you have used up all the dough and have 24 rounds, half with holes in the centre.
Place the rounds on baking tray lined with baking paper and gently press a few chocolate drops onto the cookies with holes.
Bake for 12-15 minutes until just firm when pressed.
When cool enough to handle, transfer to a wire rack to cool completely.
Spoon 1 tbsp of Nutella onto each bottom layer cookie (the ones without holes). Use a round knife or palette knife to spread the Nutella to the edges.
Place a cookie with a hole in it on top off each Nutella topped cookie to form your sandwich cookies.
Repeat until all the cookies are completed.",16,270 g (9.5 oz) plain white flour (all purpose flour),75 g (2.6 oz) white caster sugar (superfine sugar),200 g (7.1 oz) salted butter chilled and cubed,1 tsp vanilla extract,40 g (1.4 oz) cocoa powder (dutch processed),15 g (0.5 oz) chocolate drops or chunks,icing sugar (powdered sugar) to dust,300 g (10.6 oz) Nutella,270 g (9.5 oz) plain white flour (all purpose flour),75 g (2.6 oz) white caster sugar (superfine sugar),200 g (7.1 oz) salted butter chilled and cubed,1 tsp vanilla extract,40 g (1.4 oz) cocoa powder (dutch processed),15 g (0.5 oz) chocolate drops or chunks,icing sugar (powdered sugar) to dust,300 g (10.6 oz) Nutella,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/nutella-sandwich-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ferrero Rocher cookies,Emily Leary,4.5, 4 ,Cookies,American,Prep Time15 minutes mins,Cook Time15 minutes mins,NA,Total Time30 minutes mins,12 cookies,10,"Put the sugar, butter and Nutella in a large bowl. Whisk until combined and fluffy.
Add the eggs, milk and vanilla and beat until creamy.
Add the flour and oats. Mix until well combined. It’s easiest to use a silicone spatula for this, so that you can scrape down the sides as you go.
Divide the mix into 12 balls. They’ll weigh about 100g (3.5 oz) each.
Flatten the balls and place a Ferrero Rocher in the centre. Roll the cookie dough back around the Ferrero Rocher to form a ball again. Place them well-spaced on a baking sheet lined with baking paper. You don't need to flatten them.
Bake for 15 minutes per batch until set and a little cracked.
Allow to cool on the tray for a few minutes to firm up, then transfer to a wire rack to cool completely.
Place the white chocolate in a small, microwave-safe bowl. Microwave in 30-second bursts, stirring between bursts until melted smooth.
Add gold lustre and mix until evenly coloured.
Drizzle the white chocolate in zig zags all over the cookies. You can do this either with a spoon, or by transferring the chocolate to a small piping bag and snipping off the very end.",22,200 g (⅔ cup) Nutella,150 g (1 stick + 3 tbsp) salted butter,300 g (1¾ cups) soft light brown sugar,2 medium free-range eggs,1 tsp vanilla extract,2 tbsp whole milk,280 g (3¼ cups) porridge oats,220 g (1½ cups) self-raising white flour (self rising flour),12 Ferrero Rocher,100 g (3.5 oz) white chocolate,1 tsp gold metallic lustre,200 g (⅔ cup) Nutella,150 g (1 stick + 3 tbsp) salted butter,300 g (1¾ cups) soft light brown sugar,2 medium free-range eggs,1 tsp vanilla extract,2 tbsp whole milk,280 g (3¼ cups) porridge oats,A Mummy Too,https://www.amummytoo.co.uk/ferrero-rocher-cookies/,220 g (1½ cups) self-raising white flour (self rising flour),12 Ferrero Rocher,100 g (3.5 oz) white chocolate,1 tsp gold metallic lustre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookie monster cookies,Emily Leary,5, 1 ,Cookies,American,Prep Time10 minutes mins,Cook Time10 minutes mins,NA,Total Time20 minutes mins,25 cookies,11,"Preheat the oven to 220C (180C fan).
Put the butter in a large mixing bowl and beat until soft.
Add the sugar and beat again until pale and fluffy.
Add the eggs, vanilla and milk. Whisk until smooth.
Fold in the flour and oats.
Add the chocolate chips, reserving a handful. Mix until well combined.
Take heaped tablespoons of mixture and roll into balls. You should get about 25.
Arrange on lined baking trays at least 5cm (2 inches) apart to allow space for them to spread during baking.
Press them down gently with your palm and top with the remaining chocolate chips.
Bake for 10 minutes, until just golden.
Allow to cool briefly on the tray until firm enough to transfer to a cooling rack.",16,125 g (4.4 oz) salted butter or margarine,150 g (5.3 oz) soft light brown sugar,1 medium free range eggs,1/2 tsp vanilla extract,1 tbsp whole milk,140 g (4.9 oz) porridge oats,110 g (3.9 oz) self-raising white flour (self rising flour),100 g (3.5 oz) dark chocolate (bittersweet) roughly chopped,125 g (4.4 oz) salted butter or margarine,150 g (5.3 oz) soft light brown sugar,1 medium free range eggs,1/2 tsp vanilla extract,1 tbsp whole milk,140 g (4.9 oz) porridge oats,110 g (3.9 oz) self-raising white flour (self rising flour),100 g (3.5 oz) dark chocolate (bittersweet) roughly chopped,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/cookie-monster-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smartie cookie recipe,Emily Leary,4.5, 2 ,Cookies,American,Prep Time10 minutes mins,Cook Time12 minutes mins,NA,Total Time20 minutes mins,20 cookies,11,"Preheat the oven to 180C (160C fan assisted).
In a large bowl, beat together the butter, golden syrup and sugar until fluffy.
Beat in the egg until well combined.
Add the flour, cocoa and the baking powder and mix well with a fork.
Add 130g (4.6oz) of the Smarties - reserve the rest for now. Fold them through. 
You should now have a sticky, light dough that’s just firm enough to roll pieces in your hands. If not, cover the bowl and place it in the fridge for 15 minutes. 
Form 2.5cm (1 inch) balls of cookie dough and place at least  5 cm (2 inches) apart on a baking paper lined baking sheet. I got 20 cookies in total, weighing about 40g (1.4 oz) each. 
Flatten slightly with the palm of your hand.
Gently press three Smarties onto the top of each cookie.
Bake for about 12 minutes – too long and they’ll go hard and the chocolate may burn.
Allow to cool slightly for a few minutes (they firm up a little) and then put on a wire rack to cool.",16,130 g (4.6 oz) salted butter softened,50 ml (1.7 floz) golden syrup,160 g (5.6 oz) white caster sugar (superfine sugar),1 medium free range eggs,235 g (8.3 oz) plain white flour (all purpose flour),1 tsp baking powder,15 g (0.5 oz) cocoa powder (dutch processed),200 g (7.1 oz) Smarties,130 g (4.6 oz) salted butter softened,50 ml (1.7 floz) golden syrup,160 g (5.6 oz) white caster sugar (superfine sugar),1 medium free range eggs,235 g (8.3 oz) plain white flour (all purpose flour),1 tsp baking powder,15 g (0.5 oz) cocoa powder (dutch processed),200 g (7.1 oz) Smarties,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/smartie-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry biscuits,Emily Leary,5, 1 ,Cookies,American,Prep Time20 minutes mins,Cook Time5 minutes mins,NA,Total Time25 minutes mins,45 biscuits,10,"Put the butter and sugar in a large mixing bowl. Beat until light and fluffy.
Add the egg and beat again.
Add the flour, baking powder, salt and bicarbonate of soda and mix using a fork or electric whisk.
Add the strawberry pieces and mix briefly until evenly distributed.
Gather into a ball, then turn out onto a floured surface and form into an oblong about 2 cm (3/4 inch) tall and 5cm (2 inches) wide and as long as the dough allows (probably about 30cm / 12 inches). Wrap and chill in the refrigerator for 15 minutes or until firm.
Preheat the oven to 200C (180C fan-assisted, 400F).
Using a sharp knife, cut the dough into slices 1/2cm (1/4 inch) thick.
Place the cookies on a lined baking sheet. They don’t spread very much, so can be placed quite close together.
Bake for 5 minutes, until only just beginning to colour.
Allow to firm on the tray for a few minutes, then transfer to a wire rack to cool completely.",16,110 g (3.9 oz) salted butter softened,100 g (3.5 oz) white caster sugar (superfine sugar),1 medium free range eggs,270 g (9.5 oz) plain white flour (all purpose flour),1/4 tsp bicarbonate of soda (baking soda),1/4 tsp baking powder,1/4 tsp salt,15 g (0.5 oz) freeze dried strawberry pieces,110 g (3.9 oz) salted butter softened,100 g (3.5 oz) white caster sugar (superfine sugar),1 medium free range eggs,270 g (9.5 oz) plain white flour (all purpose flour),1/4 tsp bicarbonate of soda (baking soda),1/4 tsp baking powder,1/4 tsp salt,15 g (0.5 oz) freeze dried strawberry pieces,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/strawberry-biscuits/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Giant jammie dodgers,Emily Leary,5, 2 ,Cookies,British,Prep Time30 minutes mins,Cook Time20 minutes mins,NA,Total Time50 minutes mins,10 cookies,13,"Preheat the oven to 160C (140C fan-assisted).
Put the butter and sugar in a bowl. Beat until light and creamy.
Add the condensed milk and vanilla. Beat together.
Sieve in the flour and baking powder. Knead into a ball of dough. If it is too soft, pop in the fridge for 10 minutes. 
Place your dough on a floured surface. Roll out the dough to approx 7mm (1/4 inch) thick.
Cut out 20 large shapes. You will probably need to gather and reroll your dough to get all 20.
Cut the smaller shape out of the centre of 10 of your cookies. You should now have 20 cookies, of which 10 have a hole in the middle.
Place the hole-less shapes on a baking tray lined with baking paper.
Spread each biscuit with a rounded teaspoon of jam, stopping a little short of the edges.
Place one of the hole-cut biscuits on top of each to form your jammie dodge sandwiches.
Drop another 1/2-2/3 of a tsp of jam in the hole to just fill it.
Bake for 15-20 minutes until browning at the edges, but not dark all over.
Allow to firm up for a few minutes before transferring to a wire rack to cool completely.",14,125 g (4.4 oz) salted butter,50 g (1.8 oz) white caster sugar (superfine sugar),200 g (7.1 oz) condensed milk,1 tsp vanilla extract,300 g (10.6 oz) plain white flour (all purpose flour),1 tsp baking powder,165 g (5.8 oz) strawberry jam,125 g (4.4 oz) salted butter,50 g (1.8 oz) white caster sugar (superfine sugar),200 g (7.1 oz) condensed milk,1 tsp vanilla extract,300 g (10.6 oz) plain white flour (all purpose flour),1 tsp baking powder,165 g (5.8 oz) strawberry jam,NA,NA,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/giant-jammie-dogers-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
