title,author,dateinfo,rating,ratingnum,category,cuisine,keyword,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Hershey Brown Sugar Shortbread Bars,Julie Clark,Posted: 2/8/2021,4.63,62,Recipes,American,"bake sale, cookie bars, easy dessert recipe",10 minutes,17 minutes,NA,NA,20,12,"Preheat the oven to 350º Fahrenheit. Lightly grease a 10×15"" or 9×13"" baking pan. Line with parchment paper so that you can easily remove the bars.
In a bowl, cream the butter and brown sugar until smooth.
Add the egg and vanilla. Mix again, scraping the sides of the bowl as needed.
Add the flour and salt. Mix just until combined. The mixture will be thick and slightly crumbly.
Place the mixture into the prepared pan and press along the bottom to cover it evenly.
Bake for 17 minutes (10×15"" pan) or 18 minutes (9×13"" pan) until the shortbread is set and just slightly browned around the edges.
When the bars come out of the oven, immediately place the unwrapped Hershey bars on top of the cookie bars. Let them sit for about 5 minutes to melt. The cookie bars should be warm enough to melt the chocolate if you put them on right away. If for some reason they are not melting, place them in the oven (the oven can be turned off…it will still be warm from baking) for about 2-3 minutes to finish melting the chocolate.
Use a spatula to smooth the chocolate evenly.
Immediately sprinkle on any toppings such as holiday sprinkles.
Allow the chocolate to set. This will take a couple of hours.
When the chocolate is still slightly soft, use a sharp knife to cut the bars.
Store in an airtight container at room temperature for 4-5 days. These also freeze well for up to 6 weeks.",7,1 cup salted butter (room temperature),1 cup packed brown sugar (235 grams),1 large egg,1 teaspoon vanilla extract,2 cups all-purpose flour (260 grams),1/4 teaspoon salt,10-12 full size Hershey bars,Tastes of Lizzy T,https://www.tastesoflizzyt.com/hershey-brown-sugar-shortbread-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Chocolate Chip Cookies Recipe,Julie Clark,Updated: 10/7/2025,4.67,211,Cookies,American,"30 minute recipe, comfort food, easy dessert recipe",10 minutes,10 minutes,NA,20 minutes,24,8,"Preheat the oven to 375º Fahrenheit. (If you'd like a cookie with lighter edges, bake at 350º for 10 minutes.) Cover light colored baking sheets with non-stick silicone mats or parchment paper.
In a large bowl, melt the butter. You don't want it super hot and boiling. Just melt it mostly and then stir until any leftover butter chunks melt in. (See image above.) 1 cup salted butter
Add the brown sugar and egg to the melted butter. Mix well until they are both incorporated into the butter and the mixture is smooth and even. Add the heavy cream and vanilla. Mix again. 1 cup light brown sugar*, 1 large egg, 1 tablespoon heavy cream**, 1 ½ teaspoons vanilla extract
Add the flour (Measure it carefully! Do not pack it into the cup), cornstarch, baking soda and salt. Mix just until combined. Fold in the chocolate chips. 2 ½ cups all-purpose flour***, ½ tablespoon cornstarch, 1 teaspoon baking soda, ¼ teaspoon salt****, 1 cup dark chocolate chips, 1 cup semi-sweet chocolate chips
Scoop cookies with a 1 1/4"" cookie scoop onto prepared cookie sheets. The dough balls will be about the size of golf balls. The cookies will spread slightly so don't pack them too close.
Press the extra semi-sweet chocolate chips in the tops of the cookies. This gives them a pretty look. (I don't recommend using dark chocolate chips for this because they melt too quickly). &frac13; cup semi-sweet chocolate chips
Bake for 9-10 minutes until the edges are set. The browner the cookies are, the crispier they will be. We let them get just barely browned on the edges.
Sprinkle the tops of the cookies with sea salt right as they come out of the oven. This is optional. Allow to cool a few minutes on the pan before transferring to a cooling rack. sea salt",13,1 cup salted butter,1 cup light brown sugar*,1 large egg,1 tablespoon heavy cream**,1 1/2 teaspoons vanilla extract,2 1/2 cups all-purpose flour***,1/2 tablespoon cornstarch,Tastes of Lizzy T,https://www.tastesoflizzyt.com/easy-chocolate-chip-cookies/,1 teaspoon baking soda,1/4 teaspoon salt****,1 cup dark chocolate chips,1 cup semi-sweet chocolate chips,1/3 cup semi-sweet chocolate chips,sea salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Congo Bars Recipe,Julie Clark,Updated: 6/12/2024,4.69,103,Dessert Recipes,American,"old fashioned recipe, vintage",10 minutes,25 minutes,NA,35 minutes,20,8,"Spray a 9×13 baking pan* with cooking spray or line with parchment paper. Preheat the oven to 350º Fahrenheit.
In a large microwave safe bowl, melt the butter completely. Add the brown sugar and use a hand mixer to mix the sugar and butter together well. ¾ cup salted butter, 2 ¼ cup brown sugar
Add the eggs, one at a time, mixing between each addition. 3 large eggs
Add the flour, baking powder and salt, then mix again just until combined. Scrape the sides of the bowl as needed. 2 ¾ cup all-purpose flour, 2 ½ teaspoons baking powder, ½ teaspoon salt
Fold in the chocolate chips. The batter will be very thick. 1 cup dark chocolate chips, 1 cup semi-sweet chocolate chips
Spread the cookie dough in the prepared pan. Bake for 25 minutes or until very lightly browned around the edges.
These are meant to be gooey bars. If you don't want them gooey and would like them more crisp, go ahead and bake them a few minutes longer.
Cut into squares once they are cool.",8,3/4 cup salted butter 6 ounces,2 1/4 cup brown sugar 470 grams,3 large eggs (room temperature),2 3/4 cup all-purpose flour 358 grams,2 1/2 teaspoons baking powder 12 grams,1/2 teaspoon salt 3 grams,1 cup dark chocolate chips,Tastes of Lizzy T,https://www.tastesoflizzyt.com/congo-bars/,1 cup semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Kitchen Sink Cookies,Julie Clark,Updated: 2/3/2024,4.59,77,Holiday Recipes,American,"christmas, christmas cookies, holiday",15 minutes,10 minutes,Chill Time 20 minutes minutes,NA,27,9,"Preheat oven to 350 degrees Fahrenheit. (If you are letting the cookies chill for 20 minutes, you can wait to heat the oven.)
In the bowl of a stand mixer cream together the butter and sugars. Scrape down the side of the bowl, then add the egg(s) and vanilla. Beat again until combined.
In a small bowl whisk together the flour, salt and baking soda. Add to the butter mixer and stir just until combined.
Add in the M&Ms, white chocolate chips, pretzels, potato chips and sprinkles. Mix well.
Scoop cookies onto a parchment lined cookie sheet.
If you want to ensure thick cookies, chill the dough balls for 20 minutes before baking. This isn't 100% required, but the cookies shown here were chilled.
Bake for 10-12 minutes, or until the edges are set.
Allow to cool a few minutes on the pan before transferring to a cooling rack.
Store in an airtight container at room temperature.",13,1 cup unsalted butter* (at room temperature),1 cup light brown sugar (7.5 Ounces),1/2 cup granulated sugar (3.5 Ounces),1 large egg**,1 teaspoon vanilla extract,2 1/2 cups all-purpose flour (11.25 Ounces),1/4 teaspoon salt,Tastes of Lizzy T,https://www.tastesoflizzyt.com/christmas-kitchen-sink-cookies/,1 teaspoon baking soda,3/4 cup mini baking M&Ms,1/2 cup white chocolate chips,1/2 cup coarsely crushed pretzels,1/2 cup coarsely crushed potato chips,1/4 cup Christmas sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cornflake Wreath Cookies,Julie Clark,Updated: 1/16/2024,5,1,Holiday Recipes,American,"christmas, holiday, no bake",15 minutes,3 minutes,NA,NA,12,8,"In a large microwave safe bowl, melt together the marshmallows and softened butter. Melt for 1 minute, then stir and continue to melt in short intervals, stirring in between, until the mixture is totally melted and combined.
Add the green food coloring a few drops at a time until you reach the color you'd like.
Add the cornflake cereal and mix until the cereal is totally covered in marshmallow mixture.
Grease your fingers with butter (or spray with cooking spray). Just a warning that this is a little messy. 😊
Scoop up about ¼ to &frac13; cup of cornflake mix and pack into a ball. Place on a wax paper lined baking sheet. Use your finger to poke a hole in the center of the ball and spread it out, shaping it into a wreath.
While the mix is still sticky, place 3 mini M&Ms together in one spot so that it looks like a bow. If for some reason the mix is no longer sticky, use a touch of frosting to stick the M&Ms on.
Allow the mixture to set completely before serving or packing away later.
Store in an airtight container for 2 days at room temperature or freeze in an airtight container for up to 2 months.",5,40 large marshmallows,1/4 cup salted butter* (softened),5 cups cornflakes,green food coloring,mini red M&M candies for decorating,NA,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/cornflake-wreath-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iced Oatmeal Cookies,Julie Clark,Updated: 2/12/2025,4.70,10,Dessert Recipes,American,"cookie recipes, easy cookies, iced cookies, oatmeal cookies",15 minutes,10 minutes,NA,25 minutes,24,9,"Preheat oven to 350 degrees Fahrenheit and prepare your baking sheets with non-stick spray or parchment paper.
Using a food processor, pulse your oats just a few times. Tip: The goal is not to make flour, but to create a variety of textures in your cookies. Only pulse a few times.
In a mixing bowl, combine the oats, flour, baking powder, baking soda, salt, cinnamon and nutmeg. Set aside.
In a large bowl, mix together the butter and both sugars until it’s light and fluffy. Add in the eggs and mix until just combined. Slowly add in the dry mixture, mixing well until all added and combined.
Scoop the cookie dough into the size of 2 tbsp, roll into a ball and place on the cookie sheet about 2 inches apart. Bake for 10-12 minutes.
Allow the cookies to cool for about 5 minutes before removing from the sheet as they will spread and flatten a little more as they cool.
Once cooled, prepare the icing by mixing the powdered sugar and 2 tbsp of milk. Slowly add more milk to get the desired consistency.
Take each cookie and dip it into the icing face down, do this very lightly. A light dipping will allow the icing to drip into the cracks of your cookies. Cool on a rack until the icing sets. 
Store the cookies in an airtight container at room temperature.",14,2 cups old fashioned oats (not quick cook oats),2 cups all purpose flour,1 tablespoon baking powder,½ teaspoon baking soda,½ teaspoon salt,2 teaspoon cinnamon,½ teaspoon nutmeg,Tastes of Lizzy T,https://www.tastesoflizzyt.com/iced-oatmeal-cookies/,1 cup unsalted butter,1 cup light brown sugar,½ cup granulated sugar,2 large eggs,1 teaspoon vanilla extract,2 cups powdered sugar,2-5 tablespoons milk (start with 2 and add to desired consistency),NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Cranberry Oatmeal Cookies,Julie Clark,Updated: 2/4/2024,4.80,5,Dessert Recipes,American,"christmas, cookies with oatmeal, holiday",15 minutes,10 minutes,NA,25 minutes,36,9,"Preheat oven to 350 degrees Fahrenheit.
In a large bowl, cream together the butter, sugars, eggs, and vanilla until smooth.
Combine the flour, baking soda, and salt in a separate bowl. Then stir into the sugar mixture.
Stir in the oats, white chocolate chips, dried cranberries and macadamia nuts. If you want thick cookies that don't spread much, refrigerate the dough for one hour. This is not necessary…the cookies will just be a little flatter without refrigeration.
Drop by rounded teaspoonfuls onto ungreased cookie sheets.
Bake 10 minutes. Don't overbake them!
Let them cool for 2 minutes on the cookie sheets before moving them to wire racks to cool completely.
If desired, melt ½ cup of white chocolate chips in a microwave safe bowl. Use a spoon or fork to drizzle the melted chocolate over top the cookies.
Store these in an airtight container.",13,1 cup salted butter softened,1 cup packed brown sugar,1/2 cup white sugar,2 large eggs,1 teaspoon vanilla extract,1 1/2 cups all-purpose flour,1 teaspoon baking soda,Tastes of Lizzy T,https://www.tastesoflizzyt.com/white-chocolate-cranberry-oatmeal-cookies/,1/2 teaspoon salt,3 cups rolled oats,2 cups white chocolate chips,1 cup dried cranberries (or craisins),1/2 cup finely chopped macadamia nuts,1/2 cup white chocolate chips for drizzling tops of cookies optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butter Spritz Cookies,Julie Clark,Updated: 5/10/2024,4.75,4,Holiday Recipes,American,"almond cookies, butter cookies, christmas cookies",15 minutes,8 minutes,Chill Time 30 minutes minutes,NA,48,12,"Make sure that your butter is at room temperature.
Place your cookie pans in the refrigerator so that they are cold when you are ready to press the cookies.
In the bowl of a stand mixer, cream together the butter and sugar. Scrape the sides of the bowl as needed.
Add in the egg and extract. Mix again until well blended, scraping the sides of the bowl.
Add in the flour and mix again. Scrape the bowls and mix until everything is completely creamed together.
Press the cookie dough into the cookie press according to your cookie press instructions.
Place the end of the cookie press down on a COLD cookie sheet and press to make a shape. Pick it up and repeat until all of the dough is gone. Sprinkle the cookies as you press while the dough is still moist.
Refrigerate the cookie dough for 30 minutes after pressing, before baking.
Preheat the oven to 350º Fahrenheit.
Bake the cookies for about 8 minutes. The exact time will depend on how big the cookies are and your oven/pans. Watch them closely. Don't let them get browned much at all so that they stay soft.
Allow the cookies to cool for 3-5 minutes on the cookie sheet, then move them to a wire rack to cool completely.
Store in an airtight container.",6,2 cups unsalted butter (room temperature),1 cup granulated sugar,1 large egg,2 teaspoons almond extract,1 teaspoon salt,4 cups all-purpose flour (540 grams),NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/butter-spritz-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Dipped Gingerbread Cookies,Julie Clark,Updated: 12/19/2021,5,3,Cookies,American,"christmas cookies, cutout cookies, gingerbread cookies, molasses cookies",20 minutes,12 minutes,NA,32 minutes,36,9,"Melt the shortening in the saucepan. 
Add the sugar and molasses and mix well. Heat this mixture over low heat for 3-4 minutes, stirring often. Don't let the mixture boil. You're just letting it heat through well.
Sift the flour, baking soda, nutmeg, salt and ginger together in a large mixing bowl.
Slowly pour the melted shortening mixture into the flour mixture, stirring constantly using a large spoon. Mix thoroughly. Use your hands to mix the last bit of flour in if necessary.
After it is thoroughly mixed, roll out the dough to about a ¼ inch thickness directly on an ungreased cookie sheet. Use cookie cutters to cut gingerbread men, Christmas shapes, or make a gingerbread house. Remove the excess cookie dough and put it back in the bowl. Do not move the shapes after you cut them or it will cause them to be misshapen.
If the dough gets too hard to reroll, place the bowl in the microwave for 15-30 seconds, or until the dough becomes soft and warm again.
Bake at 375 degrees Fahrenheit for 12-13 minutes. Allow the cookies to cool on the baking sheet for 5 minutes, then move them to a flat surface to cool completely.
If desired, melt the semi-sweet chocolate in a double boiler or in the microwave. Dip each cooled cookie partially into the melted chocolate and place it on a piece of waxed paper. Sprinkle immediately with Christmas themed sprinkles, if desired.
Allow the chocolate to set, then store the cookies in an airtight container.",10,1 cup shortening,1 cup granulated sugar,1 cup unsulphured molasses,5 cups all-purpose flour,1 teaspoon baking soda,1 teaspoon nutmeg,1 teaspoon salt,Tastes of Lizzy T,https://www.tastesoflizzyt.com/chocolate-dipped-gingerbread-cookies/,3 teaspoons powdered ginger,1 bag semi-sweet chocolate chips if desired,1/2 cup white chocolate chips if desired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candy Cane Cookies,Julie Clark,Updated: 12/30/2023,4.29,7,Holiday Recipes,American,"christmas, cookie recipes, holiday",20 minutes,15 minutes,Chill Time 1 hour hour,NA,24,18,"In the bowl of a stand mixer, cream together the shortening, butter and sugar until well mixed.
Add in the eggs and vanilla. Mix well, scraping the sides of the bowl as needed.
Add in the flour and salt and mix again, scraping the sides of the bowl, until the mixture is smooth.
Divide the dough into two dough balls.
Leave one dough ball white and wrap in plastic wrap.
Place the other dough ball back into the mixer and add the red food coloring. Mix until the coloring is completely mixed in.
Wrap this dough in plastic wrap also.
Chill both doughs for at least one hour.
Roll about 1 tablespoon of each color dough into balls.
Take each ball and roll into a 4-5"" rope.
Take a white rope and a red rope and place them together. Press lightly to press them together.
Then twist the dough like a rope.
Place onto a parchment paper lined baking mat (or use a silicone baking mat).
Turn the top of the dough down to form a candy cane. Sprinkle with sprinkles.
Place the cookies back into the refrigerator until you are ready to bake them.
Preheat the oven to 325º Fahrenheit. Bake for 12-15 minutes. The time will depend on how big you've made the candy canes. Don't let them get brown, but they should be fully cooked.
Allow them to cool on the baking sheet for 5 minutes, then transfer them to a wire rack to cool completely.
Store in an airtight container at room temperature.",9,1/2 cup shortening,1/2 cup salted butter (at room temperature),1 cup sugar,1 large egg (at room temperature),1 teaspoon vanilla extract,2 1/2 cups all-purpose flour,1/2 teaspoon salt,Tastes of Lizzy T,https://www.tastesoflizzyt.com/candy-cane-cookies/,1 teaspoon red food coloring,"sprinkles, if desired",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cranberry Almond Chocolate Cookies,Julie Clark,Updated: 2/4/2024,4.84,6,Dessert Recipes,American,"chocolate chip, christmas, cranberries",10 minutes,13 minutes,NA,24 minutes,24,8,"Preheat oven to 350 degrees Fahrenheit.
In the bowl of a stand mixer cream together the butter and sugars. Scrape down the side of the bowl, then add the egg and vanilla. Beat again until combined.
In a small bowl whisk together the flour, salt and baking soda. Add to the butter mixer and stir just until combined. Add in the cranberries, ¾ cup chocolate and almonds and stir until they are mixed in.
Scoop cookies onto a parchment lined cookie sheet. Press the extra chocolate chips in the tops of the cookies.
Bake for 12-14 minutes, or until the edges are set.
Sprinkle the tops of the cookies with sea salt right as they come out of the oven.
Allow to cool a few minutes on the pan before transferring to a cooling rack.
Store in an airtight container at room temperature.",12,1 cup unsalted butter (at room temperature),1 cup light brown sugar 7.5 Ounces,1/2 cup granulated sugar 3.5 Ounces,1 large egg,1 teaspoon vanilla extract,2 1/2 cups all-purpose flour 11.25 Ounces,1/4 teaspoon salt,Tastes of Lizzy T,https://www.tastesoflizzyt.com/cranberry-almond-chocolate-cookies/,1 teaspoon baking soda,1 cup dried cranberries,1 cup dark chocolate chips divided,1/2 cup chopped almonds,sea salt for sprinkling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molasses Christmas Cookies,Julie Clark,Updated: 9/11/2025,4.92,12,Cookies,American,"christmas cookies, cookies without eggs, easy cookies, egg free cookies, gingerbread cookies",15 minutes,8 minutes,NA,23 minutes,60,7,"Preheat the oven to 350ºF.
In a large bowl (or a stand mixer bowl with the paddle attachment), cream together the shortening, brown sugar, molasses and buttermilk. The mixture will look curdled, but don't worry…it will all come together with the dry ingredients. 1 cup shortening, 1 cup brown sugar, 1 cup molasses, 1 cup buttermilk
In a separate bowl, sift together the flour, baking soda, ginger, cinnamon, nutmeg, cloves and salt. 5 ½ cups all-purpose flour, 4 teaspoons baking soda, 1 teaspoon ground ginger, ¾ teaspoon ground cinnamon, ¼ teaspoon ground nutmeg, ¼ teaspoon ground cloves, 1 teaspoons salt
Add the dry ingredients to the wet ingredients and mix well. The dough will be very soft and slightly sticky, but you should be able to roll
Use a cookie scoop to spoon out the dough and roll into balls. Then roll the balls in sugar.
Place the cookie dough balls on an ungreased cookie sheet about 2"" apart. Bake in the preheated oven for 8-10 minutes. Don't over bake the cookies. We remove them before they get browned.
Allow the cookies to cool on the pan for 3-5 minutes before moving to a wire rack to cool completely.",12,1 cup shortening or room temperature butter*,1 cup brown sugar packed,1 cup molasses,1 cup buttermilk,5 1/2 cups all-purpose flour,4 teaspoons baking soda,1 teaspoon ground ginger,Tastes of Lizzy T,https://www.tastesoflizzyt.com/soft-baked-gingerbread-cookies/,3/4 teaspoon ground cinnamon,1/4 teaspoon ground nutmeg,1/4 teaspoon ground cloves,1 teaspoons salt,1/2 cup extra granulated sugar for rolling dough,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinnamon Buttercream Cookie Sandwiches,Julie Clark,Updated: 2/3/2024,4.32,16,Dessert Recipes,American,"christmas cookies, comfort food",30 minutes,8 minutes,NA,38 minutes,24,10,"In a large bowl, cream together the butter, eggs, brown sugar and heavy cream. Add the baking soda, cinnamon, vanilla and salt. Mix well. Add in the flour and mix until you have a soft dough. Chill the dough for 1 hour.
Roll the dough out 1/4″ thick and use a 3″ round cookie cutter to cut circles. You should get 48 circles, to make 24 sandwiches if they are this size.
Preheat the oven to 350 degrees Fahrenheit.
Bake the cookies on a parchment paper lined baking sheet for 8 minutes, or until barely browned.
Beat 1 cup (2 sticks) butter, softened, in large bowl of an electric mixer on medium speed until light, fluffy and almost white in appearance.
Add 1 teaspoon vanilla; mix until blended.
Add in 1 tablespoon cinnamon and 2 cups powdered sugar. Beat until well blended.
Add 3 tablespoons of heavy cream and beat until light and fluffy, about 3 minutes. Add more powdered sugar to stiffen the buttercream, or more heavy cream to make it more spreadable, as you desire.
Using a knife, spread the buttercream on the bottom of one of the cookies. Place another cookie on top of the buttercream to make a sandwich. Repeat with the remaining cookies.
Store in an airtight container in the refrigerator.",14,1 cup salted butter softened,4 large eggs beaten,2 cups brown sugar,2 teaspoons heavy cream,3 teaspoons baking soda,2 teaspoons cinnamon,2 teaspoons vanilla,Tastes of Lizzy T,https://www.tastesoflizzyt.com/cinnamon-buttercream-cookie-sandwiches/,1/2 teaspoon salt,5 1/4 cups all-purpose flour,1 cup salted butter softened,1 teaspoon vanilla extract,1 tablespoon cinnamon,2 cups powdered sugar,3 tablespoons heavy cream,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin White Chocolate Chip Cookies,Julie Clark,Updated: 7/20/2024,4.49,33,Dessert Recipes,American,"easy pumpkin recipes, pumpkin cookies, white chocolate cookies",10 minutes,9 minutes,NA,19 minutes,18,6,"Preheat the oven to 375º Fahrenheit.
In a medium size bowl, cream together the sugars and butter. Add the pumpkin and mix well. Add in all of the spices to the wet ingredients, then the flour. Mix well. Fold in the white chocolate chips.¼ cup brown sugar, ¼ cup granulated sugar, ½ cup salted butter, ½ cup pumpkin puree, ¼ teaspoon salt, ½ teaspoon ground cinnamon, 1 teaspoon pumpkin pie spice, ½ teaspoon baking soda, 1 ½ cups all-purpose flour, ½ cup white chocolate chips
Drop the batter by tablespoons onto a parchment paper lined cookie sheet or baking mat. Place the sugar in a small bowl. Use a medium-size glass with the bottom dipped in sugar to slightly flatten the cookies before baking. ¼ cup granulated sugar
Bake at 375 degrees for 9 minutes.
As soon as the cookies come out of the oven, flatten lightly again with the sugar-dipped glass. Press a few extra white chocolate chips into the top to make them look pretty, if desired. Extra white chocolate chips for the tops of the cookies
Allow the cookies to cool completely on a wire rack, then store them in an airtight container at room temperature.",12,1/4 cup brown sugar 53 grams,1/4 cup granulated sugar 50 grams,"1/2 cup salted butter softened, 4 ounces",1/2 cup pumpkin puree 130 grams,1/4 teaspoon salt,1/2 teaspoon ground cinnamon,1 teaspoon pumpkin pie spice 2 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/pumpkin-white-chocolate-chip-cookies/,1/2 teaspoon baking soda 2 grams,1 1/2 cups all-purpose flour 195 grams,1/2 cup white chocolate chips 90 grams,1/4 cup granulated sugar for flattening the cookies,Extra white chocolate chips for the tops of the cookies if desired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caramel Apple Cookie Sandwiches,Julie Clark,Updated: 9/12/2024,4.64,19,Dessert Recipes,American,"fall dessert, thanksgiving",25 minutes,14 minutes,NA,39 minutes,24,16,"Preheat your oven to 350 Fahrenheit and line your cookie sheets with parchment or a non-stick baking mat.
In a medium bowl whisk together the flour, cornstarch, oats, cinnamon, cloves, nutmeg, baking powder, baking soda, and salt.
In a large bowl, beat the butter and sugars until light and fluffy.
Add the eggs and vanilla and mix until smooth.
Slowly mix in the dry ingredients until just combined. Fold in the apples.
Using a cookie scoop, drop the dough onto the cookie sheets, leaving about 2-3 inches between each cookie.
Chill the dough for at least 1 hour.
Bake for 10-12 minutes.
Let cool for 5 minutes on the baking sheets, then remove to wire racks to cool completely.
Beat the butter until light and fluffy. Add the brown sugar and cinnamon and beat until incorporated.
Add 3 cups of the powdered sugar on low until mixed.
Beat in vanilla and cream until fully incorporated.
Then add the remaining powdered sugar to the desired thickness.
Beat on high until super light and fluffy.
Swirl the frosting onto each cookie and drizzle with caramel. Top with another cookie.
Store in an airtight container.",23,1 green apple peeled (finely diced),1 cup salted butter (room temperature),1 cup granulated sugar,1 cup brown sugar (packed),2 large eggs,1 1/2 teaspoons vanilla extract,2 1/2 cups all-purpose flour,Tastes of Lizzy T,https://www.tastesoflizzyt.com/caramel-apple-cookie-sandwiches/,1 tablespoon cornstarch,2 1/2 cup quick cook oats,2 teaspoon ground cinnamon,1 teaspoon baking powder,1 teaspoon baking soda,1 teaspoon salt,1/2 teaspoon cloves,1/4 teaspoon nutmeg,1 cup salted butter softened,1/2 cup light brown sugar packed,1 teaspoons ground cinnamon,4-6 cups powdered sugar,1 teaspoon vanilla extract,1/4 teaspoon salt,1/4 cup milk or half and half plus more if needed,salted caramel for drizzling
Malted Milk Chocolate Chip Cookie Sandwiches,Julie Clark,Updated: 8/29/2024,5,3,Cookies,American,"picnic, summer",20 minutes,12 minutes,Chill Time 1 hour hour,32 minutes,36,10,"In a medium bowl, combine the flour, malted milk powder, cornstarch, baking soda and salt. Mix well, then set aside.
In the bowl of a stand mixer, combine the sugars and softened butter. Mix on medium speed until it forms a grainy paste. Add the eggs, vanilla and corn syrup. Beat at medium speed until the mixture is light and fluffy.
Add the flour mixture and the chocolate chips. Mix just until combined, being careful not to overmix.
Scoop the dough into 36 dough balls. Press mini chocolate chips into the top of each cookie dough ball.
Chill the dough for 1 hour.
Preheat the oven to 350 degrees Fahrenheit.
Place the dough balls onto a cookie sheet lined with a non-stick baking mat at least 2 inches apart. Bake for 12 minutes.
Allow the cookies to cool for 5 minutes on the pan, then transfer the cookies to a surface lined with parchment paper to cool completely.
Once the cookies are cooled, scoop ice cream onto a cookie, then top it with another cookie to make a sandwich. Repeat with the remaining cookies.
Wrap the ice cream sandwiches in wax paper and freeze until serving.",14,2 3/4 cups all-purpose flour 358 grams,3/4 cup malted milk powder 84 grams,1 tablespoon cornstarch 9 grams,1/2 teaspoon baking soda 2 grams,1/4 teaspoon salt 1 gram,1 cup granulated sugar 200 grams,1/2 cup packed brown sugar 100 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/malted-milk-chocolate-chip-cookies-sandwiches-recipe/,1 cup salted butter (room temperature),2 large eggs,2 teaspoons vanilla extract 8 grams,2 tablespoons light corn syrup 40 grams,2 cups semi-sweet chocolate chips 300 grams,1/2 cup mini chocolate chips,vanilla ice cream (for making ice cream sandwiches),NA,NA,NA,NA,NA,NA,NA,NA,NA
Funfetti Ice Cream Sandwiches,Julie Clark,Updated: 3/14/2024,4.67,3,Dessert Recipes,American,"birthday, picnic, summer",20 minutes,10 minutes,NA,30 minutes,8,12,"Preheat oven to 350 degrees Fahrenheit.
Cream together the butter and sugar in a stand mixer on high (or with a hand mixer).
Add the egg and vanilla and beat until smooth.
In a separate bowl, whisk together the flour, cream of tartar, baking soda, salt and sprinkles.
Add the flour mixture to the butter mixture and beat on low until a smooth dough is formed. Dough will be very thick.
Chill the dough for 20 minutes.
Using a cookie scoop, drop cookie dough onto baking sheets lined with parchment paper or silicone baking mats. Make 16 cookie balls.
Bake for 10 – 12 minutes, rotating halfway through baking time.
Allow the cookies to cool on baking sheets.
*Once cookies are completely cooled, make ice cream sandwiches. Place about ¼ cup of ice cream between each of two cookies for one sandwich.
Wrap each sandwich individually in plastic wrap and allow to freeze for at least four hours before serving.
The ice cream sandwiches can be stored in the freezer for up to one month.",10,1/2 cup unsalted butter (room temperature),1 cup granulated sugar,1 large egg,1 teaspoon vanilla extract,1 ¾ cup all purpose flour,1 teaspoon cream of tartar,½ teaspoon baking soda,Tastes of Lizzy T,https://www.tastesoflizzyt.com/funfetti-ice-cream-sandwiches/,½ teaspoon salt,½ cup sprinkles + more for decorating,3 cups vanilla ice cream*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
