title,author,datelisted,rating,ratingnum,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,source,link,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28
2 Ingredient Brownie Cookies,Jennifer Lee,"by Jennifer Lee on Dec 17, 2021 (updated Jun 8, 2022)",4.95,17,NA,10 minutes,23 minutes,NA,33 minutes,10 cookies,5,"Preheat oven to 350°F. Line a large baking sheet with parchment paper or silicone baking mat.
Add chocolate to a large microwave-safe bowl. Heat chocolate in 1 minute intervals, stirring in between with a spatula, until chocolate is completely melted and smooth. Alternatively, you can melt the chocolate on the stove using the double boiler method.
Add in puree. Whisk until it is completely incorporated and evenly combined with the chocolate. The puree needs to be thoroughly combined with the chocolate for the cookies to turn out right, so it is best to use a whisk. When done, your cookie dough should look more like a thick cake batter. It shouldn't be runny but it won't be solid enough to pick up with your hands.
Using a 1.5 tbsp cookie scoop, scoop cookie batter and release onto prepared baking sheet, spread 2 inches apart. Use the back of a spoon to press gently on the top of each cookie. The cookies will spread during baking, but they don't spread a lot so you do need to flatten the surface of the cookies a little so they look like thick disks. Try your best to smooth the surface of each cookie. You can slightly wet your fingertips to smooth the surface after you've flattened it with the back of the spoon.
Bake cookies 20-25 minutes or until done. (Mine took 23 minutes.) When cookies are done, the surface should be puffed and may have a few small cracks. The batter should not look wet. The cookies will still feel soft, that is okay, as they will firm up as they cool. Let cookies cool on sheet and set before removing them.",2,▢ 1 cup (184 g) semi-sweet chocolate chips,▢ 1/2 cup (116 g) pumpkin puree,NA,Kirbie's Cravings,https://kirbiecravings.com/2-ingredient-brownie-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Ingredient Sugar Cookies,Jennifer Lee,"by Jennifer Lee on Dec 14, 2021 (updated Jan 16, 2024)",4.78,48,NA,10 minutes,16 minutes,NA,26 minutes,12 cookies,6,"Preheat oven to 325°F. Line a large cookie sheet with silicone baking mat or parchment paper.
In a large mixing bowl, add butter and sugar. Beat at highest speed until lightly and fluffy. You will need to stop and scrape the sides of your bowl a few times with a spatula so that the butter mixture gets beaten properly.
Add in flour. Mix on low speed until flour is completely incorporated. Your dough will look crumbly at first. Make sure to scrape down the sides a few times because the butter will stick to the bowl. Increase speed to medium once the flour is incorporated. Your dough should start to look less crumbly and the clumps should begin to stick together. Continue mixing until all the dough sticks together into one clump.
Use a 1.5 tbsp cookie scoop to scoop out dough. Place onto prepared cookie sheet, spread 2 inches apart. You should have enough for 12 cookies. Pick up one of your dough pieces and roll it between your palms to form a ball shape. Use the palm of your hand to flatten the dough ball into a thick disk (1/2 inch thick). Repeat with remaining dough.
If using sprinkles, sprinkle the surface of the cookies with the sprinkles or nonpareils. Gently press them lightly into the dough. They don't need to be embedded, just lightly pressed in so they don't roll off.
Bake cookies about 15-16 minutes or until edges start to brown. Let cookies cool on baking sheet before removing.",3,"▢ 1/2 cup (113 g) unsalted butter, softened to room temperature",▢ 1/3 cup (65 g) granulated white sugar,▢ 1 cup (124 g) all purpose flour,Kirbie's Cravings,https://kirbiecravings.com/3-ingredient-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Ingredient No Bake Chocolate Oatmeal Cookies,Jennifer Lee,"by Jennifer Lee on Dec 3, 2021 (updated Jun 23, 2023)",4.80,25,NA,10 minutes,NA,Chilling Time: 30 minutes mins,40 minutes,11 cookies,6,"Line a cookie sheet with parchment paper or silicone baking mat.
Add chocolate chips to a large microwave-safe mixing bowl. Heat chocolate at full power in 30 second intervals, stirring in between with a spatula, until chocolate is completely melted and smooth. This took about 1 minute for me. Alternatively, you can melt the chocolate on the stove with the doubler boiler method.
Stir in pureed bananas. I recommend using a whisk to make sure the bananas are completely and evenly incorporated with the chocolate.
Stir in the oats until they are evenly mixed in. The mixture should still be very wet. Use a 1.5 tbsp cookie scoop to scoop up cookie dough and place onto prepared cookie sheet, spacing cookies 2 inches apart.
Press down on each cookie ball to flatten and shape into a round thick disk cookie shape. You can do this with the back of a spoon or with your hand (if you don't mind them getting a little dirty because some of the chocolate will stick to your hand.)
Place cookies into fridge to set. This can take 30-60 minutes. When cookies are set they should no longer feel wet and sticky. They should feel firm and you should be able to peel the cookies off of the parchment paper or silicone baking mat. Store uneaten cookies in the fridge.",3,▢ 1/2 cup (92 g) semi-sweet chocolate chips,▢ 1/2 cup (114 g) pureed bananas,"▢ 1 cup (87 g) rolled oats, or 1 cup + 2 tbsp (101 g) quick oats",Kirbie's Cravings,https://kirbiecravings.com/3-ingredient-no-bake-chocolate-oatmeal-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 Ingredient No Bake Chocolate Cookies,Jennifer Lee,"by Jennifer Lee on Nov 4, 2021 (updated Apr 28, 2023)",4.92,24,NA,10 minutes,NA,NA,10 minutes,10 cookies,2,"Add ingredients to a mixing bowl. Use a spoon to mix until a dough forms and no traces of dry cocoa powder remain. When you first start mixing, it may seem that there is not enough liquid, but it takes time for the maple syrup to get absorbed. After about 30 seconds to 1 minute, you should see the cocoa powder begin to clump up and eventually all of the cocoa powder should be incorporated and a thick dough should form. The dough will be thick and a little stiffer than typical cookie dough. Taste the dough. If you find that it needs a little more sweetness or if you find your dough is too dry, you can add 1 more tbsp of syrup.
Divide dough into 10 dough balls. Roll dough ball between your palms and then press down to form a thick round disk. Repeat with remaining cookies. Cookies can be enjoyed right away. Store uneaten cookies in an airtight container.",2,▢ 1 cup (88 g) unsweetened dutch process cocoa powder,▢ 7 tbsp (3.5 oz) maple syrup,NA,Kirbie's Cravings,https://kirbiecravings.com/2-ingredient-no-bake-chocolate-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 Ingredient Sweet Potato Cookies,Jennifer Lee,"by Jennifer Lee on Oct 29, 2021 (updated Mar 16, 2023)",5,8,NA,5 minutes,12 minutes,NA,17 minutes,8 cookies,4,"Preheat oven to 350°F. Line a large baking sheet with parchment paper or silicone baking mat.
In a large mixing bowl, combine sweet potato and quick oats. Stir until evenly mixed and oats are fully incorporated. There should not be any dry oats.
Using a 1.5 tbsp cookie scoop, scoop cookie dough balls and place onto prepared baking sheet, spaced 2 inches apart. Use the palm of your hand to press down on each cookie dough ball to flatten into a thick round disk. The cookies will not spread or rise during baking so how you shape the cookies is how they will be when they are finished. You can smooth edges, reshape, etc, as needed.
Bake cookies for about 11-13 minutes or until done. When cookies are done, you should be able to release the cookie from the baking sheet using a cookie spatula without the middle of the cookie getting stuck or breaking apart. Store uneaten cookies in an airtight container.",2,▢ 1/2 cup (120 g) sweet potato puree,"▢ 1 cup (86 g) quick oats, see notes for almond flour version",NA,Kirbie's Cravings,https://kirbiecravings.com/2-ingredient-sweet-potato-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 Ingredient Apple Oatmeal Cookies,Jennifer Lee,"by Jennifer Lee on Oct 6, 2021 (updated Mar 5, 2022)",4.75,8,NA,5 minutes,15 minutes,NA,20 minutes,9 cookies,5,"Preheat oven to 350°F. Line a large cookie sheet with parchment paper or silicone baking mat.
In a large mixing bowl, add applesauce and oats. Mix until thoroughly and evenly combined and all oats have been moistened by the applesauce.
Use a 1.5 tbsp cookie scoop to scoop cookie dough and place onto prepared baking sheet, spacing cookies 2 inches apart.
Use the palm of your hand to press down on dough balls to form thick round disks about 3/8 inch thick. Smooth and round the edges of the disks if needed. The cookies will not spread during baking, so how you shape the cookies will be how they will look when they are finished baking.
Bake cookies for about 13-15 minutes or until edges start to turn light brown. The rolled oats version will need a longer baking time. I baked the quick oats version for 13 minutes and the rolled oats version for 15 minutes. If you aren't sure if the cookies are done, try to remove one cookie using a cookie spatula. It should come completely off the cookie sheet (i.e., no middle section still stuck on). Uneaten cookies can be stored at room temperature for about 2 days or longer in the fridge or freezer.",2,"▢ 4 oz applesauce, sweetened or unsweetened","▢ 1 cup - 1 tbsp (77 g) rolled oats, or 1 cup (87 g) quick oats",NA,Kirbie's Cravings,https://kirbiecravings.com/2-ingredient-apple-oatmeal-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keto Pumpkin Cookies,Jennifer Lee,"by Jennifer Lee on Oct 4, 2021 (updated Dec 1, 2021)",4.34,9,Cookies,10 minutes,15 minutes,NA,25 minutes,12 cookies,4,"Preheat oven to 350°F. Line a large cookie sheet with parchment paper or silicone baking mat.
In a large bowl, add almond flour and erythritol. Stir until evenly mixed. Add in pumpkin and stir until pumpkin is fully incorporated and a sticky dough forms.
Using a 1.5 tbsp cookie scoop, scoop out cookie dough balls and place onto prepared cookie sheet, spaced 2 inches apart. Press down on dough balls with the palm of your hand until they form round disks, about 1/2 inch thick. You can use your fingers to smooth and round the edges of the disks as needed.
Bake cookies for about 15-17 minutes, or until edges are brown. The tops of the cookies may still feel soft, but that is okay. Let cookies cool completely on cookie sheet. When they are cooled, the exterior of the cookies should firm up. Store uneaten cookies in an airtight container at room temperature.",3,▢ 1 1/2 cup (137 g) superfine blanched almond flour,▢ 1/4 cup (48 g) erythritol granular,▢ 1/3 cup (79 g) pumpkin puree,Kirbie's Cravings,https://kirbiecravings.com/keto-pumpkin-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2 Ingredient Crunchy Almond Cookies (Keto, Low Carb)",Jennifer Lee,"by Jennifer Lee on Aug 27, 2021 (updated Feb 24, 2023)",NA,NA,NA,5 minutes,12 minutes,NA,17 minutes,7 cookies,4,"Preheat oven to 350°F. Line a large baking sheet with parchment paper or silicone baking mat.
In a medium bowl, combine ingredients. Stir with a spatula until the erythritol is completely incorporated into the almond butter. The almond butter should also thicken as the erythritol gets incorporated. The dough will be stickier and wetter than your typical cookie dough.
Use a 2 tsp cookie scoop to scoop out dough and release onto prepared baking sheet. Use your fingertips to smooth out surface. Apply light pressure to the cookie dough balls so they become dome-shaped (they will spread out more during baking but they don't spread a lot.)
Let cookies bake for about 11-12 minutes or until surface of cookies are firm and edges are a darker shade of brown. Let cookies cool on cookie sheet to fully set before removing.",2,▢ 1/2 cup (122 g) natural almond butter,▢ 4 tbsp (36 g) powdered erythritol,NA,Kirbie's Cravings,https://kirbiecravings.com/2-ingredient-crunchy-almond-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 Ingredient Peanut Butter Banana Cookies,Jennifer Lee,"by Jennifer Lee on August 24, 2021",3.97,26,NA,5 minutes,13 minutes,NA,18 minutes,9 cookies,5,"Preheat oven to 350°F. Line a large baking sheet with parchment paper.
In a medium bowl, combine peanut butter and banana puree. Stir together with a spatula until banana is completely incorporated into the peanut butter. The mixture should thicken as you mix and you should be able to form a cookie dough with the mixture.
Using a 1 tbsp measuring spoon, scoop out cookie dough. Use another spoon to help you release the cookie dough onto prepared baking sheet.
Use the palm of your hand to flatten dough balls into thick round disks about 1/4 inch thick. If your disks are not perfectly round, you can use your hands to shape them as needed. If desired, add criss cross pattern to surface of cookies using the back of a fork. I did this for the version using 3 tbsp of banana but not for the version using 4 tbsp of banana because the dough was more wet and sticky.
Bake cookies for about 12-13 minutes or until cookies are puffed up and the tops of the cookie are a golden brown. If you aren't sure if your cookies are done, you can also test one (only test one because the cookies are quite fragile) by trying to gently slide it from its space on the parchment paper. It should slide easily. If it leaves crumbs stuck to the botom of the parchment paper then it is not finished baking. Let cookies remain on baking sheet until fully cooled to let them set properly.",2,"▢ 1/2 cup (128 g) creamy natural peanut butter, unsweetened","▢ 3-4 tbsp (45 g- 60 g) banana puree, see notes",NA,Kirbie's Cravings,https://kirbiecravings.com/2-ingredient-peanut-butter-banana-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 Ingredient Soft Peanut Butter Cookies,Jennifer Lee,"by Jennifer Lee on August 7, 2021",4.84,6,NA,5 minutes,13 minutes,NA,18 minutes,5 cookies,4,"Preheat oven to 350°F. Line a baking sheet with parchment paper.
In a large bowl add peanut butter and sugar. Stir until sugar is completely incorporated into the peanut butter. You can taste the dough and if you don't think it is sweet enough, you can add 1-2 tbsp more sugar.
Use a 1.5 tbsp cookie scoop and scoop up cookie dough. Release it onto prepared baking sheet. Repeat with rest of the dough. Use your fingers to gently smooth the surface of each dough ball.
Bake cookies for 13-15 minutes or until edges turn a darker shade of brown and surface of the cookies are dry and slightly cracked. Let cookies cool completely on cookie sheet before removing them with a cookie spatula.",2,▢ 1/2 cup (128 g) creamy peanut butter,"▢ 4 tbsp (24 g) powdered sugar, (can add 1-2 more tbsp for sweeter cookies)",NA,Kirbie's Cravings,https://kirbiecravings.com/2-ingredient-soft-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 Ingredient Keto Low Carb Peanut Butter Cookies,Jennifer Lee,"by Jennifer Lee on July 28, 2021",NA,NA,NA,5 minutes,10 minutes,NA,15 minutes,8 cookies,5,"Preheat oven to 350°F. Line a large baking sheet with parchment paper.
In a medium bowl, stir together peanut butter and syrup with a spatula. At first your batter will be very liquidy, but as you continue to mix, the dough will thicken considerably. Stir until the dough has pulled away from the sides of the bowl and formed a dough ball.
Use a tablespoon to measure out 1 tbsp of dough. Roll between your hands and place onto prepared baking sheet. Repeat with remaining dough, spacing dough balls 2 inches apart.
Press down gently on dough balls with the palm of your hand to form round disks. If desired, use a fork to make criss-cross pattern.
Bake cookies for about 10 minutes, or until they are puffed up and the surface looks dry. Let cookies cool before attempting to remove them. If you remove them before they are set, they will crumble. Cookies should come off the parchment paper easily once they are set.",2,"▢ 1/2 cup (128 g) natural creamy peanut butter, unsweetened",▢ 3 tbsp (1.5 oz) ChocZero sugar free maple syrup,NA,Kirbie's Cravings,https://kirbiecravings.com/2-ingredient-low-carb-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Ingredient Keto Chocolate Cookies,Jennifer Lee,"by Jennifer Lee on Jul 2, 2021 (updated Feb 23, 2022)",NA,NA,NA,10 minutes,10 minutes,NA,20 minutes,10 cookies,5,"Preheat oven to 350°F. Line a large baking sheet with parchment paper.
In a large mixing bowl, add almond butter and cocoa powder. Stir until cocoa powder is completely incorporated into the almond butter and the spread is uniform in color. Do not add in the syrup until after the cocoa powder is fully mixed in.
Add in the syrup. Fold and stir it into the spread until the syrup is completely incorporated. As you continue to stir you should notice that the spread is beginnging to firm up like a cookie dough. Stir until the dough has pulled away from the sides of the bowl and is firm enough for you to grab and roll into a ball. Your dough ball may look oily but this is actually just the syrup.
Using a 1 tbsp measuring spoon, measure out 1 tbsp dough balls, placing them on the cookie sheet spaced 2 inches apart. Roll each dough ball between the palm of your hands. Flatten the dough balls into thick round disks using the palm of your hand.
Bake for about 10 minutes or until cookies no longer look wet on the surface and are slightly cracked. Let cookies cool on baking sheet before removing. Uneaten cookies can be stored in an airtight container at room temperature.",3,"▢ 1/2 cup (122 g) natural creamy almond butter, unsweetened",▢ 1 tbsp (7 g) unsweetened cocoa powder,▢ 1/4 cup (2 oz) Lakanto sugar free maple syrup,Kirbie's Cravings,https://kirbiecravings.com/3-ingredient-keto-chocolate-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Ingredient No Bake Chocolate Chip Cookies,Jennifer Lee,"by Jennifer Lee on Jun 23, 2021 (updated Oct 20, 2022)",4.63,8,NA,5 minutes,NA,NA,5 minutes,10 cookies,3,"Line a baking sheet with parchment paper.
In a large mixing bowl add peanut butter and syrup. Use a spatula and mix the syrup into the peanut butter. Stir until the peanut butter becomes as thick as cookie dough and pulls away from the sides of the bowl and forms a dough. You can mix in the chocolate chips at this point, but if you want a prettier presentation, add them later.
Scoop 1 tbsp of dough and roll between palms until it forms a smooth round ball. Place onto baking sheet. Repeat with remaining dough, spacing dough balls 1 inch apart. Press down on each ball with the palm of your hand to form a thick round disk (about 1/2 inch thick). If you did not add the chocolate chips yet, press several into the surface of each cookie now. You can eat the cookies right away. If your kitchen is a little warm, you can refrigerate the cookies for about 30 minutes so that they are slightly firmer.",3,"▢ 1/2 cup (128 g) creamy natural peanut butter (or cashew or almond butter), unsweetened",▢ 2 tbsp (1 oz) maple syrup,▢ 1/4 cup (40 g) semisweet chocolate chips,Kirbie's Cravings,https://kirbiecravings.com/3-ingredient-no-bake-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 Ingredient No Bake Peanut Butter Cookies,Jennifer Lee,"by Jennifer Lee on Jun 8, 2021 (updated Jun 26, 2025)",4.79,28,NA,10 minutes,NA,NA,10 minutes,8 cookies,3,"Line a baking sheet with parchment paper.
In a large bowl add peanut butter and 1 ½ tbsp syrup. Use a spatula and mix the syrup into the peanut butter. At first the peanut butter will become more liquidy as your stir in the syrup, but as you continue to stir, you should see the peanut butter thicken. Continue to stir until the peanut butter becomes as thick as cookie dough and pulls away from the sides of the bowl and can form a dough. Taste the dough and if it is not sweet enough for you, you can add another 1/2 tbsp of syrup and stir that in.
Scoop 1 tablespoon of dough and roll between palms until it forms a smooth round ball. Place onto baking sheet. Repeat with remaining dough, spacing cookies 1 inch apart. Gently press balls to form a thick round disk (about 1/2 inch thick). Use the back of a fork to make crisss-cross patten on cookies. Cookies can be enjoyed right away. They can also be refrigerated for 30 minutes which will make them slightly firmer. Store uneaten cookies in an airtight container in the fridge or freezer.",2,"▢ 1/2 cup (128 g) creamy natural peanut butter with no added oils, unsweetened",▢ 1½ - 2 tbsp (.75 - 1 oz) maple syrup,NA,Kirbie's Cravings,https://kirbiecravings.com/2-ingredient-no-bake-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Ingredient Healthy Banana Chocolate Chip Cookies,Jennifer Lee,"by Jennifer Lee on May 25, 2021 (updated Mar 18, 2022)",5,8,NA,10 minutes,10 minutes,NA,20 minutes,10 cookies,5,"Preheat oven to 350°F. Line a large baking sheet with parchment paper.
In a medium bowl, stir together mashed bananas and oat flour until oat flour is completely incorporated and a thick dough forms. You should not see any traces of unmixed oat flour.
Stir in half of the chocolate chips. Using a 1.5 cookie scoop, scoop dough balls and place onto prepared baking sheet, spaced about 2 inches apart.
Press down on dough balls with the palm of your hand to form a thick round disk. Cookies will puff up a little during baking but they will not spread out, so you want to spread the cookies out beforehand. Press a few of the remaining chocolate chips onto each cookie.
Bake cookies about 10 minutes. Let cookies cool before removing and eating.",3,"▢ 1/2 cup (110 g) mashed overripe bananas, (see notes)",▢ 1 cup (105 g) oat flour,▢ 1/3 cup (56 g) semisweet chocolate chips,Kirbie's Cravings,https://kirbiecravings.com/healthy-banana-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 Ingredient Healthy Almond Butter Cookies,Jennifer Lee,"by Jennifer Lee on May 18, 2021 (updated Feb 9, 2024)",4.41,10,NA,10 minutes,12 minutes,NA,22 minutes,16 cookies,5,"Preheat oven to 350°F. Line a large baking sheet with parchment paper.
In a large bowl, add almond butter and maple syrup. Using a spatula, stir the syrup into the almond butter. Initially your mixture will be very liquidy but as the almond butter absorbs the syrup you should see the batter thicken until it becomes the consistency of cookie dough. Your dough should be firm enough for you to scoop and shape.
Scoop out 1 tbsp of cookie dough. Roll between palms to make a smooth round ball. Place onto prepared cookie sheet. Repeat with remaining dough, spacing dough balls 2 inches apart.
Using the palm of your hand, press down on each dough ball to flatten into a round disk (between 1/4 inch to 3/8 inch thick).
Bake cookies for about 12 minutes. Cookies are done when the surface is dry and has a few minor cracks. Do not worry if the cookies are still soft. They will firm up as they cool. Let cookies cool completely before removing them from the baking sheet. They should easily come off the parchment paper. These cookies can be enjoyed as is. I also sprinkled some sea salt on a few just to add a little texture and flavor.",2,"▢ 1 cup (244 g) natural creamy almond butter, unsweetened",▢ 1/4 cup (2 oz) maple syrup,NA,Kirbie's Cravings,https://kirbiecravings.com/2-ingredient-almond-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keto Lemon Shortbread Cookies,Jennifer Lee,"by Jennifer Lee on Apr 23, 2021 (updated Jul 30, 2021)",4.80,5,NA,15 minutes,15 minutes,Chilling Time: 30 minutes mins,NA,24 cookies,7,"In a large mixing bowl, add butter and erythritol. Cream together until light and fluffy. Add in lemon zest and lemon juice and mix until incorporated. Using a spatula, scrape down the sides of the mixing bowl.
Add in almond flour and mix in slowly until completely incorporated and a dough forms.
Place dough between two sheets of parchment paper. Roll out the dough until it is 3/8 inch thick. Place dough into the fridge and let it firm up for at least 30 minutes. The dough does not need to be completely chilled, just firm enough that you will be able to cut and move the cookies.
While waiting for the dough to chill, preheat oven to 350°F. Line a baking sheet with parchment paper.
After 30 minutes, remove dough from fridge. Slice into rectangles approximately 2 inches by 1.5 inches. Carefully peel cookies from parchment paper and place onto prepared baking sheet, spacing cookies about 1 inch apart. Reroll dough scraps and repeat.
Bake cookies about 15 minutes or until edges turn light brown.
Let cookies cool completely on baking sheet to let them set. Cookies will firm up as they cool. Do not remove cookies until they are set.",4,"▢ 1/2 cup unsalted butter, softened",▢ 1/3 cup + 1 tbsp erythritol granular,"▢ 1/2 (packed) tbsp lemon zest + 1 tsp lemon juice, from 1 lemon",Kirbie's Cravings,https://kirbiecravings.com/keto-lemon-shortbread-cookies/,▢ 2 cups superfine blanched almond flour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 Ingredient No Bake Keto Peanut Butter Cookies,Jennifer Lee,"by Jennifer Lee on Apr 17, 2021 (updated Mar 15, 2022)",5,1,NA,5 minutes,NA,NA,5 minutes,8 cookies,3,"Line a cookie sheet with parchment paper.
In a medium bowl combine peanut butter with 1 tbsp syrup. Use a spatula to stir the syrup into the peanut butter. At first the peanut butter will become more liquidy as your stir in the syrup. However as you continue to mix it in, you should see the peanut butter seize and thicken and become a cookie dough consistency. Mix in the syrup until it is completely incorporated. Start with 1 tbsp of syrup and taste the dough after it is mixed in. If it's not sweet enough, you can add another 1/2 tbsp. Do not add too much syrup because it will make your dough soft and sticky.
Scoop 1 tbsp of dough and place onto prepared cookie sheet. Repeat with remaining dough, spreading cookies 1 inch apart. Use the back of a fork to make crisss-cross patten on cookies. Cookies can be enjoyed right away. They can also be refrigerated for 30 minutes which will make them slightly firmer. Store uneaten cookies in the fridge in an airtight container.",2,"▢ 1/2 cup natural creamy peanut butter, unsweetened",▢ 1 - 1 ½ tbsp Lakanto maple flavored syrup,NA,Kirbie's Cravings,https://kirbiecravings.com/2-ingredient-no-bake-keto-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 Ingredient Coconut Cookies,Jennifer Lee,"by Jennifer Lee on Mar 23, 2021 (updated Aug 5, 2022)",4.84,12,NA,5 minutes,18 minutes,NA,23 minutes,9 cookies,4,"Preheat oven to 350°F. Line a large baking sheet with silicone baking mat or parchment paper.
In a food processor or blender, puree banana until it becomes a smooth liquid. Add in coconut and pulse just a few times to evenly mix the two ingredients. Be careful to not overmix. The coconut should still be in shreds, but just smaller. Your mixture should be thick.
Scoop 1 tbsp of dough and place onto cookie sheet. Repeat with remaining dough, spacing two inches apart. Use the back of a spoon to flatten each cookie into a circle that is 1/4 inch thick.
Bake cookies about 17-20 minutes or until edges turn brown and surface is no longer wet. Let cookies cool completely on baking sheet before removing. The bottom of the cookies do stick a little, so make sure to use a cookie spatula to remove cookies from sheet.",2,"▢ 1 small banana , 102 grams without peel","▢ 3/4 cup (52 grams) finely shredded coconut, unsweetened",NA,Kirbie's Cravings,https://kirbiecravings.com/2-ingredient-healthy-coconut-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Ingredient Healthy Oat Cookies,Jennifer Lee,"by Jennifer Lee on Mar 9, 2021 (updated Apr 14, 2021)",4.84,6,NA,5 minutes,12 minutes,NA,17 minutes,8 cookies,5,"Preheat oven to 350°F. Line a large baking sheet with parchment paper.
In a medium bowl, combine all ingredients. Mix with a spatula until ingredients are evenly incorporated and a cookie dough forms. If you prefer sweeter cookies you can add 1 more tbsp of syrup.
Using a 1.5 tbsp cookie scoop, scoop cookie dough balls and place onto prepared baking sheet, spaced 2 inches apart.
Use the palm of your hand to flatten dough balls into thick, round disks. If desired, use a fork to make criss cross pattern across surface of each cookie.
Bake cookies about 11-13 minutes or until they are puffed up, with small cracks on the surface. The surface of the cookies should also look dry. Cookies may initially feel slightly soft but should firm up as they cool. Let cookies cool completely on the baking sheet before removing them.",3,"▢ 1/2 cup natural creamy peanut butter, unsweetened",▢ 1/4 cup + 2 tbsp oat flour,"▢ 3 tbsp maple syrup, or more as needed",Kirbie's Cravings,https://kirbiecravings.com/3-ingredient-healthy-oat-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
