title,author,datelisted,rating,ratingnum,category,cuisine,course,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,source,link,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19
Barazek (Syrian Sesame Seed and Pistachio Cookies),Muna Kenny,30/04/2022_03/05/2025,5,2,Cookies Recipes,Arabian,Cookies,15 minutes,15 minutes,NA,30 minutes,5 people,11,"In a bowl, add the flour and ghee, mix both ingredients with your hands or a hand mixer for 7 minutes. Cover and refrigerate for 30 to 35 minutes.
In a small bowl, mix the sugar with water and honey, mix well. Take out the dough from the fridge and pour the sugar mixture over it.
Do not knead the dough but work on gathering the dough together until it absorbs the liquid. The dough will feel like it won’t come together but it will. You will get a soft dough that will not stick much to your hand as shown in the video. Kneading the dough will make the barazek tough.
Cover the dough and refrigerate again for 30 to 40 minutes.
Mix the sesame seeds with honey and sugar. Keep mixing for a minute the mixture will feel heavy and sticky. Add the water and mix for a few seconds and the mixture will turn light, now it is ready to coat the barazek. Spread the sesame on a wide plate.
Add the crushed pistachios on a plat.
Form a small ball, place the ball on the pistachios and press lightly to make some of the pistachios stick to the bottom of the ball.
Remove the ball from the crushed pistachio plate, flip the ball and place it over the sesame mixture. Press down the ball to flatten it forming a thin disc, this will also make the sesame stick to the cookie.
Place the cookies sesame side up on a lined baking sheet, keeping an inch between each cookie. The cookies won't spread but just to be on the safe side it's best to leave an inch between each cookie.
Bake the cookies in a preheated oven of 170C – 338F for 15 to 18 minutes or until the bottom of the cookies is light brown.
Keep the cookies in the baking sheet for two minutes then transfer on a wire rack to cool completely.",10,2 cup + 3 tablespoon all-purpose flour,½ cup + 2 tablespoon ghee at room temperature,½ cup sugar,3 tablespoon water,1 tablespoon honey,¾ cup toasted sesame seeds,1 tablespoon sugar,1 tablespoon honey,Munaty Cooking,https://www.munatycooking.com/barazek/,¾ cup crushed pistachios,2 teaspoon water,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Best Kahk (Eid Cookies) Ever – Easy Recipe,Muna Kenny,18/04/2022,NA,NA,Middle Eastern Recipes,Arabian,Cookies,20 minutes,30 minutes,NA,50 minutes,7 people,20,"While the heat is off, add the water, sugar, corn flour, and honey to a saucepan. Mix well.
Turn on the heat to medium-high and stir occasionally. When the mixture is thick, reduce the heat to the lowest, pour in the lemon juice, and stir.
Keep on stirring the mixture occasionally to prevent it from sticking to the bottom of the pan.
The process will take around an hour and 10 minutes or until you run a spatula in the middle of the pan to make a line, the line should remain visible as shown in the video.
Grease and dust a 7-inch pan with cornflour, then pour the malban. Spray the surface lightly with oil and spread it evenly with the back of a spoon.
Sprinkle the malban with cornflour and then tap it to prevent the surface from having cracks with your hand.
When it comes to room temperature, cover it, place it in the fridge to become firmer, and then cut it into small cubes.
Press the malban cube in your hand and then roll it into a ball. You can also press down the malban and mix it with the crushed pistachios and then roll it in your hand to form a ball. If the malban sticks to your hand, dust it with cornflour and continue creating small balls.
*Please note that you will have leftover malban, you can use it to make more cookies, or you can only make half the recipe. At home, we enjoy mixing malban with nuts and have it with Arabic coffee.
Using a stand mixer or a hand mixer, beat the ghee until light in color and fluffy. This will result in airy cookies.
Add the kahk spice (Read note #1 for subs), toasted sesame seeds, salt, sugar, yeast, and baking powder to the ghee and beat until combined.
It is best to sift the flour before using it to make the kahk. Add the flour to the ghee and beat for 4 to 5 minutes. This step will prevent the kahk from breaking while baking and have the right texture.
Pour the ¼ cup of water into the dough and mix until combined for a few seconds; you shouldn’t knead the dough for longer than a few seconds after adding the water, or the cookies will come out hard. Do not worry if the dough looks too soft after adding the water; it will get firmer while mixing.
Cover the dough and let it rest for 15 minutes (do not refrigerate it).
Form 31 grams balls from the rested dough, press one ball between your palms, and if you see no cracks, it means that the dough is perfect.
Flatten each ball and fill it with the malban balls we created earlier close the ball and place it on a lined baking sheet. Press each ball down gently. Leave around 2 inches to 3 inches space between each kahk.
If your kitchen is hot and the balls are turning softer, refrigerate the filled balls for 10 minutes before baking.
Place the baking sheet in a preheated oven 180C – 350F on the middle shelf for 18 to 20 minutes.
Leave the khak on the baking sheet to cool completely. Moving the cookies while warm or hot will break them.
Dust the cookies with confectioner’s sugar before serving.",16,2 ½ cup all-purpose flour,¾ cup +1 teaspoon ghee refrigerate for 30 minutes,1 ¼ tablespoon sugar use fine sugar,1 ¼ tablespoon toasted sesame seeds,¼ teaspoon salt,1 teaspoon baking powder,1 teaspoon dry yeast,¼ cup room temperature water,Munaty Cooking,https://www.munatycooking.com/kahk-eid-cookies/,"1 teaspoon of Kahk spice if not available, read note #1 for substitute",Confectioner’s sugar for dusting the cookies later.,2 cup water,1 ¾ cup sugar,7 ½ tablespoon cornflour,2 tablespoon honey,1 teaspoon lemon juice,⅓ cup crushed pistachios,NA,NA,NA
Easy Madeleines Recipe with a Video,Muna Kenny,03/11/2021,5,3,Dessert Recipes,French,"Cookies, Dessert",15 minutes,12 minutes,NA,27 minutes,27 Madeleines,14,"In a large mixing bowl, add the three large eggs and beat until a little lighter in color, which will take around two minutes.
Add the sugar to the beaten eggs and beat until well combined, will take three minutes to four.
Now add the vanilla or any flavoring you wish to replace the vanilla with, like orange or lemon zest. Beat the mixture for a minute.
Sift in the flour, salt, and baking powder. It is essential to sift the dry ingredients to prevent any lumps from the baking powder.
Add the flour to the beaten eggs and sugar. Mix until combined, and if you see small lumps in the batter at this stage, do not panic; it will disappear after adding the melted butter.
Pour the melted butter into the batter and mix until combined. Make sure the melted butter is not hot when adding it!
Cover the batter and refrigerate for 1 hour but best to chill for 2 hours to 12 hours. You can also place the covered batter in the freezer for a few minutes if you don’t want to wait for 2 hours. Read more in the notes below.
Preheat the oven to 350F/180C for at least 20 minutes before using it.
Prepare the pan. If you use a regular pan or a nonstick one, it is best to grease and flour it. A pastry brush will help a lot in this step, so brush the pan with butter and then dust it with flour. Make sure to use enough flour to cover the shell shape properly. Flip the pan over the working surface, or better do this at the sink. Tap the pan one time over the working surface or the sink to get rid of excess flour.
Do not mix the batter after taking it out of the fridge. Using an ice cream scoop or a tablespoon, scoop the batter in the center of the madeleine’s molds. Do not try to spread the batter.
If using a silicone mold, place it over a baking sheet and then bake it in the oven.
Bake on the middle shelf for 12 minutes, or until you insert a toothpick in the middle of the madeleine and if it comes out clean.
After removing the mini cakes from the oven, allow them to cool while in the pan/mold for three minutes, then place them over a wire rack to cool completely.
Dust with confectioner’s sugar before serving.",7,1 cup all-purpose flour,1 teaspoon baking powder,¼ teaspoon salt,½ cup + 1 tablespoon sugar,1 teaspoon vanilla,3 large eggs at room temperature,½ cup melted unsalted butter,NA,Munaty Cooking,https://www.munatycooking.com/easy-madeleines/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Best Sugar Cookies Recipe with Video,Muna Kenny,08/09/2021_21/09/2024,NA,NA,Cookies Recipes,American,Cookies,20 minutes,12 minutes,NA,52 minutes,30 Cookies,13,"In a large bowl, beat the butter, sugar, and vanilla together on high speed until lighter in color and creamy in texture. You can use a hand mixer but if you are using a stand mixer beat with the paddle attachment. Add the egg white and beat on high speed until combined, for 1 minute. Scrape down the sides and up the bottom of the bowl and beat again for a few seconds.
Add the flour and salt, mix on low until combined. The dough will be soft.
Divide the dough into 2 equal parts. Add the cocoa powder, one tablespoon powdered sugar, and one tablespoon flour to one half and beat until combined.
Now you have a vanilla-flavored dough and a chocolate dough. To prepare the marble cookies, take quarter from the vanilla dough and a quarter from the chocolate dough.
Place the vanilla-flavored dough on parchment paper. Spread the dough with your hand to prepare it for rolling. Place another parchment paper on the dough and roll it out to ¼ inch thickness. Place the dough while covered with parchment paper in the refrigerator for 20 minutes.
Repeat the step above with the chocolate dough and refrigerate for 20 minutes.
For the Marble dough. Place the vanilla dough over the chocolate and press down gently. Cut the dough in half and place one half over the other; make sure the vanilla half is on the chocolate.
Form a ball and place it on parchment paper. Spread the dough with your hand to prepare it for rolling. Place another parchment paper on the dough and roll it out to ¼ inch thickness. Place the dough while covered with parchment paper in the refrigerator for 20 minutes.
Preheat the oven to 180C/350F. Line the baking sheet with parchment paper.
After 20 minutes. Dust the cookie cutter with flour. Cut all the rolled-out doughs into different shapes. Re-roll the remaining dough and continue cutting. If possible, keep the raw cut out cookies in a cool place or cover and refrigerate until you are done baking the previous batch.
Arrange cookies on baking sheets 2 inches apart.
Bake the cookies for 11-12 minutes. Allow the cookies to cool on the baking sheet for 5 minutes, then transfer to a wire rack to cool completely.
To decorate the cookies. Add a quarter teaspoon of jam between 2 cookies. Gently press cookies together. Spread the jam on the edges of the cookie and then roll cookie edges in crushed nuts or sprinkles. Please watch the video to learn about other ways to decorate these cookies.",10,400 grams all-purpose flour 3 cups +5 tablespoons,¼ teaspoon salt,300 grams unsalted soft butter 1 cup +6 tablespoons,1 egg white,1 teaspoon vanilla extract,120 grams powdered sugar 1 cup +2 tablespoons,½ cup unsweetened cocoa powder,¼ cup hot water,Munaty Cooking,https://www.munatycooking.com/best-sugar-cookies-recipe/,1 tablespoon all-purpose flour,1 tablespoon powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pistachio Anise Biscotti Recipe,Muna Kenny,04/10/2020_09/05/2025,5,1,Cookies Recipes,Italian,Cookies,5 minutes,40 minutes,NA,45 minutes,10 Cookies,11,"Preheat the oven to 350F/180C. Line a baking sheet with parchment paper. Keep aside.
In a large mixing bowl, add the eggs and vanilla, beat until you can no longer see the white.
Add the sugar and oil, beat until well combined.
Sift the flour with salt and baking powder, add it to the wet ingredients, mix well using a whisk first and then switch to a spatula.
Add the pistachios and anise seeds, mix until combined.
Pour the dough on the previously prepared baking sheet. Wet or oil your hands and form an 8-inch-long log. You can also dust your hands with flour to shape the log, but I try to avoid adding more flour to the dough.
Bake the dough for 20 to 25 minutes on the middle shelf of the preheated oven.
Remove the biscotti from the oven and allow to cool for 15 to 20 minutes.
Using a serrated knife, cut the Biscotti into 1-inch thick slices. Place the slices on the baking sheet and bake for 10 minutes. You should get 10 biscotti cookies or 20 if you are making two logs from this dough.
Flip the biscotti slices and bake them for 10 more minutes.
Let the biscotti cool on a cooling rack and enjoy later with coffee or a glass of milk.",9,1 ¾ cup all-purpose flour,¼ cup oil,½ cup of sugar,2 large eggs,1 teaspoon vanilla,¼ teaspoon salt,1 teaspoon baking powder,½ cup whole shelled pistachios,Munaty Cooking,https://www.munatycooking.com/pistachio-anise-biscotti/,1 tablespoon anise seeds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghraybeh Middle Eastern Butter Cookies,Muna Kenny,03/07/2020_03/05/2025,4.56,9,Cookies Recipes,Arabian,Cookies,10 minutes,12 minutes,NA,52 minutes,35 cookie,14,"Using a hand mixer or a stand mixer, beat the ghee until light in color and fluffy in texture.
Add the confectioner’s sugar to the ghee and continue beating until you get a buttercream texture.
Add the Vanilla and beat for few seconds.
Reduce the mixer’s speed and add the flour. Mix for a few seconds with a spatula or a wooden spoon and then mix using the stand mixer until the ingredients are well combined.
Cover the dough with a plastic wrap and refrigerate for 20 to 30 minutes.
Line a baking sheet with parchment paper.
Form equal size balls, the balls should weigh 15 to 16 grams and place them over the previously prepared baking sheet.
You can keep the balls as is or press them down gently and place one pistachio over each ball, pushing the pistachio gently in the center of the cookie.
Place the formed ghraybeh cookies while on the baking sheet in the fridge for 20 minutes.
Preheat the oven to 160C/325F.
Bake the cookies for 10 to 12 minutes in the middle rack.
Take out the cookies from the oven and allow it to cool for a few minutes while on the baking sheet. Do not touch the cookies while they are hot nor move them from the baking sheet.
Place the cookies on a cooling rack. Leave the cookies out and uncovered for at least an hour to make sure it’s not warm because if you place the cookies in a container while warm, the moisture will make the cookies hard.
Store the cookies in a container and leave at room temperature for up to a week.",5,2 cups all-purpose flour,1 ¼ confectioner’s sugar powdered sugar,1 cup cold ghee,½ teaspoon vanilla optional,Pistachios to garnish the cookies,NA,NA,NA,Munaty Cooking,https://www.munatycooking.com/ghraybeh-middle-eastern-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maamoul Cookies Made with Semolina,Muna Kenny,24/06/2020_03/05/2025,5,5,Cookies Recipes,Arabian,Cookies,30 minutes,20 minutes,NA,10 minutes,24 Cookies,14,"In a bowl, add the semolina and the all-purpose flour. Mix well for one minute.
Add the melted unsalted butter to the previous mixture and mix until well combined. In this step, we are trying to coat the semolina and flour with the fat from the butter to bring out a shortbread-like taste.
Add the baking powder, milk, vanilla or the flavoring you like, and sugar. Mix well until combined on low speed. Do not overmix the dough to prevent the Maamoul from turning hard.
Cover the dough with a plastic wrap and place in the fridge for 20 minutes to an hour. This step is crucial because it allows the semolina to absorb the moisture and increase in size.
Add ghee and sugar to the ground pistachio and mix well. Form 12 balls and Keep aside.
Add cinnamon, sesame seeds, and ghee to the date and mix well. Form 12 balls and keep aside.
Preheat the oven to 190C/374F. Line a baking sheet with parchment paper and keep aside.
Bring out the dough from the fridge and form 24 balls.
Flatten the balls and place the filling in the middle. Close the dough ball again to form a ball.
Place the filled dough ball in the mold and press it gently to help the dough take the shape of the mold.
Gently tap the edge of the mold over a hard surface like your kitchen counter. Place your palm under the mold to catch the Maamoul after it is released from the mold. Do not tap the mold over your hand. Careful not to hurt yourself!
Place the shaped Maamoul on the baking sheet keeping two-inch space between each cookie and bake on the middle shelf for 20 minutes, or until the edges of the Maamoul turn light brown.
Allow the cookies to cool completely on a wire rack.
If you wish, you can dust the cool Maamoul with confectioner’s sugar before serving.",14,2 cup fine semolina,1 cup all-purpose flour,¼ teaspoon baking powder,1 teaspoon vanilla or your favorite flavoring,1 cup melted unsalted butter,6 tablespoon sugar,½ cup milk warm or at room temperature,1 cup ground pistachio,Munaty Cooking,https://www.munatycooking.com/maamoul-cookies-made-with-semolina/,4 tablespoon sugar “you can use the same amount of honey or sugar syrup.”,2 tablespoon ghee,1 cup pitted date,¼ teaspoon cinnamon powder,1 teaspoon sesame seeds,1 tablespoon ghee,NA,NA,NA,NA,NA
Outstanding Chocolate Chip Cookies,Muna Kenny,09/07/2017_10/05/2025,NA,NA,Cookies Recipes,NA,NA,NA,NA,NA,NA,NA,7,"In a bowl, add butter and both sugars. Beat with a hand mixer until the mixture feels fluffy, it will take around 2 to 3 minutes.
Push the previous mixture to the side of the bowl, add the egg and vanilla and beat with a hand mixer. Now mix both eggs and sugar butter mixture together for 3 minutes.
Add the rest of ingredients and mix for few seconds or until combined.
Cover and refrigerate for at least an hour.
Preheat oven to 325F/170C. Line baking sheet with parchment paper.
Make seven equal size balls from the cookie dough, these are big cookies and will spread a little so it’s better to bake in two batches.
Bake for 18 minutes or until the edges are golden brown. Let the cookies cool while in the pan for 4 minutes, then transfer to cooling rack.",9,½ cup brown sugar packed,¼ cup granulated white sugar,½ cup butter at room temp,1 large egg,1 teaspoon vanilla,1 ¼ cup + 2 tablespoon all-purpose flour,½ teaspoon baking powder,Pinch of salt,Munaty Cooking,https://www.munatycooking.com/outstanding-chocolate-chip-cookies/,¾ cup chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chocolate Chip Cookies,Muna Kenny,17/02/2017_01/06/2025,NA,NA,Cookies Recipes,American,Cookies,15 minutes,13 minutes,NA,28 minutes,9 cookies,9,"Preheat oven to 335F/170C. Line baking sheet with parchment paper.
Sift cocoa powder with sugar, salt, baking powder, and baking soda. Keep aside.
Add flour to a different bowl, make sure that the bowl is heat resistant.
In a saucepan, heat the butter until it starts to boil, remove immediately from heat and pour in one go over the flour. Mix the flour with the hot butter until combined. Be careful in this step.
Beat the egg with vanilla and add to the flour mixture, add the cocoa mixture and mix well.
Add the chocolate chip too and don’t over mix. Cover and chill for 20 minutes.
Take 3 tablespoon from the dough and form a ball. Now tear the ball from the middle creating two balls with jagged edges from one side.
Gently smush both balls together jagged side up. Place on baking sheet and bake for 11 to 13 minutes.
Cool on a cooling rack, when the cookies are completely cool store in airtight container.",10,½ cup + 2 tablespoon all-purpose flour,¼ teaspoon baking soda,¼ teaspoon baking powder,Pinch of salt,6 tablespoon unsweetened cocoa powder,7 tablespoon sugar,1 teaspoon vanilla extract,7 tablespoon unsalted butter,Munaty Cooking,https://www.munatycooking.com/chocolate-chocolate-chip-cookies/,1 large egg,¾ cup semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maamoul Is Date Filled Arabian Cookies,Muna Kenny,17/01/2017_10/05/2025,4.50,2,Cookies Recipes,NA,NA,30 minutes,20 minutes,NA,50 minutes,NA,14,"TO MAKE THE DOUGH
Mix the vanilla with milk and oil, keep aside.
In a bowl add all the dry ingredients and mix well. Pour the hot butter into the flour and mix using a whisk until well combined.
Add the milk and knead for at least 5 minutes. Cover and leave in a warm place for one hour.
TO MAKE THE FILLING
In a saucepan, add all the ingredients and stir on medium heat. The date will soften and will form into a dough like texture. This process and depending on the type of dates you are using might take 3 minutes to four minutes.
Let the mixture cool completely then form 10 equal balls.
MAKING MAAMOUL
Preheat oven to 180C/350F. Grease a baking pan with butter and keep aside.
Form 10 equal balls from the dough previously prepared. Take one ball and flatten it slightly in the palm of your hand. Place a ball of date in the center and close the dough forming a sealed ball.
Place the ball in a mold, press it gently until the surface is even.
Slam the edge of the mold on folded towel, a clean kitchen counter, or cutting board few times to release the dough from the mold.
Place the Maamoul on a nonstick or greased baking sheet.
Bake for 20 minutes. When it cools dust with confectioners’ sugar if you wish.",14,FOR THE DOUGH,1 ½ cup all-purpose flour,½ teaspoon vanilla,¼ cup butter melted and hot,¼ teaspoon Mahlab optional,2 tablespoon oil,½ teaspoon baking powder,2 tablespoon sugar,Munaty Cooking,https://www.munatycooking.com/maamoul/,¼ cup milk,FOR THE FILLING,¾ cup pitted and chopped date,1 tablespoon butter,¼ teaspoon cardamom powder,¼ teaspoon cinnamon powder,NA,NA,NA,NA,NA
Brown Butter Chocolate Chip Cookies,Muna Kenny,02/02/2016_10/05/2025,5,2,Cookies Recipes,American,Cookies,10 minutes,10 minutes,NA,20 minutes,NA,7,"Preheat oven to 350F/180C. Line a baking sheet with parchment paper.
Brown butter in a small saucepan, keep aside to cool.
Sift flour, cornstarch, salt, and baking soda, keep aside.
In a bowl, beat the browned butter, brown sugar, egg, vanilla, and white sugar.
Stir in the flour mixture, and then add the chocolate chips.
Make 12 equal size balls from the dough, and place on a lined baking sheet.
Bake for 10 minutes. The edges should be golden brown.",10,1 cup all-purpose flour,½ teaspoons baking soda,Pinch of salt,½ cups butter softened,⅓ Cup brown sugar packed brown sugar,3 tablespoon white sugar,3 tablespoon cornstarch,1 egg,Munaty Cooking,https://www.munatycooking.com/brown-butter-chocolate-chip-cookies/,½ teaspoons vanilla extract,1 cup semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Candy Cane Cookies,Muna Kenny,09/01/2016_10/05/2025,NA,NA,Cookies Recipes,NA,Cookies,10 minutes,11 minutes,NA,21 minutes,NA,8,"Whisk flour, baking soda, salt, cocoa powder, and keep aside.
In a bowl, add the butter, chocolate chips, and melt in the microwave for 20 seconds.
Add the white sugar, brown sugar, and egg to the butter chocolate mixture and beat well.
Add the flour to the wet mixture and mix until combined. Cover and place in the refrigerator for at least one hour.
Preheat oven to 350F/180C. Line a baking sheet with parchment paper, or use nonstick baking sheet.
Make 16 equal size balls from the cookie dough and place on the baking sheet. Press gently and bake on the shelf above the middle for 10 – 11 minutes.
Take the cookies out of the oven, and while hot sprinkle the crushed candy cane. The heat from the cookies will make the candy stick.
Cool on cooling rack.
Note: The dough might be tough when taken out of the refrigerator. If so let it sit at room temperature for 15 to 20 minutes.",11,1 cup all-purpose flour,1 teaspoon baking soda,Pinch of salt,½ cup brown sugar,½ cup white sugar minus 1 tablespoon,1 egg,1 teaspoon vanilla,⅛ cup semi sweet chocolate chips,Munaty Cooking,https://www.munatycooking.com/chocolate-candy-cane-cookies/,½ cup butter,½ cup unsweetened cocoa powder,¼ cup crushed candy cane,NA,NA,NA,NA,NA,NA,NA,NA
Mocha Oatmeal Cookies Recipe,Muna Kenny,21/07/2014_01/06/2025,NA,NA,Cookies Recipes,American,Cookies,15 minutes,10 minutes,NA,25 minutes,28 cookies,8,"In a bowl whisk or sift flour with salt, and baking soda. Keep aside.
In a different bowl, beat the butter with sugar, when well combined add the vanilla, egg, and coffee.
Add the flour mixture and mix well, then add the oats and mix using a spoon or a spatula.
refrigerate the dough for 30 minutes.
Take a heaping teaspoon from the dough and place on the baking sheet/pan.
Wet your fingers with cold water and press the cookies down.
Bake in a preheated oven of 350F/180C, for 9 to 10 minutes, but if you like your cookies a little crispy, then bake for 12 minutes.
Place the cookies on a cooling rack to cool.",9,6 tablespoon unsalted butter,½ cup packed brown sugar,½ teaspoon vanilla extract,1 egg,1 cup all-purpose flour,1 teaspoon baking soda,¼ teaspoon salt,½ cup quick oats,Munaty Cooking,https://www.munatycooking.com/mocha-oatmeal-cookies/,2 tablespoon instant coffee dissolved in 2 teaspoons boiling water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mixed Nuts Cookies,Muna Kenny,14/05/2014_07/10/2024,3.94,31,Cookies Recipes,NA,NA,NA,NA,NA,NA,18 -19,10,"– Preheat oven 350F/180C.
– In a bowl, sift flour, salt, and baking soda. Keep aside
– In a different bowl, beat the sugar with butter, and vanilla.
– Add an egg to the previous mixture and beat until well combined. The mixture will get thicker.
– Add the flour and mix using spatula.
– Add the mix nuts and fold gently, this will prevent the cookies from getting tough.
– Refrigerate the dough for 20 minutes.
– Take 1 tablespoon from the dough, roll between your palms, and place in the baking pan. Press gently. Leave around 2 inches between cookies.
– Bake the cookies on the middle rack for 11 – 12 minutes.
– Let cool on cooling rack.",8,½ cup melted butter,6 tablespoons brown sugar unpacked,¼ teaspoon baking soda,1 ¼ cup all-purpose flour,1 medium egg,½ teaspoon vanilla,Pinch of salt,3 tablespoons chopped nuts,Munaty Cooking,https://www.munatycooking.com/mixed-nuts-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
