title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,source,link,ingredient18,ingredient19,ingredient20
Ridiculously Easy Chocolate Chip Shortbread,Chris Scheuer,5, 13 ,"Dessert, Snack",American,Prep Time 15 minutes mins,Cook Time 30 minutes mins,NA,Total Time 45 minutes mins,NA,8,"Preheat the oven to 350. Generously spray a 9-inch round cake pan or a tart pan (9 or 10 inches) with a removable bottom with baking spray. If using a cake pan, line the bottom with a circle of parchment paper. Set aside. If using a tart pan, line a sheet pan with foil and set it aside.
Combine soft butter, sugars, vanilla and salt in a medium-large bowl. Stir for about 30 seconds until nice and creamy.
Add the flour and cornstarch. Stir with a sturdy spatula or wooden spoon until all of the flour is incorporated and the dough starts to come together. Stir in the chocolate chips and mix until the chips are evenly incorporated.
Press the dough firmly into the prepared pan to create an even surface. If the dough is sticking to your fingers, dip your hand in flour from time to time. Sprinkle with the Demerara sugar.
If using a tart pan with a removable bottom, place it on the prepared sheet pan (sometimes a little butter may leak out) and place the sheet pan on the center oven rack. If using a round cake pan, place it right on the center rack. Bake for 25-35 minutes until nicely golden brown. Check frequently towards the end of baking time. You want it to be a pretty golden brown but not overbaked.
Turn off the oven and allow the shortbread to cool on a cooling rack for 20 minutes in the pan. Invert the shortbread onto a flat plate. Place another plate on top and invert again so the sugared side is up.
Slide the shortbread onto a cutting board and sprinkle with a bit more sugar, if desired. Cut it into 12 wedges
You can enjoy the shortbread right away but for really crispy shortbread, transfer the wedges to a sheet pan and place in the oven (still turned off). Allow the shortbread to cool completely in the oven then store in an airtight container.",9,1 cup very soft butter,⅓ cup light brown sugar,¼ cup granulated sugar,1 teaspoon vanilla extract,½ teaspoon kosher salt,2 cups all-purpose flour,2 tablespoons corn starch,1 cup mini chocolate chips,"1 tablespoon sanding sugar, Demerara, Turbinado or regular granulated sugar",NA,NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/ridiculously-easy-chocolate-chip-shortbread/,NA,NA,NA
Sugar Plum Fairy Shortbread Bites,Chris Scheuer,5, 40 ,Cookies,"American, British, Scottish",Prep Time 30 minutes mins,Cook Time 30 minutes mins,NA,Total Time 1 hour hr,NA,13,"Heat oven to 325°F. Line 9-inch square baking pan with foil, leaving a 1-inch overhang on 2 sides. Spray the foil and sides of the pan with nonstick cooking spray. Set aside.
Combine butter, sugar and extracts in a large bowl. Stir until creamy and well combined. Add the pink food color, if desired, just a drop at a time until the desired color is achieved. (If glazing, I use a drop of pink food color in the glaze rather than in the dough itself. You can omit the food color altogether, if desired.)
Add the flour and salt. Stir with a sturdy spatula or wooden spoon until all of the flour is incorporated. The mixture will be crumbly. Stir in the nonpareils. leaving 1-2 teaspoons for the top.
Transfer the dough to the prepared pan and pat it to an even layer. I like to use the a flat bottom glass or a metal hamburger spatula to help pat and even out the dough. If you’re going to skip the glaze, sprinkle the reserved nonpareils evenly over the top of the dough and press gently to help them adhere. If you choose to use the glaze, set aside the reserved nonpareils until after glazing.
Refrigerate for 10 minutes then use the foil to lift the dough from the pan onto a cutting surface. Cut the dough into 1-inch squares. Place squares 1-inch apart onto 2 ungreased cookie sheets; discard foil.
Refrigerate again for at least 30 minutes and up to 12 hours.
Bake on the center rack for  13-18 minutes or until bottoms just begin to brown. Transfer to a cooling rack and cool completely. Repeat with the second pan of cookies. Store in an airtight container.
Combine all glaze ingredients in a medium-size bowl and whisk until nice and smooth. The glaze should be fairly thick but spoonable. If it seems too thin, add a little more powdered sugar. If it’s too thick add more half and half, a few drops at a time until desired consistency is reached. (See the picture above in the post.)
Transfer the icing to a shallow bowl. Add 3-4 of the shortbread bites to the bowl and spoon the icing over each one to completely coat.
Using a fork, bring one of the shortbread bites up out of the icing and allow the excess icing to drip back into the bowl. When most of the extra icing has dripped off, wipe the bottom of the fork against the side of the bowl then transfer the cookie to a cooling rack and sprinkle with nonpareils. Repeat with remains shortbread bites.
Allow the icing to completely dry. It will take 3-4 hours (maybe longer). When you touch them the icing should feel hard and dry. When the icing is dry, flip the cookies over and let sit until the bottoms are also nice and dry.
Once the glaze has set, the shortbread bites can be stacked on a plate or platter or packed in bags or boxes to be given as gifts. If giving as a gift, I like to place the cookies in a plastic or cellophane bag and secure it with a twist tie to keep them fresh.
Store in an airtight container. These cookies can also be frozen. When ready to serve, remove them from the freezer and thaw in a single layer.",12,1 cup very soft butter,½ cup granulated sugar,¼ teaspoon almond extract,½ teaspoon vanilla extract.,"a few drops of pink or red food coloring, (I use liquid food coloring) optional",2 ½ cups all-purpose flour,¼ teaspoon kosher salt,"3 tablespoons multi-colored nonpareils, I used a combination of turquoise, white and several shades of pink. Use whatever color or colors you like!",3 cups powdered sugar,"6 tablespoons half & half, maybe more",1 teaspoon vanilla extract,⅛ teaspoon almond extract,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/sugar-plum-fairy-shortbread-bites/,NA,NA,NA
Copycat Crumbl Sugar Cookies,Chris Scheuer,4.94, 29 ,"Cookies, Dessert, Dessert/Cookies",American,Prep Time 30 minutes mins,Cook Time 30 minutes mins,NA,Total Time 1 hour hr,NA,12,"In a large bowl, combine the butter and sugar and stir until nice and creamy. Add the eggs and vanilla and stir until combined.
Add the baking powder and salt and stir to combine. Lastly, add the flour and stir until its completely incorporated.
Cover the bowl with plastic wrap and place in the refrigerator to chill for one hour.
Preheat the oven to 350˚F. Line two sheet pans with parchment paper for easy cleanup.
Scoop up the dough into 1½-3 tablespoon scoops. Roll the scoops into balls and place about 2 inches apart on the prepared sheet pan.
With a flat bottom glass, press each dough ball down to create a ½-inch tall cookie. I like to place a small piece of parchment paper on top of the dough ball before pressing to flatten it. The parchment will keep the dough from sticking to the bottom of the glass.
Bake for 12-16 minutes or until the cookies are just beginning to turn golden at the edges. Don't over bake.
Remove the cookies from the oven and transfer to a wire rack to cool completely before frosting.
While the cookies are cooling make the icing by combining the soft butter, powdered sugar, 2 tablespoons of the half and half and extracts in a medium size bowl. Stir together until creamy and well combined. If icing is stiff add more half and half, a teaspoon at a time until desired consistency is reached. You want a thick, but nicely spreadable consistency.
Add 1-2 drops of pink food coloring. I used just 1 drop of McCormick Neon Pink.
To frost the cookies, spread each cookie with a generous spoonful of frosting and spread to just within the edges of the cookies. You can also use a piping bag with a large round tip. Pipe the icing, starting in the center and working your way to near the edges. Then use a small offset knife to spread the icing with a circular motion.
Allow the icing to set for about 30 minutes. Once set, cover and store the cookies in an airtight container for 2-3 days or freeze for longer storage.",13,"¾ cup very soft butter, I use salted butter",¾ cup granulated sugar,2 eggs,2 teaspoons vanilla extract,½ teaspoon salt,2 ¼ teaspoons baking powder,2 ¼ cups all-purpose flour,4 tablespoons very soft butter,2 cups powdered sugar,"½ teaspoon salt, if using unsalted butter",2¼-2½ tablespoons half & half,½ teaspoon vanilla extract,⅛ teaspoon almond extract,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/copycat-crumbl-sugar-cookies-aka-pink-cloud-cookies/,NA,NA,NA
Crinkly Crackly Butter Toffee Sugar Cookies,Chris Scheuer,5, 7 ,Cookies,American,Prep Time 20 minutes mins,Cook Time 30 minutes mins,NA,Total Time 50 minutes mins,NA,6,"Preheat the oven to 350℉. Lightly 2 sheet pans with parchment paper.
Combine the soft butter and sugar in a large bowl and stir until creamy and well combined. Add the egg yolks and vanilla and stir again.
Add the baking soda and baking powder  and stir until incorporated then add the flour. Stir until all of the flour has been combined and the dough starts to clump.
Add the toffee bits and stir until incorporated and no loose bits are at the bottom of the bowl.
Scoop up the dough with a 1½-2 tablespoon ice cream scooper into mounds spaced 2 inches apart on the prepared sheet pans. (This dough will be a little crumbly. It's supposed to be that way. When you scoop it up to form the cookies, pack the dough into the scooper tightly pushing against the sides of the bowl and scraping any excess off at the top of the bowl.
Bake for 12-16 minutes or until lightly golden brown. Remove from the oven and sprinkle lightly with sugar, if desired. Allow to sit on the pan for 4-5 minutes, then transfer to a cooling rack to cool completely.",9,"1 cup very soft butter, (I use salted butter)",1¼ cups sugar,"3 egg yolks, from large eggs",1½ teaspoons pure vanilla extract,1 teaspoon baking soda,¾ teaspoon baking powder,2½ cups all-purpose flour,10 ounces toffee bits,sugar for sprinkling,NA,NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/butter-toffee-sugar-cookies/,NA,NA,NA
Easy Leprechaun Shortbread Bites,Chris Scheuer,4.95, 17 ,Dessert/Cookies,Irish,Prep Time 15 minutes mins,Cook Time 30 minutes mins,NA,Total Time 45 minutes mins,NA,7,"Heat oven to 325°F. Line 9-inch square baking pan with foil, leaving a 1-inch overhang on 2 sides. Spray the foil and sides of the pan with nonstick cooking spray. Set aside.
Combine butter, sugar and extracts in a large bowl. Stir until creamy and well combined. Add the green food color, a little at a time until the desired color is achieved.
Beat until well mixed. Add the flour and salt and stir with a sturdy spatula or wooden spoon until all of the flour is incorporated. The mixture will be crumbly. Stir in the nonpareils. leaving 1-2 teaspoons for the top.
Transfer the dough to the prepared pan and pat it to an even layer. I like to use a flat bottom glass or a metal hamburger spatula to help pat and even out the dough. Sprinkle reserved nonpareils evenly over the top and press gently to help them stay in place.
Refrigerate for 10 minutes then use the foil to lift the dough from the pan onto a cutting surface. Cut the dough into 1-inch squares. Place squares 1-inch apart onto 2 ungreased cookie sheets; discard foil.
Refrigerate again for at least 30 minutes and up to 12 hours.
Bake 13-15 minutes or until bottoms just begin to brown. Transfer to a cooling rack and cool completely before storing in an airtight container.",8,1 cup very soft butter,½ cup granulated sugar,¼ teaspoon almond extract,½ teaspoon vanilla extract.,"green food color, gel or liquid",2 ½ cups all-purpose flour,¼ teaspoon kosher salt,"9 teaspoons multi-colored nonpareils, I use green, white and a few pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/easy-leprechaun-shortbread-bites/,NA,NA,NA
Copycat Crumbl Chocolate Chip Cookies,Chris Scheuer,4.91, 11 ,Cookies,American,Prep Time 30 minutes mins,Cook Time 30 minutes mins,NA,Total Time 1 hour hr,NA,11," Line two sheet pans with parchment paper for easy cleanup.
Combine soft butter, brown sugar and granulated sugar in a large bowl. Mix with a sturdy rubber spatula until well combined. Add the eggs and vanilla and stir until smooth and creamy.
Stir in the baking soda, baking powder and salt and mix until well combined.
Add the all purpose flour and cornstarch and stir, just until all of the flour is incorporated. Make sure there’s no loose flour at the bottom of the bowl.
Stir in the chocolate chips. If desired, reserve a handful of chocolate chips to add after baking, for a pretty presentation.
Scoop the cookies into 3-4 tablespoon size scoops and roll each one into a ball.
Chill the dough balls for at least 1 hour and up to 24 hours.
Toward the end of the chilling time, preheat the oven to 375˚F (190˚C).
Just before baking, tear each ball in half and press back together with the jagged sides up. (See the picture in the post above.)
Place the cookies on the prepared sheet pans leaving 2-inches between each cookie. Bake for 12-16 minutes until golden brown. If desired, add a few extra chocolate chips to the tops of each cookie.
Allow the cookies to rest on the pan for 5 minutes, then transfer to a wire rack. Serve warm or at room temperature.",11,"1 cup very soft butter, see Café Tips above in the post.","1 cup brown sugar, I like to use dark brown sugar but light will also work.",½ cup granulated sugar,2 large eggs,1 tablespoon pure vanilla extract,1 teaspoon baking soda,½ teaspoon baking powder,½ teaspoon salt,2 ¾ cups all-purpose flour,¼ cup cornstarch,2 cups milk chocolate chips,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/copycat-crumbl-chocolate-chip-cookies/,NA,NA,NA
Ridiculously Easy Lemon Thyme Shortbread,Chris Scheuer,5, 21 ,"Cookies, Dessert, Dessert/Cookies, Snacks","American, Irish, Scottish",Prep Time 15 minutes mins,Cook Time 40 minutes mins,NA,Total Time 55 minutes mins,NA,8,"Preheat oven to 325. Lightly grease (I use baking spray) and then line an 8 or 9-inch cake pan (round or square) with parchment paper. (See Café Tips above in post regarding size of the pan.) Line a sheet pan with foil. Set both pans aside.
Combine soft butter, sugar, lemon zest and juice and vanilla in a medium-large bowl. Stir for about 30 seconds until nice and creamy.
Add the flour, thyme leaves and salt. Stir just until all of the flour is incorporated. The dough will be crumbly. Press the dough firmly into the prepared pan to create an even surface. Be sure there are no loose crumbs around the edges of the pan. Sprinkle with the sugar.
Place the cake pan on top of the foil lined sheet pan. Bake for 35-45 minutes until the top is a nice golden brown. (The smaller your pan is, the thicker your shortbread will be and the longer it will take to bake.)
Invert the shortbread onto a flat plate. Place another plate on top and invert again so the sugared side is up.
Slide the shortbread onto a cutting board and sprinkle with a bit more sugar, if desired. With a long, sharp knife, cut it into wedges (or rectangles or squares if using a square pan). Transfer pieces to a wire rack to cool completely. Store in an airtight container.
If you prefer your shortbread crisper, place the cooling rack with the cut pieces on a sheet pan and return return to the oven for 5 minutes then cool completely on the rack.
Garnish when serving with a few more fresh thyme leaves, if desired.",10,"1 cup very soft butter, I use salted",½ cup granulated sugar,zest from one medium size lemon,2 teaspoons fresh lemon juice,½ teaspoon vanilla extract,2 cups all-purpose flour,1 tablespoon fresh thyme leaves,½ teaspoon kosher salt,"2 tablespoons sanding sugar, Demerara, Turbinado or regular granulated sugar","fresh thyme leaves, for garnish, if desired.",NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/ridiculously-easy-lemon-thyme-shortbread/,NA,NA,NA
Crinkly Crackly Butterscotch Cookies,Chris Scheuer,5, 13 ,"Cookies, Dessert/Cookies, Snacks",American,Prep Time 20 minutes mins,Cook Time 27 minutes mins,NA,Total Time 47 minutes mins,NA,9,"Preheat oven to 375°F and line two baking sheets with parchment paper.
Heat the butter in a medium-size heavy duty sauce pan over medium heat until it’s melted and starts to make a sizzling noise. Cover the pan with the lid vented and continue cooking until the sizzling sound reduces and the butter begins to foam. Swirl the pan occasionally to redistribute the butter.
Remove the lid at this point and watch carefully. As soon as the foam starts to begin turning golden in spots and the butter takes on a nutty aroma, remove the pot from the heat at swirl the pan to move the butter around.
Add the brown sugar and vanilla and stir well to combine. It will look wet and grainy and it’s okay if the butter looks a bit separated at this point. Allow this mixture to cool for 5 minutes, stirring occasionally, before proceeding.
Whisk in the egg and egg yolk until the mixture is smooth then add the baking soda, salt and baking powder. Stir until well combined.
With a sturdy spatula or wooden spoon, add 2 cups of the flour and stir until combined. Add the remaining ⅓ cup flour and stir, scraping the sides and bottom of the bowl, just until the flour is incorporated. The dough will be thick.
Scoop up the cookies in 1½-2 tablespoon scoops. Roll the scoops into balls then roll them in the sugar to coat. Scoop and roll the dough balls for both sheets right away as the dough will get stiffer as it cools down.
Place the the rolled balls on the two baking sheets, spacing 2-inches apart. Sprinkle each ball with a little flaky sea salt, if desired. Bake the first pan for 11-14 minutes until the cookies are puffed and cracked and the edges are just beginning to brown a bit. Be careful to not overbake. Repeat with the second pan. Sprinkle with a little more flaky sea salt, if desired.
Allow the cookies to cool on the pan for a few minutes, then transfer to a wire rack to cool completely. Store in an airtight container.",11,"12 tablespoons butter, I use salted, 1 ½ sticks","1¾ cups dark brown sugar, packed",1 large egg,1 egg yolk,1 tablespoon vanilla extract,½ teaspoon baking soda,½ teaspoon salt,¼ teaspoon baking powder,2⅓ cups all-purpose flour,"Demerara or Turbinado or raw sugar, for rolling","flaky sea salt, for sprinkling (I use Maldon)",NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/crinkly-crackly-butterscotch-cookies/,NA,NA,NA
Brown Sugar Honey Shortbread Cookies,Chris Scheuer,4.91, 30 ,"Cookies, Dessert/Cookies","American, Irish, Scottish",Prep Time 30 minutes mins,Cook Time 30 minutes mins,NA,Total Time 1 hour hr,NA,8,"Line 2 sheet pans with parchment paper, for easy clean up, and set aside.
Stir softened butter until smooth and creamy. Add the brown sugar and honey and stir well.
Sprinkle the salt and baking powder over the top and stir to combine. Add the flour and cornstarch. Stir until flour is incorporated. The dough will be shaggy.
Turn out onto a lightly floured surface and press dough in a ball. Knead a few times until fairly smooth then form into a ball again and press with your hands into a flat disk.
On a lightly floured work surface, roll out dough to a ¼ -inch thickness. Keep work surface, dough and rolling pin lightly (not too much) dusted with flour. Cut desired shapes and place on prepared pans. Re-roll scraps as many times as needed to use up the dough.
Place cutouts in the refrigerator for at least one hour or up to 24 hours. When ready to bake, preheat oven to 350˚F.
Remove cookies from the refrigerator. Sprinkle with coarse or regular sugar.
Bake for 9-12 minutes or until golden brown all over. Baking time will depend on the thickness of your cookies. Thicker than ¼-inch will take longer time. Rotate pans halfway through for even browning. Cool completely on a wire cooling rack before serving.",8,"1 ½ cups butter, very solt","¾ cup light brown sugar, packed",¼ cup honey,½ teaspoon kosher salt,¼ teaspoon baking powder,3 cups all purpose flour,¾ cup cornstarch,"sparkling sugar, turbinado sugar or regular granulated sugar, for sprinkling",NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/brown-sugar-honey-shortbread-cookies/,NA,NA,NA
Irish Shortbread Pumpkin Patch Cookies,Chris Scheuer,5, 17 ,"Cookies, Dessert, Dessert/Cookies","American, Irish",Prep Time 45 minutes mins,Cook Time 30 minutes mins,NA,Total Time 1 hour hr 15 minutes mins,NA,12,"Line 2 sheet pans with parchment paper. Set aside.
Place soft butter and vanilla in a medium-size mixing bowl. Stir with a wooden spoon or sturdy spatula until nice and smooth. Add powdered sugar. Mix together until fluffy and well blended.
Sprinkle the flour and cornstarch evenly over the top. Stir until flour is incorporated and the dough is shaggy. Turn out onto a well-floured surface and form it into a ball. Knead the dough a few times on the well-floured surface until fairly smooth then form into a ball again and press with your hands into a flat disk.
On a floured work surface, roll out dough to a ⅜-inch thickness. Keep work surface, dough and rolling pin dusted with flour.
Using a pumpkin-shaped cookie cutter cut into shapes and place on prepared pans. Re-roll scraps as many times as needed to use up the dough.
Place cutouts in the refrigerator for at least one hour or up to 24 hours.
When ready to bake, preheat oven to 350˚F. Remove cookies from the refrigerator and bake for 12-16 minutes or until light golden brown. Rotate pans halfway through, if needed, for even browning. Cool completely before icing.
Combine powdered sugar, half and half and vanilla extract in a medium-size bowl. Mix until smooth. The glaze should be thick, but pourable. Add a little more half and half if it's too thick.
Dip the tip of a small knife into the orange food coloring and swirl some of it into the icing. Stir well and add more food color until the desired shade of orange is achieved. Transfer the glaze to a shallow bowl.
Holding onto the edges of a cookie, dip the top surface into the glaze, being sure all of the surface touches the glaze. Pull the cookie up and out of the glaze. Allow excess glaze to drip back into a separate bowl. When the glaze stops dripping (this will take a while, quickly flip the cookie right side up and give it a gentle jiggle to allow the glaze to flow evenly over the surface. See the picture above in the post.
After each cookie is glazed and still wet, immediately add the green sprinkles for the stem and leaves with a small spoon. See the picture above in the post.
Repeat with remaining cookies. Allow the cookies to dry thoroughly before packaging and/or stacking to store. I usually let them sit out overnight.",10,"8 ounces very soft salted butter, 2 sticks",½ cup powdered sugar,1 teaspoon vanilla extract,1 ¾ cups all-purpose flour,¼ cup cornstarch,2 cups powdered sugar,"4 tablespoons half and half or milk, maybe more",1 teaspoon vanilla extract,Orange food coloring (I used Wilton Orange),green nonpareils,NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/irish-shortbread-pumpkin-patch-cookies/,NA,NA,NA
Pumpkin Spiced Brown Butter Rice Krispie Treats,Chris Scheuer,5, 22 ,"Dessert, Snack bars",American,Prep Time 20 minutes mins,Cook Time 10 minutes mins,NA,Total Time 30 minutes mins,NA,5,"Spray an 8x8 square pan with cooking spray (or lightly oil it). Line the pan with heavy duty foil (or regular foil that’s been doubled) so that two ends extend over the edges of the pan. Spray the foil with cooking spray. Set aside. Also spray a large pot or Dutch oven and a large spoon or spatula with cooking spray.
Heat the butter in the prepared pot over medium heat. After the butter melts it will start to splutter a bit and a white foam will develop on the top. If it’s spluttering and splattering too much reduce the heat a bit. Continue cooking for 3-5 minutes until the butter turns a deeper yellow. Start stirring at this point until the butter turns a deep golden brown and has a nutty aroma.
Turn down the heat to the lowest setting and add 12 ounces (about ¾) of the marshmallows to the butter. Stir (with the oiled spatula or spoon) until the marshmallows melt and the mixture is smooth. then add the vanilla and pumpkin pie spice and stir to combine.
Add all of the rice cereal and stir until well combined. Then add the remaining 4 ounces of mini marshmallows and stir just until they’re beginning to melt (you want little pockets of marshmallow).
Transfer the mixture to the prepared pan. With slightly wet fingers, press the mixture lightly into the pan. Don’t pack it in or the bars will be dense. Sprinkle the top lightly with flaky sea salt, if desired. Allow to cool and enjoy! You can store the treats in an airtight container at room temperature for up to 2 days.",6,"½ cup butter, (1 stick)","16 ounces mini marshmallows, divided, (divided",1 teaspoon vanilla,1 teaspoon pumpkin pie spice,5½ cups crispy rice cereal,"flaky sea salt, optional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/pumpkin-spiced-brown-butter-rice-krispie-treats/,NA,NA,NA
Ridiculously Easy Rosemary Shortbread,Chris Scheuer,4.92, 72 ,Dessert,"American, Scottish",Prep Time 15 minutes mins,Cook Time 40 minutes mins,NA,Total Time 55 minutes mins,NA,9,"Preheat oven to 325. Lightly grease (I use baking spray) and then line an 8 or 9-inch cake pan (round or square) or a tart pan (10 or 11 inches) with a removable bottom with parchment paper. (See Café Tips above in post regarding size of the pan.) Set aside.
Combine soft butter, sugar, honey and vanilla in a medium-large bowl. Stir for about 30 seconds until nice and creamy.
Add the flour, rosemary and salt. Stir just until all of the flour is incorporated. The dough will be crumbly.
Press the dough firmly into the prepared pan to create an even surface. Be sure there are no loose crumbs around the edges of the pan. Sprinkle with the sugar.
Bake for 35-45 minutes then remove from oven. (The smaller your pan is, the thicker your shortbread will be and the longer it will take to bake. Check frequently towards end of baking time. You want it to be a pretty, deep golden brown.)
Invert shortbread onto a flat plate. Place another plate on top and invert again so the sugared side is up. 
Slide the shortbread onto a cutting board and sprinkle with a bit more sugar, if desired. Cut it into wedges (or rectangles or squares if using a square pan). Transfer pieces to a wire rack to cool completely. Store in an airtight container.
If you prefer your shortbread even crisper, place the cut pieces on a sheet pan and return return to the oven for 5 minutes then cool on a wire rack.
Garnish when serving with a bit of finely chopped fresh rosemary, if desired.",8,1 cup very soft butter,⅔ cup granulated sugar,2 teaspoons honey,½ teaspoon vanilla extract,2 cups all-purpose flour,1 tablespoon finely chopped fresh rosemary,1 teaspoon kosher salt,"1-2 tablespoons sanding sugar, Demerara, Turbinado or regular granulated sugar",NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/new-york-times-rosemary-shortbread/,NA,NA,NA
Flourless Toffee Chocolate Cookies,Chris Scheuer,5, 7 ,"Cookies, Dessert",American,Prep Time 15 minutes mins,Cook Time 30 minutes mins,NA,NA,NA,9,"Line 2 sheet pans with parchment paper. Lightly spray the parchment with cooking spray. (Yes, grease the parchment; these cookies are sticky and need to be baked on a greased surface.)
Whisk together the egg whites and vanilla for 20-30 seconds until frothy.
In a separate medium-size bowl, whisk together the powdered sugar, cocoa and salt.
Add the egg white mixture and stir until well-combined. Scrape the bottom and sides of the bowl, and stir again until smooth. The sticky batter should be the consistency of a very thick syrup. (See Café Tips above in the post.)
Add the chips and toffee bits, reserving ¼ for the topping, if desired. Stir to combine.
Drop the syrupy batter onto the prepared baking sheets (about 1 ½ tablespoons each) and spread with a spoon to form a circle. Allow the cookies to rest on the baking sheets for 30 minutes, while you preheat your oven to 350°F.
Bake the cookies for 8 minutes. If using the toppings, remove from the oven and sprinkle with some of the reserved chips and toffee bits. Return to the oven for 2 minutes.
If not using the topping, bake for 9-10 minutes. The tops should be somewhat shiny and develop faintly crackly tops.
If you’re not using any chips or toffee bits the cookies will be done a little sooner, closer to 8 minutes.",7,2 ¼ cups powdered sugar,¼ teaspoon salt,1 cup cocoa powder,4 large egg whites,2 teaspoons vanilla extract,"1 cup chocolate chips, I like to use mini chips but regular are also fine",1 cup toffee bits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/flourless-toffee-chocolate-cookies/,NA,NA,NA
Ridiculously Easy Brown Sugar Shortbread,Chris Scheuer,4.73, 11 ,"Cookies, Dessert","American, Scottish",Prep Time 10 minutes mins,Cook Time 20 minutes mins,NA,Total Time 30 minutes mins,NA,8,"Place an oven rack in the middle position in your oven. Preheat the oven to 350°F. Spray a 9-inch tart pan with removable bottom (or a 9-inch cake pan) with baking spray and line the bottom of the pan with parchment paper.
In a medium-large bowl, stir the butter until smooth and creamy. Add the brown sugar, salt, and vanilla and stir again until smooth and creamy.
Add the flour and stir until just combined and all the flour disappears and the mixture starts to form into a ball.
Press the dough into the bottom of the tart (or cake) pan. If your fingers are sticking to the dough just dip them in some flour from time to time. Using a fork, poke the dough randomly several times. (this will keep it from puffing up)
Bake for 10 minutes then remove from the oven and sprinkle with the turbinado sugar (and flaky sea salt, if desired).
Bake for another 7-12 minutes longer or until deep golden brown.
Remove the pan from the oven and invert the shortbread onto a dinner size plate. Invert again onto a cutting board so the sugared side is up and cut into wedges while hot (a pizza cutter works great for this). Transfer the wedges to a cooling rack.
Hide a couple of wedges for yourself in a secret place because once the rest of the family discovers them, they will disappear before you can blink your eyes!",7,"4 ounces very soft butter, (1 stick)",6 tablespoons packed light brown sugar,½ teaspoon salt,1 teaspoon vanilla extract,1 cup all-purpose flour,2 tablespoons turbinado sugar,"flaky sea salt, I love Maldon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/ridiculously-easy-brown-sugar-shortbread/,NA,NA,NA
Toffee Oatmeal Peanut Butter Cookies,Chris Scheuer,5, 10 ,"Baked Goods, Dessert, Dessert/Cookies",American,Prep Time 20 minutes mins,Cook Time 45 minutes mins,NA,Total Time 1 hour hr 5 minutes mins,NA,8,"Preheat the oven to 350°F. Line two sheet pans or cookie sheets with parchment paper for easy cleanup.
Place the soft butter and peanut butter in a medium-large mixing bowl. Stir well until nice and creamy. Add the sugars and stir until well combined.
Add the eggs and vanilla. Stir until eggs are completely incorporated.
Sprinkle the baking soda, salt and flour evenly over the top and stir until all flour is incorporated. Add the oats and toffee bits and mix until everything is well combined. The dough will be a bit sticky.
Cover the dough with plastic wrap or a plate and allow the bowl to sit at room temperature for 20 minutes (or longer). This allows the oats to soak up some of the moisture and prevents the cookies from spreading too much in the oven.
With an ice cream scoop or spoon, scoop 2-3 tablespoon balls of dough onto one of the baking sheets with 2 inches between each one to allow for spreading.
Bake for 12-17 minutes. (If desired sprinkle with some additional toffee bits and flaky sea salt after 10 minutes of baking then return to the oven for the remainder of the baking time.) Cookies should be browned around the edges and the tops should look mostly set. For crisper cookies bake a minute or two longer. Repeat for remaining dough.
Cool on the pan for a few minutes, then transfer to a cooling rack. Store in an airtight container or freeze.",12,8 ounces soft butter,1 cup peanut butter,¾ cup light brown sugar,¾ cup granulated sugar,2 large eggs,1 teaspoon vanilla extract,2 teaspoons baking soda,½ teaspoon salt,1 ½ cups all-purpose flour,1 ½ cups old fashioned rolled oats,12 ounces toffee bits,"flaky sea salt, optional (I love Maldon)",NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/toffee-oatmeal-peanut-butter-cookies/,NA,NA,NA
