title,author,up_date,rating,ratingnum,comments,category,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,source,link,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20
Grinch Cookies,Kate Dean,"November 25, 2024",5,3,3 Comments,Desserts,Dessert,American,15 minutes,8 minutes,NA,23 minutes,34 cookies,12,"Preheat oven to 350F and line baking sheets with parchment paper or silicone baking mats. Set aside.
In a large bowl, beat butter and sugar together until well-combined
Add egg, egg yolk, and vanilla extract. Beat until well-combined.
Add flour, cream of tartar, baking soda, and salt.
Stir in just until combined.
Add food coloring, and stir in just until combined.
Scoop dough into tablespoon-sized scoops.
Roll in granulated sugar and then in powdered sugar.
Place 2″ apart on prepared baking sheets.
Bake for 8-10 minutes. The edges should be set, and the centers should be soft.
Immediately gently press a heart sprinkle into each cookie.
Remove to wire racks to cool.",12,▢ 1 cup butter at room temperature,▢ 1 ½ cups granulated sugar,▢ 1 large egg + 1 egg yolk,▢ 1 teaspoon vanilla extract,▢ 3 cups all-purpose flour,▢ 1 ½ teaspoons cream of tartar,▢ 1 teaspoon baking soda,▢ ¼ teaspoon salt,▢ 1 teaspoon green food coloring,▢ Granulated sugar,▢ Powdered sugar,I Heart Eating,https://www.ihearteating.com/grinch-cookies/,▢ Heart sprinkles,NA,NA,NA,NA,NA,NA,NA,NA
Sugar Cookie Bars,Kate Dean,"November 25, 2024",5,2,5 Comments,Desserts,Dessert,American,20 minutes,15 minutes,NA,35 minutes,20 servings,12,"Preheat oven to 375 F. Grease or use parchment paper to line a 9×13-inch metal baking pan. If using a glass pan, preheat the oven to 350F. Set aside.
To make the sugar cookie bars, beat butter, granulated sugar, and brown sugar together until fluffy and well-combined.
Add egg and egg yolks. Beat until eggs are well-incorporated, about 2-3 minutes.
Stir in vanilla and almond extract, if using.
Add flour, baking powder, and salt. Stir until just incorporated.
Add batter to prepared pan.
Bake for about 15-20 minutes, or until the edges are very light golden brown. A toothpick inserted into the center should come out clean. It's better to slightly underbake the bars than to overbake them.
Let the bars cool in the pan until they reach room temperature.
To prepare frosting, beat butter until fluffy.
Add powdered sugar and salt, and mix until combined.
Stir in vanilla extract.
Mix in enough cream to make a spreadable frosting.",17,▢ 1 cup butter at room temperature,▢ 1 ¼ cups granulated sugar,▢ ¼ cup brown sugar packed,▢ 1 large egg,▢ 2 large egg yolks,▢ 1 teaspoon vanilla extract,▢ ¼ teaspoon almond extract optional,▢ 3 cups all-purpose flour,▢ 1 teaspoon baking powder,▢ ½ teaspoon salt,▢ 1 cup butter at room temperature,I Heart Eating,https://www.ihearteating.com/sugar-cookie-bars/,▢ 2 teaspoons vanilla extract,▢ 3 cups powdered sugar,▢ Pinch of salt,▢ 2-3 tablespoons heavy cream enough to make a spreadable consistency,▢ Food coloring optional,▢ Sprinkles optional,NA,NA,NA
Chocolate Crinkle Cookies,Kate Dean,"November 25, 2024",5,5,9 Comments,Desserts,Dessert,American,25 minutes,10 minutes,NA,35 minutes,24 cookies,13,"Preheat oven to 325 F. Line 2 baking sheets with parchment paper or silicone baking mats. Set aside. 
Whisk flour, cocoa, baking powder, baking soda, and salt together in bowl. Please read the note about measuring flour. 
Combine chocolate and butter in a microwave-safe bowl, and microwave at 50% power, stirring occasionally, until melted, about 2-3 minutes.
In a separate bowl, whisk brown sugar, eggs, and vanilla together until well-combined. 
Whisk in the chocolate mixture until combined. Fold in flour mixture until no dry streaks remain. Let dough sit at room temperature for 10 minutes.
Fold in flour mixture until just incorporated. 
Let dough sit at room temperature for 10 minutes.
Place granulated sugar and powdered sugar in separate shallow dishes. 
Working with 1.5 tablespoons dough (a medium cookie scoop) at a time, drop scoop of dough into granulated sugar. 
Roll in granulated sugar, and then roll in powdered sugar. 
Place dough about 2 inches apart on prepared baking pan. 
Bake cookies, 1 sheet at a time, until puffed and cracked and edges have begun to set but centers are still soft. The cookies will look raw between cracks and seem underdone, about 9-12 minutes.³
Cool the cookies on the baking sheet for about 10 minutes before removing to wire cooling rack.",12,"▢ 1 cup+ 2 tablespoons all-purpose flour properly measured, see the note below",▢ ½ cup unsweetened cocoa powder,▢ 1 teaspoon baking powder,▢ ¼ teaspoon baking soda,▢ ½ teaspoon kosher salt,▢ 1 ½ cups brown sugar packed,▢ 3 large eggs,▢ 1 teaspoon vanilla extract,▢ 4 ounces unsweetened baking chocolate chopped,▢ ¼ cup butter,▢ ⅓ cup granulated sugar,I Heart Eating,https://www.ihearteating.com/chocolate-crinkle-cookies/,▢ ⅓ cup powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA
Melt-In-Your-Mouth Pumpkin Cookies,Kate Dean,"September 1, 2025",4.91,11,12 Comments,Cookies,Dessert,American,10 minutes,10 minutes,NA,20 minutes,38 cookies,15,"Preheat oven to 350 F. Line a baking sheet with parchment paper or a silicone baking mat.
In a large bowl beat the butter on medium speed for 30 seconds.
Add sugar, baking powder, baking soda, salt, and pumpkin pie spice. Beat until combined.
Beat in the egg and vanilla until combined.
Mix in pumpkin.
Stir in flour until incorporated.
Drop 1.5 tablespoons of dough 2 inches apart on prepared baking sheet.
Bake for 10-12 minutes or until tops are set.
Transfer to wire racks to cool.
For frosting, beat butter until smooth.
Add 2 tablespoons milk and vanilla extract. Beat until combined.
Continue beating, and add powdered sugar 1/2 cup at a time.
Add in additional milk to make desired consistency.
Spread frosting on the tops of the cooled cookies.
Sprinkle with additional cinnamon if desired.",15,▢ 1 cup butter at cool room temperature,▢ 1 cup granulated sugar,▢ 1 teaspoon baking powder,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,▢ 1 tablespoon pumpkin pie spice,▢ 1 large egg,▢ 1 teaspoon vanilla,▢ ½ cup pumpkin puree,▢ 2 cup all-purpose flour properly measured,▢ ½ cup butter at cool room temperature,I Heart Eating,https://www.ihearteating.com/melt-in-your-mouth-frosted-pumpkin-cookies/,▢ 2-4 tablespoons milk,▢ ½ teaspoon vanilla,▢ 2 ½ cups powdered sugar,▢ ground cinnamon sprinkled on top optional,NA,NA,NA,NA,NA
Pumpkin Chocolate Chip Cookies,Kate Dean,"September 1, 2025",5,9,30 Comments,Cookies,Dessert,American,15 minutes,10 minutes,NA,25 minutes,36 cookies,9,"Preheat oven to 350 F.
Beat butter and sugar together for about 2 minutes or until smooth.
Scrape down bowl.
Add egg, pumpkin, vanilla and spices. Continue beating for 2 additional minutes. Batter may look separated.
Scrape down bowl again.
Add rest of ingredients to bowl, and mix just until flour is incorporated and all ingredients are combined.
Using a 1-1/2 tablespoon cookie scoop, place dough about 2-inches onto cookie sheets lined with parchment paper or silicone baking mats.
Bake for about 10 minutes.
Let cool completely on baking sheet before transferring to plate.",11,▢ ½ cup butter at cool room temperature*,▢ 1 ½ cups granulated sugar,▢ 1 large egg,▢ 1 cup pumpkin puree,▢ 1 teaspoon vanilla extract,▢ 2 teaspoons pumpkin pie spice,▢ 2 ½ cups cake flour,▢ ½ tsp salt,▢ 1 teaspoon baking powder,▢ 1 teaspoon baking soda,▢ 1 cup semisweet chocolate chips,I Heart Eating,https://www.ihearteating.com/pumpkin-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apple Crisp Cookies,Kate Dean,"September 1, 2025",4.91,11,17 Comments,Cookies,Dessert,American,15 minutes,10 minutes,NA,25 minutes,26 cookies,10,"Preheat oven to 350F. Line two large baking sheets with parchment paper or silicone baking mats. Set aside.
In a medium bowl, stir oats, flour, baking soda, salt, apple pie spice, and cinnamon together. Set aside.
In a separate large bowl, whisk butter, applesauce, and sugars together until combined. 
Whisk in the egg and vanilla until well-combined. 
Stir dry ingredients into wet ingredients until just combined. 
Fold in the apples and nuts. The cookie dough will feel thick and maybe even a little dry. 
Using a medium cookie scoop (1.5 tablespoon), scoop cookie dough, and place 2 inches apart on the cookie sheet. 
Sprinkle with sparkling sugar, if using.
Bake for 10-14 minutes, or until set and lightly browned at the edges.
Let cool 5-10 minutes on baking sheet, and then remove to wire rack to finish cooling.",15,▢ 2 ¼ cups rolled oats,▢ 1 cup all-purpose flour properly measured,▢ ½ teaspoon baking soda,▢ ½ teaspoon salt,▢ 1 teaspoon apple pie spice,▢ 1 teaspoon ground cinnamon,▢ ¼ cup butter melted,▢ ¼ cup unsweetened applesauce,▢ ¾ cup brown sugar packed,▢ ⅔ cup granulated sugar,▢ 1 large egg,I Heart Eating,https://www.ihearteating.com/apple-crisp-cookies/,▢ 1 teaspoon pure vanilla extract,▢ ½ cup finely diced apple,▢ ½ cup chopped pecans or walnuts,▢ Sparkling white sugar optional,NA,NA,NA,NA,NA
Brown Butter Chocolate Chip Cookies,Kate Dean,"March 1, 2023",4.91,11,24 Comments,Cookies,Dessert,American,15 minutes,16 minutes,NA,31 minutes,36 cookies,14,"Melt butter in a saucepan over medium heat. The butter will begin to foam. Whisk butter regularly as it cooks.
After a couple of minutes, the butter will begin to brown on the bottom of the saucepan. Continue to whisk, and remove from heat as soon as the butter begins to turn amber brown and smells rich and nutty.
Stir in brown sugar.
Set aside to cool for 5-10 minutes or until cool enough to touch.
Whisk in egg, egg yolk, and vanilla until combined.
Add the dry ingredients, and stir in until just combined.
Stir in the chocolate chips.
Cover, and chill dough for at least 1 hour.
Once dough is chilled, preheat the oven to 375 F. Line two cookie sheets with parchment paper or silicone baking mats.
If the dough has been in the fridge for longer and has gotten really hard, take dough out to sit while you preheat the oven.
Scoop out 1.5 tablespoons dough (medium cookie scoop), and place 2 inches apart on prepared baking sheet.
Bake 6-11 minutes, or until the edges of the cookies are golden brown. The centers should still look underdone.
Let the cookies cool on the sheets for 5 minutes.
Sprinkle lightly with coarse sea salt, if using, and remove to wire cooling rack to finish cooling.",10,▢ 1 cup butter,▢ 1 ½ cups brown sugar packed,▢ 1 large egg,▢ 1 egg yolk,▢ 1 tablespoon vanilla extract,▢ 2 cups all-purpose flour,▢ 1 teaspoon baking soda,▢ ½ teaspoon kosher salt,▢ 1 cup semi-sweet chocolate chips,▢ Sea salt optional,NA,I Heart Eating,https://www.ihearteating.com/browned-butter-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Peanut Butter Cookies,Kate Dean,"January 18, 2023",5,7,4 Comments,Desserts,Dessert,American,15 minutes,7 minutes,NA,22 minutes,20 cookies,10,"Preheat the oven to 350 F. Line 2 baking sheets with parchment paper or silicone baking mats.
Microwave the butter in a large, microwave-safe bowl for about 40 seconds. Butter should mostly melted.
Whisk the butter until it is completely melted.
Add the sugars; mix until well-combined.
Stir in vanilla and egg until incorporated.
Add the flour, cocoa powder, baking soda, and salt. Please read the recipe note about properly measuring flour.
Mix dough until just combined. Dough should be soft and a little sticky but not overly sticky.
Stir in peanut butter chips and chopped peanuts.
Scoop out 1.5 tablespoons of dough (medium cookie scoop) and place 2 inches apart on baking sheet.
Bake for 7-10 minutes, or until cookies are set. They will be puffy and still look a little underbaked in the middle.",11,▢ ½ cup butter,▢ ¾ cup brown sugar packed,▢ ¼ cup granulated sugar,▢ 1 teaspoon vanilla extract,▢ 1 large egg,▢ 1 ⅓ cups all-purpose flour Please check out the note below about measuring flour.,▢ ⅓ cup unsweetened cocoa powder,▢ ½ teaspoon baking soda,▢ ¼ teaspoon salt,▢ ¾ cup peanut butter chips,▢ ¼ cup chopped peanuts,I Heart Eating,https://www.ihearteating.com/chocolate-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doubletree Chocolate Chip Cookie Recipe,Kate Dean,"February 11, 2021",5,4,6 Comments,Desserts,Dessert,American,15 minutes,18 minutes,NA,33 minutes,26 cookies,11,"Preheat oven to 300F. Line a baking sheet with parchment paper or a silicone baking mat.
Cream butter and sugars in the bowl of a stand mixer on medium speed for about 2 minutes.
Add eggs, vanilla, and lemon juice.
Mix on low for 30 second.
Increase speed to medium, and continue mixing for 2 minutes, scraping down the bowl as necessary.
Add flour, oats, baking soda, salt and cinnamon.
Stir in just until combined. Don’t overmix.
Stir in chocolate chips and walnuts.
Portion dough with a scoop (about 3 tablespoons) onto a baking sheet lined with parchment paper about 2 inches apart.
Bake for 18-23 minutes, or until edges are golden brown and center is still soft.
Remove from oven and cool on baking sheet for about 1 hour.",13,▢ 1 cup butter softened,▢ 1 cup brown sugar packed,▢ ½ cup granulated sugar,▢ 2 large eggs,▢ 2 teaspoons vanilla extract,▢ ¼ teaspoon freshly squeezed lemon juice,▢ 2 ¼ cups all-purpose flour properly measured,▢ ½ cup rolled oats,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,▢ Pinch cinnamon,I Heart Eating,https://www.ihearteating.com/doubletree-chocolate-chip-cookie-recipe/,▢ 2 ¼ cups semi-sweet chocolate chips,▢ 1 ½ cups chopped walnuts,NA,NA,NA,NA,NA,NA,NA
M&M Cookie Bars,Kate Dean,"March 6, 2021",5,7,8 Comments,Desserts,Dessert,American,15 minutes,15 minutes,NA,30 minutes,16 servings,9,"Adjust the oven rack to middle position. Preheat the oven to 350 F.
Grease an 8X8-inch metal pan. Set aside.
Whisk the melted butter and sugars in a large bowl until combined.
Add the egg and vanilla and mix well.
Using a rubber spatula, fold the flour, salt, and baking soda into the butter mixture until just combined; do not overmix.
Fold in the M&Ms and chocolate chips.
Pour the batter into the prepared pan, smoothing the top with the spatula.
Bake until the top of the bars is light golden brown, slightly firm to the touch, and edges start pulling away from sides of pan, about 15-25 minutes.
Cool on a wire rack to room temperature.",10,▢ 6 tablespoons butter melted and cooled slightly,▢ ½ cup brown sugar packed,▢ ¼ cup granulated sugar,▢ 1 large egg,▢ 1 teaspoon vanilla extract,▢ 1 cup all-purpose flour,▢ ¼ teaspoon salt,▢ ¼ teaspoon baking soda,▢ ½ cup M&M candies,▢ ¼ cup mini semisweet chocolate chips,NA,I Heart Eating,https://www.ihearteating.com/mm-cookie-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lactation Cookie Recipe,Kate Dean,"February 9, 2021",5,3,6 Comments,Desserts,Dessert,American,15 minutes,8 minutes,NA,23 minutes,42 cookies,9,"Preheat the oven to 350 F. Line a baking sheet with parchment paper or a silicone baking mat. Set aside.
In a large bowl, beat the butter and coconut oil on medium speed until creamy, about 2-3 minutes.
Add in the sugars, and beat on medium until well-combined, about 3-4 minutes, scraping down the bowl as needed.
Add in the egg, egg yolk, and vanilla beating until combined, about 1-2 minutes.
Add in the dry ingredients, stirring in just until combined.
Stir in the chocolate chips.
Scoop the dough into 1.5 tablespoon scoops (medium cookie scoop) and place on the prepared baking sheet about 2 inches apart.
Bake for 8-12 minutes, or until the edges are beginning to turn golden brown.
Let cool on baking sheet for 5 minutes before removing to a wire rack to finish cooling.",16,▢ ¾ cup butter at cool room temperature,▢ ⅓ cup solid coconut oil,▢ 1 cup granulated sugar,▢ ½ cup brown sugar packed,▢ 1 large egg,▢ 1 large egg yolk,▢ 1 teaspoon vanilla extract,▢ 3 cups old-fashioned rolled oats,▢ 1 ½ cups all-purpose flour,▢ ¼ cup brewers yeast,▢ 3 tablespoons ground flaxseed,I Heart Eating,https://www.ihearteating.com/lactation-cookie-recipe/,▢ ½ teaspoon baking powder,▢ ½ teaspoon baking soda,▢ ¼ teaspoon ground cinnamon,▢ ¼ teaspoon salt,▢ 1 cup dark chocolate chips,NA,NA,NA,NA
Chocolate Kiss Cookies,Kate Dean,"February 4, 2025",5,9,10 Comments,Cookies,Dessert,American,10 minutes,8 minutes,NA,18 minutes,28 cookies,12,"Preheat oven to 350 F. Line cookie sheets with silicone baking mat or parchment paper. 
Beat butter together with 1/2 cup granulated sugar and brown sugar until well-combined.
Scrape down sides of the bowl, and mix in egg until incorporated.
Mix in melted chocolate and vanilla extract.
Add cocoa powder, baking powder, and salt. Mix in until combined.
Mix in flour until just combined. 
Scoop dough by level tablespoons and roll into a ball. 
Roll dough in remaining 1/4 cup granulated sugar.
Place 2-inches apart on prepared baking sheets. 
Bake for 8-11 minutes.
Remove from oven, and immediately press an unwrapped kiss into the top of each cookie.
Once cookies have a kiss, remove cookies to cooling rack to finish cooling. ",11,▢ ½ cup butter at cool room temperature,▢ ¾ cup granulated sugar divided,▢ ½ cup brown sugar packed,▢ 1 large egg,▢ 2 ounces semi-sweet baking chocolate melted,▢ 2 teaspoons vanilla extract,▢ ¼ cup unsweetened cocoa powder,▢ 1 ½ teaspoons baking powder,▢ ¼ teaspoon salt,▢ 1 ¾ cups all-purpose flour please see the note below about measuring flour,▢ 28 Hershey kisses unwrapped,I Heart Eating,https://www.ihearteating.com/chocolate-kiss-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sour Cream Sugar Cookies,Kate Dean,"November 25, 2024",5,14,15 Comments,Cookies,Dessert,American,20 minutes,10 minutes,NA,30 minutes,30 cookies,13,"Preheat oven to 350 F. Line two baking sheets with parchment paper or silicone baking mat.
In a mixing bowl, whisk together flour, baking powder, and salt until combined. Set aside.
In a large bowl, beat together butter and sugars until well-combined.
Beat in egg yolks one at a time, scraping down the sides as necessary.
Mix in vanilla extract, sour cream, and milk until combined. Batter may look curdled at this point.
Add dry ingredients, and mix until just combined.
Scoop dough using a medium cookie scoop (1.5 tablespoons), and drop onto prepared baking sheets, spacing cookies 2-inches apart.
Bake for 10-13 minutes.
Let cool on baking sheet for 10 minutes.
Transfer to a wire rack to finish cooling.
To make the frosting, beat together butter, powdered sugar, 2 tablespoons milk, vanilla, and salt.
Beat until well-combined, adding in additional milk as needed.
Frost cooled cookies with frosting.",15,▢ 2 ¼ cups all-purpose flour,▢ 2 teaspoon baking powder,▢ ½ teaspoon salt,▢ ¾ cup butter at cool room temperature,▢ ½ cup granulated sugar,▢ ½ cup brown sugar packed,▢ 2 large egg yolks,▢ 1 ½ teaspoons vanilla extract,▢ ½ cup sour cream,▢ 2 tablespoons milk,▢ ½ cup butter at cool room temperature,I Heart Eating,https://www.ihearteating.com/sour-cream-sugar-cookies/,▢ 3 cup powdered sugar,▢ 2-4 tablespoons milk or heavy whipping cream,▢ ½ teaspoon vanilla extract,▢ Pinch of salt,NA,NA,NA,NA,NA
Pfeffernusse Cookies,Kate Dean,"November 25, 2024",5,6,14 Comments,Desserts,Dessert,German,15 minutes,7 minutes,NA,22 minutes,48 cookies,12,"Preheat oven to 350F. Line cookie sheets with parchment paper or silicone baking mats. Set aside.
In a large bowl, beat the butter and brown sugar until well-combined, about 2-3 minutes on medium.
Scrape down the bowl as needed as you continue.
Mix in the molasses until well-combined, about 1-2 minutes on medium.
Add the egg, and mix in until well-combined, about 1 minute on medium.
Add the flour, baking soda, and spices.
Stir in until combined. The dough will be a stiffer dough.
Scoop by tablespoonfuls and place 2 inches apart on the prepared baking sheets.
Bake for 7-10 minutes, or until the tops and edges are set.
Cool for 5 minutes on the cookie sheet.
Remove to a wire rack to cool to room temperature.
Sprinkle the tops with powdered sugar before serving.",13,▢ ½ cup butter at cool room temperature,▢ ¾ cup brown sugar packed,▢ ½ cup molasses,▢ 1 large egg,▢ 3 ¼ cups all-purpose flour See note below about measuring,▢ 1 teaspoon baking soda,▢ 1 teaspoon ground cinnamon,▢ ½ teaspoon ground ginger,▢ ½ teaspoon ground cloves,▢ ¼ teaspoon ground nutmeg,▢ ¼ teaspoon cardamom,I Heart Eating,https://www.ihearteating.com/pfeffernusse-cookies/,▢ Pinch or two of ground white pepper,▢ Powdered sugar,NA,NA,NA,NA,NA,NA,NA
Chewy Ginger Molasses Cookies,Kate Dean,"November 25, 2024",5,10,27 Comments,Desserts,Dessert,American,15 minutes,8 minutes,NA,23 minutes,42 cookies,12,"Preheat oven to 350F. Line cookie sheets with parchment paper or silicone baking mats. Set aside.
In a large bowl, beat the butter and sugars together on medium until fluffy, about 3 minutes.
Add eggs, vanilla, and molasses.
Mix until well-combined, about 1-2 minutes on medium.
Add the flour, baking soda, salt, ginger, cinnamon, and allspice.
Stir in just until combined. Don’t overmix.
Scoop 1.5 tablespoon scoops (medium cookie scoop) of dough.
Dip the tops in the sparkling sugar.
Place the scoops of dough with the sugar side up on the prepared baking mats.
Bake for 8-14 minutes. The edges should be set but the cookies should look slightly underbaked in the cracks.
Let cool on the baking sheets for 5 minutes.
Transfer to a wire cooling rack to cool to room temperature.",13,▢ ¾ cup butter at cool room temperature,▢ 1 cup granulated sugar,▢ 1 cup brown sugar packed,▢ 2 large eggs at room temperature,▢ 1 teaspoon vanilla extract,▢ ⅓ cup molasses,▢ 3 ½ cups all-purpose flour,▢ 2 teaspoons baking soda,▢ ½ teaspoon salt,▢ 2 teaspoons ground ginger,▢ 1 ½ teaspoons ground cinnamon,I Heart Eating,https://www.ihearteating.com/chewy-ginger-molasses-cookies/,▢ ½ teaspoon allspice,▢ White sparkling sugar,NA,NA,NA,NA,NA,NA,NA
Reindeer Cookies,Kate Dean,"November 25, 2024",5,3,6 Comments,Cookies,Dessert,American,20 minutes,7 minutes,NA,27 minutes,20 cookies,12,"Preheat the oven to 350F. Line 2 baking sheets with parchment paper or silicone baking mats. Set aside.
Microwave the butter in a large, microwave-safe bowl for about 40 seconds. Butter should mostly melted.
Whisk the butter until it is completely melted.
Add the sugars; mix until well-combined.
Stir in vanilla and egg until incorporated.
Add the flour, cocoa powder, baking soda, and salt. Please read the recipe note about properly measuring flour.
Mix dough until just combined. Dough should be soft and a little sticky but not overly sticky.
Stir in mini chocolate chips.
Scoop out 1.5 tablespoons of dough (medium cookie scoop) and place 2 inches apart on baking sheet.
Add two mini pretzel twists to the top of each cookie.
Place two brown M&Ms and one red M&M on each cookie to make the face.
Bake for 7-10 minutes, or until cookies are set. They will be puffy and still look a little underbaked in the middle.",12,▢ ½ cup butter,▢ ¾ cup brown sugar packed,▢ ¼ cup granulated sugar,▢ 1 teaspoon vanilla extract,▢ 1 large egg,▢ 1 ⅓ cups all-purpose flour,▢ ⅓ cup unsweetened cocoa powder,▢ ½ teaspoon baking soda,▢ ¼ teaspoon salt,▢ ¼ cup mini semisweet chocolate chips,▢ 40 mini pretzel twists,I Heart Eating,https://www.ihearteating.com/reindeer-cookies/,▢ 60 mini M&M baking bits,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate M&M Cookies,Kate Dean,"January 18, 2023",5,10,6 Comments,Desserts,Dessert,American,15 minutes,8 minutes,NA,23 minutes,22 cookies,10,"Preheat the oven to 350 F. Line 2 baking sheets with parchment paper or silicone baking mats.
Microwave the butter in a large, microwave-safe bowl for about 40 seconds. Butter should mostly melted.
Whisk the butter until it is completely melted.
Add the sugars; mix until well-combined.
Stir in vanilla and egg until incorporated.
Add the flour, cocoa powder, baking soda, and salt. Please read the recipe note about properly measuring flour.
Mix dough until just combined. Dough should be soft and a little sticky but not overly sticky.
Stir in mini chocolate chips and M&Ms.
Scoop out 1.5 tablespoons of dough (medium cookie scoop) and place 2 inches apart on baking sheet.
Bake for 7-10 minutes, or until cookies are set. They will be puffy and still look a little underbaked in the middle.",11,▢ ½ cup butter,▢ ¾ cup brown sugar packed,▢ ¼ cup granulated sugar,▢ 1 teaspoon vanilla extract,▢ 1 large egg,▢ 1 ⅓ cups all-purpose flour,▢ ⅓ cup unsweetened cocoa powder,▢ ½ teaspoon baking soda,▢ ¼ teaspoon salt,▢ ½ cup mini semisweet chocolate chips,▢ 1 cup plain M&Ms,I Heart Eating,https://www.ihearteating.com/chocolate-mm-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Cup Cookies,Kate Dean,"August 16, 2024",5,2,2 Comments,Desserts,Dessert,American,15 minutes,7 minutes,NA,22 minutes,48 cookies,12,"Preheat oven to 375F. Grease 2 24-tin mini muffin pans. Set aside.
In a large bowl, cream the butter and sugars together until well combined, about 3-4 minutes on medium.
Add the egg and vanilla. Mix until well combined, scraping the bowl as needed.
Add the peanut butter, and mix in until combined.
Add flour, baking soda, baking powder, and salt. Stir in until just combined.
Scoop 1 tablespoon cookie dough and place in prepared muffin tin cup.
Repeat with remaining dough.
Bake 7-10 minutes.
Remove from oven.
Gently press a mini peanut butter cup into each cookie.
Let the cookies cool to room temperature.
Remove from the muffin tin.",11,▢ ½ cup butter at cool room temperature,▢ ½ cup brown sugar packed,▢ ½ cup granulated sugar,▢ ½ cup creamy peanut butter,▢ 1 large egg,▢ 2 teaspoons vanilla extract,▢ 1 ¾ cups all-purpose flour,▢ ½ teaspoon baking soda,▢ ½ teaspoon baking powder,▢ ¼ teaspoon salt,▢ 48 mini peanut butter cups unwrapped,I Heart Eating,https://www.ihearteating.com/peanut-butter-cup-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butterscotch Cornflake Cookies,Kate Dean,"October 5, 2020",4.91,22,41 Comments,Desserts,Dessert,American,15 minutes,5 minutes,NA,20 minutes,16 cookies,8,"Add the cornflakes to a large bowl. Set aside.
In a medium saucepan over low heat, melt butterscotch chips and peanut butter together.
Remove from heat.
Stir in vanilla extract.
Pour the melted butterscotch mixture over the cornflakes.
Toss to coat cornflakes in butterscotch mixture.
Drop by tablespoonfuls onto parchment or silicone baking mat-lined cookie sheets.
Chill until firm.",4,▢ 4 cups cornflakes,▢ 11 ounce bag butterscotch chips,▢ 1 cup creamy peanut butter,▢ 1/2 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,I Heart Eating,https://www.ihearteating.com/butterscotch-cornflake-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halloween Sprinkle Cookies,Kate Dean,"September 22, 2023",5,10,8 Comments,Desserts,Dessert,American,15 minutes,7 minutes,NA,22 minutes,21 cookies,9,"Preheat the oven to 350 F.
Microwave the butter for about 40 seconds. Butter should be completely melted but shouldn’t be hot.
In a large bowl, mix butter with the sugars until well-combined.
Stir in vanilla and egg until incorporated.
Add the flour, baking soda, and salt. Please read the recipe note about properly measuring flour.
Mix dough until just combined. Dough should be soft and a little sticky but not overly sticky.
Scoop out 1.5 tablespoons of dough (medium cookie scoop).
Roll the tops (just the tops) in sprinkles, and place 2 inches apart on baking sheet.
Bake for 7-10 minutes, or until cookies are set. They will be puffy and still look a little underbaked in the middle.",9,▢ ½ cup butter,▢ ½ cup granulated sugar,▢ ¼ cup brown sugar packed,▢ 2 teaspoons vanilla extract,▢ 1 large egg,▢ 1 ¾ cups all-purpose flour,▢ ½ teaspoon baking soda,▢ ¼ teaspoon salt,▢ Sprinkles,NA,NA,I Heart Eating,https://www.ihearteating.com/halloween-sprinkle-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
