title,author,dateinfo,rating,ratingnum,genre,cuisine,keyword,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,source,link,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28
Pecan Sandies,Becky Hardin,"Published Nov 3, 2021",4.50,8,Baking,NA,NA,10 minutes,15 minutes,NA,25 minutes,24 cookies,7,"Preheat oven to 350°F. Line a baking sheet with parchment paper and set aside.
In a large mixing bowl, using a hand mixer, beat the butter, sugar, vanilla and milk together until smooth, about 2 minutes.
1 cup unsalted butter, ½ cup granulated sugar, 2 teaspoons pure vanilla extract, 1 tablespoon milk
Slowly add in half of the flour, beating until it is well combined. It will be a thick dough.
2 cups all-purpose flour
Add in the remaining half of the flour. Once the dough is well mixed and soft, stir in the chopped pecans.
¾ cup chopped pecans
Scoop or use a large spoon, measure dough and shape into balls, about 1 inch in size. Place on the prepared baking sheet. You can leave them as they are, or gently press them with the bottom of a lightly floured glass to flatten the tops. Bake for about 13-15 minutes, until the bottoms of the cookies are light golden brown.
Remove the cookies from the oven and allow them to cool slightly, then transfer to a wire rack to cool completely.. Once they have cooled, they will be slightly firm.
Fill a large Ziplock bag with powdered sugar and toss the cookies in the sugar until they are completely coated. Top with chopped pecans if desired.
¾ cup powdered sugar",7,"▢ 1 cup unsalted butter 227 grams (2 sticks), cold",▢ ½ cup granulated sugar 100 grams,▢ 2 teaspoons pure vanilla extract 8 grams,"▢ 1 tablespoon milk 14 grams, plus more if needed",▢ 2 cups all-purpose flour 240 grams,Cookie Rookie,https://www.thecookierookie.com/pecan-sandies/,▢ ¾ cup chopped pecans 86 grams,▢ ¾ cup powdered sugar 85 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Butter Chocolate Chip Cookies,Becky Hardin,"Published Nov 1, 2021",4.48,19,Baking,NA,NA,NA,10 minutes,Chill/Rest Time: 1 hour hr 30 minutes mins,40 minutes,30 cookies,11,"Add the butter to a saucepan over medium heat and let it start to simmer, then reduce the heat to medium-low.
1 cup unsalted butter
Whisk the entire time as a foam starts to form at the top of the butter and continue whisking until the butter starts to turn a light brown color and become fragrant.
Remove the pan from the heat and pour the butter into a large heatproof bowl to cool completely for about 30 minutes.
Whisk in the brown sugar, granulated sugar, eggs, and vanilla. Set aside.
¾ cup brown sugar, ½ cup granulated sugar, 2 large eggs, 2 teaspoons pure vanilla extract
In a separate large bowl, whisk the flour, cornstarch, baking soda, baking powder, and salt together. Stir into the wet ingredients until completely combined.
2⅔ cups all-purpose flour, 2 teaspoons cornstarch, 1 teaspoon baking soda, ½ teaspoon baking powder, ½ teaspoon kosher salt
Stir in the milk chocolate chips and semisweet chocolate chips, then cover the bowl with plastic wrap and refrigerate for 1 hour.
1 cup milk chocolate chips, 1 cup semisweet chocolate chips
Preheat oven to 350°F and line a baking sheet with parchment paper.
Form six 1-inch balls from the cookie dough and place them spread evenly apart on the prepared baking sheet.
Lightly press down on the tops of the cookies, press in a few extra chocolate chips on top, and bake for 8-10 minutes, or until the edges of the cookies start to dry out and turn a light golden color.
Let cool completely on the pan, then remove them from the pan and set aside.
Repeat the baking process with the remaining cookie dough, then serve.",12,▢ 1 cup unsalted butter 226 grams (2 sticks),▢ ¾ cup brown sugar 160 grams,▢ ½ cup granulated sugar 100 grams,▢ 2 large eggs 100 grams,▢ 2 teaspoons pure vanilla extract 8 grams,Cookie Rookie,https://www.thecookierookie.com/brown-butter-chocolate-chip-cookies/,▢ 2⅔ cups all-purpose flour 320 grams,▢ 2 teaspoons cornstarch 5 grams,▢ 1 teaspoon baking soda 6 grams,▢ ½ teaspoon baking powder 2 grams,▢ ½ teaspoon kosher salt,"▢ 1 cup milk chocolate chips 170 grams, plus more to press into the tops of the cookies",▢ 1 cup semisweet chocolate chips 170 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Sugar Chocolate Chip Cookies (Cow Chip Cookies),Becky Hardin,"Published Aug 10, 2021",4.82,16,Baking,NA,NA,15 minutes,10 minutes,NA,25 minutes,30 cookies,6,"Preheat oven to 375°F. Line 2 baking sheets with parchment paper and set aside. 
Using a hand mixer, cream butter until smooth, about 2-3 minutes. Add the sugars and beat until smooth, about 2 minutes. Beat in the eggs and vanilla until smooth, about 1 minute.
1 pound unsalted butter, 1½ cups light brown sugar, 1½ cups dark brown sugar, 1 cup granulated sugar, 4 large eggs, 2 teaspoons pure vanilla extract
Into a large bowl, sift together the dry ingredients. Slowly mix the dry ingredients into the wet mixture. Fold in the chocolate chips.
3½ cups all-purpose flour, 1½ teaspoons kosher salt, 2 teaspoons baking soda, 1½ cups semisweet and milk chocolate chips
Drop 2 tablespoons of dough per cookie onto the prepared baking sheets; space the dough balls at least 2 inches apart to allow for spreading. Plan on approximately 6 cookies per sheet. 
Bake until golden, 9-11 minutes. Remove cookies from the oven.
Let cookies stand on the baking sheets for 10 minutes before removing to a cooling rack to finish cooling. Repeat with remaining dough until all cookies have been baked.",10,"▢ 1 pound unsalted butter 454 grams, room temperature (4 sticks)",▢ 1½ cups light brown sugar 320 grams,▢ 1½ cups dark brown sugar 320 grams,▢ 1 cup granulated sugar 200 grams,"▢ 4 large eggs 200 grams, room temperature",Cookie Rookie,https://www.thecookierookie.com/brown-sugar-chocolate-chip-cookies/,▢ 2 teaspoons pure vanilla extract 4 grams,▢ 3½ cups all-purpose flour 420 grams,▢ 1½ teaspoons kosher salt 5 grams,▢ 2 teaspoons baking soda 12 grams,"▢ 1½ cups semisweet and milk chocolate chips 255 grams, Ghirardelli recommended",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brownie Cookies Recipe (2 Ways!),Becky Hardin,NA,4.60,255,Baking,NA,NA,20 minutes,10 minutes,Freeze Time: 1 hour hr,30 minutes,24 cookies,8,"Place a heatproof bowl over a saucepan of simmering water. Add the butter and the chopped chocolate. Stir until smooth, about 5-10 minutes.
1 lb. chopped semisweet chocolate, 4 tbsp salted butter
In the bowl of a stand mixer fitted with the paddle attachment, beat the eggs with the sugar on medium speed, then beat in the vanilla. Scrape the sides if needed. Pour in the melted chocolate and beat until combined. Mix in the flour and baking powder. Turn off the mixer.
4 large eggs, 1½ cups granulated sugar, 1 tsp pure vanilla extract, ½ cup all-purpose flour, ½ tsp baking powder
Gently fold in the chocolate chips.
12 oz. milk chocolate chips
Pour the batter into a large bowl and cover. Freeze for 1 hour.
Preheat the oven to 350°F. Line a baking sheet with Reynolds Kitchens Parchment Paper with SmartGrid. Scoop 2 tbsp of batter into a ball (doesn't have to be pretty) and place on the prepared baking sheets, about 2 inches apart.
Bake for 10 minutes, or until the cookies crack on top and appear dry on the edges.
Let cool on the cookie sheet for 10 minutes, then transfer to a cooling rack to cool completely.
If wanting to make the peppermint version, sprinkle cookies with crushed peppermint upon removing from the oven. Lightly and carefully press them into each cookie to adhere. Allow to cool as stated above.
crushed peppermint",9,"▢ 4 tbsp salted butter 57g, (½ stick)",▢ 1 lb. chopped semisweet chocolate 454g,"▢ 4 large eggs 200g, room temperature",▢ 1½ cups granulated sugar 300g,▢ 1 tsp pure vanilla extract 4g,Cookie Rookie,https://www.thecookierookie.com/fudgy-brownie-cookies-recipe/,"▢ ½ cup all-purpose flour 60g, sifted",▢ ½ tsp baking powder 2g,▢ 12 oz. milk chocolate chips 340g,"▢ crushed peppermint optional, for topping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skillet Chocolate Chip Cookie,Becky Hardin,"Published Feb 24, 2021",4.75,12,Baking,NA,NA,20 minutes,30 minutes,NA,50 minutes,8 slices,8,"Adjust oven rack to upper-middle position and preheat oven to 350°F.
Butter a 12-inch cast-iron skillet with 1 tablespoon of butter and also spray it with nonstick cooking spray. In a medium-sized bowl, whisk together the all-purpose flour and baking soda; set aside.
13 tablespoons unsalted butter, 1¾ cups all-purpose flour, ½ teaspoon baking soda
Melt 9 tablespoons of butter in a heavy-bottomed, medium-sized saucepan set over medium heat. Brown the butter, swirling continuously, until the butter has melted and is dark golden brown, about 3-5 minutes. Most of the bubbling will have subsided and the butter will have a nutty aroma. Watch very carefully the last minute – it can burn quickly. Transfer the melted butter to a large, heat-proof bowl and add the remaining 3 tablespoons butter; stir until melted.
Add the sugars, salts, and vanilla; whisk until incorporated. Add egg and egg yolk and whisk until smooth, about 30 seconds. Let mixture stand 3 minutes. Repeat the process of whisking (30 seconds) and resting (3 minutes) for 3 times more times (a total of 4 times). Mixture will be thicker, smooth, and shiny.
1 cup dark brown sugar, ¼ cup granulated sugar, 2 teaspoons pure vanilla extract, 1 large egg, 1 egg yolk
Add the flour mixture and stir just until no flour is visible.
Add chocolate chips and stir just until incorporated.
½ cup semisweet chocolate chips, ½ cup milk chocolate chips
Press the cookie dough evenly into the prepared skillet and transfer to the oven. Bake for 23-28 minutes (rotating after 13 minutes), or until middle has barely set.
Cool 5-10 minutes before slicing into wedges.",11,"▢ 13 tablespoons unsalted butter 184 grams, divided (1⅝ stick)",▢ 1¾ cups all-purpose flour 210 grams,▢ ½ teaspoon baking soda 3 grams,▢ 1 cup dark brown sugar 213 grams,▢ ¼ cup granulated sugar 50 grams,Cookie Rookie,https://www.thecookierookie.com/skillet-chocolate-chip-cookie/,▢ 2 teaspoons pure vanilla extract 8 grams,▢ 1½ teaspoons kosher salt 5 grams,▢ 1 large egg 50 grams,▢ 1 egg yolk 14 grams,▢ ½ cup semisweet chocolate chips 85 grams,▢ ½ cup milk chocolate chips 85 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Chocolate Chip Cookies,Becky Hardin,"Published Oct 16, 2022",4.15,7,Baking,NA,NA,15 minutes,15 minutes,NA,30 minutes,24 cookies,8,"Preheat oven to 325°F. Line a baking sheet with parchment paper and set aside.
Using an electric hand mixer, beat the butter, brown sugar, and sugar together until light and fluffy, about 3 minutes. Scrape down the sides as needed.
1 cup unsalted butter, 1 cup dark brown sugar, ½ cup granulated sugar
Add in the eggs and mix until combined. Add in the vanilla and mix again. Set aside.
2 large eggs, 2 teaspoons pure vanilla extract
In a medium bowl, whisk the flour, baking soda, and salt together.
1¼ cups All Purpose Flour, ½ teaspoon Baking Soda, 1 teaspoon kosher salt
Add the dry ingredients to the wet ingredients and mix until just combined.
Fold in the oats and chocolate chips.
3 cups Old Fashioned Rolled Oats, 2 cups semisweet chocolate chips
Using a large cookie scoop (about ¼ cup), scoop the dough onto the prepared sheet pan, leaving 2 inches between the cookies.
Bake for 14-18 minutes until the edges of the cookies are golden and the centers are set. Let cool on the sheet pan for 3 minutes. Transfer to a wire rack to cool.",10,"▢ 1 cup unsalted butter 226 grams, room temperature (2 sticks)",▢ 1 cup dark brown sugar 213 grams,▢ ½ cup granulated sugar 100 grams,"▢ 2 large eggs 100 grams, room temperature",▢ 2 teaspoons pure vanilla extract 8 grams,Cookie Rookie,https://www.thecookierookie.com/oatmeal-chocolate-chip-cookies-with-honey/,▢ 1¼ cups All Purpose Flour 204 grams,▢ ½ teaspoon Baking Soda 3 grams,▢ 1 teaspoon kosher salt 3 grams,▢ 3 cups Old Fashioned Rolled Oats 300 grams,▢ 2 cups semisweet chocolate chips 340 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zucchini Chocolate Chip Cookies,Becky Hardin,"Published Jan 8, 2021",4.75,16,Baking,NA,NA,15 minutes,10 minutes,NA,25 minutes,36 cookies,7,"Preheat oven to 350°F. Line a baking sheet with parchment paper. Set aside.
In a medium-sized bowl, using a hand mixer, cream the butter and both types of sugar together until light and fluffy, about 1-2 minutes.
½ cup salted butter, 1 cup brown sugar, ¼ cup granulated sugar
Mix in eggs, zucchini, and vanilla.
2 large eggs, 1½ cup freshly shredded zucchini, 1 teaspoon pure vanilla extract
Stir in the flour, baking soda, salt, and cinnamon until just combined.
1¾ cups all-purpose flour, 2 teaspoons baking soda, 1 teaspoon kosher salt, 1 teaspoon ground cinnamon
Fold in chocolate chips, oats, and walnuts.
1 cup chocolate chips, 1 cup old-fashioned oats, ½ cup chopped walnuts
Drop 2-tablespoon-sized portions of dough (I used a cookie scoop for this step) onto a greased or parchment-lined baking sheet. Separate at least 2 inches apart.
Bake for 8-10 minutes until cookies are golden brown around the edges. (9 minutes seemed to be perfect in my oven).",13,"▢ ½ cup salted butter 113 grams, room temperature (1 stick)",▢ 1 cup brown sugar 213 grams,▢ ¼ cup granulated sugar 50 grams,"▢ 2 large eggs 100 grams, room temperature","▢ 1½ cup freshly shredded zucchini 213 grams, unpeeled (about half a zucchini, patted dry)",Cookie Rookie,https://www.thecookierookie.com/zucchini-chocolate-chip-cookies/,▢ 1 teaspoon pure vanilla extract 4 grams,▢ 1¾ cups all-purpose flour 210 grams,▢ 2 teaspoons baking soda 12 grams,▢ 1 teaspoon kosher salt 3 grams,▢ 1 teaspoon ground cinnamon 3 grams,▢ 1 cup chocolate chips 170 grams,▢ 1 cup old-fashioned oats 100 grams,"▢ ½ cup chopped walnuts 57 grams, optional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italian Anise Cookies (Riscotti Cookies),Becky Hardin,NA,4.91,10,Baking,NA,NA,20 minutes,15 minutes,Chill Time: 2 hours hrs,35 minutes,24 cookies,23,"Using a hand mixer, cream the sugar, butter, and shortening together for 3 minutes.
1 cup granulated sugar, ¼ cup unsalted butter, ½ cup vegetable shortening
Add the eggs, one at a time, mixing well after each egg.
3 large eggs
Add the anise extract and mix well, about 1 minute.
¼ tsp anise extract
In a separate bowl, combine the flour, salt, baking soda, and baking powder and whisk together.
3 cups all-purpose flour, ¾ tsp kosher salt, ½ tsp baking soda, ¾ tsp baking powder
Add the dry ingredients all at once to the sugar mixture.
Beat just until the dry ingredients are incorporated into the wet ingredients.
This should make a soft dough. Add 1 tbsp of milk if the mixture is too dry.
1 tbsp milk
Divide the dough into thirds or fourths and roll into logs 2-3 inches across.
Wrap in plastic wrap and refrigerate at least 2 hours or overnight.
When ready to bake, preheat the oven to 350°F. Line baking sheets with parchment paper.
Take the dough out of the fridge and cut into ½-inch thick slices.
Place on prepared baking sheets.
Bake 10-12 minutes, until set and a little golden on the bottom. Do not overbake.
Take out of the oven and place the cookies onto cooling racks.
Let cool completely, then ice.
Melt the butter in the top of a double-boiler or in a heat-proof bowl placed over a smaller saucepan.
1 cup unsalted butter
Add the milk and vanilla, stirring constantly until the mixture is hot.
½ cup milk, 1 tsp pure vanilla extract
Once the mixture is hot, add the powdered sugar.
2½ cups powdered sugar
Mix or whisk until the consistency is smooth.
Being very careful, remove the icing from the heat. (Use a hot pad to hold the bowl with the icing with one hand, and wipe the water/steam off the bottom with a towel with the other hand. You don't want the cookies accidentally getting wet.)
Dip each cookie into the icing and place on a cooling rack. (Place aluminum foil under the rack so clean-up is easier.)
Sprinkle with Christmas or party sprinkles or coarse sugar while still wet. I usually dip 8 cookies, then sprinkle them before they dry.
Let set overnight or at least for several hours until completely dry.",14,▢ 1 cup granulated sugar 200g,"▢ ¼ cup unsalted butter 57g, room temperature (½ stick)","▢ ½ cup vegetable shortening 92g, (½ stick), such as Crisco",▢ 3 large eggs room temperature,▢ ¼ tsp anise extract 1g (or almond extract),Cookie Rookie,https://www.thecookierookie.com/riscotti-cookies/,▢ 3 cups all-purpose flour 360g,▢ ¾ tsp kosher salt,▢ ½ tsp baking soda 3g,▢ ¾ tsp baking powder 3g,"▢ 1 tbsp milk 14g, if needed",▢ 1 cup unsalted butter 226g (2 sticks),"▢ ½ cup milk 114g, at least 2%",▢ 1 tsp pure vanilla extract 4g,"▢ 2½ cups powdered sugar 283g, sifted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shortbread Cookies,Becky Hardin,"Published Dec 16, 2020",4.47,15,Baking,NA,NA,10 minutes,20 minutes,Chill: 3 hours hrs,30 minutes,15 cookies,12,"Whip the butter with a hand mixer until smooth. Sift in the powdered sugar and whip again until light and fluffy.
½ cup salted butter, ½ cup powdered sugar
Pour in the vanilla extract and whip again until well combined.
1 teaspoon pure vanilla extract
Sift in the flour and mix just until combined.
1⅛ cup all-purpose flour
Lay out a sheet of cling wrap and scrape the dough out in the center of it.
Form the dough into a 4-5 inch long cylinder that has roughly a 1-inch diameter.
Wrap the cling wrap around the dough and refrigerate it for 3-4 hours, or until the dough is very hard.
10 minutes before removing the dough from the refrigerator, preheat oven to 300°F and prepare a large baking sheet with parchment paper or spray it with nonstick spray.
Remove the dough from the refrigerator and remove the plastic wrap.
Cut 15 (2-3 centimeter thick) pieces from the dough.
Lay them out on the prepared baking sheet a half-inch apart from each other. These cookies will barely expand, so no need to worry about space.
Bake for 15-20 minutes, or until the bottom turns a light golden color.
Remove them from the oven and let them cool before removing them from the pan and letting them cool completely on a cooling rack. Then serve.",4,"▢ ½ cup salted butter 113 grams, room temperature (1 stick)",▢ ½ cup powdered sugar 57 grams,▢ 1 teaspoon pure vanilla extract 4 grams,▢ 1⅛ cup all-purpose flour 135 grams (18 tablespoons),NA,Cookie Rookie,https://www.thecookierookie.com/shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Crack (Cracker Toffee),Becky Hardin,NA,4.52,84,Baking,NA,NA,10 minutes,5 minutes,NA,15 minutes,16 pieces,11,"Preheat oven to 400°F.
Line a 9×13-inch baking sheet with aluminum foil. Place rows of crackers on the baking sheet, covering it completely. Set aside.
32 saltine crackers
In a medium saucepan, heat the butter and brown sugar over medium heat. Stir continuously and bring to a boil until it reaches 275°F.
1 cup unsalted butter, 1 cup brown sugar
Pour the hot mixture over the saltine crackers.
Bake for 4 minutes. Turn off oven.
Remove from oven and sprinkle chocolate chips over top.
2 cups chocolate chips 
Put pan back in warm oven for 1 minute to melt chocolate chips.
Using a spatula, smooth chocolate chips out.
Sprinkle pecans and sprinkles over top.
1 cup pecans, sprinkles
Cool and allow chocolate to harden.
Break into pieces and enjoy.",6,▢ 32 saltine crackers 102 g,▢ 1 cup unsalted butter 226 g (2 sticks),▢ 1 cup brown sugar 213 g,"▢ 2 cups chocolate chips  340 g, white or semi-sweet also work","▢ 1 cup pecans 125 g, try pretzels or your favorite nut",Cookie Rookie,https://www.thecookierookie.com/christmas-crack-cracker-toffee/,▢ sprinkles optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Peanut Butter Blossoms,Becky Hardin,"Published Dec 14, 2020",4.72,7,Baking,NA,NA,20 minutes,10 minutes,NA,30 minutes,50 cookies,11,"Preheat oven to 375°F and adjust 2 oven racks to upper-middle and lower-middle positions. Line 3 (if possible) baking sheets with parchment paper. Set aside.
In the bowl of a stand mixer fitted with the paddle attachment, beat the granulated sugar and brown sugar together for 15 seconds on low speed.
½ cup granulated sugar, ⅓ cup light brown sugar
Add butter, peanut butter, and vanilla. Cream together until light, smooth, and fluffy, about 3 minutes.
10 tablespoons unsalted butter, 10 tablespoons creamy peanut butter, 2 teaspoons pure vanilla extract
Add the egg and beat together until incorporated, about 30 seconds.
1 large egg
In a different large bowl, whisk together flour, cocoa, baking soda, baking powder, and salt. Add the flour mixture to the butter mixture (in the mixer bowl) and mix just until incorporated.
1¼ cups all-purpose flour, ¼ cup unsweetened cocoa powder, ¾ teaspoon baking soda, ½ teaspoon baking powder, ¾ teaspoon kosher salt
The mixture should be firm enough to roll into balls, but if the dough is a little soft, cover and refrigerate for 1 hour.
Roll the dough into 1-inch balls (I use a 1½-inch scoop and pull the ball of dough in half to form 2 balls.)
Roll the dough balls in coarse sugar, if desired, and place on the prepared baking sheets about 2-inches apart.
Raw or Turbinado sugar
Bake 9-10 minutes, or until cookies are just starting to firm around the edges.
Remove the cookies from the oven and press 1 chocolate kiss gently but firmly into the middle of each cookie – the cookies will begin to crack around the edges.
55 Chocolate Kisses
Let cool 2 minutes on the baking sheet then transfer the cookies to a cooling rack to completely cool.",13,▢ ½ cup granulated sugar 100 grams,▢ ⅓ cup light brown sugar 71 grams,"▢ 10 tablespoons unsalted butter 141 grams, cool(ish) but softened (1¼ sticks)",▢ 10 tablespoons creamy peanut butter 169 grams,▢ 2 teaspoons pure vanilla extract 8 grams (or vanilla bean paste),Cookie Rookie,https://www.thecookierookie.com/chocolate-peanut-butter-blossoms/,"▢ 1 large egg 50 grams, room temperature",▢ 1¼ cups all-purpose flour 150 grams,▢ ¼ cup unsweetened cocoa powder 21 grams,▢ ¾ teaspoon baking soda,▢ ½ teaspoon baking powder 2 grams,▢ ¾ teaspoon kosher salt,"▢ Raw or Turbinado sugar for coating the cookies, optional","▢ 55 Chocolate Kisses 312 grams (11 ounces), unwrapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Cup Fudge,Becky Hardin,"Published Dec 13, 2020",4.67,15,Baking,NA,NA,5 minutes,5 minutes,Chill: 3 hours hrs,10 minutes,20 pieces,7,"Heat the chocolate chips and condensed milk in a saucepan set over medium heat. Stir the ingredients continuously.
3 cups white chocolate chips, 14 ounces sweetened condensed milk
Once the chocolate has melted, remove the saucepan from the heat and stir in the vanilla.
1 teaspoon pure vanilla extract
Stir in half of the Reese’s chunks and only stir 2-3 times to combine. (It’s important you don’t keep stirring or it won’t get that marbled effect.)
1 cup mini Reese’s Cups
Pour/scoop the fudge into a prepared 9×9-inch square dish. (I like to use silicone because it pops right out and I don’t need to use parchment paper.)
Top the fudge with the remainder 1⁄2 cup of Reese’s chunks.
Place the fudge into the refrigerator to harden for 2-3 hours until set.
Remove the fudge from the dish and carefully cut into small bite-sized squares.",4,▢ 3 cups white chocolate chips 510 grams,▢ 14 ounces sweetened condensed milk 396 grams (1 can),▢ 1 teaspoon pure vanilla extract 4 grams,"▢ 1 cup mini Reese’s Cups 20 grams, chopped into chunks and divided",NA,Cookie Rookie,https://www.thecookierookie.com/peanut-butter-cup-fudge/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crockpot White Chocolate Haystacks,Becky Hardin,"Published Dec 12, 2020",4.75,12,Baking,NA,NA,5 minutes,NA,NA,5 minutes,16 treats,7,"Spray crockpot with nonstick spray.
Place white chocolate, chow mein noodles, and peanuts in your crock pot.
12 ounces white melting chocolate , 2 cups chow mein noodles, 1 cup peanuts
Cook on HIGH for 1 hour, or until chocolate is completely melted.
Stir contents together.
Place spoonfuls on a baking sheet lined with parchment paper.
Add sprinkles before the chocolate hardens.
2 tablespoons sprinkles
Chill and serve.",4,▢ 12 ounces white melting chocolate  340 grams (or almond bark),▢ 2 cups chow mein noodles 90 grams,▢ 1 cup peanuts 142 grams,"▢ 2 tablespoons sprinkles 24 grams, for topping",NA,Cookie Rookie,https://www.thecookierookie.com/crockpot-white-chocolate-haystacks/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brownie Cupcakes,Becky Hardin,"Published Dec 9, 2020",4.76,37,Baking,NA,NA,15 minutes,30 minutes,NA,45 minutes,9 cupcakes,6,"Preheat oven to 325°F. Spray a cupcake tin with nonstick spray or line 9 of the wells with paper liners. Set aside.
In a small saucepan, melt the butter and chocolate chips over medium-low heat. Once melted, set aside and allow to completely cool.
½ cup unsalted butter, ½ cup semisweet chocolate chips
In a medium-sized bowl, whisk together the eggs and sugar until combined. Whisk in the flour and vanilla. Pour the cooled chocolate mixture into the batter and fold it together with a spatula until the batter is combined and free of lumps. Scoop the batter into each of the cupcake liners, filling them about ¾ of the way full. A heaping amount in a large cookie scoop will give you the perfect amount, but you can spoon it in there as well (see note).
2 large eggs, ¾ cup granulated sugar, ½ cup all-purpose flour, 1 teaspoon pure vanilla extract
Bake for 30-33 minutes, until a toothpick comes out clean. Allow the cupcakes to cool for 10 minutes before removing. Cool completely on a rack until ready to frost.
Make the Chocolate Buttercream (click for recipe) while brownie cupcakes cool.
½ batch Chocolate Buttercream
Frost the cooled cupcakes with the buttercream and top each with 1 rectangle of Hershey's chocolate.
1.55 ounces Hershey's milk chocolate",8,▢ ½ cup unsalted butter 113 grams (1 stick),▢ ½ cup semisweet chocolate chips 85 grams,▢ 2 large eggs 100 grams,▢ ¾ cup granulated sugar 150 grams,▢ ½ cup all-purpose flour 60 grams,Cookie Rookie,https://www.thecookierookie.com/brownie-cupcakes/,▢ 1 teaspoon pure vanilla extract 4 grams,▢ ½ batch Chocolate Buttercream (click for recipe),▢ 1.55 ounces Hershey's milk chocolate 43 grams (1 bar),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meat Temperature Chart (Free Printable),Becky Hardin,"Published Nov 29, 2022",4.61,23,Baking,NA,NA,20 minutes,15 minutes,NA,35 minutes,NA,9,"Trim excess fat from the steak (but leave a little bit for flavor)
Let the steak sit at room temperature for at least 20 minutes before cooking
Prepare the grill and heat up about 30 minutes before cooking
Pat away extra moisture from the steak, and then season to your liking
Sear steaks until they lift without sticking to the grates
Turn your steaks over once and continue cooking
Use meat thermometer to check internal temperatures. A medium-rare steak should heat to about 140 F. Medium will be closer to 155 F and Well Done should be at a temperature of 165 F.
Remove the steaks from the grill when the thermometer reads about 5 degrees lower than you want it (the meat will continue cooking after removed from the grill).
Let the steaks cool briefly before serving",1,▢ 4 steaks,NA,NA,NA,NA,Cookie Rookie,https://www.thecookierookie.com/meat-temperature-chart/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crockpot Turtle Candy,Becky Hardin,"Published Dec 6, 2020",4.72,14,Cookies,NA,NA,30 minutes,30 minutes,NA,NA,60 candies,8,"Place the pecans, chocolate, and German chocolate bar into the crockpot.
16 ounces chopped pecans, 24 ounces melting chocolate, 4 ounces German chocolate
Cover and cook on LOW for 90 minutes.
Stir the melted chocolate to completely coat the pecans.
Add the caramel bits, stirring to combine with the other ingredients, and allow to melt for about 3-5 minutes.
11 ounces caramel bits
Scoop the chocolate covered pecans out and place on a sheet of parchment paper, leaving space between each turtle candy.
Melt the semisweet chocolate chips in a microwave-safe container in 15-20 second bursts, stirring each time until smooth.
¾ cup semisweet chocolate chips
Drizzle the melted chocolate chips over the clusters and garnish with holiday sprinkles (if desired).
Holiday sprinkles
Allow to set completely before serving.",6,▢ 16 ounces chopped pecans 454 grams,▢ 24 ounces melting chocolate 680 grams,▢ 4 ounces German chocolate 113 grams (1 bar),▢ 11 ounces caramel bits 312 grams,▢ ¾ cup semisweet chocolate chips 128 grams,Cookie Rookie,https://www.thecookierookie.com/crockpot-turtle-candy/,"▢ Holiday sprinkles optional, for garnish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
