title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,source,link,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31,ingredient32,ingredient33,ingredient34
Traditional Panettone Recipe,Kimberly Killebrew,4.98,77,"Breakfast, Brunch, Dessert",Italian,NA,45 minutes,NA,45 minutes,10 servings,6,"For the Starter: Stir the yeast into the lukewarm water and let it sit for about 10 minutes until frothy. Place the flour and salt in the bowl of a stand mixer with the dough hook attachment (if your bowl is too large for that small of quantity knead it by hand). Add the yeast mixture to the flour mixture and knead for 5 minutes if using the stand mixer and about 10 minutes if kneading by hand. Shape the dough into a ball and put it in a very lightly greased bowl, cover loosely with plastic wrap and let it rise at room temperature until doubled in size. Punch it down, cover with plastic wrap again and refrigerate it overnight.
The next day take it out and let it come to room temperature before proceeding (this will take about 2 hours). Let it rise until nearly doubled in size.
To Prepare the Fruit Mixture: Place the raisins, candied lemon peel, candied orange peel, lemon and orange zest in a small bowl and pour 1/4 cup of hot water over them. Stir, cover and let soak for at least 2 hours or overnight. Drain any excess liquid before adding it to the panettone dough. Properly draining it is critical to preventing a wet dough.
To Prepare the Panettone: Place the flour, yeast, salt and sugar in the stand mixer and stir to combine. Attach the dough hook attachment. Add the egg yolks and milk and mix until it comes all comes together. Punch down the starter dough and add it to the stand mixer. Knead it for 5 minutes, regularly scraping down the sides.
Add the softened butter, vanilla and honey and knead for another 10 minutes (yes, that's 10 minutes). The mixture should be totally smooth and elastic but not overly sticky. Add the fruit mixture and knead until fully incorporated. If the dough is too wet add a little extra flour.
Scrape the dough down, cover the bowl loosely with plastic wrap and let it rise at room temperature until nearly tripled in size, about 3 hours.
Towards the end of this final rise preheat the oven to 350 degrees F (325 if using convection) and place the rack in the lower third of the oven.
Gently punch down the dough, form it into a ball and place it in a buttered panettone mold (7.3"" x 4.25"", click link for reference). Cover it loosely with plastic wrap and let it rise for about another 2 hours or until doubled in size. It should be risen to about 1 inch or so higher than the rim of the mold.
Once the panettone is risen, if you'd like a glossy top brush the top of the panettone with some egg wash (a lightly beaten egg).
Use a very sharp knife (I use a razor blade) and score an ""x"" across the entire top of the panettone. Place about a tablespoon chunk of butter in the center.
Bake the panettone for 40-60 minutes or until a toothpick inserted into the center comes out clean (if the top is browning too quickly place foil over it). Be careful not to over-bake or the panettone will be very dry.
Recommended: For best accuracy and to prevent under or over-baking use an instant read thermometer. The panettone is done when the internal temperature reaches between 190 and 195 degrees F.
Remove the panettone from the oven and immediately stick two wooden skewers through the bottom of it and hang it upside down inside of a large, deep pot or somewhere where it can hang as it cools. This will prevent the top of the panettone from collapsing in on itself.
Once cool, slice the panettone vertically in slices. Enjoy at room temp or toasted. See blog post for serving recommendations.
Stored tightly wrapped in plastic wrap it will keep at room temperature for a few days to up to a week. It is best eaten within 2-3 days.",25,For the Starter:,1/4 cup (60 ml) lukewarm water,1/2 teaspoon (2 g) active dry yeast,3/4 cup (100 g) all-purpose flour,1/2 teaspoon (2 g) salt,For the Fruit Mixture:,1 cup (140 g) raisins,1/4 cup candied orange peel,1/4 cup candied lemon peel,OR Homemade Candied Orange & Lemon Peel *VERY STRONGLY RECOMMENDED (using homemade makes ALL the difference in flavor! It's easy to make and you'll be SO glad you did!),zest of one lemon,2 teaspoons fresh orange zest,For the Panettone:,2 1/2 cups (350 g) all-purpose flour,3 teaspoons active dry yeast (9 g),1/2 teaspoons (2 g) salt,Daring Gourmet,https://www.daringgourmet.com/traditional-panettone-recipe/,1/2 cup (100 g) granulated sugar,"1/2 cup (130 ml) milk , at room temperature (do NOT use cold milk)","5 large egg yolks , at room temperature (do NOT use cold eggs)",prepared starter (see above),"10 tablespoons (150 g) unsalted butter , at room temperature (do NOT use cold butter)",2-3 tablespoons honey,1 tablespoon quality vanilla bean paste (recommended for best flavor but can substitute 2 teaspoons pure vanilla extract),"OR one vanilla bean, scraped",1 lightly beaten egg,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spelt Buttermilk Biscuits,Kimberly Killebrew,4.96,46,"bread, Side Dish",American,10 minutes,10 minutes,NA,20 minutes,6 biscuits,1,"Preheat the oven to 450 degrees F.
Combine the flour, baking powder, salt and sugar in a mixing bowl. Add the butter and use your hands or a pastry cutter to incorporate the butter into the flour mixture until it resembles coarse sand. Add the buttermilk and stir just until the flour and buttermilk comes together.
Turn the dough out onto a floured work surface. Knead about 10-15 times, be careful not to over-knead or the biscuits won't rise properly and will be dense. Flatten the dough into a 1-inch thick rectangle. Use a biscuit or round cookie cutter to cut biscuits out of the dough. Carefully bring the scraps together and cut biscuits out of the remaining dough.
Bake the biscuits on a non-stick or lined cookie sheet for 10-12 minutes. Enjoy while warm.
Makes six 3-inch biscuits",6,2 cups spelt flour,4 teaspoons baking powder,1/2 teaspoon salt,1 teaspoon sugar,1/4 cup cold butter cut into small cubes,1 cup buttermilk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/spelt-buttermilk-biscuits/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baked Potato Wedges,Kimberly Killebrew,5,8,"Appetizer, Side Dish, Snack",NA,10 minutes,40 minutes,30 minutes,20 minutes,NA,1,"Preheat oven to 400 F. Line a large baking sheet.
Scrub the potatoes (don't bother to peel them) and cut them into wedges. Place them in a bowl of cold water for at least 30 minutes or up to 2 hours. Drain and blot them with paper towels. 
Place potato wedges in a large bowl, drizzle with the olive oil, and toss to evenly coat them. Place the seasonings in a small bowl and stir to combine. Add to the potato wedges and Parmesan cheese (if using) and toss to evenly coat them. Place the potato wedges in a single layer on the baking sheet and bake for 35-40 minutes or until golden brown, flipping them over for the last 10 minutes or so. Serve immediately.",9,3 large Russet potatoes or about 2 pounds Yukon Gold potatoes (Russets produce the crispiest results; Yukon Golds are rich and buttery),1/4 cup olive oil,"2 teaspoons Italian seasoning (combination dried rosemary, thyme, oregano, basil, sage, parsley)",2 teaspoons garlic powder,2 teaspoons onion powder,1 1/2 teaspoons sea salt,1 1/2 teaspoons paprika,1/2 teaspoon freshly ground black pepper,1/3 cup grated Parmesan (optional),NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/baked-potato-wedges/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lebkuchengewürz (German Gingerbread Spice),Kimberly Killebrew,4.97,27,Seasonings,German,3 minutes,NA,NA,5 minutes,4 Tablespoons,1,"Combine the spices together and store in an airtight jar in a cool, dark place. Best if used within 3 months.
Note: For superior flavor results, use whole spices and toast and grind them. Simply heat a dry skillet over medium heat and toast the spices until very fragrant. Be careful not to scorch the spices or they will become bitter. Let them cool completely and then grind them to powder in a spice/coffee grinder or use a mortar and pestle.
Makes about 1/4 cup.",9,2 1/2 tablespoons ground cinnamon,2 teaspoons ground cloves,1/2 teaspoon ground allspice,1/2 teaspoon ground coriander,1/2 teaspoon ground cardamom,1/2 teaspoon ground ginger,1/2 teaspoon ground star anise,1/4 teaspoon ground mace,1/4 teaspoon ground nutmeg,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/homemade-lebkuchengewuerz-german-gingerbread-spice-blend/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Currant Jam,Kimberly Killebrew,4.95,18,condiment,British,25 minutes,30 minutes,NA,55 minutes,96 servings,2,"Place the black currants in a medium stock pot along with the water. Bring to a boil then simmer for about 10 minutes until the berries are softened. Add the sugar and lemon juice and simmer until the temperature registers 220 degrees F. (I use an instant read thermometer.)
If you're going to use the jam within a few months, pour the jam into sterilized jars and once cool store in the fridge.
For long-term storage you can use the water bath canning method: Ladle the hot jam into sterilized jars, wipe the rims of the jars and screw on the lids. Process the jars in a water bath canner (5 minutes for half pints, 10 minutes for pints and quarts). Carefully remove the jars and let them sit undisturbed for 24 hours before removing the rings and storing them in a dark cool place. 
Makes about 3 pints.",4,"4 cups fresh or frozen black currants , washed, stemmed and dried tips removed",1 1/2 cups water,4 cups cane sugar (black currants are more acidic and less sweet than other berries but you can use less sugar if preferred),2 tablespoons freshly squeezed lemon juice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/black-currant-jam/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Classic Lemon Curd,Kimberly Killebrew,5,72,condiment,english,10 minutes,20 minutes,NA,30 minutes,NA,3,"Zest the lemons. Be careful to avoid the white pith as it is very bitter. Juice the lemons.
Add the sugar and lemon zest to a food processor fitted with the steel blade and pulse until the zest is finely ground up with the sugar.
In a medium glass or stainless steel mixing bowl, cream the butter and the lemon sugar mixture until fluffy. Add the eggs, one at a time, and beat until combined. Add the lemon juice and salt and beat until combined.
Pour the mixture into a medium stainless steel saucepan and cook over low heat stirring continuously until thickened and the temperature has reached 170 F, about 20 minutes. Check the temperature using a candy thermometer.
Remove from the heat, cool completely, and store in the fridge in a glass jar with a lid. It will keep in the fridge for up to a week. It can also be frozen in a freezer-safe airtight container for up to a year (let it thaw in the fridge overnight).
Makes about 2 cups.",6,"3 large lemons , washed (organic recommended)",1 1/2 cups sugar,"1/2 cup unsalted butter , room temperature",5 large egg yolks,1/2 cup lemon juice,pinch of salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/homemade-lemon-curd/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEST Gluten Free Baked Donuts,Kimberly Killebrew,5,5,Dessert,American,10 minutes,8 minutes,NA,18 minutes,10 donuts,3,"Preheat the oven to 425 F. Lightly grease a
donut pan.
Combine the flours, starch, baking powder, baking soda, cinnamon salt and xanthan gum in a bowl.
In a separate, larger bowl, beat the butter, oil and sugars until combined, then beat in the eggs and vanilla extract. Alternate beating in half of the milk, then half of the flour mixture followed by the remaining milk and flour mixture. Beat just until combined.
Scoop the batter into the donut molds, filling them to the top.
Bake the donuts on the middle rack for 7-8 minutes until golden and a toothpick inserted into the middle comes out clean. Let the donuts remain in the pan for 2 minutes before removing them.
I like to give the donuts a very light spray of oil before I roll them in the cinnamon sugar so that better adheres to the donuts. You can do that while they're still warm or once they've cooled.",20,1 1/2 cups brown rice flour,1/4 cup white rice flour,1/2 cup potato starch,1/4 cup tapioca flour,1 1/2 teaspoons baking powder,1/4 teaspoon baking soda,2 teaspoons ground cinnamon,1/2 teaspoon salt,"1/2 teaspoon xanthan gum ,optional but improves texture & consistency","1/4 cup butter ,at room temperature","1/4 cup oil (I use avocado but you can use canola, etc)",1/2 cup sugar,1/4 cup brown sugar,2 large eggs,2 teaspoons quality pure vanilla extract,1 cup milk with 2 teaspoons white vinegar stirred in,Daring Gourmet,https://www.daringgourmet.com/gluten-free-cinnamon-sugar-donuts/,For Rolling:,1/2 cup sugar,1 tablespoons cinnamon,Some oil for lightly spraying,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Breakfast Sausage Recipe (Links or Patties),Kimberly Killebrew,4.94,31,Breakfast,American,30 minutes,NA,NA,30 minutes,60 sausages,4,"Cut the pork into 1/2 inch chunks and freeze them for about 45 minutes to get them to a temperature of 32 degrees F (0 celsius). Grind the pork through a 1/4 inch (6mm) die. Grind the meat quickly into the bowl of a stand mixer (ideally have the bowl set atop an ice bath to keep the meat cold) and then grind it all a second time. Chill the meat in the refrigerator while you assemble the spice mixture.
In a bowl combine the salt, sage, thyme, ginger, white and black pepper, garlic and nutmeg. 
Remove the ground meat from the fridge and place it on the stand mixer fitted with a paddle attachment. (If you have room in your freezer, pre-chill the mixing bowl.) Add the spice mixture and the ice water and the maple syrup if using. Mix it with the paddle for 3-4 minutes until threads begin to appear in the meat (if you take a clump of meat and pull it apart with your fingers you will see tiny threads pulling apart). Chill the mixture in the fridge while you prepare the sausage stuffer. Take a bit of the meat mixture, fry it up, taste it and adjust the seasonings if needed.
If making sausage patties: scoop some of the mixture into your hands and roll it into a ball (about the size of a golf ball or slightly bigger), then press it down into a patty. These can be layered on a cookie sheet with plastic wrap or wax paper between the layers, frozen, and then transferred to a ziplock freezer bag or container.
If making sausage links:
Thread the sausage stuffer with the prepared sheep casings, fill the sausage stuffer with the meat mixture, and fill the casings being careful to avoid air gaps while also not overstuffing the casings. Twist the sausages into links. Use a sausage pricker to prick any air bubbles out of the links. 
Cook the sausages by heating up some oil in a frying pan and frying the sausages on each side for about 3 minutes until browned and done in the middle (internal temperature of 155 degrees F). 
OR you can poach the sausages (do not boil) in lightly salted water until their internal temperature reaches 155 degrees F, then let them cool in ice water, wrap them and store in the fridge for up to a week or in the freezer for up to 2 months. ",12,10 pounds boneless pork butt/shoulder (this cut is recommended for the right ratio of lean meat to fat) (can substitute 10 pounds of ground pork if you don't want to grind your own),"3/4 cup chopped fresh sage , or 1/4 cup dried rubbed/ground sage","1/4 cup chopped fresh thyme , or 2 tablespoons dried",5 tablespoons sea salt,2 1/2 tablespoons ground ginger,1 1/2 tablespoons freshly ground white pepper,1 1/2 tablespoons freshly ground black pepper,2 1/2 tablespoons minced fresh garlic,1 tablespoon ground nutmeg,3/4 cup pure maple syrup (optional),2 cups ice water,"Natural sheep casings (3/4 inch/20 mm, about 30 feet), soaked and thoroughly rinsed",NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/homemade-breakfast-sausage-links-or-patties/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pastéis de Nata (Portuguese Custard Tarts),Kimberly Killebrew,4.99,50,Dessert,Portuguese,NA,15 minutes,NA,15 minutes,NA,3,"Make the Custard:
Place the water, sugar, cinnamon and lemon rind in a medium saucepan and bring it to a boil. Reduce the heat to medium and let it simmer – without stirring – until it reachers 220 degrees F on an instant read thermometer.
Remove from the heat and let it cool for at least 15 minutes while you prepare the rest of the ingredients.
In a separate medium saucepan scald the milk (heat until up to the boiling point but don't let it boil). Turn off the heat and add the flour and salt to the hot milk and whisk constantly until the mixture is nice and thick. Add the egg yolks and whisk until combined. Whisk in the vanilla extract.
Remove the cinnamon and lemon rind from the syrup. In a thin, steady stream pour the syrup into the egg/flour mixture, whisking constantly. The custard will be very thin, this is normal.
Pour the custard through a fine mesh sieve to strain out any chunky bits.
Cover the bowl with plastic wrap and set aside until ready to use. You can make this in advance and refrigerate for up to 3 days.
Prepare the Pastry Dough:
On a lightly floured work surface, roll the pastry dough out to roughly a 11×14 inch rectangle. Beginning at the short end, roll up the pastry dough, rolling it tightly as you go along. Wrap the pastry roll in plastic wrap and refrigerate for at least 2 hours. 
Assemble the Tarts:
Preheat the oven to the highest temperature it will go (I heated mine to 525 degrees F). 
Use a pastry cutter or sharp knife to cut the pastry log into about 3/4 inch thick rounds. (Cut a thin layer off each end and discard.)
Use a standard size nonstick muffin pan. Depending on how full you fill the tarts this recipe makes about 16 tarts so you may need a second muffin pan.
Place a pastry round in each tin. Use your thumbs to press the pastry down and up the sides to the very top to fit the mold. 
Pour the prepared custard into each pastry case to about 3/4 of the way full. Don't fill them too full or the custard will overflow onto the rims of the tart crusts. 
Place the pan on the middle rack of the preheated oven.
Depending on the max temperature of your oven, bake for about 14-16 minutes (my oven was set to 525 degrees F). You'll know the tarts are done when the tops are nicely scorched and the filling is set. 
Remove from the oven and let the tarts cool for about 8-10 minutes before removing them. 
Serve with a dusting of powdered sugar and a small pinch of cinnamon if desired. 
These pastries are best eaten warm the same day they are baked.",11,"1 pound puff pastry , click link for easy homemade rough puff pastry recipe",For the Custard:,2/3 cup water,1 1/4 cup granulated sugar,1 large cinnamon stick,"rind of one large lemon , cut into wide strips",1 1/4 cup whole milk,1/4 cup all-purpose flour,1/4 teaspoon salt,6 large egg yolks,1 teaspoon quality pure vanilla extract,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/pasteis-de-nata-portuguese-custard-tarts/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roasted Spiralized Beets with Honey Mustard Vinaigrette,Kimberly Killebrew,5,15,"Salad, Side Dish",American,10 minutes,10 minutes,NA,10 minutes,4 servings,2,"Preheat the oven to 400 degrees F.
Make the vinaigrette: Place the ingredients in a small bowl and whisk until emulsified.
Slice the beets using a spiralizer. We use and recommend the Paderno World Spiralizer.
Spread the beets out on a lined cookie sheet. Drizzle with a little olive oil and sprinkle with the salt and pepper. Roast the beets for 10-13 minutes or until the beets are soft.
Place the beets in a large bowl and pour over the vinaigrette. Stir to evenly coat the beets. Serve immediately while warm or serve at room temperature.",7,"2 large beets , washed and peeled (peeling is optional; it looks nicer peeled but the peel also has a lot of nutrition)",1/2 teaspoon sea salt,1/4 teaspoon freshly ground black pepper,3 tablespoons extra virgin olive oil,2 tablespoons dark balsamic vinegar,2-3 teaspoons honey,1 teaspoon Dijon mustard,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/roasted-spiralized-beets-with-honey-mustard-vinaigrette/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roasted Brussels Sprouts with Balsamic Reduction,Kimberly Killebrew,5,4,Side Dish,NA,10 minutes,20 minutes,NA,30 minutes,NA,3,"Preheat the oven to 400ºF.
Place the Brussels sprouts in a bowl, drizzle with the olive oil and add some salt and pepper, and toss to evenly coat. Place the Brussels sprouts in a single layer on a non-stick or lined baking sheet. Place on the top oven rack and roast for 16-20 minutes or until nicely browned.
Make the Balsamic Reduction:
While the Brussels sprouts are roasting, prepare the balsamic vinegar reduction. Place the vinegar in a very small saucepan and bring it to a boil. Reduce the heat to medium-low and simmer, uncovered, for 15 minutes or until thickened and lightly coats a spoon.
Arrange the roasted Brussels sprouts on a warmed serving platter, drizzle with the balsamic vinegar and serve immediately.",4,"1 1/2 pounds fresh Brussels sprouts , outer leaves removed, bottom stems trimmed, cut in half",3 tablespoons extra virgin olive oil,Salt and freshly ground black pepper,1/3 cup good quality aged balsamic vinegar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/roasted-brussels-sprouts-with-balsamic-reduction/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italian Wedding Soup,Kimberly Killebrew,4.99,134,Soup,"American, Italian",20 minutes,20 minutes,NA,40 minutes,6 servings,4,"Place all of the meatball ingredients in a bowl or food processor and knead with your hands or pulse with the food processor until thoroughly combined. Form the mixture into tiny meatballs, about 1/2 inch in diameter and place them on a platter or cookie sheet. Wrap them with plastic wrap and refrigerate them until ready to use.
In a medium stock pot, heat the oil and cook the onions and garlic until translucent, 4-5 minutes. Add the chicken stock and bring it to a boil. Gently drop the meatballs into the soup followed by the pasta. Let the meatballs and pasta simmer for about 10 minutes. Add the leafy greens and simmer for 3-4 minutes or until wilted. Add salt and pepper to taste.
Dish up the soup and serve sprinkled with freshly grated Parmesan cheese and some red pepper flakes for a bit of heat.
Optional (a tradition in some circles): At very end, once the greens are wilted, whisk 1 tablespoon of grated parmesan cheese together with 1 large egg. Stir the broth to get it moving and gradually drizzle the egg mixture into the broth, stirring it gently with a fork to form thin stands of egg.",17,For the Meatballs:,"1 pound ground meat beef, pork, chicken or turkey or a combination of them combined with some sausage",1/4 cup plain breadcrumbs preferably fresh,1 large egg,1 clove garlic finely minced,1/4 cup parsley finely chopped,1/4 cup grated Parmesan,1 teaspoon salt,1/2 teaspoon freshly ground black pepper,For the Soup:,1 small yellow onion finely chopped,1 clove garlic minced,8 cups quality chicken broth (I use and love ANETO),1 cup acini di pepe or other tiny pasta,"1 large bunch leafy greens roughly chopped (e.g., kale, escarole, curly endive, spinach)",Freshly grated Parmesan for serving,Daring Gourmet,https://www.daringgourmet.com/italian-wedding-soup/,Red pepper flakes for serving optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candied Orange Peel,Kimberly Killebrew,4.96,282,"Candy, condiment, Ingredient",All,20 minutes,45 minutes,NA,5 minutes,NA,4,"Slice both ends of the citrus fruits. Cut the peel on each each into 4 or more vertical segments, depending on the size of the fruit. Peel off each segment of rind. (You can remove a little of the white pith, though not necessary. The pith is bitter but the blanching process below will help reduce the bitterness. Note that if you remove the white pith, the thinner the peels are the harder and more leathery they will be when they’re candied.) Slice the peels into 1/4 inch wide strips. (Keep the peeled citrus for eating, cooking, juicing, etc)
Boil the peels in a pot of water for 15 minutes. Drain the peels in a colander, rinse and then drain again. Discard the water from the pot.
Repeat this process one or two more times to reduce the bitter flavor.
Add the 1 cup of fresh water and the sugar to the pot and bring it to a boil. Boil it for a couple of minutes until the sugar is dissolved. Add the citrus peels, reduce the heat to low and simmer for 45-60 minutes, stirring occasionally, until the peels become translucent and the syrup becomes lightly syrupy (on a candy thermometer this will be be approximately soft ball stage or 235-240 F).
Use a slotted spoon to remove a few of the peels at a time and let the excess syrup drip off for a few seconds. Place the hot, wet peels in a bowl of sugar or a ziplock bag with sugar in it and toss/shake to coat.
Spread the candied citrus peels out on a wire rack to cool and dry completely, 1-2 days. *Note: Tossing them in sugar and letting them dry is only necessary if you're storing them at room temp for an extended period of time. They can be used immediately in any recipe that calls for them. And any leftovers can be put in a freezer bag/container and frozen as is until the next time you need them.
Stored in an airtight container in a cool, dry place, the candied citrus peel will keep for at least a month. They'll keep even longer in the fridge and can be frozen for several months.
Yields roughly 8 ounces of candied citrus peel depending on peel thickness.",4,"3 large oranges (can also use the equivalent of lemons, grapefruits, limes, or citrus of your choice, thoroughly washed and scrubbed; organic is recommended)",2 cups granulated sugar,1 cup water,Fine granulated sugar for coating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/how-to-make-candied-orange-and-lemon-peel/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweet Pepper and Onion Relish (Harry and David Copycat),Kimberly Killebrew,4.98,73,"condiment, dip, glaze",NA,45 minutes,30 minutes,20 minutes,35 minutes,NA,2,"Place all the ingredients, except for the pectin, in a large stock pot. Bring the mixture to a boil, reduce the heat to low, and simmer for 1 1/2 hours, uncovered, stirring occasionally. Add more cayenne to taste if desired. Add the pectin and quickly bring to a boil for 1 minute. ***See NOTE below.
Remove from heat and ladle the hot mixture into hot, sterilized canning jars, leaving 1/2 inch headspace.
Process the jars in a water bath canner with the water at least three inches above the jars, for 20 minutes. Remove the jars and let them sit undisturbed for 24 hours. Store in a dark, cool place. This relish will keep for up to a year.
Makes about 6 pints or 12 half pint jars.",10,"6 cups skinned, seeded and diced tomatoes , first blanch the tomatoes in boiling water for 30 seconds for easy peeling (a few readers have reported success using the equivalent of canned tomatoes; drain first)",6 cups seeded and diced red bell peppers,4 cups diced yellow onion,"4 jalapenos , seeded and diced",2 cups white vinegar,1 1/2 cups cider vinegar,5 cups granulated sugar,2 tablespoons salt,1 tablespoon cayenne,"6 tablespoons Ball Classic Realfruit Pectin , or equivalent (I have only used and tested this recipe with the Ball product)",NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/sweet-pepper-onion-relish-copycat-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
How to Freeze Leeks,Kimberly Killebrew,5,4,Ingredient,NA,10 minutes,1 minute,NA,11 minutes,NA,3,"Rinse off the leeks and trim the ends with the roots. Trim the top few inches of green leaves and remove any yellowed or less than fresh leaves. Slice or dice the leeks and transfer them to a colander. Rinse the leeks very thoroughly (they collect a lot of dirt inside of them). Let them drain well.
Boil water in a pot and dump the drained leeks in to it. Wait for the water to return to a boil and count for 30seconds. Immediately dump the blanched leeks into a colander and thoroughly rinse with cold water. Let the leeks drain well.
Optional: To flash freeze, lay the drained leeks out on a cookie sheet and freeze them for a few hours and then transfer them to a freezer bag or container. (Flash freezing keeps the leeks separated so they’re easier to remove from the freezer bag but it isn't necessary.)
Place the drained leeks in ziplock freezer bags, laying then flat and squeezing out as much air as possible. Label the bags and place them flat in the freezer where they will keep for up to 10 months. To use, remove however much you need from the bag (if you skipped the flash freezing step you may need to whack the bag against the counter to break up the leek.) They can be added directly to soups or, if using in something like an omelet, let them thaw and drain first.",2,fresh leeks,water for boiling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/how-to-freeze-leeks/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
