title,author,rating,ratingnum,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,source,link,category,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30
Peanut Butter Blossoms,Jamie,4.50,271,30 minutes,12 minutes,NA,42 minutes,NA,5,"Preheat oven to 375 degrees F. Line two baking sheets with parchment paper.
In a large bowl, cream together shortening, peanut butter, brown sugar, and 1 cup granulated sugar until smooth. Add in the eggs one at a time, beating until fully incorporated. Mix in milk and vanilla.
In a large bowl, combine flour, baking soda, and salt. Gradually add to the peanut butter mixture until well blended.
Shape tablespoonfuls of dough into balls, and roll in remaining granulated sugar. Place cookies 2 inches apart on the prepared baking sheets.
Bake in preheated oven for 10 to 12 minutes. Remove from oven, and immediately press a chocolate kiss into each cookie. Allow to cool completely; the kiss will harden as it cools.",11,▢ 1 cup shortening,▢ 1 cup peanut butter,▢ 1 cup packed brown sugar,▢ 1 cup granulated sugar plus 1/2 cup for rolling,▢ 2 eggs,▢ ¼ cup milk,▢ 2 teaspoons pure vanilla extract,▢ 3 ½ cups all-purpose flour,▢ 2 teaspoons baking soda,▢ 1 teaspoon fine sea salt,My Baking Addiction,https://www.mybakingaddiction.com/peanut-butter-blossoms/,Cookies,"▢ 18 ounces milk chocolate candy kisses, unwrapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange Cranberry Cookies,Jamie,4.46,11,20 minutes,12 minutes,NA,32 minutes,36 cookies,13,"In a medium bowl, whisk together the flour, baking soda and salt; set aside.
In a large bowl with an electric mixer, cream the butter on medium-high speed for 2-3 minutes.
In a medium bowl, combine sugars and orange zest, mixing with your fingertips or a whisk until incorporated. Add the sugar mixture to the butter and beat for an additional 2-3 minutes; the mixture will become light and fluffy.
Beat in the egg, vanilla and orange juice and mix until combined. 
Add the dry ingredients slowly, in increments, mixing well after each addition.
Carefully fold in the fresh, chopped cranberries by hand.
Cover and refrigerate dough for 1 hour.
Preheat the oven to 375°F. Line baking sheets with parchment paper.
Using a medium cookie scoop, (about 1 1/2 tablespoons) drop dough onto prepared cookie sheets at least two inches apart.
Bake for 12 to 14 minutes. Allow cookies to cool on the pan for about 3 minutes before removing them to a wire rack to cool completely.
Once the cookies have cooled, prepare the glaze. In a small bowl, whisk together the orange juice and confectioners' sugar until smooth.
Spread or drizzle the glaze over the tops of cooled cookies. Let stand until set.
If you prefer a thicker glaze, add in a little more confectioners’ sugar until you reach the desired consistency. ",13,▢ 2 ½ cups all-purpose flour,▢ ½ teaspoon baking soda,▢ ½ teaspoon salt,▢ 1 cup unsalted butter room temperature,▢ 1 cup granulated sugar,▢ ½ cup light brown sugar packed,▢ orange zest from one large orange,▢ 1 large egg,▢ 1 teaspoon pure vanilla extract,▢ 2 tablespoons orange juice,My Baking Addiction,https://www.mybakingaddiction.com/orange-cranberry-cookies/,Cookies,▢ 1 ½ cups whole fresh cranberries chopped,▢ 3 tablespoons orange juice,▢ 1 ½ cups powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frosted Ginger Cookies,Jamie,4.53,19,20 minutes,10 minutes,Chill Time: 2 hours hrs,30 minutes,24 cookies,11,"In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl with an electric mixer, combine melted butter, brown sugar, and egg until smooth. Mix in molasses and vanilla extract.
In a medium bowl, whisk together the flour, baking soda, salt, cinnamon and ginger. Gradually add dry ingredients to the wet ingredients and mix until combined. Cover and chill dough for about 2 hours.
Preheat oven to 375°F and line baking sheets with parchment paper. Using a medium cookie scoop (about 1 1/2 tablespoons), scoop dough and roll into balls. Roll dough balls into sugar and place them onto prepared cookie sheets, about 2 inches apart.
Bake in preheated oven for 10-12 minutes. Allow cookies to cool on baking sheets for 5 minutes before removing them to a wire rack to cool completely.
Once the cookies have cooled completely, prepare the frosting.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl with an electric mixer, beat butter on medium-high speed for about 5 minutes.
With the mixer on low speed, slowly add in powdered sugar, and continue beating until well blended.
Add in vanilla, and 2 teaspoons of milk. Mix on low speed until incorporated.
Beat at high speed until frosting is smooth and fluffy; about 4-5 more minutes. If your frosting is too thick, gradually add a little more milk, 1 teaspoon at a time until you reach the desired consistency.
Spread or pipe frosting onto cookies and sprinkle with sparkling coarse sugar.
Store cookies within an airtight container within the refrigerator for up to 3 days. Bring to room temperature before serving. ",16,▢ ¾ cup Challenge Unsalted Butter melted,▢ 1 cup packed light brown sugar,▢ 1 large egg room temperature,▢ ¼ cup unsulphured molasses,▢ 1 teaspoon pure vanilla extract,▢ 2 cups all-purpose flour,▢ 2 teaspoons baking soda,▢ ½ teaspoon salt,▢ 2 teaspoons ground cinnamon,▢ 1 tablespoon ground ginger,My Baking Addiction,https://www.mybakingaddiction.com/frosted-ginger-cookies/,Cookies,▢ ⅓ cup granulated sugar for rolling cookies before baking,▢ ½ cup Challenge Unsalted Butter room temperature,▢ 1 ½ cups powdered sugar sifted,▢ 1 teaspoons pure vanilla extract,▢ 2-3 teaspoons milk,▢ coarse sugar for sprinkling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Oatmeal Cookies,Jamie Lothridge,4.32,25,20 minutes,12 minutes,NA,32 minutes,5 dozen cookies,5,"Preheat oven to 350°F. Line baking sheets with a silicone mat or parchment paper.
Combine flour, oats, baking soda, cinnamon, pumpkin pie spice and salt in a medium bowl. Beat butter, brown sugar and granulated sugar in a large mixer bowl until light and fluffy.
Add pumpkin, egg and vanilla extract; mix well. Add flour mixture; combine until all ingredients are incorporated. Fold in white chocolate chips and dried cranberries.
Drop by rounded tablespoons onto prepared baking sheets.
Bake for 12-14 minutes or until cookies are lightly browned. Cool on baking sheets for 2 minutes; remove to wire racks to cool completely.",14,▢ 2 cups all purpose flour,▢ 1 ½ cups old-fashioned oats,▢ 1 teaspoon baking soda,▢ 1 ½ teaspoon ground cinnamon,▢ 1 teaspoon pumpkin pie spice,▢ ½ teaspoon kosher salt,"▢ 1 cup butter (2 sticks), softened",▢ 1 cup packed light brown sugar,▢ 1 cup granulated sugar,▢ 1 cup pure pumpkin puree,My Baking Addiction,https://www.mybakingaddiction.com/pumpkin-oatmeal-cookies/,Desserts,▢ 1 large egg,▢ 1 teaspoon vanilla extract,▢ 1 cup white chocolate chips,▢ 1 cup dried cranberries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apple Peanut Butter Cookies,Jamie Lothridge,4.50,6,20 minutes,10 minutes,NA,30 minutes,NA,3,"Preheat oven to 375°F. Line a baking sheet with parchment paper.
In a large bowl with an electric mixer, cream the butter, peanut butter and sugars until light and fluffy, about 3 minutes. Beat in egg and vanilla. In a medium bowl, combine flour, baking soda, salt and apple pie spice. Gradually add the dry ingredients to the creamed mixture, mixing until combined. Stir in grated apple.
Drop by rounded tablespoonfuls 2 inches apart onto the prepared baking sheet. Bake in preheated oven for 10-12 minutes or until golden brown. Cool for 5 minutes before removing to wire racks.",11,▢ ½ cup unsalted butter softened,▢ ½ cup creamy peanut butter,▢ ½ cup granulated sugar,▢ ½ cup packed light brown sugar,▢ 1 large egg,▢ ½ teaspoon pure vanilla extract,▢ 1 ½ cups all-purpose flour,▢ ½ teaspoon baking soda,▢ ½ teaspoon salt,▢ ½ teaspoon homemade apple pie spice,My Baking Addiction,https://www.mybakingaddiction.com/apple-peanut-butter-cookies/,Cookies,▢ ½ cup grated peeled apple lightly squeezed to remove excess moisture (about 1 large apple),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zucchini Cookies,Jamie Lothridge,4.41,20,20 minutes,10 minutes,NA,30 minutes,24 -30 cookies,6,"Preheat oven to 375°F. Spray a whoopie pie pan with nonstick cooking spray or line a regular baking sheet with parchment paper.
In the bowl of a stand mixer fitted with the paddle attachment or with a hand mixer, beat the butter and sugar until light and fluffy, about 2 minutes. Beat in egg, zucchini and lemon zest and vanilla.
In a medium bowl mix together the flour, baking soda, baking powder, cinnamon and salt. Stir flour mixture into wet ingredients until just combined. Fold in raisins.
Use a medium cookie scoop (1 ½ tablespoons) to drop dough into the center of each whoopee pie well or simply drop them directly onto the prepared cookie sheet. If you are using a cookie sheet, be sure to leave a few inches between each cookie.
Bake in preheated oven for 8-10 minutes or until lightly browned. Remove to wire racks to cool.
Make the glaze by mixing together the confectioners’ sugar, lemon juice and vanilla extract. Drizzle the glaze over cooled cookies.",15,▢ ½ cup unsalted butter room temperature,▢ 1 cup sugar,▢ 1 egg,▢ 1 cup finely shredded zucchini,▢ 1 teaspoon finely grated lemon zest,▢ 1 teaspoon pure vanilla extract,▢ 2 cups all-purpose flour,▢ 1 teaspoon baking soda,▢ 1 teaspoon baking powder,▢ 1 teaspoon ground cinnamon,My Baking Addiction,https://www.mybakingaddiction.com/zucchini-cookies-recipe/,Cookies,▢ ½ teaspoon kosher salt,▢ ½ cup raisins,▢ 1 cup confectioners’ sugar sifted,▢ 2 tablespoons lemon juice,▢ ¼ teaspoon pure vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Blondies,Jamie Lothridge,4.50,211,10 minutes,35 minutes,NA,45 minutes,9 -12 blondies,4,"Preheat oven to 350°F. Line a 9×9-inch baking pan with foil or parchment and spray with non-stick cooking spray.
In a medium bowl, whisk together flour, baking powder, and salt.
In a large bowl, whisk together the butter and brown sugar. Add eggs and vanilla, mixing until well combined. Gradually add in dry ingredients and mix until just combined. Stir in chocolate chips.
Spread the batter into the prepared pan. Bake in preheated oven until a toothpick inserted in the center comes out clean, about 35 to 38 minutes. If desired, top immediately with a little flakey sea salt. Remove pan to wire rack and cool completely before cutting.",9,▢ 2 cups all-purpose flour,▢ ½ teaspoon baking powder,▢ 1 teaspoon kosher salt,▢ ⅔ cup unsalted butter melted and cooled,▢ 1 ¾ cups packed light brown sugar,▢ 2 large eggs,▢ 2 teaspoons pure vanilla extract,▢ 1 ½ cups semisweet chocolate chips,▢ flakey sea salt optional,NA,My Baking Addiction,https://www.mybakingaddiction.com/chocolate-chip-blondies-recipe/,Chocolate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chewy Lemon Sugar Cookies,Jamie,4.39,239,15 minutes,10 minutes,NA,25 minutes,24 cookies,8,"Preheat oven to 350 degrees F. Line cookie sheets with parchment paper.
In a small bowl, stir together flour, baking soda, baking powder and salt. Set aside.
Using a mixer, beat together the butter and sugar until smooth and very fluffy.
Beat in egg, vanilla extract, lemon juice and lemon zest.
Gradually blend in the dry ingredients.
Roll rounded teaspoonfuls of dough into balls, and roll in sugar. Place on lined cookie sheets about 1 1/2 inches apart.
Bake 8 to 10 minutes in the preheated oven, or until lightly browned.
Let stand on cookie sheet two minutes before removing to cool on wire racks.",11,▢ 2 ¾ cups all-purpose flour,▢ 1 teaspoon baking soda,▢ ½ teaspoon baking powder,▢ ½ teaspoon salt,▢ 1 cup unsalted butter softened,▢ 1 ½ cups granulated sugar,▢ 1 egg,▢ ½ teaspoon pure vanilla extract,▢ Zest of one large lemon finely grated or minced,▢ 4 tbsp fresh lemon juice,My Baking Addiction,https://www.mybakingaddiction.com/chewy-lemon-sugar-cookies/,Desserts,▢ ½ cup sugar for rolling cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Butter Chocolate Chip Cookies,Jamie,4.59,46,20 minutes,12 minutes,Additional Time: 2 hours hrs,32 minutes,24 cookies,8,"Cook butter in a medium saucepan over medium heat, stirring often, until it foams up and then browns. This should take about 6–8 minutes. Don’t take your eyes off it because no one wants burnt butter bits in their cookies. Remove the pan from the heat and allow it to cool for 15 minutes.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl with an electric mixer or wooden spoon (yes, you can mix this dough by hand) combine the sugars, salt and cooled brown butter. Mix until smooth.
Add in the eggs and vanilla and mix until combined.
Stir together the flour and baking soda and gradually add it to the butter mixture. Mix until it just comes together, but don’t overmix. Fold in the chocolate of your choice. The chocolate chips may not seem to adhere to batter very well due to the melted butter, so I like to place the dough into a gallon zip-top bag and kind of roll the dough into a log to push the chips into the dough while it chills.
Refrigerate for at least 2 hours. I typically shoot for overnight, but you can go as long as 24 hours.
When you’re ready to bake, preheat the oven to 350°F and line a couple of baking sheets with parchment paper. 
Let the dough sit out at room temperature while the oven preheats. It will be quite hard until it sits out for a bit. Use a medium cookie scoop to portion the dough onto the prepared baking sheets. You should end up with right around 24 cookies.
Bake cookies in preheated oven for 12-13 minutes, or until the edges barely start to brown. The centers will appear undercooked, this is what you’re looking for. At this point, you can press some additional chips or chunks into the tops of the cookies and give them each a light sprinkling of flaky sea salt – both of these steps are completely optional, but totally delicious. Allow the cookies to cool on the baking sheet placed on a wire cooling rack. ",10,▢ 1 cup unsalted butter,▢ 1 cup granulated sugar,▢ 1 ½ cups packed light brown sugar,▢ 1 ½ teaspoons kosher salt,▢ 2 large eggs room temperature,▢ 1 ½ teaspoons pure vanilla extract,▢ 2 ½ cups all-purpose flour,▢ 1 teaspoon baking soda,▢ 11 ounces chocolate chunks or chips*,▢ flaky sea salt,My Baking Addiction,https://www.mybakingaddiction.com/brown-butter-chocolate-chip-cookies/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Pudding Cookies,Jamie,4.65,14,15 minutes,12 minutes,NA,27 minutes,66 cookies,7,"Preheat oven to 350°F. Line baking sheets with parchment paper.
In a large bowl, whisk together the flour, baking soda and salt. Set aside.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl with an electric mixer, cream butter and sugars on medium speed for 3 minutes. Add in dry pudding mix, eggs and vanilla and mix until incorporated.
Gradually add dry ingredients to the butter mixture and mix until just combined. Stir in chocolate chips.
Using a medium cookie scoop (about 1.5 tablespoons), scoop cookie dough balls onto prepared baking sheets at least 2 inches apart.
Bake in preheated oven for 10-12 minutes.
Allow cookies to cool on pan for about 3 minutes before carefully removing them to a wire rack to cool completely.",10,▢ 4 ½ cups All-Purpose Flour,▢ 2 teaspoons Baking Soda,▢ ½ teaspoon Salt,▢ 2 cups Butter Softened,▢ 1 ½ cups Brown Sugar Packed,▢ ½ cup Granulated Sugar,▢ 1 package Instant vanilla pudding mix 5.1 ounces,▢ 4 large Eggs,▢ 2 teaspoons Pure Vanilla Extract,▢ 4 cups Semisweet Chocolate Chips,My Baking Addiction,https://www.mybakingaddiction.com/chocolate-chip-pudding-cookies/,Chocolate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biscoff Sandwich Cookies,Jamie Lothridge,4.52,25,25 minutes,10 minutes,NA,35 minutes,12 cookie sandwiches,5,"Preheat oven to 350°F. Line cookie sheets with parchment paper.
In the bowl of a stand mixer fitted with the paddle attachment or in a large bowl with an electric mixer, cream together 1/2 cup butter, 1/2 cup Biscoff spread until light and fluffy – about 2 minutes. Gradually add in sugar, brown sugar, and vanilla, mixing until well combined. Add egg and beat well.
In another bowl, combine flour, baking soda, baking powder, and salt. Add dry ingredients to the creamed mixture. Stir. Add oatmeal, mixing until well combined.
Use a medium cookie scoop and drop dough onto prepared baking sheet. Bake in preheated oven for 10 minutes, or until cookies are a light brown. Allow cookies to cool on pan for 5 minutes before moving them to a wire rack to cool completely.
To Make Filling: Cream together 3 tablespoons butter 1/2 cup Biscoff spread. Gradually add in confectioners’ sugar, mixing until creamy and thoroughly combined. Add in cream and beat for 1 minute. Spread filling onto half of the cooled cookies, then top with the other half to form sandwiches.",15,▢ ½ cup unsalted butter softened,▢ ½ cup creamy Biscoff spread cookie butter,▢ ½ cup sugar,▢ ½ cup packed light brown sugar,▢ 1 large egg,▢ 1 teaspoon pure vanilla extract,▢ 1 cup all-purpose flour,▢ ½ teaspoon baking soda,▢ ¼ teaspoon baking powder,▢ ½ teaspoon salt,My Baking Addiction,https://www.mybakingaddiction.com/biscoff-cookies/,Cookies,▢ 1 cup quick cooking oats,▢ 3 tablespoons unsalted butter softened,▢ 1 cup confectioners’ sugar,▢ ½ cup creamy Biscoff spread cookie butter,▢ 2 ½ tablespoons heavy whipping cream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gooey Butter Cookies,Jamie,4.35,61,10 minutes,12 minutes,Chill Time: 1 hour hr,22 minutes,24 cookies,8,"In a medium bowl, with an electric mixer, cream together the cream cheese and butter until thoroughly combined.
Beat in the egg and vanilla until incorporated.
Add cake mix, and mix until thoroughly incorporated.
Cover dough and refrigerate for one hour.
Preheat oven to 350°F and line a baking sheet with parchment paper.
Portion the dough into 1-inch cookie balls and roll the balls in the powdered sugar. Place cookie dough balls on prepared cookie sheet, at least 2 inches apart.
Bake in preheated oven for 9-12 minutes. Allow cookies to cool on the pan before removing them to a wire rack.
If desired, sprinkle cooled cookies with additional powdered sugar before serving.",6,▢ 8 ounces Cream Cheese room temperature,▢ ½ cup Unsalted Butter room temperature,▢ 1 large Egg room temperature,▢ 1 teaspoon Pure Vanilla Extract,▢ 1 box Yellow Cake Mix 15.25 ounces,▢ ¼ cup Powdered Sugar,NA,NA,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/gooey-butter-cookies/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambrosia Cookies,Jamie,5,1,20 minutes,10 minutes,NA,30 minutes,NA,4,"Preheat oven to 375° F. Line baking sheets with parchment paper; set aside.
In a large bowl with an electric mixer or in the bowl of of a stand mixer fitted with the paddle attachment, cream the butter; gradually add the sugars, beating well. Add eggs and vanilla, beating well.
In a medium bowl, combine flour, baking powder, baking soda, salt, coconut, oats, pecans, raisins or dates, lemon zest and orange zest. Mix well. Stir into the butter mixture.
Use a medium cookie scoop to drop the dough onto the prepared baking sheets 2 inches apart. Bake for 10-12 minutes. Remove to wire racks to cool.",15,▢ 1 cup unsalted butter softened,▢ 1 cup granulated sugar,▢ 1 cup firmly packed light brown sugar,▢ 2 eggs,▢ 1 teaspoon pure vanilla extract,▢ 2 cups flour,▢ 1 teaspoon baking powder,▢ ½ teaspoon baking soda,▢ ¼ teaspoon salt,▢ 1 cup sweetened flaked coconut,My Baking Addiction,https://www.mybakingaddiction.com/ambrosia-cookies/,Cookies,▢ 1 ½ cups rolled oats,▢ 1 cup chopped pecans,▢ 2 cups golden raisins or chopped dates I prefer dates,▢ 1 tablespoon grated lemon zest,▢ 1 teaspoon grated orange zest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coconut Macaroons,Jamie,4.37,74,20 minutes,20 minutes,NA,40 minutes,NA,4,"Preheat oven to 325 degrees F. Line a baking sheets with parchment. Set aside.
In a large bowl, mix together the coconut, sugar, flour and salt. Stir in the egg whites and almond extract; mix well. Stir in the almonds; mix well.
Use a medium cookie scoop to drop the mixture onto the prepared baking sheets. Bake for 20-25 minutes or until the outsides are dry and the edges are golden brown. 
Remove from baking sheets immediately. Let cool and serve.",7,▢ 2 ⅔ cups sweetened flaked coconut,▢ ⅔ cup sugar,▢ ¼ cup flour,▢ ½ teaspoon salt,▢ 4 egg whites,▢ ¼ to ½ teaspoon almond extract see note,▢ 1 cup sliced or slivered almonds,NA,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/coconut-macaroons/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cornflake Cookies,Jamie,4.40,148,20 minutes,12 minutes,NA,32 minutes,NA,4,"Preheat oven to 350° F. Line baking sheets with parchment; set aside.
In a large mixing bowl with an electric mixer or in the bowl of a stand mixer fitted with the paddle attachment, cream butter; add the sugars, beating well. Add egg and vanilla; beat well.
In a medium bowl, combine the flour, baking powder, baking soda, and salt. Add to the butter mixture, beating well. Stir in the oats, cornflakes, coconut, and pecans. 
Use a cookie scoop to drop the dough onto the prepared baking sheets 2 inches apart. Bake for 10-12 minutes. Remove to wire racks to cool completely.",13,▢ ½ cup unsalted butter softened,▢ ½ cup sugar,▢ ½ cup firmly packed light brown sugar,▢ 1 egg,▢ ½ teaspoon pure vanilla extract,▢ 1 cup flour,▢ ½ teaspoon baking powder,▢ ½ teaspoon baking soda,▢ ¼ teaspoon salt,▢ 1 cup rolled oats,My Baking Addiction,https://www.mybakingaddiction.com/cornflake-cookies/,Cookies,▢ 1 cup cornflakes,▢ ½ cup sweetened flaked coconut,▢ ½ cup coarsely chopped pecans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turtle Cookie Balls,Jamie,4.43,133,30 minutes,NA,NA,30 minutes,NA,4,"Mix first 3 ingredients until blended.
Shape into 42 (1-inch) balls. Freeze for 10 minutes.
Dip balls in melted chocolate and place in a single layer in a shallow waxed paper-lined pan.
Sprinkle with nuts. Refrigerate 1 hour or until firm.",5,▢ 8 ounces cream cheese softened,▢ 70 vanilla wafer cookies finely crushed (about 2-1/3 cups),▢ 3 tablespoons caramel ice cream topping,"▢ 16 ounces semi-sweet baking chocolate broken into pieces, melted",▢ ¼ cup chopped pecans,NA,NA,NA,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/turtle-cookie-balls/,Candy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snowflake Sugar Cookies,Jamie,4.29,7,45 minutes,45 minutes,NA,30 minutes,36 cookies,10,"Preheat oven to 375°F. Line cookie sheets with parchment paper. Set aside.
In the bowl of a stand mixer, cream the butter and sugar together until light and fluffy. Add in the eggs and vanilla and beat until combined.
Slowly add the flour and salt, stirring just until combined. Turn dough out onto a lightly floured work surface and use your hands to form into a disk. Roll the dough to 1/8 to 1/4-inch thick and cut with lightly floured snowflake-shaped cookie cutters. Place cookies on the prepared baking sheets.
Bake cookies for 10-12 minutes, or just until the edges barely start to turn golden. Remove from the baking sheets to a rack to cool before frosting.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large mixing bowl with an electric mixer, cream butter on medium-high speed for about 6 minutes. With the mixer on low speed, slowly add in confectioners’ sugar, and continue beating until well blended.
Add in vanilla and 2 tablespoons of heavy cream or milk. Mix on low speed until moistened.
Add up to an additional tablespoon of heavy cream or milk until you reach the desired consistency. Beat at high speed until frosting is smooth and fluffy; about 5 more minutes.
Divide the frosting into several piping bags fitted with different decorating tips.
Use the different tips to dot frosting onto the cookies.
Sprinkle with white decorating sugar, if desired.",11,▢ 1 cup Challenge unsalted butter softened,▢ 1 ¼ cup granulated sugar,▢ 2 large eggs,▢ 1 teaspoon pure vanilla extract,▢ 3 ½ cups flour,▢ Pinch of salt,▢ 1 ½ cups Challenge unsalted butter room temperature,▢ 5 cups confectioners’ sugar sifted,▢ 1 ½ teaspoons pure vanilla extract,▢ 2-3 tablespoons milk or heavy cream,My Baking Addiction,https://www.mybakingaddiction.com/snowflake-sugar-cookies/,Cookies,▢ White sparkling sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Oreo Balls,Jamie,4.62,39,30 minutes,NA,NA,30 minutes,NA,10,"Line a large baking sheet with parchment paper.
Place candy canes into a food processor and pulse the machine until crushed into fine pieces.
Add in Peppermint Oreos and pulse until crushed into fine crumbs.
Add in cream cheese and pulse until thoroughly combined.
Using a small cookie scoop, measure mixture (about 2 teaspoons) and then roll into cookie balls.
Place rolled cookie balls on prepared cookie sheet and place into the refrigerator for about 30 minutes or into the freezer for 10 minutes.
Once cookies balls are chilled, melt candy wafers according to package directions.
Dip cookie balls (see tip below) in melted candy wafers and place back onto parchment lined cookie sheet.
If desired, sprinkle with crushed candy canes and/or drizzle with contrasting candy melts.
Once all cookie balls are dipped refrigerate them for one hour.",5,▢ 10 mini candy canes,▢ 4 ounces cream cheese softened,▢ 1 package Peppermint Oreos 10.7 ounces,▢ 16 ounces dark or white candy wafers,▢ 5 mini candy canes crushed (optional),NA,NA,NA,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/peppermint-oreo-cookie-balls/,Candy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iced Pumpkin Cookies,Jamie Lothridge,4.46,91,20 minutes,15 minutes,NA,35 minutes,18 2 cookies per person,6,"Preheat oven to 350°F. Line a baking sheet with parchment paper or a silicone baking mat.
In a large bowl, combine flour, baking powder, baking soda, homemade pumpkin pie spice, and salt; set aside.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl with an electric mixer, cream together the butter and sugars. Add pumpkin, egg, and vanilla to the butter mixture. Beat on medium speed until fully incorporated and creamy. Slowly add in dry ingredients and mix until combined. Using a medium cookie scoop (1 1/2 tablespoons), drop dough onto prepared cookie sheets. Spray the bottom of a glass with nonstick cooking spray and ever so slightly, flatten the tops of the cookies.
Bake in the preheated oven for 12-15 minutes. Allow cookies to cool on the pan for a few minutes before removing them to a wire rack to cool completely.
To Make the Glaze: Combine confectioners’ sugar, milk, melted butter, and vanilla. Add milk as needed, to achieve glaze consistency.
Place a piece of parchment or wax paper on your work surface and place a wire rack on top of the paper. Dip the top of each cookie into the glaze and place the cookie onto the wire rack allowing the glaze to drizzle down the sides of the cookie. Allow glaze to firm up before serving.",15,▢ 2 ½ cups all-purpose flour,▢ 1 teaspoon baking powder,▢ 1 teaspoon baking soda,▢ 1 tablespoon pumpkin pie spice,▢ ½ teaspoon salt,▢ ½ cup unsalted butter softened,▢ 1 cup granulated sugar,▢ ½ cup light brown sugar lightly packed,▢ 1 cup pumpkin puree,▢ 1 large egg,My Baking Addiction,https://www.mybakingaddiction.com/pumpkin-cookies/,Cookies,▢ 1 teaspoon pure vanilla extract,▢ 1 cup confectioners’ sugar,▢ 1 ½ tablespoons milk,▢ 1 tablespoon melted butter,▢ 1 teaspoon pure vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
