title,author,date,rating,ratingnum,cuisine,course,categories1,categories2,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,source,link,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Brown Butter Espresso Toffee Blondies,Ashley Manila,"April 3, 2018",4.75,4,American,Dessert,"Filed Under: Bar Desserts, Chocolate, Cookies, Recipes","Tagged With: blondie recipe, blondie recipes, blondies, brown butter recipes, easy baking recipes, espresso powder, espresso powder for baking, espresso recipes, espresso toffee blondies, toffee blondies, what is a blondie",10 minutes,20 minutes,NA,30 minutes,"1 - 9"" pan",3,"Preheat oven to 350 degrees (F). Line an 8x8 baking pan with parchment paper and spray parchment lightly with non-stick spray, set aside.
Melt butter in a medium-sized skillet over medium heat. Continue cooking butter, stirring frequently, until it's a light amber color and smells slightly nutty. Remove from heat at once and cool for a few minutes before whisking in the brown sugar; beat until well combined. Add in the egg, beating until combined. Gently stir in the flour and cinnamon, and salt, being sure not to over mix. Fold in the toffee bits, espresso beans and chocolate.
Bake for 20 minutes, or until the edges are firm and golden and the center is just slightly wobbly. Cool in pan for at least 15 minutes before cutting.",9,1/2 cup unsalted butter,"1 cup light brown sugar, packed","1 large egg, at room temperature",1 cup all-purpose flour (be sure not to pack your flour),1/2 teaspoon cinnamon,1/4 teaspoon salt,3/4 cup toffee bits,"1/2 cup espresso beans, chopped","4 ounces semi-sweet chocolate, chopped into chunks",NA,Baker By Nature,https://bakerbynature.com/brown-butter-espresso-toffee-blondies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raspberry Pistachio Chocolate Chunk Cookies,Ashley Manila,"February 16, 2018",5,3,Cookies,Dessert,"Filed Under: Chocolate, Cookies, Easter, Fruit Desserts, Raspberry Recipes, Recipes, Spring Recipes",Tagged With: raspberry,15 minutes,20 minutes,NA,50 minutes,2 dozen,7,"Position a rack in the lower third of the oven. Preheat oven to 375 degrees (F). Line two large baking sheets with parchment paper and set them aside until needed.
In a large mixing bowl combine the flour, salt and baking soda; whisk together until well combined and set aside.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl using a handheld electric mixer, cream together the butter, vanilla, almond extract, and both sugars on medium speed until light and fluffy, about 3 minutes. Add in the eggs, beating well after each addition. Reduce mixer speed to low and add the dry ingredients in thirds, beating until just combined. With the mixer running on low speed, add in the chocolate chunks and pistachios, and raspberries, and beat until just combined.
Using a large cookie scoop, scoop level mounds of the batter onto the prepared baking sheets, spacing them 2 inches apart.
Bake cookies, one sheet at a time, for 9 to 10 minutes, or until set at the edges but still soft in the center.
Allow the cookies to cool on the baking sheet, placed on a cooling rack, for at least 10 minutes before transferring serving/eating/moving.
Store cookies in an airtight container, at room temperature, for up to 5 days.",13,2 and 1/2 cups all-purpose flour,1 teaspoon salt,1 and 1/4 teaspoons baking soda,"2 sticks (8 ounces) unsalted butter, at room temperature",2 teaspoons vanilla extract,1 teaspoon almond extract,"1 cup light brown sugar, packed",1 cup granulated sugar,"2 large eggs, at room temperature","12 ounces semi-sweet chocolate, chopped into chunks",Baker By Nature,https://bakerbynature.com/raspberry-pistachio-chocolate-chunk-cookies/,"1 cup pistachios, chopped",(1) 1.3 ounce bag freeze dried raspberries,2 teaspoons flaky sea salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triple Chocolate Brownie Cookies,Ashley Manila,"January 20, 2018",4.86,7,Cookies,Dessert,"Filed Under: Chocolate, Cookies, Recipes",NA,30 minutes,16 minutes,NA,46 minutes,1 dozen cookies,10,"Line a large baking sheet with parchment paper and set it aside until needed.
Fill a medium pot one-third full with water and bring it to a low simmer over medium heat. Place a heatproof bowl that will fit on top of the pan snugly, but will not touch the simmering water, on top of the pan. Reduce the heat to low and the chopped chocolate and espresso powder into the bowl over the pot. Heat until the chocolate is completely melted, stirring occasionally with a silicon spatula. Once the chocolate is completely melted, remove the bowl from heat and set aside to cool.
In a medium mixing bowl, whisk together the flour, cocoa powder, baking powder, and salt. Set aside until needed.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl using a handheld electric mixer, beat the butter, both sugars, and vanilla on medium speed until light and fluffy, about 3 minutes. Add in the eggs, one at a time, beating well after each addition and scraping down the sides of the bowl as needed. Reduce the mixer speed to low and gradually add the flour mixture, mixing just until combined. Turn mixer off.
Using a rubber spatula, fold the melted chocolate into the batter, mixing until evenly combined. Fold in the chocolate chips, chocolate chunks, and walnuts.
Using a large cookie scoop, drop 3-Tablespoon sized mounds of batter onto the prepared baking sheet, spacing them 2 inches apart. Loosely cover the pan with plastic wrap and refrigerate for at least 1 hour, and up to 1 day.
30 minutes before you're ready to bake, preheat your oven to 300 degrees (F).
Bake for 14 to 16 minutes, or until the cookies have puffed up and look slightly cracked on the surface. 
Allow the cookies to cool on the baking sheet, placed on a cooling rack, for at least 20 minutes before transferring to a serving plate.
Store cookies in an airtight container at room temperature for up to 1 week.",14,"6 ounces semi-sweet chocolate, finely chopped",2 teaspoons espresso powder,3/4 cup all-purpose flour,1 and 1/2 Tablespoons Dutch-process cocoa powder,1 teaspoon baking powder,1/4 teaspoon salt,"1 stick (4 ounces) unsalted butter, at room temperature","1/2 cup light brown sugar, packed",1/2 cup granulated sugar,2 teaspoons pure vanilla extract,Baker By Nature,https://bakerbynature.com/triple-chocolate-brownie-cookies/,"2 large eggs, at room temperature",1/2 cup semi-sweet chocolate chips,1/2 cup semi-sweet chocolate chunks,"1/2 cup walnuts, finely chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Mocha Cookies,Ashley Manila,"December 5, 2017",4.50,4,Cookies,Dessert,"Filed Under: Chocolate, Christmas, Cookies, Recipes","Tagged With: chocolate, chocolate cookies, chocolate recipes, christmas baking, Christmas cookies, cookies, peppermint, peppermint mocha, white chocolate",25 minutes,10 minutes,NA,5 minutes,18 Cookies,8,"Preheat oven to 350 degrees (F). Line two large baking sheets with parchment paper and set them aside.
In a medium mixing bowl, whisk together the cocoa powder, flour, espresso powder, baking powder, and salt until well combined. Set aside.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl using a handheld electric mixer, combine the shortening and brown sugar and beat on medium-high speed until light and fluffy, about 3 minutes, scraping down the sides of the bowl as needed. Beat in the eggs, peppermint extract, and milk. Reduce the mixer speed to low and gradually beat in the flour, mixing just until combined. Finally, beat in the chocolate until just combined.
Scoop level 1/4 cupfuls of the batter onto the prepared baking sheets, leaving 2-inches between for spreading. The batter will be very sticky, so don't try to handle it with your hands.
Bake, one tray at a time, for 9 to 10 minutes, or until the cookies are set at the edges and slightly puffed. Place the baking pan on a wire rack and allow the cookies to cool completely; about 30 minutes.
Fill a medium pot one-third full with water and bring it to a low simmer over medium heat. Place a heatproof bowl that will fit on top of the pan snugly, but will not touch the simmering water, on top of the pan. Reduce the heat to low and add the chopped chocolate into the bowl over the pot. Heat until the chocolate is completely melted, stirring occasionally with a silicon spatula. Once the chocolate is completely melted, carefully remove the bowl from the heat and pour it into a liquid measuring cup.
Dip one half of each cookie in the melted chocolate, then place it back on the parchment paper lined baking sheet and sprinkle with crushed candy canes. Set aside and allow the chocolate to set, about 1 hour.
Store cookies in an airtight container, at room temperature, for up to 2 days.",13,3/4 cup Dutch-process cocoa powder,2 cups all-purpose flour,2 teaspoons espresso powder,1 teaspoon baking powder,1/2 teaspoon salt,1 cup Crisco® All-Vegetable Shortening (1 baking stick),"1 and 3/4 cups light brown sugar, packed","2 large eggs, at room temperature",1 teaspoon peppermint extract,2 tablespoons whole milk,Baker By Nature,https://bakerbynature.com/peppermint-mocha-cookies/,"3.5 ounces semi-sweet chocolate, roughly chopped, melted, and slightly cooled","8 ounces white chocolate, finely chopped","4 full-size candy canes, finely chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vegan Oatmeal Chocolate Chip Cookies,Ashley Manila,"November 25, 2017",4.50,4,Cookies,Dessert,"Filed Under: Chocolate, Cookies, Holiday, Recipes","Tagged With: chocolate chip cookie recipe, chocolate chip cookies, how to make chocolate chip cookies, oatmeal cookies, vegan, vegan recipes",20 minutes,13 minutes,NA,3 minutes,16 large cookies,6,"Preheat oven to 350 (F). Line two large baking sheets with parchment paper; set aside.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl using a handheld electric mixer, beat together the coconut oil, Stevia In The Raw®, and brown sugar until well combined. On low speed, beat in the almond milk, applesauce, molasses, and vanilla. The mixture will look a little grainy at this point, but don't fret; it will come together. Set aside.
In a medium bowl, stir together the flour, baking soda, cinnamon, nutmeg, and salt. On low speed, gradually beat the dry mixture into the wet mixture until just incorporated. Turn mixer off. Using a wooden spoon or strong spatula, fold in the oats and chocolate chips, stirring just until incorporated.
Scoop 3-inch balls of cookie dough onto the prepared baking sheets, leaving about 1 and 1/2 inches between so they have room to spread.
Bake, one sheet at a time, in preheated oven for 12 to 13 minutes, or until cookies are golden and set at the edges and still slightly soft in the center. Repeat with all cookie dough.
Cool cookies on baking sheet for 30 minutes before transferring them to a wire rack to cool completely.",14,"1/2 cup coconut oil, solid but soft enough to scoop",1 cup Stevia In The Raw®,"1 cup dark brown sugar, packed",1/3 cup almond milk or coconut milk,1/4 cup unsweetened applesauce,2 tablespoons unsulphured molasses,1 teaspoon pure vanilla extract,2 cups all-purpose flour,1 teaspoon baking soda,1 teaspoon ground cinnamon,Baker By Nature,https://bakerbynature.com/vegan-oatmeal-chocolate-chip-cookies/,1/4 teaspoon ground nutmeg,3/4 teaspoon salt,2 and 1/2 cups quick oats,2 cups vegan chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Butter Chocolate Chip Snickerdoodles,Ashley Manila,"November 16, 2017",5,3,Cookies,Dessert,"Filed Under: Chocolate, Christmas, Cookies, Holiday, Recipes",Tagged With: brown butter recipes,20 minutes,10 minutes,NA,30 minutes,2 dozen,7,"In a small bowl, combine the granulated sugar and cinnamon; set aside until needed.
Cut the butter in tablespoons and place them in a heavy saucepan over medium heat. Once the butter has melted, reduce the heat to low and continue cooking, until the solids sink to the bottom of the pan and turn golden brown, about 10 minutes. Remove from heat, pour browned butter into a small bowl, cover, and refrigerate until solidified, about 2 hours.
Preheat oven to 375°F (129°C). Line two large baking sheets with parchment paper and set them aside.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl using a hand-held electric mixer, beat the butter on medium speed until completely smooth, about 1 minute. Add in both sugars and continue beating until light and fluffy, about 2 minutes. Add in the egg, egg yolk, and vanilla and beat smooth, scraping down the sides as needed.
In a medium mixing bowl, whisk together the flour, cornstarch, cream of tartar, baking soda, cinnamon, and salt. With the mixer on low speed, gradually add the dry ingredients to the wet ingredients, mixing just until the dry ingredients are incorporated. Beat in the chocolate chips. Be sure not to over mix the dough!
Using an ice cream scoop, melon baller, or measuring spoon, scoop out one and a half sized tablespoons of dough from the bowl and roll it into a ball. Roll the dough in the cinnamon sugar topping, then transfer the ball onto a prepared baking sheet. Repeat with all cookie dough.
Bake cookies, one tray at a time, for 9-10 minutes, or until they're set at the edges but still soft in the center. Allow cookies to cool on the baking sheet placed on top of a wire rack for 10 minutes before serving warm, or transferring to a wire rack to cool completely.",14,1/3 cup (74g/2 and 5/8 ounces) granulated sugar,1 teaspoon cinnamon,"1 cup (227g/8 ounces) unsalted butter, melted until browned, then brought back to room temperature",1/2 cup granulated sugar,"1 cup light brown sugar, packed","1 large egg plus 1 egg yolk, at room temperature",1 teaspoon vanilla extract,2 and 1/3 cups all-purpose flour,1 teaspoon cornstarch,2 teaspoons cream of tartar,Baker By Nature,https://bakerbynature.com/brown-butter-chocolate-chip-snickerdoodles/,1 teaspoon baking soda,2 and 1/2 teaspoons ground cinnamon,1/4 teaspoon salt,2 cups (340g/12 ounces) semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dark Chocolate Cranberry Walnut Cookies,Ashley Manila,"October 18, 2017",4.60,10,Cookies,Dessert,"Filed Under: Chocolate, Christmas, Cookies, Holiday, Recipes",Tagged With: Cranberry Recipes,30 minutes,10 minutes,NA,10 minutes,2 dozen cookies,10,"Melt butter in a skillet over medium heat; continue cooking, stirring occasionally, until golden brown. About 6 to 8 minutes, depending on your stove top.
Remove pan from heat and scrape butter - and any golden bits - into a medium sized, heatproof bowl. Place bowl in the fridge until butter has come back to room temperature; about 1 hour and 30 minutes.
You'll know it's ready when the butter is solid, but just soft enough that you can scrape it out of the bowl (use a strong metal spoon).
Preheat oven to 375 degrees (F). Line a large baking sheet with parchment paper.
In a large bowl combine flour, salt, cinnamon, and baking soda; whisk well to combine then set aside until needed.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl using a handheld electric mixer, combine the chilled brown butter and both sugars; beat on medium speed until light and fluffy, about 2 minutes. Add in vanilla. Beat in egg and egg yolk, one at a time, beating until just combined, and scraping down the sides of the bowl as needed.
Using a rubber spatula, fold in the flour, stirring until just combined. Fold in the chocolate, cranberries, and walnuts.
Scoop 3 tablespoon sized rounds of dough onto the prepared sheet, leaving 2 inches in between each cookie for spreading. Bake for 10 to 11 minutes, or until edges are set and the center is still a little jiggly. 
Remove cookies from oven and sprinkle with sea salt, if using.
Allow cookies to cool on the pan for 10 minutes, then carefully transfer to a cooling rack. Repeat with remaining cookie dough.",13,"1 cup (8 ounces) unsalted butter, melted until browned, and brought back to room temperature",2 and 1/3 cups all-purpose flour,1 teaspoon salt,1/2 teaspoon ground cinnamon,1 teaspoon baking soda,"3/4 cup dark brown sugar, packed",3/4 cup granulated sugar,2 teaspoons vanilla extract,"2 large egg plus 1 egg yolk, at room temperature","8 ounces high-quality dark chocolate, chopped",Baker By Nature,https://bakerbynature.com/dark-chocolate-cranberry-walnut-cookies/,1 cup dried cranberries,"1 cup toasted walnuts, roughly chopped","1 teaspoon flaky sea salt, for sprinkling, optional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Caramel Turtle Fudge Bars,Ashley Manila,"September 13, 2017",4.67,6,Chocolate,Dessert,"Filed Under: Bar Desserts, Candy, Caramel Recipes, Chocolate, Christmas, Cookies, Holiday, Recipes, Thanksgiving","Tagged With: desserts with salted caramel sauce, fudge, salted caramel",30 minutes,15 minutes,NA,45 minutes,1 Pan (8x8),4,"Preheat oven to 350 degrees (F). Line an 8x8-inch baking pan with parchment paper, allowing two of the sides to overlap. Spray the parchment - and any exposed pan - with non-stick baking spray; set aside.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl using a handheld electric mixer, beat the butter, vanilla extract, confectioners' sugar, and salt until light and fluffy; about 2 to 3 minutes. Gradually beat in the flour, mixing just until combined. The mixture will be a little crumbly.
Dump the mixture into the prepared pan and spread (or press firmly, if need be) it into an even layer. Bake for 14 to 15 minutes, or until lightly browned. Set aside to cool while you prepare the fudge topping.
In a microwave-safe bowl, combine the chopped chocolate, sweetened condensed milk and butter. Microwave, uncovered, on low, in 30 second increments, stirring in between each increment, until the chocolate is completely melted; stir mixture smooth. Stir in vanilla extract. Spread mixture over the shortbread, smoothing with a spatula into an even layer. Pour salted caramel on top of the chocolate mixture, then sprinkle with the toasted pecans. Refrigerate until firm; about 2 hours. Cut into small squares and serve.",12,"1/2 cup unsalted butter, at room temperature",1/2 teaspoon vanilla extract,1/4 cup confectioners' sugar,1/4 teaspoon salt,1 cup all-purpose flour,"16 ounces semi-sweet chocolate, finely chopped",(1) 14 ounce can sweetened condensed milk,"2 and 1/2 tablespoons unsalted butter, cut into small bits",1 teaspoon pure vanilla extract,1/2 cup salted caramel sauce,Baker By Nature,https://bakerbynature.com/salted-caramel-turtle-fudge-bars/,"1/2 cup toasted pecans, roughly chopped",1 teaspoon flaky sea salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butter Pecan Cookies,Ashley Manila,"August 31, 2017",4.85,114,American,Dessert,"Filed Under: Christmas, Cookies, Holiday, Recipes, Thanksgiving, Videos","Tagged With: Butter Pecan Recipes, pecan, Pecan recipes, Pecans",20 minutes,10 minutes,NA,30 minutes,16 large cookies,13,"Melt butter in a large skillet over medium heat. Add in chopped pecans and cook, stirring occasionally, for 4 to 5 minutes, or until lightly toasted. Set aside until needed.
In a large bowl combine flour, cornstarch, salt, cinnamon, and baking soda; whisk well to combine then set aside until needed.
In a small saucepan, over medium heat, melt the butter. Continue to cook the butter. swirling the pan occasionally. Keep a close eye here. The top of the butter should become foamy. And you should hear tiny popping noises. The butter will develop into a rich amber color, with tiny brown bits at the bottom. And it will have a slightly nutty aroma. Once the butter reaches this stage, remove from heat immediately and pour into a large mixing bowl.
Add both sugars into the mixing bowl and whisk well to combine. 
Add in vanilla. Beat in eggs and egg yolk, one at a time, beating until eggs are just combined.
Using a rubber spatula, fold in the flour, stirring until just combined. Fold in the buttered pecans.
Cover bowl and refrigerate for 4 hours.
Preheat the oven to 375 degrees (F). Line two large baking sheets with parchment paper. 
Using a large cookie scoop, divide the dough into 3-tablespoon sized balls and place onto prepared baking sheets, leaving about 3 inches between each ball of dough for spreading.
Firmly press a pecan half on top of each ball of cookie dough. 
Bake, one tray at a time, in a preheated oven for 10 to 11 minutes. If any edges spread out while baking, use a spatula and gently press them back in as soon as you remove the cookies from the oven. 
Sprinkle warm cookies with granulated sugar. 
Allow cookies to cool on the pan for 15 minutes, then carefully transfer to a cooling rack. ",13,"1 and 1/4 cup pecan halves, finely chopped",3 tablespoons unsalted butter,2 and 1/2 cups all-purpose flour,1 tablespoons cornstarch,3/4 teaspoon salt,1/2 teaspoon ground cinnamon,1 teaspoon baking soda,"2 sticks (8 ounces) unsalted butter, melted until browned","1 cup dark brown sugar, packed",1/2 cup granulated sugar,Baker By Nature,https://bakerbynature.com/butter-pecan-cookies/,1 Tablespoon vanilla extract,"2 large eggs plus 1 egg yolk, at room temperature","16 pecan halves, for decoration, optional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Orange Brownie Cookies,Ashley Manila,"March 8, 2017",4.58,21,American,Dessert,"Filed Under: Chocolate, Cookies, Recipes",NA,15 minutes,20 minutes,NA,50 minutes,10 cookies,8,"Preheat oven to 325 degrees (F). Line two large baking sheets with parchment paper, lightly spray them with non-stick spray, and set aside.
In a medium-sized bowl whisk together the flour, cocoa powder, baking powder, and salt; set aside.
In a large, microwave safe bowl, combine the semi-sweet chopped chocolate and butter. Heat them in the microwave for 15 second increments, mixing in between each, until butter and chocolate are completely melted and can easily be whisked smooth. Whisk in the vanilla, then whisk in both sugars and orange zest. Beat in eggs, one at a time, beating well after each addition. Beat in milk.
Add the dry ingredients into the wet ingredients, and stir to combine - be sure not to over mix here!
Fold in the chopped orange chocolate, stirring until everything is just combined. (You may want to reserve a few pieces of the chopped orange chocolate to press onto the warm cookies right after they come out of the oven.)
Scoop 1/4 cupfuls of the batter onto the prepared baking sheets. Bake one tray at a time, reducing the oven temperature to 300 degrees after you've put them in the oven.
Bake for 16 to 19 minutes, or until the edges are set and the tops are dark and shiny. Press a few extra chocolate chunks on top of the warm cookies, if desired.
Allow cookies to completely cool on the baking sheet before serving.",13,1 cup plus 2 and 1/2 tablespoons all-purpose flour (be sure not to pack your flour),3 tablespoons unsweetened cocoa powder,1 teaspoon baking powder,1/2 teaspoon salt,"6 ounces semi-sweet chocolate, chopped",2 tablespoons unsalted butter,1 and 1/2 teaspoons vanilla extract,"1/4 cup light brown sugar, packed",1/4 cup granulated sugar,1 teaspoon orange zest,Baker By Nature,https://bakerbynature.com/chocolate-orange-brownie-cookies/,"2 large eggs, at room temperature",2 tablespoons whole milk,"7 ounces orange chocolate, chopped (I used Lindt intense orange, but also linked to some other great brands in my post)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gooey Brown Butter Walnut Chocolate Chunk Cookies with Sea Salt,Ashley Manila,"January 28, 2017",5,13,American,Dessert,"Filed Under: Chocolate, Cookies, Recipes","Tagged With: brown butter, brown butter recipes, chocolate chunk, chocolate chunk cookies, cookies, walnut",20 minutes,15 minutes,NA,35 minutes,2 dozen,8,"Place the butter in a small saucepan over medium-high heat and cook for about 3 minutes – stirring almost constantly – until the butter has browned. Pour the brown butter into a heatproof bowl, being sure to scrape all of the ""toasted"" bits into the bowl as well. Place the bowl in the refrigerator for 45 minutes, or until the butter is at room temperature. You’ll know the butter is at room temperature when you press a finger into the top and it makes a slight indentation. It should not be liquid at all.
Once the butter is at room temperature, you're ready to get baking!
Preheat your oven to 375 degrees (F).
In a medium-sized bowl whisk together the flour, baking soda, cinnamon, and salt; set aside.
In a large bowl using a handheld electric mixer, or in the bowl of a stand mixer fitted with the paddle attachment, combine both sugars, vanilla, and browned butter; cream on medium-speed until light and fluffy; about 2 minutes. Add in the eggs, one at a time, beating for 15 seconds after each addition. Turn mixer off. Using a wooden spoon or sturdy rubber spatula, gently fold in the flour, stirring only until the flour begins to disappear. Fold in the chocolate chunks and walnuts.
Roll 3 tablespoon sized scoops of dough between your palms to form a ball (they should be big; almost a 1/4 cup), then place on prepared sheet (make sure to leave enough room in between each cookie for inevitable spreading). Continue this process until all the dough has been rolled.
Place baking sheets in preheated oven, one at a time, and bake for 9 to 10 minutes, or until golden at the edges but still soft in the middle. Repeat with all cookie dough.
Sprinkle cookies with sea salt right when they come out of the oven. Let cookies cool for 10 minutes on the baking sheet before transferring to a wire rack to cool completely.",12,"14 tablespoons unsalted butter, melted until browned and brought back to room temperature (see post for more on this)",2 and 1/4 cups all-purpose flour (plus more ONLY if the dough seems to need it; adding one tablespoon at a time),1 teaspoon baking soda,1/2 teaspoon ground cinnamon,1/2 teaspoon kosher salt,"1 cup + 2 tablespoons dark brown sugar, packed",1/2 cup granulated sugar,1 tablespoon vanilla extract,"2 large eggs, at room temperature",2 cups semi-sweet chocolate chunks,Baker By Nature,https://bakerbynature.com/gooey-brown-butter-walnut-chocolate-chunk-cookies-with-sea-salt/,"3/4 cup toasted walnuts, roughly chopped","1 teaspoon flaky sea salt, for sprinkling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valentine’s Day Cookie Pie,Ashley Manila,"January 24, 2017",5,1,Cookies,Dessert,"Filed Under: Chocolate, Cookies, Recipes","Tagged With: cookie, M&M's, pie, pie recipes, Valentine's day",20 minutes,40 minutes,NA,NA,"1 - 9"" pie",3,"Preheat oven to 350 degrees (F). Light spray a 9"" pie plate with non-stick baking spray; set aside.
In a large bowl add the melted butter, brown sugar, and granulated sugar; beat well until combined. Beat in the egg, egg yolks, and vanilla. Add in the flour, cornstarch, and salt and mix until just combined. Be sure not to over mix here! Fold in the M&M's and chopped peanut butter cups. Spread the mixture into the prepared pie plate. Top with additional M&M's and peanut butter hearts, if desired. Bake for 38 to 40 minutes, or until the top is golden brown, the edges are completely set, and the center of the pie is only slightly jiggly. If your cookie begins to look too dark, you can place a piece of tin foil over the top until it's done baking.
Place pie on a wire rack to cool for at least one hour before slicing and serving.",10,"2 sticks (8 ounces) unsalted butter, melted","1 cup light brown sugar, packed",1 cup granulated sugar,"1 large egg plus 2 egg yolks, at room temperature",1 tablespoon vanilla extract,2 cups all-purpose flour,1/4 cup cornstarch,1/2 teaspoon salt,2 cups Valentine's day M&M's (although regular will work),"3/4 cup mini heart shaped peanut butter cups, chopped (regular mini peanut butter cups will work)",Baker By Nature,https://bakerbynature.com/valentines-day-cookie-pie/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chewy White Chocolate Cranberry Oatmeal Cookies,Ashley Manila,"December 13, 2016",4.50,2,American,Dessert,"Filed Under: Chocolate, Christmas, Cookies, Recipes","Tagged With: cookies, cranberry, Cranberry Recipes, How to make chewy cookies, oatmeal cookies, white chocolate",15 minutes,15 minutes,NA,50 minutes,2 dozen,6,"Preheat oven to 350 (F). Line two large baking sheets with parchment paper; set aside.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl using a handheld electric mixer, cream the butter and both sugars until light and fluffy, about 3 minutes. Beat in the eggs, one at a time, scraping down the sides as needed. Beat in the milk and the vanilla extract until combined.
In a medium bowl, stir together the flour, baking soda, baking powder, salt, and cinnamon. On low speed, gradually beat the flour mixture into the butter/sugar mixture until just incorporated. Turn mixer off. Using a wooden spoon or strong spatula, stir the oats, white chocolate chips, and cranberries into the cookie dough, stirring just until incorporated.
Scoop 2-inch balls of cookie dough onto the prepared baking sheets, leaving about 1 and 1/2 inches between so they have room to spread.
Bake, one sheet at a time, in preheated oven for 10 to 12 minutes, or until cookies are golden and set at the edges and still slightly soft in the center. Repeat with all cookie dough.
Cool cookies on baking sheet for 10 minutes before transferring them to a wire rack to cool completely.",14,"2 sticks (8 ounces, 1 cup) unsalted butter, at room temperature","1 and 1/2 cups light brown sugar, packed",1/2 cup granulated sugar,"2 large eggs, at room temperature",2 tablespoons milk,1 tablespoon vanilla extract,2 cups all-purpose flour,1 teaspoon baking soda,1 teaspoon baking powder,1/2 teaspoon salt,Baker By Nature,https://bakerbynature.com/chewy-white-chocolate-cranberry-oatmeal-cookies/,1 teaspoon ground cinnamon,2 and 1/2 cups rolled oats (not instant oats),1 and 1/2 cups white chocolate chips,3/4 cup dried cranberries,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Butter Gingerbread Men,Ashley Manila,"November 21, 2016",5,1,American,Dessert,"Filed Under: Cookies, Holiday, Recipes","Tagged With: brown butter, brown butter recipes, Christmas, gingerbread, gingerbread men, holiday baking",30 minutes,10 minutes,NA,40 minutes,2 dozen cookies,5,"In a medium-sized bowl combine the flour, cinnamon, allspice, and ginger; whisk well and set aside. In the bowl of a stand mixer fitted with the paddle attachment beat the butter on medium speed until smooth and creamy. Add in both sugars and continue beating until the mixture is fluffy, about 3 minutes. Beat in the egg, egg yolk, and vanilla. In a small bowl combine the hot water, baking soda, and molasses; stir with a fork until the baking soda has completely dissolved. Add this mixture to the butter mixer and beat on low speed until combined. Add the dry ingredients in several additions, beating just until combined. Gently scrape the dough out onto a work surface (it will be a little sticky and crumbly) and shape it into a flat disk. Wrap in saran wrap and refrigerate for at least 4 hours, or overnight.
Preheat oven to 350 degrees (F).
Line a large baking sheet with parchment paper; set aside.
Divide the chilled dough in half. On a lightly floured work surface, roll one half of the dough out to a thickness of 1/8"", lightly flouring the surface and dough as needed. Using a gingerbread cookie cutter, cut out as many gingerbread men as possible. Carefully transfer the cookies to the prepared baking sheet and bake for 8 to 9 minutes, or until the tops are set. Cool the cookies on the baking sheet for 5 minutes before transferring them to a cooling rack to cool completely. Repeat with all cookie dough. Once the gingerbread men have cooled completely, decorate them with icing and sprinkles, if desired.
In a medium-sized bowl combine the confectioners' sugar, warm water, salt, and food coloring (if using); whisk well. If the icing appears to thin to hold its shape, add a little more confectioners' sugar; if the icing appears a little to thick to easily pipe, add a little more hot water. You can play around here until you reach your preferred consistency. Pour the icing into a piping bottle or simple spread it on top of the cookies.",16,3 and 1/4 cups all-purpose flour,1 and 1/2 teaspoons ground cinnamon,1/4 teaspoon ground allspice,1 tablespoon ground ginger,"1 cup (2 sticks or 8 ounces) unsalted butter, browned then brought back to room temperature","1 cup dark brown sugar, packed",1/2 cup granulated sugar,"1 large egg plus 1 egg yolk, at room temperature",1 teaspoon vanilla extract,2 tablespoons hot water,Baker By Nature,https://bakerbynature.com/brown-butter-gingerbread-men/,1 and 1/2 teaspoons baking soda,1 tablespoon unsulphured molasses,"1 cup confectioners' sugar, sifted","3 teaspoons warm water, more if needed",1/8 teaspoon salt,"Food coloring, optional",NA,NA,NA,NA,NA,NA,NA
