title,author,rating,ratingnum,categories,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,source,link,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Cinnamon Roll Cookies,Jamielyn Nye,4.99,356," Categorized as: American, Christmas, Cookies, Desserts, Frosted Cookies, Holiday Cookies, Kid-Friendly, Reader Favorites ",Prep Time: 10 minutes mins,Cook Time: 10 minutes mins,Chill Dough: 30 minutes mins,Total Time: 50 minutes mins,Servings: 24,6,"In a large bowl or the bowl of a stand mixer, beat together the butter and sugar until light and fluffy. Add the eggs one at a time, followed by the vanilla, and mix well. 
Add the flour, baking powder, cinnamon, and salt and mix until a firm dough forms. Add an extra Tablespoon or two of flour if the dough is too sticky, being careful not to over mix. Chill 30 minutes.
Preheat the oven to 375ºF. Roll the dough into one inch balls and place on baking sheets lined with parchment paper. You can roll balls in cinnamon sugar for more cinnamon flavor if desired. Flatten each ball slightly with your hand or with a drinking glass to be about 1/3- to 1/2-inch thick. 
Bake 7 to 8 minutes, or until the bottom is barely golden. Be careful to not over bake. Remove to a cooling rack and let cool before frosting.
In a large bowl, beat together the cream cheese and butter with an electric mixer until light and fluffy. Beat in the powdered sugar until smooth. Add the vanilla and milk as needed to reach desired consistency. Beat until light and fluffy. 
Pipe onto cooled cookies (you can use a 1M tip or snip off the top of a zip-top bag) in a spiral shape. Sprinkle the tops with cinnamon or cinnamon sugar. Store in a covered container up to 3 days. ",15,"1 cup unsalted butter , softened","1 cup granulated sugar , could also do half brown sugar",2 large eggs,1 Tablespoon vanilla extract,"2 ¾ cups all-purpose flour , more if needed",2 teaspoons baking powder,2 teaspoons ground cinnamon,½ teaspoon sea salt,"cinnamon sugar , for rolling (optional)","4 ounces cream cheese , softened",I Heart Naptime,https://www.iheartnaptime.net/cinnamon-roll-sugar-cookies/,"8 Tablespoons unsalted butter , softened",2 ½ cups powdered sugar,1 teaspoon vanilla extract,"1-2 teaspoons milk or cream , as needed","Ground cinnamon , for sprinkling",NA,NA,NA,NA,NA,NA,NA,NA
Twix Cookies,Jamielyn Nye,4.94,15," Categorized as: American, Christmas, Cookies, Desserts, Kid-Friendly, Nut-Free, Vegetarian ",Prep Time: 15 minutes mins,Cook Time: 6 minutes mins,Cooling Time + Chill Time: 1 hour hr 20 minutes mins,Total Time: 1 hour hr 41 minutes mins,Servings: 30,9,"Preheat the oven to 350°F.
In the bowl of a stand mixer fitted with a paddle attachment, mix together 1 cup butter and 1 cup sugar on medium until pale and creamy. Mix in 2 large egg whites and 2 teaspoons vanilla until combined.
In a medium bowl, whisk together 3 cups flour and 2 teaspoons baking powder. With the mixer on medium low, slowly add the flour mixture and mix just until combined.
On a floured surface or baker's mat, roll out dough to 1/4- to 1/2-inch thickness. Using a floured 2 1/2-inch round cookie cutter, cut out cookies and transfer to a baking sheet.
Bake 6 to 8 minutes, or until puffy and no longer glossy. Take them out before they're golden. Let cool 2 minutes before transferring to a wire rack to cool completely. 
In a microwave-safe bowl, microwave the caramels and heavy cream 30 seconds. Stir.  Microwave 30 seconds more. Add pinch of salt to caramel. Stir until smooth and creamy.
Spread 1 to 2 teaspoons caramel evenly over each cookie. If the caramel starts to harden, add a teaspoon more of heavy cream and microwave a few more seconds until easy to spread. Chill cookies 10 to 15 minutes, or until the caramel is cold.
In a microwave-safe bowl, microwave the chocolate chips at 30 seconds intervals (should only take 60-90 seconds), stirring in-between each, until melted and smooth. 
Spread a layer of chocolate over each cookie. Let the chocolate harden. ",10,"1 cup salted butter , at room temperature",1 cup granulated sugar,2 teaspoons vanilla extract,"2 large egg whites , at room temperature",3 cups all-purpose flour,2 teaspoons baking powder,1 (11-ounce) package caramels,2 Tablespoons heavy cream,pinch of salt,"2 cups chocolate chips or melting wafers , milk or semi-sweet",I Heart Naptime,https://www.iheartnaptime.net/twix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Swig Cookies,Jamielyn Nye,4.98,73," Categorized as: American, Cookies, Desserts, Freezer-Friendly, Frosted Cookies, Frozen Desserts, Holiday Cookies, Kid-Friendly, Nut-Free, Valentine's Day, Vegetarian ",Prep Time: 30 minutes mins,Cook Time: 10 minutes mins,NA,Total Time: 40 minutes mins,Servings: 30,7,"Preheat the oven to 350ºF. Line 2 baking sheets with parchment paper and set aside. 
In a stand mixer fitted with a paddle attachment, mix the butter and sugars 1 to 2 minutes, or until pale and creamy. Mix in the oil, sour cream, eggs, vanilla, and almond extract for an additional minute. 
In a separate bowl, whisk together the flour, baking soda, cream of tarter, and salt. Slowly mix into the sugar mixture just until combined, being careful not to over mix. Scrape down the sides as needed. 
In a shallow dish, place about 1/3 cup granulated sugar. Using a large cookie scoop (or 3 Tablespoons), portion dough and roll into balls. Roll balls in the sugar and place onto the baking sheet about 3 inches apart. (I usually bake 6 per pan.)  Using the bottom of a glass cup (about 2-inches on bottom), lightly press the dough balls about 1/4- to 1/2-inch thick. 
Bake 8 to 10 minutes, or just when the cookies no longer look wet. You do not want the edges or bottom to turn golden or they'll be dry. I like to take them out early and let them sit on the pan about 5 minutes until they're firm enough to move to a cooling rack. Let cookies cool completely on wire rack.
In a medium bowl, mix the butter, sour cream, and vanilla using an electric mixer until smooth. Mix in 2 cups powdered sugar until creamy. Add the remaining 2 cups powdered sugar. Add a Tablespoon or two of heavy cream or milk if it becomes too thick. Taste and add a pinch of salt. if needed. Add a couple drops food coloring, if using. 
Spread the frosting on top of the cookies. Swig serves their cookies cold. I prefer to store them in the fridge or freezer. See notes below. ",16,1 cup unsalted butter,"1 ¼ cups granulated sugar , plus more for pressing cookies",¾ cup powdered sugar,"½ cup vegetable oil , or melted butter (slightly cooled)",2 large eggs,¼ cup sour cream,1 teaspoon vanilla extract,"¼ teaspoon almond extract (can sub for vanilla, if preferred)",5 ½ cups (745 grams) all-purpose flour,¾ teaspoon fine sea salt (use 1/2 teaspoon if using salted butter),I Heart Naptime,https://www.iheartnaptime.net/swig-cookie-recipe/,½ teaspoon baking soda,½ teaspoon cream of tartar,½ cup unsalted butter,¼ cup sour cream,1 teaspoon vanilla extract,4 cups powdered sugar,NA,NA,NA,NA,NA,NA,NA
White Chocolate Macadamia Nut Cookies,Jamielyn Nye,5,9," Categorized as: American, Cookies, Dairy-Free, Desserts, Freezer-Friendly, White Chocolate Cookies ",Prep Time: 15 minutes mins,Cook Time: 10 minutes mins,Refrigerate: 15 minutes mins,Total Time: 40 minutes mins,Servings: 36,6,"Cream butter, brown sugar and sugar in a large bowl with an electric mixer. Mix for 1 minute or until light and fluffy. Add in eggs and vanilla and mix until combined.
Whisk together the flour, cornstarch, salt and baking powder in a separate bowl. Slowly add the flour mixture to the sugar mixture and mix until combined. Fold in chocolate chips and macadamia nuts.
Refrigerate dough for 15 to 60 minutes. 
Preheat the oven to 375°F. Line a baking sheet with a baking mat or parchment paper and set aside.
Using a medium cookie scoop or 2 Tablespoons, place the cookie dough on the baking sheet and bake for 8-9 minutes, or until the edges are golden brown. The cookies should still be soft in the middle. 
Remove from the oven and let cool for 3 minutes and then move to cooling rack. Store in a covered container up to 3 days or freeze up to 3 months. ",11,1 cup unsalted butter,"1 cup light brown sugar , packed",½ cup granulated sugar,2 large eggs,2 teaspoons vanilla extract,3 cups all-purpose flour,1 Tablespoon cornstarch,¾ teaspoon fine sea salt,1 teaspoon baking powder,1 cup white chocolate chips (more if desired),I Heart Naptime,https://www.iheartnaptime.net/macadamia-nut-cookies/,½ cup chopped macadamia nuts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mini M&M Cookies,Jamielyn Nye,5,17," Categorized as: American, Cookies, Desserts, Freezer-Friendly, Kid-Friendly, Mini, Nut-Free, Vegetarian ",Prep Time: 10 minutes mins,Cook Time: 7 minutes mins,NA,Total Time: 17 minutes mins,Servings: 40,5,"Prep. Preheat the oven to 350°F. Line two baking sheets with parchment. 
Cream wet ingredients. In a large bowl or the bowl of a stand mixer, beat together the 3/4 cup butter, 3/4 cup brown sugar, and 1/4 cup white sugar. Add 1 egg and 1 teaspoon vanilla and mix to combine. 
Add dry ingredients. Mix in 2 cups flour, 2 teaspoons cornstarch, 1 teaspoon baking soda, and 3/4 teaspoon salt until combined. Fold in 1 cup mini M&M's and 1/2 cup chocolate chips, if using.
Scoop and bake. Use a small cookie scoop (or Tablespoon) to scoop the dough into 1-inch balls and place on prepared baking sheets. Bake 7 to 8 minutes, or until golden around the edges. 
Cool. Remove from oven and let cool on baking sheet before removing to a cooling rack. Store in a covered container up to 3 days.",11,"¾ cup (163 grams) unsalted butter , softened","¾ cup (145 grams) light brown sugar , packed",¼ cup (50 grams) granulated sugar,1 large egg,1 teaspoon vanilla extract,2 cups (280 grams) all-purpose flour,2 teaspoon cornstarch,1 teaspoon baking soda,¾ teaspoon fine sea salt,1 cup mini M&M's,I Heart Naptime,https://www.iheartnaptime.net/mini-mm-cookies/,"½ cup chocolate chips , optional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butter Cookie Recipe,Jamielyn Nye,5,49," Categorized as: American, Christmas, Cookies, Desserts, Freezer-Friendly, Holiday Cookies, Kid-Friendly, Nut-Free, Vegetarian ",Prep Time: 10 minutes mins,Cook Time: 6 minutes mins,Chill: 10 minutes mins,Total Time: 26 minutes mins,Servings: 36,7,"Preheat the oven to 375°F and line a baking sheet with parchment paper. 
In the bowl of a stand mixer fitted with a paddle attachment, cream 1 cup butter until smooth. Mix in 3/4 cup sugar 2 minutes, or until fluffy. Beat in 1 egg and 1 1/2 teaspoons vanilla until combined. (*see notes if piping cookies instead of pressing)
In a medium bowl, whisk the 2 1/4 cups flour, 1 teaspoon baking powder, and 1/2 teaspoon salt. 
With the mixer on, gradually add the flour mixture into the sugar mixture until combined. Cover and chill dough 10 minutes. 
Roll dough into small balls and place on the baking sheet. Using 3 fingers, a fork, or a cookie press, press dough balls flat. 
Bake 6 to 8 minutes, or until the edges are just barely turning golden. Remove from the oven and transfer to a cooling rack to cool completely.
Enjoy plain or decorate by topping with powdered sugar icing and sprinkles. ",7,1 cup unsalted butter,¾ cup (150 grams) granulated sugar,1 large egg,1 ½ teaspoons vanilla extract,2 ¼ cups (295 grams) all-purpose flour,1 teaspoon baking powder,"½ teaspoon Kosher salt , or 1/4 teaspoon fine sea salt",NA,NA,NA,I Heart Naptime,https://www.iheartnaptime.net/butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coconut Macaroon Easter Nests,Jamielyn Nye,4.99,64," Categorized as: American, Chocolate, Cookies, Desserts, Easter, Frosted Cookies, Holiday Cookies, Nut-Free, Vegetarian ",Prep Time: 5 minutes mins,Cook Time: 18 minutes mins,NA,Total Time: 23 minutes mins,Servings: 24,4,"Preheat oven to 325ºF. Line a baking sheet with parchment paper or a baking mat. 
In a mixing bowl, combine  2 2/3 cups coconut, 1/4 cup flour, 2/3 cup sugar and 1/4 teaspoon salt. Stir in 4 egg whites (using an egg separator) and 1 teaspoon vanilla. Mix well.
Drop by rounded teaspoonfuls onto prepared baking sheet. Bake in preheated oven for 18-20 minutes or until the edges have started to turn golden brown.
Remove from oven and cool cookies on wire rack. If desired, dip the bottoms of the cookies in melted chocolate once cooled and then drizzle some on top.",7,2 ⅔ cups flaked sweetened coconut,¼ cup all-purpose flour,⅔ cup granulated sugar,¼ teaspoon kosher or fine sea salt,4 egg whites,1 teaspoon vanilla extract,"1 ½ cups chocolate melting wafers , optional",NA,NA,NA,I Heart Naptime,https://www.iheartnaptime.net/easy-coconut-macaroons/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Cookies,Jamielyn Nye,4.98,82," Categorized as: American, Cookies, Desserts, Easter, Freezer-Friendly, Frosted Cookies, Fruit Desserts, Kid-Friendly, Nut-Free ",NA,NA,NA,Total Time: 1 hour hr 30 minutes mins,Servings: 24,4,"Make cookie dough. Combine 3/4 cup butter and 3/4 cup sugar in a large mixing bowl. Mix on medium speed for 2 minutes. Add the 2 egg yolks, 1 teaspoon vanilla, 1-2 teaspoons lemon zest, 1 Tablespoon lemon juice and 1/2 teaspoon salt. Then slowly mix in 2 cups flour. Mix just until combined.
Chill. Wrap the dough in plastic wrap and refrigerate for 1 hour.
Preheat the oven to 350°F. Line a baking sheet with a silicone mat or parchment paper. Roll the cookie dough into 1 1/2 inch balls. Then press down with a cup. Bake for 10-13 minutes, or until the bottoms are lightly golden. Transfer the cookies to a cooling rack.
Lemon glaze. To make the lemon icing for cookies, whisk together 1 1/2 cups powdered sugar, 1 teaspoon lemon zest and 3 Tablespoons lemon juice in a medium size bowl. Add a teaspoon of water at a time, until you reach a nice and smooth glaze. Then drizzle or spoon on top of the cookies. Allow the glaze to set before serving. Enjoy!",12,"¾ cup salted butter , at room temperature (1 1/2 sticks)",¾ cup granulated sugar,2 egg yolks,1 teaspoon vanilla extract,1 to 2 teaspoons grated lemon zest,1 Tablespoon lemon juice,½ teaspoon Kosher salt,2 cups all-purpose flour,1 ½ cups powdered sugar,1 teaspoon grated lemon zest,I Heart Naptime,https://www.iheartnaptime.net/lemon-cookies/,3 Tablespoon freshly squeezed lemon juice,1-3 teaspoon water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter M&M Cookies,Jamielyn Nye,4.97,26," Categorized as: American, Chocolate, Chocolate Chip Cookies, Cookies, Desserts, Freezer-Friendly ",Prep Time: 10 minutes mins,Cook Time: 10 minutes mins,NA,Total Time: 20 minutes mins,Servings: 24,5,"Preheat oven to 350°F. Line two baking sheets with parchment paper or a baking mat and set aside. 
Cream butter and sugars. Add peanut butter and blend until smooth. Add egg and vanilla.
Next add the flour, baking soda and salt. Mix just until combined. Fold in chocolate chips and M&M's.
Scoop cookie dough onto pan using a large cookie scoop. Press additional chocolate chips of M&M's on top if desired. Bake for 10-12 minutes or until lightly golden on the bottom and edges. 
Remove to a cooling rack and allow to cool. Store in an airtight container for up to 3 days. ",11,½ cup unsalted butter (slightly softened),½ cup granulated sugar,"½ cup light brown sugar , packed",¾ cup creamy peanut butter,1 large egg,1 ½ teaspoons vanilla extract,1 ½ cup all-purpose flour,1 teaspoon baking soda,½ teaspoon Kosher salt,½ cup semi-sweet chocolate chips (more if desired),I Heart Naptime,https://www.iheartnaptime.net/peanut-butter-mm-cookies/,1 cup M&M's (plain or peanut butter),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frosted Sugar Cookie Bars,Jamielyn Nye,5,19," Categorized as: American, Bars, Birthdays, Cookies, Desserts, Freezer-Friendly, Frosted Cookies, Kid-Friendly, Nut-Free, Valentine's Day, Vegetarian ",Prep Time: 15 minutes mins,Cook Time: 20 minutes mins,Cool time: 15 minutes mins,Total Time: 50 minutes mins,Servings: 24,7,"Prep. Preheat oven to 350°F. 
Dry ingredients. Combine 2 1/2 cups flour, 1/2 teaspoon salt and 1 teaspoon baking powder in a medium-sized bowl. Set aside.
Cream butter and sugar. With a mixer, combine 1/2 cup butter, 3/4 cup granulated sugar and 1/4 cup powdered sugar until fluffy (about 3 minutes). Pour in 1 teaspoon vanilla, 1 eggs, 1 egg white and 1/4 cup sour cream and mix until combined. Then pour dry ingredients into this bowl and mix until combined.
Bake. Place mixture in a buttered 9×13"" glass pan. Press down on dough with hands (or a piece of parchment paper) to smooth out the surface to avoid lumpiness. Bake for 20 minutes or until lightly browned. Do not over cook.
Combine 1/2 cup butter, 3 cups powdered sugar, 3 Tablespoons half and half, 1/2 teaspoon vanilla extract and food coloring in a large bowl and beat with a mixer for 2 minutes, or until fluffy. 
Once the bars have cooled completely, pour frosting over top and spread evenly with a spatula. 
Optional: Top with sprinkles for a decorative touch! ",15,2 ½ cups all-purpose flour,½ teaspoon salt,1 teaspoon baking powder,½ cup salted butter (softened),¾ cup granulated sugar,¼ cup powdered sugar,1 teaspoon vanilla extract,1 egg,1 egg white,¼ cup sour cream,I Heart Naptime,https://www.iheartnaptime.net/sugar-cookie-bars/,½ cup unsalted butter (softened),3 cups powdered sugar,3 Tablespoon half and half,½ teaspoon vanilla extract,Food coloring (optional),NA,NA,NA,NA,NA,NA,NA,NA
Strawberry Cake Mix Cookies,Jamielyn Nye,4.99,94," Categorized as: American, Cake Mix Cookies, Cookies, Desserts, Fruit Desserts, Kid-Friendly, Valentine's Day, White Chocolate Cookies ",Prep Time: 10 minutes mins,Cook Time: 10 minutes mins,NA,Total Time: 20 minutes mins,Servings: 24,3,"Preheat oven to 350°F. Line a baking sheet with a silicone mat or parchment paper and set aside. Combine the cake mix, oil and eggs in a large bowl. Stir together until combined. If you have the time, refrigerate the dough for 15-20 minutes (it will make it a little easier to work with, since it is sticky).
Using a medium scoop or spoon, scoop the dough onto the prepared baking mat. Bake for 9-11 minutes, or until the cookies are set. You don’t want them to brown. Allow to cool on the pan for a couple minutes and then transfer to a cooling rack.
If desired, melt 1/2 cup chocolate and then dip half the cookie into the chocolate. Lay cookies onto a wax paper and add sprinkles if desired.",5,15.25 ounce box strawberry cake mix,"½ scant cup vegetable oil , or 7 TB melted butter",2 large eggs,"white chocolate melting wafers , optional","Heart sprinkles , optional",NA,NA,NA,NA,NA,I Heart Naptime,https://www.iheartnaptime.net/strawberry-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Whoopie Pies,Jamielyn Nye,5,9," Categorized as: American, Christmas, Cookies, Desserts, Freezer-Friendly, Frosted Cookies, Holiday Cookies, Nut-Free, Vegetarian ",Prep Time: 15 minutes mins,Cook Time: 8 minutes mins,Chill + Cool Time: 50 minutes mins,Total Time: 1 hour hr 13 minutes mins,Servings: 12,8,"Preheat the oven to 375°F. Line a baking sheet with parchment paper,
In the bowl of a stand mixer fitted with a paddle attachment, cream 3/4 softened butter and 1 cup brown sugar 1 minute, or until fluffy. Add in one egg and beat until smooth. Mix in 1/4 cup molasses until combined.
In a medium bowl, sift or whisk 2 1/4 cups flour, 2 teaspoons baking soda, 1 teaspoon cinnamon, 1 teaspoon ginger, 1/2 teaspoon cloves and 1/4 teaspoon salt. Mix into the butter mixture with a spoon just until combined, being careful not to overmix. Cover and chill 10 to 15 minutes. 
Place 1/4 cup granulated sugar into a shallow bowl. Using a medium cookie scoop (or about 1 1/2 Tablespoons), roll the cookie dough into a ball. Roll the dough into the sugar. Place on the baking sheet, about 2 inches apart. Lightly flatten the tops with the palm of your hand.
Bake 8 to 10 minutes. Let cool on the sheet 5 minutes before transferring to a cooling rack to cool completely. Tip: If your cookies aren't cracking as much as you'd like, bang the pan on the stove right after they come out of the oven to crack the cookies. They will settle as they cool.
In a medium bowl, mix together 1/4 cup butter and 4 ounces cream cheese with an electric mixer 2 minutes, or until creamy. Add 1 1/2 cups powdered sugar and 1/2 teaspoon vanilla and mix an additional minute. Add more powdered sugar, if desired.
Once the cookies have cooled, dip the bottom of a cookie in cream cheese frosting. 
Stack another cookie on top of the frosting. Store in an airtight container until ready to serve.",15,"¾ cup unsalted butter , softened","1 cup light brown sugar , packed",1 large egg,¼ cup molasses,2 ¼ cups all-purpose flour,2 teaspoons baking soda,1 teaspoon ground cinnamon,1 teaspoon ground ginger,½ teaspoon ground cloves,¼ teaspoon fine sea salt,I Heart Naptime,https://www.iheartnaptime.net/gingerbread-whoopie-pies/,"¼ cup granulated sugar , for rolling the cookies",4 ounces cream cheese,¼ cup butter,"1 ½ cups powdered sugar , plus more as needed",½ teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA
Shortbread Cookies,Jamielyn Nye,5,20," Categorized as: 5 Ingredients Or Less, American, Christmas, Cookies, Desserts, Freezer-Friendly, Holiday Cookies, Nut-Free, Vegetarian ",Prep Time: 10 minutes mins,Cook Time: 10 minutes mins,NA,Total Time: 20 minutes mins,Servings: 18,6,"Preheat the oven to 350ºF. Line a baking sheet with parchment paper. 
In the bowl of a stand mixer fitted with a paddle attachment, cream 1 cup butter, 3/4 cup sugar, 1/2 teaspoon salt, and 2 teaspoons vanilla on medium speed 3 minutes, or until light and fluffy. Slowly mix in 2 1/4 cups flour and stir just until combined and the dough is smooth.
Shape the dough into a log and wrap with plastic wrap. Chill 1 hour, or until firm.
Slice the cookie log into 1/4- to 1/2-inch thick slices. Place on the baking sheet.
Using a toothpick, prick holes on the top of each cookie to create the look of a traditional shortbread cookie. You could also use a cookie stamp or keep plain if dipping in melted chocolate.
Bake 10 minutes, or until the bottoms are barely golden. You don’t want the tops or edges to brown. Let cool on the cookie sheet 1 minute before transferring to a cooling rack.",5,"1 cup unsalted butter , 2 sticks at room temperature","¾ cup granulated sugar , or powdered sugar",2 teaspoons vanilla extract,2 ¼ cups all-purpose flour,½ teaspoon fine sea salt,NA,NA,NA,NA,NA,I Heart Naptime,https://www.iheartnaptime.net/shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hot Chocolate Marshmallow Cookies,Jamielyn Nye,5,21," Categorized as: American, Chocolate, Chocolate Cookies, Christmas, Cookies, Desserts, Freezer-Friendly, Holiday Cookies, Kid-Friendly, Nut-Free, Vegetarian ",Prep Time: 20 minutes mins,Cook Time: 7 minutes mins,Chill + Cool Time: 1 hour hr,Total Time: 1 hour hr 30 minutes mins,Servings: 36,6,"Cream butter and sugars. In a large bowl, cream 1 cup butter and 1 1/2 cups sugar with an electric mixer on medium speed. Mix in 2 eggs and 2 1/2 teaspoons vanilla until well combined.
Chill. In a medium bowl, whisk together 2 cups flour, 3/4 cup cocoa powder, 1 1/2 teaspoons baking soda, 1 1/2 teaspoons baking powder and 1 teaspoons salt. Slowly pour the flour mixture into the sugar mixture and mix on low until well combined. Fold in the chocolate chips. Cover and chill 15 to 30 minutes. 
Preheat the oven to 350°F. Line a baking sheet with parchment paper. 
Using a medium cookie scoop, scoop the dough into 1 1/2-inch balls onto the baking sheet. 
Bake 7 to 8 minutes, or until slightly crisp around the edges and soft in the middle. Remove from oven and turn oven to broil. Place marshmallow halves on top of each cookie. Broil 30 seconds to 1 minute, or just until the marshmallows are slightly toasted. You don’t want them to get too browned. 
Add Hershey squares on top of the marshmallow, if using. Let cool on the sheet 2 minutes before transferring to a cooling rack to cool completely.",11,"1 cup (2 sticks) unsalted butter , softened",1 ½ cups granulated sugar,2 large eggs,2 ½ teaspoons vanilla extract,2 cups all-purpose flour,¾ cup cocoa powder,1 ½ teaspoons baking soda,1 ½ teaspoons baking powder,1 teaspoon fine sea salt,½ cups semi-sweet chocolate chips,I Heart Naptime,https://www.iheartnaptime.net/hot-chocolate-cookies/,"18 marshmallows , cut in half",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Reindeer Cookies,Jamielyn Nye,5,7," Categorized as: American, Christmas, Cookies, Freezer-Friendly, Holiday Cookies, Kid-Friendly, Nut-Free, Vegetarian ",Prep Time: 24 minutes mins,Cook Time: 8 minutes mins,Chill time: 1 hour hr,Total Time: 1 hour hr 32 minutes mins,Servings: 24,7,"In the bowl of a stand mixer fitted with a paddle attachment, beat softened 1 1/2 sticks butter and 3/4 cup brown sugar on medium until smooth and creamy. Add in 3/4 cup molasses and beat until smooth. Mix in 1 egg and 1 1/2 teaspons vanilla just until combined, scraping down the sides as needed. 
In a medium bowl, whisk together 3 1/4 cups flour, 1 teaspoon baking soda, 1/2 teaspoon salt, 2 teaspoons ginger, 2 teaspoons cinnamon, and 1/2 teaspoon cloves. Add to the butter mixture and mix on low just until combined. 
Divide the dough to chill in 1/2 and wrap separately in plastic wrap. Press into flat discs. Chill at least 1 hour and up to 3 days. 
When ready to bake, preheat the oven to 350°F. Line 2 baking sheets with parchment paper or a baking mat. 
Portion dough into 24 pieces and roll into balls (about 50 g each). Flatten each ball and then shape the dough into an upside-down triangle (about 1/4""). 
Transfer to the baking sheets, spacing at least 1 inch apart. I added 8 per pan. Repeat with remaining dough. Bake 8 to 10 minutes, or until the centers are set and the cookies are fluffy, being careful not to burn. 
Remove from the oven and immediately press 2 pretzels into the top (or long side) of the triangle for antlers. Add an M&M to the point of the triangle for the nose. Press chocolate chips in the center for the eyes (you can also use candy eyes). Repeat with remaining cookies. Let cool on the pan a few minutes before transferring to a wire rack to cool completely. ",14,"12 Tablespoons (1 1/2 sticks) unsalted butter , softened","¾ cup light brown sugar , packed","¾ cup molasses , I prefer Grandma's Original",1 large egg,1 ½ teaspoons vanilla extract,3 ¼ cups all-purpose flour,1 teaspoon baking soda,½ teaspoon salt,2 teaspoons ground ginger,2 teaspoons ground cinnamon,I Heart Naptime,https://www.iheartnaptime.net/reindeer-cookies/,½ teaspoon ground cloves,48 chocolate covered pretzels,24 red M&M's,"48 chocolate chips , or candy eyes",NA,NA,NA,NA,NA,NA,NA,NA,NA
Cornflake Wreaths,Jamielyn Nye,5,11," Categorized as: American, Christmas, Cookies, Desserts, Holiday Cookies, Kid-Friendly, No-Bake, Nut-Free, Stovetop, Vegetarian ",Prep Time: 10 minutes mins,Cook Time: 5 minutes mins,NA,Total Time: 15 minutes mins,Servings: 12,4,"Melt butter. Line a baking dish or the counter with parchment paper and set aside. In a large pan melt 1/2 cup butter over medium heat. Add in 10 ounces mini marshmallows and stir until melted. 
Remove from heat and add in 1/2 teaspoon vanilla and 1/2 teaspoon green food coloring. Stir until smooth. Add more food coloring until you reach your desired color and then stir in 5-6 cups cornflakes. Stir until well coated.
Shape into wreaths. Add 2 inch spoonfuls onto the parchment paper. Butter your hands and then shape into wreaths. 
Place 3 cinnamon candies on one corner of the wreath. Store in a covered container for up to 5 days. ",6,½ cup salted butter,10 ounces mini marshmallows,½ teaspoon vanilla extract,"½ teaspoon green food coloring , more as desired",5-6 cups cornflakes,"72 cinnamon imperials (red hots) , or mini m&m's",NA,NA,NA,NA,I Heart Naptime,https://www.iheartnaptime.net/cornflake-wreaths/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Covered Oreos,Jamielyn Nye,5,19," Categorized as: 5 Ingredients Or Less, American, Chocolate, Chocolate Cookies, Christmas, Cookies, Desserts, Freezer-Friendly, Holiday Cookies, Kid-Friendly, No-Bake, Nut-Free, Valentine's Day, Vegetarian ",Prep Time: 10 minutes mins,NA,Decorating Time: 20 minutes mins,Total Time: 30 minutes mins,Servings: 24,6,"Prep. Line a baking sheet with wax paper or parchment.
Melt chocolate. In a medium, microwave-safe bowl, add the chocolate candy melting wafers. Heat 1 minute at 50% power and stir. Continue to heat at 30-second intervals at 50% power until melted, stirring well in between. Make sure there are no lumps in the chocolate and that it is smooth and easy to stir. You may also use a double broiler if preferred.
Place the Oreos on a fork and dip them into the melted chocolate. Turn to coat completely in chocolate. When the entire cookie is covered with chocolate, lift it out using the fork. Tap the fork on the side of the bowl several times to let the excess chocolate drip off.
Let chocolate set. Slide the Oreo onto the baking sheet with a toothpick. Repeat with remaining Oreos. If there is excess chocolate, draw a circle around the base of the cookie with a toothpick to get a clean circle. Repeat with remaining Oreos. 
Option 1: Sprinkle the top with sprinkles and let cool.
Option 2: Once the chocolate has set on the cookies, pipe the top with melted chocolate (follow step 1 and then place melted chocolate in a zip-top bag before snipping the tip of the corner). Let set.",4,12 ounces milk chocolate candy melting wafers,24 Oreo cookies,White chocolate candy melting wafers,Sprinkles,NA,NA,NA,NA,NA,NA,I Heart Naptime,https://www.iheartnaptime.net/chocolate-covered-oreos/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
