title,author,rating,ratingnum,course,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19
Chocolate Cadbury Egg Cookies,Lauren Allen,4.62,26,Dessert,10 minutes,10 minutes,NA,Total: 20 minutes mins,NA,10,"Preheat oven to 350 degrees F. Line a baking sheet with parchment paper or silpat liners.
Melt the chocolate in your microwave or double boiler until smooth and melted (careful not to burn or overheat it!). Set aside.
Add butter and sugars to a medium-size bowl and mix well, about 3 minutes. 
Add eggs and vanilla and mix until combined. 
Pour in the melted chocolate and and mix until combined.
Mix dry ingredients together in a separate bowl. Add to the chocolate batter and mix just until combined (don't over mix).
Roughly chop the Cadbury egg candies and gently stir them into the batter. (I like to reserve a handful to put on top of the cookies when they come out of the oven). 
Spoon the dough into about 1 ½ inch balls and place on cookie sheet. (it should make about 2 dozen cookies)
Bake for about 10-12 minutes, or until the edges of the cookies are barely set. Don't be tempted to over-bake them. They will harden as they cool.
Remove from the oven and allow them to cool on the baking sheet for 5 minutes (this is when I gently add my extra Cadbury egg pieces). Then transfer to a cooling rack to cool completely.",11,"▢ 8 ounces semi-sweet chocolate, (good quality) , chopped",▢ 2 large eggs,▢ 1 teaspoon vanilla extract,"▢ 5 Tablespoons butter, , room temperature","▢ 1/2 cup light brown sugar, , packed",▢ 1/4 cup granulated sugar,▢ 1 cup all-purpose flour,Tastes Better from Scratch,https://tastesbetterfromscratch.com/chocolate-cadbury-egg-cookies/,▢ 1/4 cup unsweetened cocoa powder,▢ 1 teaspoon baking powder,▢ 1/4 teaspoon salt,"▢ 2 cups mini Cadbury eggs, , roughly chopped",NA,NA,NA,NA,NA,NA,NA,NA
Homemade Oreo Cookies,Lauren Allen,4.93,118,Kid Friendly Recipes,40 minutes,8 minutes,NA,Total: 48 minutes mins,NA,13,"Add the flour, cocoa powder, baking soda, and salt to a large bowl. Set aside.
Add the butter to a mixing bowl and beat on high speed until creamy. Add granulated sugar and brown sugar and mix until well combined. Mix in egg and vanilla extract.
Add the dry ingredients and mix on low speed until combined. Cover the dough and chill for 30 minutes.
Preheat oven to 350 degrees F.
Remove the cookie dough from the refrigerator. Line two large baking sheets with parchment paper.
Roll the dough into small, 2 teaspoon sized balls. 
You should be able to roll about 30 cookie dough balls. I can fit 15 on each of my cookie sheets. Press down lightly on the top of the balls to slightly flatten. 
Bake for 6-8 minutes. The will appear soft but will continue to harden as they cool. Cool for 5 minutes on the baking sheet, and then remove to a wire cooling wrack to cool completely.
Beat together butter and shortening until smooth. 
Add powdered sugar and vanilla and mix for 1-2 minutes, until smooth. 
Once the cookies have cooled, add a small spoonful of filling onto the inside of a cookie. Place the inside of another cookie on top and press together.
Cookies store well, covered in the fridge, for up to 1 week. They also freeze well, up to 2 months. 
Filling can be made up to 1 week ahead of time, stored in the fridge. Allow to come to room temperature before filling cookies.",13,"▢ 1 1/4 cups all-purpose flour, (156 g)","▢ 1/2 cup unsweetened cocoa powder, (43 g)","▢ 1 teaspoon baking soda, (5 g)",▢ 1/8 teaspoon salt,"▢ 1/2 cup butter, , room temperature (113 g)","▢ 3/4 cup granulated sugar, (150 g)","▢ 1/4 cup light brown sugar, , packed (55 g)",Tastes Better from Scratch,https://tastesbetterfromscratch.com/homemade-oreo-cookies/,▢ 1 large egg,"▢ 1 teaspoon vanilla extract, (5 ml)","▢ 1/4 cup butter, (57 g)","▢ 1/4 cup vegetable shortening, , or 4 oz of cream cheese if you'd like a cream cheese frosting for the filling, instead. (57 g)","▢ 1 3/4 cups powdered sugar, (220 g)","▢ 1 teaspoon vanilla extract, (5 ml)",NA,NA,NA,NA,NA,NA
Chocolate Peppermint Kiss Cookies,Lauren Allen,5,3,Holiday,15 minutes,10 minutes,NA,Total: 25 minutes mins,NA,7,"Preheat oven to 350 degrees. 
In a large bowl combine the butter and sugar and beat until light and fluffy. 
Add the eggs and vanilla and beat until well combined.
 Stir together flour, cocoa, baking soda, salt; add to the bowl with the wet ingredients. 
Drop dough by rounded teaspoons onto a parchment lined cookie sheet. 
Bake for about 10 minutes or just until set. (Cookies may appear soft but will set up after removing them from the oven to cool for a few minutes.) 
Place a peppermint kiss in the center of each cookie.",9,"▢ 1 cup butter, , softened",▢ 1 1/2 cups granulated sugar,▢ 2 large eggs,▢ 2 teaspoons vanilla extract,▢ 2 cups all-purpose flour,▢ 2/3 cup unsweetened cocoa powder,▢ 3/4 teaspoon baking soda,Tastes Better from Scratch,https://tastesbetterfromscratch.com/chocolate-peppermint-kiss-cookies/,▢ 1/4 teaspoon salt,▢ 24 Hershey's peppermint kiss candies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blondies,Lauren Allen,4.91,31,Dessert,10 minutes,30 minutes,NA,Total: 40 minutes mins,NA,5,"Preheat oven to 350 degrees F. Grease a 9×13-inch pan with cooking spray or line with parchment paper.
Mix together the melted butter and brown sugar. Add the eggs and vanilla and mix. 
Add the flour, baking powder, baking soda and salt and mix just until combined. 
Stir in the baking chips.
Bake for 24-28 minutes, or until a toothpick inserted in the center comes out clean. Allow to cool for about 20 minutes before cutting.",11,"▢ 10 Tablespoons butter, , melted","▢ 2 cups light brown sugar, , packed",▢ 2 large eggs,▢ 2 teaspoons vanilla extract,▢ 2 cups all-purpose flour,▢ 1 teaspoon baking powder,▢ 1/4 teaspoon baking soda,Tastes Better from Scratch,https://tastesbetterfromscratch.com/triple-chip-blondies/,▢ 1/2 teaspoon salt,"▢ 1/2 cup semi-sweet chocolate chips, (or milk chocolate chips)",▢ 1/2 cup white chocolate chips*,▢ 1/2 cup butterscotch chips*,NA,NA,NA,NA,NA,NA,NA,NA
S’mores Bars,Lauren Allen,4.96,105,Dessert,20 minutes,35 minutes,NA,Total: 45 minutes mins,NA,8,"Preheat the oven to 350 degrees F. Grease a 9×13'' baking dish or line with parchment paper.
In a medium bowl combine the flour, graham cracker crumbs, baking powder and salt.
In a separate large bowl, cream the butter and sugar together until light and fluffy, about 2 minutes. 
Add the eggs and vanilla and beat until well combined. Reduce the mixer speed to low and add the flour mixture, mixing until combined. 
Press half of the dough mixture evenly into the bottom of the prepared pan. 
Dollop marshmallow creme on top and gently spread into an even layer. If the marshmallow creme gets really sticky you can dip your spoon in hot water (shake off excess water) and it will help to spread.
Break the chocolate bars into pieces and layer over the marshmallow (or sprinkle with chocolate chips). Place small pieces of dough all over the top, flattening into an even layer as best you can.
Bake for 28-32 minutes or until golden brown. Allow to cool completely before cutting and serving.",10,▢ 2 cups all-purpose flour,"▢ 2 cups graham cracker crumbs, (about 16 full crackers)",▢ 1 teaspoon baking powder,▢ 1/4 teaspoon salt,"▢ 1 cup butter, (2 sticks), softened","▢ 1 1/2 cups light brown sugar, , packed",▢ 1 teaspoon vanilla extract,Tastes Better from Scratch,https://tastesbetterfromscratch.com/smore-cookie-bars/,▢ 2 large eggs,▢ 7 ounces marshmallow creme or fluff,"▢ 3 4.4 ounce Hershey's chocolate bars, , or 2 ½ cups chocolate chips",NA,NA,NA,NA,NA,NA,NA,NA,NA
Snickerdoodle Bars,Lauren Allen,4.92,221,Dessert,7 minutes,23 minutes,NA,Total: 30 minutes mins,NA,5,"Preheat oven to 350 degrees F.
Cream together butter, shortening, and 1 ½ cups granulated sugar. Add eggs and vanilla and mix well. Add the flour, cream of tartar, baking soda and salt and stir until combined. 
Lightly grease a 9x13'' pan. Press the dough into an even layer on the bottom the pan. 
In a small cup or bowl, mix the 1 ½ tablespoons granulated sugar and 1 teaspoon cinnamon. Sprinkle mixture evenly over the top of the dough. 
Bake for 22-26 minutes (don't over bake!). Remove and allow to cool completely before cutting and serving.  ",11,"▢ 1/2 cup butter, , softened",▢ 1/2 cup shortening,▢ 1 1/2 cups granulated sugar,▢ 2 large eggs,▢ 2 teaspoons vanilla extract,▢ 2 3/4 cups all-purpose flour,▢ 1 1/2 teaspoons cream of tartar,Tastes Better from Scratch,https://tastesbetterfromscratch.com/snickerdoodle-bars/,▢ 1 teaspoon baking soda,▢ 1/4 teaspoon salt,▢ 1 1/2 Tablespoons granulated sugar,▢ 1 teaspoon ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA
Oreo Bars,Lauren Allen,5,19,Dessert,15 minutes,30 minutes,NA,Total: 45 minutes mins,NA,5,"Preheat oven to 350°F. Grease an 8x8'' baking pan (or line with parchment paper).
Add flour, cocoa powder, baking soda and salt to a small bowl and stir to combine. 
To a large mixing bowl add butter, brown sugar and granulated sugar. Beat with electric mixers (or in your stand mixer) until well creamed together, about 3 minutes. Add egg and vanilla and mix well. 
Add dry ingredients and mix just until incorporated. Stir in Oreos and white chocolate chips. Press dough into pan.
Bake for about 18-25 minutes or until a toothpick inserted in the center comes out clean.",11,▢ 1 1/4 cups all-purpose flour,▢ 1/3 cup unsweetened cocoa powder,▢ 1/2 teaspoon baking soda,▢ 1/4 teaspoon salt,"▢ 1/2 cup butter, , softened",▢ 1/2 cup light brown sugar,▢ 1/4 cup granulated sugar,Tastes Better from Scratch,https://tastesbetterfromscratch.com/oreo-cookie-bars/,▢ 1 teaspoon vanilla extract,▢ 1 large egg,▢ 1/2 cup white chocolate chips,"▢ 6 Oreo cookies, , chopped",NA,NA,NA,NA,NA,NA,NA,NA
Pecan Pie Bars,Lauren Allen,4.97,32,Dessert,NA,45 minutes,NA,Total: 2 hours hrs 45 minutes mins,NA,9,"Preheat the oven to 350 degrees F. 
Add butter and sugar to a mixing bowl and beat together until light and fluffy, about 3 minutes. Add the eggs and vanilla and mix well.
Stir together the flour, baking powder, and salt and add to the mixing bowl. Mix just until dough is combined. 
Flour your hands and press the dough evenly into 9x13'' baking sheet lined with parchment paper. Bake for 12-15 minutes or until the crust is set but not browned.
Add butter, corn syrup, and brown sugar to a saucepan over medium heat and stir until butter is melted.  
Bring to a slow boil and boil for 3 minutes.
Remove from heat and stir in heavy cream and chopped pecans.  Pour over the crust and smooth into an even layer.
Bake for 25 to 30 minutes or until the filling is set. The pecan bars are done when the edges are set and the center only slightly jiggles when the pan is moved.
Allow to cool completely, then cover and refrigerate for at least 2 hours before cutting and serving.",12,"▢ 1 1/4 cups butter, (2 ½ sticks), room temperature",▢ 6 Tablespoons granulated sugar,▢ 2 large eggs,▢ 1 1/2 teaspoons vanilla extract,▢ 2 1/4 cups all-purpose flour,▢ 1/4 teaspoon baking powder,▢ 1/8 teaspoon salt,Tastes Better from Scratch,https://tastesbetterfromscratch.com/pecan-bars/,"▢ 1 cup butter, (2 sticks)",▢ 1/2 cup Karo light corn syrup,"▢ 1 1/2 cups light brown sugar, , packed",▢ 2 Tablespoons heavy whipping cream,"▢ 3 1/2 cups pecans, , chopped",NA,NA,NA,NA,NA,NA,NA
S’mores Cookies,Lauren Allen,4.50,26,Dessert,10 minutes,10 minutes,NA,Total: 20 minutes mins,NA,6,"Preheat oven to 375 degrees F. Line a baking sheet with parchment paper.
Cookie Dough: In large mixing bowl cream together the butter, granulated sugar and brown sugar for 2-3 minutes. Add egg, egg yolk and vanilla then mix. Add flour, graham cracker crumbs, baking soda and salt then mix until combined. Stir in chocolate chips.
Chill dough in the refrigerator for 15 minutes.
Scoop cookie dough into 2 Tablespoon size balls and place on prepared baking sheet, a few inches apart. Press down slightly on the cookie dough balls, to flatten a little.
Bake for 8 minutes. Remove from oven and gently press 2-3 small pieces of Hershey's chocolate and 2-3 mini marshmallows on the top of each cookie.  Return to oven for 3-5 minutes. 
Allow to cool on the baking sheet for 5 minutes before moving to a wire rack to cool completely. ",13,"▢ ¾ cup butter, , room temperature",▢ 1/2 cup granulated sugar,"▢ ½ cup light brown sugar, , packed",▢ 1 large egg,▢ 1 egg yolk,▢ 1 teaspoon vanilla extract,▢ 1 3/4 cups all-purpose flour,Tastes Better from Scratch,https://tastesbetterfromscratch.com/smore-cookies/,▢ 1 cup graham cracker crumbs,▢ ½ teaspoon baking soda,▢ 1/2 teaspoon salt,▢ 1 cup semi-sweet chocolate chips,"▢ 1 (1.5 oz) Hershey's chocolate bar, chopped",▢ 1 heaping cup mini marshmallows,NA,NA,NA,NA,NA,NA
Red Velvet Cookies,Lauren Allen,4.89,148,Dessert,15 minutes,10 minutes,NA,Total: 25 minutes mins,12 sandwich cookies,8,"Preheat oven to 375 degrees F. Line two cookie sheets with parchment paper.
Whisk together the flour, cocoa powder, baking soda, baking powder, and salt.
In a separate mixing bowl, beat together the butter and sugar until light and fluffy. Add the egg and red food coloring and mix to combine. Add the dry ingredients and mix on low speed, just until combined.
Scoop tablespoon size balls onto cookie sheets (should make about 24 cookies). Use a measuring cup or the palm of your hand to gently flatten the balls just slightly.
Bake until edges start setting, about 8-10 minutes. Cool for 10 minutes on baking sheet before transferring to a wire rack to cool completely.
Beat together the cream cheese and butter until smooth. Add powdered sugar and vanilla then mix until smooth. Add more powdered sugar or a splash of milk, if needed, until desired consistency is reached.
Assemble: Once the cookies have cooled, add a small spoonful of cream cheese filling onto one cookie. Place another cookie on top and press them together to make a cookie sandwich.
Store cookies in an airtight container in the refrigerator for up to 1 week.",13,▢ 1 1/2 cups all-purpose flour,▢ 2 Tablespoons unsweetened cocoa powder,▢ 1 teaspoon baking soda,▢ 1/4 teaspoon baking powder,▢ 1/4 teaspoon salt,▢ 1 cup granulated sugar,"▢ 1/2 cup unsalted butter, , softened",Tastes Better from Scratch,https://tastesbetterfromscratch.com/red-velvet-cookies-with-cream-cheese-filling/,▢ 1 large egg,▢ 1 Tablespoon liquid red food coloring,▢ 1/4 cup butter,"▢ 4 ounces cream cheese, , softened",▢ 1 3/4 cups powdered sugar,▢ 1/2 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA
Homemade Twix Bars,Lauren Allen,4.83,139,Dessert,NA,35 minutes,NA,Total: 2 hours hrs 35 minutes mins,NA,11,"Preheat oven to 300 degrees F. Line a 9×13″ pan with parchment paper, or spray really well with non-stick cooking spray.
In a large bowl, use a pastry blender to combine the butter, sugar, flour, and vanilla until the mixture comes together.  Press the shortbread dough into the pan. 
Bake for 28-35 minutes or until the crust is very lightly golden. Remove from oven and allow to cool completely.
Combine all of the ingredients in a medium saucepan over medium heat. 
Maintain the heat at medium and bring mixture to a rolling boil, stirring often. 
Continue to cook, stirring constantly until the mixture reaches the soft ball stage, about 15-20 minutes). 
I test the ""doneness"" of the caramels using the ice water method: Stick several ice cubes in a cup and add cold water. Drop a spoonful of caramel into the ice water. If you're able to clump the caramel sauce together in your hands to form a very soft ball, then it's ready. When the caramel starts to turn golden brown, I do the ice water test every few minutes until I find that it's ready, just to make sure I don't overcook it.
Once it reaches soft ball stage, remove from heat and pour the warm caramel over the cooled shortbread crust. Allow to cool for a few minutes,  then refrigerate for at least 2 hours, or overnight.
Add the butter and chocolate to a bowl and use a double boiler (or your microwave at low power, 30 second intervals, stirring in between) to melt the chocolate until smooth. 
Pour melted chocolate over the set up caramel and smooth into an even layer. Refrigerate until the chocolate is set. 
Store in the fridge, covered, for up to 1 week. ",10,"▢ 1 cup butter, cold, (*see note)",▢ 1 cup powdered sugar,▢ 2 cups all-purpose flour,▢ 1 teaspoon vanilla extract,"▢ 1 cup butter, (*see note)",▢ 1 cup light brown sugar,▢ 1 cup light corn syrup,Tastes Better from Scratch,https://tastesbetterfromscratch.com/homemade-twix-bars/,▢ 14 ounces sweetened condensed milk,▢ 3 cups chopped milk or dark chocolate,▢ 1 Tablespoon butter,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turtle Cookies,Lauren Allen,4.97,294,Dessert,15 minutes,10 minutes,NA,Total: 1 hour hr 25 minutes mins,20 cookies,8,"Cookie dough: Combine flour, cocoa and salt. In a separate bowl mix butter and sugar until light and fluffy, 2-3 minutes. Mix in the egg yolk, milk, and vanilla. Stir in flour mixture, just until combined. 
Chill dough in the refrigerator for one hour.
Preheat oven to 350 degrees F. Line a baking sheet with parchment paper.
Pecan coating: Whisk egg white in a bowl until frothy. Place finely chopped pecans in another shallow bowl. Remove cookie dough from fridge and roll into 20 small balls. Roll each dough ball in the frothy egg whites, and then roll and press in the chopped pecans. Place on baking sheet.  
Indent: Use the back of a small measuring spoon to make an indentation in the center of each dough ball.
Bake at 350 Degrees F for about 10-12 minutes, or just until set. Don't over-bake (cookies will harden as they cool). As the cookies come out of the oven, gently re-press the indentations with a small spoon.
Caramel: In a microwavable bowl, mix the caramel bits and water. Microwave at 30-second intervals, stirring after each interval, until caramel is melted (1-2 minutes). Pour small spoonfuls of caramel into the indented cookies. 
Optional Chocolate Drizzle: Melt chocolate in a double boiler or in the microwave until smooth. Drizzle cookies with melted chocolate. Sprinkle with flake salt, if desired. ",12,"▢ 1 cup all-purpose flour, (125 grams)","▢ 1/3 cup unsweetened cocoa powder, (28 grams)",▢ 1/4 teaspoon salt,"▢ ½ cup butter, (113 grams)","▢ 2/3 cup granulated sugar, (134 grams)","▢ 1 large egg, , separated",▢ 2 Tablespoons milk,Tastes Better from Scratch,https://tastesbetterfromscratch.com/turtle-thumbprint-cookies/,▢ 1 teaspoon vanilla extract,"▢ 1 cup pecans, , finely chopped","▢ 2/3 cup Kraft Caramel Bits, or regular caramels, melted",▢ 1/2 teaspoon water,▢ 2 oz Semi-sweet chocolate,NA,NA,NA,NA,NA,NA,NA
Butterscotch Blondies,Lauren Allen,4.99,163,Dessert,10 minutes,25 minutes,NA,Total: 35 minutes mins,NA,13,"Preheat oven to 350 degrees F.
Add the butter, sugar and brown sugar to a mixing bowl and cream together until very smooth.
 Add egg and vanilla and mix well.
Add flour and baking powder and stir until combined. 
Fold in butterscotch chips (keep a small handful to sprinkle on top).
Spread into a greased square (8 or 9 inch) baking pan and bake for about 25 minutes, or until a toothpick inserted comes out clean. 
Allow to cool before cutting into bars.
Melt the butter in a saucepan over medium heat. 
Add the sugar and cream and stir well with a wooden spoon until blended. 
Bring mixture to a boil, reduce heat and boil for about 5 minutes, stirring often.
Remove from heat and stir in vanilla. The sauce will thicken as it cools. 
Serve warm over ice cream.
To store, refrigerate sauce in an air-tight container.",13,"▢ ½ cup salted butter, , softened",▢ 1/2 cup granulated sugar,▢ ½ cup light brown sugar,▢ 1 large egg,▢ 1 teaspoon vanilla extract,▢ 1 1/4 cups all-purpose flour,▢ ½ teaspoon baking powder,Tastes Better from Scratch,https://tastesbetterfromscratch.com/butterscotch-blondies/,▢ ½ cup butterscotch chips,▢ Optional: Serve with Ice Cream and Butterscotch Sauce,"▢ ½ cup salted butter, , at room temperature",▢ 1 cup dark brown sugar,▢ 1 cup heavy whipping cream,▢ 3 teaspoons vanilla extract,NA,NA,NA,NA,NA,NA
Mississippi Mud Brownies,Lauren Allen,4.96,172,Dessert,20 minutes,25 minutes,NA,Total: 45 minutes mins,NA,10,"Preheat oven to 350 degrees F. Grease a 9×13” pan with non-stick cooking spray.
In a large mixing bowl, pour oil over cocoa powder and mix. 
Add softened butter and mix until smooth. Add sugar and mix for 1 minute. Add eggs, one at a time, mixing after each addition. Add vanilla and mix. 
Add flour and salt and stir to combine. 
Pour batter into prepared pan. Bake for 25-30 minutes or until a toothpick inserted into the center comes out clean.
Remove brownies from the oven and sprinkle the marshmallows evenly on top. Return to the oven for 2-3 minutes or until the marshmallows are puffed. Remove from oven and allow them to cool completely.
Once brownies are cool, make the frosting.
Add melted butter, cocoa powdered, evaporated milk, vanilla, and 2 cups of powdered sugar to a mixing bowl and beat with electric beaters until smooth. 
Add more powdered sugar, a cup at a time, mixing well, until you reach your desired frosting consistency. I usually use about 3 ¼ cups powdered sugar.
Spread frosting over the cooled brownies and cut into squares. I've found a plastic knife works best to cut them, or if you make them 1 day in advance they are much easier to cut.",14,▢ 1/3 cup unsweetened cocoa powder,"▢ 1/2 cup oil, (vegetable or canola oil)","▢ 1/2 cup butter, , softened",▢ 2 cups granulated sugar,▢ 4 large eggs,▢ 2 teaspoons vanilla extract,▢ 1 1/2 cups all-purpose flour,Tastes Better from Scratch,https://tastesbetterfromscratch.com/mississippi-mud-brownies/,▢ 1 teaspoon salt,▢ 3 cups mini marshmallows,"▢ 1/2 cup butter, , melted",▢ 1/3 cup unsweetened cocoa powder,▢ 1/3 cup evaporated milk,▢ 1 teaspoon vanilla extract,▢ 3 – 3 1/2 cups powdered sugar,NA,NA,NA,NA,NA
Zucchini Brownies,Lauren Allen,5,8,Dessert,10 minutes,30 minutes,NA,Total: 40 minutes mins,NA,5,"Preheat oven to 350 degrees F (180C). Grease a 9×13'' pan.
In a large mixing bowl beat together the oil and sugar. Add the egg and mix well. Add the vanilla and shredded zucchini and mix well. 
In a separate bowl mix together the flour, cocoa powder, baking soda, baking powder and salt. Add dry ingredients to the large mixing bowl and beat until combined.
Spread mixture into prepared pan (batter will be thick) and smooth into an even layer. Bake for 30-35 minutes or until they center of the brownies springs back when gently touched. Cool on a wire cooling rack.
Frost brownies with cream cheese frosting, once they are completely cool, if desired.",10,"▢ 1/2 cup oil, (109g)","▢ 1 1/2 cups granulated sugar, (300g)",▢ 1 large egg,"▢ 1 teaspoon vanilla extract, (5g)","▢ 2 cups grated zucchini, (300g)","▢ 2 cups all-purpose flour, (240g)","▢ 1/2 cup unsweetened cocoa powder, (42g)",Tastes Better from Scratch,https://tastesbetterfromscratch.com/zucchini-brownies-with-cream-cheese-frosting/,"▢ 1 teaspoon baking soda, (6g)","▢ 3/4 teaspoon baking powder, (3g)","▢ 1/2 teaspoon salt, (3g)",NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Brownies,Lauren Allen,4.80,58,Dessert,15 minutes,30 minutes,NA,Total: 45 minutes mins,NA,9,"Preheat oven to 350 degrees F. 
Mix sugar and oil in a mixing bowl. 
Add eggs one at a time, mixing well after each egg is added. Add vanilla.
Add dry ingredients:  cocoa powder, salt, flour, and stir until combined.
Bake: Pour batter into a greased 9×13'' baking pan and spread into an even layer. Bake at 350 degrees F for 30 minutes, or until a toothpick inserted in the center comes out clean. 
Cool completely before frosting.
Cream the butter until light and fluffy. Add cocoa powder and salt and mix until well combined. 
Add vanilla. Alternately add powdered sugar and milk, mixing well until you reach your desired frosting consistency. Spread frosting over cooled brownies.
Store in an airtight container at room temperature or in the refrigerator.",13,▢ 1 cup oil*,▢ 2 cups granulated sugar,▢ 4 large eggs,▢ 6 Tablespoons unsweetened cocoa powder,▢ 1 teaspoon salt,▢ 1 1/2 cups all-purpose flour,▢ 1 Tablespoon vanilla extract,Tastes Better from Scratch,https://tastesbetterfromscratch.com/chocolate-frosted-brownies/,"▢ 1/2 cup butter, , room temperature",▢ 1/2 cup unsweetened cocoa powder,▢ pinch of salt,▢ 2-3 cups powdered sugar,▢ 1 teaspoon vanilla extract,"▢ 5-6 Tablespoons milk, (or half and half, or cream)",NA,NA,NA,NA,NA,NA
Mint Brownies,Lauren Allen,4.92,99,Kid Friendly Recipes,10 minutes,30 minutes,NA,Total: 40 minutes mins,NA,5,"Preheat oven to 350 degrees F.
Batter: Mix sugar and oil in a mixing bowl. Add eggs one at a time, mixing well after each egg is added. Add vanilla. Add dry ingredients: cocoa powder, salt, flour, and stir until combined.
Bake: Pour batter into a greased 9×13'' baking pan and spread into an even layer. Bake at 350 degrees F for 30 minutes, or until a toothpick inserted in the center comes out clean. Cool completely before frosting.
Mint Frosting: Combine all frosting ingredients and beat until light and fluffy. Add more milk if you want it thinner. Spread the frosting evenly over the cooled brownies. Refrigerate while you make the chocolate frosting.
Chocolate Frosting: Combine butter and cocoa powder. Add powdered sugar, milk, and vanilla extract. Mix for several minutes until smooth and fluffy.",17,"▢ 1 cup oil*, avocado, vegetable or canola oil",▢ 2 cups granulated sugar,▢ 4 large eggs,▢ 6 Tablespoons unsweetened cocoa powder,▢ 1 teaspoon salt,▢ 1 1/2 cups all-purpose flour,▢ 1 Tablespoon vanilla extract,Tastes Better from Scratch,https://tastesbetterfromscratch.com/mint-brownies/,▢ 2 cups powdered sugar,"▢ 4 Tablespoons butter, , room temperature",▢ 1 1/2 teaspoons peppermint extract,▢ 1-2 Tablespoons milk,"▢ green food coloring, (optional)",▢ 1/2 cup melted butter,▢ 2/3 cup unsweetened cocoa powder,▢ 3 cups powdered sugar,▢ 1/3 cup milk,▢ 1 teaspoon vanilla extract,NA,NA
German Chocolate Brownies,Lauren Allen,4.66,55,Dessert,20 minutes,50 minutes,NA,Total: 1 hour hr 10 minutes mins,NA,7,"Preheat oven to 350 degrees F. Grease a 9x13'' pan with non-stick cooking spray.
In a large mixing bowl, pour oil over cocoa powder and mix. Add softened butter and mix until smooth. Add sugar and mix for 1 minute.
Add eggs, one at a time, mixing after each addition. Add vanilla and mix. Add flour and salt and stir to combine.
Pour batter into prepared pan. Bake for 30-40 minutes or until a toothpick inserted into the center comes out clean. 
In a medium saucepan add brown sugar, granulated sugar, butter, egg yolks, and evaporated milk. Stir to combine and bring the mixture to a low boil over medium heat. Stir constantly for several minutes until the mixture begins to thicken.
Remove from heat and stir in vanilla, nuts and coconut. Allow to cool completely.
Once the brownies have cooled, cover the brownies with a layer of German chocolate frosting.",16,▢ 1/3 cup unsweetened cocoa powder,"▢ 1/2 cup oil, (vegetable or canola oil)","▢ ½ cup butter, , softened",▢ 2 cups granulated sugar,▢ 4 large eggs,▢ 2 teaspoons vanilla extract,▢ 1 1/2 cups all-purpose flour,Tastes Better from Scratch,https://tastesbetterfromscratch.com/german-chocolate-brownies/,▢ 1 teaspoon salt,▢ 1/4 cup light brown sugar,▢ 1/4 cup granulated sugar,▢ 1/4 cup butter,▢ 2 egg yolks,▢ 1/3 cup evaporated milk,▢ 2 teaspoons vanilla extract,▢ 1/2 cup chopped pecans,▢ 1/2 cup shredded sweetened coconut,NA,NA,NA
Reindeer Cookies,Lauren Allen,4.89,26,Holiday,10 minutes,10 minutes,Refrigerate: 30 minutes mins,Total: 50 minutes mins,NA,8,"In a mixing bowl, cream together butter, shortening, peanut butter, ½ cup granulated sugar, and brown sugar until light and fluffy, about 2 minutes.
Add eggs, mixing after each addition. Mix in the vanilla.
In a separate bowl, whisk together flour, baking soda, and salt.
Stir dry ingredients into the wet ingredients and mix gently to combine. Don't over-mix. The dough will be very soft. Refrigerate for at least 30 minutes, or up to 3 days.
Preheat oven to 375 degrees F.
Line a cookie sheet with parchment paper.
Scoop dough into large balls and roll them into an oval shape. Place on prepared baking sheet. Bake for 9-12 minutes, until set and no longer glossy looking.
Remove from oven. Press pretzels into the top of the cookie, for the ears. Press a rolo into the center, for the nose. Add two candy eyes, or chocolate chips for the eyes. Place a dot of frosting in the center of the rolo to secure a red m&m candy on top, for the nose.  Allow to cool on baking sheet. then transfer to cooling rack.",15,"▢ 1/4 cup unsalted butter, (57 g)","▢ 1/4 cup vegetable shortening*, (50 g)","▢ 1/2 cup creamy peanut butter, (130 g)","▢ 1/2 cup granulated sugar, (100 g)","▢ 1/2 cup light brown sugar, , packed (110 g)","▢ 1/2 teaspoon vanilla extract, (2.5 ml)","▢ 2 eggs, , large",Tastes Better from Scratch,https://tastesbetterfromscratch.com/reindeer-cookies/,"▢ 1 3/4 cups all-purpose flour, (219 g)","▢ 1 teaspoon baking soda, (5 g)",▢ 1/4 teaspoon salt,▢ 36 mini pretzel twists,▢ 18 rolo candies,▢ 18 red m&m candies,"▢ 36 candy eyes, , or mini chocolate chips",▢ 1 small tube decorating frosting,NA,NA,NA,NA
