title,author,rating,ratingnum,cuisine,course,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,source,link,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18
Eggless Funfetti Cookies,Oriana Romero,4.60,22,American,Dessert,Cookies,15 minutes,10 minutes,NA,25 minutes,30 cookies,6,"Preheat your oven to 350°F (180° C). Then line a cookie sheet with parchment paper and set aside. The number of batches will depend on how large/small you want your cookies.
Combine the flour, cornstarch, baking powder and salt in a medium-sized bowl and set aside.
Cream the butter and sugar together in a large bowl with an electric mixer on medium speed until light in color and fluffy, about 3 minutes. Add cream cheese and vanilla and mix until well combined, 1 more minute. 
Add the flour mixture and mix until the dough comes together and is combined. Stir in sprinkles. Do not over mix.
Drop by rounded tablespoon onto the prepared baking sheet. Note: For evenly sized cookies, better for baking, use a small spring-loaded ice cream scoop to spoon out the dough. Then, sprinkle each dough mounts with more sprinkles, if desire.
Bake for 8-10 minutes, until very lightly colored on top and around the edges. Allow to cool on the baking sheet for 5 minutes, then transfer to a wire rack to cool.",9,▢ 2 cups (280 g) all-purpose flour,▢ 2 tablespoons (24 g) cornstarch,▢ 2 teaspoons (8 g) baking powder,▢ 1/2 teaspoon salt,▢ ¾ cup (170 g) unsalted butter,▢ ¾ cup (150 g) granulated sugar,"▢ 3 oz (85 g) cream cheese, softened",▢ 2 teaspoons pure vanilla extract,▢ ½ cup sprinkles + more for topping,NA,NA,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-funfetti-cookies/,NA,NA,NA,NA,NA,NA,NA
Eggless Oatmeal Chocolate Chip Cookies,Oriana Romero,5,2,American,Dessert,Cookies,10 minutes,10 minutes,NA,20 minutes,18 cookies,8,"Combine flour, oats, baking powder, baking soda, and salt in a bowl. Set aside.
Beat butter, granulated sugar, and brown sugar in a large mixer bowl over medium speed until smooth and creamy, about 3 – 4 minutes. Scrape down the sides and bottom of the bowl as needed. Add chocolate chips and mix until distributed.
Add dry ingredients and mix until incorporated. Add milk, molasses, and vanilla; mix until incorporated.
Use a small cookie scoop (1 1/2 to 2 tablespoons) to measure out the oatmeal cookie dough. Roll each portion into a smooth ball and place it on a cookie sheet or large plate. If time allows, refrigerate for at least 30 minutes up to 2 days. If not, continue to the next step. Note: Chilling the dough is optional, but it creates a cookie that spreads out less, concentrates the flavor, and improves texture. If you are in a hurry, you can bake the cookies right away. They will spread a bit more, but they will be delicious.
Preheat oven to 350º F (180º C). Line a large baking sheet with parchment paper or a silicone baking mat.
Place the cooled cookie balls evenly spaced, about 2 inches apart, on your prepared cookie sheet.
Bake for 8 – 10 minutes, until barely golden brown around the edges but still soft in the middle. When you remove the cookies from the oven, they will still look doughy, and that is okay; they will continue to set as they cool.
Cool on baking sheets for 2 minutes; remove to wire racks to cool completely. While the cookies are still warm, I like to press a few more chocolate chips into the tops—this is only for looks!",12,▢ 1 ½ cups (210 g) all-purpose flour,▢ 1 ½ cups (150 g) old-fashioned rolled oats,▢ 1 teaspoon (4 g) baking powder,▢ 1 teaspoon (6 g) baking soda,▢ ½ teaspoon (2 g) salt,"▢ ½ cup (115 g) unsalted butter, slightly softened",▢ 1/3 cup (67 g) granulated sugar,▢ 2/3 cup (134 g) brown sugar,▢ 1 cup (200 g) semisweet or dark chocolate chips,▢ 3 tablespoons (45 ml) milk,▢ 1 tablespoon (15 ml) unsulphured or dark molasses (optional – see notes ),Mommy's Home Cooking,https://mommyshomecooking.com/eggless-oatmeal-chocolate-chip-cookies/,▢ 2 teaspoons (10 ml) pure vanilla extract,NA,NA,NA,NA,NA,NA
Eggless Chocolate Sugar Cookies (Easy!),Oriana Romero,5,1,American,Dessert,Cookies,15 minutes,10 minutes,Chilling Time: 2 hours hrs,25 minutes,24 cookies,9,"Sift the flour, cocoa, and baking powder into a bowl. Add the salt and set aside.
Using an electric hand mixer or a stand mixer, beat the butter, sugar, cream cheese, vanilla, and salt at medium speed until smooth and creamy, for 3 to 4 minutes. Scrape down the sides and bottom of the bowl as needed.
Reduce the speed to low, and add the flour mixture; beat just until incorporated and the dough starts to come together. 
Divide the dough into two equal pieces. Place one piece of dough on a big piece of parchment paper (or a silicone mat) and slightly flatten it with your hands. Place another piece of parchment on top to prevent sticking. With a rolling pin, roll the dough out to about 1/4-inch thickness (6mm) thick. Repeat with the second piece of dough.
Place both rolled-out doughs, one on top of the other, on a baking tray and refrigerate for at least 2 hours and up to 2 days. Tip: Cover the tray with plastic wrap if you plan to refrigerate the dough for over 2 hours.
When ready to bake the cookies, preheat the oven to 350ºF (180ºC). Line two baking sheets with parchment paper or silicone baking mats.
Working with one dough sheet at a time, use a cookie cutter to cut the dough into shapes. Transfer the shapes to the prepared baking sheets, spacing them about 1/2 inch apart. Gather up the dough scraps and form them into a disk, then roll out and refrigerate for 15 to 20 minutes.
Bake the cut-out cookies for 10 to 12 minutes or until they are just set the edges. Remove from the oven and let them sit on the baking sheets for 5 minutes. Then, use a wide metal spatula to transfer the cookies to a wire rack and let cool completely. Repeat the process to roll out, cut and bake the remaining dough.
Decorate the cooled sugar cookies as desired. If using eggless royal icing, let the icing dry completely, about 1 1/2 hours, before serving. Once the cookies have completely dried, they can be stored either in an airtight container with waxed paper in between each layer or in an airtight bag in a single layer. ",8,▢ 2 1/4 cups (315 g) all-purpose flour,▢ 3/4 cup (75 g) unsweetened cocoa powder,▢ 1/2 teaspoon (2 g) baking powder,"▢ 3/4 cup (175 g) unsalted butter, softened",▢ 1 cup (200 g) granulated sugar,"▢ 6 oz (170 g) cream cheese, softened",▢ 2 teaspoons (10 ml) pure vanilla extract,▢ 1/2 teaspoon (2 g) salt,NA,NA,NA,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-chocolate-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA
Simple Banana Scones (No Eggs),Oriana Romero,NA,NA,American,Breakfast,Breakfast,10 minutes,20 minutes,Chilling Time: 30 minutes mins,NA,8 Scones,10,"Line a large cookie sheet with parchment paper. Set aside.
In a large bowl, whisk together the flour, brown sugar, baking powder, cinnamon, nutmeg, and salt.
Add the cold diced butter and using your fingertips, rub the butter into the flour mixture until it resembles coarse crumbs.
In a separate small bowl, whisk with yogurt, mashed banana, and vanilla extract until combined.
Create a small well in the center of the flour mixture. Pour the smashed banana mixture into the well and stir with a fork until the dough comes together.
Turn the dough out onto a lightly floured surface. Fold the dough in half over itself and gently flatten. Rotate the dough 90 degrees, fold it over itself, and flatten it again. Repeat this step 2 – 3 more times, taking care not to overwork the dough. Then, form the dough out into a 3/4-inch-thick round. Cut into 8 wedges. For the best texture and highest rise, place the scones in the freezer for 30 minutes.
While the scones are chilling, preheat the oven to 400°F (200 º C). 
Brush the scones with heavy cream and bake for about 18 to 20 minutes or until risen, set in the centers, and slightly golden on the bottoms.
Remove from oven and allow to cool down completely on a wire rack.
Make the icing: In a small bowl, mix powdered sugar, cinnamon, maple syrup and milk until smooth. Drizzle over scones.",15,▢ 2 1/4 cups (315 g) all-purpose flour,▢ 1/4 cup (50 g) brown sugar,▢ 3 teaspoons (12 g) baking powder,▢ 1 teaspoon groung cinnamon,▢ 1/8 teaspoon ground nutmeg,▢ ½ teaspoon salt,"▢ 10 tablespoons (140 g) unsalted butter, cooled and diced into small cubes",▢ 3/4 cup (180 g) plain yogurt (see notes),▢ ½ cup (120 g) mashed ripe banana (about 1 large banana),▢ 1 teaspoon (5 ml) pure vanilla extract,▢ ¼ cup (60 ml) heavy cream (for brushing),Mommy's Home Cooking,https://mommyshomecooking.com/simple-banana-scones/,▢ 1/2 cup (60 g) powdered sugar,▢ 1/2 teaspoon ground cinnamon,▢ 2 tablespoons (30 ml) pure maple syrup,▢ 2 teaspoons (10 ml) milk,NA,NA,NA
Best Vegan Ladyfingers Recipe (Easy),Oriana Romero,5,1,Italian,Dessert,All Recipes,15 minutes,15 minutes,Chilling Time: 30 minutes mins,NA,40 Ladyfingers,16,"I highly recommend using a kitchen scale to measure the ingredients. 
Make sure you have enough space in your fridge to chill the ladyfinger before baking. 
If you are using Eggless Ladyfingers to make Tiramisu, I highly recommend making the cookies the day before and letting them dry out at room temperature overnight, so they have the perfect texture to dip into the coffee.
Using an electric mixer or a stand mixer (with the whisk attachment), beat on medium-high speed aquafaba and cream of tartar, until the mixture becomes foamy and the mixture becomes opaque. Continue beating until reach medium peaks.
Gradually add half of the sugar (120 g) about 1 teaspoon at a time, or just sprinkle it in slow as slow can be, stirring after each addition until sugar is dissolved (about 15-20 seconds between each addition).
Increase the speed of your mixer to the max. Beat until mixture is thick, shiny, and has increased in volume. The mixture should have stiff peaks and sugar should be completely dissolved. To know more details about how to whip aquafaba click here.
Mix flour, cornstarch, baking powder, and salt in a bowl. Set aside.
In a large bowl, beat the butter and the other half (120 g) of sugar until creamy and pale on medium-high speed. Scrape down the sides and up the bottom of the bowl with a rubber spatula as needed. Add vanilla and mix to combine.
Reduce speed to low and mix half of the flour mixture until just combined. Add milk in three additions, scraping down the mixing bowl with a spatula, and turn the batter over several times to ensure all of the ingredients are well incorporated. Add the remaining half of the flour; beat just until combined. Do not overmix the batter.
Using a large spoon or spatula, gently fold in the whipped aquafaba into the batter, taking care not to deflate all of the air you have incorporated.
Transfer the batter to a piping bag with a 1/2-inch round tip.
Pipe 3-inch lines of batter about 1 inch apart onto the parchment paper. Refrigerate the pipped ladyfingers for 20 – 30 minutes.
Preheat oven to 350° F (180° C). Line 2 cookie sheets with parchment paper, set aside.
After the chilling time is over, dust cookies generously with powdered sugar.
Bake the ladyfingers for 15 – 18 minutes, or until slightly golden on top and around the edges.
Allow to cool in the baking sheet for 5 minutes, then transfer to a wire rack to cool completely. Dust with more powdered sugar, if desired.",11,▢ 1/3 cup + 1 tablespoon + 1 teaspoon (100 g) aquafaba,▢ 1/4 teaspoon cream of tartar,"▢ 1 cup + 3 tablespoons (240 g) granulated sugar, divided",▢ 2 3/4 cup + 2 tablespoons (400 g) all-purpose flour,▢ 6 tablespoons (60 g) cornstarch,▢ 2 teaspoons (8 g) baking powder,▢ ½ teaspoon (2 g) salt,"▢ 1/ 2 cup + 3 tablespoons (160 g) dairy-free butter, softened",▢ 2 teaspoons (10 g) pure vanilla extract,▢ 1/3 cup + 1 tablespoon + 1 teaspoon (100 g) no-dairy milk,▢ ½ cup (60 g) powdered sugar (confectioners’ sugar),Mommy's Home Cooking,https://mommyshomecooking.com/vegan-ladyfingers-recipe/,NA,NA,NA,NA,NA,NA,NA
Easy Mini Chocolate Chip Cookies (Egg-Free),Oriana Romero,5,2,American,Dessert,Cookies,10 minutes,10 minutes,Chilling Time: 30 minutes mins,50 minutes,45 mini cookies,8,"Combine flour, baking powder, baking soda, and salt in a bowl. Set aside.
Using an electric hand mixer or a stand mixer over medium speed, beat the cold butter for 30-45 seconds to break it down a little. Add the granulated sugar, brown sugar, and cream cheese; mix until just combined, about 30-45 seconds. Scrape down the sides and bottom of the bowl as needed. Add chocolate chips and mix to distribute evenly.
Reduce the speed to low and add the flour mixture; mix until it resembles coarse crumbs. Then, add the milk and vanilla; mix until just combined (don't overmix!).
Scoop dough out a slightly heaping teaspoon at a time and drop it onto a plate or baking sheet. Shape each into a ball, then if desired, press 3 – 4 more chocolate chips into the top (totally optional, mostly for looks). Freeze for at least 30 minutes and up to 3 months.Tip: Use a small cookie scoop to portion out the dough.
Preheat the oven to 350º F (180º C). Line two large-rimmed baking sheets with parchment paper or a silicone baking mat.
Place the frozen cookie balls at least 1″ apart onto the prepared baking sheets.
Bake in a preheated oven for about 10 – 12 minutes (they should still fill soft and slightly under-baked; they will continue to cook slightly once removed from the oven, so carefully do not over-bake).Important: Every oven is different, so baking times must always be taken with a grain of salt. Oven thermostats can be wildly off,and that will all affect baking time, so keep an eye on yours. Your mini cookies are done, when the edges are very lightly browned. The centers will look very soft, but the cookies will continue to set as they cool. 
Allow to cool completely on cookie sheets.",11,▢ 3 cups (420 g) all-purpose flour,▢ 3 teaspoons (12 g) baking powder,▢ 1/8 teaspoon (0.75 g) baking soda,▢ 1 teaspoon (4 g) salt,▢ ¾ cup (174 g) butter cold and cubed,▢ 2/3 cup (134 g) granulated sugar,▢ 2/3 cup (134 g) light brown sugar,▢ 3 tablespoons (42 g) cream cheese,▢ 1 ½ cup (250 g) mini semi-sweet chocolate chips,▢ 3 tablespoons (45 ml) milk,▢ 1 teaspoon (5 ml) pure vanilla extract,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-easy-mini-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA
Best Eggless Brownie Cookies (Easy!),Oriana Romero,5,2,American,Dessert,Cookies,15 minutes,8 minutes,Chilling Time: 20 minutes mins,43 minutes,8 cookies,7,"Place chopped chocolate and butter in a medium-sized microwave-safe bowl and heat in 30-second intervals, stirring in between, until completely melted (alternatively, melt chocolate and butter over a double boiler). Sift the cocoa powder over the top of the chocolate and butter mixture and stir until well combined and smooth. Set aside.
In a large bowl, using a handheld or stand mixer fitted with a whisk attachment, combine the evaporated milk, granulated sugar, brown sugar, and vanilla. Mix on medium to high speed with an electric handheld mixer for 5 minutes until the mixture has lightened and is smooth.
Pour in the slightly cooled melted chocolate mixture and mix on medium-high speed for 2 minutes.
Add the flour, baking powder, and salt and incorporate them by hand using a spatula until the mixture is smooth and does not have any lumps. Cover and chill the dough in the refrigerator for just 15 – 20 minutes as the oven preheats. This quick chill time helps slightly solidify the chocolate and butter in the dough, which gives the cookies a nice spread (not over-spread). Start preheating the oven.
Preheat oven to 350°F (180°C). Line a large baking sheet with parchment paper or a silicone baking mat.
After 20 minutes in the frige, roll or scoop the dough into balls, about 1.5 tablespoons (45 g each approx.) of dough each, and roll briefly between your palms to form a smooth ball. Space cookies at least 2” (5 cm) apart on baking sheets.
Bake for 8 minutes or until the edges appear set. Important: The centers will be quite soft but will set up as the cookies cool. Remove from oven and allow to cool completely on baking sheet before removing and enjoying.",10,"▢ ½ cup (100 g) good quality semi-sweet or dark chocolate, coarsely chopped",▢ ¼ cup (58 g) unsalted butter,▢ 2 tablespoons (12 g) cocoa powder,▢ 3 tablespoons + 1 teaspoon (50 g) evaporated milk,▢ ¼ cup + 2 tablespoons (75 g) granulated sugar,▢ ¼ cup + 1 teaspoon (55 g) brown sugar,▢ ½ teaspoon (2.5 ml) pure vanilla extract,▢ ½ cup + 1 teaspoon (75 g) all-purpose flour,▢ 1/8 teaspoon (0.5 g) baking powder,▢ ¼ teaspoon (1 g) salt,NA,Mommy's Home Cooking,https://mommyshomecooking.com/best-eggless-brownie-cookies/,NA,NA,NA,NA,NA,NA,NA
Eggless Chocolate Chip Cookie Cake,Oriana Romero,5,4,American,Dessert,Cookies,15 minutes,35 minutes,NA,50 minutes,12 servings,7,"Preheat oven to 350° F (180° C). Line the botton of a 9-in springform pan with parchment paper, then spray with nonstick baking spray. Set aside.
In a medium mixing bowl, whisk together the flour, baking powder, baking soda, salt, and cornstarch. Set the bowl aside.
In a stand mixer fitted with the paddle attachment, cream together unsalted butter and cream cheese until smooth, about 2 – 3 minutes. Add the granulated sugar and light brown sugar; mix for 2 minutes. Scrape down the sides and bottom of the bowl as needed. Then add the vanilla extract and beat until combined.
Reduce speed to low and beat in flour mixture; mix just until combined. Beat in chocolate chips until evenly distributed.
Using a rubber spatula or wooden spoon, spread the cookie dough evenly into the prepared pan.
Bake for 30 to 35 minutes, or until it’s puffed, barely cooked in the center, and browned on the sides. Remove from the oven and set the pan on a wire rack to cool completely for 5 minutes. After 5 minutes, you will notice that the cookie cake might be sunk a bit in the center, so to level it up, press down the edges of the cake with a metal spatula or spoon. This way, you'll have a leveled cookie cake. Leave the cookie cake to cool completely. Once cooled, use a sharp knife or metal spatula to loosen the sides of the cookie cake from the pan and transfer to a serving dish.
Decorate as your heart desires. I use chocolate buttercream and sprrinkle, but it’s totally up to you. Instead, decorate with whipped cream or top with vanilla ice cream.",11,▢ 2 ½ cups (350 g) all-purpose flour,▢ 1 teaspoon (4 g) baking power,▢ 1/2 teaspoon (3 g) baking soda,▢ 1 teaspoon (4 g) salt,▢ 1 teaspoon cornstarch,"▢ 1 cup (225 g) unsalted butter, softened","▢ 3 oz (85 g) cream cheese, softened",▢ ½ cup (100 g) granulated sugar,▢ 1 cup (200 g) light brown sugar,▢ 2 teaspoons (10 ml) pure vanilla extract,▢ 1 – 1 1/2 cups (200 – 300 g) semisweet chocolate chips or chunks,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-chocolate-chip-cookie-cake/,NA,NA,NA,NA,NA,NA,NA
Easy Fruit Pizza (Egg-Free),Oriana Romero,5,1,American,Dessert,Cookies,20 minutes,17 minutes,Chilling Time: 1 hour hr,37 minutes,10 – 12 servings,9,"Sift the flour and baking powder into a bowl. Add the salt and set aside.
Using an electric hand mixer or a stand mixer, beat the butter and sugar at medium speed until smooth and creamy, 3 to 4 minutes. Scrape down the sides and bottom of the bowl as needed. Add the cream cheese and vanilla; mix until incorporated.
Reduce the speed to low and gradually beat in the flour mixture; beat just until incorporated, and the dough starts to come together. Once completely combined, form the dought into a disk, cover the dough tightly with plastic wrap, and chill in the refrigerator for 1 hour and up to 2 day.
Preheat the oven to 350ºF (180ºC). Line a baking sheet with parchment or grease a pizza pan with nonstick spray (even if it’s a nonstick pan).
Note: I did not have my pizza pan available so I just use my biggest baking sheet lined with parchement paper.
Remove chilled cookie dough from the refrigerator and press the cookie dough into a 9–10-inch circle, about 1/3-inch thick.
Note: You can press the cookie dough with your hands, like I did, or roll the dough out with a rolling pin.
Bake for 17–19 minutes or until the edges are very lightly browned. Avoid over-baking. Cool crust completely before decorating.
In a medium bowl using a handheld or stand mixer fitted with a paddle or whisk attachment, beat the cream cheese and butter together at medium speed until smooth, about 2 minutes. Add the confectioners’ sugar and vanilla. Beat for 1 minute or until creamy and combined.
Spread the frosting over the cooled sugar cookie crust. Decorate with sliced fruits of your preference. I used strawberries, kiwi, blueberries, and raspberries.
Cut into slices and serve.",12,▢ 1 1/2 cups (210 g) all-purpose flour,▢ 1/4 teaspoon (1 g) baking powder,▢ 1/2 teaspoon (2 g) salt,"▢ 6 tablespoons (84 g) unsalted butter, softened",▢ 1/2 cup (100 g) granulated sugar,"▢ 3 ounces (85 g) cream cheese, softened",▢ 1 teaspoon (5 ml) pure vanilla extract,"▢ 12 oz (339 g) full-fat brick cream cheese, softened to room temperature","▢ 3 tablespoons (42 g) unsalted butter, softened to room temperature",▢ 1 1/4 cups (150 g) confectioners’ sugar,▢ 1 teaspoon (5 ml) pure vanilla extract,Mommy's Home Cooking,https://mommyshomecooking.com/egg-free-easy-fruit-pizza/,▢ 3 cups (about 400 g) assorted sliced fresh fruit of your preference,NA,NA,NA,NA,NA,NA
Eggless Banana Bread Chocolate Chip Cookies,Oriana Romero,5,3,American,Dessert,Cookies,10 minutes,12 minutes,Chilling Time 1 hour hr,22 minutes,12 cookies,7,"Combine flour, baking soda, baking powder, salt, and cinnamon in a bowl. Set aside.
Using a hand mixer or a stand mixer fitted with a paddle attachment, cream the butter and both sugars together on medium speed until smooth, about 2 minutes. Add banana and vanilla and mix until just combined, about 1 – 2 minutes. Scrape down the sides and bottom of the bowl as needed.
Reduce speed to low and add in flour mixture; mix until combined. With the mixer running on low speed, add the chocolate chips. Dough will be thick and soft.
Cover and chill the dough in the refrigerator for 1 hour and up to 3 days. Note: If you chill the dough for longer than a few hours, allow the dough to sit out at room temperature for at least 20 minutes before rolling and baking because it will be quite hard to roll, and the cookies may not spread that much.
Preheat oven to 350º F (180º C). Line a large baking sheet with parchment paper or a silicone baking mat.
Scoop cookie dough into large balls, about 1 1/2 tablespoons of dough per cookie (about 50 g each). Place on the prepered baking sheet.
Bake for 12 – 14 minutes, until barely golden brown around the edges. Remove from oven, and press a few more chocolate chips into the tops of the warm cookies, if desired, this is optional and only for looks. Cool on baking sheets for 5 minutes; remove to wire racks to cool completely.",11,▢ 1 1/2 cups (210 g) all-purpose flour,▢ 1/4 teaspoon baking soda,▢ 1/4 teaspoon baking powder,▢ 1/2 teaspoon salt,▢ 1/2 teaspoon cinnamon,"▢ 1/2 cup (115 g) unsalted butter, softened (1 stick)",▢ 1/4 cup (50 g) granulated sugar,▢ 1/4 cup (50 g) brown sugar,▢ 1/2 cup (80 – 100 g) mashed ripe banana (one ripe medium banana),▢ 1 teaspoon (5 ml) pure vanilla extract,▢ 3/4 cup (150 g) semi-sweet or dark chocolate morsels or chunks,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-banana-bread-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA
Easy Chocolate Whoopie Pies (Egg-Free),Oriana Romero,5,3,American,Dessert,Cookies,10 minutes,10 minutes,Resting Time 10 minutes mins,30 minutes,10 Sandwich Cookies,7,"Preheat oven to 375º F (º C). Line 2 baking sheets with parchment paper or silicone baking mat.
In a medium bowl, whisk flour, cocoa powder, baking soda, baking powder, and salt together. Set aside.
In another bowl, mix brown sugar, buttermilk, oil, sour cream, and instant coffee (if using); mix well. Add flour mixture and mix just until combined, then pour in hot water and mix until combined and smooth. Let the batter rest 10 minutes.
Spoon or scoop mounds of batter, about 1 1/2 tablespoons each, onto prepared baking sheets– about 3 inches apart.
Bake the cookies for 8 – 10 minutes or until centers appear set, and the tops spring back when lightly touched. Allow cooling completely before sandwiching.
In a large bowl, beat the the butter with a hand-held or stand mixer for 1 minute on high speed, until completely smooth and creamy. Add the powdered sugar; beat until combined. Add the marshmallow fluff and vanilla and beat on medium-high speed until combined and creamy, about 3 minutes.
Pair the cookies up based on their size. Pipe or spread filling onto the flat side of one cookie and sandwich with the other. Repeat with the remaining cookies. NOTE: You can spread the filling onto the flat side of the cookie with a knife or you can use a piping bag with a round tip. I use a piping bag fitted with an Ateco #808 piping tip.",16,▢ 1 ¾ cup (245 g) all-purpose flour,▢ ¾ cup (80 g) natural cocoa powder,▢ ½ teaspoon (2 g) baking powder,▢ 1 teaspoon (6 g) baking soda,▢ ½ teaspoon (2 g) salt,▢ 1 cup (200 g) brown sugar,▢ ½ cup (120 ml) buttermilk,▢ ½ cup + 2 teaspoons (130 ml) neutral-tasting oil,▢ 2 tablespoons (30 g) sour cream,▢ 1 ½ teaspoon (7.5 ml) pure vanilla extract,▢ 1 teaspoon instant coffee powder,Mommy's Home Cooking,https://mommyshomecooking.com/easy-chocolate-whoopie-pies/,▢ 1/3 cup (80 ml) hot water,"▢ ½ cup (115 g) unsalted butter, softened",▢ 2 ¼ cups (270 g) powdered sugar,▢ 2 cups (9 oz.) Marshmallow Fluff (see notes),▢ 1 teaspoon (5 ml) pure vanilla extract,NA,NA
Eggless Macadamia Nut Cookies,Oriana Romero,5,2,American,Dessert,Cookies,10 minutes,14 minutes,Chiling Time 1 hour hr 30 minutes mins,54 minutes,10 Big Cookies,8,"Combine the flour, baking soda, baking powder, and salt in a bowl. Set aside.
Using an electric hand mixer or a stand mixer over medium speed, beat the cold butter, cream cheese for 30-45 seconds to break it down a little. Add the granulated sugar and brown sugar; mix until just combined, about 30-45 seconds. Scrape down the sides and bottom of the bowl as needed. Add chocolate chips and chopped macadamia nuts and mix to distribute evenly.
Reduce the speed to low and add the flour mixture; mix until it resembles coarse crumbs. Then, add the milk and vanilla; mix until just combined (don’t overmix!).
Divide the dough into ten equal portions, each about 90 grams – ¼ cup. Form rustic balls of dough and place them on a cookie sheet or large plate. Freeze for at least 90 minutes and up to 3 months.
Preheat the oven to 350º F (180º C). Line a large-rimmed baking sheet with parchment paper or a silicone baking mat.
Place the frozen cookie balls you whisk to bake on the cookie sheet so they’re evenly spaced, about 4 inches apart. I recommend baking one sheet of cookies at a time.
Bake for 12- 15 minutes, until lightly golden brown around the edges and still soft in the middle. When you remove the cookies from the oven, they will still look doughy, and that is okay; they will continue to set as they cool.
Cool on the baking sheets for 5 minutes, then transfer to wire racks to cool completely. Meanwhile, press a few extra chocolate chip into the tops of the warm cookies. This is optional and only for looks. After 5 minutes of cooling on the baking sheets, transfer the cookies to a wire rack to cool completely.",12,▢ 1 1/2 cup (210 g) all-purpose flour,▢ ½ teaspoon (2 g) baking powder,▢ ½ teaspoon (3 g) baking soda,▢ ½ teaspoon (2 g) salt,"▢ ½ cup (115 g) unsalted butter, cold",▢ 2 tablespoons (30 g) cream cheese,▢ ½ cup (100 g) granulated sugar,▢ ½ cup (100 g) brown sugar,▢ 1 cup (200 g) white chocolate chips or chunks (plus a few more for optional topping),▢ 1 cup (120 g) roughly chopped macadamia nuts,▢ 2 tablespoons (30 ml) milk,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-macadamia-nut-cookies/,▢ 1 teaspoon (5 ml) pure vanilla extract,NA,NA,NA,NA,NA,NA
3 Ingredient Easy Strawberry Crunch,Oriana Romero,5,1,American,Dessert,All Recipes,5 minutes,10 minutes,NA,15 minutes,2 cups approx.,5,"Preheat oven to 350º F (180º C). Line a baking sheet with parchment paper. Set aside.
Add the cookies to the food processor bowl. Pulse until medium crumbs are formed. Don't worry if your crumbs aren't all uniform, but break up the bigger pieces with your hands. Then, pulse again until small crumble pieces are formed. Be careful not to create a fine texture, or it will not be crunchy. Transfer cookie crumbs to a bowl.
Add the strawberry Jell-O, melted butter, and emulsion to the cookie crumbs. Mix until even distrubuted.
Transfer the crumbs into the prepared baking sheet and spread into an even layer.
Bake for 8 -10 min 350º F (180º C). Remove from the oven and let it cool before using.",4,▢ 24 (264 g) Golden Oreo cookies (264 g) (see notes for substitute),▢ 3 oz (85 g) Strawberry Jell-O (see notes for substitute),"▢ 4 tablespoons (54 g) unsalted butter, melted",▢ 2 teaspoons strawberry bakery emulsion (optional but recommended for best flavor and color),NA,NA,NA,NA,NA,NA,NA,Mommy's Home Cooking,https://mommyshomecooking.com/easy-strawberry-crunch/,NA,NA,NA,NA,NA,NA,NA
Easy Eggless Peanut Butter Cookies,Oriana Romero,5,5,American,Dessert,Cookies,15 minutes,10 minutes,NA,25 minutes,16 cookies,6,"Preheat the oven to 350ºF (180ºC). Line two baking sheets with parchment paper or silicone baking mats.
Whisk the flour, baking soda, baking powder, and salt together in a medium bowl. Set aside.
Using an electric hand mixer or a stand mixer, cream the peanut butter and butter, for 2 minutes. Then add sugars, cream cheese, and vanilla on medium speed until light and fluffy, about 3 – 5 minutes. Scrape down the sides and bottom of the bowl as needed.
Reduce the speed to low and gradually beat in the flour mixture; mix until combined.
Shape tablespoonfuls of the dough into balls, about 2 tablespoons of dough each. Place the about 1/4 cup of granulated sugar into a bowl. Roll the cookie dough balls into the sugar and place them 2 inches apart on the prepared baking sheets. Use a fork to make a crisscross indent on top of each cookie.
Bake for 8 to 10 minutes, or until very lightly browned on the sides. The centers will look very soft. Cool on the baking sheets for 5 minutes, then transfer to wire racks to cool completely. ",10,▢ 1 ¼ cup (175 g) all-purpose flour,▢ 1/2 teaspoon (3 g) baking soda,▢ ½ teaspoon (2 g) baking powder,▢ ½ teaspoon (2 g) salt,▢ ¾ cup (188 g) creamy peanut butter,▢ ½ cup (115 g) unsalted butter softened,▢ 1/4 cup (50 g) granulated sugar + more for rolling,▢ 3/4 cup (150 g) light brown sugar,▢ 3 tablespoons (45 g) cream cheese,▢ 2 teaspoons (10 g) pure vanilla extract,NA,Mommy's Home Cooking,https://mommyshomecooking.com/easy-eggless-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA
