title,author,datelisted,rating,ratingnum,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,source,link,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21
Chocolate Shortbread Cookies,Anjali,"Dec 7, 2020",NA,NA,5 minutes,10 minutes,20: 20 minutes minutes,Total Time: 35 minutes minutes,Servings: 30 cookies,8,"Preheat oven to 350 degrees F. Grease a 9x13 inch baking dish with non-stick cooking spray and line it with a parchment paper.
In a medium-sized bowl, mix the flour with cocoa powder, cold butter with your hands or a pastry blender until it gets coarse and mealy.
Now, add 1 tablespoon of Shortening and mix well. Add Granulated sugar and combine it with all the ingredients. It should clump together when your close your fist with the dough in hand
Place it on the countertop and bring it all together to form a small ball. Freeze this covered for 15 minutes or Refrigerate for 30 minutes.
Flour your work surface generously. Place the Cookie dough ball on the Floured surface and press it with your hands so that it gets a disc like shape. Cover it with flour, as much as possible. Use a rolling pin to roll it softly.
Now use a Christmas Tree-shaped Cookie cutter to cut out Christmas Tree shaped cookies from the rolled dough. You can use any other cookie cutter that you like.
Transfer cookies to a prepared baking sheet.
Bake these cookies at 350F for 10 minutes. They will be soft and be looking when done. Let them stay in the baking tray for 10 more minutes at room temperature, before transferring them onto a cooling rack.
In the meantime, melt the dark chocolate. Place a Bowlful of Dark Melting Wafers in your oven. Microwave at high for 1 min. Stir well. Then Microwave at 30 seconds increment, stirring after each interval until the chocolate gets smooth and silky.
You can also do this step on the stovetop. Read instructions in the notes below.
Use a spoon to drizzle melted chocolate on the top half of your Christmas cookies. I have poured it diagonally. You can also pour it on the top half horizontally. Immediately top it with Red and Green Christmas Confetti or crushed Peppermint Holiday Candy canes or Crushed Almonds. Allow them to sit at room temperature for 10-15 minutes and then serve.",7,2 cups AP Flour 250 grams,½ cup Unsweetened Cocoa powder 50 grams,2 sticks cold unsalted butter cubed (1 cup or 226.8gm),1 Tablespoon Vegetable Shortening,1 cup Granulated Sugar,10 oz Dark Chocolate Melting Wafers,Christmas Sprinkles,NA,Recipe Magik,https://www.recipemagik.com/chocolate-shortbread-christmas-tree-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Crinkle Cookies,Anjali,"Dec 5, 2020",4.63,8,10 minutes,10 minutes,Allow the cookies to cool down: 15 minutes minutes,Total Time: 35 minutes minutes,Servings: 18 cookies,5,"In a medium-sized bowl mix softened butter with packed dark brown sugar. Use a wooden spatula or a rubber spatula to mix well.
Beat in egg and pour molasses. Mix well.
Preheat oven to 325F or 160C. Grease a 9*13 inch baking dish with cooking spray. Line it with parchment paper. Set Aside
Sift flour, baking soda, ground ginger, ground nutmeg, ground cinnamon, ground cloves, and Kosher Salt. Mix well until combines.
Now add granulated sugar and mix well.
Use an ice cream scoop to scoop out a little portion of the cookie batter and form small balls in your hand.
Coat each cookie in icing sugar generously. Place them on a baking sheet lined with parchment paper. Make sure you leave some gap between each cookie. Wrap the baking dish with plastic wrap.
Freeze for 20 minutes.
Roll and re-roll them again in confectioners sugar.
Bake these gingerbread crinkle cookies in a preheated oven at 325°F or 160°C for 10-minutes.
Once done, allow them to cool down in the baking tray for 10-minutes before transferring them to a cooling rack and cooling them for an additional 10-20 minutes.",13,2 Sticks Unsalted Butter 1 Cup (Softened at room temperature),¾ Cup Packed Dark Brown Sugar 150gm,1 Large Egg at room temperature,¾ Cup Molasses 70g,3 Cup All-Purpose Flour 375 gm,1½ Teaspoon Baking Soda,1 tablespoon Ground Ginger,2 teaspoon Ground Cinnamon 4g,Recipe Magik,https://www.recipemagik.com/gingerbread-crinkle-cookies/,½ teaspoon Ground Cloves 2g,½ teaspoon Ground Nutmeg 2g,½ teaspoon Kosher Salt 1g,½ Cup Granulated Sugar 100g,¾ Cup Icing Sugar for rolling the cookies,NA,NA,NA,NA,NA,NA,NA,NA
Snowball Chocolate Chip Cookies,Anjali,"Dec 5, 2020",NA,NA,5 minutes,15 minutes,15 min: 15 minutes minutes,Total Time: 35 minutes minutes,Servings: 16 cookies,4,"Preheat the oven to 350F or 180C. Grease a cookie baking tray with butter or cooking spray.
Take all the ingredients in a bowl and combine with your hands to make a coarse mixture or just pulse them in a food processor for 1 to 2 pulses or until combined through.
Make small cookie dough balls. The mixture will be dry but when you clump together it would form balls. Form small clumps of the dough and Roll them between your palms and make the cookie dough balls.
Freeze the cookie dough balls uncovered for 15 minutes or refrigerate for 30 minutes, Then pop it directly in the oven and bake for 10-15 minutes.
After the cookies get baked, allow them to cool down to room temperature on the counter for 5 minutes untouched.
Once the cookies are not too hot to touch, fill a bowl with powdered sugar and gently roll the cookies in powdered sugar until they are evenly coated and serve. Re-roll in more powdered sugar if you wish to. Refrigerate until served",6,1 cup AP Flour 120gm or 4 1/4 oz,2½ cup Unsalted Butter 3 sticks,1 cup Chocolate Chips unsweetened or bittersweet,1 cup Powdered Sugar more to roll the cookies into,1 teaspoon Pure Vanilla Extract,¼ teaspoon Kosher Salt,NA,NA,Recipe Magik,https://www.recipemagik.com/snowball-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Sugar Cookie Truffles,Anjali,"Dec 2, 2020",5,3,10 minutes,2 minutes,30 min: 30 minutes minutes,Total Time: 42 minutes minutes,Servings: 10 Truffles,4,"Take Sugar Cookies in a zip-lock bag and pound using a rolling pin until you get crumbs. You can also use a food processor to pulse the sugar cookies and get the crumbs.
Combine the Sugar Cookie Crumbs with Cream Cheese. Take 1 tablespoon of it and make a small ball using your palms. Place it on a dish and freeze for 10 min.
Meanwhile, melt the chocolate or almond bark in the oven at 30 seconds bursts. If it doesn't melt properly, add a few drops of coconut oil, stir well, and then melt it.
Dip the Sugar Cookie Truffles in the melted chocolate until coated. Use a fork to coat the sugar cookie truffles. Tap the fork at the edge of a plate to drip off any excess. Carefully, slide it down to another plate using a toothpick.
Top with Sprinklers and serve. If you are not serving immediately, refrigerate until you serve.",4,10 Sugar Cookies use Pepperidge farm sugar cookies,1 tablespoon Cream Cheese (2.02 oz or 14.1gm) brought to room temp.,1 pack White Melting Wafers or Vanilla Almond Bark 24 oz,Sprinklers (optional),NA,NA,NA,NA,Recipe Magik,https://www.recipemagik.com/christmas-sugar-cookie-truffles/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Covered Ritz Cracker Cookies with Peanut butter - No Bake Christmas Cookies,Anjali,"Dec 2, 2020",5,2,5 minutes,0 minutes,30 min: 30 minutes minutes,Total Time: 35 minutes minutes,Servings: 8 cookies,3,"Coat one side of the Ritz Cracker with Peanut Butter. Top with another Ritz Cracker.
Melt the chocolate in the oven at 30 seconds bursts. Stir in between each burst. Add a few drops of coconut oil and stir in the chocolate is not melting properly.
Dip the Ritz Cracker in the Melted Chocolate. Dip just until it gets coated with Chocolate. Tap the spoon at the edge of the plate to drip off the excess. Slide it down to a separate plate using a toothpick.
Top with Sprinkles and freeze for 20-30 minutes. If not serving immediately, then refrigerate until you serve it.",4,16 Ritz Crackers,3 tablespoon Peanut butter,10 oz Dark Chocolate Melting Wafers,Sprinkles optional,NA,NA,NA,NA,Recipe Magik,https://www.recipemagik.com/chocolate-covered-ritz-cracker-cookies-with-peanut-butter-no-bake-christmas-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buttery Santa Kiss Cookies,Anjali,"Dec 1, 2020",5,1,5 minutes,15 minutes,Resting the dough in the fridge: 30 minutes minutes,Total Time: 50 minutes minutes,Servings: 16 Cookies,4,"In a large mixing bowl combine butter and sugar. Whisk until creamy using a stand mixer fitted with a paddle attachment or a handheld mixer. Add Flour, Sugar, Vanilla, and Salt. Mix well.
Add Almond Milk (1 teaspoon at a time) and mix well. If your dough feels too wet then add some flour and adjust accordingly.
If your dough feels too dry then add some almond milk and adjust accordingly. Your dough should be soft yet thick. See the images for a visual.
Cover the dough with a plastic wrap and refrigerate for 30-minutes. Refrigerating the dough is a MUST. If you can chill overnight then it's best. Chilling the dough prevents the cookies from spreading.
Take the dough out of the refrigerator, and let it sit at room temperature for another 10-minutes.
Preheat oven to 350F or 180C and grease two large baking sheets with cooking spray or brush vegetable oil. Line with parchment paper or a silicone mat. Set aside.
Roll the dough into small balls. Take about 3 tablespoons for each ball. Tap it with your palm and place it on the prepared baking dish. Leave some gap between each cookie.
Make a dent with your thumb and pop it in the oven for 10 minutes.
Don't overcook. After 10-minutes they will look soft and underbaked. And, that is how they should be. Allow them to stay on the baking sheet for 10 more minutes before transferring them to a cooling rack.
Make sure the dent is al-right. Once they have cooled, use your thumb to make it look perfect.
In the meantime melt white chocolate in the oven at a 30-second increment. Keep stirring after every 30-second. Once it is soft, open the door of the freezer, place the bowl containing melted white chocolate in your freezer. Let the door be open and continue stirring until its temperature comes down to 28C or 82F.
Divide it into three parts.
Let one part remain white. In one bowl containing melted white chocolate add 2 drops of red gel food color and stir well.
In another bowl containing melted white chocolate add 2 drops of green gel food color and stir well.
In the dent spoon melted white chocolate and place one Hershey's Kiss Chocolate Candy. Use a fork to drizzle melted red and green colored white chocolate on the cookies.
Sprinkle some red and green holiday confetti. Enjoy!",11,2½ Stick Unsalted Butter 1¼ Cup or 282g (softened at room temperature),½ Cup Granulated Sugar,½ Teaspoon Pure Vanilla Extract,1½ Cup All-Purpose Flour use Gluten-Free Flour for GF alternative,½ Teaspoon Kosher Salt,2 Tablespoon Almond Milk,4 Oz White Chocolate Bar,2 Drops Red Gel Food color,Recipe Magik,https://www.recipemagik.com/santa-kiss-cookies/,2 Drops Green Gel Food Color,1 Pack Hershey's Kisses Chocolate Candy 18Oz,Holiday Sprinklers Red and Green (OPTIONAL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buttery Walnut Snowball Cookies,Anjali,"Nov 30, 2020",5,2,5 minutes,15 minutes,15 min: 15 minutes minutes,Total Time: 35 minutes minutes,Servings: 16 cookies,4,"Preheat the oven to 350°F or 180°C and grease a cookie baking tray with cooking spray or butter.
In a large bowl, add the All-Purpose Flour, Chopped Walnuts, cubed softened Butter, Granulated Sugar, Kosher Salt, and Vanilla Extract. Combine everything with your hands until it gets coarse and mealy. OR Pulse all the ingredients in a food processor for 1 or 2 pulses or until combined and mealy.
The mixture will be dry, but when you bring it together, it should clump. Form small clumps, roll them between your palms to make them perfectly circular.
Gently place them on the baking dish, separated from each other (about 1 inch gap).
Put the baking tray in the freezer for 15 minutes or refrigerate for 45 min.
Bake the cookies for 15 minutes. Once they are baked, allow them to cool down untouched for just 5 minutes.
Once they are not too hot to touch and have hardened, coat them in powdered sugar.
Fill a bowl or a shallow plate with powdered sugar and gently roll each cookie in the sugar until evenly coated. After rolling, let stand for a 5 minute and re-roll. Keep aside
After 10 minutes, coat it again with sugar and then serve!",7,2 cups All-Purpose Flour 120gm or 4 1/4 oz,2½ cup Unsalted Butter 5 sticks (softened to room temp),1 cup chopped Walnuts or chopped toasted Pecans,1 cup Powdered Sugar,1 cup Granulated Sugar,2 teaspoon Pure Vanilla Extract,¼ teaspoon Kosher Salt,NA,Recipe Magik,https://www.recipemagik.com/buttery-walnut-snowball-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Peppermint Sugar Cookie Bars,Anjali,"Nov 28, 2020",NA,NA,10 minutes,20 minutes,10 minutes to cool it down: 10 minutes minutes,Total Time: 40 minutes minutes,Servings: 16 Bars,6,"Preheat the oven to 350F or 180C and grease a 9x9 inch baking dish with cooking spray or oil or butter.
In a large bowl, using a stand mixer on medium speed or handheld mixer with a paddle attachment, cream the butter and sugar until it gets foamy and light.
Add Eggs, Peppermint Extract, Vanilla Extract. Mix well, until the Egg is completely incorporated.
Sift the AP Flour, Baking Powder, Baking Soda, and Salt into the wet ingredients and stir well until it all gets combined. Add 2-3 teaspoon of Whole milk and combine until well mixed.
Press this into a lined Baking dish with edges of parchment paper hanging out. Evenly spread the batter. Bake for 15-20 minutes or until the top is lightly golden brown. Cool it down completely before proceeding with the frosting.
Using a stand mixer or handheld mixer, combine Cream Cheese, Butter, Vanilla Extract, Peppermint Extract in a large bowl until smooth.
Gradually add Powdered sugar and mix until creamy. If you want to use food color, you can add it now. Mix well, until everything gets completely combined.
Finally, spread this cream cheese frosting over your cooled Cookie bars in a thick and even layer. Top with Sprinklers if desired. Cut using a sharp knife and wipe the knife after each cut to get clean cuts. Serve",17,1 stick Unsalted Butter softened (1/2 cup or 113.4gm),1 cup Granulated Sugar 201g or 7.1oz,2 whole Egg,½ teaspoon Vanilla Extract,½ teaspoon Peppermint Extract,2 Cup All-Purpose Flour 120gm or 4 1/4 oz,¼ teaspoon Salt,2-3 teaspoon Whole Milk,Recipe Magik,https://www.recipemagik.com/christmas-peppermint-sugar-cookie-bars/,½ teaspoon Baking Powder,½ teaspoon Baking Soda,8 oz Cream Cheese softened,½ cup Unsalted Butter (softened) 1 stick,5 cup Confectioner's Sugar,½ teaspoon Vanilla Extract,½ teaspoon Peppermint Extract,1 pinch Salt,Red and White Candy Cane Christmas Sprinklers or Broken Candy Cane optional,NA,NA,NA,NA
Brown Butter Pecan Cookies,Anjali,"Nov 20, 2020",NA,NA,5 minutes,11 minutes,10 minutes in the freezer: 10 minutes minutes,Total Time: 26 minutes minutes,Servings: 10 cookies,5,"Melt the Butter in a Pan over medium-low heat. As the Butter starts to melt, stir constantly so that nothing sticks to the bottom of the Pan. First, the Butter will bubble, and then it will turn frothy. After some time, it will stop bubbling. Stir again at this point and your Brown Butter will be ready.
It's preferable to do this step of Browning the Butter in a Light colored Pan, so that you can see the butter changing color, right on time. Or else, the Butter might get burnt. (see the video below for a visual)
Once the Butter is brown, quickly take it off the heat and pour into a large mixing bowl. It will sizzle and that's fine.
In the same bowl of Brown Butter, add the Brown Sugar, Vanilla Extract, Granulated Sugar, Salt, Ground Cinnamon, and Ground Nutmeg. Whisk all of the wet ingredients until combined. You do not have to cream this wet mixture using a stand mixer or a handheld mixer. Just whisking it for about 2-3 minutes will be fine. (see the video below for a visual)
Add the Flour, Baking Powder, and the Chopped Pecans into the batter. Mix everything well. Now to bring everything together, add 2 tablespoon of Whole Milk. You can also add Almond Milk or Vegan Soy Milk for a vegan version. Mix this in with the rest of the ingredients and make a thick cookie dough. (see the video below for a visual)
Refrigerate the dough for 20 minutes or freeze it for 10 minutes. After that, get it out, and make small cookie dough balls. (If you're making a big batch of cookies and you have a lot of cookie dough, wrap it up tightly using a Plastic food wrap and then freeze it or Refrigerate it covered with any dish).
Flatten it out with the front of your Palms and place it on your baking dish. Top the cookies with some more chopped Pecan nuts. Press gently, so that they stick to the cookie top. (see the video below for a visual)
Bake the Cookies for 11-12 minutes at 350F. After the cookies get done, allow them to rest in the hot oven for 10 more minutes, and then when you get them out, serve them warm, if you want warm & soft cookies, or cool it down to room temperature if you want chewy and crunchy cookies. Cooling down the cookies will harden it and get them crispy. Serve it.",11,½ cup Unsalted Butter 110gm or 1 stick (replace with vegan butter for vegan version),1 cup Brown Sugar,½ teaspoon Vanilla Extract,1 cup Granulated Sugar,½ teaspoon Salt,½ teaspoon Ground Nutmeg,½ teaspoon Ground Cinnamon,2 Cup All Purpose Flour can replace with Almond Flour for GF Version,Recipe Magik,https://www.recipemagik.com/brown-butter-pecan-cookies/,½ teaspoon Baking Powder,½ cup Chopped Pecans more to stuff on the top of the cookies,2 tablespoon Whole Milk can replace with Almond Milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Witch's Fingers Sugar Cookies,Anjali,"Oct 30, 2020",5,7,10 minutes,15 minutes,5 minutes to cool down the cookies: 5 minutes minutes,Total Time: 30 minutes minutes,Servings: 6 cookies,9,"Preheat the oven to 320F or 160C and mix the wet ingredients - Melted Butter, Vanilla Extract, and Castor Sugar
Add the All-Purpose Flour, Baking Powder, and Salt. Combine everything. Make a soft sugar cookie dough.
Take a small ball of the cookie dough and roll it lightly to get an elongated finger-like shape.
Use your fingers to make the two indents.
Make the ridges using a butter knife, in the middle of those indents.
Add the Almond and make the indent at the tip of the finger. Now, remove it.
Melt Red Candies in a bowl, and use a painting brush to paint the tip of the finger. Attach the Almond over it.
Carefully lift up these Sugar Cookies and place them on your baking dish.
Cover with a foil and Freeze for 15 minutes or refrigerate for 30 minutes.
Bake these cookies for 15-16 minutes. Once they get baked get them out and allow them to cool down to room temperature on the same dish.
Once the cookies have hardened, you can serve it.",8,1 cup Unsalted Butter melted,½ teaspoon Vanilla Extract,¼ cup Confectioner's Sugar,1½ cup All Purpose Flour,½ teaspoon Baking Soda,1 teaspoon Salt,1 Bag Red Candies 11 oz or 311gm,6 sliced Almonds,Recipe Magik,https://www.recipemagik.com/witch-fingers-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spooky Halloween M&M Cookies,Anjali,"Oct 29, 2020",4.34,6,5 minutes,11 minutes,no resting time required: 0 minutes minutes,Total Time: 16 minutes minutes,Servings: 20 cookies,5,"Preheat the oven to 350 F or 180C. Line a 9x13 inches baking dish with silicone mat or parchment paper.
In a mixing bowl, combine AP Flour with Baking Powder, Dark Cocoa Powder, Cornstarch, and Kosher Salt. Whisk until combined.
Mix the Softened Butter with Vanilla Extract, Brown Sugar and Black Gel food color. Use a stand mixer or hand held mixer to cream the wet mixer together until it gets soft and fluffy.
Mix the flour mix with the wet ingredients. Fold everything using a rubber or silicone spatula. Add some milk and mix it with the cookie dough. Fold everything to make the cookie dough.
If your cookie dough is too thin and runny, add some more flour and mix with all the other ingredients. Learn from the video for better reference of the consistency of the cookie dough.
Cover the cookie dough with a plastic wrap and freeze the cookie dough for 5-10 minutes. After 10 minutes, use a cookie scooper to scoop out cookie dough balls. Slightly flatten it out, with the back of a spoon or spatula. (this will help them get the perfect shape)
Stuff the cookies with a few M&Ms on top. Bake these cookies for 11 -12 minutes.
Once baked add more M&M Candies on top. Transfer them to a wire rack to cool down to room temp. Serve warm with a glass of milk.",11,2½ cup All Purpose Flour,1 cup Hershey's Dark Cocoa Powder,1 teaspoon Baking Powder,2 tablespoon Corn Starch,¼ teaspoon Salt,2 teaspoon Vanilla Extract,1 cup Dark Brown Sugar,1 cup Softened Unsalted Butter at room temp. ( 2 sticks),Recipe Magik,https://www.recipemagik.com/spooky-halloween-mm-cookies/,¼ cup Whole Milk can replace with almond milk for vegan version,2 drops Black Gel Food Color optional,1 cup M&M Candies Green and Purple Colored,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soft Pumpkin Chocolate Chip Cookies,Anjali,"Oct 24, 2020",5,1,45 minutes,10 minutes,10 minutes to cool down the cookies: 10 minutes minutes,Total Time: 1 hour hour 5 minutes minutes,Servings: 18 cookies,7,"Preheat the oven to 350F and grease a baking dish.
In a mixing bowl, whisk Melted Butter along with Brown sugar and Granulated sugar, until combined.
Also, add in the Pumpkin Puree and Vanilla Extract and mix well until combined.
In another bowl, combine AP Flour with Baking Soda, Baking Powder, Ground Cinnamon, Pumpkin Pie Spice, and salt.
Combine the wet ingredients with the dry ingredients. Fold with a rubber spatula.
Add the Chocolate Chips and fold with the cookie dough
Cover the dough with cling wrap or foil and chill the dough in the refrigerator for at least 30 minutes. This is extremely important. Chilling the cookie dough will soak out excess moisture from the dough.
Scoop out Cookie dough and place them on the baking dish. Flatten out the top with the back of your spoon or scooper. If you skip this, your cookies won't spread.
Bake the cookies for 10-11 minutes or until the edges are set. When you get them out, they will be soft in the center.
Once your Pumpkin Chocolate Chip cookies are baked, cool them down to room temperature. Use a wire rack for even cooling of the cookies.
Once they are cooled, they will be ready to enjoy!",11,1½ cup AP Flour,¼ cup Butter,½ cup Brown Sugar,¼ cup Granulated Sugar,½ teaspoon Ground Cinnamon,1 teaspoon Pumpkin Pie Spice,½ teaspoon Baking Powder,½ teaspoon Baking Soda,Recipe Magik,https://www.recipemagik.com/soft-pumpkin-chocolate-chip-cookies/,½ cup Pumpkin Puree bloated,½ teaspoon Vanilla Extract,½ cup Semi-Sweet Chocolate Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jack Skellington OREO Cookies - Quick and Easy Halloween Oreo Treat for Kids,Anjali,"Oct 17, 2020",NA,NA,20 minutes,10 minutes,Refrigerate: 2 hours hours,Total Time: 2 hours hours 30 minutes minutes,Servings: 15 OREOS,4,"Take the candy melts in a medium-sized mixing bowl. Pop it in the oven and keep stirring at 30-second bursts.
Stir vigorously and make it smooth, silky, and lump-free.
Once it has melted halfway, open the door of the freezer, and place your mixing bowl with melted white candy melts in it. Keep stirring continuously till it gets thinned out, smooth and silky. The cold air from the freezer will make it thinner, smoother, and silkier.
Dip the OREOS in white chocolate one by one with the help of a fork. Make sure you have an excess of white chocolate or else the top won't look smooth. Shake off the excess dripping from sides by tapping your fork onto the edge of the bowl.
Freeze the OREOS for at least 10-hours (or overnight) until the top is completely set.
Use edible food markers to make Jack Skellington on the OREOS. ENJOY!",3,8 Oz White Chocolate Candy Melts (226gm),3 Packs OREO Orange Creme Chocolate Sandwich Halloween Cookies,1 Pack Edible Black and Red Color Food Markers,NA,NA,NA,NA,NA,Recipe Magik,https://www.recipemagik.com/jack-skellington-oreo-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eggless Brown Butter Pumpkin Snickerdoodle Cookies,Anjali,"Aug 29, 2020",5,1,10 minutes,11 minutes,No Resting Time: 0 minutes minutes,Total Time: 21 minutes minutes,Servings: 15 cookies,6,"Preheat the oven to 350F or 180 C
Melt butter over low flame. Keep stirring until you have your Brown Butter ready. Cool it down and then use it.
In a bowl, take flour and whisk it with Baking soda, Baking Powder, Pumpkin Spice, Lemon Juice, a pinch of Salt, and Ground Cinnamon.
In a bowl, take the brown butter, add granulated sugar and brown sugar, beat using a handheld mixer until it gets light and fluffy.
Add the Pumpkin Puree, Yogurt, Vanilla Extract, Cider Vinegar and mix it well.
Mix the dry with the wet ingredients. Add some grated Nutmeg and some more ground cinnamon and mix well.
Refrigerate your cookie dough, covered for 30 minutes and then bake it.
Bake your Pumpkin Snickerdoodles for 10-12 minutes at 350F or 180C until the sides are brown.
Dust with Cinnamon Sugar and then serve it.
Serve with warm milk.
Enjoy!",15,1 stick Salted Butter,1¼ Cup Whole Wheat Flour,½ teaspoon Baking Soda,½ teaspoon Baking Powder,½ teaspoon Pumpkin Spice,½ teaspoon Ground Cinnamon plus more for cinnamon sugar,½ piece Lemon Juice,1 pinch Salt,Recipe Magik,https://www.recipemagik.com/eggless-brown-butter-pumpkin-snickerdoodle-cookies/,½ Cup Granulated Sugar plus more for cinnamon sugar,¼ Cup Brown Sugar,¼ Cup Pumpkin Puree,½ teaspoon Yogurt,½ teaspoon Vanilla Extract,½ teaspoon Cider Vinegar,¼ teaspoon Ground Nutmeg,NA,NA,NA,NA,NA,NA
Eggless Banana Chocolate Chip Cookies,Anjali,"Jul 10, 2020",5,2,10 minutes,15 minutes,0 minutes minutes,Total Time: 25 minutes minutes,Servings: 8 cookies,5,"Pre-heat your oven to 350F or 180 C and line a cookie baking tray with parchment paper.
In a mixing bowl take all the wet ingredients and mix until smooth.
Add your dry ingredients to your wet ingredients and fold the mixture.
Scoop out cookie dough and place it on the baking tray.
Bake your Banana Chocolate Chip Cookies for 12-15 minutes or until it gets brown from the sides.",11,1 tablespoon Butter,½ Cup Brown Sugar,1 teaspoon Yogurt,½ teaspoon White Vinegar,1 teaspoon Vanilla Essence,1 Large Banana,1 Cup AP Flour,1 tablespoon Cornflour,Recipe Magik,https://www.recipemagik.com/eggless-banana-chocolate-chip-cookies/,½ teaspoon Baking Soda,½ teaspoon Baking Powder,¼ Cup Chocolate Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halloween Monster Eyes Cookies,Anjali,"Jul 9, 2020",NA,NA,10 minutes,11 minutes,resting time: 5 minutes minutes,Total Time: 26 minutes minutes,Servings: 12 cookies,3,"In a mixing bowl combine melted butter with granulated sugar, brown sugar, yogurt, milk, vanilla, and black food color. Beat it with a handheld mixer or whisk until well combined.
Sieve and add flour, dark cocoa powder, baking soda, and baking powder into your wet mixture. Combine everything well using a rubber or a silicone spatula.
Chill the dough for 5 minutes in the freezer after covering it with a plastic wrap.
Get the chilled cookie dough out. Make small cookie balls and place them on a lined baking tray. I have used a 9x11 baking tray. You can use any cookie baking tray or even a non-stick Silpat if you want.
Bake these cookies for 11 minutes at 350°F OR 180°C. Press the cookie with a spatula to flatten it out. Cool it down before you insert the candy eyeballs.",12,½ Cup Salted Butter Melted,½ Cup Granulated Sugar,¼ Cup Brown Sugar,2 Teaspoon Thick Yogurt,2 Tablespoon Milk,1 Teaspoon Pure Vanilla Extract,3-4 Drop Black Gel Food Color,1 Cup AP Flour,Recipe Magik,https://www.recipemagik.com/halloween-monster-eyes-cookies/,2 Tablespoon Dark Cocoa Powder,½ Teaspoon Baking Soda,½ Teaspoon Baking Powder,1 pack Candy Eyeballs,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Cookie Bars (aka - Pan Chewies),Anjali,"Jun 18, 2020",NA,NA,5 minutes,25 minutes,NA,Total Time: 30 minutes minutes,Servings: 16 pieces,4,"Preheat the oven to 350 degrees F or 180 degrees C. And, Line a 9x9 inch baking tray with parchment paper.
In a small bowl add butter, light brown sugar and egg. Beat it well until creamy and fluffy, and keep aside.
Sift Flour, Baking Soda, Baking Powder, Kosher Salt and Chocolate Chips. Mix everything using a wooden spatula.
Pour milk and mix well until combined.
Pour the batter in your lined baking tray. Top with more chocolate chips.
Bake for 20-25 minutes.
Cut into pieces and serve with a scoop of ice cream.",9,1 Cup Light Brown Sugar,1 Whole Egg Room Temperature,½ Cup Butter softened to room temp,1 Cup Whole Wheat Flour sifted,¼ Teaspoon Kosher Salt,⅛ Teaspoon Baking Soda,½ Teaspoon Baking Powder,2 Tablespoon Milk cold (can use Almond Milk),Recipe Magik,https://www.recipemagik.com/chocolate-chip-cookie-bars/,"1½ Cup Chocolate Chips dark, unsweetened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No Bake Halloween Sugar Wafer Cookies,Anjali,"Apr 5, 2020",NA,NA,10 minutes,10 minutes,NA,Total Time: 20 minutes minutes,Servings: 14 Waffle Cookies,5,"Melt your candy melts as per the directions on the package.
Coat half of the wafer cookies with colorful candy melts.
Freeze them for an hour. Push in white chocolate chips for the eyes. You can just push one eye and then take it out to make it look scary. For others, you can cut one chocolate chip in half and then push it in.
For Making Mummy, first coat the wafer cookie in white chocolate then make a zig-zag pattern with brown candy melts. You can fix a white chocolate chip on the top as Mummy's eye.
Use white sprinklers to make a nose and mouth.",4,2 Pack Sugar Waffle Cookies,"1 Pack Candy Melts Orange, Purple, Green, Brown & White",1 Pack Halloween Sprinklers Simply White Sprinklers,30 Pieces White Chocolate Chips,NA,NA,NA,NA,Recipe Magik,https://www.recipemagik.com/halloween-sugar-wafer-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
