title,author,genre,rating,ratingnum,preptime,cooktime,totaltime,servings,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,source,link,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31,ingredient32,ingredient33,ingredient34,ingredient35,ingredient36,ingredient37,ingredient38,ingredient39,ingredient40,ingredient41,ingredient42,ingredient43,ingredient44,ingredient45,ingredient46,ingredient47,ingredient48,ingredient49,ingredient50,ingredient51,ingredient52,ingredient53,ingredient54,ingredient55,ingredient56,ingredient57,ingredient58
Chocolate Crinkle Cookies Recipe,Laurel Perry,Desserts,5,2,20 minutes,10 minutes,2 hours,20 cookies,24, 1 cup all-purpose flour 120 grams, ½ cup unsweetened cocoa powder 42 grams, 1 teaspoon baking powder 4 grams, ¼ teaspoon kosher salt, ½ cup granulated sugar 100 grams, ¼ cup brown sugar 53 grams, ¼ cup vegetable oil 50 grams, 2 large eggs 100 grams, 1 teaspoon pure vanilla extract 4 grams," ½ teaspoon espresso powder 1 gram, optional",The Cookie Rookie,https://www.thecookierookie.com/chocolate-crinkle-cookies/," ½ cup mini chocolate chips 89 grams, optional"," 1 cup powdered sugar 113 grams, for coating the cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Crinkle Cookies Recipe,Laurel Perry,Desserts,5,2,20 minutes,10 minutes,30 minutes,20 cookies,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/chocolate-crinkle-cookies/,NA,NA, 1 cup all-purpose flour 120 grams, ½ cup unsweetened cocoa powder 42 grams, 1 teaspoon baking powder 4 grams, ¼ teaspoon kosher salt, ½ cup granulated sugar 100 grams, ¼ cup brown sugar 53 grams, ¼ cup vegetable oil 50 grams, 2 large eggs 100 grams, 1 teaspoon pure vanilla extract 4 grams," ½ teaspoon espresso powder 1 gram, optional"," ½ cup mini chocolate chips 89 grams, optional"," 1 cup powdered sugar 113 grams, for coating the cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M&M Christmas Cookies Recipe,Becky Hardin,Desserts,4.43,14,15 minutes,14 minutes,1 hour,16,22, 2⅓ cups all-purpose flour 280 grams, 1 teaspoon baking soda 6 grams, 1½ teaspoons cornstarch 5 grams, ½ teaspoon kosher salt," ¾ cup unsalted butter 170 grams, melted (1½ sticks)", ¾ cup light brown sugar 160 grams, ½ cup granulated sugar 100 grams," 2 large eggs 100 grams, room temperature", 2 teaspoons pure vanilla extract 8 grams, ½ cup semisweet chocolate chips 85 grams,The Cookie Rookie,https://www.thecookierookie.com/mm-christmas-cookies/," 10 tablespoons red and green M&M's 106 grams, divided (½ cup + 2 tablespoons for topping)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M&M Christmas Cookies Recipe,Becky Hardin,Desserts,4.43,14,15 minutes,14 minutes,29 minutes,16,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/mm-christmas-cookies/,NA, 2⅓ cups all-purpose flour 280 grams, 1 teaspoon baking soda 6 grams, 1½ teaspoons cornstarch 5 grams, ½ teaspoon kosher salt," ¾ cup unsalted butter 170 grams, melted (1½ sticks)", ¾ cup light brown sugar 160 grams, ½ cup granulated sugar 100 grams," 2 large eggs 100 grams, room temperature", 2 teaspoons pure vanilla extract 8 grams, ½ cup semisweet chocolate chips 85 grams," 10 tablespoons red and green M&M's 106 grams, divided (½ cup + 2 tablespoons for topping)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nutella Stuffed Snowball Cookies,Becky Hardin,Desserts,4.57,23,30 minutes,12 minutes,1 hour,24 cookies,14, ¼-½ cup Nutella 68-135 grams, ¾ cup very finely chopped or ground pecans 63 grams," 8½ tablespoons unsalted butter 120 grams, room temperature and cubed"," 1½ cups powdered sugar 170 grams, divided into ½ cup (57 grams) and 1 cup (113 grams) portions", ½ teaspoon pure vanilla extract 2 grams, ¼ teaspoon kosher salt, 1¼ cups all-purpose flour 150 grams,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/nutella-stuffed-snowball-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nutella Stuffed Snowball Cookies,Becky Hardin,Desserts,4.57,23,30 minutes,12 minutes,42 minutes,24 cookies,14,NA,NA,NA,NA,NA,NA,NA, ¼-½ cup Nutella 68-135 grams, ¾ cup very finely chopped or ground pecans 63 grams," 8½ tablespoons unsalted butter 120 grams, room temperature and cubed",The Cookie Rookie,https://www.thecookierookie.com/nutella-stuffed-snowball-cookies/," 1½ cups powdered sugar 170 grams, divided into ½ cup (57 grams) and 1 cup (113 grams) portions", ½ teaspoon pure vanilla extract 2 grams, ¼ teaspoon kosher salt, 1¼ cups all-purpose flour 150 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ginger Cookies Recipe,Becky Hardin,Desserts,5,2,15 minutes,15 minutes,30 minutes,16 cookies,11, 2 cups all-purpose flour 240 grams, 1 teaspoon baking soda 6 grams, ½ teaspoon ground cinnamon, ½ teaspoon apple pie spice store-bought or homemade, 1 teaspoon ground ginger 3 grams, ½ teaspoon ground cloves, ½ teaspoon kosher salt, ¾ cup vegetable shortening 138 grams (¾ stick) – SEE NOTE," 1 cup granulated sugar 200 grams, plus more for dipping", 2 tablespoons unsulphured molasses 43 grams,The Cookie Rookie,https://www.thecookierookie.com/ginger-doozie-cookies/, 1 large egg 50 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Royal Icing Recipe,Laurel Perry,Desserts,4.84,6,20 minutes,0 minutes,20 minutes,24,5, 4 cups powdered sugar 452 grams, 4 tablespoons meringue powder 43 grams, 8-10 tablespoons warm water 114-142 grams, 1 teaspoon pure vanilla extract 4 grams, Gel food coloring optional,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/royal-icing-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pignoli Cookies (Pine Nut Cookies),Becky Hardin,Desserts,4.75,84,15 minutes,10 minutes,35 minutes,16 cookies,7," 7 oz. almond paste 198g, cut into pieces (1 standard package)*", ⅓ cup granulated sugar 67g," ¼ cup powdered sugar 28g, plus more for serving", 1 large egg white 35g, ¼ tsp kosher salt, 4 oz. pine nuts 113g," powdered sugar optional, for dusting",NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/pignoli-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molasses Cookies Recipe,Becky Hardin,Desserts,4.85,20,10 minutes,10 minutes,20 minutes,24 cookies,10," 1½ cups vegetable shortening 276g, melted (1½ sticks)"," 2 cups granulated sugar 400g, plus more for rolling ", ¼ cup unsulphured molasses 85g," 2 large eggs 100g, slightly beaten", 4 cups all-purpose flour 480g, 4 tsp baking soda 24g, 1 tsp kosher salt 3g, 1 tsp ground cloves 3g, 1 tsp ground ginger 3g, 2 tsp ground cinnamon 6g,The Cookie Rookie,https://www.thecookierookie.com/molasses-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
How to Make Cookies from Cake Mix,Becky Hardin,Desserts,4.59,193,10 minutes,10 minutes,20 minutes,12,4," 15.25 ounces cake mix 432 grams, any flavor (1 box)", 2 large eggs 100 grams," ½ cup vegetable oil 100 grams, or substitute the same amount of melted butter"," optional mix-ins chocolate chips, candies, nuts, etc.",NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
How to Grill the Perfect Steak,Becky Hardin,Desserts,4.61,23,20 minutes,15 minutes,35 minutes,4,1, 4 steaks,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/meat-temperature-chart/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Cranberry Cookies Recipe,Becky Hardin,Cookies,4.5,2,15 minutes,10 minutes,25 minutes,24 cookies,6," 17.9 ounces Snickerdoodle cookie mix 507 grams, cinnamon sugar packet removed (1 bag)", 1 large egg 50 grams," ½ cup salted butter 226 grams, room temperature (1 stick)", 3 tablespoons sour cream 43 grams, ¾ cup white chocolate chips 128 grams, ¾ cup dried cranberries 86 grams,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/white-chocolate-cranberry-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fudge Brownie Pie,Becky Hardin,Cookies,4.7,46,15 minutes,35 minutes,50 minutes,10 slices,11," 1 9-inch refrigerated pie crust 213 grams, blind-baked per package directions"," 1 cup semisweet chocolate chips 170 grams, divided (Ghirardelli recommended)", 4 tablespoons unsalted butter 57 grams (½ stick), ¼ cup vegetable oil 50 grams, 2 tablespoons unsweetened cocoa powder 11 grams, ¾ cup dark brown sugar 160 grams, 2 large eggs 100 grams, 1 tablespoon pure vanilla extract 12 grams, 1½ teaspoons kosher salt 5 grams, ¼ cup all-purpose flour 30 grams,The Cookie Rookie,https://www.thecookierookie.com/fudge-brownie-pie-recipe/," 1¼ cups chopped honey roasted pecans 143 grams, toasted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Cookies Recipe,Becky Hardin,Cookies,4.88,8,20 minutes,11 minutes,31 minutes,36 cookies,18," ¾ cup unsalted butter 170 grams, room temperature (1½ sticks)", 1 cup granulated sugar 200 grams, ½ cup brown sugar 107 grams, 1 cup pumpkin puree 227 grams (about ½ can) – not pumpkin pie filling!," 1 large egg 50 grams, room temperature", 1 teaspoon pure vanilla extract 4 grams, 2½ cups all-purpose flour 300 grams, 1 teaspoon baking powder 4 grams, 1 teaspoon baking soda 6 grams, 1 tablespoon pumpkin pie spice 9 grams,The Cookie Rookie,https://www.thecookierookie.com/pumpkin-cookies/, ½ teaspoon kosher salt, ," 8 ounces cream cheese 227 grams, room temperature (1 brick)"," ¼ cup butter 57 grams, room temperature (½ stick)", 2½ cups powdered sugar 283 grams, 1 teaspoon pure vanilla extract 4 grams, ⅛ teaspoon kosher salt," Ground cinnamon optional, for sprinkling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sugar Cookie Bars Recipe,Becky Hardin,Cookies,4.34,6,20 minutes,20 minutes,40 minutes,24 bars,15," 1 cup unsalted butter 226 grams, room temperature (2 sticks)", ¾ cup granulated sugar 150 grams, ½ cup brown sugar 107 grams, 1 teaspoon pure vanilla extract 4 grams, ¼ teaspoon almond extract 1 gram," 2 large eggs 100 grams, room temperature", ½ teaspoon baking soda 3 grams, ½ teaspoon kosher salt, 2½ cups all-purpose flour 300 grams, ,The Cookie Rookie,https://www.thecookierookie.com/frosted-sugar-cookie-bars/," ¼ cup unsalted butter 57 grams, melted (½ stick)", 1½ cups powdered sugar 170 grams, 2 tablespoons milk 28 grams, 1 teaspoon pure vanilla extract 4 grams," Sprinkles optional, for topping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gluten Free Chocolate Chip Cookies Recipe,Becky Hardin,Cookies,4.68,25,10 minutes,10 minutes,20 minutes,12 cookies,10," 8 tablespoons salted butter 113 grams, melted (1 stick)", ½ cup granulated sugar 100 grams, ¼ cup dark brown sugar 53 grams," 1 large egg 50 grams, room temperature", 1 teaspoon pure vanilla extract 4 grams, 1½ cups Gluten Free Flour 222 grams, ½ teaspoon Bob’s Red Mill Corn Starch, ½ teaspoon Baking Soda 3 grams, ¼ teaspoon coarse kosher salt, 1 cup milk chocolate chips 170 grams,The Cookie Rookie,https://www.thecookierookie.com/gluten-free-chocolate-chip-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lofthouse Cookies Recipe,Becky Hardin,Cookies,4.34,3,20 minutes,8 minutes,1 hour,25 cookies,40, 3 cups all-purpose flour 360 grams, 1 teaspoon baking powder 4 grams, ½ teaspoon baking soda 3 grams, 1 tablespoon cornstarch 7 grams, ½ teaspoon kosher salt (see note)," ½ cup salted butter 113 grams, room temperature (1 stick)", 1½ cups granulated sugar 300 grams," 2 large eggs 100 grams, room temperature"," ½ cup sour cream 114 grams, room temperature", 1 teaspoon pure vanilla extract 4 grams,The Cookie Rookie,https://www.thecookierookie.com/lofthouse-cookies/, ½ teaspoon almond extract 2 grams, ," ½ cup unsalted butter 113 grams, room temperature (1 stick)", 2 cups powdered sugar 227 grams, 1-2 tablespoons milk 14-28 grams , ½ teaspoon pure vanilla extract 2 grams, ¼ teaspoon almond extract 1 gram, ⅛ teaspoon kosher salt, Food coloring any color, 2 tablespoons colored sprinkles 24 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lofthouse Cookies Recipe,Becky Hardin,Cookies,4.34,3,20 minutes,8 minutes,28 minutes,25 cookies,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/lofthouse-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 3 cups all-purpose flour 360 grams, 1 teaspoon baking powder 4 grams, ½ teaspoon baking soda 3 grams, 1 tablespoon cornstarch 7 grams, ½ teaspoon kosher salt (see note)," ½ cup salted butter 113 grams, room temperature (1 stick)", 1½ cups granulated sugar 300 grams," 2 large eggs 100 grams, room temperature"," ½ cup sour cream 114 grams, room temperature", 1 teaspoon pure vanilla extract 4 grams, ½ teaspoon almond extract 2 grams, ," ½ cup unsalted butter 113 grams, room temperature (1 stick)", 2 cups powdered sugar 227 grams, 1-2 tablespoons milk 14-28 grams , ½ teaspoon pure vanilla extract 2 grams, ¼ teaspoon almond extract 1 gram, ⅛ teaspoon kosher salt, Food coloring any color, 2 tablespoons colored sprinkles 24 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotcheroos Recipe,Becky Hardin,Cookies,4.91,11,10 minutes,5 minutes,1 hour,32 bars,16, 1 cup light corn syrup 312 grams," 1 cup granulated sugar 200 grams, Baker’s Ultrafine Sugar recommended "," 1 cup creamy peanut butter 270 grams, Jif recommended", ¼ teaspoon coarse sea salt, 6 cups Rice Krispies cereal 168 grams," 1 cup milk chocolate chips 170 grams, Ghirardelli recommended ", ½ cup butterscotch baking chips 85 grams, ½ cup peanut butter baking chips 85 grams,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/homemade-scotcheroos-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotcheroos Recipe,Becky Hardin,Cookies,4.91,11,10 minutes,5 minutes,15 minutes,32 bars,16,NA,NA,NA,NA,NA,NA,NA,NA, 1 cup light corn syrup 312 grams," 1 cup granulated sugar 200 grams, Baker’s Ultrafine Sugar recommended ",The Cookie Rookie,https://www.thecookierookie.com/homemade-scotcheroos-recipe/," 1 cup creamy peanut butter 270 grams, Jif recommended", ¼ teaspoon coarse sea salt, 6 cups Rice Krispies cereal 168 grams," 1 cup milk chocolate chips 170 grams, Ghirardelli recommended ", ½ cup butterscotch baking chips 85 grams, ½ cup peanut butter baking chips 85 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cake Mix Chocolate Chip Cookies Recipe,Becky Hardin,Cookies,4.75,8,10 minutes,15 minutes,25 minutes,20 cookies,4, 15.25 ounces dry cake mix 432 grams (1 box), ½ cup vegetable oil 100 grams, 2 large eggs 100 grams, 1 cup chocolate chips 170 grams,NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/cake-mix-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Cookies Recipe,Becky Hardin,Cookies,4.5,2,30 minutes,10 minutes,2 hours,18 3-inch cookies,26," 1 cup unsalted butter 226 grams, room temperature (2 sticks)", ½ cup dark brown sugar 107 grams, ¼ cup granulated sugar 50 grams, 1½ teaspoons kosher salt 5 grams, ½ teaspoon coarse sea salt," 1 large egg 50 grams, room temperature and lightly beaten", 2 tablespoons unsulphured molasses 43 grams, 2¼ cups all-purpose flour 270 grams, 1 tablespoon ground ginger 9 grams, 1 teaspoon ground cinnamon 3 grams,The Cookie Rookie,https://www.thecookierookie.com/gingerbread-cookies-gingerbread-family/, 1 teaspoon apple pie spice 3 grams, ¾ teaspoon ground cloves, Icing and sprinkles for decorating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Cookies Recipe,Becky Hardin,Cookies,4.5,2,30 minutes,10 minutes,40 minutes,18 3-inch cookies,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/gingerbread-cookies-gingerbread-family/,NA,NA,NA," 1 cup unsalted butter 226 grams, room temperature (2 sticks)", ½ cup dark brown sugar 107 grams, ¼ cup granulated sugar 50 grams, 1½ teaspoons kosher salt 5 grams, ½ teaspoon coarse sea salt," 1 large egg 50 grams, room temperature and lightly beaten", 2 tablespoons unsulphured molasses 43 grams, 2¼ cups all-purpose flour 270 grams, 1 tablespoon ground ginger 9 grams, 1 teaspoon ground cinnamon 3 grams, 1 teaspoon apple pie spice 3 grams, ¾ teaspoon ground cloves, Icing and sprinkles for decorating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mint Chocolate Swiss Roll,Becky Hardin,Cookies,4.7,23,40 minutes,10 minutes,50 minutes,16 servings (2 swiss rolls),17, 6 large eggs 300 grams, 15.25 ounces Betty Crocker Super Moist Chocolate Fudge Devil's Food Cake mix 432 grams (1 box), ½ cup water 114 grams, ¼ cup vegetable oil 50 grams, 2-4 tablespoons unsweetened cocoa powder 11-21 grams, ," 8 ounces Mascarpone cheese or cream cheese 227 grams, room temperature ", 2 cups heavy cream 454 grams, 4 tablespoons Créme de Menthe liqueur 57 grams, ½ teaspoon kosher salt,The Cookie Rookie,https://www.thecookierookie.com/mint-chocolate-swiss-roll/, 1 cup powdered sugar 113 grams, , 1½ cups heavy whipping cream 341 grams, 2 cups semisweet chocolate chips 340 grams, ," 4-6 tablespoons Crème de Menthe liqueur 57-85 grams, optional"," Crème de Menthe baking chips optional, for garnish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coconut Macaroons Recipe,Becky Hardin,Cookies,4.55,11,10 minutes,25 minutes,35 minutes,20 cookies,5, 14 ounces sweetened coconut flakes 397 grams (1 bag), 14 ounces sweetened condensed milk 397 grams (1 can), 1½ teaspoons pure vanilla extract 6 grams, ½ teaspoon kosher salt," 2 large egg whites 70 grams, room temperature",NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/coconut-macaroons/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Coconut Fudge Recipe,Becky Hardin,Cookies,5,4,10 minutes,25 minutes,35 minutes,36 pieces,7," 1¼ cups unsweetened shredded or flaked coconut 110 grams, divided", 4 tablespoons unsalted butter 57 grams (½ stick), 4 tablespoons coconut oil 57 grams, 12 ounces evaporated milk 340 grams (1 can), 1¾ cups granulated sugar 350 grams, 1½ cups white chocolate chips 255 grams (¾ bag), 7 ounces marshmallow creme 198 grams (1 jar),NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/coconut-fudge/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linzer Cookies Recipe,Becky Hardin,Cookies,5,NA,15 minutes,15 minutes,1 hour,18 sandwich cookies,10," 1 cup unsalted butter 226g, room temperature (2 sticks)", 1 cup granulated sugar 200g," 1 large egg 50g, room temperature", 1 tsp pure vanilla extract 4g," 2½ cups all-purpose flour 300g, spooned and leveled", ½ cup almond flour 48g, 1 tsp baking powder 4g, ¼ tsp kosher salt, ¼ cup powdered sugar 28g, ½ cup cherry jam 170g,The Cookie Rookie,https://www.thecookierookie.com/linzer-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No-Bake Avalanche Cookies,Becky Hardin,Cookies,4.75,12,10 minutes,5 minutes,2 hours,21 cookies,10, 12 oz. white chocolate chips 340g (1 bag), ⅔ cup creamy peanut butter 180g, 2 cups Rice Krispies cereal 56g, 1 cup mini marshmallows 43g," ¼ cup mini chocolate chips 44g, optional",NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/avalanche-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No-Bake Avalanche Cookies,Becky Hardin,Cookies,4.75,12,10 minutes,5 minutes,15 minutes,21 cookies,10,NA,NA,NA,NA,NA, 12 oz. white chocolate chips 340g (1 bag), ⅔ cup creamy peanut butter 180g, 2 cups Rice Krispies cereal 56g, 1 cup mini marshmallows 43g," ¼ cup mini chocolate chips 44g, optional",The Cookie Rookie,https://www.thecookierookie.com/avalanche-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cream Cheese Mints Recipe,Becky Hardin,Cookies,4.87,22,45 minutes,0 minutes,1 hour,105 mints,14," 8 ounces cream cheese 227 grams, room temperature (1 brick)"," 2 tablespoons unsalted butter 28 grams, room temperature (¼ stick)", ½ teaspoon kosher salt, ½ teaspoon pure peppermint extract 2 grams, ½ teaspoon pure vanilla extract 2 grams," 2 pounds powdered sugar 908 grams, plus more for dipping"," Food coloring red, blue, and/or green",NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/cream-cheese-mints/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
