title,author,rating,ratingnum,cuisine,category1,category2,preptime,cooktime,customtime,totaltime,totaltime2itsaproblemifthisisdifferentfromtotaltime1otherwiseignore,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,source,link,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22
Ghost Brownies,Amanda Davis,5, 8 ,American,Holidays & Seasons,Halloween,NA,30 minutes,NA,50 minutes,50 minutes,16 brownies,11,"Preheat oven to 350 F and line a 9×9 baking pan with parchment paper. Allow parchment to hang over the side to use as handles later.
Pour melted butter over chocolate chips in a bowl and allow to sit for a minute to soften chocolate. Stir with wooden spoon.
Add eggs, cocoa, sugar and vanilla and stir.
Stir in the flour just until no more traces of flour remain. Do not overmix.
Scrape the batter into the prepared pan. Bake for 30 minutes, or until a toothpick inserted in the center comes out clean.
Allow brownies to cool in pan for at least five minutes. Use the parchment handles to lift the brownies out and onto a cooling rack. Allow to cool completely before piping on the marshmallow ghosts.
Add the gelatin along with the cold water to a bowl. Set aside.
Mix together the sugar and water in a saucepan over medium-high heat stirring until the sugar dissolves and the water starts to boil. Once boiling, stop stirring. Allow the sugar mixture to boil until the temperature reaches 238F on a candy thermometer.
Combine the gelatin with the sugar using a hand mixer set to medium for 3 minutes. After 3 minutes, up the speed to high and mix until soft peaks form.
Add the marshmallow to a piping bag and pipe straight onto the cooled brownies. Use a heavy squeeze towards the top of the ghost, then taper off and pull the marshmallow downward to create the “ghost” shape. Pipe on black gel icing for the eyes and mouths.
Allow the ghosts to set for 1-2 hours before slicing.",12,▢ ¾ cup unsalted butter melted,▢ ⅔ cup semi-sweet chocolate chips,▢ 3 large eggs,▢ ½ cup unsweetened cocoa powder,▢ 1 ½ cups granulated sugar,▢ 1 tsp vanilla extract,▢ ⅞ cup all-purpose flour 1 cup minus 2 tablespoons,▢ 1 ¼ tsp unflavored gelatin,▢ ½ cup granulated sugar,▢ black gel icing,▢ ¼ cup cold water to be added to gelatin,Amanda's Cookin,https://amandascookin.com/ghost-brownies/,▢ ¼ cup water to be mixed with sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skillet Chocolate Chip Cookie,Amanda Davis,5, 2 ,American,Holidays & Seasons,Father's Day,NA,30 minutes,NA,50 minutes,50 minutes,10 servings,9,"Preheat the oven to 350°F. Butter a 12 inch cast iron skillet and set aside.
Beat the butter on high for 1-2 minutes in the bowl of a standing mixer, until it has lightened in color and is smooth. Scrape down the sides of the bowl.
Add the granulated white sugar and brown sugar to the butter and beat 1-2 minutes longer.
Add the eggs and vanilla extract and continue to beat on high speed for several more minutes. You want the mixture to be very light and fluffy. Scrape down the sides of the bowl often during mixing.
In a separate bowl, add the salt and baking soda to the flour and stir together.
Add the flour mixture to the creamed ingredients and mix just until combined.
Fold in the chocolate chips or mix for just a few seconds until they are evenly distributed.
Press the cookie dough into the prepared skillet.
Bake for 30 minutes or until the center of the cookie is set. Remove from the oven and serve warm.",9,▢ 1 cup unsalted butter,▢ 1 cup granulated sugar,▢ ¾ cup light brown sugar packed,▢ 2 large eggs,▢ 2 tsp vanilla extract,▢ 2 ½ cups all-purpose flour,▢ ½ tsp sea salt,▢ 1 tsp baking soda,▢ 2 cups semi-sweet chocolate chips,NA,NA,Amanda's Cookin,https://amandascookin.com/chocolate-chip-skillet-cookie/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Cake Mix Cookies,Amanda Davis,5, 13 ,American,Desserts,"Cookies, Brownies, & Bars",NA,13 minutes,NA,28 minutes,28 minutes,24 cookies,5,"In a large bowl, combine the cake mix, pumpkin puree, egg, oil, vanilla extract, and pumpkin pie spice. Mix until well incorporated. Cover the bowl with plastic wrap and chill in the refrigerator for 1 hour or longer.
Remove the bowl from the refrigerator after the dough has chilled and preheat the oven to 350 degrees. Line a baking sheet with parchment paper. Drop the dough by the spoonful onto the sheet.
Bake the cookies for 12-14 minutes. Remove the tray from the oven and let the cookies cool on a cooling rack. 
To make the frosting, add the confectioners sugar, cream cheese, butter, vanilla extract, and salt to a medium sized bowl. Beat with a hand mixer for several minutes until the mixture is well incorporated and is a smooth consistency but forms soft peaks.
Once the cookies have cooled, use a butter knife to spread the frosting on the cookies. Add sprinkled cinnamon or pumpkin pie spice on top as desired.",12,▢ 15.25 oz spice cake mix 1 box,▢ ½ cup pumpkin puree NOT pumpkin pie filling,▢ 1 egg,▢ 2 Tbsp vegetable oil or canola oil,▢ ½ tsp vanilla extract,▢ ½ tsp pumpkin pie spice,▢ 4 cups confectioners sugar aka powdered sugar,▢ 8 oz cream cheese softened at room temperature,▢ ½ cup butter softened at room temperature,▢ 1 tsp vanilla extract,▢ ⅛ tsp salt,Amanda's Cookin,https://amandascookin.com/pumpkin-cake-mix-cookies/,▢ cinnamon or pumpkin pie spice for garnish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No Bake Strawberry Cheesecake Bars,Amanda Davis,4.67, 9 ,American,Desserts,No Bake Desserts,NA,0 minutes,NA,30 minutes,30 minutes,12 bars,14,"In a large bowl combine graham cracker crumbs, butter, and water. Mix well.
Line an 11×9 baking dish with parchment paper.
Take about 1 Cup of the graham cracker mixture out and set it aside in a bowl for topping the bars later.
Then take the remaining graham cracker mixture and place it into the lined dish in one even layer, pressing it down so it’s firm.
Place the dish in the freezer while you make the filling.
To make the filling you can use a hand mixer or a large food processor. Add heavy whipping cream to a bowl and beat until medium peaks form, set aside.
Whip the cream cheese and sugar in a separate bowl. Fold in the whipped cream mixture.
Add 1 Cup Strawberries. Mix well, then add lemon juice.
Remove the crust from the freezer. Spread out the remaining sliced strawberries on top of the crust.
Use a rubber spatula to pour the filling right on top of the strawberries. Gently spread it out into an even layer.
Next, place it back in the freezer for about 8 minutes. Remove it and top with cool whip (spreading it carefully with a spatula).
Pour the remaining graham cracker crumbs on top of the cool whip.
Crush the freeze dried strawberries by hand or in a food processor, and place them on top of the graham cracker crumbs.
Serve immediately or place the bars in the freezer or refrigerator until ready to serve.",10,▢ 2.5 cups graham cracker crumbs,"▢ 8 Tbsp unsalted butter 1 stick, melted",▢ 3 Tbsp water lukewarm,"▢ 8 oz cream cheese well softened, at room temperature",▢ ⅓ cup granulated sugar,▢ 1 ½ cup heavy whipping cream,▢ 1 ½ Tbsp lemon juice,"▢ 1 ½ cups strawberries sliced, divided",▢ 8 oz Cool Whip or homemade whipped topping,▢ 1 cup freeze dried strawberries,NA,Amanda's Cookin,https://amandascookin.com/no-bake-strawberry-cheesecake-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry Cake Mix Cookies,Amanda Davis,5, 71 ,American,Desserts,"Cookies, Brownies, & Bars",NA,10 minutes,NA,30 minutes,30 minutes,24 cookies,9,"Preheat the oven to 350F.
In a large mixing bowl, combine the strawberry cake mix, eggs, oil, and vanilla together and mix well (you can use a fork or a hand mixer).
Line a baking sheet with parchment paper and create 1 tablespoon cookie dough balls with a cookie scoop. Place the cookies about 2” apart on the baking sheet.
Bake for 10 minutes – or until the edges start to brown. Do not over bake.
Remove from the oven and let the cookies cool on the baking sheet while you make the glaze.
To make the glaze, blend strawberries and lemon juice together in a food processor or blender. Blend the strawberries to a puree, or leave larger chunks.
Add strawberry mixture to powdered sugar and mix until smooth (if the glaze is too thin, add powdered sugar. If it’s too thick, add more lemon juice or water).
Transfer cookies to a cooling rack and spoon glaze on top of cookies.
Once cooled, sprinkle with powdered sugar (optional).",7,▢ 1 strawberry cake mix we used Betty Crocker,▢ 2 eggs,▢ ¼ cup canola oil or vegetable oil,▢ 1 tsp pure vanilla extract,▢ 2 cups powdered sugar,▢ ⅓ cup strawberries chopped,▢ 1 Tbsp lemon juice or water,NA,NA,NA,NA,Amanda's Cookin,https://amandascookin.com/strawberry-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S’mores Cookies,Amanda Davis,5, 3 ,American,Desserts,"Cookies, Brownies, & Bars",NA,9 minutes,NA,19 minutes,19 minutes,30 cookies,7,"Preheat the oven to 375°F. Line two baking sheets with silicone baking mats or parchment paper.
In a stand mixer with a whisk attachment, cream together the butter and sugars for 1 minute. Add the eggs and vanilla and mix until combined.
Switch the stand mixer to a paddle attachment. Add the flour, baking soda and salt and mix just until combined. 
Add the mini marshmallows, chopped chocolate, and crumbled graham crackers to the dough, while reserving about a 1/2 cup of marshmallows and chocolate chunks for topping. Give a quick mix, careful not to overbeat.
Using a cookie scoop or ice cream scoop (about 1-1/2 Tablespoons), scoop the cookie dough onto the baking sheet about 2 inches apart.
Bake for 5 minutes until cookies are just about set. Remove from the oven and top with additional mini-marshmallows and chocolate chunks. Return to the oven for 3-4 minutes for the cookies to finish baking and marshmallows start to puff. 
Allow cookies to cool on pan for 2 minutes, and then transfer to a wire cooling rack.",11,▢ 1 cup unsalted butter softened,▢ 1 cup light brown sugar packed,▢ ¾ cup granulated sugar,▢ 2 large eggs,▢ 2 tsp vanilla extract,▢ 3 cups all purpose flour,▢ 1 tsp baking soda,▢ 1 tsp salt,▢ 2 cups mini marshmallows,▢ 5 oz Hershey's chocolate bar roughly chopped,"▢ 9 graham crackers 1 sleeve, roughly crumbled",Amanda's Cookin,https://amandascookin.com/smores-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreo Cheesecake Bars,Amanda Davis,5, 17 ,American,Desserts,One Pan Desserts,NA,15 minutes,NA,50 minutes,50 minutes,16 bars,13,"Preheat oven to 350 degrees F (175 degrees C). Grease a 9×13 baking pan.
In a medium bowl combine flour, baking powder, and salt. Set aside.
With an electric mixer, cream butter. Slowly add sugar and beat until light and fluffy.
Add eggs one at a time, beating in between. Add vanilla and mix until everything is combined.
Add dry ingredients and milk, alternating and mixing in between. Start and end with dry.
Stir in half of the Oreo crumbs. Reserve the other half for the topping.
Pour into baking pan. Spread evenly. Bake 12-15 minutes, until a toothpick comes out clean in the centre. Leave to cool.
Beat cream cheese until creamy. Add powdered sugar and beat until combined and no lumps remain. Mix in lemon juice. Pour into another bowl and put in the fridge.
With an electric mixer, whisk whipping cream until stiff peaks form. Add to cream cheese mixture and gently fold until mixed.
Once the cake layer has completely cooled, pour cream cheese mixture on top. Spread evenly and sprinkle some of the remaining Oreo crumbs on top. Spread around with a spatula to gently incorporate into the cheesecake. Chill in fridge to set (at least 2 hours).
In a microwave safe bowl, add chocolate chips or melting wafers and a tablespoon of butter or coconut oil. Microwave in 30 second intervals, stirring in between, until melted and smooth (it took me 90 seconds).
Allow to cool for a few minutes, stirring occasionally.
Pour on top of bars and quickly spread evenly. Sprinkle remaining Oreo crumbs on top. Put back in fridge for at least two hours before cutting. Top will be hard.",15,▢ 1 ½ cups all purpose flour,▢ 3 tsp baking powder,▢ ¼ tsp salt,▢ ½ cup unsalted butter,▢ 1 cup granulated sugar,▢ 2 large eggs,▢ 1 tsp vanilla extract,▢ 1 cup milk,"▢ 15 Oreo cookies crushed or turned into crumbs in a food processor, divided",▢ 8 oz cream cheese softened,▢ 1 cup powdered sugar,Amanda's Cookin,https://amandascookin.com/oreo-cheesecake-bars/,▢ 1 Tbsp lemon juice freshly squeezed,▢ 1 cup heavy whipping cream,▢ 1 ½ cup semi-sweet chocolate chips or melting wafers,▢ 1 Tbsp unsalted butter or coconut oil,NA,NA,NA,NA,NA,NA,NA
Strawberry Lemonade Cookies,Amanda Davis,5, 12 ,American,Desserts,"Cookies, Brownies, & Bars",NA,18 minutes,NA,48 minutes,48 minutes,12 cookies,14,"Preheat oven to 350°. Line two large rimless baking sheets with parchment paper and spray with cooking spray.
Prepare strawberries by mixing them with lemon juice and 1 tablespoon granulated sugar. Allow the mixture to sit for ten minutes, then drain off the liquid.
In a medium-sized bowl, combine the flour, baking powder, salt and whisk together to combine.
In a large bowl, beat butter, ½ cup sugar and brown sugar for three to five minutes, or until light and fluffy.
Beat in egg until combined. Add vanilla extract. Add in flour mixture until combined, without over-mixing the dough.
Gently fold strawberries into the cookie dough. A wooden spoon is recommended for this.
Line another one or two baking sheet(s) with parchment paper and spray with cooking spray.
Combine cream cheese, powdered sugar and lemon zest in medium bowl. Scoop into 12 small balls about the size of a teaspoon, and place onto baking sheet.
Scoop 24 medium-sized balls of dough using a cookie scoop, about the size of a tablespoon, and then flatten onto the same – or a separate (optional) baking sheet. 
Using a lightly greased small spatula, lift the cream cheese balls one by one and place them on top of 12 of the dough circles. 
Place the remaining 12 dough circles on top of the cream cheese balls and cookie dough, forming a “sandwich”, carefully pinching the edges together.
Carefully squeeze each “sandwich” around its outer edge, to form it into a ball shape.
Place cookie dough balls at least two inches apart on original prepared baking sheet(s) and bake for 15 – 18 minutes, or until edges just start to turn golden. Do not overbake.
Remove from oven and carefully transfer to wire cooling rack to cool for ten minutes.",14,▢ 1 cup strawberries chopped,▢ 1 Tbsp lemon juice,▢ 1 Tbsp granulated white sugar,▢ 2 cups all-purpose flour,▢ ½ tsp baking powder,▢ ½ tsp salt,"▢ ½ cup butter softened, 1 stick",▢ ½ cup granulated white sugar,▢ ¼ cup brown sugar packed,▢ 1 egg large,▢ 1 tsp vanilla extract,Amanda's Cookin,https://amandascookin.com/strawberry-lemonade-cookies/,▢ ¼ cup cream cheese softened,▢ 3 Tbsp powdered sugar,▢ zest from 1 lemon,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip M&M Cookies,Amanda Davis,5, 13 ,American,Desserts,"Cookies, Brownies, & Bars",NA,10 minutes,NA,30 minutes,30 minutes,36 cookies,6,"Preheat the oven to 375°F. Line two baking sheets with silicone baking mats or parchment paper.
In a large bowl, using a mixer, cream together the butter and sugars for 1 minute. Add the eggs and vanilla and mix until combined.
Add the flour, baking soda and salt and stir mix just until combined. Fold in the chocolate chips and M&M’s.
Using a large cookie scoop or ice cream scoop (about 3 Tablespoons), scoop the cookie dough onto the baking sheet about 2 inches apart. Place extra M&M’s on the top of the cookies.
Bake for 8-10 minutes, or until the tops are light golden brown.
Allow cookies to cool on pan for 2 minutes, and then transfer to a wire cooling rack.",10,▢ 1 cup unsalted butter softened,▢ 1 cup packed light brown sugar,▢ ¾ cup granulated sugar,▢ 2 large eggs,▢ 2 teaspoons vanilla,▢ 3 cups all-purpose flour,▢ 1 teaspoon baking soda,▢ 1 teaspoon salt,▢ 1 cup chocolate chips,▢ 1 cup M&M’s candies plus more for top of cookies,NA,Amanda's Cookin,https://amandascookin.com/chocolate-chip-mm-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Meringue Pie Bars,Amanda Davis,4.87, 65 ,American,Desserts,One Pan Desserts,NA,15 minutes,NA,45 minutes,45 minutes,16 bars,10,"Preheat the oven to 400F. Using an 8×8 inch pan, roll out the pie crust and cut to fit the bottom of the dish. Cut to be slightly bigger than the bottom since it will shrink as it cooks. Spray the 8×8 pan with non-stick spray and lay the pie crust dough into the bottom. 
Into a 2 quart saucepan add the cornstarch, sugar, and salt. Give a quick whisk. Whisk the warm water, lemon juice, and zest into the saucepan. Turn the burner on medium-low. Stir until the mixture begins to boil. Remove from the heat. 
In a small bowl, whisk the egg yolks. One Tablespoon at a time, drizzle five Tablespoons of the cornstarch mixture into the egg yolks, whisking to avoid clumping.
Next drizzle the warmed egg yolk mixture into the saucepan with the cornstarch to fully temper. Return to heat and whisk until thick, without boiling, for about 10 minutes. Add the butter and stir until melted.
Pour the lemon mixture over the unbaked pie crust.
In a large bowl or stand mixture, add the egg whites and pinch of salt. Beat on high speed until soft white peaks form. 
Keeping the speed on high, slowly add in sugar 1 Tablespoon at a time until all sugar is incorporated. Keep beating until stiff white peaks have formed. This will look similar to the texture of marshmallow fluff, will be glossy, and pull from the bowl during beating in a ribbon-like form. Removing the beater from the bowl should show the meringue holding form in a stiff peak. 
Spoon out the meringue topping onto the still warm filling. Use the back of a spoon or a rubber spatula to pat the meringue making the traditional peaks of a lemon meringue.
Bake at 400F for 10-15 minutes on the center wrack. Remove from the oven when the meringue is set and browning on the tips. 
Allow to cool at room temperature for 1 hour, refrigerate and allow to chill for 4-8 hours before serving. ",12,▢ 1 pie crust 9 inch,▢ ½ cup cornstarch,▢ 1 cup granulated sugar,▢ ¼ teaspoon salt,▢ 1-1/2 cup warm water,▢ zest of one lemon,"▢ ½ cup lemon juice freshly squeezed, about 3-4 lemons",▢ 4 egg yolks,▢ 1 Tablespoon butter,▢ 4 egg whites,▢ a pinch of salt,Amanda's Cookin,https://amandascookin.com/lemon-meringue-pie-bars/,▢ ½ cup granulated sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No Bake Cornflake Cookies,Amanda Davis,5, 26 ,American,Desserts,No Bake Desserts,NA,0 minutes,NA,40 minutes,40 minutes,10 cookies,8,"Cover one large or two smaller baking sheets with parchment or wax paper.
Melt the chocolate in a stainless steel bowl or double boiler over a pot of simmering water.
When chocolate is completely melted, take off heat and stir.
VERY IMPORTANT: Make sure you let the chocolate cool off a little before you pour it over the cornflakes so the cereal does not get soggy.
Pour over corn flakes and carefully stir with a rubber spatula until everything is coated.
Use a tablespoon to make little heaps on the baking sheet until you have used up all the mixture. (If you want to make them smaller, you can use a teaspoon instead.)
If adding any toppings, you can do this now.
Chill in the fridge for about 30 minutes. Enjoy!",7,▢ 2 cups cornflakes,"▢ 2 cups chocolate chips or chopped baking chocolate, about 11 oz. White chocolate, dark chocolate, semi-sweet, or milk chocolate all work.",▢ chopped pistachios,▢ chopped or shaved almonds,▢ sprinkles,▢ edible flowers,▢ sea salt,NA,NA,NA,NA,Amanda's Cookin,https://amandascookin.com/no-bake-cornflake-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinnamon Roll Cookies,Amanda Davis,4.89, 9 ,American,Desserts,"Cookies, Brownies, & Bars",NA,10 minutes,NA,50 minutes,50 minutes,16 cookies,9,"In a medium bowl, whisk together flour, baking powder, cinnamon, and salt.
In a large bowl, beat the butter and sugars until light and fluffy. Mix in egg and vanilla.
Add the dry ingredients to the butter mixture, mixing until combined.  
Cover the dough with plastic wrap and let sit in the fridge for at least 30 minutes.
Preheat oven to 375°F. Line a baking sheet with parchment paper.
Roll the dough into balls. Flatten the balls slightly with your hand. Place on the baking sheet at least 2 inches apart.
Bake 9-12 minutes or until the bottom edges are just slightly golden brown. Let cookies rest on the baking sheet for 5 minutes and then transfer to a wire rack to cool completely.
To make the frosting, mix the cream cheese and butter until creamy and smooth. Mix in powdered sugar and vanilla.
Using a piping bag or a zip-top bag, pipe the frosting onto cooled cookies in a spiral shape and sprinkle with cinnamon.",14,▢ 1 ½ cup all purpose flour,▢ ½ cup unsalted butter softened,▢ ¼ cup granulated sugar,▢ ¼ cup brown sugar,▢ ¼ teaspoon salt,▢ 1 egg at room temperature,▢ 1 ½ teaspoons baking powder,▢ 1 teaspoon ground cinnamon,▢ 1 teaspoon vanilla extract,▢ 3 Tablespoons cream cheese at room temperature,▢ 3 Tablespoons unsalted butter at room temperature,Amanda's Cookin,https://amandascookin.com/cinnamon-roll-cookies/,▢ ¾ cup powdered sugar,▢ ⅓ teaspoon vanilla extract,▢ ground cinnamon for garnish,NA,NA,NA,NA,NA,NA,NA,NA
Linzer Cookies,Amanda Davis,5, 2 ,Austrian,Desserts,"Cookies, Brownies, & Bars",NA,14 minutes,NA,24 minutes,24 minutes,24 cookies,9,"Preheat your oven to 350°F (180°C).
In a large bowl mix butter and sugar together till it turns creamy and light.
Add egg, vanilla extract, and mix to combine. Keep scraping the side of the bowl in order to mix properly.
In another bowl whisk almond flour, all-purpose flour, salt, and cinnamon together. Add this in parts to the butter mixture and beat to incorporate it well together.
Make a disc out of the dough and wrap it in cling film wrap and refrigerate it for at least 3 hours or overnight.
Roll the dough on a highly floured surface until it is 1/8 inch thick. Cut out preferred shapes using a cookie cutter. Place them on prepared baking sheets. Now use a smaller cookie cutter to cut out the center of half of the cookies.
Refrigerate the cut cookies for at least 10 minutes and bake them for 12-14 mins or till you see slight browning at the edges.
Remove from the oven and let cool completely.
Spread a tsp of jam on the bottom half of the full cookie and sandwich together with the cut-out top. Fill the center with jam using a spoon or piping bag. If you want you can also dust your cookies with some powdered sugar.",10,"▢ 1 cup butter unsalted, at room temp",▢ 1 egg,▢ ⅔ cup granulated sugar,▢ 1 tsp vanilla extract,▢ ⅔ cup almond flour,▢ 2 cup all purpose flour,▢ a pinch of salt,▢ ¼ tsp cinnamon,▢ ½ cup orange marmalade,▢ ½ cup fruit jam,NA,Amanda's Cookin,https://amandascookin.com/linzer-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Fryer Chocolate Chip Cookies,Amanda Davis,5, 2 ,American,Air Fryer Recipes,Air Fryer Chocolate Chip Cookies,NA,8 minutes,NA,18 minutes,18 minutes,24 cookies,10,"In a mixer bowl fitted with the paddle attachment, beat together the butter, shortening, brown sugar, and granulated sugar on low until bound together, then on medium-high until smooth and fluffy. 
Add vanilla, continue beating, then add one egg. Beat until combined, then add the other egg and beat until fluffy.
In a large bowl, stir or whisk together flour, baking soda, baking powder, salt, and pudding mix. Turn mixer to low and gradually mix the dry ingredients into the sugar mixture until well blended.
Use a spoon or sturdy rubber spatula to stir in chocolate chips.
Use a 1-2 Tablespoon scoop. Scoop this amount from the dough, per cookie, and shape slightly with your hands.
Place four at a time onto a parchment lined air fryer grate, or on an air fryer approved baking sheet.
Bake at 350F for 8 minutes. Remove the basket from the air fryer and allow the cookies to cool as they are for about 5 minutes. Use a spatula to remove cookies from the air fryer basket and fully cool on a wire rack. Makes 24 cookies total.
Using six, 6-ounce ramekins and divide the cookie dough between them. This fills each about ½ way full. Top with a few additional chocolate chips.
Place ramekins on the grate in the air fryer basket.
Bake at 325F for 12 minutes. Allow to cool for about 5 minutes to firm up to touch. At this point, you can let them cool completely before enjoying, or serve with ice cream on top to get the melted “cookie sundae” effect.",12,▢ ½ cup unsalted butter softened,▢ ½ cup shortening butter flavored or regular,▢ ¾ cup granulated white sugar,▢ ¾ cup light brown sugar packed,▢ 1 teaspoon vanilla extract,▢ 2 large eggs,▢ 2 ¼ cup all-purpose flour,▢ 1 teaspoon baking soda,▢ ⅛ teaspoon baking powder,▢ ½ teaspoon salt,▢ 3.4 oz instant vanilla pudding mix,Amanda's Cookin,https://amandascookin.com/air-fryer-chocolate-chip-cookies/,▢ 12 oz semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Fryer Brownies,Amanda Davis,4.92, 12 ,American,Air Fryer Recipes,Air Fryer Brownies,NA,17 minutes,NA,27 minutes,27 minutes,5 (6-oz) ramekins,6,"Pour melted butter over chocolate chips in a bowl and allow to sit for a minute to soften chocolate. Stir with wooden spoon.
Add eggs, cocoa, sugar and vanilla and stir.
Stir in the flour just until no more traces of flour remain. Do not over-mix.
Spray 5 ramekins with cooking spray and fill 3/4 full with batter.
Air Fry at 330 F for 17 minutes.
Sprinkle with more chocolate chips and allow to cool for 10 minutes.",7,▢ ¾ cup unsalted butter melted,▢ ⅔ cup semi-sweet chocolate chips,▢ 3 large eggs,▢ ½ cup unsweetened cocoa powder,▢ 1 ½ cups granulated sugar,▢ 1 teaspoon vanilla extract,▢ ⅞ cup all purpose flour 1 cup minus 2 tablespoons,NA,NA,NA,NA,Amanda's Cookin,https://amandascookin.com/air-fryer-brownies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fudge Brownies with Peanut Butter Frosting,Amanda Davis,5, 32 ,American,Desserts,"Cookies, Brownies, & Bars",NA,30 minutes,NA,45 minutes,45 minutes,16 bars,6,"Melt butter and chocolate in a large bowl in the microwave for 1 minute. Stir, continue heating at 20 second intervals until chocolate is completed melted and smooth. Allow to cool.
Preheat oven to 350 F and line an 8×8 baking pan with parchment paper, allowing parchment to hang over the sides.
Add sugar to the chocolate and stir until combined. Add eggs and beat with wooden spoon or rubber spatula until combined. Stir in vanilla. Stir in the flour and baking soda just until combined.
Spread the batter into the prepared pan and bake for 30 minutes. Allow to cool completely in the pan on a wire rack.
Combine butter and cream cheese in a medium mixer bowl and beat until creamy. Gradually add the powdered sugar a cup at a time, mixing thoroughly after each addition. Continue to beat on medium speed until light and fluffy, 3 to 4 minutes. Add the peanut butter and beat until thoroughly blended.
Frost the brownies while still in the pan. Remove brownies from pan by lifting the sides of the parchment and place on a cutting board. Cut into bars.",11,▢ ½ cup unsalted butter,▢ 3 ounces unsweetened chocolate coarsely chopped,▢ 1 cup sugar,▢ 2 large eggs,▢ 1 teaspoon vanilla,▢ ⅔ cup unbleached all purpose flour,▢ ¼ teaspoon baking soda,▢ 2.5 ounces cream cheese at room temperature,▢ 2 tablespoons unsalted butter at room temperature,▢ 1 ¼ cups confectioners’ sugar sifted,▢ 3 tablespoons smooth peanut butter,Amanda's Cookin,https://amandascookin.com/fudge-brownies-with-peanut-butter-frosting/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Cookies,Amanda Davis,5, 6 ,American,Desserts,"Cookies, Brownies, & Bars",NA,9 minutes,NA,24 minutes,24 minutes,30 cookies,9,"Preheat your oven to 350 F. Line insulated baking sheet with parchment paper or silicone mat.
In a large bowl, with a hand mixer cream together butter and maple syrup.
Add eggs, one at a time, mixing well after each addition. Set aside.
In another bowl, mix flour, oats, baking powder, baking soda, salt, cinnamon.
Add chocolate chips and pecans. Mix until they are coated with flour mixture.
Alternating with milk, add the dry ingredients to the wet ingredients.
Mix until all incorporated. Do not over-mix. Dough will be sticky.
With a medium-size cookie scoop (1 ½ tablespoon of dough), scoop balls onto your cookie sheet.
Bake in the oven for 8 to 10 minutes or until the edge of your cookie is golden.",12,▢ ½ cup unsalted butter softened,▢ 2 large eggs,▢ 1 cup maple syrup,▢ ½ cup milk,▢ 2 cups quick cooking oats,▢ 1 ½ cup all-purpose unbleached flour,▢ 2 teaspoons baking powder,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,▢ ½ teaspoon ground cinnamon,▢ ½ cup chocolate chips,Amanda's Cookin,https://amandascookin.com/oatmeal-cookies/,▢ ½ cup chopped pecans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Confetti Cake Mix Cookies,Amanda Davis,5, 9 ,American,Holidays & Seasons,Christmas,NA,9 minutes,NA,19 minutes,19 minutes,24 cookies,9,"Preheat oven to 375 degrees F. Line baking sheets with parchment paper or silicon baking mats.
In a large bowl with a wooden spoon stir together the cake mix, oil, eggs and 1 tablespoon of the Christmas sprinkles until well mixed.
Using about 1 1/2 tablespoons of dough, shape into balls and place onto prepared cookie sheet with plenty of space in between.
Flatten the cookies slightly using the palm of your hand or the bottom of a flat glass.
Bake 8-10 minutes or until edges are light golden brown.
Remove to wire racks to cool completely.
In a large bowl using hand mixer beat together the butter, powdered sugar and vanilla extract until light and fluffy.
If your frosting is too thick you can add 1 tablespoon of milk or water at a time until desired consistency is achieved.
Generously spread each cookie with frosting and sprinkles.",8,▢ 15 oz box white cake mix dry mix only,▢ ⅓ cup oil,▢ 2 large eggs,▢ 1 cup unsalted butter softened,▢ 6 cups powdered sugar,▢ Milk or water to thin frosting if needed,▢ 2 teaspoons vanilla extract,▢ Christmas sprinkles,NA,NA,NA,Amanda's Cookin,https://amandascookin.com/confetti-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
