title,author,dateentry,dateupdate,rating,ratingnum,category,cuisine,keyword,preptime,cooktime,customtime,totaltime,yield,maybehasyield,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,source,link,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Lactation Cookies,Shelly,"Posted: Jan 8, 2020","Updated: Jan 15, 2020",5,18,Cookies,NA,NA,10 minutes,10 minutes,NA,20 minutes,36 cookies 1x,NA,8,"Preheat oven to 350°F. Line a baking sheet with parchment paper and set aside.
Mix flax seed meal with water in a small bowl and let stand for 5 minutes. Mixture will get thick and gelatinous.
In the bowl of your stand mixer fitted with the paddle attachment mix the butter, brown sugar, and granulated sugar for 2 minutes on medium speed. Add in the flax mixture, egg yolks, vanilla, baking soda, salt, and yeast. Mix until combined and smooth, scraping the sides of the bowl as necessary.
Turn the mixer to low and add in the flour, mixing until just incorporated. With mixer still on low add in the oats until just combined.
Stir in the chocolate chips, walnuts, coconut, and raisins until evenly distributed.
Using a medium (2- tablespoon) sized cookie scoop, portion the dough out and place on prepared cookie sheet 2- inches apart.
Bake for 9-10 minutes, or until the edges are golden.
Transfer to a wire rack to cool completely.",16,3 tablespoons flax seed meal,1/3 cup water,"1 cup butter, room temperature (or coconut oil in it’s solid state)",1 cup light brown sugar,1/2 cup granulated sugar,Cookies & Cups,https://cookiesandcups.com/lactation-cookies/,3 egg yolks,2 teaspoons vanilla extract,1 teaspoon baking soda,1 teaspoon kosher salt,1/4 cup Brewer’s Yeast or Nutritional Yeast,2 cups unbleached all purpose flour,2 1/2 cups Old Fashioned Oats,1 1/2 cups chocolate chips,1/2 cups chopped walnuts,1/2 cup unsweetened flaked coconut,3/4 cup raisins,NA,NA,NA,NA,NA,NA,NA
Christmas Wreath Cookies,Shelly,"Posted: Dec 13, 2019","Updated: Apr 5, 2025",NA,NA,Cookies,NA,NA,20 minutes,10 minutes,NA,30 minutes,24 cookies (depending on the size of the cookie cutter 1x,NA,10,"Preheat the oven to 350°F. Line a baking sheet with parchment paper and set aside.
In the bowl of your stand mixer fitted with a paddle attachment, mix butter and sugar together on medium speed for 2 minutes until light and fluffy.
Add eggs, vanilla, baking powder, and salt and continue mixing until combined and smooth, scraping sides of bowl as necessary.
Turn mixer speed to low and add flour, mixing until dough comes together.
Divide dough in half sections. On a floured work surface roll dough to 1/3 inch thick. Using fluted biscuit cutters, or a wreath cookie cutter, cut out shapes and place cookies on the prepared baking sheet 1 1/2 inches apart. If you are baking in batches, keep unused dough in a refrigerator until ready to use to prevent dough from getting too warm. Also, if making different sized wreaths, bake like-sized shapes together to ensure even baking.
Bake cookies for 8-10 minutes, or until edges are lightly golden.
Allow cookies to cool on the baking sheet for 5 minutes and then transfer to a wire rack to cool completely.
Prepare frosting: In the bowl of your stand mixer fitted with a paddle attachment, mix butter on medium speed until smooth. Turn the mixer to low and add powdered sugar and 1 tablespoon of milk. Mix until combined. Turn the mixer up to medium speed and mix until creamy, adding in more milk if desired.
Add a drop or two of food coloring and mix until frosting is a uniform color.
Using a piping bag or an offset spatula, spread frosting on top of cooled cookies. Decorate with sprinkles as desired.",12,"1 cup cold butter, cubed",1 cup granulated sugar,1 egg,2 teaspoons vanilla extract,1 1/2 teaspoons baking powder,Cookies & Cups,https://cookiesandcups.com/wreath-cookies/,1/2 teaspoon kosher salt,3 cups all-purpose flour,"1/2 cup unsalted butter, room temperature",3 cups powdered sugar,1–2 tablespoons milk,Green food coloring,Round sprinkles to decorate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerdoodles,Shelly,"Posted: Dec 12, 2019","Updated: Dec 9, 2025",4.6,8,Cookies,NA,NA,10 minutes,10 minutes,NA,20 minutes,24 cookies 1x,NA,6,"Preheat oven to 350°F. Line a baking sheet with parchment paper and set aside.
In the bowl of your stand mixer fitted with the paddle attachment mix the butter, granulated sugar, and brown sugar together for 2 minutes on medium speed. Add in the molasses, egg, vanilla, salt, cream of tartar, baking soda, cinnamon, ginger, and cloves and mix for 1 minute, scraping the sides of the bowl as necessary.
Turn the mixer to low and add in the flour, mixing until just combined.
Cinnamon Sugar: In a small bowl mix together the sugar and cinnamon. Set aside.
Using a medium (2- tablespoon) sized cookie scoop, portion out the dough and roll it into a ball. Roll each ball into the cinnamon sugar mixture until coated. Place the cookie dough onto the prepared baking sheet 2- inches apart and bake for 10 minutes or until just set.
Transfer the cookies to a wire rack to cool completely.",15,"1/2 cup butter, room temperature",1/2 cup granulated sugar,1/2 cup dark brown sugar,1/3 cup molasses,1 egg,Cookies & Cups,https://cookiesandcups.com/gingerdoodles/,1 teaspoon vanilla extract,1/2 teaspoon kosher salt,1 teaspoon cream of tartar,1/2 teaspoon baking soda,2 teaspoons ground cinnamon,1 teaspoon ground ginger,1/4 teaspoon ground cloves,2 1/3 cups all purpose flour,1/2 cup granulated sugar,2 teaspoons ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Patty Brownie Cookies,Shelly,"Posted: Dec 10, 2019","Updated: May 28, 2020",NA,NA,Cookies,NA,NA,20 minutes,10 minutes,NA,30 minutes,24 cookies 1x,NA,14,"Preheat oven to 350°F. Line a baking sheet with parchment paper and set aside.
Place the 8 ounces of chocolate into a heat-safe bowl. Fill a small saucepan with about 1 inch of water and bring to a simmer. Place the bowl over the simmering water, stirring consistently until melted. Alternately you can do this step in the microwave in 30 second increments, stirring until smooth. Set melted chocolate aside to cool slightly.
In the bowl of your stand mixer fitted with the paddle attachment mix the butter, brown sugar, and granulated sugar for 1 minute on medium speed until combined. Add in the eggs, vanilla, baking powder, and cocoa powder and mix for 1 minute until combined and smooth, scraping the sides of the bowl as necessary. Turn mixer to low and add in the melted chocolate, mixing until evenly incorporated.
With the mixer still on low add in the flour and mix until just combined.
Allow the dough to sit at room temperature for 20 minutes, to reach room temperature. Dough will thicken as the melted chocolate cools making it a very thick cookie dough.
Preheat oven to 350°F. Line a baking sheet with parchment paper.
Using a medium (2- tablespoon) cookie scoop, portion out the dough and place on prepared baking sheet 2- inches apart. If your cookie scoop isn’t strong enough for the dough portion it out using a spoon and roll the dough into a loose ball and place on the baking sheet.
Bake for 9-11 minutes, until the edges are set. The tops might seem slightly soft, this is fine.
As soon as the cookies come out of the oven, press a peppermint patty into the top.
Transfer to a wire rack to cool.
Prepare Ganache: Place the chopped chocolate in a medium bowl. Heat the cream in the microwave or on the stove top until it’s steaming but not boiling. Pour the hot cream over top of the chocolate and stir until melted and smooth.
Allow the ganache to cool for 20 minutes, or until it’s spreadable consistency.
Spread about 2 teaspoons of the ganache on top of each peppermint patty.
Allow the ganache to set up.",12,"8 ounces semi-sweet chocolate, coarsely chopped","1/3 cup butter, room temperature",3/4 cup light brown sugar,1/4 cup granulated sugar,2 eggs,Cookies & Cups,https://cookiesandcups.com/peppermint-patty-brownie-cookies/,1 teaspoon vanilla extract,1 teaspoon baking powder,1/3 cup unsweetened cocoa powder,1 cup all purpose flour,"24 small peppermint patties, unwrapped","6 ounces semi-sweet chocolate, finely chopped",1/4 cup heavy cream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elf Cookies,Shelly,"Posted: Dec 9, 2019","Updated: May 28, 2020",5,1,Cookies,NA,NA,10 minutes,0 minutes,NA,10 minutes,15 cookies 1x,NA,9,"Line a large baking sheet with sides with parchment paper. Set aside.
Place the chow mein noodles in a large bowl. Set aside.
Fill a medium sauce pot with 1- inch of water. Bring the water to a simmer.
Place the white chocolate and shortening in a heat safe bowl and place the bowl on top of the simmering pot. Stirring constantly, melt the white chocolate. As soon as it’s melted add in the maple extract and stir until smooth. Remove from heat.
Pour the melted chocolate onto the noodles and stir to coat.
Using a medium cookie scoop, portion out the noodles and drop onto the lined baking sheet.
Immediately coat the noodles with sprinkles, marshmallows, and M&Ms. Place a Pop Tart piece on each.
Drizzle sparingly with Hershey’s Syrup. You don’t want too much!
Allow chocolate to set.",9,1 (5- ounce) container Chow Mein Noodles,10 ounces white chocolate,1 tablespoon shortening,1/2 teaspoon maple extract,1/4 cup dehydrated marshmallows,Cookies & Cups,https://cookiesandcups.com/elf-cookies/,2 tablespoons rainbow nonpareil sprinkles,1/4 cup red and green M&Ms (less if you use mini M&Ms),1/4 cup (or less) chocolate syrup to drizzle,"1 chocolate pop tart, cut into small piece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cream Wafers,Shelly,"Posted: Dec 8, 2019","Updated: May 28, 2020",5,3,Cookies,NA,NA,10 minutes,8 minuntes,NA,18 minutes + chill time,24 cookies 1x,NA,9,"Prepare the Wafers: In the bowl of your stand mixer combine the butter, cream, and flour on low speed until the dough comes together.
Chill the dough for 2 hours or overnight.
Preheat oven to 375°F. Line a baking sheet with parchment paper and set aside.
On a lightly floured surface roll out the dough to 1/8- inch thick. Using a small (1.25- inch) round cookie or pastry cutter cut the dough out and place on the prepared baking sheet. Prick with a fork 3 or 4 times.
Bake for 8-9 minutes, until lightly golden on the bottoms.
Transfer to a wire rack to cool completely.
Prepare the Filling: In the bowl of your stand mixer fitted with the paddle attachment mix the butter, powdered sugar, cream, and vanilla until smooth and creamy, scraping the sides of the bowl as necessary.
Divide the filling as desired and mix in a drop of food coloring to achieve the color(s) desired.
Fill a pastry bag(s) or zip-top bag with the corner cut off with the filling. Squeeze a small amount of the filling onto the bottom of half the cookies. Alternately, you could use an offset spatula to spread the filling. Top the filling with the remaining cookies and roll in sprinkles if desired.",8,"1/2 cup butter cut into cubes, room temperature",3 tablespoons heavy cream,1 cup all purpose flour,"1/4 cup butter, room temperature",3/4 cup powdered sugar,Cookies & Cups,https://cookiesandcups.com/cream-wafer-cookies/,1 1/2 teaspoons heavy cream,1/2 teaspoon vanilla extract,optional – food coloring/sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Meltaways,Shelly,"Posted: Dec 7, 2019","Updated: May 28, 2020",3.9,8,Cookies,NA,NA,10 minutes,10 minutes,NA,10 minutes + chill time,24 cookies 1x,NA,8,"For the Cookies: In the bowl of your stand mixer fitted with the paddle attachment mix the butter and powdered sugar together on medium speed until smooth.
Turn the mixer to low and add in the cornstarch, salt, vanilla, and lemon juice. Mix for 30 seconds until incorporated, scraping the sides of the bowl as necessary.
Add in the flour and mix until just combined.
Divide the dough in half and roll each half into a log, 8-9 inches long. Wrap the logs separately in plastic wrap and chill for 2-3 hours.
When ready to bake, preheat the oven to 350°F. Line a baking sheet with parchment paper.
Remove the dough from the refrigerator. Slice the logs into 1/2- inch thick rounds. Place the cookies onto the prepared baking sheet and bake for 9-10 minutes or until the edges are lightly golden.
Transfer the cookies to a wire rack to cool completely.
For the Icing: In a medium bowl, whisk together the powdered sugar, lemon juice, and zest until smooth. Spoon or pour the icing on top of each cookie. Allow the icing to set.",10,"1 cup butter, room temperature",1/2 cup powdered sugar,1/2 cup cornstarch,1/2 teaspoon kosher salt,1 teaspoon vanilla extract,Cookies & Cups,https://cookiesandcups.com/lemon-meltaways/,2 tablespoons fresh lemon juice,1 1/2 cups all purpose flour,1 1/4 cups powdered sugar,2 tablespoons fresh lemon juice,1 – 2 teaspoons lemon zest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carrot Cake Thumbprint Cookies,Shelly,"Posted: Dec 6, 2019","Updated: May 28, 2020",NA,NA,Cookies,NA,NA,20 minutes,9 minutes,NA,29 minutes,30 cookies 1x,NA,9,"Preheat oven to 375°F. Line a baking sheet with parchment paper and set aside.
In the bowl of your stand mixer fitted with the paddle attachment mix together the butter and both sugars for 2 minutes. Add in the eggs, vanilla, salt, baking powder, and cinnamon and mix for 1 minutes until smooth, scraping the sides of the bowl as necessary.
Turn mixer to low and add in the carrots and the flour, mixing until just incorporated.
Stir in the raisins and nuts.
Using a medium (2 tablespoon) sized cookie scoop, drop the dough 2- inches apart on the prepared baking sheet.
Bake for 8-10 minutes until the edges are lightly golden.
As soon as they come out of the oven, press a spoon gently into the center of the cookie, creating a well. Transfer cookies to a wire rack to cool completely.
Frosting: In the bowl of your stand mixer fitted with the paddle attachment, mix together the butter and cream cheese for 1 minute until smooth. Add in the powdered sugar and vanilla and mix for 1 minutes until creamy, scraping the sides of the bowl as necessary.
Transfer the frosting into a piping bag or a zip-top bag with the corner cut off. Pipe 2 teaspoons of frosting onto each cookie in the well you created. Alternately you can spread the frosting onto the cookie with a knife of offset spatula.",16,"1 cup butter, room temperature",1 cup granulated sugar,1/2 cup light brown sugar,2 eggs,2 teaspoons vanilla extract,Cookies & Cups,https://cookiesandcups.com/carrot-cake-thumbprint-cookies/,1 teaspoon kosher salt,2 teaspoons baking powder,2 teaspoon ground cinnamon,1 1/2 cups grated carrots,3 cups all purspose flour,3/4 cup golden raisins,optional – 1/2 cup chopped pecans or walnuts,"1/2 cup butter, room temperature","4 ounces cream cheese, room temperature",2 cups powdered sugar,1 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA
Candy Cane Sugar Cookies,Shelly,"Posted: Dec 4, 2019","Updated: May 28, 2020",4.5,11,Cookies,NA,NA,10 minutes,11 minutes,NA,21 minutes,36 cookies 1x,NA,8,"Preheat oven to 350°F. Line a baking sheet with parchment paper. Set aside.
In the bowl of your stand mixer fitted with the paddle attachment, mix together the butter, oil and both sugars until smooth on medium speed. Beat in the eggs, vanilla (and peppermint extract if using), baking soda, cream of tartar and salt and mix for 1 minute, scraping the sides of the bowl as necessary.
Turn the mixer to low and add in flour, mixing until combined. Stir in the crushed candy canes until evenly incorporated.
Using a medium (2 tablespoons) cookie scoop drop the dough onto the lined baking sheet. Bake for 10-12 minutes until edges just start to golden.
As soon as the cookies come out of the oven use the back of a glass cup and press the cookies down carefully.
Allow cookies to cool for 3 minutes on baking sheet and transfer to wire rack to finish cooling.
In the bowl of your stand mixer fitted with the paddle attachment mix the butter on medium speed until smooth. Turn the mixer to low and slowly add in the powdered sugar. Once incorporated, add the vanilla, and milk into the bowl and turn the mixer up to medium. Mix for 2 minutes until fluffy, scraping the sides of the bowl as necessary.
Spread 1 tablespoon(ish) of the frosting on each cookie.",16,"1 cup butter, room temperature",1 cup vegetable oil,1 cup granulated sugar,1 cup powdered sugar,2 eggs,Cookies & Cups,https://cookiesandcups.com/candy-cane-sugar-cookies/,1 teaspoon vanilla,optional – 1/2 teaspoon peppermint extract,1 teaspoon baking soda,1 teaspoon cream of tartar,½ teaspoon kosher salt,4½ cups flour,1 1/2 cups finely crushed candy canes (about 18),"1/2 cup butter, room temperature",2 cups powdered sugar,1/2 teaspoon vanilla extract,1 tablespoon milk,NA,NA,NA,NA,NA,NA,NA
Chocolate Shortbread,Shelly,"Posted: Dec 3, 2019","Updated: May 28, 2020",4.3,7,Cookies,NA,NA,10 minutes,17 minutes,NA,27 minutes plus chill time,20 cookies 1x,NA,7,"In the bowl of your stand mixer fitted with the paddle attachment combine the butter and sugar on medium speed for 2 minutes.
Turn mixer to low and add in the salt and cocoa powder. Mix for 15 seconds and then turn mixer up to medium and mix for 30 more seconds until the cocoa powder is evenly combined.
Turn mixer back down to low and add in the flour and chocolate chips, mixing just until dough comes together and the flour is no longer visible.
Place an 18- inch piece of plastic wrap on your counter. Place the dough onto the plastic wrap and using your hands form the dough into a 12-inch log. Wrap the dough tightly in the plastic wrap and refrigerate for at least 2 hours, or overnight.
Preheat the oven to 325°F. Line a baking sheet with parchment paper and set aside.
Unwrap the dough and slice it into approximately 1/2- inch pieces. Lay the cookies flat on the baking sheet and bake for 16-18 minutes, until set.
Transfer cookies to a wire rack to cool completely.",6,"1 cup butter, room temperature",1/2 cup granulated sugar,1/2 teaspoon coarse sea salt,1/2 cup unsweetened cocoa powder,1 1/2 cups all purpose flour,Cookies & Cups,https://cookiesandcups.com/chocolate-shortbread-recipe/,1/3 cup mini chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Creme Brûlée Cookies,Shelly,"Posted: Dec 2, 2019","Updated: May 28, 2020",5,1,Cookies,NA,NA,15 minutes,9 minutes,NA,24 minutes,24 cookies 1x,NA,13,"Cookies: Preheat oven to 350°F. Line a baking sheet with parchment paper and set aside.
In the bowl of your stand mixer fitted with the paddle attachment mix the butter, granulated sugar, and brown sugar together on medium speed for 2 minutes. Add in the egg, yolk, vanilla, baking soda, cornstarch, and salt. Mix for 1 minute, scraping the sides of the bowl as necessary.
Turn mixer to low and add in the flour, mixing until just combined.
Using a medium (2- tablespoon) sized cookie scoop, drop the dough onto the prepared baking sheet 2- inches apart.
Bake for 8-9 minutes or until lightly golden on the edges and the tops are just set.
Transfer to a wire rack to cool completely.
Frosting: In a small bowl whisk together the dry pudding and milk until thickened, 1-2 minutes. Set aside.
In the bowl of your stand mixer fitted with the paddle attachment beat the butter and shortening on medium speed until creamy. Add in the pudding and powdered sugar. Mix until fluffy and combined.
Spread a thick layer of frosting on top of the cooled cookies.
Place the granulated sugar into a small bowl. Dip the frosting side of the cookies into the granulated sugar, coating completely.
Place the cookies in the freezer for 20 minutes, until the frosting is cold.
Using a kitchen torch caramelize the sugar on top.
Allow the caramelized sugar and frosting to cool and set before eating.",15,"3/4 cup butter, room temperature",1/2 cup granulated sugar,1/2 cup light brown sugar,1 large egg + 1 egg yolk,2 teaspoons vanilla extract,Cookies & Cups,https://cookiesandcups.com/creme-brulee-cookies/,1 teaspoon baking soda,2 teaspoons cornstarch,1/2 teaspoon kosher salt,2 cups all purpose flour,1 (3.4- ounce) box Instant French Vanilla Pudding,3/4 cup cold milk," 1/2 cup butter, room temperature",1/2 cup vegetable shortening,2 cups powdered sugar,1/4 cup granulated sugar,NA,NA,NA,NA,NA,NA,NA,NA
Checkerboard Cookies,Shelly,"Posted: Nov 29, 2019","Updated: May 28, 2020",4.6,16,Cookies,NA,NA,20 minutes,10 minutes,NA,30 minutes + chill time,24 cookies 1x,NA,14,"In the bowl of your stand mixer fitted with the paddle attachment mix together the butter and sugar for 2 minutes.
Add in the egg, the yolk, vanilla, baking powder, and salt and mix for 1 minute until smooth, scraping the sides of the bowl as necessary.
Turn the mixer to low and add in the flour, mixing until just combined.
Divide the dough in half, removing half from the mixing bowl.
Add in the cocoa powder to the remaining dough in the mixing bowl and mix until incorporated.
Form each dough into a squared off log, 2- inches tall and 6- inches long. Make sure both are the same size.
Place dough on a baking sheet and cover with cling wrap. Place dough into the refrigerator to chill for at least 1 hour.
Using a sharp knife slice the dough into thirds, longwise. Then turn the dough one turn and cut into thirds again. You will have 9 strips. Repeat the process with the other dough. You will have 18 strips total.
Lay 1 piece of vanilla dough, one piece of chocolate, and another piece of vanilla on a flat surface next to each other. Top the 3 strips with alternating colors. Repeat this once more, so you have a square log. Press the dough strips together tightly, keeping the square shape. Repeat this with the remaining dough.
Refrigerate again for at least 30 minutes.
Preheat the oven to 350°F. Line a baking sheet with Reynolds Kitchens® Parchment Paper.
Remove the dough from the refrigerator and slice into 1/4- inch pieces.
Place the pieces on the prepared baking sheet.
Bake for 9-10 minutes, or until set. Transfer to a wire rack to cool completely.",8,"1 cup butter, room temperature",1 cup granulated sugar,"1 egg, plus 1 egg yolk",1 teaspoon vanilla extract,1 1/2 teaspoons baking powder,Cookies & Cups,https://cookiesandcups.com/checkerboard-cookies/,1/2 teaspoon kosher salt,3 cups all purpose flour,1/3 cup unsweetened cocoa powder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soft Gingerbread Cookies,Shelly,"Posted: Nov 25, 2019","Updated: Dec 7, 2021",5,3,Cookies,NA,NA,10 minutes,10 minutes,NA,20 minutes,24 cookies 1x,NA,8,"Preheat oven to 350°F. Line a baking sheet with parchment paper, set aside.
In the bowl of stand mixer fitted with the paddle attachment mix the butter and sugar together for 2 minutes on medium speed.
Add in molasses and mix until incorporated.
Beat in egg plus additional yolk, baking soda, salt, ginger, cinnamon and cloves. Mix until smooth, scraping the sides of the bowl as necessary.
Turn the mixer to low and add in flour until dough comes together.
Using a medium (2- tablespoon) cookie scoop portion out the dough and roll into balls. Roll balls in extra sugar and place on baking sheet 2-3 inches apart.
Bake for 9-11 minutes until edges are golden.
Allow to cool on baking sheet for 3 minutes and then transfer to wire rack to cool completely.",11,"3/4 cup butter, room temperature",1 cup granulated sugar,1 egg plus 1 yolk,1/4 cup molasses,1 teaspoon baking soda,Cookies & Cups,https://cookiesandcups.com/soft-gingerbread-cookies/,1/2 teaspoon kosher salt,2 1/2 teaspoon ground ginger,1 teaspoon cinnamon,1/2 teaspoon ground cloves,2 1/4 cups all purpose flour,1/3 cup additional sugar for rolling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rugelach,Shelly,"Posted: Oct 30, 2019","Updated: Dec 10, 2023",4.9,13,Pastry,NA,NA,20 minutes,45 minutes,NA,65 minutes active time + chill time,40 pieces 1x,NA,11,"In the bowl of your stand mixer fitted with the paddle attachment mix the butter and cream cheese together for 2 minutes, until smooth and creamy.
Add in the sugar and salt and mix for 1 minute, scraping the sides as necessary.
Turn mixer to low and add in the flour, mixing until just combined, don’t over-mix.
Place a large piece of plastic wrap onto your counter. Place the dough onto the plastic wrap and press it into a rectangle shape, approximately 1- inch thick. Wrap the dough tightly in the
Reynolds Kitchens Quick Cut Plastic Wrap and refrigerate for at least 6 hours, or overnight.
Preheat oven to 350°F. Line a large baking sheet with parchment paper and set aside.
Divide the dough into 4 equal pieces, working with one piece at a time, placing the dough you aren’t using back in the refrigerator.
On a lightly floured surface, roll out the dough into a 12 x 8- inch rectangle. Spread 1/4 cup of the preserves evenly onto the dough. Sprinkle 1/4 cup of the raisins and 1/4 cup walnuts evenly on top. Sprinkle about 1 1/2 teaspoons of cinnamon sugar all over the top. Roll the dough tightly from the long side into a log. Place the log seam side down onto your prepared baking sheet and repeat with the process with the remaining dough placing the logs 2- inches apart on the baking sheet.
Brush each log with milk and sprinkle with turbinado sugar.
Using a very sharp knife, cut the logs 3/4 through (not all the way) into 1- inch slices.
Bake for 45 minutes, or until golden. Allow to cool on the baking sheet for 30 minutes, and then transfer to a cutting board to slice all the way through.",12,"1 cup butter, room temperature","8– ounces cream cheese, room temperature",1/2 cup granulated sugar,1/2 teaspoon kosher salt,2 cups all purpose flour,Cookies & Cups,https://cookiesandcups.com/rugelach-recipe/,1 cup apricot preserves,1 cup golden raisins,1 cup chopped walnuts,Cinnamon Sugar (2 tablespoons granulated sugar + 1 teaspoon ground cinnamon),2 tablespoons milk,1/3 cup turbinado sugar for garnish (I used Sugar in the Raw),Tools: Reynolds Kitchens Quick Cut Plastic Wrap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Halloween Sprinkle Cookies,Shelly,"Posted: Oct 14, 2019","Updated: May 28, 2020",5,2,Cookies,NA,NA,15 minutes,10 minutes,NA,25 minutes,24 cookies 1x,NA,10,"Preheat oven to 350°F. Line a baking sheet with parchment paper and set aside.
In the bowl of your stand mixer fitted with the paddle attachment, mix butter and both sugars together on medium speed for 2 minutes until light and fluffy, scraping sides of bowl as necessary. Add in cocoa powder until evenly mixed.
With the mixer still on medium, add eggs, vanilla, baking soda, and salt and mix for 1 minute until smooth. Scrape sides of bowl as necessary.
Turn the mixer to low and add in flour, mixing until just combined.
Fold in the mini chocolate chips.
Pour the sprinkles into a bowl and set aside.
Using a small (1- tablespoon) cookie scoop, place one scoop of dough on top of an Oreo, and then another scoop on bottom. Form the dough around the cookie, making sure to seal the Oreo inside.
Roll each dough ball into your sprinkles.
Bake for 9-11 minutes until edges are set.
Transfer cookies to a wire rack to cool completely.",12,"1 cup cold unsalted butter, cubed",1 cup light brown sugar,1/2 cup granulated sugar,1/2 cup cocoa powder,2 eggs,Cookies & Cups,https://cookiesandcups.com/chocolate-sprinkle-halloween-cookies/,1 teaspoon vanilla,3/4 teaspoon baking soda,3/4 teaspoon kosher salt,2 1/2 cups all-purpose flour,1 cup mini chocolate chips,24 Oreo cookies,1 1/2 cups Halloween sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Molasses Cookies,Shelly,"Posted: Oct 7, 2019","Updated: May 28, 2020",5,5,Cookies,NA,NA,10 minutes,9 minutes,NA,19 minutes,24 cookies 1x,NA,8,"Preheat oven to 350°F. Line a baking sheet with parchment paper and set aside.
In the bowl of your stand mixer fitted with the paddle attachment mix the butter and sugar together on medium speed for 2 minutes.
Add in the molasses, pumpkin, vanilla, baking soda, salt, and pumpkin pie spice. Mix for 1 minute on medium speed until combined and smooth, scraping the sides of the bowl as necessary.
Turn mixer to low and add in the flour, mixing until just combined.
Portion out the dough using a medium (2- tablespoon) cookie scoop, and roll each into a ball. Place the balls of dough onto the prepared baking sheet 2- inches apart.
Bake for 9 minutes, or until the tops are just set.
Transfer the cookies to a wire rack to cool completely.
When the cookies are cooled, whisk together the powdered sugar, vanilla, and milk until smooth. Dip the tops of each cookie in the icing and allow it to set.",12,"3/4 cup butter, room temperature",1 cup granulated sugar,1/4 cup molasses,1/4 cup pumpkin puree,1 teaspoon vanilla extract,Cookies & Cups,https://cookiesandcups.com/pumpkin-molasses-cookies/,1 teaspoon baking soda,1 teaspoon kosher salt,2 teaspoons pumpkin pie spice,2 1/4 cups flour,1 cup powdered sugar,1/2 teaspoon vanilla extract,1 1/2 tablespoons milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Walnut Cookies,Shelly,"Posted: Oct 4, 2019","Updated: May 28, 2020",4.8,79,Cookies,NA,NA,10 minutes,8 minutes,NA,18 minutes,22 cookies 1x,NA,8,"Preheat the oven to 400°F. Line a baking sheet with parchment paper and set aside.
In the bowl of your stand mixer fitted with the paddle attachment mix together the butter and all the sugars together for 30 seconds on low speed. Turn the mixer up to medium speed and mix for 4 minutes until combined and fluffy.
Add in the eggs, vanilla, salt, baking soda, and corn starch and mix for 1 minute until smooth, scraping the sides of the bowl as necessary.
Turn the mixer to low and add in the flour, mixing until just combined.
With mixer still on low, add in the chocolate chips and walnuts until incorporated.
Using a large (3 tablespoon) cookie scoop, portion the dough onto the prepared baking sheet 2 inches apart.
Bake for 8-9 minutes, until the edges and tops are lightly golden.
Allow the cookies to cool for 2-3 minutes on the baking sheet, and then transfer to a wire rack to cool completely.",12,1 cup cold salted butter cubed,1/2 cup dark brown sugar,1/2 cup light brown sugar,1/2 cup granulated sugar,2 eggs,Cookies & Cups,https://cookiesandcups.com/chocolate-chip-walnut-cookies/,2 teaspoons vanilla,1 teaspoon kosher salt,1 teaspoon baking soda,2 teaspoons cornstarch,3 cups all purpose flour,2 1/2 cups chocolate chips,1 1/2 cups chopped walnuts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
